Orthogroup	SCHMD	YEAST
OG0000055	SCHMD04709, SCHMD09327, SCHMD16164, SCHMD24926, SCHMD03916, SCHMD04434, SCHMD04437, SCHMD01197, SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195	YEAST01199, YEAST00225
OG0000058	SCHMD04270	YEAST02989
OG0000058	SCHMD13465, SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122, SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402, SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329	YEAST02120
OG0000069	SCHMD05798, SCHMD12262	YEAST05172
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114, SCHMD16559, SCHMD24052, SCHMD18199, SCHMD06941, SCHMD04736	YEAST05330
OG0000082	SCHMD05824, SCHMD03263, SCHMD10119	YEAST03287
OG0000082	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460, SCHMD03363	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	SCHMD24007, SCHMD15475, SCHMD16819, SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892, SCHMD23210, SCHMD16400	YEAST04992, YEAST00735
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942, SCHMD01761	YEAST02993
OG0000096	SCHMD07497, SCHMD07496, SCHMD15232, SCHMD27275, SCHMD07753, SCHMD17840, SCHMD18607	YEAST02643
OG0000096	SCHMD10033	YEAST05104, YEAST05564
OG0000103	SCHMD29081, SCHMD19673, SCHMD08147	YEAST02873
OG0000107	SCHMD04920, SCHMD23362, SCHMD21301, SCHMD11381, SCHMD05934, SCHMD11257	YEAST05173
OG0000113	SCHMD06629, SCHMD02664	YEAST00378, YEAST01351, YEAST05581
OG0000114	SCHMD28859	YEAST00703
OG0000114	SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462	YEAST00479, YEAST02386
OG0000116	SCHMD19106, SCHMD19105	YEAST04456
OG0000122	SCHMD00543, SCHMD16641, SCHMD09849, SCHMD16640, SCHMD09850, SCHMD00544	YEAST04928
OG0000124	SCHMD10270, SCHMD10271	YEAST05021
OG0000124	SCHMD11964	YEAST01581, YEAST05113
OG0000124	SCHMD20871, SCHMD16822	YEAST03767
OG0000124	SCHMD08774	YEAST04122
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	YEAST04685
OG0000126	SCHMD01816, SCHMD27922	YEAST00053
OG0000127	SCHMD21110, SCHMD03781, SCHMD07478, SCHMD18620	YEAST06208
OG0000128	SCHMD29825	YEAST01398, YEAST05967, YEAST05716
OG0000132	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374	YEAST06016
OG0000137	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558, SCHMD29744	YEAST01851, YEAST00637
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341, SCHMD09826, SCHMD07726, SCHMD03243, SCHMD14394, SCHMD01440, SCHMD00718, SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364, SCHMD29515, SCHMD28730, SCHMD18761, SCHMD19018, SCHMD17308	YEAST02122
OG0000157	SCHMD24948	YEAST02851
OG0000158	SCHMD09856, SCHMD18936, SCHMD09898, SCHMD12271, SCHMD07912, SCHMD04352, SCHMD15100, SCHMD15049	YEAST05568
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	YEAST04194
OG0000175	SCHMD23748, SCHMD18438, SCHMD03520, SCHMD18439, SCHMD17544	YEAST00850, YEAST04327
OG0000179	SCHMD11075	YEAST01123, YEAST04430
OG0000179	SCHMD01320, SCHMD00307	YEAST02911, YEAST01281
OG0000181	SCHMD27609, SCHMD12097, SCHMD28522, SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328, SCHMD20053, SCHMD26119, SCHMD11453	YEAST00824, YEAST00771
OG0000186	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081, SCHMD11605, SCHMD01519, SCHMD14176, SCHMD06313, SCHMD24594	YEAST00336
OG0000194	SCHMD11912, SCHMD12565	YEAST01410
OG0000195	SCHMD06851, SCHMD06771, SCHMD25463, SCHMD25751, SCHMD25464, SCHMD06740, SCHMD19007, SCHMD24767, SCHMD19839, SCHMD22974, SCHMD25501	YEAST03414
OG0000211	SCHMD21436, SCHMD10115	YEAST04964
OG0000221	SCHMD10720	YEAST05872
OG0000222	SCHMD11897, SCHMD07455, SCHMD07456, SCHMD08503, SCHMD08501, SCHMD21613, SCHMD21612, SCHMD08502	YEAST01460
OG0000225	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161, SCHMD18925, SCHMD18924	YEAST06146
OG0000227	SCHMD25908, SCHMD05741, SCHMD05742, SCHMD06927, SCHMD26170, SCHMD05353, SCHMD25852, SCHMD04380	YEAST05815
OG0000228	SCHMD07563, SCHMD07561, SCHMD07562, SCHMD11296	YEAST04750
OG0000233	SCHMD05000, SCHMD19540, SCHMD06716, SCHMD01146, SCHMD07435, SCHMD22145	YEAST03726, YEAST03241, YEAST03242
OG0000238	SCHMD12600	YEAST03835
OG0000238	SCHMD22146, SCHMD14066	YEAST06340, YEAST03834
OG0000240	SCHMD06226, SCHMD00582	YEAST03827
OG0000242	SCHMD01201, SCHMD06951, SCHMD14093, SCHMD12559, SCHMD20260	YEAST00734
OG0000246	SCHMD28687, SCHMD29623, SCHMD29618, SCHMD29765, SCHMD02140, SCHMD16891, SCHMD17961, SCHMD12289, SCHMD12291, SCHMD13657, SCHMD12290	YEAST01746, YEAST01747
OG0000250	SCHMD07715, SCHMD11126, SCHMD11127, SCHMD28677, SCHMD05190, SCHMD00165, SCHMD03762, SCHMD05189	YEAST04716
OG0000255	SCHMD14618, SCHMD25034	YEAST02822
OG0000256	SCHMD06220	YEAST00266
OG0000258	SCHMD19345, SCHMD00959	YEAST00118
OG0000260	SCHMD00232, SCHMD09054, SCHMD09053, SCHMD00231	YEAST04323
OG0000265	SCHMD06448, SCHMD11031, SCHMD25284	YEAST05674
OG0000265	SCHMD18240, SCHMD09007	YEAST03885, YEAST03714
OG0000272	SCHMD00882, SCHMD10954, SCHMD00985, SCHMD14678, SCHMD17164, SCHMD13324, SCHMD08067	YEAST02076, YEAST01066
OG0000278	SCHMD04708, SCHMD14538	YEAST04060
OG0000284	SCHMD23360, SCHMD08213	YEAST05621
OG0000289	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163, SCHMD23289, SCHMD16353, SCHMD29502, SCHMD19194, SCHMD19219, SCHMD13163, SCHMD22750	YEAST00645
OG0000305	SCHMD22293, SCHMD19077, SCHMD01974, SCHMD04764, SCHMD01975	YEAST04899
OG0000308	SCHMD28268, SCHMD26369, SCHMD14069, SCHMD01003, SCHMD00895	YEAST02548
OG0000310	SCHMD09298, SCHMD11775, SCHMD12443	YEAST02635
OG0000312	SCHMD10213, SCHMD21295, SCHMD02452	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	SCHMD03134	YEAST05106
OG0000313	SCHMD20212	YEAST02950
OG0000313	SCHMD00975, SCHMD00972	YEAST05526
OG0000315	SCHMD15459	YEAST03248
OG0000315	SCHMD23953	YEAST01921, YEAST01710
OG0000315	SCHMD01939	YEAST04684
OG0000316	SCHMD10536, SCHMD22735, SCHMD10615, SCHMD19154	YEAST01673
OG0000317	SCHMD21750, SCHMD18883, SCHMD04765, SCHMD15845, SCHMD18547	YEAST01356
OG0000321	SCHMD10046, SCHMD04699, SCHMD05278	YEAST03264
OG0000323	SCHMD20297, SCHMD05058, SCHMD04045, SCHMD21571, SCHMD14125	YEAST02249
OG0000326	SCHMD05388, SCHMD24730	YEAST06268, YEAST05286
OG0000326	SCHMD29727	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000338	SCHMD23566, SCHMD22193, SCHMD20089	YEAST02967
OG0000338	SCHMD17969	YEAST04211
OG0000343	SCHMD10731, SCHMD08099	YEAST03024, YEAST02736
OG0000345	SCHMD02998, SCHMD15266	YEAST01884
OG0000352	SCHMD07814, SCHMD03216	YEAST04069
OG0000357	SCHMD22062, SCHMD19961, SCHMD01155, SCHMD28129, SCHMD14037	YEAST01925
OG0000363	SCHMD01296, SCHMD20653, SCHMD29224, SCHMD24626, SCHMD24587, SCHMD26634	YEAST04081, YEAST05870
OG0000365	SCHMD07482, SCHMD07483, SCHMD10185, SCHMD02742, SCHMD22496, SCHMD22435, SCHMD28326	YEAST05831
OG0000367	SCHMD09947, SCHMD00568	YEAST02141, YEAST03746, YEAST03210
OG0000372	SCHMD09703, SCHMD26866, SCHMD11546, SCHMD21831, SCHMD11336, SCHMD21198, SCHMD11338, SCHMD21647, SCHMD16554, SCHMD19665	YEAST05988
OG0000373	SCHMD12690, SCHMD02964, SCHMD08646, SCHMD00201, SCHMD13176, SCHMD08271, SCHMD14501, SCHMD16786	YEAST02023
OG0000373	SCHMD23955	YEAST04495, YEAST01417
OG0000373	SCHMD12688, SCHMD08645	YEAST05964
OG0000380	SCHMD09055, SCHMD03673, SCHMD17481, SCHMD28671, SCHMD13240, SCHMD12384, SCHMD20188, SCHMD16383, SCHMD27479, SCHMD25719, SCHMD10844, SCHMD21526, SCHMD01720, SCHMD16935, SCHMD05875, SCHMD04175, SCHMD20868	YEAST01047
OG0000385	SCHMD15490, SCHMD02711, SCHMD02709, SCHMD02710, SCHMD19251, SCHMD20652, SCHMD23399, SCHMD15491	YEAST03496
OG0000393	SCHMD10497	YEAST01302
OG0000397	SCHMD20119, SCHMD04641	YEAST05080
OG0000399	SCHMD00926, SCHMD06729, SCHMD23058, SCHMD03563, SCHMD24680, SCHMD10909, SCHMD09432, SCHMD23059	YEAST02160
OG0000400	SCHMD00908, SCHMD12218, SCHMD04896, SCHMD24156, SCHMD11940	YEAST05911
OG0000402	SCHMD10342, SCHMD12760, SCHMD14530, SCHMD02881, SCHMD11412	YEAST01657, YEAST01929
OG0000405	SCHMD26927, SCHMD22788, SCHMD20823	YEAST06055, YEAST00411
OG0000412	SCHMD08477, SCHMD08474	YEAST00099
OG0000412	SCHMD26267, SCHMD21996, SCHMD18753, SCHMD11584	YEAST04469
OG0000413	SCHMD18816, SCHMD03327, SCHMD18461, SCHMD19663, SCHMD03328	YEAST04905, YEAST05340
OG0000413	SCHMD18817, SCHMD28614, SCHMD22416	YEAST02838
OG0000419	SCHMD20590, SCHMD23181, SCHMD17261, SCHMD26157	YEAST05989
OG0000420	SCHMD23004	YEAST03886
OG0000424	SCHMD27748, SCHMD06039, SCHMD02613, SCHMD06040, SCHMD02614, SCHMD02615, SCHMD01853, SCHMD01880, SCHMD16600, SCHMD13568	YEAST03563
OG0000426	SCHMD02251	YEAST03440
OG0000426	SCHMD20249	YEAST03848, YEAST01121
OG0000427	SCHMD07526, SCHMD14108, SCHMD05143, SCHMD05142, SCHMD07527	YEAST02655, YEAST02439
OG0000431	SCHMD00614	YEAST04014
OG0000433	SCHMD05136, SCHMD22817, SCHMD15295, SCHMD25465, SCHMD24790	YEAST06177, YEAST00117
OG0000437	SCHMD15978, SCHMD13458, SCHMD13578, SCHMD05773, SCHMD23206, SCHMD08272, SCHMD05769	YEAST03074, YEAST02073
OG0000442	SCHMD12679, SCHMD07580	YEAST05012
OG0000444	SCHMD00767, SCHMD00766	YEAST01115, YEAST04019
OG0000445	SCHMD29179	YEAST03068
OG0000450	SCHMD15839, SCHMD21713, SCHMD25409, SCHMD13515	YEAST04709, YEAST05909
OG0000461	SCHMD06358	YEAST00120
OG0000467	SCHMD03209	YEAST01593, YEAST04241, YEAST05317
OG0000467	SCHMD17174, SCHMD20889, SCHMD15139, SCHMD03258, SCHMD22899, SCHMD16369	YEAST03162
OG0000469	SCHMD15597	YEAST02179, YEAST05440
OG0000469	SCHMD09418	YEAST02333
OG0000474	SCHMD05095	YEAST02384
OG0000476	SCHMD25720, SCHMD19904, SCHMD04015, SCHMD17256, SCHMD07489, SCHMD04014	YEAST03038
OG0000479	SCHMD16083, SCHMD11165, SCHMD10108, SCHMD14823, SCHMD04174	YEAST04139
OG0000480	SCHMD19204, SCHMD14582, SCHMD09535	YEAST05750
OG0000481	SCHMD19063, SCHMD18615, SCHMD19165, SCHMD12328	YEAST01040
OG0000481	SCHMD11352, SCHMD11001	YEAST00916
OG0000481	SCHMD06297, SCHMD10940	YEAST00827, YEAST00774
OG0000484	SCHMD20174, SCHMD17933, SCHMD25775, SCHMD29525, SCHMD10182, SCHMD03948, SCHMD20175, SCHMD12364, SCHMD25776, SCHMD16669, SCHMD23292, SCHMD20173, SCHMD20110, SCHMD15292	YEAST05824
OG0000486	SCHMD19250	YEAST03122, YEAST04270
OG0000487	SCHMD20744	YEAST02728
OG0000488	SCHMD01306, SCHMD17798, SCHMD16340	YEAST01414
OG0000490	SCHMD14619, SCHMD03996, SCHMD03484, SCHMD03477, SCHMD21870, SCHMD21871, SCHMD23364, SCHMD22228	YEAST04297, YEAST00894
OG0000491	SCHMD15788	YEAST04587, YEAST03679
OG0000505	SCHMD10454, SCHMD28069	YEAST03067
OG0000510	SCHMD10006	YEAST04569, YEAST05730
OG0000519	SCHMD19355, SCHMD25526, SCHMD21661, SCHMD23283	YEAST04594, YEAST03616
OG0000520	SCHMD05955, SCHMD05956, SCHMD29599, SCHMD27845	YEAST02979
OG0000523	SCHMD28876	YEAST04693, YEAST04692
OG0000523	SCHMD13520	YEAST01952, YEAST05838, YEAST06082
OG0000529	SCHMD00028, SCHMD16782, SCHMD17234, SCHMD06409, SCHMD24374, SCHMD22774, SCHMD09913	YEAST05790, YEAST00048
OG0000534	SCHMD04873, SCHMD16884, SCHMD09514, SCHMD04872	YEAST04932
OG0000538	SCHMD23313, SCHMD17312	YEAST00499
OG0000552	SCHMD16245, SCHMD21874, SCHMD07234, SCHMD13011, SCHMD12173, SCHMD26203, SCHMD19357, SCHMD01116, SCHMD12890	YEAST05717
OG0000556	SCHMD23624	YEAST04616
OG0000561	SCHMD09766	YEAST06202, YEAST00331
OG0000562	SCHMD13356, SCHMD10853, SCHMD10851	YEAST00314
OG0000563	SCHMD25177, SCHMD22478, SCHMD19010, SCHMD18961, SCHMD13906, SCHMD19772, SCHMD04138, SCHMD13630, SCHMD27006, SCHMD25371, SCHMD26550, SCHMD20849, SCHMD11824, SCHMD20039, SCHMD21297, SCHMD02175, SCHMD21596, SCHMD14777, SCHMD04135, SCHMD05410, SCHMD16749, SCHMD27088, SCHMD13743, SCHMD13510, SCHMD05417, SCHMD00956, SCHMD23940	YEAST01406
OG0000566	SCHMD24931, SCHMD26489	YEAST05789, YEAST00049
OG0000573	SCHMD13281, SCHMD17636, SCHMD00372, SCHMD01043, SCHMD15213, SCHMD24610, SCHMD11309, SCHMD19455, SCHMD01045, SCHMD29036, SCHMD15211, SCHMD16187	YEAST05675
OG0000576	SCHMD17959, SCHMD00167, SCHMD15710	YEAST00470, YEAST00193
OG0000578	SCHMD07755, SCHMD00300, SCHMD17617	YEAST01208, YEAST00759
OG0000579	SCHMD26692, SCHMD29307, SCHMD26446, SCHMD01160, SCHMD01878, SCHMD11162, SCHMD25933, SCHMD01879, SCHMD16027, SCHMD27820, SCHMD26175	YEAST02484
OG0000582	SCHMD16063, SCHMD04882, SCHMD26591, SCHMD02159	YEAST03615
OG0000587	SCHMD03879, SCHMD05571	YEAST04063
OG0000588	SCHMD01542, SCHMD09247, SCHMD07021, SCHMD07022	YEAST05197
OG0000590	SCHMD29843, SCHMD08634, SCHMD18326	YEAST05110, YEAST05552, YEAST03727
OG0000592	SCHMD11895, SCHMD04777, SCHMD09289, SCHMD17605, SCHMD11894	YEAST00388
OG0000597	SCHMD00271	YEAST04330
OG0000609	SCHMD24245, SCHMD16443, SCHMD17568	YEAST05180
OG0000612	SCHMD03892, SCHMD04363, SCHMD09119	YEAST02370
OG0000612	SCHMD07440	YEAST05215
OG0000612	SCHMD12367, SCHMD16212, SCHMD12368	YEAST03629
OG0000613	SCHMD19801, SCHMD26357, SCHMD15315, SCHMD11333	YEAST01072
OG0000623	SCHMD06017, SCHMD06018	YEAST02411
OG0000623	SCHMD05599, SCHMD06718, SCHMD03445, SCHMD22744, SCHMD24118, SCHMD17727, SCHMD12585	YEAST05090
OG0000627	SCHMD09127	YEAST02116, YEAST03957
OG0000639	SCHMD15823, SCHMD12604, SCHMD12603, SCHMD12605, SCHMD10747	YEAST02015
OG0000642	SCHMD07724	YEAST00618
OG0000645	SCHMD29005, SCHMD05528	YEAST04743
OG0000647	SCHMD29494	YEAST04534
OG0000648	SCHMD10719, SCHMD09057, SCHMD29274, SCHMD18065	YEAST04178, YEAST05641
OG0000657	SCHMD06576, SCHMD14158, SCHMD14159, SCHMD28173, SCHMD18210	YEAST03846
OG0000660	SCHMD02770, SCHMD14151, SCHMD11195, SCHMD19605, SCHMD07974, SCHMD15853, SCHMD20422, SCHMD27193	YEAST05150, YEAST01587
OG0000660	SCHMD26261	YEAST00514
OG0000662	SCHMD04360, SCHMD08940, SCHMD24126, SCHMD23958, SCHMD03108, SCHMD03703, SCHMD08942, SCHMD05635	YEAST05937
OG0000663	SCHMD28509, SCHMD28508, SCHMD08739	YEAST02675, YEAST03294
OG0000665	SCHMD09294	YEAST02105, YEAST03843
OG0000672	SCHMD28683, SCHMD11622, SCHMD29250, SCHMD22471, SCHMD16139, SCHMD10377, SCHMD17197, SCHMD10307, SCHMD15500	YEAST03771
OG0000672	SCHMD03901, SCHMD06456	YEAST00984
OG0000676	SCHMD18867	YEAST01503
OG0000676	SCHMD08131	YEAST02962
OG0000683	SCHMD21601, SCHMD28199, SCHMD24958	YEAST03152, YEAST03537, YEAST05938
OG0000690	SCHMD24354	YEAST04874
OG0000690	SCHMD17313, SCHMD21259, SCHMD18093	YEAST02296
OG0000692	SCHMD24514, SCHMD18362, SCHMD11826	YEAST01969
OG0000692	SCHMD02580	YEAST03487
OG0000694	SCHMD02121, SCHMD02119	YEAST05978
OG0000699	SCHMD20380, SCHMD24169, SCHMD20675, SCHMD24967	YEAST05706
OG0000701	SCHMD02913, SCHMD15835, SCHMD15836	YEAST02239, YEAST02223
OG0000703	SCHMD16900, SCHMD27672, SCHMD19745, SCHMD27562, SCHMD13056, SCHMD14155, SCHMD02015, SCHMD21390, SCHMD19872, SCHMD13000, SCHMD28016, SCHMD02951, SCHMD22472, SCHMD05181, SCHMD19746, SCHMD15814, SCHMD02952, SCHMD15683, SCHMD03880, SCHMD12640, SCHMD26335, SCHMD23390, SCHMD20492	YEAST05314
OG0000708	SCHMD23042, SCHMD29520, SCHMD19130, SCHMD16347	YEAST03515
OG0000708	SCHMD25653, SCHMD21805	YEAST05997
OG0000709	SCHMD18124, SCHMD20599, SCHMD21920, SCHMD21257	YEAST00057
OG0000724	SCHMD01876, SCHMD11468, SCHMD08667, SCHMD14292, SCHMD17982, SCHMD00128, SCHMD07525, SCHMD08666, SCHMD07332	YEAST02013
OG0000732	SCHMD15413, SCHMD09651, SCHMD05249	YEAST04978
OG0000733	SCHMD15931, SCHMD28225, SCHMD15626, SCHMD13904, SCHMD02163	YEAST05474
OG0000735	SCHMD07620	YEAST05945
OG0000737	SCHMD13872, SCHMD06037, SCHMD06036, SCHMD13871, SCHMD06038, SCHMD26765, SCHMD20700, SCHMD19426, SCHMD19425, SCHMD16484, SCHMD24684	YEAST05188
OG0000745	SCHMD29713, SCHMD29471	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	SCHMD05569, SCHMD03946, SCHMD12645	YEAST01432, YEAST04483
OG0000753	SCHMD14739, SCHMD19308, SCHMD17874, SCHMD17873, SCHMD19309	YEAST01034, YEAST02037
OG0000757	SCHMD13979, SCHMD10753, SCHMD18486	YEAST01489
OG0000758	SCHMD21135, SCHMD07281, SCHMD07282	YEAST01504
OG0000759	SCHMD22205, SCHMD21958	YEAST02878, YEAST05681
OG0000765	SCHMD28655, SCHMD19641	YEAST02282, YEAST01897
OG0000765	SCHMD29001	YEAST05027, YEAST03009, YEAST01404
OG0000768	SCHMD13164, SCHMD22066, SCHMD13165, SCHMD22067	YEAST02560, YEAST04269
OG0000772	SCHMD27339, SCHMD28581, SCHMD07550, SCHMD11404, SCHMD29807	YEAST04929
OG0000776	SCHMD10487	YEAST04571, YEAST00195, YEAST00312
OG0000777	SCHMD19863, SCHMD04489, SCHMD11511, SCHMD04488, SCHMD17125	YEAST06297, YEAST02627
OG0000782	SCHMD18810, SCHMD13192, SCHMD14543, SCHMD01655, SCHMD14818	YEAST01393, YEAST05616
OG0000791	SCHMD20330, SCHMD18169, SCHMD20086, SCHMD12436, SCHMD08589, SCHMD12437	YEAST02375
OG0000794	SCHMD10042	YEAST04627
OG0000809	SCHMD21850, SCHMD00682	YEAST01998
OG0000817	SCHMD18475, SCHMD11029	YEAST02132
OG0000817	SCHMD22983	YEAST06112
OG0000824	SCHMD13102, SCHMD05362, SCHMD07823, SCHMD24327, SCHMD27575, SCHMD22375, SCHMD26863, SCHMD23932, SCHMD19546, SCHMD05363, SCHMD16880	YEAST01319, YEAST02883
OG0000828	SCHMD18098, SCHMD08298	YEAST00945, YEAST05476, YEAST00075
OG0000828	SCHMD07805, SCHMD08624, SCHMD09181, SCHMD13964	YEAST02290
OG0000837	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083	YEAST06222
OG0000841	SCHMD01918, SCHMD21459	YEAST02416
OG0000847	SCHMD00410	YEAST02881, YEAST03544, YEAST06198
OG0000847	SCHMD03587, SCHMD22549	YEAST02530, YEAST00209
OG0000849	SCHMD25311, SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685	YEAST04475
OG0000850	SCHMD23862, SCHMD22814, SCHMD10966, SCHMD04706, SCHMD04753, SCHMD01633, SCHMD04752, SCHMD26000, SCHMD27633	YEAST04287
OG0000852	SCHMD20255, SCHMD13251, SCHMD25468, SCHMD13252, SCHMD13081	YEAST01266
OG0000855	SCHMD29481, SCHMD01902, SCHMD15557	YEAST04755
OG0000857	SCHMD04157, SCHMD10825, SCHMD22599, SCHMD10824, SCHMD04156, SCHMD10826	YEAST00309
OG0000868	SCHMD05358, SCHMD10335, SCHMD05359	YEAST06157
OG0000871	SCHMD06938	YEAST03857
OG0000872	SCHMD07553	YEAST03222, YEAST03741
OG0000875	SCHMD10815, SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336	YEAST00077
OG0000876	SCHMD17198, SCHMD01529, SCHMD01530, SCHMD17201, SCHMD26977, SCHMD17199, SCHMD26978, SCHMD17200	YEAST05556
OG0000879	SCHMD10640	YEAST06123
OG0000888	SCHMD01724, SCHMD23123	YEAST00288
OG0000889	SCHMD00830, SCHMD04643, SCHMD02281, SCHMD02130	YEAST00175
