Orthogroup	SCHMD	NEMVE
OG0000021	SCHMD10526, SCHMD19498, SCHMD09793, SCHMD07893, SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	NEMVE04837
OG0000023	SCHMD04923	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449
OG0000023	SCHMD14075	NEMVE08792
OG0000026	SCHMD00612	NEMVE11230, NEMVE18197, NEMVE11570
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	SCHMD09456	NEMVE07358, NEMVE05350, NEMVE02019
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	NEMVE03602
OG0000030	SCHMD17295	NEMVE20373, NEMVE19035
OG0000030	SCHMD20337	NEMVE00336
OG0000030	SCHMD25391	NEMVE02213, NEMVE02794
OG0000030	SCHMD25427	NEMVE06265
OG0000030	SCHMD17912, SCHMD19398	NEMVE16622, NEMVE15282
OG0000031	SCHMD16950	NEMVE01854, NEMVE06981, NEMVE07223
OG0000031	SCHMD11094	NEMVE01806
OG0000031	SCHMD00185	NEMVE02343
OG0000031	SCHMD17865	NEMVE04984, NEMVE07820, NEMVE12067, NEMVE21885
OG0000032	SCHMD05709	NEMVE03085
OG0000034	SCHMD26718	NEMVE16906
OG0000034	SCHMD02114	NEMVE16907
OG0000034	SCHMD13190, SCHMD26745	NEMVE17012, NEMVE07311, NEMVE07285
OG0000034	SCHMD14042	NEMVE03284
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	NEMVE10927
OG0000034	SCHMD04875	NEMVE10961, NEMVE24294
OG0000034	SCHMD07081	NEMVE16104, NEMVE09479, NEMVE10924
OG0000034	SCHMD15143, SCHMD18175	NEMVE18183
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	NEMVE23841
OG0000036	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086	NEMVE07419, NEMVE07417
OG0000037	SCHMD19933	NEMVE00865, NEMVE01113
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	NEMVE10401
OG0000037	SCHMD03362	NEMVE19686
OG0000038	SCHMD28404	NEMVE14268
OG0000038	SCHMD14596, SCHMD16257, SCHMD14597	NEMVE21816
OG0000039	SCHMD12270	NEMVE01371, NEMVE05995, NEMVE06442, NEMVE10026, NEMVE09835, NEMVE12611, NEMVE00464, NEMVE09225, NEMVE01642, NEMVE01444, NEMVE09224, NEMVE01560, NEMVE06811, NEMVE06934, NEMVE09831, NEMVE16411, NEMVE04657, NEMVE15743, NEMVE01294, NEMVE18297, NEMVE18296
OG0000040	SCHMD01748, SCHMD12016, SCHMD05917, SCHMD01746	NEMVE20551
OG0000040	SCHMD25293, SCHMD21694, SCHMD27504	NEMVE11519
OG0000041	SCHMD08254	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915	NEMVE06792
OG0000041	SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	NEMVE05295
OG0000043	SCHMD29320	NEMVE00880
OG0000043	SCHMD11361, SCHMD08066	NEMVE00770
OG0000043	SCHMD11455	NEMVE21961, NEMVE21792, NEMVE19640, NEMVE21007, NEMVE21132, NEMVE18462, NEMVE12789, NEMVE12803, NEMVE14296
OG0000043	SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068	NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121
OG0000044	SCHMD06550	NEMVE16246, NEMVE14588
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	NEMVE14912
OG0000049	SCHMD02961, SCHMD14840, SCHMD07231, SCHMD18899, SCHMD19386, SCHMD26352, SCHMD17006	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	SCHMD13819	NEMVE01920, NEMVE01841
OG0000051	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000055	SCHMD17892, SCHMD29195	NEMVE00590
OG0000057	SCHMD08094	NEMVE10389, NEMVE10288, NEMVE05767, NEMVE05753, NEMVE07561, NEMVE16869, NEMVE12777, NEMVE13925, NEMVE09515, NEMVE17706
OG0000058	SCHMD04270	NEMVE13151
OG0000058	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402	NEMVE00498
OG0000058	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329	NEMVE17922, NEMVE24060, NEMVE22352, NEMVE13854, NEMVE14802
OG0000060	SCHMD28975, SCHMD17528, SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987	NEMVE02438
OG0000060	SCHMD16998	NEMVE00070, NEMVE04978, NEMVE04891, NEMVE14352, NEMVE05019, NEMVE21993, NEMVE15088
OG0000060	SCHMD17292, SCHMD03062	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	NEMVE10327, NEMVE00984, NEMVE10333, NEMVE14126
OG0000063	SCHMD04855	NEMVE05614
OG0000063	SCHMD09653	NEMVE00196, NEMVE00961
OG0000063	SCHMD26478, SCHMD21709	NEMVE18393
OG0000065	SCHMD25473, SCHMD19118, SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	SCHMD06601	NEMVE00589
OG0000066	SCHMD06030	NEMVE02094, NEMVE00829
OG0000066	SCHMD05807	NEMVE08140, NEMVE02115, NEMVE05395, NEMVE00242, NEMVE00199, NEMVE02160, NEMVE11189, NEMVE08925, NEMVE05032, NEMVE14665, NEMVE01053
OG0000066	SCHMD11629, SCHMD22506	NEMVE05353, NEMVE08127, NEMVE05161
OG0000066	SCHMD17583	NEMVE05988
OG0000066	SCHMD06603, SCHMD09194	NEMVE19300
OG0000068	SCHMD05762, SCHMD05760, SCHMD05763	NEMVE24661, NEMVE20048
OG0000069	SCHMD11437	NEMVE11511
OG0000069	SCHMD05798, SCHMD12262	NEMVE15092
OG0000069	SCHMD18974	NEMVE02861
OG0000070	SCHMD06745	NEMVE23951, NEMVE09231, NEMVE05946
OG0000070	SCHMD21394	NEMVE02233
OG0000070	SCHMD23038	NEMVE15657, NEMVE02127, NEMVE24740, NEMVE15772, NEMVE06867, NEMVE02507
OG0000070	SCHMD27266, SCHMD15308	NEMVE06972, NEMVE04610
OG0000071	SCHMD08674, SCHMD04226	NEMVE23762, NEMVE04901
OG0000072	SCHMD10090	NEMVE01460
OG0000072	SCHMD16868, SCHMD20563	NEMVE02411, NEMVE09777, NEMVE02870, NEMVE01453
OG0000072	SCHMD19677, SCHMD17046, SCHMD17002	NEMVE17093, NEMVE24337, NEMVE20057, NEMVE17205
OG0000072	SCHMD10043, SCHMD09884, SCHMD25260, SCHMD20325, SCHMD10751	NEMVE00427
OG0000075	SCHMD10965	NEMVE21913
OG0000075	SCHMD28477	NEMVE06044
OG0000075	SCHMD03704	NEMVE24197
OG0000075	SCHMD21424	NEMVE22411
OG0000077	SCHMD17571, SCHMD04266, SCHMD27295, SCHMD10331, SCHMD20020, SCHMD23576, SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499, SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624, SCHMD15208, SCHMD02698, SCHMD27373, SCHMD27493, SCHMD17678, SCHMD20714, SCHMD25666, SCHMD20144, SCHMD27793, SCHMD21332	NEMVE04990
OG0000078	SCHMD04824, SCHMD04525	NEMVE17207
OG0000078	SCHMD04822, SCHMD04523	NEMVE09271
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	NEMVE07219, NEMVE03189
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	NEMVE02220
OG0000079	SCHMD06941, SCHMD04736	NEMVE00715, NEMVE10337, NEMVE10329, NEMVE05451
OG0000080	SCHMD10387, SCHMD06434	NEMVE06862
OG0000082	SCHMD03263, SCHMD10119	NEMVE19066
OG0000082	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	NEMVE14867, NEMVE15134
OG0000082	SCHMD03363	NEMVE22355
OG0000083	SCHMD16633	NEMVE19216
OG0000084	SCHMD28182, SCHMD25065	NEMVE16722
OG0000084	SCHMD21106	NEMVE00575
OG0000085	SCHMD12836	NEMVE07289
OG0000085	SCHMD12466	NEMVE07695, NEMVE08967, NEMVE08972
OG0000085	SCHMD18327	NEMVE18682, NEMVE18681
OG0000087	SCHMD09399	NEMVE09998
OG0000087	SCHMD09405, SCHMD09406	NEMVE14074
OG0000087	SCHMD03794, SCHMD09403, SCHMD09409, SCHMD09408	NEMVE12577
OG0000087	SCHMD05855	NEMVE14184
OG0000087	SCHMD03394	NEMVE03741, NEMVE21845
OG0000087	SCHMD03393	NEMVE03416
OG0000087	SCHMD25814	NEMVE21432
OG0000087	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336	NEMVE20307
OG0000087	SCHMD07337	NEMVE01934
OG0000090	SCHMD17599, SCHMD20160	NEMVE21539, NEMVE17016, NEMVE10232
OG0000090	SCHMD06769	NEMVE24660, NEMVE20728
OG0000094	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753	NEMVE05621
OG0000094	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097	NEMVE03407, NEMVE03409, NEMVE03406
OG0000095	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942	NEMVE15802
OG0000096	SCHMD07753	NEMVE14782
OG0000096	SCHMD18607	NEMVE12518, NEMVE12519
OG0000096	SCHMD10033	NEMVE14773
OG0000098	SCHMD29644, SCHMD22119	NEMVE07244, NEMVE05378
OG0000099	SCHMD03930, SCHMD15019	NEMVE10616, NEMVE07524, NEMVE01647, NEMVE02992
OG0000099	SCHMD14698, SCHMD05542	NEMVE07525, NEMVE20970
OG0000101	SCHMD06502, SCHMD06505, SCHMD06506	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533
OG0000103	SCHMD29081, SCHMD19673	NEMVE06305
OG0000103	SCHMD08147	NEMVE09043
OG0000104	SCHMD06960, SCHMD11618	NEMVE18020
OG0000106	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496	NEMVE07221, NEMVE07805, NEMVE13923, NEMVE09138, NEMVE09430, NEMVE20448, NEMVE05915, NEMVE16024
OG0000107	SCHMD04920	NEMVE02891, NEMVE02920
OG0000110	SCHMD11887	NEMVE13920, NEMVE12399
OG0000113	SCHMD06629, SCHMD02664	NEMVE21021, NEMVE14510
OG0000114	SCHMD19276	NEMVE07046, NEMVE14943
OG0000114	SCHMD28859, SCHMD14331, SCHMD20678, SCHMD12740, SCHMD12417, SCHMD24462	NEMVE20958
OG0000115	SCHMD28271, SCHMD15320	NEMVE02947, NEMVE06325, NEMVE06294, NEMVE03412
OG0000116	SCHMD19105	NEMVE00509, NEMVE00502
OG0000119	SCHMD02911	NEMVE22896, NEMVE15248
OG0000120	SCHMD09518	NEMVE03389
OG0000120	SCHMD26849	NEMVE08594
OG0000120	SCHMD11870	NEMVE01429
OG0000121	SCHMD07020	NEMVE03127, NEMVE09919
OG0000122	SCHMD16640, SCHMD09850, SCHMD00544	NEMVE00926
OG0000124	SCHMD10270, SCHMD10271	NEMVE24720, NEMVE14026
OG0000124	SCHMD11964, SCHMD20871, SCHMD16822	NEMVE25045
OG0000124	SCHMD08774	NEMVE14854
OG0000126	SCHMD00122, SCHMD06495, SCHMD00127	NEMVE07689
OG0000126	SCHMD24144	NEMVE08729, NEMVE02964
OG0000126	SCHMD01813, SCHMD04253	NEMVE00909
OG0000127	SCHMD03781	NEMVE22473
OG0000127	SCHMD07478	NEMVE06422, NEMVE00274, NEMVE08437
OG0000127	SCHMD18620	NEMVE08799
OG0000128	SCHMD25789, SCHMD19594	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927
OG0000129	SCHMD20816	NEMVE15459, NEMVE24455
OG0000129	SCHMD05405	NEMVE05043
OG0000129	SCHMD03224	NEMVE14958
OG0000130	SCHMD02824, SCHMD13205	NEMVE01604, NEMVE15775, NEMVE03747
OG0000130	SCHMD17609	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460, NEMVE01086, NEMVE02097
OG0000135	SCHMD24143, SCHMD24147	NEMVE07712, NEMVE07156, NEMVE10399, NEMVE00765, NEMVE01301, NEMVE08506, NEMVE00634, NEMVE19959, NEMVE11803, NEMVE12861, NEMVE07150, NEMVE09618, NEMVE18689, NEMVE00849, NEMVE01021, NEMVE07037, NEMVE08365, NEMVE09611, NEMVE01856, NEMVE01229
OG0000136	SCHMD25568, SCHMD19897	NEMVE19251, NEMVE04778
OG0000137	SCHMD05813, SCHMD08865, SCHMD09251, SCHMD04306, SCHMD09558	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935
OG0000139	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124	NEMVE16959, NEMVE19997, NEMVE23512, NEMVE25194
OG0000140	SCHMD01678, SCHMD02420, SCHMD05315	NEMVE07291
OG0000142	SCHMD07405, SCHMD02973, SCHMD14341	NEMVE13476
OG0000142	SCHMD14394	NEMVE21939
OG0000142	SCHMD01440, SCHMD00718	NEMVE20784
OG0000142	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364	NEMVE18434, NEMVE18435, NEMVE09154
OG0000145	SCHMD03152	NEMVE16199, NEMVE04738, NEMVE21777, NEMVE21974
OG0000147	SCHMD11019	NEMVE01930
OG0000147	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025, SCHMD03558	NEMVE00775
OG0000147	SCHMD11968	NEMVE13815
OG0000148	SCHMD08056, SCHMD08055, SCHMD00321, SCHMD17109	NEMVE23582, NEMVE05630
OG0000149	SCHMD06205	NEMVE08530
OG0000149	SCHMD05440	NEMVE21291
OG0000151	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274	NEMVE16753, NEMVE04801, NEMVE16934, NEMVE04750, NEMVE14329, NEMVE16902
OG0000151	SCHMD02747, SCHMD12342	NEMVE23696, NEMVE23695
OG0000155	SCHMD05383, SCHMD06593, SCHMD10992	NEMVE08895
OG0000155	SCHMD13126, SCHMD13125	NEMVE19985, NEMVE14842
OG0000157	SCHMD03548, SCHMD06363	NEMVE24250
OG0000157	SCHMD24948, SCHMD15302, SCHMD05230, SCHMD01802, SCHMD01418	NEMVE22690
OG0000158	SCHMD18936	NEMVE19203, NEMVE24928
OG0000159	SCHMD26601, SCHMD09606	NEMVE15043, NEMVE07490, NEMVE20974, NEMVE03468, NEMVE06600
OG0000159	SCHMD14942	NEMVE15373, NEMVE08424, NEMVE15992, NEMVE05165, NEMVE03182, NEMVE02495, NEMVE09227, NEMVE08562
OG0000160	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430	NEMVE02932, NEMVE13008, NEMVE08785
OG0000162	SCHMD08934, SCHMD09890	NEMVE11195
OG0000163	SCHMD23090	NEMVE16077, NEMVE20049, NEMVE20746, NEMVE21312, NEMVE20239, NEMVE23284, NEMVE23040, NEMVE12529, NEMVE24450
OG0000163	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554	NEMVE12704, NEMVE13131
OG0000166	SCHMD08400	NEMVE13422, NEMVE21827
OG0000166	SCHMD15704, SCHMD08401, SCHMD28623, SCHMD22442	NEMVE03435, NEMVE02015, NEMVE05833
OG0000168	SCHMD19556	NEMVE10579
OG0000168	SCHMD29139	NEMVE11814
OG0000169	SCHMD00386	NEMVE20740
OG0000171	SCHMD07239	NEMVE07518
OG0000173	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093	NEMVE17194
OG0000174	SCHMD09838	NEMVE22424, NEMVE05336, NEMVE05301, NEMVE11815
OG0000174	SCHMD22727, SCHMD14760, SCHMD22728	NEMVE06968, NEMVE04933
OG0000174	SCHMD08354, SCHMD22729	NEMVE06155
OG0000175	SCHMD18439, SCHMD17544	NEMVE07460, NEMVE08062, NEMVE00450, NEMVE15112
