Orthogroup	LYTVA_ok	SCHMD
OG0000011	LYTVA_13841, LYTVA_28284	SCHMD05659
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000012	LYTVA_24416	SCHMD06045, SCHMD22580
OG0000015	LYTVA_26004	SCHMD16724
OG0000015	LYTVA_26002	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000015	LYTVA_06792	SCHMD21895, SCHMD16722
OG0000017	LYTVA_11588, LYTVA_10434, LYTVA_20423, LYTVA_02523, LYTVA_13694, LYTVA_17853, LYTVA_14292, LYTVA_04996, LYTVA_19500, LYTVA_26436, LYTVA_25313, LYTVA_06162, LYTVA_26989, LYTVA_01310, LYTVA_21335, LYTVA_04412, LYTVA_21763, LYTVA_13468, LYTVA_16812, LYTVA_26507	SCHMD13346
OG0000018	LYTVA_29857	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969
OG0000019	LYTVA_17120	SCHMD12011, SCHMD20948, SCHMD23009
OG0000019	LYTVA_18162	SCHMD07568
OG0000020	LYTVA_00541, LYTVA_04295	SCHMD01272
OG0000020	LYTVA_19355	SCHMD00005
OG0000020	LYTVA_21318	SCHMD08736
OG0000020	LYTVA_23496	SCHMD09886
OG0000020	LYTVA_23009	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	LYTVA_14789	SCHMD05055, SCHMD22715, SCHMD07894
OG0000021	LYTVA_10118	SCHMD09794
OG0000021	LYTVA_02440	SCHMD10526, SCHMD19498
OG0000021	LYTVA_14564	SCHMD09793, SCHMD07893
OG0000023	LYTVA_24785	SCHMD05376
OG0000026	LYTVA_08598, LYTVA_05009, LYTVA_02302	SCHMD10899
OG0000026	LYTVA_19796	SCHMD22460
OG0000028	LYTVA_11085	SCHMD22912, SCHMD03422
OG0000028	LYTVA_12763	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	LYTVA_19314	SCHMD15862
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	LYTVA_02137	SCHMD19597, SCHMD15689, SCHMD26547
OG0000030	LYTVA_13667	SCHMD17295
OG0000030	LYTVA_26760	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	LYTVA_28697	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	LYTVA_26755, LYTVA_09586, LYTVA_27291, LYTVA_25957	SCHMD25391
OG0000031	LYTVA_04157, LYTVA_03000, LYTVA_07242	SCHMD16950
OG0000031	LYTVA_07394	SCHMD11094
OG0000031	LYTVA_13645	SCHMD00185
OG0000031	LYTVA_05124, LYTVA_29658	SCHMD17865
OG0000031	LYTVA_24172	SCHMD04192
OG0000032	LYTVA_15487	SCHMD05706, SCHMD26195
OG0000032	LYTVA_14158	SCHMD24540, SCHMD22975, SCHMD09223
OG0000032	LYTVA_26011, LYTVA_24216, LYTVA_22020	SCHMD05709, SCHMD01866
OG0000034	LYTVA_20191	SCHMD13190, SCHMD26745
OG0000034	LYTVA_04080	SCHMD11160, SCHMD18247
OG0000034	LYTVA_29167, LYTVA_10612	SCHMD04875
OG0000034	LYTVA_06697	SCHMD07081
OG0000035	LYTVA_03445	SCHMD06303
OG0000035	LYTVA_12116	SCHMD15627, SCHMD19701
OG0000036	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000036	LYTVA_13566	SCHMD10087, SCHMD20124, SCHMD27854
OG0000037	LYTVA_05257, LYTVA_19733, LYTVA_11127, LYTVA_06887, LYTVA_08523, LYTVA_24218, LYTVA_22087	SCHMD19933
OG0000037	LYTVA_02747	SCHMD00542, SCHMD17538
OG0000037	LYTVA_25050, LYTVA_25057, LYTVA_25048	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	LYTVA_04662	SCHMD26619
OG0000038	LYTVA_25636	SCHMD04793, SCHMD13832
OG0000038	LYTVA_25193	SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443
OG0000038	LYTVA_00437	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000038	LYTVA_23709	SCHMD28404
OG0000038	LYTVA_27081, LYTVA_14519, LYTVA_00438	SCHMD14596, SCHMD16257, SCHMD14597
OG0000038	LYTVA_09516	SCHMD04461, SCHMD04816, SCHMD04460
OG0000039	LYTVA_16233, LYTVA_28543, LYTVA_07607, LYTVA_13062, LYTVA_27073, LYTVA_02868	SCHMD12270
OG0000040	LYTVA_16038	SCHMD25293, SCHMD21694, SCHMD27504
OG0000040	LYTVA_13614, LYTVA_19660	SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146
OG0000041	LYTVA_17546, LYTVA_17545	SCHMD08254
OG0000041	LYTVA_25852	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	LYTVA_03177	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	LYTVA_05725, LYTVA_13550, LYTVA_24763, LYTVA_20678, LYTVA_30007, LYTVA_26935, LYTVA_10735, LYTVA_00383, LYTVA_02758, LYTVA_00226	SCHMD11455
OG0000043	LYTVA_12710	SCHMD29206, SCHMD09758
OG0000048	LYTVA_17720, LYTVA_17428	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	LYTVA_16567	SCHMD02961, SCHMD14840
OG0000049	LYTVA_07886	SCHMD17006
OG0000049	LYTVA_02138	SCHMD22370
OG0000051	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	LYTVA_09126, LYTVA_26970, LYTVA_18344	SCHMD17892, SCHMD29195
OG0000058	LYTVA_29674	SCHMD04270
OG0000058	LYTVA_14430	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122
OG0000058	LYTVA_14164	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000059	LYTVA_05676	SCHMD20167, SCHMD15436, SCHMD05187, SCHMD26092, SCHMD18312, SCHMD29210
OG0000060	LYTVA_02319	SCHMD17528
OG0000060	LYTVA_11689, LYTVA_07972	SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061
OG0000060	LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384	SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	LYTVA_10196	SCHMD03062
OG0000061	LYTVA_16102	SCHMD24930
OG0000061	LYTVA_20904, LYTVA_09585, LYTVA_28339	SCHMD12952
OG0000061	LYTVA_02993, LYTVA_26455, LYTVA_26459	SCHMD11039
OG0000062	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092, LYTVA_18550	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	LYTVA_03474	SCHMD04855
OG0000063	LYTVA_28622	SCHMD09653
OG0000065	LYTVA_02378	SCHMD25473, SCHMD19118
OG0000066	LYTVA_01899	SCHMD02363
OG0000066	LYTVA_14724	SCHMD06030
OG0000066	LYTVA_24831	SCHMD01861
OG0000068	LYTVA_11990, LYTVA_12287, LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	LYTVA_28766	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554
OG0000069	LYTVA_19096	SCHMD18974
OG0000070	LYTVA_12849	SCHMD06745
OG0000071	LYTVA_10873, LYTVA_10872, LYTVA_22942, LYTVA_22941, LYTVA_07051, LYTVA_07050, LYTVA_22709	SCHMD08674, SCHMD04226
OG0000073	LYTVA_08820, LYTVA_28046	SCHMD13212, SCHMD07291, SCHMD22957
OG0000077	LYTVA_24286	SCHMD17571
OG0000077	LYTVA_08553	SCHMD23576
OG0000077	LYTVA_24285	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000078	LYTVA_09049	SCHMD04824, SCHMD04525
OG0000078	LYTVA_16618	SCHMD04822, SCHMD04523
OG0000079	LYTVA_19637, LYTVA_24538, LYTVA_21250	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	LYTVA_06214, LYTVA_17750	SCHMD06941, SCHMD04736
OG0000080	LYTVA_22820, LYTVA_12729, LYTVA_29739, LYTVA_07108, LYTVA_04698, LYTVA_00085	SCHMD10387, SCHMD06434
OG0000082	LYTVA_25888	SCHMD03263, SCHMD10119
OG0000082	LYTVA_26329	SCHMD29028
OG0000082	LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399	SCHMD03363
OG0000083	LYTVA_15569	SCHMD16633
OG0000084	LYTVA_14799	SCHMD19821, SCHMD23941, SCHMD23870
OG0000084	LYTVA_18145	SCHMD28183
OG0000084	LYTVA_16127	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409
OG0000085	LYTVA_13307	SCHMD12836
OG0000085	LYTVA_05365	SCHMD12466
OG0000085	LYTVA_17776	SCHMD18327
OG0000087	LYTVA_15159	SCHMD09405, SCHMD09406
OG0000087	LYTVA_24079	SCHMD05855
OG0000087	LYTVA_16301	SCHMD21804, SCHMD25814, SCHMD16934
OG0000087	LYTVA_07967	SCHMD25288
OG0000090	LYTVA_08725, LYTVA_21266	SCHMD10805, SCHMD21388
OG0000090	LYTVA_28107, LYTVA_09935	SCHMD06769
OG0000093	LYTVA_18071	SCHMD02917
OG0000093	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	LYTVA_10290	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088, SCHMD18376, SCHMD14753
OG0000094	LYTVA_09221	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000095	LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054	SCHMD24112, SCHMD21858, SCHMD25769, SCHMD20853, SCHMD22035, SCHMD24353, SCHMD22942
OG0000096	LYTVA_12286	SCHMD07753
OG0000096	LYTVA_24298, LYTVA_20858	SCHMD10033
OG0000097	LYTVA_20598, LYTVA_17895, LYTVA_14555, LYTVA_01293, LYTVA_29875, LYTVA_10769, LYTVA_01595, LYTVA_13052, LYTVA_17582, LYTVA_19115, LYTVA_16485, LYTVA_10771, LYTVA_16484, LYTVA_19310, LYTVA_13138, LYTVA_11546, LYTVA_13556, LYTVA_18036, LYTVA_11818, LYTVA_13555, LYTVA_26641	SCHMD22037, SCHMD20326
OG0000098	LYTVA_01706	SCHMD06391, SCHMD10501, SCHMD12931, SCHMD12930, SCHMD10500, SCHMD12324, SCHMD12327, SCHMD15356, SCHMD11201
OG0000098	LYTVA_02412	SCHMD17663
OG0000098	LYTVA_24589, LYTVA_16909	SCHMD29644, SCHMD22119
OG0000099	LYTVA_00652	SCHMD03930, SCHMD15019
OG0000099	LYTVA_22524, LYTVA_05673, LYTVA_26003	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	LYTVA_09301, LYTVA_14363, LYTVA_14362	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000102	LYTVA_08951	SCHMD09396, SCHMD12410, SCHMD08585, SCHMD18142, SCHMD10076, SCHMD00250, SCHMD26069, SCHMD21030, SCHMD29532
OG0000103	LYTVA_05784	SCHMD29081, SCHMD19673
OG0000103	LYTVA_08412	SCHMD08147
OG0000106	LYTVA_01037, LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	LYTVA_12329	SCHMD04920
OG0000110	LYTVA_29623	SCHMD06031
OG0000110	LYTVA_05807, LYTVA_30126, LYTVA_30125	SCHMD11887
OG0000113	LYTVA_11625	SCHMD06629, SCHMD02664
OG0000114	LYTVA_18980, LYTVA_05208, LYTVA_13458	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000115	LYTVA_30005	SCHMD28271, SCHMD15320
OG0000116	LYTVA_27944, LYTVA_24429	SCHMD19106
OG0000117	LYTVA_20571	SCHMD11493
OG0000119	LYTVA_11474, LYTVA_08592, LYTVA_07119, LYTVA_19356, LYTVA_04285, LYTVA_11467	SCHMD02911
OG0000120	LYTVA_04898	SCHMD11870
OG0000121	LYTVA_03587	SCHMD07020, SCHMD20010, SCHMD10285, SCHMD10287, SCHMD21058, SCHMD10289, SCHMD12440
OG0000122	LYTVA_18458	SCHMD00543, SCHMD16641, SCHMD09849
OG0000123	LYTVA_16700	SCHMD11518, SCHMD04649, SCHMD20176, SCHMD20977
OG0000123	LYTVA_02814	SCHMD07646
OG0000123	LYTVA_20552	SCHMD22122, SCHMD14008
OG0000124	LYTVA_14993	SCHMD10270, SCHMD10271
OG0000124	LYTVA_27850	SCHMD08774
OG0000126	LYTVA_19767	SCHMD24144
OG0000126	LYTVA_16967	SCHMD06494
OG0000126	LYTVA_03902	SCHMD01813, SCHMD04253
OG0000127	LYTVA_12856	SCHMD03781
OG0000128	LYTVA_18955, LYTVA_21574, LYTVA_01369, LYTVA_05348, LYTVA_25678, LYTVA_25569, LYTVA_25568, LYTVA_09097, LYTVA_07273, LYTVA_29734, LYTVA_23730, LYTVA_23728, LYTVA_23729	SCHMD25789, SCHMD19594
OG0000128	LYTVA_25168	SCHMD29825
OG0000129	LYTVA_24420, LYTVA_06816	SCHMD05405
OG0000129	LYTVA_27162	SCHMD03224
OG0000130	LYTVA_23554	SCHMD02824, SCHMD13205
OG0000130	LYTVA_05651, LYTVA_17172, LYTVA_15765, LYTVA_27521	SCHMD17609
OG0000132	LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000136	LYTVA_28569, LYTVA_12212	SCHMD25568, SCHMD19897
OG0000137	LYTVA_25469, LYTVA_15627	SCHMD09558
OG0000140	LYTVA_19546	SCHMD02421, SCHMD05316, SCHMD01679
OG0000141	LYTVA_28409	SCHMD05764
OG0000142	LYTVA_20509	SCHMD14394, SCHMD01440, SCHMD00718
OG0000142	LYTVA_20512, LYTVA_27041, LYTVA_04856, LYTVA_01496	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000142	LYTVA_01493	SCHMD29515, SCHMD28730, SCHMD18761, SCHMD19018, SCHMD17308
OG0000147	LYTVA_20853	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025, SCHMD03558
OG0000149	LYTVA_09082	SCHMD05440
OG0000151	LYTVA_13428, LYTVA_13427	SCHMD02747, SCHMD12342
OG0000155	LYTVA_12158	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	LYTVA_27669	SCHMD17411
OG0000155	LYTVA_22929	SCHMD13125
OG0000158	LYTVA_03807	SCHMD18936
OG0000159	LYTVA_22895, LYTVA_21670, LYTVA_11548, LYTVA_22930, LYTVA_22121, LYTVA_26776, LYTVA_25766, LYTVA_12728, LYTVA_16500, LYTVA_10738, LYTVA_17708, LYTVA_06313, LYTVA_13868, LYTVA_10736	SCHMD14942
OG0000160	LYTVA_09555, LYTVA_09556	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000162	LYTVA_18164	SCHMD01637
OG0000162	LYTVA_25859	SCHMD05631, SCHMD22574, SCHMD09891
OG0000163	LYTVA_26726	SCHMD23090
OG0000163	LYTVA_16156	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	LYTVA_03746, LYTVA_11616, LYTVA_00435	SCHMD08400
OG0000166	LYTVA_25764	SCHMD15704, SCHMD08401
OG0000167	LYTVA_24832	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000168	LYTVA_16323	SCHMD19556
OG0000169	LYTVA_02351, LYTVA_20918	SCHMD00386
OG0000169	LYTVA_09716, LYTVA_24640, LYTVA_06335, LYTVA_06337, LYTVA_18535	SCHMD00387
OG0000173	LYTVA_24999	SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093
OG0000174	LYTVA_10125	SCHMD09838
OG0000174	LYTVA_06774	SCHMD08354, SCHMD22729
OG0000175	LYTVA_18185, LYTVA_25514	SCHMD23748, SCHMD18438, SCHMD03520
OG0000175	LYTVA_15383, LYTVA_23856, LYTVA_15381	SCHMD18439, SCHMD17544
OG0000179	LYTVA_11503	SCHMD11075
OG0000179	LYTVA_09715, LYTVA_09722, LYTVA_06848	SCHMD01320
OG0000179	LYTVA_24933	SCHMD00307
OG0000180	LYTVA_08268, LYTVA_08275	SCHMD14947, SCHMD20813
OG0000181	LYTVA_30016	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	LYTVA_19542, LYTVA_21135	SCHMD11453
OG0000182	LYTVA_19274, LYTVA_26926, LYTVA_27350	SCHMD06161, SCHMD20312
OG0000182	LYTVA_23182, LYTVA_12683, LYTVA_05167, LYTVA_18698, LYTVA_27329, LYTVA_17619, LYTVA_02337, LYTVA_01729	SCHMD07603
OG0000183	LYTVA_29269	SCHMD21103, SCHMD28756
OG0000183	LYTVA_12902, LYTVA_28105	SCHMD12130, SCHMD10333
OG0000186	LYTVA_08130	SCHMD24594
OG0000188	LYTVA_07056	SCHMD07258, SCHMD07283
OG0000188	LYTVA_06131	SCHMD04013
OG0000192	LYTVA_22840	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000193	LYTVA_08489	SCHMD22652, SCHMD22559
OG0000194	LYTVA_10369, LYTVA_19148, LYTVA_19770, LYTVA_19763, LYTVA_12264, LYTVA_12263, LYTVA_12262, LYTVA_24414	SCHMD11912, SCHMD12565
OG0000195	LYTVA_28994, LYTVA_02735	SCHMD06851
OG0000195	LYTVA_11062, LYTVA_09814, LYTVA_16951	SCHMD06771
OG0000201	LYTVA_05027	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	LYTVA_06928, LYTVA_03481, LYTVA_03480	SCHMD00317, SCHMD09035
OG0000201	LYTVA_05441	SCHMD10520
OG0000203	LYTVA_05320	SCHMD13221
OG0000204	LYTVA_09811	SCHMD05946, SCHMD11236, SCHMD20783
OG0000205	LYTVA_26646	SCHMD14902, SCHMD14453
OG0000205	LYTVA_08282	SCHMD07996
OG0000207	LYTVA_11110, LYTVA_21753, LYTVA_28234, LYTVA_23513, LYTVA_30157, LYTVA_01312, LYTVA_23468, LYTVA_16683, LYTVA_23967, LYTVA_11884	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000207	LYTVA_08682	SCHMD21037
OG0000208	LYTVA_28941	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	LYTVA_29620, LYTVA_07256, LYTVA_12257, LYTVA_11329, LYTVA_04915, LYTVA_22044, LYTVA_11807, LYTVA_15620	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	LYTVA_22843	SCHMD26754
OG0000211	LYTVA_04294	SCHMD21436
OG0000214	LYTVA_00072, LYTVA_07251, LYTVA_07717	SCHMD24110
OG0000215	LYTVA_08959	SCHMD27729, SCHMD15945
OG0000218	LYTVA_12244, LYTVA_02104	SCHMD01527
OG0000220	LYTVA_04465, LYTVA_04466, LYTVA_04468	SCHMD07645
OG0000221	LYTVA_17595, LYTVA_04768, LYTVA_08100	SCHMD10720
OG0000222	LYTVA_26734, LYTVA_13738, LYTVA_24122, LYTVA_28945, LYTVA_27554, LYTVA_20917, LYTVA_23553, LYTVA_21370	SCHMD21612, SCHMD08502
OG0000223	LYTVA_00593	SCHMD02890, SCHMD03920, SCHMD02891
OG0000223	LYTVA_24317	SCHMD07139, SCHMD25635, SCHMD26287, SCHMD25493
OG0000223	LYTVA_13912	SCHMD07138, SCHMD07143, SCHMD26815, SCHMD26565
OG0000225	LYTVA_20688, LYTVA_20689, LYTVA_18494	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000227	LYTVA_00830	SCHMD05353
OG0000227	LYTVA_00289, LYTVA_24191	SCHMD04380
OG0000228	LYTVA_28978	SCHMD07563, SCHMD07561, SCHMD07562, SCHMD11296
OG0000230	LYTVA_29471	SCHMD23835, SCHMD14315
OG0000231	LYTVA_23091	SCHMD15225, SCHMD17377
OG0000231	LYTVA_25029	SCHMD23026
OG0000231	LYTVA_01782	SCHMD24769, SCHMD25604
OG0000233	LYTVA_05981	SCHMD01146, SCHMD07435, SCHMD22145
OG0000235	LYTVA_28399, LYTVA_23583	SCHMD29163
OG0000236	LYTVA_03072	SCHMD00730
OG0000239	LYTVA_06349	SCHMD03432
OG0000239	LYTVA_09698, LYTVA_06433	SCHMD06547
OG0000241	LYTVA_07057, LYTVA_11465, LYTVA_05117	SCHMD13993
OG0000243	LYTVA_21983	SCHMD12372
OG0000243	LYTVA_14980, LYTVA_11137	SCHMD17682, SCHMD15912, SCHMD11668
OG0000244	LYTVA_00671	SCHMD21826
OG0000244	LYTVA_07546	SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	LYTVA_06938	SCHMD16891, SCHMD17961, SCHMD12289
OG0000246	LYTVA_09139	SCHMD12291, SCHMD13657, SCHMD12290
OG0000250	LYTVA_04806, LYTVA_21908	SCHMD07715, SCHMD11126
OG0000250	LYTVA_27749	SCHMD11127
OG0000250	LYTVA_28209	SCHMD00165
OG0000256	LYTVA_17873	SCHMD06220
OG0000257	LYTVA_26231	SCHMD15360
OG0000260	LYTVA_02941, LYTVA_22814	SCHMD00231
OG0000261	LYTVA_03764	SCHMD07513, SCHMD19684, SCHMD09437
OG0000261	LYTVA_00402	SCHMD06264, SCHMD17166
OG0000263	LYTVA_26683, LYTVA_26681, LYTVA_02420, LYTVA_23954, LYTVA_25318, LYTVA_01787, LYTVA_11286, LYTVA_01164, LYTVA_01126, LYTVA_12585, LYTVA_17091, LYTVA_12584, LYTVA_16230, LYTVA_10870, LYTVA_16231, LYTVA_27872, LYTVA_16078, LYTVA_19963, LYTVA_13531, LYTVA_15250, LYTVA_13529, LYTVA_13530, LYTVA_21007, LYTVA_13663, LYTVA_09794, LYTVA_26223, LYTVA_01736, LYTVA_01737	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150
OG0000265	LYTVA_27683	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	LYTVA_16147	SCHMD11031, SCHMD25284
OG0000265	LYTVA_23503	SCHMD18240, SCHMD09007
OG0000266	LYTVA_29614	SCHMD11802
