Orthogroup	LYTVA_ok	NEMVE
OG0000004	LYTVA_27784, LYTVA_21700, LYTVA_21699, LYTVA_11605, LYTVA_23685, LYTVA_10559, LYTVA_12757, LYTVA_13382, LYTVA_25777, LYTVA_27196, LYTVA_03271, LYTVA_06100, LYTVA_05937, LYTVA_25040, LYTVA_15014, LYTVA_08631	NEMVE10715, NEMVE21151
OG0000004	LYTVA_08482, LYTVA_13991	NEMVE02866, NEMVE15796, NEMVE12892
OG0000004	LYTVA_11730	NEMVE02378
OG0000005	LYTVA_21111, LYTVA_05821	NEMVE05730
OG0000006	LYTVA_27651	NEMVE06318
OG0000006	LYTVA_15901	NEMVE12700, NEMVE08468
OG0000006	LYTVA_03511	NEMVE09176
OG0000006	LYTVA_25253	NEMVE21901
OG0000006	LYTVA_07373	NEMVE02590
OG0000006	LYTVA_23957	NEMVE03392
OG0000006	LYTVA_14827	NEMVE06316
OG0000006	LYTVA_29757	NEMVE16957
OG0000006	LYTVA_18169	NEMVE02351
OG0000006	LYTVA_29412, LYTVA_25462	NEMVE04712
OG0000006	LYTVA_16832	NEMVE13538
OG0000006	LYTVA_16844	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	LYTVA_08878	NEMVE08464
OG0000006	LYTVA_23230	NEMVE22273, NEMVE03946
OG0000007	LYTVA_29912	NEMVE15003
OG0000007	LYTVA_22273	NEMVE14764
OG0000007	LYTVA_23216	NEMVE13570
OG0000007	LYTVA_18159	NEMVE08145
OG0000007	LYTVA_27359	NEMVE06210
OG0000007	LYTVA_29395	NEMVE03816
OG0000007	LYTVA_17245, LYTVA_04121	NEMVE16064
OG0000007	LYTVA_03206	NEMVE09467
OG0000007	LYTVA_12379, LYTVA_12378	NEMVE03824
OG0000007	LYTVA_12480	NEMVE09051
OG0000007	LYTVA_06652	NEMVE03714
OG0000007	LYTVA_22810, LYTVA_20192	NEMVE10605
OG0000007	LYTVA_19839	NEMVE09289
OG0000007	LYTVA_05177	NEMVE05677
OG0000008	LYTVA_11403	NEMVE08509, NEMVE08519, NEMVE09930
OG0000008	LYTVA_19861, LYTVA_22487	NEMVE02162
OG0000008	LYTVA_21093	NEMVE02218, NEMVE02180
OG0000008	LYTVA_19305	NEMVE04570, NEMVE15525, NEMVE04545, NEMVE06382, NEMVE06498, NEMVE06526, NEMVE06494, NEMVE06508, NEMVE06518, NEMVE03619, NEMVE03110, NEMVE09120, NEMVE12125, NEMVE12319, NEMVE07817, NEMVE12766
OG0000009	LYTVA_08221, LYTVA_08216	NEMVE18534
OG0000009	LYTVA_11963	NEMVE09431
OG0000009	LYTVA_00908	NEMVE20384
OG0000009	LYTVA_28432	NEMVE09925, NEMVE06876
OG0000009	LYTVA_02205, LYTVA_03649, LYTVA_21418, LYTVA_29726, LYTVA_09948, LYTVA_07513, LYTVA_08964, LYTVA_09966, LYTVA_22916, LYTVA_03297	NEMVE08980
OG0000009	LYTVA_22901, LYTVA_28165	NEMVE03254
OG0000009	LYTVA_10698, LYTVA_02136, LYTVA_14470	NEMVE09219
OG0000009	LYTVA_00127, LYTVA_29384, LYTVA_14775	NEMVE02901
OG0000009	LYTVA_30063, LYTVA_15489	NEMVE03675, NEMVE08930, NEMVE12887
OG0000011	LYTVA_15574, LYTVA_12978, LYTVA_26033	NEMVE10152
OG0000011	LYTVA_13841, LYTVA_28284, LYTVA_29140, LYTVA_27141, LYTVA_25384, LYTVA_21583	NEMVE11104
OG0000011	LYTVA_11150	NEMVE15531
OG0000012	LYTVA_12515, LYTVA_06149	NEMVE09268, NEMVE05547
OG0000012	LYTVA_05189	NEMVE01141, NEMVE23855, NEMVE18011, NEMVE02074, NEMVE10753
OG0000014	LYTVA_13955	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000014	LYTVA_08890	NEMVE10866, NEMVE17722, NEMVE05756, NEMVE15955, NEMVE15452, NEMVE14131, NEMVE05653, NEMVE05088
OG0000015	LYTVA_26004	NEMVE09590, NEMVE09832, NEMVE01566
OG0000015	LYTVA_06792	NEMVE03157, NEMVE03314, NEMVE10118, NEMVE08503
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	NEMVE10959
OG0000017	LYTVA_04996, LYTVA_19500	NEMVE21656
OG0000017	LYTVA_26436, LYTVA_25313	NEMVE08344
OG0000017	LYTVA_06162	NEMVE08981
OG0000017	LYTVA_26989, LYTVA_01310, LYTVA_21335, LYTVA_04412	NEMVE11360
OG0000017	LYTVA_13468, LYTVA_16812, LYTVA_26507	NEMVE05055, NEMVE07301, NEMVE11302, NEMVE11298, NEMVE10134
OG0000018	LYTVA_18794	NEMVE07261
OG0000018	LYTVA_13519, LYTVA_01656, LYTVA_29229, LYTVA_12870	NEMVE17996
OG0000018	LYTVA_07859, LYTVA_26503, LYTVA_00759, LYTVA_05774, LYTVA_08224, LYTVA_20675	NEMVE12742, NEMVE12416
OG0000019	LYTVA_17120	NEMVE06549
OG0000019	LYTVA_14521, LYTVA_18523, LYTVA_29569, LYTVA_29679, LYTVA_04809, LYTVA_22729	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000019	LYTVA_12149, LYTVA_22145, LYTVA_04453, LYTVA_29578, LYTVA_18165, LYTVA_00831, LYTVA_25953, LYTVA_25954, LYTVA_07425, LYTVA_07424, LYTVA_20407, LYTVA_25834, LYTVA_07423	NEMVE10214
OG0000019	LYTVA_01420	NEMVE10489
OG0000019	LYTVA_13754, LYTVA_11044, LYTVA_03700, LYTVA_17123, LYTVA_06066, LYTVA_08335, LYTVA_00256, LYTVA_17122, LYTVA_14016, LYTVA_15207, LYTVA_22229	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708
OG0000020	LYTVA_09793	NEMVE05671
OG0000020	LYTVA_10182	NEMVE21971
OG0000020	LYTVA_04298	NEMVE18721
OG0000020	LYTVA_23496	NEMVE14242
OG0000020	LYTVA_26274, LYTVA_21287, LYTVA_21826, LYTVA_05479, LYTVA_08129, LYTVA_26447	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	LYTVA_23009	NEMVE05506
OG0000020	LYTVA_12234	NEMVE08770, NEMVE22771
OG0000020	LYTVA_17081	NEMVE13577
OG0000020	LYTVA_06231	NEMVE13307
OG0000020	LYTVA_09530	NEMVE21746
OG0000020	LYTVA_00542	NEMVE13092
OG0000020	LYTVA_26250	NEMVE15151
OG0000021	LYTVA_14789	NEMVE01551, NEMVE13918
OG0000021	LYTVA_13480, LYTVA_00042, LYTVA_13481	NEMVE25647
OG0000021	LYTVA_10118, LYTVA_09991, LYTVA_09981	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	LYTVA_02440, LYTVA_23988, LYTVA_17642, LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778, LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849	NEMVE04837
OG0000023	LYTVA_11225	NEMVE01882
OG0000023	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	LYTVA_20952, LYTVA_04490, LYTVA_24711, LYTVA_01233, LYTVA_21144, LYTVA_20416	NEMVE13647
OG0000024	LYTVA_01628, LYTVA_03378	NEMVE05736, NEMVE12848
OG0000024	LYTVA_16563, LYTVA_24038, LYTVA_07220, LYTVA_19086, LYTVA_16350, LYTVA_11585	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039
OG0000024	LYTVA_14629	NEMVE12528
OG0000025	LYTVA_13225, LYTVA_10857	NEMVE03788, NEMVE03827, NEMVE02880, NEMVE02751
OG0000025	LYTVA_06174, LYTVA_05975	NEMVE09514, NEMVE12303, NEMVE11197, NEMVE11226, NEMVE19693, NEMVE02723
OG0000025	LYTVA_23249	NEMVE11507, NEMVE09420
OG0000026	LYTVA_08564	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	LYTVA_25399, LYTVA_26794	NEMVE15646
OG0000027	LYTVA_19671, LYTVA_28057, LYTVA_19674, LYTVA_23495, LYTVA_25604, LYTVA_04986, LYTVA_22090, LYTVA_13316, LYTVA_18136, LYTVA_21206, LYTVA_09140, LYTVA_26069, LYTVA_02318, LYTVA_09971, LYTVA_25862	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	LYTVA_10314, LYTVA_29171, LYTVA_29172	NEMVE03003, NEMVE23660, NEMVE03469, NEMVE05286, NEMVE04640, NEMVE08022, NEMVE16966, NEMVE16972, NEMVE16973, NEMVE02982, NEMVE08442, NEMVE03100, NEMVE06698, NEMVE03432, NEMVE18759, NEMVE09822, NEMVE00992, NEMVE03007, NEMVE02052, NEMVE16048, NEMVE08155, NEMVE16956, NEMVE02432, NEMVE01030, NEMVE02426
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	NEMVE03602, NEMVE01722, NEMVE08343
OG0000030	LYTVA_13667	NEMVE20373, NEMVE19035
OG0000030	LYTVA_20955, LYTVA_09651, LYTVA_26586	NEMVE14217, NEMVE02377, NEMVE09974
OG0000030	LYTVA_26755, LYTVA_09586, LYTVA_27291, LYTVA_25957	NEMVE02213, NEMVE02794
OG0000030	LYTVA_27440	NEMVE06265
OG0000031	LYTVA_04157, LYTVA_03000	NEMVE01854
OG0000031	LYTVA_07242	NEMVE06981
OG0000031	LYTVA_07394	NEMVE01806
OG0000031	LYTVA_19491	NEMVE01412
OG0000031	LYTVA_13645	NEMVE02343
OG0000031	LYTVA_05124	NEMVE07820
OG0000031	LYTVA_29658	NEMVE12067
OG0000031	LYTVA_09735	NEMVE22486
OG0000032	LYTVA_26011, LYTVA_24216, LYTVA_22020	NEMVE03085
OG0000033	LYTVA_26430, LYTVA_09380, LYTVA_01770, LYTVA_28431, LYTVA_22904, LYTVA_25352, LYTVA_24710, LYTVA_25174, LYTVA_05977, LYTVA_28117, LYTVA_12027, LYTVA_20003, LYTVA_15744, LYTVA_22340, LYTVA_20039, LYTVA_20241, LYTVA_01818	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391
OG0000033	LYTVA_04922, LYTVA_07303, LYTVA_11528, LYTVA_02656, LYTVA_01378, LYTVA_09579, LYTVA_17007, LYTVA_04337, LYTVA_20141, LYTVA_23929, LYTVA_14663, LYTVA_12466	NEMVE05503, NEMVE18079, NEMVE02721, NEMVE15415, NEMVE10748, NEMVE03167, NEMVE08927, NEMVE11580, NEMVE03129, NEMVE03126, NEMVE11341
OG0000033	LYTVA_18292, LYTVA_19303, LYTVA_26986, LYTVA_09691, LYTVA_16830, LYTVA_23842, LYTVA_08232, LYTVA_25046, LYTVA_17139, LYTVA_00757, LYTVA_12726, LYTVA_28732, LYTVA_23242, LYTVA_13507, LYTVA_15542, LYTVA_29590, LYTVA_21552, LYTVA_20558, LYTVA_07100, LYTVA_19459, LYTVA_19429, LYTVA_26229	NEMVE08276, NEMVE09890, NEMVE21344, NEMVE15725, NEMVE19380, NEMVE03161, NEMVE11272, NEMVE09721, NEMVE02571, NEMVE10598, NEMVE19678, NEMVE24522, NEMVE02588, NEMVE11685, NEMVE21301
OG0000034	LYTVA_20191	NEMVE07311, NEMVE07285
OG0000034	LYTVA_04080	NEMVE10927
OG0000034	LYTVA_29167, LYTVA_10612	NEMVE10961, NEMVE24294
OG0000034	LYTVA_11788	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	LYTVA_12673	NEMVE05344
OG0000034	LYTVA_04355, LYTVA_01145	NEMVE06831
OG0000034	LYTVA_06697	NEMVE16104, NEMVE09479, NEMVE10924
OG0000035	LYTVA_27828	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	LYTVA_22468	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	LYTVA_29789	NEMVE07419, NEMVE07417
OG0000036	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000036	LYTVA_10871	NEMVE05905, NEMVE18359, NEMVE11471, NEMVE02197
OG0000037	LYTVA_17010	NEMVE07168, NEMVE08661, NEMVE08672, NEMVE08663, NEMVE03342, NEMVE00564
OG0000037	LYTVA_05257, LYTVA_19733, LYTVA_11127, LYTVA_06887, LYTVA_08523, LYTVA_24218, LYTVA_22087	NEMVE00865, NEMVE01113
OG0000037	LYTVA_02747	NEMVE10401
OG0000038	LYTVA_19605	NEMVE24201, NEMVE14716
OG0000038	LYTVA_00434	NEMVE24802, NEMVE14820, NEMVE08662, NEMVE14821, NEMVE22392
OG0000038	LYTVA_09820, LYTVA_11687, LYTVA_19608	NEMVE16337
OG0000038	LYTVA_04587	NEMVE14526
OG0000038	LYTVA_23709	NEMVE14268
OG0000038	LYTVA_21694	NEMVE25950
OG0000038	LYTVA_05063	NEMVE02186
OG0000038	LYTVA_27081, LYTVA_14519, LYTVA_00438	NEMVE21816
OG0000038	LYTVA_19607	NEMVE15968
OG0000039	LYTVA_16233	NEMVE16411, NEMVE04657
OG0000040	LYTVA_16038	NEMVE11519
OG0000041	LYTVA_17546, LYTVA_17545	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	LYTVA_25852	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	LYTVA_03177	NEMVE05295
OG0000043	LYTVA_05725, LYTVA_13550	NEMVE21961, NEMVE21792, NEMVE19640
OG0000043	LYTVA_26935	NEMVE12803
OG0000043	LYTVA_00226	NEMVE14296
OG0000044	LYTVA_10017, LYTVA_14074, LYTVA_26561	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	LYTVA_19279	NEMVE09195, NEMVE09209
OG0000045	LYTVA_19576, LYTVA_20674, LYTVA_06634	NEMVE23132
OG0000045	LYTVA_02478, LYTVA_14643	NEMVE15604
OG0000045	LYTVA_10187, LYTVA_26738	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847
OG0000045	LYTVA_17566, LYTVA_00420	NEMVE03022, NEMVE15670, NEMVE03113
OG0000046	LYTVA_22286	NEMVE08905, NEMVE15252
OG0000046	LYTVA_20626	NEMVE03331, NEMVE03272, NEMVE16637, NEMVE05961
OG0000047	LYTVA_04336, LYTVA_03897, LYTVA_05505	NEMVE12937
OG0000047	LYTVA_03680, LYTVA_24771	NEMVE10640, NEMVE06306, NEMVE11518
OG0000048	LYTVA_06179	NEMVE05567
OG0000048	LYTVA_17720, LYTVA_17428, LYTVA_27999	NEMVE14912
OG0000048	LYTVA_08149	NEMVE14024
OG0000048	LYTVA_17485, LYTVA_17487, LYTVA_17489, LYTVA_11620	NEMVE15061
OG0000049	LYTVA_16567, LYTVA_21152, LYTVA_07886	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	LYTVA_06358	NEMVE15395, NEMVE15644
OG0000049	LYTVA_25007	NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041
OG0000050	LYTVA_22854, LYTVA_13054, LYTVA_07499, LYTVA_19706	NEMVE20299
OG0000050	LYTVA_22634, LYTVA_29206, LYTVA_08549, LYTVA_25325, LYTVA_16900, LYTVA_03419	NEMVE17503, NEMVE02458
OG0000050	LYTVA_16160, LYTVA_19016, LYTVA_06118, LYTVA_23189	NEMVE01136
OG0000050	LYTVA_14198	NEMVE20024, NEMVE15194, NEMVE17974
OG0000051	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548
OG0000051	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	NEMVE18951, NEMVE15008
OG0000053	LYTVA_10692, LYTVA_10696	NEMVE21440
OG0000054	LYTVA_10090, LYTVA_07086, LYTVA_21421, LYTVA_17925, LYTVA_09472, LYTVA_10089	NEMVE01268
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	NEMVE15086, NEMVE10916
OG0000055	LYTVA_08084	NEMVE16653
OG0000055	LYTVA_09126, LYTVA_26970, LYTVA_18344	NEMVE00590
OG0000056	LYTVA_05867	NEMVE11933
OG0000056	LYTVA_03272	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	LYTVA_17286	NEMVE01503, NEMVE04541
OG0000056	LYTVA_25903	NEMVE11865, NEMVE19274, NEMVE04833, NEMVE10670
OG0000056	LYTVA_02051	NEMVE04649, NEMVE01116
OG0000056	LYTVA_23383, LYTVA_28840	NEMVE16234
OG0000056	LYTVA_13357	NEMVE15228
OG0000057	LYTVA_05797	NEMVE03498, NEMVE03044
OG0000057	LYTVA_22815	NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	LYTVA_16930, LYTVA_18973, LYTVA_00270, LYTVA_24006, LYTVA_29476, LYTVA_19349, LYTVA_10024, LYTVA_11718, LYTVA_22254	NEMVE03666, NEMVE05232, NEMVE03773, NEMVE06120, NEMVE03690, NEMVE06136, NEMVE06127, NEMVE06129, NEMVE05191, NEMVE03726, NEMVE05196, NEMVE05197, NEMVE05233, NEMVE09737, NEMVE05189, NEMVE05210, NEMVE03728
OG0000058	LYTVA_13091	NEMVE06253
OG0000058	LYTVA_14164	NEMVE00498
OG0000058	LYTVA_28653	NEMVE18401
OG0000059	LYTVA_06967, LYTVA_19211, LYTVA_17534	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	LYTVA_02319, LYTVA_11689, LYTVA_07972, LYTVA_20466	NEMVE15983, NEMVE23420, NEMVE00402
OG0000060	LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384	NEMVE02438
OG0000060	LYTVA_10196	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	LYTVA_18550	NEMVE14126
OG0000063	LYTVA_03474	NEMVE05614
OG0000063	LYTVA_28622	NEMVE00961
OG0000063	LYTVA_16178	NEMVE09684
OG0000064	LYTVA_25756, LYTVA_19553, LYTVA_11533, LYTVA_25986, LYTVA_20628, LYTVA_08302, LYTVA_26954, LYTVA_23516, LYTVA_23510, LYTVA_23508, LYTVA_20029, LYTVA_23509, LYTVA_23514, LYTVA_23515, LYTVA_23517, LYTVA_19853, LYTVA_19855, LYTVA_08702, LYTVA_12533, LYTVA_19854, LYTVA_18448, LYTVA_23953, LYTVA_01963, LYTVA_15002, LYTVA_22836, LYTVA_22837, LYTVA_21779, LYTVA_22823, LYTVA_26515, LYTVA_14352, LYTVA_25713, LYTVA_07922, LYTVA_29165, LYTVA_14963, LYTVA_01763, LYTVA_05680, LYTVA_01518, LYTVA_16673, LYTVA_20353, LYTVA_07078, LYTVA_28733, LYTVA_17742, LYTVA_01814, LYTVA_24882, LYTVA_11536, LYTVA_13973, LYTVA_29064, LYTVA_20961, LYTVA_12243, LYTVA_20960, LYTVA_14350, LYTVA_14353	NEMVE19911, NEMVE17597, NEMVE15687
OG0000065	LYTVA_25952, LYTVA_19899, LYTVA_19900, LYTVA_28478, LYTVA_28637, LYTVA_28640, LYTVA_16549, LYTVA_05941, LYTVA_26146, LYTVA_02630, LYTVA_10168, LYTVA_21036, LYTVA_12929, LYTVA_23872, LYTVA_25877, LYTVA_10381, LYTVA_30035, LYTVA_05039, LYTVA_16076, LYTVA_20540, LYTVA_09048, LYTVA_19374, LYTVA_09047, LYTVA_19373, LYTVA_14067, LYTVA_17290, LYTVA_13082, LYTVA_17296, LYTVA_17295, LYTVA_03230, LYTVA_28797, LYTVA_00381, LYTVA_17291, LYTVA_17234, LYTVA_11558, LYTVA_04701, LYTVA_14911, LYTVA_24579, LYTVA_02378	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	LYTVA_00023	NEMVE03297
OG0000066	LYTVA_01654	NEMVE02344, NEMVE04896, NEMVE07202, NEMVE08935, NEMVE01845
OG0000066	LYTVA_14724	NEMVE02094, NEMVE00829, NEMVE23938
OG0000067	LYTVA_00141, LYTVA_19952, LYTVA_28647	NEMVE10714
OG0000067	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045	NEMVE14139, NEMVE14099
OG0000068	LYTVA_29801, LYTVA_20828, LYTVA_11990, LYTVA_12287, LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450, LYTVA_22369, LYTVA_23647	NEMVE24661, NEMVE20048
OG0000069	LYTVA_15781	NEMVE14181
OG0000069	LYTVA_28251, LYTVA_19634, LYTVA_18557	NEMVE15092
OG0000069	LYTVA_19096	NEMVE02861
OG0000069	LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821	NEMVE12607
OG0000070	LYTVA_12849	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	LYTVA_28667	NEMVE11425, NEMVE00556, NEMVE14043
OG0000071	LYTVA_30156	NEMVE03090
OG0000071	LYTVA_22709	NEMVE04901
OG0000072	LYTVA_16436	NEMVE01460
OG0000072	LYTVA_26888	NEMVE07818
OG0000074	LYTVA_03443, LYTVA_03444, LYTVA_25208, LYTVA_26421	NEMVE06258
OG0000074	LYTVA_24139	NEMVE04681
OG0000075	LYTVA_00904	NEMVE23844
OG0000075	LYTVA_01857	NEMVE13100
OG0000075	LYTVA_12523	NEMVE17771
OG0000076	LYTVA_13771, LYTVA_15756, LYTVA_04488, LYTVA_22261, LYTVA_19901, LYTVA_14523, LYTVA_04503, LYTVA_05709, LYTVA_15496, LYTVA_07730	NEMVE17640, NEMVE07717, NEMVE12326
OG0000076	LYTVA_14794	NEMVE08305, NEMVE12095
OG0000076	LYTVA_12560, LYTVA_10852	NEMVE17885
OG0000076	LYTVA_24735	NEMVE17818
OG0000076	LYTVA_11845, LYTVA_28755, LYTVA_15672, LYTVA_17357, LYTVA_03906, LYTVA_02968, LYTVA_02774, LYTVA_24240	NEMVE11563
OG0000077	LYTVA_24286, LYTVA_24922, LYTVA_15408, LYTVA_08553, LYTVA_24285	NEMVE04990
OG0000078	LYTVA_09049	NEMVE17207
OG0000078	LYTVA_16618	NEMVE09271
OG0000078	LYTVA_07236, LYTVA_10716	NEMVE13703, NEMVE01522
