Orthogroup	LYTVA_ok	DANRE
OG0000007	LYTVA_27359	DANRE40583, DANRE36378, DANRE29354, DANRE34325, DANRE40143
OG0000007	LYTVA_29395	DANRE23214, DANRE28394, DANRE07751, DANRE07750
OG0000007	LYTVA_10898	DANRE12664
OG0000007	LYTVA_17245	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	LYTVA_04121	DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	LYTVA_25288	DANRE21702
OG0000007	LYTVA_03206	DANRE08320, DANRE33659
OG0000007	LYTVA_12379, LYTVA_12378	DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	LYTVA_12480	DANRE30028, DANRE03038, DANRE28801
OG0000007	LYTVA_06652	DANRE30495, DANRE03657, DANRE03658
OG0000007	LYTVA_19839	DANRE02453, DANRE09326, DANRE09325
OG0000007	LYTVA_05177	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000008	LYTVA_19305	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	DANRE38177, DANRE38176
OG0000012	LYTVA_12515, LYTVA_06149	DANRE12655, DANRE12656, DANRE12659
OG0000014	LYTVA_13955	DANRE17251, DANRE43403
OG0000014	LYTVA_23372	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	LYTVA_26004	DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	LYTVA_26002	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	LYTVA_09631, LYTVA_17348, LYTVA_06152	DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	LYTVA_21831, LYTVA_18288	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064
OG0000016	LYTVA_27143	DANRE35611
OG0000016	LYTVA_03299, LYTVA_00787	DANRE02012
OG0000016	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000018	LYTVA_18794	DANRE24545, DANRE35342, DANRE25794, DANRE36083, DANRE25761, DANRE28032, DANRE14196, DANRE38851, DANRE22527, DANRE26621, DANRE11765, DANRE36195, DANRE03525, DANRE11263, DANRE14820, DANRE41490, DANRE37176, DANRE08199, DANRE24881, DANRE08547, DANRE40578, DANRE10138, DANRE32666, DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202, DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	LYTVA_07859, LYTVA_26503, LYTVA_00759, LYTVA_05774, LYTVA_08224, LYTVA_20675, LYTVA_28161, LYTVA_00818	DANRE13954, DANRE13946
OG0000019	LYTVA_17120	DANRE29946, DANRE21114, DANRE41681
OG0000019	LYTVA_01420	DANRE39715, DANRE24632, DANRE24631, DANRE21113, DANRE21112, DANRE29948, DANRE29945, DANRE29947, DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	LYTVA_19355	DANRE10827, DANRE10826, DANRE10743
OG0000020	LYTVA_09793	DANRE10670
OG0000020	LYTVA_23496	DANRE40536
OG0000020	LYTVA_05479	DANRE42755
OG0000020	LYTVA_08129	DANRE24424, DANRE24423, DANRE27995, DANRE27624, DANRE27625
OG0000020	LYTVA_26447	DANRE30414
OG0000020	LYTVA_23009	DANRE27431, DANRE27432, DANRE27433
OG0000020	LYTVA_12234	DANRE06741, DANRE06740, DANRE15747
OG0000020	LYTVA_17081	DANRE22958, DANRE22959
OG0000020	LYTVA_06231	DANRE06663, DANRE06664
OG0000020	LYTVA_09530	DANRE18984
OG0000020	LYTVA_00542	DANRE27379
OG0000021	LYTVA_04917	DANRE01661, DANRE22424, DANRE31606, DANRE31605
OG0000021	LYTVA_13831	DANRE39795, DANRE39796, DANRE22480
OG0000021	LYTVA_10118	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	LYTVA_09991	DANRE08348, DANRE33679
OG0000021	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778	DANRE37717, DANRE02277
OG0000021	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849	DANRE27401, DANRE27403, DANRE27400
OG0000022	LYTVA_18923	DANRE31751, DANRE32295
OG0000023	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477
OG0000023	LYTVA_24785	DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000025	LYTVA_23249	DANRE19901, DANRE03302, DANRE09085, DANRE21568
OG0000026	LYTVA_02302	DANRE25537, DANRE36265
OG0000026	LYTVA_08564	DANRE09875
OG0000028	LYTVA_12763	DANRE39088, DANRE39089, DANRE24974, DANRE15851, DANRE15850, DANRE13964
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326
OG0000029	LYTVA_02569, LYTVA_10073	DANRE41268, DANRE41269, DANRE26531, DANRE01944
OG0000030	LYTVA_13667	DANRE34589, DANRE34588
OG0000030	LYTVA_26760	DANRE14546, DANRE09884, DANRE09883, DANRE34902
OG0000030	LYTVA_27291, LYTVA_25957	DANRE41079, DANRE41078
OG0000031	LYTVA_04157, LYTVA_03000	DANRE41496, DANRE35535, DANRE23155
OG0000031	LYTVA_07242	DANRE37079, DANRE41454, DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	LYTVA_07394	DANRE13622, DANRE13623
OG0000031	LYTVA_19491	DANRE26516
OG0000031	LYTVA_13645	DANRE11621
OG0000031	LYTVA_05124	DANRE20276, DANRE16190, DANRE42316
OG0000031	LYTVA_29658	DANRE27399, DANRE21472, DANRE14252
OG0000031	LYTVA_09735	DANRE42215, DANRE15380, DANRE42216, DANRE28106, DANRE23847, DANRE23848
OG0000032	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734	DANRE30726, DANRE30725, DANRE33206, DANRE33207, DANRE33205, DANRE33204, DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201, DANRE36261, DANRE20344, DANRE20343, DANRE12884, DANRE39037
OG0000032	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000032	LYTVA_26011, LYTVA_24216, LYTVA_22020	DANRE24197
OG0000034	LYTVA_20191	DANRE35041
OG0000034	LYTVA_09293	DANRE29516, DANRE29515, DANRE12957, DANRE25460, DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	LYTVA_04080	DANRE29602, DANRE23932, DANRE37022, DANRE22465, DANRE31461, DANRE31460, DANRE12388, DANRE12387, DANRE25947
OG0000034	LYTVA_29167, LYTVA_10612	DANRE14484, DANRE09880, DANRE38036
OG0000034	LYTVA_11788	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	LYTVA_12673	DANRE04100
OG0000034	LYTVA_06697	DANRE25182
OG0000035	LYTVA_27828	DANRE31052, DANRE25078, DANRE12998, DANRE12997
OG0000035	LYTVA_22468	DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988
OG0000035	LYTVA_12116	DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761
OG0000035	LYTVA_04128	DANRE38222, DANRE38223, DANRE12948
OG0000036	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947	DANRE25335, DANRE27775, DANRE38068, DANRE26145, DANRE38623
OG0000036	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896	DANRE11991, DANRE38630
OG0000037	LYTVA_02747	DANRE22289, DANRE22290, DANRE13745, DANRE11904, DANRE17607
OG0000037	LYTVA_25050, LYTVA_25057, LYTVA_25048	DANRE11315
OG0000038	LYTVA_04990	DANRE40533
OG0000038	LYTVA_00437	DANRE23401
OG0000038	LYTVA_04584, LYTVA_23709, LYTVA_21694, LYTVA_05063	DANRE41584
OG0000038	LYTVA_09823	DANRE15348
OG0000039	LYTVA_16233	DANRE38069, DANRE38070
OG0000039	LYTVA_13062	DANRE23593, DANRE23592, DANRE36822, DANRE23067, DANRE23068, DANRE23065, DANRE23064, DANRE23063
OG0000040	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	LYTVA_17546, LYTVA_17545	DANRE24726
OG0000041	LYTVA_25852	DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441
OG0000041	LYTVA_03177	DANRE36805, DANRE27215, DANRE24076
OG0000043	LYTVA_12710	DANRE43265
OG0000044	LYTVA_11853	DANRE20253, DANRE20252, DANRE04869, DANRE04868, DANRE04870, DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199, DANRE05871, DANRE05873, DANRE05872, DANRE05874, DANRE05876, DANRE05875
OG0000044	LYTVA_10017	DANRE06946, DANRE06947, DANRE06457, DANRE17818, DANRE24284, DANRE24283
OG0000044	LYTVA_14074	DANRE24280
OG0000045	LYTVA_17566, LYTVA_00420	DANRE28069, DANRE28068
OG0000046	LYTVA_22286	DANRE15742
OG0000048	LYTVA_06179	DANRE16164, DANRE16166, DANRE16167, DANRE16163
OG0000048	LYTVA_15043	DANRE33718
OG0000048	LYTVA_26635	DANRE19398
OG0000048	LYTVA_08149	DANRE17556, DANRE05472
OG0000048	LYTVA_11620	DANRE26183
OG0000049	LYTVA_16567	DANRE18176, DANRE10819, DANRE00818, DANRE08853, DANRE08855, DANRE08854
OG0000049	LYTVA_21152	DANRE36715, DANRE36714, DANRE02678, DANRE12445
OG0000049	LYTVA_02138	DANRE30744
OG0000050	LYTVA_16160, LYTVA_19016, LYTVA_06118, LYTVA_23189	DANRE05388, DANRE16154, DANRE21370, DANRE14263, DANRE25768, DANRE00430, DANRE32860, DANRE42655, DANRE31654, DANRE32311, DANRE20964
OG0000050	LYTVA_13188, LYTVA_14198, LYTVA_17620	DANRE33098, DANRE32869, DANRE33097, DANRE32870
OG0000051	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	DANRE04454, DANRE04455, DANRE04456, DANRE04458, DANRE04457
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	DANRE06791, DANRE15743
OG0000055	LYTVA_28790	DANRE24633
OG0000055	LYTVA_09126, LYTVA_26970, LYTVA_18344	DANRE26046, DANRE37399
OG0000056	LYTVA_05867	DANRE40469
OG0000056	LYTVA_03272	DANRE01913, DANRE01914, DANRE39460, DANRE39459, DANRE15877, DANRE15878, DANRE15879, DANRE39458, DANRE26297, DANRE26296, DANRE26298, DANRE26299, DANRE30224, DANRE30223, DANRE17147, DANRE17148, DANRE17149, DANRE30238, DANRE01911, DANRE01910
OG0000056	LYTVA_17286	DANRE40924, DANRE40923
OG0000056	LYTVA_00266, LYTVA_13357	DANRE30239
OG0000057	LYTVA_05797, LYTVA_22815	DANRE01491, DANRE01492, DANRE34768, DANRE34769, DANRE25607, DANRE38933
OG0000058	LYTVA_13091	DANRE17254
OG0000058	LYTVA_14430	DANRE03528
OG0000058	LYTVA_15397, LYTVA_14164	DANRE15450
OG0000058	LYTVA_16698	DANRE15130, DANRE18090, DANRE05159, DANRE10661, DANRE16833, DANRE17579, DANRE25419, DANRE25420, DANRE03527
OG0000059	LYTVA_18957	DANRE23878, DANRE23877, DANRE23876
OG0000059	LYTVA_06967, LYTVA_19211, LYTVA_17534	DANRE19797, DANRE19798, DANRE19796, DANRE13287, DANRE06156, DANRE06155, DANRE06072, DANRE06071, DANRE00651
OG0000060	LYTVA_30158, LYTVA_18098	DANRE15035, DANRE15034, DANRE05268
OG0000060	LYTVA_10196	DANRE29003, DANRE24797, DANRE24796, DANRE38454, DANRE38453, DANRE38452, DANRE26104, DANRE12576
OG0000061	LYTVA_16102	DANRE42668, DANRE35791, DANRE35790, DANRE14876, DANRE23684
OG0000061	LYTVA_20900	DANRE21357, DANRE21356, DANRE21355, DANRE42236, DANRE42238, DANRE42237, DANRE03323, DANRE26316, DANRE26315, DANRE16979, DANRE30135, DANRE08363, DANRE08364, DANRE41399, DANRE24234, DANRE26883, DANRE26882, DANRE28200, DANRE36395, DANRE36396, DANRE36397, DANRE03215, DANRE23525, DANRE23526, DANRE28197, DANRE28196, DANRE28198, DANRE28195, DANRE28199, DANRE28194, DANRE28193, DANRE36398, DANRE24481, DANRE24482
OG0000061	LYTVA_20904, LYTVA_09585, LYTVA_28339	DANRE30136
OG0000061	LYTVA_02993, LYTVA_26455, LYTVA_26459	DANRE26341, DANRE29170
OG0000062	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092	DANRE08107, DANRE08104, DANRE08105, DANRE08102, DANRE08103, DANRE08106, DANRE08101, DANRE08100, DANRE28562, DANRE28568, DANRE28566, DANRE28565, DANRE28573, DANRE28574, DANRE28576, DANRE28571, DANRE28572, DANRE28569, DANRE28442, DANRE28441, DANRE28577, DANRE28578, DANRE43388, DANRE28579, DANRE28570
OG0000062	LYTVA_18550	DANRE18807, DANRE18806
OG0000063	LYTVA_03474	DANRE20941, DANRE20940, DANRE20939, DANRE43110, DANRE15766, DANRE15767, DANRE15768, DANRE15769, DANRE26798, DANRE26796, DANRE26797, DANRE35514, DANRE35513
OG0000063	LYTVA_28622	DANRE30783, DANRE30785, DANRE30782, DANRE01805, DANRE01806, DANRE36784, DANRE36785
OG0000063	LYTVA_16178	DANRE19500, DANRE19501, DANRE11531, DANRE11532, DANRE04204, DANRE04205, DANRE21781
OG0000066	LYTVA_14724	DANRE40339, DANRE40338, DANRE40337, DANRE40336
OG0000067	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045	DANRE05059, DANRE06045, DANRE20513, DANRE39179
OG0000068	LYTVA_11990, LYTVA_12287, LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450	DANRE22551
OG0000069	LYTVA_28766, LYTVA_15781	DANRE26091
OG0000069	LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821	DANRE37416
OG0000070	LYTVA_12849	DANRE18387, DANRE02540
OG0000070	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317	DANRE27422, DANRE27423, DANRE35328, DANRE35329, DANRE35330
OG0000072	LYTVA_26888	DANRE15952, DANRE15953, DANRE00858, DANRE00856, DANRE00857, DANRE08517
OG0000072	LYTVA_23422	DANRE08498, DANRE08497, DANRE06006
OG0000072	LYTVA_09419	DANRE05807
OG0000073	LYTVA_03728	DANRE23044, DANRE24104, DANRE24103, DANRE27229, DANRE39355, DANRE27228, DANRE27227, DANRE24102, DANRE30709, DANRE30708, DANRE12382
OG0000074	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687	DANRE30953, DANRE23378, DANRE15580, DANRE43367, DANRE15578, DANRE15579, DANRE15576, DANRE15577, DANRE15581, DANRE15589, DANRE15590
OG0000074	LYTVA_24139	DANRE17935
OG0000074	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154	DANRE25680
OG0000075	LYTVA_00904	DANRE03709, DANRE26359, DANRE26360
OG0000075	LYTVA_07044	DANRE41686, DANRE41687, DANRE35873, DANRE35872
OG0000075	LYTVA_01857	DANRE23134, DANRE23133
OG0000075	LYTVA_12523	DANRE24998, DANRE31372, DANRE31373, DANRE22408, DANRE02483
OG0000077	LYTVA_24286	DANRE16390, DANRE20043, DANRE07192, DANRE00591, DANRE00590, DANRE39691
OG0000077	LYTVA_08553	DANRE01477, DANRE40866, DANRE22036, DANRE06030, DANRE20156, DANRE16358
OG0000078	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648	DANRE39894, DANRE39895, DANRE39896, DANRE26111, DANRE26112, DANRE36848, DANRE30865, DANRE30864
OG0000078	LYTVA_16618	DANRE36849
OG0000079	LYTVA_19637, LYTVA_24538, LYTVA_21250	DANRE41428, DANRE41431, DANRE41432, DANRE41429, DANRE41430, DANRE23441, DANRE01701, DANRE07129, DANRE07131, DANRE06662
OG0000079	LYTVA_05934	DANRE08425, DANRE08424, DANRE08423, DANRE08420, DANRE08416, DANRE08419, DANRE08415, DANRE01231, DANRE01230, DANRE08421, DANRE08418, DANRE08422, DANRE40812, DANRE40811, DANRE40809, DANRE40810, DANRE33381, DANRE40813
OG0000079	LYTVA_06214, LYTVA_17750	DANRE01827, DANRE01825, DANRE01824, DANRE01826
OG0000082	LYTVA_25888	DANRE33308
OG0000082	LYTVA_18803	DANRE06377
OG0000082	LYTVA_15644	DANRE00971
OG0000083	LYTVA_26815	DANRE01056, DANRE08510, DANRE34355, DANRE07334, DANRE07333
OG0000084	LYTVA_14799	DANRE07814, DANRE11583, DANRE40782, DANRE01412, DANRE01413, DANRE15534, DANRE15533, DANRE15962, DANRE15961, DANRE06459
OG0000085	LYTVA_19136	DANRE03872, DANRE13568, DANRE10642, DANRE42815, DANRE01947
OG0000085	LYTVA_13307	DANRE34010, DANRE34949, DANRE08303, DANRE08302, DANRE35408
OG0000085	LYTVA_05365	DANRE10316
OG0000085	LYTVA_17776	DANRE33578, DANRE33579
OG0000085	LYTVA_06708	DANRE14204, DANRE04562
OG0000086	LYTVA_11459	DANRE34828, DANRE34827, DANRE28936
OG0000087	LYTVA_15159	DANRE37955
OG0000087	LYTVA_24079	DANRE15847, DANRE15848
OG0000087	LYTVA_22406	DANRE02654, DANRE02653
OG0000087	LYTVA_22963	DANRE42135
OG0000087	LYTVA_04512	DANRE22805, DANRE22804
OG0000087	LYTVA_18728	DANRE24820, DANRE24821
OG0000087	LYTVA_07967	DANRE42134
OG0000088	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455	DANRE05341, DANRE04380, DANRE25416, DANRE12560, DANRE26544, DANRE23867, DANRE36501, DANRE26035
OG0000089	LYTVA_06777, LYTVA_25975	DANRE00866, DANRE06893, DANRE01120, DANRE01121, DANRE24411, DANRE18395, DANRE18394, DANRE18393
OG0000089	LYTVA_28799, LYTVA_00948	DANRE18392
OG0000090	LYTVA_02577	DANRE14575, DANRE14574, DANRE08600, DANRE08601
OG0000090	LYTVA_18395, LYTVA_13128	DANRE14775, DANRE14776
OG0000091	LYTVA_04137	DANRE19328, DANRE19327, DANRE19329
OG0000093	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104	DANRE38668, DANRE18559, DANRE12452, DANRE31410, DANRE31411, DANRE36972
OG0000094	LYTVA_10290	DANRE31445, DANRE31446, DANRE02712, DANRE02711, DANRE02713, DANRE41259, DANRE40961, DANRE40960, DANRE40286
OG0000094	LYTVA_09221	DANRE26291, DANRE26290, DANRE39959, DANRE39958, DANRE34093, DANRE34091, DANRE34092, DANRE34090, DANRE34094, DANRE34095, DANRE19459, DANRE19458, DANRE39957, DANRE29718, DANRE29719, DANRE29717, DANRE02593, DANRE02592, DANRE02591
OG0000096	LYTVA_28490	DANRE06854, DANRE41409, DANRE15329, DANRE13475
OG0000096	LYTVA_12286	DANRE40526, DANRE02165, DANRE31394, DANRE31393
OG0000096	LYTVA_21388	DANRE36045, DANRE24893
OG0000096	LYTVA_10606	DANRE14485
OG0000096	LYTVA_19397	DANRE25948, DANRE29004, DANRE39826, DANRE25796, DANRE38945, DANRE38946, DANRE38947
OG0000096	LYTVA_24298	DANRE38250, DANRE38251, DANRE29625, DANRE29623
OG0000096	LYTVA_20858	DANRE42235, DANRE21352, DANRE21353, DANRE21354
OG0000098	LYTVA_15643	DANRE29634, DANRE03194, DANRE03198, DANRE03197, DANRE03193, DANRE03195, DANRE03196, DANRE38926, DANRE38925, DANRE42853, DANRE42852, DANRE42851
OG0000098	LYTVA_24589, LYTVA_16909	DANRE43096, DANRE26020, DANRE38317, DANRE38316, DANRE38318, DANRE26021, DANRE38315, DANRE33952, DANRE33953
OG0000099	LYTVA_22524, LYTVA_05673, LYTVA_26003	DANRE19933
OG0000099	LYTVA_09301, LYTVA_14363, LYTVA_14362	DANRE09258, DANRE09257, DANRE09256, DANRE09255, DANRE09254, DANRE13816, DANRE08158, DANRE13815, DANRE08996, DANRE09030, DANRE08830, DANRE08829, DANRE00831, DANRE00829
OG0000101	LYTVA_13163	DANRE38569, DANRE26131, DANRE26132
