Orthogroup	LYTVA_ok	CAPO3
OG0000048	LYTVA_17485, LYTVA_17487, LYTVA_17489	CAPO306877
OG0000048	LYTVA_11620	CAPO304823
OG0000049	LYTVA_26462, LYTVA_16567, LYTVA_21152, LYTVA_07886, LYTVA_06358, LYTVA_14034, LYTVA_25007, LYTVA_28129, LYTVA_02138	CAPO304018
OG0000051	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370, LYTVA_16492, LYTVA_16490, LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	CAPO307809, CAPO301249
OG0000053	LYTVA_16375	CAPO302193
OG0000054	LYTVA_10090, LYTVA_07086, LYTVA_21421, LYTVA_17925, LYTVA_09472, LYTVA_10089	CAPO303213, CAPO305653
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	CAPO302015
OG0000055	LYTVA_09126, LYTVA_26970, LYTVA_18344, LYTVA_18117	CAPO301479, CAPO301432
OG0000056	LYTVA_15958, LYTVA_10361, LYTVA_05867, LYTVA_03272, LYTVA_17286, LYTVA_25903, LYTVA_02051, LYTVA_29706, LYTVA_23383, LYTVA_28840, LYTVA_00266, LYTVA_13357	CAPO305974, CAPO306012, CAPO306941
OG0000058	LYTVA_09175, LYTVA_09177, LYTVA_25827, LYTVA_18449, LYTVA_29674	CAPO305595
OG0000058	LYTVA_14430	CAPO307225
OG0000060	LYTVA_30158, LYTVA_18098, LYTVA_02319, LYTVA_11689, LYTVA_07972, LYTVA_20466, LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384, LYTVA_10196	CAPO305373
OG0000062	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092, LYTVA_18550, LYTVA_02333, LYTVA_05093, LYTVA_01566	CAPO300910
OG0000063	LYTVA_03474, LYTVA_28622, LYTVA_11640, LYTVA_20066, LYTVA_07999, LYTVA_16178	CAPO300270
OG0000066	LYTVA_00023, LYTVA_01899, LYTVA_28191, LYTVA_01654, LYTVA_19934, LYTVA_14724, LYTVA_24831	CAPO308057
OG0000069	LYTVA_15781	CAPO302182
OG0000069	LYTVA_28251, LYTVA_19634, LYTVA_18557	CAPO301523, CAPO305173
OG0000079	LYTVA_06214, LYTVA_17750	CAPO302518
OG0000082	LYTVA_25888	CAPO304738
OG0000082	LYTVA_18803	CAPO306626
OG0000082	LYTVA_21157, LYTVA_15644, LYTVA_26329	CAPO300843
OG0000082	LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399	CAPO306232
OG0000085	LYTVA_26350, LYTVA_11857, LYTVA_19136	CAPO303061
OG0000085	LYTVA_13307, LYTVA_05365, LYTVA_17776, LYTVA_09034, LYTVA_06708	CAPO303047
OG0000089	LYTVA_19843, LYTVA_06742, LYTVA_22521, LYTVA_05675, LYTVA_25746, LYTVA_25741, LYTVA_21117, LYTVA_13006, LYTVA_19844, LYTVA_06777, LYTVA_25975, LYTVA_02304, LYTVA_26795, LYTVA_03634, LYTVA_28359, LYTVA_27830, LYTVA_15322, LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948	CAPO300386, CAPO300810, CAPO302098
OG0000090	LYTVA_08725, LYTVA_21266	CAPO304460, CAPO304458, CAPO303991
OG0000091	LYTVA_15883, LYTVA_09142, LYTVA_00715, LYTVA_01605, LYTVA_15273, LYTVA_04137, LYTVA_25909, LYTVA_25916, LYTVA_21851, LYTVA_19476, LYTVA_12113	CAPO301134
OG0000095	LYTVA_04385, LYTVA_29816, LYTVA_16046, LYTVA_16047, LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054, LYTVA_27487, LYTVA_28301	CAPO301288, CAPO306046
OG0000096	LYTVA_12286	CAPO301431
OG0000096	LYTVA_21388	CAPO307955
OG0000096	LYTVA_10606	CAPO307522
OG0000096	LYTVA_19397	CAPO300294
OG0000096	LYTVA_24298, LYTVA_20858	CAPO307017
OG0000101	LYTVA_13163, LYTVA_03798, LYTVA_11413, LYTVA_03793, LYTVA_25292, LYTVA_25291	CAPO306858
OG0000103	LYTVA_05784, LYTVA_08412	CAPO302453
OG0000106	LYTVA_01037, LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256	CAPO300017
OG0000110	LYTVA_29623, LYTVA_02879, LYTVA_11692, LYTVA_23200, LYTVA_23199, LYTVA_05602, LYTVA_12820, LYTVA_03446, LYTVA_06301, LYTVA_17449, LYTVA_27975, LYTVA_20694, LYTVA_00973, LYTVA_27976, LYTVA_05807, LYTVA_30126, LYTVA_30125	CAPO300387
OG0000116	LYTVA_00275, LYTVA_00276, LYTVA_12381	CAPO305622
OG0000119	LYTVA_11474, LYTVA_08592, LYTVA_07119, LYTVA_19356, LYTVA_04285, LYTVA_11467	CAPO304642
OG0000122	LYTVA_26094, LYTVA_10750, LYTVA_18458, LYTVA_18460	CAPO307824
OG0000124	LYTVA_27850	CAPO302553
OG0000126	LYTVA_19767	CAPO302484
OG0000126	LYTVA_16967	CAPO306676
OG0000126	LYTVA_03902, LYTVA_29180	CAPO300572
OG0000128	LYTVA_18955, LYTVA_21574, LYTVA_01369, LYTVA_05348, LYTVA_25678, LYTVA_25569, LYTVA_25568, LYTVA_09097, LYTVA_07273, LYTVA_29734, LYTVA_23730, LYTVA_23728, LYTVA_23729	CAPO306991, CAPO304956
OG0000129	LYTVA_24420, LYTVA_06816, LYTVA_27162	CAPO303361
OG0000132	LYTVA_01373	CAPO305174
OG0000137	LYTVA_14649, LYTVA_14169, LYTVA_05475, LYTVA_25469, LYTVA_15627	CAPO305369
OG0000142	LYTVA_04554, LYTVA_20509, LYTVA_25812, LYTVA_27034, LYTVA_20510, LYTVA_01494, LYTVA_20512, LYTVA_27041, LYTVA_04856, LYTVA_01496, LYTVA_01493	CAPO302031, CAPO302030
OG0000147	LYTVA_20853	CAPO305863
OG0000147	LYTVA_24464	CAPO308132
OG0000147	LYTVA_18928, LYTVA_03351	CAPO304230
OG0000149	LYTVA_27288, LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082, LYTVA_24788	CAPO305206, CAPO306214
OG0000157	LYTVA_24947	CAPO302981
OG0000157	LYTVA_14449	CAPO305824
OG0000167	LYTVA_05879, LYTVA_28563, LYTVA_24832, LYTVA_22740	CAPO301364, CAPO303476
OG0000171	LYTVA_27882, LYTVA_20168, LYTVA_24654, LYTVA_27222	CAPO304813
OG0000174	LYTVA_12646, LYTVA_19454, LYTVA_00411, LYTVA_10125, LYTVA_06774	CAPO304629
OG0000175	LYTVA_23856	CAPO303513
OG0000179	LYTVA_11503	CAPO300694
OG0000179	LYTVA_09715, LYTVA_09722, LYTVA_06848	CAPO303342
OG0000181	LYTVA_30016	CAPO307692
OG0000183	LYTVA_29269	CAPO305638
OG0000183	LYTVA_12902, LYTVA_28105	CAPO305829
OG0000184	LYTVA_15221	CAPO307711
OG0000184	LYTVA_22049, LYTVA_02101, LYTVA_11407, LYTVA_11408	CAPO304928
OG0000192	LYTVA_22636	CAPO305422
OG0000192	LYTVA_19467	CAPO300533
OG0000192	LYTVA_04263, LYTVA_18552	CAPO301980
OG0000193	LYTVA_15362, LYTVA_23759, LYTVA_03510, LYTVA_08489	CAPO302628
OG0000194	LYTVA_10369, LYTVA_19148, LYTVA_19770, LYTVA_19763, LYTVA_12264, LYTVA_12263, LYTVA_12262, LYTVA_24414	CAPO305195
OG0000195	LYTVA_28994, LYTVA_02735, LYTVA_11062, LYTVA_09814, LYTVA_16951	CAPO305454
OG0000201	LYTVA_05027	CAPO307729
OG0000203	LYTVA_05320, LYTVA_26037, LYTVA_26044, LYTVA_15099	CAPO302139
OG0000204	LYTVA_09811, LYTVA_08501	CAPO303090
OG0000207	LYTVA_11110, LYTVA_21753, LYTVA_28234, LYTVA_23513, LYTVA_30157, LYTVA_01312, LYTVA_23468, LYTVA_16683, LYTVA_23967, LYTVA_11884, LYTVA_08682	CAPO304105, CAPO304106, CAPO304714
OG0000211	LYTVA_13895, LYTVA_06449, LYTVA_04294, LYTVA_06557, LYTVA_26568	CAPO306209
OG0000218	LYTVA_12244, LYTVA_02104, LYTVA_26547, LYTVA_01722, LYTVA_15921, LYTVA_12774, LYTVA_12768, LYTVA_01721, LYTVA_12719, LYTVA_12771, LYTVA_14011, LYTVA_01720, LYTVA_19061, LYTVA_27533, LYTVA_27534, LYTVA_25346, LYTVA_06371, LYTVA_08949, LYTVA_19062, LYTVA_12767, LYTVA_18998, LYTVA_15920, LYTVA_19551	CAPO300559
OG0000220	LYTVA_22048, LYTVA_04465, LYTVA_04466, LYTVA_04468, LYTVA_16045, LYTVA_14940, LYTVA_20936	CAPO306780, CAPO307695
OG0000221	LYTVA_17595, LYTVA_04768, LYTVA_08100	CAPO300247
OG0000222	LYTVA_26734, LYTVA_13738, LYTVA_24122, LYTVA_28945, LYTVA_27554, LYTVA_20917, LYTVA_23553, LYTVA_21370	CAPO304211
OG0000223	LYTVA_00593, LYTVA_24317, LYTVA_13912	CAPO308126
OG0000225	LYTVA_20688, LYTVA_20689, LYTVA_18494	CAPO305347
OG0000228	LYTVA_28978	CAPO306208
OG0000234	LYTVA_19906	CAPO301359
OG0000238	LYTVA_04511	CAPO305428
OG0000239	LYTVA_06349, LYTVA_09698, LYTVA_06433	CAPO302089
OG0000244	LYTVA_00671, LYTVA_14110, LYTVA_00337, LYTVA_21810, LYTVA_07546	CAPO301556
OG0000246	LYTVA_19658, LYTVA_09005, LYTVA_09273, LYTVA_01924, LYTVA_25419, LYTVA_06938, LYTVA_09139, LYTVA_25259	CAPO303496
OG0000246	LYTVA_00930	CAPO308181
OG0000248	LYTVA_10723, LYTVA_21251	CAPO307635, CAPO302481, CAPO302487
OG0000250	LYTVA_28209	CAPO305827
OG0000255	LYTVA_13936	CAPO306632
OG0000255	LYTVA_14731, LYTVA_05053, LYTVA_05047, LYTVA_01200, LYTVA_21255, LYTVA_21254, LYTVA_22664, LYTVA_22659, LYTVA_22497, LYTVA_19292	CAPO300499
OG0000256	LYTVA_17873	CAPO307884
OG0000256	LYTVA_25028, LYTVA_05484, LYTVA_26739, LYTVA_18612, LYTVA_19747	CAPO306483
OG0000257	LYTVA_13638, LYTVA_14095, LYTVA_27307, LYTVA_26231, LYTVA_01560	CAPO300414
OG0000258	LYTVA_18309, LYTVA_23522	CAPO301746
OG0000260	LYTVA_02941	CAPO300399
OG0000265	LYTVA_27571, LYTVA_27683	CAPO306126
OG0000265	LYTVA_23503	CAPO306540
OG0000271	LYTVA_06909, LYTVA_01054, LYTVA_19544	CAPO304641
OG0000272	LYTVA_27469, LYTVA_20744	CAPO304601
OG0000273	LYTVA_14211	CAPO307666
OG0000277	LYTVA_08395	CAPO303621
OG0000278	LYTVA_26707	CAPO300620
OG0000278	LYTVA_29542	CAPO302023
OG0000278	LYTVA_18701	CAPO305864
OG0000282	LYTVA_01761, LYTVA_10300, LYTVA_07993	CAPO308183
OG0000284	LYTVA_20653	CAPO305695
OG0000285	LYTVA_02472, LYTVA_02471, LYTVA_16191, LYTVA_10934, LYTVA_01900, LYTVA_00819, LYTVA_10933	CAPO303377
OG0000289	LYTVA_08529, LYTVA_08530	CAPO307835
OG0000295	LYTVA_12691, LYTVA_02154, LYTVA_08756, LYTVA_13817, LYTVA_30195, LYTVA_18727	CAPO302113, CAPO302799
OG0000299	LYTVA_07089	CAPO306599
OG0000305	LYTVA_16632	CAPO307183
OG0000306	LYTVA_05730	CAPO308212
OG0000308	LYTVA_17738, LYTVA_10665	CAPO304037
OG0000308	LYTVA_00091	CAPO303083
OG0000310	LYTVA_24764, LYTVA_27096, LYTVA_01202, LYTVA_01201, LYTVA_05847, LYTVA_09671, LYTVA_17316, LYTVA_12375, LYTVA_07118	CAPO305978
OG0000312	LYTVA_13219	CAPO304557
OG0000312	LYTVA_14217	CAPO302691
OG0000313	LYTVA_13685	CAPO307072
OG0000313	LYTVA_23108	CAPO301348
OG0000314	LYTVA_16209, LYTVA_08014, LYTVA_13477, LYTVA_06213, LYTVA_04787	CAPO304303
OG0000315	LYTVA_09346	CAPO307611
OG0000315	LYTVA_26355	CAPO308167
OG0000316	LYTVA_07908	CAPO307924, CAPO300321
OG0000317	LYTVA_06380, LYTVA_13588	CAPO306620
OG0000319	LYTVA_14716, LYTVA_21422, LYTVA_01923, LYTVA_01922, LYTVA_03060, LYTVA_10385, LYTVA_22668, LYTVA_20832	CAPO303225
OG0000322	LYTVA_23095, LYTVA_01957, LYTVA_08299, LYTVA_00474	CAPO306406
OG0000326	LYTVA_18602	CAPO303322
OG0000334	LYTVA_05579, LYTVA_27451, LYTVA_26985, LYTVA_19447, LYTVA_14665, LYTVA_23457, LYTVA_26982, LYTVA_24482, LYTVA_14664, LYTVA_26630, LYTVA_26983, LYTVA_02495, LYTVA_02498	CAPO300337
OG0000335	LYTVA_29243	CAPO307753
OG0000338	LYTVA_05136, LYTVA_00791, LYTVA_01358	CAPO304735
OG0000339	LYTVA_02463, LYTVA_19838, LYTVA_21464, LYTVA_02464, LYTVA_21590, LYTVA_21611, LYTVA_06903, LYTVA_21467	CAPO305264
OG0000345	LYTVA_25222	CAPO300769
OG0000352	LYTVA_04087, LYTVA_27834, LYTVA_27474, LYTVA_04222, LYTVA_25572, LYTVA_11143, LYTVA_11144	CAPO300356
OG0000357	LYTVA_16315	CAPO301487
OG0000359	LYTVA_13862	CAPO305417
OG0000359	LYTVA_16943	CAPO301540
OG0000359	LYTVA_21076	CAPO306866
OG0000360	LYTVA_15822, LYTVA_30122, LYTVA_29199, LYTVA_27053, LYTVA_29200, LYTVA_05530	CAPO300757
OG0000363	LYTVA_13711	CAPO305594
OG0000364	LYTVA_03241, LYTVA_12339, LYTVA_24462, LYTVA_21604, LYTVA_02959, LYTVA_06968, LYTVA_19018, LYTVA_21819	CAPO301330, CAPO300908
OG0000365	LYTVA_20090	CAPO302286
OG0000367	LYTVA_24456	CAPO301272
OG0000371	LYTVA_07987, LYTVA_18253, LYTVA_26533, LYTVA_00668, LYTVA_00667, LYTVA_22063, LYTVA_24627, LYTVA_18100, LYTVA_24630	CAPO307503
OG0000372	LYTVA_09420, LYTVA_03697, LYTVA_13806	CAPO307553
OG0000373	LYTVA_27427, LYTVA_08644	CAPO301744
OG0000385	LYTVA_24174, LYTVA_28777, LYTVA_02510, LYTVA_20464, LYTVA_23283, LYTVA_21446	CAPO300182, CAPO305781, CAPO305517
OG0000390	LYTVA_03006, LYTVA_05908, LYTVA_05909, LYTVA_15943, LYTVA_02895, LYTVA_06843, LYTVA_24293, LYTVA_18122	CAPO301433, CAPO301477
OG0000390	LYTVA_24095, LYTVA_25744	CAPO307000
OG0000393	LYTVA_07049, LYTVA_04769, LYTVA_02534, LYTVA_19296, LYTVA_18987, LYTVA_29904	CAPO307627
OG0000397	LYTVA_01829	CAPO304372
OG0000399	LYTVA_10214, LYTVA_23258, LYTVA_10216	CAPO302781
OG0000402	LYTVA_17451, LYTVA_17450	CAPO300999
OG0000405	LYTVA_02873	CAPO300636
OG0000412	LYTVA_01548, LYTVA_08305	CAPO306116
OG0000412	LYTVA_13235	CAPO307159
OG0000413	LYTVA_30013	CAPO302663
OG0000413	LYTVA_27164	CAPO304678
OG0000416	LYTVA_23067	CAPO305980
OG0000420	LYTVA_21253, LYTVA_08019, LYTVA_16847, LYTVA_24513, LYTVA_18312, LYTVA_26593, LYTVA_25540	CAPO307162
OG0000422	LYTVA_06865	CAPO301071
OG0000424	LYTVA_23549, LYTVA_05964, LYTVA_25545, LYTVA_03567	CAPO302770, CAPO306814
OG0000426	LYTVA_06898	CAPO302714
OG0000426	LYTVA_02723, LYTVA_28523, LYTVA_10466	CAPO306829
OG0000427	LYTVA_16595	CAPO303813
OG0000429	LYTVA_05078	CAPO300725
OG0000431	LYTVA_04640	CAPO304684
OG0000433	LYTVA_06955	CAPO304838, CAPO302573
OG0000434	LYTVA_01609, LYTVA_24504, LYTVA_12787, LYTVA_04901	CAPO304471
OG0000435	LYTVA_13773, LYTVA_29418, LYTVA_27506	CAPO308080
OG0000436	LYTVA_24029, LYTVA_21248	CAPO305799
OG0000442	LYTVA_02198	CAPO302753, CAPO302633
OG0000444	LYTVA_22417, LYTVA_07815	CAPO305423
OG0000444	LYTVA_19323	CAPO301239
OG0000445	LYTVA_04989, LYTVA_19669, LYTVA_09903, LYTVA_09664	CAPO301584
OG0000447	LYTVA_12231	CAPO300691
OG0000450	LYTVA_17101	CAPO307586, CAPO307446
OG0000453	LYTVA_08205, LYTVA_27618, LYTVA_26520, LYTVA_16783	CAPO305025
OG0000461	LYTVA_27812	CAPO303645, CAPO304085, CAPO303531
OG0000467	LYTVA_22913	CAPO302214
OG0000468	LYTVA_29019, LYTVA_11992, LYTVA_25362, LYTVA_17846, LYTVA_25959, LYTVA_07913, LYTVA_09600	CAPO302003, CAPO303185
OG0000469	LYTVA_00030	CAPO306584, CAPO302277
OG0000469	LYTVA_28593	CAPO302982
OG0000470	LYTVA_08829, LYTVA_28529	CAPO307521
OG0000475	LYTVA_01549, LYTVA_01550	CAPO303779
OG0000476	LYTVA_13391	CAPO306104
OG0000479	LYTVA_06137, LYTVA_28172	CAPO303549
OG0000479	LYTVA_05897	CAPO304267
OG0000480	LYTVA_20914, LYTVA_03386, LYTVA_28708, LYTVA_06044, LYTVA_27796, LYTVA_11906, LYTVA_02506, LYTVA_19363	CAPO307201
OG0000481	LYTVA_03656	CAPO304800
OG0000484	LYTVA_07250	CAPO304750
OG0000485	LYTVA_18258	CAPO303224, CAPO303026
OG0000486	LYTVA_11725, LYTVA_25120, LYTVA_29743, LYTVA_02899, LYTVA_15926, LYTVA_17161, LYTVA_29368, LYTVA_28063, LYTVA_14259	CAPO306048, CAPO306972
OG0000491	LYTVA_10685, LYTVA_06011	CAPO305506
OG0000494	LYTVA_25114, LYTVA_11583	CAPO300277
OG0000506	LYTVA_28601	CAPO304587
OG0000508	LYTVA_12099	CAPO303408, CAPO307945
OG0000508	LYTVA_28377	CAPO302590
OG0000510	LYTVA_19046, LYTVA_02807, LYTVA_16080	CAPO303128, CAPO305095
OG0000511	LYTVA_09309, LYTVA_12973, LYTVA_12008	CAPO301322
OG0000514	LYTVA_15398	CAPO307292
OG0000519	LYTVA_06076, LYTVA_05363, LYTVA_05364, LYTVA_13323	CAPO300709
OG0000520	LYTVA_18628	CAPO304720
OG0000522	LYTVA_15018, LYTVA_09443, LYTVA_24796, LYTVA_29533, LYTVA_27966	CAPO306204
OG0000528	LYTVA_25533, LYTVA_22002, LYTVA_28244, LYTVA_25012	CAPO300417
OG0000530	LYTVA_01074	CAPO306919
OG0000532	LYTVA_10246, LYTVA_24664, LYTVA_08297	CAPO301913
OG0000538	LYTVA_19552	CAPO300039
OG0000548	LYTVA_06015	CAPO307253, CAPO307370
OG0000549	LYTVA_22278, LYTVA_02950, LYTVA_20710, LYTVA_27983	CAPO305341
OG0000551	LYTVA_09908, LYTVA_12970, LYTVA_25441, LYTVA_01943, LYTVA_20915, LYTVA_09909	CAPO305700
OG0000552	LYTVA_03254, LYTVA_15858	CAPO302805
OG0000553	LYTVA_23265, LYTVA_09391	CAPO302261
OG0000554	LYTVA_09845	CAPO300205
OG0000561	LYTVA_29146	CAPO307817, CAPO304686, CAPO304296
OG0000563	LYTVA_08446, LYTVA_08447, LYTVA_00186, LYTVA_03052, LYTVA_07652, LYTVA_11594, LYTVA_14329, LYTVA_18410, LYTVA_14185, LYTVA_14184, LYTVA_03057, LYTVA_03056, LYTVA_01124, LYTVA_21200, LYTVA_20551, LYTVA_03054, LYTVA_16646, LYTVA_16641, LYTVA_00187	CAPO305151
OG0000566	LYTVA_16321, LYTVA_16285	CAPO306820
OG0000567	LYTVA_27754, LYTVA_12299, LYTVA_13542, LYTVA_02323	CAPO300710, CAPO302895
OG0000569	LYTVA_23831, LYTVA_08037, LYTVA_27627, LYTVA_09118, LYTVA_20786, LYTVA_21040, LYTVA_01796	CAPO302672
OG0000573	LYTVA_17570	CAPO301573
OG0000574	LYTVA_26701, LYTVA_10809	CAPO303025
OG0000578	LYTVA_22088	CAPO305505
OG0000583	LYTVA_02410	CAPO302594
OG0000585	LYTVA_24374	CAPO302010
OG0000586	LYTVA_28319	CAPO304818
OG0000587	LYTVA_14343, LYTVA_26577	CAPO304868
OG0000590	LYTVA_12360	CAPO302664
OG0000590	LYTVA_14114	CAPO307990
OG0000591	LYTVA_18700	CAPO300885
OG0000591	LYTVA_26896	CAPO301508, CAPO306921
OG0000592	LYTVA_06892	CAPO302552
OG0000594	LYTVA_00318, LYTVA_12514	CAPO305185
OG0000597	LYTVA_08995, LYTVA_09001	CAPO305949
OG0000600	LYTVA_06939, LYTVA_02314, LYTVA_30191	CAPO302133
OG0000603	LYTVA_12055	CAPO300286
OG0000604	LYTVA_15560	CAPO304248
OG0000609	LYTVA_28306, LYTVA_08875	CAPO306415
OG0000611	LYTVA_07188	CAPO305139
OG0000611	LYTVA_21486	CAPO302505
OG0000612	LYTVA_17035	CAPO308174
OG0000612	LYTVA_18667	CAPO300901
OG0000613	LYTVA_03372, LYTVA_03903, LYTVA_25492	CAPO306741, CAPO303985
OG0000614	LYTVA_22760, LYTVA_07728	CAPO308097
OG0000614	LYTVA_08490	CAPO306138, CAPO304207
OG0000616	LYTVA_14032, LYTVA_18492, LYTVA_22938	CAPO301011
OG0000617	LYTVA_11479, LYTVA_25974	CAPO305351, CAPO305350, CAPO301395, CAPO308110, CAPO305569, CAPO302463, CAPO301963, CAPO307719, CAPO308046, CAPO302479, CAPO302684, CAPO303925
OG0000619	LYTVA_00565	CAPO303580
OG0000623	LYTVA_05482	CAPO306891
OG0000623	LYTVA_02662	CAPO306678
OG0000624	LYTVA_17510, LYTVA_30177, LYTVA_22160, LYTVA_15747	CAPO304034, CAPO304035
OG0000627	LYTVA_13220	CAPO301912
OG0000628	LYTVA_13954, LYTVA_03881	CAPO306878
OG0000629	LYTVA_20124, LYTVA_03778, LYTVA_25763, LYTVA_20962, LYTVA_17253	CAPO304632
OG0000634	LYTVA_05392, LYTVA_17198, LYTVA_27803	CAPO305866
OG0000636	LYTVA_29351	CAPO300927, CAPO308236
OG0000637	LYTVA_16274, LYTVA_17765, LYTVA_13438, LYTVA_07736	CAPO306492
OG0000639	LYTVA_07276	CAPO300322
OG0000639	LYTVA_20363, LYTVA_03919	CAPO305269
OG0000642	LYTVA_03860, LYTVA_03859, LYTVA_07734	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000642	LYTVA_04785	CAPO302938, CAPO302939, CAPO304769, CAPO302566
