Orthogroup	LYTVA_ok	YEAST
OG0000034	LYTVA_20191, LYTVA_09293, LYTVA_04080, LYTVA_29167, LYTVA_10612, LYTVA_11788, LYTVA_12673, LYTVA_04355, LYTVA_01145, LYTVA_06697, LYTVA_00403, LYTVA_27135	YEAST04436, YEAST05550, YEAST05115
OG0000036	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947, LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434, LYTVA_24153, LYTVA_24824, LYTVA_13908, LYTVA_15589, LYTVA_17448, LYTVA_14119, LYTVA_09824, LYTVA_28930, LYTVA_28136, LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896, LYTVA_13566, LYTVA_10871, LYTVA_09424	YEAST02545, YEAST02806
OG0000037	LYTVA_17010, LYTVA_05257, LYTVA_19733, LYTVA_11127, LYTVA_06887, LYTVA_08523, LYTVA_24218, LYTVA_22087, LYTVA_02747, LYTVA_25050, LYTVA_25057, LYTVA_25048, LYTVA_04662	YEAST03227
OG0000038	LYTVA_25636, LYTVA_09822, LYTVA_25193, LYTVA_19606, LYTVA_09821, LYTVA_19605, LYTVA_00434, LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587, LYTVA_04990, LYTVA_00437, LYTVA_14520, LYTVA_04584, LYTVA_23709, LYTVA_21694, LYTVA_05063, LYTVA_19613, LYTVA_27081, LYTVA_14519, LYTVA_00438, LYTVA_10088, LYTVA_09823, LYTVA_19607, LYTVA_09516	YEAST04422, YEAST04379
OG0000043	LYTVA_05725, LYTVA_13550, LYTVA_24763, LYTVA_20678, LYTVA_30007, LYTVA_26935, LYTVA_10735, LYTVA_00383, LYTVA_02758, LYTVA_00226, LYTVA_12710	YEAST00224, YEAST01200
OG0000048	LYTVA_06179, LYTVA_25775, LYTVA_15043, LYTVA_26635, LYTVA_17720, LYTVA_17428, LYTVA_27999, LYTVA_08149, LYTVA_01464, LYTVA_09123, LYTVA_17485, LYTVA_17487, LYTVA_17489, LYTVA_11620	YEAST05707
OG0000054	LYTVA_22262, LYTVA_10090, LYTVA_07086, LYTVA_21421, LYTVA_17925, LYTVA_09472, LYTVA_10089, LYTVA_11502, LYTVA_10035, LYTVA_09103	YEAST01385
OG0000055	LYTVA_08084, LYTVA_28790, LYTVA_05265, LYTVA_05724, LYTVA_23050, LYTVA_10558, LYTVA_00384, LYTVA_20676, LYTVA_30008, LYTVA_16090, LYTVA_10734, LYTVA_09126, LYTVA_26970, LYTVA_18344, LYTVA_18117	YEAST01199, YEAST00225
OG0000058	LYTVA_09175, LYTVA_09177, LYTVA_25827, LYTVA_18449, LYTVA_29674	YEAST02989
OG0000058	LYTVA_14430, LYTVA_15397, LYTVA_14164, LYTVA_16698, LYTVA_01877, LYTVA_05596, LYTVA_05352, LYTVA_05598, LYTVA_13005, LYTVA_01608	YEAST02120
OG0000069	LYTVA_15781	YEAST03661
OG0000069	LYTVA_28251, LYTVA_19634, LYTVA_18557	YEAST05172
OG0000079	LYTVA_19637, LYTVA_24538, LYTVA_21250, LYTVA_05934, LYTVA_06214, LYTVA_17750	YEAST05330
OG0000082	LYTVA_25888	YEAST03287
OG0000082	LYTVA_18803	YEAST04267, YEAST01834, YEAST03359
OG0000082	LYTVA_21157, LYTVA_15644, LYTVA_26329, LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	LYTVA_04385, LYTVA_29816, LYTVA_16046, LYTVA_16047, LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054, LYTVA_27487, LYTVA_28301	YEAST02993
OG0000096	LYTVA_28490, LYTVA_12286	YEAST02643
OG0000096	LYTVA_21388	YEAST00638
OG0000096	LYTVA_10606, LYTVA_19397, LYTVA_24298, LYTVA_20858	YEAST05104, YEAST05564
OG0000103	LYTVA_05784, LYTVA_08412	YEAST02873
OG0000107	LYTVA_12329, LYTVA_02473, LYTVA_17709, LYTVA_19232, LYTVA_06216, LYTVA_16091, LYTVA_24448	YEAST05173
OG0000113	LYTVA_11625, LYTVA_11752, LYTVA_11754, LYTVA_06725	YEAST00378, YEAST01351, YEAST05581
OG0000116	LYTVA_00275, LYTVA_00276, LYTVA_12381, LYTVA_27944, LYTVA_24429, LYTVA_13726, LYTVA_02564, LYTVA_00399, LYTVA_24857, LYTVA_11412, LYTVA_07622, LYTVA_26138, LYTVA_18915	YEAST04456
OG0000122	LYTVA_26094, LYTVA_10750, LYTVA_18458, LYTVA_18460	YEAST04928
OG0000124	LYTVA_14993	YEAST05021
OG0000124	LYTVA_27850	YEAST04122
OG0000127	LYTVA_27169, LYTVA_12856, LYTVA_21563, LYTVA_12830, LYTVA_20093	YEAST06208
OG0000128	LYTVA_25168	YEAST01398, YEAST05967, YEAST05716
OG0000132	LYTVA_01373, LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402	YEAST06016
OG0000137	LYTVA_14649, LYTVA_14169, LYTVA_05475, LYTVA_25469, LYTVA_15627	YEAST01851, YEAST00637
OG0000142	LYTVA_04554, LYTVA_20509, LYTVA_25812, LYTVA_27034, LYTVA_20510, LYTVA_01494, LYTVA_20512, LYTVA_27041, LYTVA_04856, LYTVA_01496, LYTVA_01493	YEAST02122
OG0000158	LYTVA_06789, LYTVA_12135, LYTVA_03807	YEAST05568
OG0000160	LYTVA_09555, LYTVA_09556, LYTVA_04290, LYTVA_15927, LYTVA_15928, LYTVA_20062, LYTVA_07452, LYTVA_05524, LYTVA_11099	YEAST04194
OG0000175	LYTVA_18185, LYTVA_25514, LYTVA_15383, LYTVA_23856, LYTVA_15381	YEAST00850, YEAST04327
OG0000179	LYTVA_11503	YEAST01123, YEAST04430
OG0000179	LYTVA_09715, LYTVA_09722, LYTVA_06848, LYTVA_20391, LYTVA_24933	YEAST02911, YEAST01281
OG0000179	LYTVA_21017	YEAST04108, YEAST03346
OG0000181	LYTVA_23473, LYTVA_30016, LYTVA_19542, LYTVA_21135	YEAST00824, YEAST00771
OG0000186	LYTVA_01562, LYTVA_21568, LYTVA_08130, LYTVA_16833, LYTVA_04383, LYTVA_22654	YEAST00336
OG0000194	LYTVA_10369, LYTVA_19148, LYTVA_19770, LYTVA_19763, LYTVA_12264, LYTVA_12263, LYTVA_12262, LYTVA_24414	YEAST01410
OG0000195	LYTVA_28994, LYTVA_02735, LYTVA_11062, LYTVA_09814, LYTVA_16951	YEAST03414
OG0000211	LYTVA_13895, LYTVA_06449, LYTVA_04294, LYTVA_06557, LYTVA_26568	YEAST04964
OG0000221	LYTVA_17595, LYTVA_04768, LYTVA_08100	YEAST05872
OG0000222	LYTVA_26734, LYTVA_13738, LYTVA_24122, LYTVA_28945, LYTVA_27554, LYTVA_20917, LYTVA_23553, LYTVA_21370	YEAST01460
OG0000225	LYTVA_20688, LYTVA_20689, LYTVA_18494	YEAST06146
OG0000227	LYTVA_23655, LYTVA_07921, LYTVA_00830, LYTVA_00289, LYTVA_24191	YEAST05815
OG0000228	LYTVA_17479, LYTVA_09835, LYTVA_28978, LYTVA_02590, LYTVA_02589, LYTVA_17477, LYTVA_02497, LYTVA_21145, LYTVA_09059, LYTVA_09058, LYTVA_03892, LYTVA_05647	YEAST04750
OG0000233	LYTVA_06974, LYTVA_04354, LYTVA_14773, LYTVA_05981	YEAST03726, YEAST03241, YEAST03242
OG0000238	LYTVA_04511, LYTVA_21260, LYTVA_04828, LYTVA_26584, LYTVA_07493	YEAST06340, YEAST03834
OG0000240	LYTVA_19630, LYTVA_00509, LYTVA_15925, LYTVA_04643, LYTVA_04644, LYTVA_03055, LYTVA_27793, LYTVA_11638	YEAST03827
OG0000242	LYTVA_20520	YEAST00734
OG0000246	LYTVA_19658, LYTVA_09005, LYTVA_09273, LYTVA_01924, LYTVA_25419, LYTVA_06938, LYTVA_09139, LYTVA_25259, LYTVA_00930	YEAST01746, YEAST01747
OG0000250	LYTVA_04806, LYTVA_21908, LYTVA_27749, LYTVA_28209, LYTVA_16072, LYTVA_19814, LYTVA_07981, LYTVA_05636	YEAST04716
OG0000255	LYTVA_13936, LYTVA_14731, LYTVA_05053, LYTVA_05047, LYTVA_01200, LYTVA_21255, LYTVA_21254, LYTVA_22664, LYTVA_22659, LYTVA_22497, LYTVA_19292	YEAST02822
OG0000256	LYTVA_17873, LYTVA_25028, LYTVA_05484, LYTVA_26739, LYTVA_18612, LYTVA_19747	YEAST00266
OG0000258	LYTVA_18309, LYTVA_23522	YEAST00118
OG0000260	LYTVA_02941, LYTVA_22814	YEAST04323
OG0000265	LYTVA_16147	YEAST05674
OG0000265	LYTVA_23503	YEAST03885, YEAST03714
OG0000272	LYTVA_13851, LYTVA_01003, LYTVA_27469, LYTVA_20744	YEAST02076, YEAST01066
OG0000273	LYTVA_14211	YEAST05751
OG0000274	LYTVA_22032, LYTVA_22989, LYTVA_09806, LYTVA_20746, LYTVA_00583, LYTVA_00582, LYTVA_07683, LYTVA_13897, LYTVA_08405	YEAST02118, YEAST04573, YEAST01485
OG0000278	LYTVA_29542	YEAST04060
OG0000284	LYTVA_29164, LYTVA_15352, LYTVA_18853, LYTVA_15353, LYTVA_05389, LYTVA_20653	YEAST05621
OG0000289	LYTVA_08529, LYTVA_08530	YEAST00645
OG0000305	LYTVA_16632, LYTVA_15733	YEAST04899
OG0000308	LYTVA_17738, LYTVA_10665, LYTVA_19994, LYTVA_00091	YEAST02548
OG0000310	LYTVA_24764, LYTVA_27096, LYTVA_01202, LYTVA_01201, LYTVA_05847, LYTVA_09671, LYTVA_17316, LYTVA_12375, LYTVA_07118, LYTVA_29000	YEAST02635
OG0000312	LYTVA_24273, LYTVA_13219, LYTVA_30225, LYTVA_14217	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	LYTVA_13685	YEAST05106
OG0000315	LYTVA_26355	YEAST04684
OG0000316	LYTVA_01425, LYTVA_11631, LYTVA_05423, LYTVA_07908	YEAST01673
OG0000317	LYTVA_06380, LYTVA_13588, LYTVA_05960, LYTVA_06194	YEAST01356
OG0000321	LYTVA_23191, LYTVA_08758	YEAST03264
OG0000323	LYTVA_10353, LYTVA_24178, LYTVA_03400, LYTVA_14040	YEAST02249
OG0000326	LYTVA_18602	YEAST06056
OG0000334	LYTVA_05579, LYTVA_27451, LYTVA_26985, LYTVA_19447, LYTVA_14665, LYTVA_23457, LYTVA_26982, LYTVA_24482, LYTVA_14664, LYTVA_26630, LYTVA_26983, LYTVA_02495, LYTVA_02498	YEAST05626
OG0000338	LYTVA_05136, LYTVA_00791	YEAST02967
OG0000338	LYTVA_01358	YEAST04211
OG0000345	LYTVA_17527, LYTVA_03562, LYTVA_22667, LYTVA_03569, LYTVA_21102, LYTVA_10066, LYTVA_16358, LYTVA_03014, LYTVA_25222	YEAST01884
OG0000352	LYTVA_04087, LYTVA_27834, LYTVA_27474, LYTVA_04222, LYTVA_25572, LYTVA_11143, LYTVA_11144	YEAST04069
OG0000357	LYTVA_11988, LYTVA_11987, LYTVA_16315	YEAST01925
OG0000359	LYTVA_13862, LYTVA_16943, LYTVA_21076	YEAST02489
OG0000363	LYTVA_19730, LYTVA_05256, LYTVA_02850, LYTVA_15234, LYTVA_19502, LYTVA_12892, LYTVA_13711, LYTVA_21653	YEAST04081, YEAST05870
OG0000365	LYTVA_02311, LYTVA_15345, LYTVA_20090	YEAST05831
OG0000367	LYTVA_24456	YEAST02141, YEAST03746, YEAST03210
OG0000372	LYTVA_09420, LYTVA_03697, LYTVA_13806, LYTVA_09258, LYTVA_10583	YEAST05988
OG0000373	LYTVA_27427, LYTVA_08644	YEAST02023
OG0000373	LYTVA_11109	YEAST04495, YEAST01417, YEAST05964
OG0000380	LYTVA_09189	YEAST01047
OG0000385	LYTVA_24174, LYTVA_28777, LYTVA_02510, LYTVA_20464, LYTVA_23283, LYTVA_21446	YEAST03496
OG0000393	LYTVA_07049, LYTVA_04769, LYTVA_02534, LYTVA_19296, LYTVA_18987	YEAST04072, YEAST04071
OG0000393	LYTVA_29904	YEAST01302
OG0000397	LYTVA_01829	YEAST05080
OG0000399	LYTVA_10214, LYTVA_23258, LYTVA_10216	YEAST02160
OG0000400	LYTVA_21682, LYTVA_21440, LYTVA_00063	YEAST05911
OG0000402	LYTVA_17451, LYTVA_17450	YEAST01657, YEAST01929
OG0000405	LYTVA_02873	YEAST06055, YEAST00411
OG0000412	LYTVA_13235	YEAST04469
OG0000413	LYTVA_30013	YEAST04905, YEAST05340
OG0000413	LYTVA_27164	YEAST02838
OG0000419	LYTVA_16286	YEAST05989
OG0000420	LYTVA_21253, LYTVA_08019, LYTVA_16847, LYTVA_24513, LYTVA_18312, LYTVA_26593, LYTVA_25540	YEAST03886
OG0000424	LYTVA_23549, LYTVA_05964, LYTVA_25545, LYTVA_03567	YEAST03563
OG0000426	LYTVA_06898	YEAST03440
OG0000426	LYTVA_02723	YEAST03848, YEAST01121
OG0000427	LYTVA_16595, LYTVA_19896	YEAST02655, YEAST02439
OG0000429	LYTVA_08351, LYTVA_05078	YEAST02285
OG0000431	LYTVA_04640	YEAST04014
OG0000433	LYTVA_26219, LYTVA_06955	YEAST06177, YEAST00117
OG0000437	LYTVA_00385, LYTVA_22885, LYTVA_00387, LYTVA_00386, LYTVA_11759, LYTVA_05214, LYTVA_25460	YEAST03074, YEAST02073
OG0000442	LYTVA_03518, LYTVA_02198, LYTVA_11814, LYTVA_13337	YEAST05012
OG0000444	LYTVA_22417, LYTVA_07815, LYTVA_19323	YEAST01115, YEAST04019
OG0000445	LYTVA_04989, LYTVA_19669, LYTVA_09903, LYTVA_09664	YEAST03068
OG0000450	LYTVA_17101	YEAST04709, YEAST05909
OG0000467	LYTVA_22913	YEAST03162
OG0000468	LYTVA_29019, LYTVA_11992, LYTVA_25362, LYTVA_17846, LYTVA_25959, LYTVA_07913, LYTVA_09600	YEAST04372
OG0000469	LYTVA_00030	YEAST02179, YEAST05440
OG0000469	LYTVA_28593	YEAST02333, YEAST00863
OG0000474	LYTVA_27814	YEAST02384
OG0000476	LYTVA_25122, LYTVA_13391, LYTVA_29747	YEAST03038
OG0000479	LYTVA_06137, LYTVA_28172, LYTVA_05897	YEAST04139
OG0000480	LYTVA_20914, LYTVA_03386, LYTVA_28708, LYTVA_06044, LYTVA_27796, LYTVA_11906, LYTVA_02506, LYTVA_19363	YEAST05750
OG0000481	LYTVA_09160	YEAST01040
OG0000481	LYTVA_03656	YEAST00916
OG0000484	LYTVA_07250	YEAST05824
OG0000486	LYTVA_11725, LYTVA_25120, LYTVA_29743, LYTVA_02899, LYTVA_15926, LYTVA_17161, LYTVA_29368, LYTVA_28063, LYTVA_14259	YEAST03122, YEAST04270
OG0000487	LYTVA_29860	YEAST04968
OG0000487	LYTVA_10942	YEAST02728
OG0000488	LYTVA_07230, LYTVA_08628	YEAST01414
OG0000490	LYTVA_11400	YEAST04297, YEAST00894
OG0000505	LYTVA_05839	YEAST03067
OG0000508	LYTVA_12099, LYTVA_28377	YEAST04626
OG0000510	LYTVA_19046, LYTVA_02807, LYTVA_16080	YEAST04569, YEAST05730
OG0000515	LYTVA_07120, LYTVA_07117, LYTVA_20113, LYTVA_20114, LYTVA_28123, LYTVA_22248, LYTVA_11079, LYTVA_15154, LYTVA_26737, LYTVA_19505, LYTVA_09455	YEAST04784, YEAST05876
OG0000519	LYTVA_06076, LYTVA_05363, LYTVA_05364, LYTVA_13323	YEAST04594, YEAST03616
OG0000520	LYTVA_00781, LYTVA_18628	YEAST02979
OG0000523	LYTVA_00966	YEAST01952, YEAST05838, YEAST06082
OG0000529	LYTVA_23566, LYTVA_23159, LYTVA_04442	YEAST05790, YEAST00048
OG0000534	LYTVA_09901, LYTVA_21092	YEAST04932
OG0000538	LYTVA_19552	YEAST00499
OG0000549	LYTVA_22278, LYTVA_02950, LYTVA_20710, LYTVA_27983	YEAST06280, YEAST02610, YEAST05060
OG0000552	LYTVA_03254, LYTVA_15858	YEAST05717
OG0000561	LYTVA_29146	YEAST06202, YEAST00331
OG0000562	LYTVA_21948, LYTVA_27735, LYTVA_24956, LYTVA_18365, LYTVA_18318, LYTVA_21618, LYTVA_22762, LYTVA_13512, LYTVA_16236, LYTVA_18865, LYTVA_01419, LYTVA_29650, LYTVA_10850, LYTVA_06854, LYTVA_16962, LYTVA_07616, LYTVA_01404, LYTVA_19793, LYTVA_26408, LYTVA_26285, LYTVA_06744, LYTVA_06856, LYTVA_05804, LYTVA_04819	YEAST00314
OG0000563	LYTVA_08446, LYTVA_08447, LYTVA_00186, LYTVA_03052, LYTVA_07652, LYTVA_11594, LYTVA_14329, LYTVA_18410, LYTVA_14185, LYTVA_14184, LYTVA_03057, LYTVA_03056, LYTVA_01124, LYTVA_21200, LYTVA_20551, LYTVA_03054, LYTVA_16646, LYTVA_16641, LYTVA_00187	YEAST01406
OG0000566	LYTVA_16321, LYTVA_16285	YEAST05789, YEAST00049
OG0000573	LYTVA_17570	YEAST05675
OG0000576	LYTVA_26208	YEAST00470, YEAST00193
OG0000578	LYTVA_22088	YEAST01208, YEAST00759
OG0000579	LYTVA_05380	YEAST02484
OG0000582	LYTVA_16729	YEAST03615
OG0000587	LYTVA_14343, LYTVA_26577	YEAST04063
OG0000587	LYTVA_09394	YEAST03372
OG0000588	LYTVA_02313	YEAST05197
OG0000590	LYTVA_12360, LYTVA_14114	YEAST05110, YEAST05552, YEAST03727
OG0000592	LYTVA_06892	YEAST00388
OG0000597	LYTVA_08995, LYTVA_09001	YEAST04330
OG0000609	LYTVA_12338, LYTVA_28306, LYTVA_08875	YEAST05180
OG0000612	LYTVA_17035	YEAST02370
OG0000612	LYTVA_18667	YEAST03629
OG0000613	LYTVA_03372, LYTVA_03903, LYTVA_25492	YEAST01072
OG0000623	LYTVA_05482	YEAST02411
OG0000623	LYTVA_02662	YEAST05090
OG0000627	LYTVA_13220	YEAST02116, YEAST03957
OG0000639	LYTVA_07276, LYTVA_20363, LYTVA_03919	YEAST02015
OG0000642	LYTVA_03860, LYTVA_03859, LYTVA_07734, LYTVA_04785	YEAST00618
OG0000645	LYTVA_28374	YEAST04743
OG0000647	LYTVA_09133, LYTVA_17054, LYTVA_07018, LYTVA_08785	YEAST04534
OG0000648	LYTVA_04746, LYTVA_13183	YEAST04178, YEAST05641
OG0000657	LYTVA_09519, LYTVA_08984, LYTVA_11565, LYTVA_11564, LYTVA_09513	YEAST03846
OG0000660	LYTVA_18194, LYTVA_29081	YEAST05150, YEAST01587
OG0000662	LYTVA_10468, LYTVA_18798, LYTVA_15423	YEAST05937
OG0000663	LYTVA_05261, LYTVA_03273	YEAST02675, YEAST03294
OG0000672	LYTVA_02177	YEAST03771
OG0000672	LYTVA_03099	YEAST00984
OG0000676	LYTVA_14394, LYTVA_22046	YEAST01503
OG0000676	LYTVA_18544	YEAST02962
OG0000683	LYTVA_03132, LYTVA_12146	YEAST03152, YEAST03537, YEAST05938
OG0000690	LYTVA_01411, LYTVA_23445	YEAST04874
OG0000690	LYTVA_06618, LYTVA_16355	YEAST02296
OG0000692	LYTVA_10855, LYTVA_24724, LYTVA_10854	YEAST01969
OG0000692	LYTVA_29544, LYTVA_23315	YEAST03487
OG0000694	LYTVA_29379, LYTVA_26928	YEAST05978
OG0000699	LYTVA_27216, LYTVA_22923	YEAST05706
OG0000701	LYTVA_09841	YEAST02239, YEAST02223
OG0000708	LYTVA_00778	YEAST03515
OG0000709	LYTVA_00851, LYTVA_04267, LYTVA_11324, LYTVA_29562	YEAST00057
OG0000724	LYTVA_01400	YEAST02013
OG0000732	LYTVA_19768	YEAST04978
OG0000733	LYTVA_09286, LYTVA_18704	YEAST05474
OG0000735	LYTVA_27173	YEAST05945
OG0000737	LYTVA_18640	YEAST05188
OG0000744	LYTVA_11555, LYTVA_11561, LYTVA_20158	YEAST05951
OG0000745	LYTVA_17679, LYTVA_10149, LYTVA_11982, LYTVA_11981, LYTVA_19578	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	LYTVA_18382, LYTVA_07800	YEAST01432, YEAST04483
OG0000753	LYTVA_08519, LYTVA_11275	YEAST01034, YEAST02037
OG0000757	LYTVA_25030	YEAST01489
OG0000758	LYTVA_00031, LYTVA_17208	YEAST01504
OG0000759	LYTVA_17588	YEAST02878, YEAST05681
OG0000768	LYTVA_13835, LYTVA_13832	YEAST02560, YEAST04269
OG0000772	LYTVA_05773, LYTVA_19834	YEAST04929
OG0000776	LYTVA_24103, LYTVA_22432, LYTVA_27701	YEAST04571, YEAST00195, YEAST00312
OG0000777	LYTVA_13243, LYTVA_28245, LYTVA_09488, LYTVA_01532	YEAST06297, YEAST02627
OG0000779	LYTVA_13804, LYTVA_16614, LYTVA_13236, LYTVA_13810	YEAST03812
OG0000782	LYTVA_07281	YEAST01393, YEAST05616
OG0000791	LYTVA_30188	YEAST02375
OG0000794	LYTVA_18203, LYTVA_09726	YEAST04627
OG0000800	LYTVA_29348, LYTVA_28470	YEAST03636
OG0000817	LYTVA_09679	YEAST00389
OG0000817	LYTVA_10096	YEAST06112
OG0000824	LYTVA_20926	YEAST01319, YEAST02883
OG0000828	LYTVA_04924	YEAST00945, YEAST05476, YEAST00075
OG0000828	LYTVA_16052	YEAST02290
OG0000837	LYTVA_06689, LYTVA_07593, LYTVA_20841, LYTVA_20846	YEAST06222
OG0000841	LYTVA_03788, LYTVA_29116	YEAST02416
OG0000847	LYTVA_11994	YEAST02881, YEAST03544, YEAST06198
OG0000847	LYTVA_21656	YEAST02530, YEAST00209
OG0000849	LYTVA_12639, LYTVA_10091	YEAST04475
OG0000850	LYTVA_06441, LYTVA_26189, LYTVA_27854	YEAST04287
OG0000852	LYTVA_26709, LYTVA_24264, LYTVA_29382, LYTVA_07531	YEAST01266
OG0000855	LYTVA_06599, LYTVA_10228, LYTVA_20856, LYTVA_26570, LYTVA_26571	YEAST04755
OG0000857	LYTVA_21736	YEAST00309
OG0000868	LYTVA_29147	YEAST06157
OG0000871	LYTVA_25255, LYTVA_00078, LYTVA_13487	YEAST03857
OG0000872	LYTVA_18504	YEAST03222, YEAST03741
OG0000875	LYTVA_01072, LYTVA_12521	YEAST00077
OG0000876	LYTVA_02114	YEAST05556
OG0000879	LYTVA_08681	YEAST06123
OG0000888	LYTVA_24269	YEAST00288
OG0000889	LYTVA_27694, LYTVA_27693	YEAST00175
OG0000894	LYTVA_12588, LYTVA_19786	YEAST03763
OG0000896	LYTVA_29831	YEAST02476
OG0000896	LYTVA_08568	YEAST04923
OG0000905	LYTVA_15702, LYTVA_23197	YEAST00599
OG0000907	LYTVA_16710	YEAST02193
OG0000913	LYTVA_02832, LYTVA_10765	YEAST03557, YEAST05101
OG0000914	LYTVA_26358	YEAST04745
OG0000921	LYTVA_14375	YEAST02526
OG0000925	LYTVA_00188, LYTVA_25795	YEAST05667, YEAST06025
OG0000932	LYTVA_26139	YEAST03525
OG0000933	LYTVA_06950, LYTVA_06948, LYTVA_13372	YEAST06306
OG0000934	LYTVA_20397	YEAST05040
OG0000943	LYTVA_28974, LYTVA_14187, LYTVA_14188	YEAST03805
OG0000944	LYTVA_08967	YEAST04878
OG0000954	LYTVA_18195, LYTVA_05025	YEAST05503, YEAST01249
OG0000955	LYTVA_15857	YEAST04295
OG0000963	LYTVA_11219	YEAST03685, YEAST00482, YEAST01749
OG0000964	LYTVA_26196	YEAST04606
OG0000965	LYTVA_08512, LYTVA_30143, LYTVA_17394	YEAST02552
OG0000965	LYTVA_12319	YEAST02050
OG0000967	LYTVA_23088, LYTVA_06230, LYTVA_06235	YEAST05075
OG0000970	LYTVA_26609	YEAST04028
OG0000982	LYTVA_01090	YEAST01182
OG0000984	LYTVA_20605, LYTVA_23816, LYTVA_17983	YEAST01493, YEAST00575
OG0000986	LYTVA_05339	YEAST01481, YEAST04073
OG0000987	LYTVA_29210	YEAST04734, YEAST02734
OG0000994	LYTVA_00968, LYTVA_25056	YEAST02360
OG0001001	LYTVA_02181, LYTVA_06547, LYTVA_09209	YEAST00341
OG0001003	LYTVA_24521	YEAST00644
OG0001006	LYTVA_30116, LYTVA_11326	YEAST04513
OG0001016	LYTVA_27385, LYTVA_23205, LYTVA_10008	YEAST00830
OG0001018	LYTVA_08364, LYTVA_04534	YEAST01172
OG0001024	LYTVA_13785, LYTVA_28952	YEAST01024, YEAST00308
OG0001064	LYTVA_11261	YEAST00458
OG0001066	LYTVA_22867	YEAST06311
OG0001075	LYTVA_24384	YEAST05636
OG0001076	LYTVA_12589	YEAST01570
OG0001081	LYTVA_03364, LYTVA_09565, LYTVA_11238, LYTVA_00546, LYTVA_03368, LYTVA_08915, LYTVA_08917	YEAST04460
OG0001082	LYTVA_14593, LYTVA_14830, LYTVA_06685, LYTVA_11262	YEAST03919, YEAST02905, YEAST05331
OG0001094	LYTVA_15558, LYTVA_15559	YEAST03837
OG0001095	LYTVA_10435	YEAST00773
OG0001096	LYTVA_05948, LYTVA_03888, LYTVA_04358, LYTVA_24651	YEAST01384
OG0001101	LYTVA_28690	YEAST03434
OG0001108	LYTVA_12879	YEAST06309
