Orthogroup	LYTVA_ok	MOUSE
OG0000015	LYTVA_26002	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	LYTVA_09631, LYTVA_17348, LYTVA_06152	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	MOUSE48959, MOUSE48960, MOUSE15414
OG0000016	LYTVA_21831, LYTVA_18288	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123
OG0000016	LYTVA_27143	MOUSE13078, MOUSE13077
OG0000016	LYTVA_03299, LYTVA_00787	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335
OG0000019	LYTVA_01420	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640
OG0000020	LYTVA_00541, LYTVA_04295	MOUSE45177
OG0000020	LYTVA_19355	MOUSE05499, MOUSE05500
OG0000020	LYTVA_21318	MOUSE53015
OG0000020	LYTVA_09793	MOUSE07164
OG0000020	LYTVA_04298	MOUSE33588
OG0000020	LYTVA_23496	MOUSE23587, MOUSE23586
OG0000020	LYTVA_05479	MOUSE26371
OG0000020	LYTVA_08129	MOUSE45175, MOUSE15405, MOUSE15402
OG0000020	LYTVA_23009	MOUSE24012
OG0000020	LYTVA_12234	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	LYTVA_17081	MOUSE35162
OG0000020	LYTVA_06231	MOUSE09601, MOUSE09602
OG0000020	LYTVA_09530	MOUSE37001, MOUSE37002
OG0000020	LYTVA_00542	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	LYTVA_04917	MOUSE41024, MOUSE41023
OG0000021	LYTVA_13831	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	LYTVA_10118	MOUSE49041, MOUSE09998
OG0000021	LYTVA_09991	MOUSE04592
OG0000021	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778	MOUSE44445, MOUSE53773
OG0000021	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000023	LYTVA_11225	MOUSE46773, MOUSE46772
OG0000023	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835
OG0000023	LYTVA_24785	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	LYTVA_02302	MOUSE34507
OG0000026	LYTVA_25523, LYTVA_12516, LYTVA_25399, LYTVA_26794, LYTVA_19796	MOUSE38308, MOUSE38309
OG0000027	LYTVA_13316	MOUSE18680
OG0000028	LYTVA_12763	MOUSE44525
OG0000029	LYTVA_19314	MOUSE43115, MOUSE43116
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995
OG0000029	LYTVA_02569, LYTVA_10073	MOUSE17544, MOUSE15400
OG0000030	LYTVA_13667	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	LYTVA_26760	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432
OG0000031	LYTVA_04157, LYTVA_03000	MOUSE26385
OG0000031	LYTVA_07242	MOUSE14840, MOUSE26448, MOUSE08530
OG0000031	LYTVA_07394	MOUSE08528, MOUSE08527
OG0000031	LYTVA_13645	MOUSE39309, MOUSE01505
OG0000031	LYTVA_05124	MOUSE13006, MOUSE13005
OG0000031	LYTVA_29658	MOUSE48656, MOUSE48889
OG0000031	LYTVA_09735	MOUSE22339, MOUSE22337, MOUSE22338, MOUSE08579
OG0000031	LYTVA_24172	MOUSE13008
OG0000032	LYTVA_14158	MOUSE41899
OG0000032	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746	MOUSE29123
OG0000034	LYTVA_20191	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	LYTVA_09293	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	LYTVA_04080	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	LYTVA_29167, LYTVA_10612	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105
OG0000034	LYTVA_11788	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	LYTVA_12673	MOUSE11491, MOUSE11490
OG0000034	LYTVA_06697	MOUSE20059
OG0000035	LYTVA_27828	MOUSE41545, MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	LYTVA_22468	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	LYTVA_12116	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507
OG0000035	LYTVA_04128	MOUSE27104
OG0000036	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723
OG0000036	LYTVA_13566	MOUSE49438
OG0000036	LYTVA_09424	MOUSE43709
OG0000037	LYTVA_02747	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631
OG0000037	LYTVA_25050, LYTVA_25057, LYTVA_25048	MOUSE21441
OG0000038	LYTVA_09822	MOUSE08557
OG0000038	LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587	MOUSE41992, MOUSE41494
OG0000038	LYTVA_09823	MOUSE22591, MOUSE22592
OG0000039	LYTVA_16233	MOUSE32704
OG0000039	LYTVA_13062	MOUSE23387
OG0000040	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	LYTVA_25852	MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266
OG0000041	LYTVA_03177	MOUSE28829, MOUSE21621
OG0000044	LYTVA_11853	MOUSE35862, MOUSE46639, MOUSE09513, MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857, MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857, MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	LYTVA_10017	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809
OG0000044	LYTVA_14074	MOUSE38798
OG0000045	LYTVA_10187, LYTVA_26738	MOUSE17353, MOUSE07193
OG0000046	LYTVA_22286	MOUSE48114, MOUSE48113
OG0000048	LYTVA_06179	MOUSE55730
OG0000048	LYTVA_27999	MOUSE42201, MOUSE42202
OG0000048	LYTVA_08149	MOUSE06701
OG0000048	LYTVA_11620	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	LYTVA_16567	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986
OG0000049	LYTVA_21152	MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311
OG0000049	LYTVA_02138	MOUSE40908, MOUSE39155
OG0000051	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	MOUSE48109
OG0000056	LYTVA_05867	MOUSE52879
OG0000056	LYTVA_03272	MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842
OG0000056	LYTVA_17286	MOUSE37995, MOUSE37994
OG0000057	LYTVA_05797, LYTVA_22815	MOUSE10186, MOUSE10187, MOUSE10188, MOUSE44717, MOUSE44718
OG0000058	LYTVA_18449	MOUSE47313, MOUSE47308
OG0000058	LYTVA_29674	MOUSE21859, MOUSE21858
OG0000058	LYTVA_14430	MOUSE10546
OG0000058	LYTVA_15397	MOUSE16601
OG0000058	LYTVA_16698	MOUSE49898, MOUSE27373, MOUSE40443, MOUSE20899
OG0000058	LYTVA_05598, LYTVA_13005	MOUSE38609, MOUSE40444
OG0000059	LYTVA_18957	MOUSE52262, MOUSE52259, MOUSE52258
OG0000059	LYTVA_06967, LYTVA_19211, LYTVA_17534	MOUSE50099, MOUSE50101, MOUSE29617, MOUSE09593, MOUSE09594, MOUSE09591, MOUSE09588, MOUSE09589
OG0000060	LYTVA_30158, LYTVA_18098	MOUSE52080, MOUSE52079
OG0000060	LYTVA_10196	MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000061	LYTVA_16102	MOUSE26618, MOUSE38907, MOUSE38906
OG0000061	LYTVA_20900	MOUSE22377, MOUSE22378, MOUSE53042, MOUSE06425, MOUSE42762, MOUSE17361, MOUSE03955, MOUSE03956, MOUSE23297, MOUSE23298, MOUSE53307, MOUSE39884, MOUSE39883, MOUSE39889, MOUSE39886, MOUSE39890, MOUSE39885, MOUSE39887, MOUSE39892, MOUSE39891, MOUSE08504, MOUSE08505
OG0000061	LYTVA_20904, LYTVA_09585, LYTVA_28339	MOUSE42763
OG0000061	LYTVA_02993, LYTVA_26455, LYTVA_26459	MOUSE39874, MOUSE39873, MOUSE39878, MOUSE39876, MOUSE39877, MOUSE05785
OG0000062	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092	MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586
OG0000062	LYTVA_18550	MOUSE52081
OG0000063	LYTVA_03474	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696
OG0000063	LYTVA_28622	MOUSE10885, MOUSE10881
OG0000063	LYTVA_16178	MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	LYTVA_14724	MOUSE53763
OG0000067	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045	MOUSE19580, MOUSE31455
OG0000068	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450	MOUSE02010
OG0000069	LYTVA_28766, LYTVA_15781	MOUSE30824
OG0000069	LYTVA_28251, LYTVA_19634, LYTVA_18557	MOUSE24596
OG0000069	LYTVA_19096	MOUSE24597
OG0000069	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821	MOUSE08934, MOUSE08905, MOUSE08822, MOUSE08829
OG0000070	LYTVA_12849	MOUSE00175, MOUSE00176, MOUSE00177, MOUSE00178, MOUSE55320, MOUSE54102
OG0000070	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317	MOUSE01400, MOUSE01399
OG0000072	LYTVA_26888	MOUSE30088, MOUSE45691
OG0000072	LYTVA_23422	MOUSE29660
OG0000072	LYTVA_09419	MOUSE00771, MOUSE00773, MOUSE00770, MOUSE00774, MOUSE00772
OG0000073	LYTVA_08820, LYTVA_28046	MOUSE18062
OG0000073	LYTVA_03728	MOUSE28629, MOUSE21657, MOUSE21656, MOUSE49709, MOUSE49708, MOUSE21655, MOUSE02165, MOUSE02168, MOUSE02164, MOUSE02163
OG0000074	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687	MOUSE01754, MOUSE40707
OG0000074	LYTVA_24139	MOUSE27442, MOUSE27441
OG0000074	LYTVA_17968	MOUSE43700, MOUSE19007
OG0000074	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154	MOUSE43699, MOUSE19006
OG0000075	LYTVA_00904	MOUSE05779, MOUSE03707
OG0000075	LYTVA_07044	MOUSE22546
OG0000075	LYTVA_01857	MOUSE14633
OG0000075	LYTVA_12523	MOUSE14370, MOUSE14371, MOUSE14372, MOUSE40742
OG0000077	LYTVA_24286	MOUSE27949, MOUSE03243, MOUSE03242, MOUSE12725, MOUSE12726, MOUSE12727
OG0000077	LYTVA_08553	MOUSE27778, MOUSE27779, MOUSE21334, MOUSE35957
OG0000078	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648	MOUSE48544, MOUSE27283, MOUSE27282, MOUSE01884
OG0000079	LYTVA_19637, LYTVA_24538, LYTVA_21250	MOUSE14895, MOUSE14896, MOUSE10310, MOUSE49621, MOUSE16489, MOUSE26500, MOUSE26499, MOUSE26501, MOUSE39785, MOUSE39788, MOUSE39787, MOUSE39786, MOUSE09603
OG0000079	LYTVA_05934	MOUSE05041, MOUSE05040, MOUSE05039, MOUSE37481, MOUSE37482, MOUSE37480, MOUSE37479
OG0000079	LYTVA_06214, LYTVA_17750	MOUSE01454, MOUSE01456, MOUSE01455, MOUSE01453, MOUSE36929
OG0000081	LYTVA_25424	MOUSE21429, MOUSE21428, MOUSE21430
OG0000082	LYTVA_25888	MOUSE25920
OG0000082	LYTVA_18803	MOUSE19184
OG0000083	LYTVA_26815	MOUSE38865, MOUSE38864, MOUSE38866, MOUSE30042
OG0000084	LYTVA_14799	MOUSE21451, MOUSE30075, MOUSE30074
OG0000085	LYTVA_19136	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267
OG0000085	LYTVA_13307	MOUSE04941, MOUSE37558, MOUSE37557
OG0000085	LYTVA_05365	MOUSE50493, MOUSE50494, MOUSE50492
OG0000085	LYTVA_17776	MOUSE15351, MOUSE19993
OG0000085	LYTVA_06708	MOUSE16592, MOUSE16590
OG0000087	LYTVA_15159	MOUSE04044, MOUSE04045
OG0000087	LYTVA_06727	MOUSE24629, MOUSE24631
OG0000087	LYTVA_24079	MOUSE40318, MOUSE40317
OG0000087	LYTVA_22406	MOUSE11362
OG0000087	LYTVA_22963	MOUSE22119, MOUSE22054, MOUSE22052
OG0000087	LYTVA_04512	MOUSE11213
OG0000087	LYTVA_18728	MOUSE46080, MOUSE46081
OG0000087	LYTVA_07967	MOUSE46082
OG0000088	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455	MOUSE00763, MOUSE00764, MOUSE27097, MOUSE52249, MOUSE53735, MOUSE49610, MOUSE49528, MOUSE49529, MOUSE49530
OG0000089	LYTVA_19844	MOUSE16032
OG0000089	LYTVA_06777, LYTVA_25975	MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169
OG0000089	LYTVA_02304, LYTVA_26795, LYTVA_03634, LYTVA_28359, LYTVA_27830, LYTVA_15322, LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948	MOUSE55271
OG0000090	LYTVA_21266	MOUSE17968
OG0000090	LYTVA_02577	MOUSE17971, MOUSE17970, MOUSE17967
OG0000090	LYTVA_18395, LYTVA_13128	MOUSE32571, MOUSE32572
OG0000091	LYTVA_04137	MOUSE19668, MOUSE19669
OG0000093	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104	MOUSE16619, MOUSE35368, MOUSE35369, MOUSE52764, MOUSE52765
OG0000094	LYTVA_10290	MOUSE41184, MOUSE41176, MOUSE41185, MOUSE41182, MOUSE41183, MOUSE41181, MOUSE41180, MOUSE41175, MOUSE41178, MOUSE41172, MOUSE41173, MOUSE41174, MOUSE41170, MOUSE41171, MOUSE41187, MOUSE41186, MOUSE41188, MOUSE41189, MOUSE41169, MOUSE41179, MOUSE41177, MOUSE11260, MOUSE11259, MOUSE11263, MOUSE11258, MOUSE11262, MOUSE53507, MOUSE53505, MOUSE11261, MOUSE53506, MOUSE53508
OG0000094	LYTVA_09221	MOUSE23861, MOUSE23862, MOUSE23863, MOUSE25211, MOUSE25208, MOUSE25207, MOUSE25206, MOUSE25210, MOUSE48851, MOUSE48849, MOUSE48850
OG0000095	LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054	MOUSE21579
OG0000096	LYTVA_28490	MOUSE54033, MOUSE13094, MOUSE29900
OG0000096	LYTVA_12286	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	LYTVA_21388	MOUSE35516
OG0000096	LYTVA_10606	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	LYTVA_19397	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	LYTVA_24298	MOUSE45925, MOUSE45926, MOUSE44088
OG0000096	LYTVA_20858	MOUSE52337, MOUSE52338
OG0000098	LYTVA_15643	MOUSE44178, MOUSE44180, MOUSE47248, MOUSE47247, MOUSE01240
OG0000098	LYTVA_24589, LYTVA_16909	MOUSE20701, MOUSE27744, MOUSE27743, MOUSE20730, MOUSE44534, MOUSE44540, MOUSE44541, MOUSE44537, MOUSE44546, MOUSE44536, MOUSE44538, MOUSE44535, MOUSE44533, MOUSE20728, MOUSE20727, MOUSE20726, MOUSE20725, MOUSE20729
OG0000099	LYTVA_09301, LYTVA_14363, LYTVA_14362	MOUSE43058, MOUSE50899, MOUSE00625, MOUSE00626, MOUSE00624, MOUSE00623, MOUSE33922, MOUSE16210, MOUSE16209, MOUSE16208, MOUSE16204, MOUSE16205, MOUSE16206, MOUSE16207
OG0000101	LYTVA_13163	MOUSE49370, MOUSE49670
OG0000101	LYTVA_03798, LYTVA_11413	MOUSE02576, MOUSE49671
OG0000101	LYTVA_03793	MOUSE15611, MOUSE15612
