Orthogroup	LYTVA_ok	HUMAN
OG0000002	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176	HUMAN04207, HUMAN20269
OG0000004	LYTVA_04445	HUMAN17550
OG0000004	LYTVA_03323	HUMAN27464
OG0000004	LYTVA_07389, LYTVA_03537	HUMAN05920
OG0000004	LYTVA_11730	HUMAN05919, HUMAN05921, HUMAN01911
OG0000004	LYTVA_03880, LYTVA_11529, LYTVA_13371, LYTVA_08957, LYTVA_21459, LYTVA_00032	HUMAN03733
OG0000005	LYTVA_12392	HUMAN01465
OG0000006	LYTVA_15901	HUMAN00944
OG0000006	LYTVA_21289	HUMAN22351, HUMAN05133
OG0000006	LYTVA_12321	HUMAN21718, HUMAN29537
OG0000006	LYTVA_25253	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	LYTVA_07373	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	LYTVA_23957	HUMAN25905
OG0000006	LYTVA_29757	HUMAN23524
OG0000006	LYTVA_18169	HUMAN03111
OG0000006	LYTVA_29412, LYTVA_25462	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	LYTVA_16832	HUMAN08856, HUMAN19716
OG0000006	LYTVA_16844	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	LYTVA_08878	HUMAN24331
OG0000007	LYTVA_29912	HUMAN24418, HUMAN11538
OG0000007	LYTVA_22273	HUMAN09570, HUMAN28803
OG0000007	LYTVA_23216	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	LYTVA_27359	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	LYTVA_29395	HUMAN21567
OG0000007	LYTVA_10898	HUMAN11539
OG0000007	LYTVA_17245	HUMAN24416
OG0000007	LYTVA_04121	HUMAN24417, HUMAN11533
OG0000007	LYTVA_03206	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	LYTVA_12379, LYTVA_12378	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	LYTVA_12480	HUMAN25936, HUMAN13634
OG0000007	LYTVA_06652	HUMAN13395
OG0000007	LYTVA_19839	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	LYTVA_05177	HUMAN08248
OG0000010	LYTVA_09270	HUMAN16120
OG0000012	LYTVA_11199, LYTVA_24773, LYTVA_27764	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	LYTVA_12515, LYTVA_06149	HUMAN11190
OG0000012	LYTVA_24416	HUMAN11191
OG0000014	LYTVA_13955	HUMAN25476, HUMAN30053
OG0000014	LYTVA_23372	HUMAN13227
OG0000015	LYTVA_26004	HUMAN24211, HUMAN00090, HUMAN24177, HUMAN22373, HUMAN09170
OG0000015	LYTVA_26002	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	LYTVA_09631, LYTVA_17348, LYTVA_06152	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000015	LYTVA_06792	HUMAN30169, HUMAN09177
OG0000016	LYTVA_02179, LYTVA_09460, LYTVA_20745	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	LYTVA_21831, LYTVA_18288	HUMAN10581, HUMAN10583, HUMAN12987
OG0000016	LYTVA_27143	HUMAN07767
OG0000016	LYTVA_03299, LYTVA_00787	HUMAN25103
OG0000016	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	HUMAN06120, HUMAN04223
OG0000019	LYTVA_17120	HUMAN06384
OG0000019	LYTVA_01420	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000020	LYTVA_00541	HUMAN20815
OG0000020	LYTVA_19355	HUMAN12659
OG0000020	LYTVA_21318	HUMAN26061
OG0000020	LYTVA_09793	HUMAN08344
OG0000020	LYTVA_04298	HUMAN00926
OG0000020	LYTVA_23496	HUMAN02350, HUMAN02349
OG0000020	LYTVA_05479	HUMAN17840
OG0000020	LYTVA_08129	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	LYTVA_23009	HUMAN02145
OG0000020	LYTVA_12234	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	LYTVA_17081	HUMAN00010
OG0000020	LYTVA_06231	HUMAN23847
OG0000020	LYTVA_09530	HUMAN22639
OG0000020	LYTVA_00542	HUMAN20816
OG0000021	LYTVA_04917	HUMAN20500
OG0000021	LYTVA_13831	HUMAN30680, HUMAN30504
OG0000021	LYTVA_10118	HUMAN11054, HUMAN23166
OG0000021	LYTVA_09991	HUMAN12331
OG0000021	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778	HUMAN04273, HUMAN30251
OG0000021	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	LYTVA_11225	HUMAN03767
OG0000023	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000023	LYTVA_24785	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	LYTVA_02302	HUMAN00402
OG0000026	LYTVA_08564	HUMAN16545
OG0000026	LYTVA_25523, LYTVA_12516, LYTVA_25399, LYTVA_26794, LYTVA_19796	HUMAN26724, HUMAN26725
OG0000028	LYTVA_12763	HUMAN09193, HUMAN09206
OG0000029	LYTVA_19314	HUMAN15611
OG0000029	LYTVA_19555, LYTVA_01403, LYTVA_23870	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000029	LYTVA_02569, LYTVA_10073	HUMAN24898, HUMAN21852
OG0000030	LYTVA_13667	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	LYTVA_26760	HUMAN01740, HUMAN28679
OG0000031	LYTVA_04157, LYTVA_03000	HUMAN17850
OG0000031	LYTVA_07242	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	LYTVA_07394	HUMAN26043
OG0000031	LYTVA_13645	HUMAN26979, HUMAN14235
OG0000031	LYTVA_05124	HUMAN07725
OG0000031	LYTVA_29658	HUMAN14922, HUMAN14786
OG0000031	LYTVA_09735	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746	HUMAN19258
OG0000034	LYTVA_20191	HUMAN11672, HUMAN11673
OG0000034	LYTVA_09293	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	LYTVA_04080	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	LYTVA_29167, LYTVA_10612	HUMAN01831, HUMAN13891
OG0000034	LYTVA_11788	HUMAN04678
OG0000034	LYTVA_12673	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	LYTVA_06697	HUMAN04988
OG0000035	LYTVA_27828	HUMAN06191, HUMAN03898
OG0000035	LYTVA_22468	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	LYTVA_12116	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	LYTVA_04128	HUMAN04383
OG0000036	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434	HUMAN11289
OG0000036	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896	HUMAN27983, HUMAN15223
OG0000037	LYTVA_02747	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	LYTVA_25050, LYTVA_25057, LYTVA_25048	HUMAN03689
OG0000038	LYTVA_09822	HUMAN02828
OG0000038	LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	LYTVA_00437	HUMAN18259, HUMAN18258
OG0000038	LYTVA_05063	HUMAN19701
OG0000038	LYTVA_09823	HUMAN18257
OG0000039	LYTVA_16233	HUMAN29023
OG0000040	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	LYTVA_25852	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000041	LYTVA_03177	HUMAN19139, HUMAN27913
OG0000044	LYTVA_11853	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	LYTVA_10017	HUMAN22417, HUMAN24391, HUMAN07519
OG0000044	LYTVA_14074	HUMAN07517
OG0000046	LYTVA_22286	HUMAN23116
OG0000047	LYTVA_09701	HUMAN22761
OG0000048	LYTVA_06179	HUMAN29550
OG0000048	LYTVA_27999	HUMAN16328
OG0000048	LYTVA_08149	HUMAN16644
OG0000048	LYTVA_11620	HUMAN11449
OG0000049	LYTVA_16567	HUMAN25699, HUMAN05316
OG0000049	LYTVA_21152	HUMAN20965, HUMAN26499
OG0000049	LYTVA_02138	HUMAN26500
OG0000051	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	LYTVA_11502, LYTVA_10035, LYTVA_09103	HUMAN23119
OG0000056	LYTVA_03272	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	LYTVA_17286	HUMAN07396, HUMAN07395
OG0000056	LYTVA_00266, LYTVA_13357	HUMAN14865
OG0000057	LYTVA_05797, LYTVA_22815	HUMAN23569, HUMAN10014
OG0000058	LYTVA_14430	HUMAN23378
OG0000058	LYTVA_16698	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000059	LYTVA_18957	HUMAN21611
OG0000059	LYTVA_06967, LYTVA_19211, LYTVA_17534	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	LYTVA_30158, LYTVA_18098	HUMAN25284
OG0000060	LYTVA_10196	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	LYTVA_16102	HUMAN17964, HUMAN26554
OG0000061	LYTVA_20900	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	LYTVA_09585, LYTVA_28339	HUMAN26139
OG0000061	LYTVA_02993, LYTVA_26455, LYTVA_26459	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	LYTVA_18550	HUMAN25285
OG0000063	LYTVA_03474	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	LYTVA_28622	HUMAN21099
OG0000063	LYTVA_16178	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	LYTVA_14724	HUMAN29798
OG0000067	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045	HUMAN24070, HUMAN22809
OG0000068	LYTVA_07218, LYTVA_11696, LYTVA_13367, LYTVA_16452, LYTVA_16451, LYTVA_16446, LYTVA_11505, LYTVA_21833, LYTVA_15019, LYTVA_02519, LYTVA_23071, LYTVA_16450	HUMAN20381
OG0000069	LYTVA_19096	HUMAN13361, HUMAN02574
OG0000069	LYTVA_07535, LYTVA_16092, LYTVA_19233, LYTVA_24451, LYTVA_10412, LYTVA_00397, LYTVA_12821	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000070	LYTVA_12849	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317	HUMAN14161
OG0000072	LYTVA_26888	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	LYTVA_23422	HUMAN22852
OG0000072	LYTVA_09419	HUMAN03255, HUMAN03252
OG0000073	LYTVA_03728	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836
OG0000074	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	LYTVA_24139	HUMAN09283
OG0000074	LYTVA_23288, LYTVA_24012, LYTVA_15630, LYTVA_11187, LYTVA_06007, LYTVA_06008, LYTVA_06009, LYTVA_06154	HUMAN15238, HUMAN13822
OG0000075	LYTVA_00904	HUMAN12839, HUMAN02593
OG0000075	LYTVA_07044	HUMAN18233
OG0000075	LYTVA_01857	HUMAN06329
OG0000075	LYTVA_12523	HUMAN20335, HUMAN20336, HUMAN20532
OG0000077	LYTVA_24286	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	LYTVA_08553	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000078	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	LYTVA_19637, LYTVA_24538, LYTVA_21250	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	LYTVA_05934	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	LYTVA_06214, LYTVA_17750	HUMAN14208, HUMAN14194, HUMAN14192
OG0000081	LYTVA_25424	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000082	LYTVA_25888	HUMAN29167
OG0000082	LYTVA_18803	HUMAN23869
OG0000083	LYTVA_26815	HUMAN07535, HUMAN22993
OG0000084	LYTVA_14799	HUMAN03696, HUMAN22975
OG0000085	LYTVA_19136	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	LYTVA_13307	HUMAN13119, HUMAN07215
OG0000085	LYTVA_05365	HUMAN26172
OG0000085	LYTVA_17776	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	LYTVA_06708	HUMAN25832
OG0000087	LYTVA_15159	HUMAN11956
OG0000087	LYTVA_06727	HUMAN02557
OG0000087	LYTVA_24079	HUMAN17213
OG0000087	LYTVA_22406	HUMAN21001
OG0000087	LYTVA_22963	HUMAN18010
OG0000087	LYTVA_04512	HUMAN21063
OG0000087	LYTVA_18728	HUMAN10659
OG0000088	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455	HUMAN03260, HUMAN04395, HUMAN21618, HUMAN29776, HUMAN11422, HUMAN11423, HUMAN11367
OG0000089	LYTVA_19844	HUMAN21235
OG0000089	LYTVA_06777, LYTVA_25975	HUMAN29653, HUMAN25674
OG0000089	LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948	HUMAN25675
OG0000090	LYTVA_02577	HUMAN24709
OG0000090	LYTVA_18395, LYTVA_13128	HUMAN28948
OG0000093	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104	HUMAN25814, HUMAN25815, HUMAN26490, HUMAN26491, HUMAN20914
OG0000094	LYTVA_10290	HUMAN05793, HUMAN05794, HUMAN21039, HUMAN14813, HUMAN21040, HUMAN29866
OG0000094	LYTVA_09221	HUMAN02204, HUMAN29518, HUMAN14811
OG0000096	LYTVA_28490	HUMAN30343, HUMAN07778, HUMAN21683
OG0000096	LYTVA_12286	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	LYTVA_21388	HUMAN27289
OG0000096	LYTVA_10606	HUMAN13889, HUMAN01832
OG0000096	LYTVA_19397	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	LYTVA_24298	HUMAN04200, HUMAN04201, HUMAN16028
OG0000096	LYTVA_20858	HUMAN21561
OG0000098	LYTVA_15643	HUMAN15990, HUMAN03957, HUMAN18424, HUMAN19602
OG0000098	LYTVA_24589, LYTVA_16909	HUMAN28791, HUMAN09489, HUMAN28772, HUMAN28773, HUMAN09201, HUMAN28771
OG0000099	LYTVA_22524, LYTVA_05673, LYTVA_26003	HUMAN05424
OG0000099	LYTVA_09301, LYTVA_14363, LYTVA_14362	HUMAN15639, HUMAN15638, HUMAN05635, HUMAN25408, HUMAN00740, HUMAN19390
OG0000101	LYTVA_13163	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478
OG0000101	LYTVA_03793	HUMAN22036, HUMAN22037
OG0000101	LYTVA_25292, LYTVA_25291	HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000102	LYTVA_23145	HUMAN08946, HUMAN02473
OG0000103	LYTVA_05784	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888
OG0000103	LYTVA_08412	HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000104	LYTVA_24486	HUMAN05724, HUMAN19523
OG0000104	LYTVA_21210	HUMAN26011, HUMAN26009, HUMAN26010, HUMAN21916, HUMAN21915, HUMAN12742
OG0000104	LYTVA_17806	HUMAN05721, HUMAN19524, HUMAN05723, HUMAN05722
OG0000104	LYTVA_12502	HUMAN19373
OG0000104	LYTVA_12996	HUMAN02405, HUMAN02404, HUMAN06960, HUMAN29799
OG0000106	LYTVA_01037	HUMAN27844
OG0000106	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256	HUMAN01589, HUMAN09602
OG0000107	LYTVA_12329	HUMAN24628
OG0000107	LYTVA_02473, LYTVA_17709, LYTVA_19232, LYTVA_06216, LYTVA_16091, LYTVA_24448	HUMAN24661
OG0000113	LYTVA_11625	HUMAN00919
OG0000113	LYTVA_06725	HUMAN26991
OG0000114	LYTVA_18980, LYTVA_05208, LYTVA_13458	HUMAN22220, HUMAN22219, HUMAN00197, HUMAN00198, HUMAN00199
OG0000115	LYTVA_15799, LYTVA_02089	HUMAN11469, HUMAN11468
OG0000116	LYTVA_00275, LYTVA_00276, LYTVA_12381	HUMAN18678
OG0000119	LYTVA_11474	HUMAN17875, HUMAN06568, HUMAN12949
OG0000119	LYTVA_08592, LYTVA_07119, LYTVA_19356	HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779
OG0000119	LYTVA_04285, LYTVA_11467	HUMAN17940, HUMAN20669
OG0000121	LYTVA_23606, LYTVA_10086	HUMAN23092, HUMAN03659
OG0000121	LYTVA_03587	HUMAN18067
OG0000122	LYTVA_10750	HUMAN12772, HUMAN27264, HUMAN18288
OG0000122	LYTVA_18458	HUMAN17166, HUMAN22503, HUMAN22502, HUMAN23904, HUMAN17167, HUMAN20607, HUMAN17789, HUMAN06426, HUMAN06427
OG0000123	LYTVA_03404	HUMAN22221, HUMAN24254
OG0000123	LYTVA_12956	HUMAN03664, HUMAN27696, HUMAN24043
OG0000123	LYTVA_28852, LYTVA_16769	HUMAN24256
OG0000124	LYTVA_14993	HUMAN03991
OG0000124	LYTVA_27850	HUMAN00442, HUMAN00443
OG0000124	LYTVA_05622	HUMAN08498, HUMAN16926
OG0000124	LYTVA_20699	HUMAN09305, HUMAN02618
OG0000125	LYTVA_16406	HUMAN20601, HUMAN20600, HUMAN12568, HUMAN12567, HUMAN12566, HUMAN06479, HUMAN06480
OG0000125	LYTVA_25487	HUMAN20598, HUMAN20599, HUMAN12556
OG0000125	LYTVA_01832	HUMAN04438, HUMAN04439, HUMAN16073
OG0000126	LYTVA_19767	HUMAN07866, HUMAN30407, HUMAN21845
OG0000126	LYTVA_03902	HUMAN07493, HUMAN22359
OG0000126	LYTVA_29180	HUMAN14005, HUMAN14232, HUMAN14231, HUMAN01769, HUMAN01768, HUMAN09480
OG0000127	LYTVA_27169	HUMAN07859, HUMAN30409, HUMAN21844
OG0000127	LYTVA_12856	HUMAN21549, HUMAN07766
OG0000127	LYTVA_21563	HUMAN24572, HUMAN16589, HUMAN18562
OG0000127	LYTVA_12830	HUMAN27422, HUMAN19318
OG0000127	LYTVA_20093	HUMAN10225, HUMAN20144, HUMAN20145, HUMAN13245
OG0000128	LYTVA_01369, LYTVA_05348, LYTVA_25678	HUMAN04854, HUMAN04855
OG0000128	LYTVA_25569, LYTVA_25568	HUMAN04482, HUMAN05330, HUMAN05329
OG0000128	LYTVA_25168	HUMAN21997
OG0000129	LYTVA_24420, LYTVA_06816	HUMAN02545, HUMAN04877, HUMAN25129, HUMAN02543, HUMAN15464, HUMAN02634, HUMAN09344
OG0000129	LYTVA_27162	HUMAN05233, HUMAN30228
OG0000130	LYTVA_19257	HUMAN22786
OG0000130	LYTVA_15064	HUMAN25167
OG0000130	LYTVA_05651	HUMAN26940, HUMAN21484
OG0000130	LYTVA_15765, LYTVA_27521	HUMAN03377
OG0000131	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090	HUMAN19899
OG0000132	LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402	HUMAN24615, HUMAN24626, HUMAN24666, HUMAN24609, HUMAN24612, HUMAN24601
OG0000137	LYTVA_14649	HUMAN28180, HUMAN25590, HUMAN25594
OG0000137	LYTVA_14169, LYTVA_05475	HUMAN13481
OG0000137	LYTVA_25469, LYTVA_15627	HUMAN25150, HUMAN25149
OG0000140	LYTVA_30020	HUMAN27223
OG0000140	LYTVA_19546	HUMAN05841
OG0000140	LYTVA_07124, LYTVA_07121	HUMAN03909
OG0000141	LYTVA_04353, LYTVA_16633, LYTVA_23463, LYTVA_05955, LYTVA_05956, LYTVA_05957, LYTVA_05958, LYTVA_17141, LYTVA_11297, LYTVA_29166, LYTVA_09438, LYTVA_09439, LYTVA_25402	HUMAN27964, HUMAN30567
OG0000142	LYTVA_01494	HUMAN29488, HUMAN14465, HUMAN24745
OG0000147	LYTVA_06334	HUMAN18499, HUMAN00218
OG0000147	LYTVA_24464	HUMAN24559, HUMAN27635
OG0000147	LYTVA_06610, LYTVA_07302	HUMAN02299
OG0000147	LYTVA_18928	HUMAN18714, HUMAN18712
OG0000148	LYTVA_19008	HUMAN30520, HUMAN20407, HUMAN26826, HUMAN02390, HUMAN02389
OG0000149	LYTVA_27288	HUMAN23614, HUMAN23616, HUMAN23619
OG0000149	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082	HUMAN10034, HUMAN23690
OG0000149	LYTVA_24788	HUMAN22790
OG0000151	LYTVA_06631	HUMAN14595, HUMAN29381, HUMAN29382, HUMAN24889, HUMAN01320
OG0000151	LYTVA_13428, LYTVA_13427	HUMAN29073, HUMAN01218, HUMAN01219
OG0000155	LYTVA_12158	HUMAN28367, HUMAN28368, HUMAN25231, HUMAN00772, HUMAN25229, HUMAN28369
OG0000155	LYTVA_22929	HUMAN25228, HUMAN25227, HUMAN25225, HUMAN00773, HUMAN00771
OG0000158	LYTVA_03807	HUMAN19321, HUMAN25759, HUMAN27804
OG0000159	LYTVA_25766	HUMAN25418
OG0000159	LYTVA_12728	HUMAN29307
OG0000159	LYTVA_16500, LYTVA_10738, LYTVA_17708, LYTVA_06313, LYTVA_13868, LYTVA_10736	HUMAN04389, HUMAN23217, HUMAN11668
OG0000160	LYTVA_11099	HUMAN19901, HUMAN19900, HUMAN19910, HUMAN19911, HUMAN18777, HUMAN19703, HUMAN19833, HUMAN19781
OG0000163	LYTVA_26726	HUMAN20181, HUMAN13484
OG0000163	LYTVA_16156	HUMAN12888, HUMAN06524, HUMAN26092
