blastula	gastrula	elongation	early_larva	mitraria_larva	competent_larva	juvenile
OFUSG00068.1	1298.075	1661.845	1576.705	1071.465	539.6235	246.7295	157.82
OFUSG00069.1	22.98815	16.8538	15.4953	16.287	18.971	11.3962	11.6653
OFUSG00069.2	0.092643	0.2127875	0.6892395	0.4835855	0.139624	0.36120955	0.76813
OFUSG00070.1	0.331003	11.7707	5.46539	4.075415	2.55366	3.53858	6.0503
OFUSG00071.1	1.242615	3.244165	8.069025	11.32965	6.31924	5.0922	6.74587
OFUSG00072.1	0.1011124	3.619135	52.1139	160.7195	222.306	59.6874	5.84001
OFUSG00073.1	0	0.3569585	0.1373815	0.126052	0.248697	0.2689125	0.270428
OFUSG00074.1	0.0447107	0.07071615	0.0400873	0.004736825	0.06023455	0.259024	0.207127
OFUSG00075.1	0.5172755	0.2717015	0.2264565	0.19028005	0.17323625	0.11759335	0.0840763
OFUSG00076.1	3.252285	5.949605	5.624145	4.596375	3.0342	2.545455	2.18289
OFUSG00077.1	22.5417	18.4751	17.21175	15.87995	13.35875	9.652	9.26098
OFUSG00078.1	0.266836	0.8137685	0.91775	1.214223	2.503235	15.09875	3.77814
OFUSG00079.1	153.856	228.5375	307.412	449.4195	552.949	387.3545	122.851
OFUSG00080.1	0.06622595	0.06688715	0.229284	0.2473175	0.1265599	0.2378445	0.807005
OFUSG00081.1	1.246808	2.78628	3.33075	3.58011	8.09814	9.68645	9.94897
OFUSG00081.2	1.5170695	3.78997	9.15145	15.2262	21.8211	50.17925	2.48895
OFUSG00082.1	0.8531035	1.39995	1.34966	1.833105	1.70673	2.05479	0.467998
OFUSG00083.1	0.12814815	0.158875	4.725485	8.519485	7.81959	13.411	2.12409
OFUSG00084.1	124.958	125.0925	77.68005	52.986	37.22255	52.3387	52.3331
OFUSG00085.1	25.49055	17.66365	15.1984	9.352785	11.04255	10.30691	10.0675
OFUSG00086.1	0.137072	0.3774835	3.6354	8.69786	11.66935	25.89585	62.7293
OFUSG00087.1	0.0780985	43.55035	98.3417	72.01955	107.32905	60.999	4.46821
OFUSG00088.1	0.4718885	2.951765	16.12575	34.9373	25.76065	21.0658	35.2726
OFUSG00089.1	1.702285	1.49165	0.817844	0.1386585	0.1641605	2.2004	8.50859
OFUSG00090.1	0.595629	7.765455	6.0041	1.1004405	0.601989	34.63515	69.6915
OFUSG00090.2	2.40168	29.31155	22.7839	4.400845	2.99295	15.5096	21.1341
OFUSG00091.1	0.3050992	0.4113715	0.214887	0.057473	0.0648015	1.707055	6.64001
OFUSG00092.1	2.006955	5.28339	7.906845	10.226745	8.421105	7.884165	7.66685
OFUSG00092.2	2.424695	26.9068	50.42885	32.16705	17.08935	8.76177	10.8038
OFUSG00093.1	0.4676566	0.460096	0.453335	0.484867	0.179519	0.6313225	1.34523
OFUSG00094.1	0.3306495	0.9177665	1.384217	0.734278	0.895135	1.184703	1.19281
OFUSG00095.1	4.190195	4.76939	3.071565	0.585253	0.6618575	0.461371	0.960072
OFUSG00096.1	5.26988	1.53965	3.32265	2.931025	4.264815	2.36665	0.100391
OFUSG00096.2	0	0.21265	0	0.070079	0	0.346167	0.633224
OFUSG00096.3	3.164425	2.393165	2.378835	2.52639	3.112085	2.05904	0.746768
OFUSG00097.1	0.597713	0.13320455	0.2264435	0.0378461	0.02367165	7.761485	15.932
OFUSG00098.1	0.1381175	0.095826	0.2817574	0.09899925	0.068824	0.339029	0.105741
OFUSG00099.1	0	0.3247245	0	0	0.231734	0.447623	1.31778
OFUSG00100.1	0.03208775	0.09269605	0.14845	0.17534185	0.163987	0.166599	0.351117
OFUSG00101.1	1.40402	0.89	1.0279235	0.6783645	0.474215	1.908275	2.77023
OFUSG00102.1	3.048109	1.86375	1.600976	1.70442	0.785041	1.366615	7.51039
OFUSG00103.1	0.637559	1.17623	1.41249	0.787278	0.515045	0.277906	3.16527
OFUSG00104.1	61.10785	89.83495	51.57305	21.3337	12.12965	23.2975	10.2336
OFUSG00105.1	2.938	5.18696	4.9263	1.930555	0.886942	1.67371	1.49753
OFUSG00106.1	0.7930935	0.627397	0.3900145	0.2412075	0.627892	0.560647	1.79614
OFUSG00107.1	742.2745	394.919	360.013	484.8095	647.4275	376.8545	621.402
OFUSG00108.1	78.36535	18.94875	15.00155	16.00188	30.6256	22.85985	33.9731
OFUSG00109.1	0.9054565	2.44324	3.56795	1.76888	1.584743	1.448076	1.103
OFUSG00110.1	109.0245	36.97015	28.03115	21.57305	24.71565	12.13425	13.706
OFUSG00111.1	4.176905	16.71635	5.329915	0.3214235	0.12991	0.557902	0.21007
OFUSG00112.1	0.10959085	4.49185	17.6076	19.3282	7.444635	1.863793	6.47344
OFUSG00113.1	0.097339	1.169982	2.84189	7.3299	3.383375	1.426044	2.8414
OFUSG00113.2	0	0.087587	0.339796	1.4306065	0.666679	0.2815055	0.469355
OFUSG00114.1	0.3644495	1.2830145	1.233425	0.9485945	3.7616285	13.3865	187.351
OFUSG00115.1	0.5310983	5.87052	7.931855	9.19393	9.56338	22.0675	24.3291
OFUSG00116.1	78.2567	75.1761	50.60075	32.3942	15.8476	17.9233	18.0907
OFUSG00117.1	0.3310385	8.090715	21.07855	22.7314	14.6674	10.111425	3.7515
OFUSG00118.1	2.15307	2.123625	1.749355	1.65053	1.541959	3.32865	4.07096
OFUSG00119.1	68.97675	107.5929	138.5025	198.012	164.393	89.71095	164.409
OFUSG00120.1	1.311209	1.1161575	0.7842045	1.220619	1.379195	1.870485	1.47277
OFUSG00121.1	0.20024275	0.8100845	0.5567495	0.707045	0.6058415	0.137616	0.888949
OFUSG00120.2	0.778932	0.365919	0.67377	0.6632745	0.980991	1.39295	0.795048
OFUSG00122.1	0	0.091581	0.079954	0.116916	0.6195995	0.0556305	0.088627
OFUSG00123.1	0.781184	1.620445	2.823815	1.6012105	1.131225	1.642495	1.56092
OFUSG00124.1	0.30214545	0.9052015	0.66706	0.6340655	0.736681	0.760447	0.744432
OFUSG00125.1	0	0	1.2756365	1.872645	0.995936	0.2337445	0.128415
OFUSG00122.2	0.04330025	0.210851	0.773526	1.67718	1.31918	0.993879	0.103466
OFUSG00126.1	0.04827215	0.04570785	1.64384	3.084125	1.883945	0.393894	0.162076
OFUSG00127.1	54.79105	104.3885	100.70095	86.02075	100.62895	94.7142	87.9159
OFUSG00127.2	0.000549527426455	0.097063	0.1931395	0.1872985	0	0.0679602	0
OFUSG00128.1	0	0.066606	0.1582255	0.791623	0.5103505	0.2802645	0.0918738
OFUSG00128.2	3.301885	19.59135	35.7912	43.01705	62.40635	65.5948	15.2473
OFUSG00129.1	80.3921	133.84	132.3355	72.23	31.3543	18.185935	14.3432
OFUSG00130.1	2.09751	3.31423	4.308375	12.96565	28.3886	73.23205	175.195
OFUSG00131.1	0.912074	10.092105	13.469635	4.5281	1.494478	1.045615	0.992174
OFUSG00132.1	17.5778	19.9133	18.2355	11.4633	7.036275	6.103085	4.19775
OFUSG00133.1	0.10168085	0.5475485	0.5200435	0.2906695	0.1068075	0.311079	0.250796
OFUSG00134.1	86.67755	220.09	171.689	97.4253	97.02335	152.845	101.26
OFUSG00135.1	33.2602	4.02862	3.44407	4.418635	6.510485	8.50565	4.67718
OFUSG00136.1	2.92744	4.41474	9.381575	13.27043	36.3851	43.4274	55.9795
OFUSG00136.2	0.00059453	0	0.314375	0	0.844581	5.18116	3.9241
OFUSG00137.1	11.66348	19.55255	36.3672	56.79105	116.295	113.8517	123.987
OFUSG00138.1	7.521255	27.5843	36.20955	43.5893	29.87795	30.6633	26.815
OFUSG00139.1	14.6938	3.725905	2.57989	3.999525	5.09211	5.871185	3.49445
OFUSG00140.1	5.478302	23.422495	12.546335	8.889905	3.14669	1.308355	1.25273
OFUSG00141.1	17.9934	11.0822	13.07055	17.4201	27.3216	13.3054	7.49661
OFUSG00142.1	23.32265	22.4612	16.1543	12.0258	5.90911	3.60185	3.31897
OFUSG00143.1	1.3387665	0.403565	0.352504	0.35738	0.14385495	0.39495	1.74889
OFUSG00144.1	0.6174675	3.760145	13.15105	14.41945	10.343285	1.027965	0.278905
OFUSG00145.1	19.1346	118.58485	198.329	135.644	85.7676	53.62425	34.0928
OFUSG00146.1	1.602085	2.180515	2.80845	2.219585	3.69847	7.640985	3.45926
OFUSG00147.1	0.6775065	0.528825	0.736869	0.6809265	0.036893	0.1391945	0.0957141
OFUSG00148.1	32.43605	144.086	273.654	192.1905	121.2055	66.49265	34.7161
OFUSG00149.1	3.15742	19.7698	43.9505	25.605	24.75845	16.81695	9.75158
OFUSG00150.1	5.72212	39.8251	66.1335	36.41475	24.84845	30.52495	21.0456
OFUSG00151.1	2.15626	8.784545	11.55325	7.05043	6.450515	7.264805	3.59226
OFUSG00152.1	0.04671915	0.2447675	0.789126	0.231098	0.2637945	1.2753935	3.52251
OFUSG00153.1	0.260239	0.2377375	0.1044496	0	0.0277574	0.4182355	4.39126
OFUSG00154.1	65.1158	22.9234	22.96395	18.1261	15.8404	16.6946	11.2294
OFUSG00155.1	1.130625	0.974495	1.0367545	0.578509	0.7636855	0.3831735	0.350104
OFUSG00156.1	0.2264935	1.1735485	0.60073205	0.29564	0.2896155	34.3642	35.7466
OFUSG00157.1	17.0832	10.175405	12.27625	21.1935	42.21735	34.9553	17.0214
OFUSG00158.1	5.84579	19.764	15.9519	9.73475	6.49066	8.570965	5.98262
OFUSG00158.2	8.61418	16.9208	33.9839	56.2919	59.72995	30.911	25.8709
OFUSG00159.1	61.17405	22.92575	8.079585	4.044185	3.148935	11.23891	12.0521
OFUSG00160.1	142.134	107.287	78.1444	52.24105	32.848	41.0544	40.4847
OFUSG00161.1	3.87438	4.039675	3.857635	4.17762	3.47586	4.26297	7.14791
OFUSG00162.1	0.1278969	0.2542775	0.2269685	0	0.14369605	0.026826755	0.193182
OFUSG00163.1	564.018	572.8965	235.356	58.6811	24.9261	41.2074	91.57
OFUSG00164.1	8.03204	28.5838	11.770955	1.3282925	7.02405	6.638245	9.14546
OFUSG00165.1	0.0743621	0.14376625	0.15656095	0.6804665	0.257987	1.0953	1.67663
OFUSG00166.1	56.72805	4.752605	1.7004785	0.567643	0.126908	0	0
OFUSG00166.2	16.7723	26.10155	27.64835	20.92995	21.8206	4.47622	1.05534
OFUSG00167.1	0.1087895	0.01572305	0.0593865	0.03184705	0.0111365	0.0572265	0.655589
OFUSG00168.1	0.3882265	0.9945625	0.7333855	0.533857	0.3947555	1.52097	0.323568
OFUSG00169.1	0.285139	2.339145	3.230805	2.45976	2.060115	3.195875	5.72211
OFUSG00170.1	1.330046	2.20393	0.8753945	0.307758	0.236006	8.84609	43.1437
OFUSG00171.1	25.0354	20.18945	4.545695	0.373041	0.0627	0.02722499	0.0980164
OFUSG00172.1	1.0247055	0.604284	0.3530835	0.1422	0.0728027	46.11025	49.672
OFUSG00173.1	40.251	77.33455	88.8399	73.4877	68.77355	31.2965	28.8898
OFUSG00174.1	14.32495	9.5831	11.75965	9.09793	7.68313	6.97697	3.77471
OFUSG00175.1	110.3803	47.3463	47.58845	35.71425	26.23805	11.85115	9.17315
OFUSG00176.1	1.459355	1.1086525	0.5282515	0.934732	0.2773035	0.1516408	0.199508
OFUSG00177.1	27.2768	23.8223	27.70805	35.5471	54.7946	68.75115	54.5055
OFUSG00178.1	1.262035	17.33305	61.72455	91.87525	98.78155	64.6354	28.5341
OFUSG00179.1	50.2013	31.04835	21.8373	10.772	7.422245	19.90354	62.4975
OFUSG00180.1	0.14547555	0.347467	0.134444	0.03676015	0.084324	0.2564316	0.303355
OFUSG00181.1	1.92808	2.902065	2.216995	5.144565	3.98461	9.600615	41.9497
OFUSG00182.1	26.68825	6.08079	6.7149	7.62216	9.03251	3.21646	1.75546
OFUSG00183.1	0.13168	0.08394905	0.09723985	0.11245975	0.0917711	0.06331195	0.0305912
OFUSG00184.1	1.133192	1.1503385	0.990775	0.6101611	0.3825485	1.110329	0.727913
OFUSG00185.1	0	0.584614	1.0416935	1.513865	1.912445	1.511025	0.889263
OFUSG00185.2	49.5926	25.72685	26.9184	14.48615	8.92843	9.096705	11.5688
OFUSG00186.1	15.71655	23.5295	23.82465	20.56925	17.4815	13.7049	12.871
OFUSG00187.1	0.4237895	7.81166	114.46745	84.15495	22.55025	17.6979	0.926965
OFUSG00188.1	57.5013	58.2374	45.857	28.318	20.00935	21.00825	22.9293
OFUSG00189.1	26.05425	18.384205	12.6193	7.9215	6.377985	9.68118	9.25117
OFUSG00190.1	100.3722	25.9583	19.36395	15.772625	25.60285	23.83725	15.3647
OFUSG00191.1	1.42902	1.10864	5.11636	10.18565	13.9495	13.05605	3.26794
OFUSG00192.1	8.032195	6.129685	6.402325	5.908555	8.26921	6.721575	5.66092
OFUSG00193.1	0.0844935	1.5048875	1.1809015	0.27201	0.493083	10.231195	52.5454
OFUSG00194.1	0.168749	0.3855995	1.876125	3.50177	6.32258	6.1737	6.61222
OFUSG00195.1	2.52546	0.486879	0.0781085	0	0	0.03167785	0.0508092
OFUSG00196.1	0.18680815	0.6999655	0.6516583	0.27332915	0.34135995	0.3020295	1.33724
OFUSG00197.1	91.65255	105.72025	95.8463	81.5909	70.71035	104.58065	68.2195
OFUSG00197.2	1039.012	1094.385	1200.94	1047.804	884.9885	1079.7735	696.284
OFUSG00198.1	29.6423	23.9737	19.3655	12.940525	11.26095	8.411	6.78174
OFUSG00199.1	12.5304	5.414445	5.109555	4.891885	5.13154	4.59352	3.72788
OFUSG00200.1	0.886223	3.137678	2.273337	1.129392	0.452267	0.657426	1.71872
OFUSG00201.1	20.082875	2.74183	0.7636375	0.5547235	0.08104945	0.411531	0.415424
OFUSG00202.1	0.74814	1.0565925	0.982332	0.51830695	0.2493795	0.1783198	0.107851
OFUSG00203.1	111.1615	40.9127	24.413	13.40245	8.395535	6.91101	5.0909
OFUSG00204.1	0.6448365	1.672395	1.197855	0.781577	0.7311825	2.48045	7.06367
OFUSG00205.1	0.9366185	1.149835	1.1127785	1.0234775	0.6680525	1.049145	1.43756
OFUSG00206.1	0.311683	0.5544935	0.4929385	0.335887	0.611682	47.761	157.062
OFUSG00207.1	2.51424	4.60065	5.655065	4.93641	7.0382	7.906225	7.80672
OFUSG00208.1	68.2319	88.736	82.26005	64.51525	50.39595	28.351	20.0454
OFUSG00209.1	0.28673625	3.998755	4.410853	7.652541	2.674049	1.596866	0.324414
OFUSG00210.1	32.6106	19.86875	9.55984	4.83164	4.121395	3.090965	2.50561
OFUSG00211.1	3.40888	3.195345	1.7146	2.26025	2.55818	1.179603	0.806623
OFUSG00212.1	100.52785	76.7137	76.36015	77.8395	80.1213	58.74185	50.8701
OFUSG00213.1	0.52007	2.394335	1.390465	1.298511	0.9383645	2.525445	6.20267
OFUSG00213.2	15.13555	16.20615	16.5419	12.9807	23.50075	45.07525	36.4216
OFUSG00214.1	6.25191	26.56525	21.98565	13.8047	10.704	22.2843	15.7201
OFUSG00215.1	82.8751	41.7482	26.8502	16.32795	15.9846	7.26076	4.79831
OFUSG00216.1	6.97089	5.74004	3.70753	1.91205	1.634915	1.53677	0.893976
OFUSG00217.1	2.32517	3.603015	4.70622	5.657825	10.086635	12.52158	2.54118
OFUSG00218.1	319.0325	445.7325	463.498	571.3755	642.839	347.6675	107.093
OFUSG00218.2	0.44129	1.20692	1.387347	3.10393	7.138815	2.996315	6.74188
OFUSG00219.1	47.4071	18.88975	12.60715	7.796975	4.036265	4.43525	2.3177
OFUSG00220.1	2.001635	1.60527	0.7942435	0.6243365	0.447128	0.59698	0.592354
OFUSG00221.1	34.9795	16.1265	7.493555	7.16158	7.129515	6.30842	4.43966
OFUSG00221.2	14.335695	3.48414	2.344175	0.476225	1.826595	1.5251	2.12509
OFUSG00222.1	53.9077	47.78835	27.0753	21.62885	22.7214	28.2819	22.8487
OFUSG00223.1	0.054624	7.527845	41.15225	119.4445	208.8495	28.82855	15.8082
OFUSG00224.1	12.53755	3.1752795	4.838485	8.377495	10.153385	4.677515	2.34177
OFUSG00225.1	2.888675	8.605545	12.8352	20.59345	22.7901	4.45728	2.64544
OFUSG00225.2	43.7621	18.97611	20.2536	23.56055	21.37155	7.786025	6.32259
OFUSG00226.1	37.92705	51.08245	54.3017	38.99645	21.9029	20.85935	21.6851
OFUSG00227.1	1.493705	2.367355	1.444695	0.3788605	0.274079	0.1750025	0.675265
OFUSG00228.1	0.2431315	0.3529465	0.340983	1.079079	2.92273	10.74499	19.1466
OFUSG00229.1	0.11156544861	5.24635e-06	0.647051	1.2584225	3.904465	3.92126	3.73001
OFUSG00229.2	0.0524715	0.282248	0	0.3147465	0.486933	4.84247	12.8872
OFUSG00230.1	0.0370358	0.5900115	0.595594	0.763142	0.5770685	2.969915	0.686729
OFUSG00231.1	15.058555	21.741445	16.35965	26.8284	76.37505	53.939	80.3048
OFUSG00232.1	35.9917	57.4228	53.4005	37.59675	18.75615	14.45565	13.0098
OFUSG00233.1	2.35943	4.761355	5.141315	8.41629	14.131	22.174	29.331
OFUSG00234.1	5.30299	9.07552	12.79946	20.8419	23.0812	42.8695	61.1478
OFUSG00234.2	0.5388445	0.5549415	3.571495	8.23799	20.109	4.11706	5.0526
OFUSG00235.1	0.13790915	0.2973975	0.4895325	0.24544	0	0.1765478	0.165415
OFUSG00236.1	1.343155	1.09758	4.215425	1.0585045	0.834713	0.702703	0.438584
OFUSG00236.2	37.0386	19.2027	18.8856	19.53445	13.0688	7.7328	4.65461
OFUSG00237.1	59.27185	24.9374	19.83915	14.9815	12.333995	7.51496	6.68125
OFUSG00238.1	2.833025	0.9416155	2.805104	1.890186	1.273513	27.75683	98.5394
OFUSG00239.1	0.02433145	0.0128581	0	0.069532	0.1495244	1.1552145	0.960455
OFUSG00240.1	17.33355	5.37946	3.100205	1.693625	1.98994	2.093755	1.46749
OFUSG00241.1	0.2920125	0.4046	0.433659	0.1652325	0.10956195	0.3973975	1.25752
OFUSG00242.1	86.4023	58.56295	58.55475	48.7151	40.87845	32.1662	31.6331
OFUSG00243.1	36.4397	17.38905	15.1475	11.967835	12.53315	14.09195	14.5266
OFUSG00244.1	0.1764075	0.0886489	0.0854577	0.02524505	0.0224624	0.02701195	0.159559
OFUSG00245.1	2119.68	2381.445	2033.345	2264.97	2142.985	3359.58	3113.18
OFUSG00246.1	0.4133405	1.3495	1.805826	1.602425	2.924885	6.52786	15.6376
OFUSG00247.1	0.086057	0.1706	0.7059425	0.11079255	1.003615	2.5556135	0.190918
OFUSG00248.1	1.2543185	2.45233	10.6777	12.56595	5.81876	4.49478	3.66708
OFUSG00249.1	0.02343305	2.66172	23.77925	12.184085	7.13754	2.382555	0.488605
OFUSG00250.1	25.46235	31.43395	35.0116	39.78745	36.16535	20.7872	18.2842
OFUSG00251.1	76.95355	29.7524	10.90457	7.31994	5.285995	6.21436	6.94685
OFUSG00251.2	0.524836	0.077542	0.098694	0.121798	0.1144575	0.1019475	0
OFUSG00252.1	50.13865	40.28375	31.2175	20.44615	18.76365	13.4778	10.267
OFUSG00253.1	0.8140125	0.6337155	0.867994	0.6984385	0.2226155	0.3548125	0.134734
OFUSG00254.1	1.60788	2.09712	12.133885	18.87405	19.13305	13.6477	5.71428
OFUSG00255.1	3.683075	3.068105	3.4678	3.3106	2.299465	1.68482	1.17183
OFUSG00256.1	5.58055	2.74098	2.87533	4.45225	8.91861	11.2679	11.3036
OFUSG00257.1	48.8357	28.1077	25.41415	20.1217	16.49735	11.76805	8.98771
OFUSG00258.1	12.08955	12.310715	13.31676	11.91459	11.02543	10.36491	12.2859
OFUSG00259.1	0.1298688	2.30327	24.67085	19.8695	17.9301	10.227565	1.8381
OFUSG00259.2	0.538992	8.49504	90.3367	89.0922	60.5833	36.45405	34.4715
OFUSG00260.1	83.6041	37.8808	39.45745	35.34365	24.1433	17.23985	19.6453
OFUSG00261.1	49.0744	18.3687	19.15055	11.70695	12.23565	9.492495	10.0488
OFUSG00262.1	93.41975	27.917	26.444	19.01475	19.53245	18.62745	25.5624
OFUSG00263.1	32.4737	10.15939	10.81394	14.0495	17.1811	20.86005	7.43734
OFUSG00264.1	2.127255	2.03609	1.61394	0.655736	0.5482485	1.366525	1.18467
OFUSG00265.1	0.3125535	0.603097	0.6362295	0.2017385	0.3020225	0.940018	0.838917
