Motif	Factor	Evidence	Curated
GM.5.0.Mixed.0002	TCONS_00026377	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00026365	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00019737	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00015367	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00014810	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00014809	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00010493	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00018852	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00017786	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00016792	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00025031	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00038043	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00029994	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00030792	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00011489	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00011052	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00011491	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00025030	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00023170	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031041	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031049	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031040	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031039	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031046	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00023551	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00023587	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00016646	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00021207	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027932	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00042787	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00012810	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00012809	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00013984	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00056934	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00021581	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00021507	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00027931	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00028953	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00003496	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031188	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031211	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031189	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00031212	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00045950	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00019371	Orthologs	N
GM.5.0.Mixed.0002	TCONS_00048904	Orthologs	N
GM.5.0.Nuclear_receptor.0002	TCONS_00049627	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00001344	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00001343	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00024122	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00028994	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00000580	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00011913	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00011867	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00000584	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00010522	Orthologs	N
GM.5.0.bHLH.0001	TCONS_00010521	Orthologs	N
GM.5.0.Myb_SANT.0001	TCONS_00016604	Orthologs	N
GM.5.0.Myb_SANT.0001	TCONS_00015355	Orthologs	N
GM.5.0.C2H2_ZF.0001	TCONS_00019205	Orthologs	N
GM.5.0.C2H2_ZF.0001	TCONS_00027129	Orthologs	N
GM.5.0.C2H2_ZF.0001	TCONS_00043432	Orthologs	N
GM.5.0.GATA.0001	TCONS_00020273	Orthologs	N
GM.5.0.GATA.0001	TCONS_00017935	Orthologs	N
GM.5.0.GATA.0001	TCONS_00049440	Orthologs	N
GM.5.0.GATA.0001	TCONS_00053631	Orthologs	N
GM.5.0.GATA.0001	TCONS_00034245	Orthologs	N
GM.5.0.GATA.0001	TCONS_00034241	Orthologs	N
GM.5.0.GATA.0001	TCONS_00034003	Orthologs	N
GM.5.0.GATA.0001	TCONS_00034036	Orthologs	N
GM.5.0.GATA.0001	TCONS_00030276	Orthologs	N
GM.5.0.GATA.0001	TCONS_00047519	Orthologs	N
GM.5.0.GATA.0001	TCONS_00030552	Orthologs	N
GM.5.0.GATA.0001	TCONS_00012881	Orthologs	N
GM.5.0.GATA.0001	TCONS_00031055	Orthologs	N
GM.5.0.GATA.0001	TCONS_00016565	Orthologs	N
GM.5.0.GATA.0001	TCONS_00038079	Orthologs	N
GM.5.0.GATA.0001	TCONS_00057137	Orthologs	N
GM.5.0.GATA.0001	TCONS_00055932	Orthologs	N
GM.5.0.GATA.0001	TCONS_00055933	Orthologs	N
GM.5.0.GATA.0001	TCONS_00055931	Orthologs	N
GM.5.0.GATA.0001	TCONS_00057143	Orthologs	N
GM.5.0.GATA.0001	TCONS_00044644	Orthologs	N
GM.5.0.GATA.0001	TCONS_00044645	Orthologs	N
GM.5.0.GATA.0001	TCONS_00043977	Orthologs	N
GM.5.0.GATA.0001	TCONS_00055840	Orthologs	N
GM.5.0.GATA.0001	TCONS_00055839	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00009035	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00009028	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00019983	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00053631	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00034245	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00034241	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00034003	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00034036	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00030276	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00047519	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00030552	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00012881	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00031055	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00016565	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00038079	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00057137	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00055932	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00055933	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00055931	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00057143	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00044644	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00044645	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00043977	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00055840	Orthologs	N
GM.5.0.C2H2_ZF.0002	TCONS_00055839	Orthologs	N
GM.5.0.bZIP.0001	TCONS_00047299	Orthologs	N
GM.5.0.bZIP.0001	TCONS_00044915	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026598	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027287	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027293	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027286	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027292	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027285	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027291	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026487	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026505	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00020801	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00043771	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032269	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032267	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032266	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032262	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032264	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032259	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032261	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00043772	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032260	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032270	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00032272	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00018945	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00018960	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031629	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00019139	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00020105	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00042478	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00020805	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027510	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026910	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027826	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026836	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026711	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026612	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026377	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00026365	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00019737	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00015367	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00014810	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00014809	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00010493	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00018852	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00017786	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00016792	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00025031	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00038043	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00029994	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00030792	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00011489	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00011052	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00011491	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00025030	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00023170	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031041	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031049	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031040	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031039	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031046	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00023551	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00023587	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00016646	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00021207	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027932	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00042787	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00012810	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00012809	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00013984	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00056934	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00021581	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00021507	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00027931	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00028953	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00003496	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031188	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031211	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031189	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00031212	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00045950	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00019371	Orthologs	N
GM.5.0.Homeodomain.0002	TCONS_00048904	Orthologs	N
GM.5.0.Ets.0001	TCONS_00042950	Orthologs	N
GM.5.0.Ets.0001	TCONS_00023435	Orthologs	N
GM.5.0.Ets.0001	TCONS_00048577	Orthologs	N
GM.5.0.Ets.0001	TCONS_00033864	Orthologs	N
GM.5.0.Ets.0001	TCONS_00034214	Orthologs	N
GM.5.0.Ets.0001	TCONS_00034215	Orthologs	N
GM.5.0.Ets.0001	TCONS_00034216	Orthologs	N
GM.5.0.Ets.0001	TCONS_00033865	Orthologs	N
GM.5.0.Ets.0001	TCONS_00019578	Orthologs	N
GM.5.0.Ets.0001	TCONS_00017797	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00053574	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00055793	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00042177	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00042626	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010307	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010310	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010312	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010318	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010317	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010306	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00011657	Orthologs	N
GM.5.0.bZIP.0002	TCONS_00010313	Orthologs	N
GM.5.0.IRF.0001	TCONS_00030938	Orthologs	N
GM.5.0.IRF.0001	TCONS_00007285	Orthologs	N
GM.5.0.IRF.0001	TCONS_00007284	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00041648	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00020216	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00053631	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00034245	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00034241	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00034003	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00034036	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00030276	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00047519	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00030552	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00012881	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00031055	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00016565	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00038079	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00057137	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00055932	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00055933	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00055931	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00057143	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00044644	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00044645	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00043977	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00055840	Orthologs	N
GM.5.0.bHLH.0002	TCONS_00055839	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00036467	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00024248	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00006659	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00003904	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00002941	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00002944	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00002946	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00002702	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00028111	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00028123	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00019811	Orthologs	N
GM.5.0.Nuclear_receptor.0003	TCONS_00016058	Orthologs	N
GM.5.0.bZIP.0003	TCONS_00014283	Orthologs	N
GM.5.0.bZIP.0003	TCONS_00008464	Orthologs	N
GM.5.0.bZIP.0003	TCONS_00038648	Orthologs	N
GM.5.0.bHLH.0003	TCONS_00042488	Orthologs	N
GM.5.0.bHLH.0003	TCONS_00055344	Orthologs	N
GM.5.0.bHLH.0003	TCONS_00004645	Orthologs	N
GM.5.0.bHLH.0003	TCONS_00004633	Orthologs	N
GM.5.0.HSF.0001	TCONS_00029764	Orthologs	N
GM.5.0.HSF.0001	TCONS_00017915	Orthologs	N
GM.5.0.HSF.0001	TCONS_00029198	Orthologs	N
GM.5.0.HSF.0001	TCONS_00009390	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026598	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027287	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027293	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027286	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027292	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027285	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027291	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026487	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026505	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00020801	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00043771	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032269	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032267	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032266	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032262	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032264	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032259	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032261	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00043772	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032260	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032270	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00032272	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00018945	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00018960	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00031629	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00019139	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00020105	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00042478	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00020805	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027510	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026910	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00027826	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026836	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026711	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026612	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026377	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00026365	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00019737	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00015367	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00014810	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00014809	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00010493	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00018852	Orthologs	N
GM.5.0.Homeodomain.0003	TCONS_00017786	Orthologs	N
GM.5.0.C2H2_ZF.0003	NO ORTHOLOGS FOUND	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00018396	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00018400	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00018398	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00055412	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00029527	Orthologs	N
GM.5.0.ARID_BRIGHT.0001	TCONS_00009176	Orthologs	N
GM.5.0.Homeodomain_POU.0001	TCONS_00042093	Orthologs	N
GM.5.0.Homeodomain_POU.0001	TCONS_00001951	Orthologs	N
GM.5.0.Homeodomain_POU.0001	TCONS_00017780	Orthologs	N
GM.5.0.C2H2_ZF.0004	TCONS_00022869	Orthologs	N
GM.5.0.C2H2_ZF.0004	TCONS_00042983	Orthologs	N
GM.5.0.Homeodomain.0004	TCONS_00019620	Orthologs	N
GM.5.0.Homeodomain.0004	TCONS_00002699	Orthologs	N
GM.5.0.Nuclear_receptor.0004	TCONS_00049627	Orthologs	N
GM.5.0.Nuclear_receptor.0004	TCONS_00028111	Orthologs	N
GM.5.0.Nuclear_receptor.0004	TCONS_00028123	Orthologs	N
GM.5.0.Nuclear_receptor.0004	TCONS_00019811	Orthologs	N
GM.5.0.Nuclear_receptor.0004	TCONS_00016058	Orthologs	N
GM.5.0.Sox.0002	TCONS_00045275	Orthologs	N
GM.5.0.Sox.0002	TCONS_00021994	Orthologs	N
GM.5.0.Sox.0002	TCONS_00021998	Orthologs	N
GM.5.0.Sox.0002	TCONS_00007046	Orthologs	N
GM.5.0.Sox.0002	TCONS_00045354	Orthologs	N
GM.5.0.Sox.0002	TCONS_00027467	Orthologs	N
GM.5.0.Sox.0002	TCONS_00013871	Orthologs	N
GM.5.0.DM.0001	TCONS_00054293	Orthologs	N
GM.5.0.DM.0001	TCONS_00053458	Orthologs	N
GM.5.0.DM.0001	TCONS_00054584	Orthologs	N
GM.5.0.DM.0001	TCONS_00023670	Orthologs	N
GM.5.0.DM.0001	TCONS_00054292	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00042488	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00020216	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00048306	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00041502	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00035251	Orthologs	N
GM.5.0.bHLH.0004	TCONS_00049985	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00011327	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00046850	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00009456	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00051037	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00052059	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00050961	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00050972	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00050960	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00050971	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00043112	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00043106	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00055793	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00042177	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00042626	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010307	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010310	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010312	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010318	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010317	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010306	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00011657	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00010313	Orthologs	N
GM.5.0.bZIP.0004	TCONS_00014206	Orthologs	N
GM.5.0.T-box.0001	TCONS_00026125	Orthologs	N
