species	stages	one2one	a	b	pred_name
pfla_ajap	10_Me / 09_Anj_attachment	pair_3058	TCONS_00010595	AENJA_15059	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_3333	TCONS_00028098	AENJA_16378	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_3981	TCONS_00015971	AENJA_19609	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_4371	TCONS_00013697	AENJA_21421	NA
pfla_ajap	10_Me / 09_Anj_attachment	pair_5108	TCONS_00028977	AENJA_25091	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_0252	TCONS_00029367	AENJA_01200	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_0265	TCONS_00054428	AENJA_01263	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_0874	TCONS_00046210	AENJA_04271	TNXB
pfla_ajap	11_Kr / 09_Anj_attachment	pair_0951	TCONS_00052519	AENJA_04621	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_1518	TCONS_00053131	AENJA_07421	TCTEX1D4
pfla_ajap	11_Kr / 09_Anj_attachment	pair_1524	TCONS_00050286	AENJA_07458	CUZD1
pfla_ajap	11_Kr / 09_Anj_attachment	pair_2463	TCONS_00016077	AENJA_11984	NELF
pfla_ajap	11_Kr / 09_Anj_attachment	pair_2493	TCONS_00045785	AENJA_12177	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_3058	TCONS_00010595	AENJA_15059	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_3333	TCONS_00028098	AENJA_16378	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_3700	TCONS_00001091	AENJA_18300	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_3981	TCONS_00015971	AENJA_19609	NA
pfla_ajap	11_Kr / 09_Anj_attachment	pair_5108	TCONS_00028977	AENJA_25091	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_0021	TCONS_00013788	AENJA_00106	KLKB1
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_0874	TCONS_00046210	AENJA_04271	TNXB
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_0951	TCONS_00052519	AENJA_04621	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_1518	TCONS_00053131	AENJA_07421	TCTEX1D4
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_1524	TCONS_00050286	AENJA_07458	CUZD1
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_2463	TCONS_00016077	AENJA_11984	NELF
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_2493	TCONS_00045785	AENJA_12177	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_3333	TCONS_00028098	AENJA_16378	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_3981	TCONS_00015971	AENJA_19609	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_4371	TCONS_00013697	AENJA_21421	NA
pfla_ajap	10_Me / 10_Anj_E_cystidean	pair_4660	TCONS_00056531	AENJA_22905	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0021	TCONS_00013788	AENJA_00106	KLKB1
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0184	TCONS_00027084	AENJA_00875	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0252	TCONS_00029367	AENJA_01200	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0396	TCONS_00036548	AENJA_02057	TH
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0615	TCONS_00013875	AENJA_03100	KCNJ6
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0892	TCONS_00005456	AENJA_04354	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_0951	TCONS_00052519	AENJA_04621	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_1518	TCONS_00053131	AENJA_07421	TCTEX1D4
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_1524	TCONS_00050286	AENJA_07458	CUZD1
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_1580	TCONS_00004027	AENJA_07715	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_2447	TCONS_00004811	AENJA_11913	ANKUB1
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_2463	TCONS_00016077	AENJA_11984	NELF
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_2493	TCONS_00045785	AENJA_12177	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_2911	TCONS_00043691	AENJA_14336	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_2946	TCONS_00032709	AENJA_14528	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_3026	TCONS_00001267	AENJA_14869	GRIK2
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_3333	TCONS_00028098	AENJA_16378	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_3540	TCONS_00041915	AENJA_17500	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_3981	TCONS_00015971	AENJA_19609	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_4612	TCONS_00018997	AENJA_22697	C7ORF31
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_4688	TCONS_00009855	AENJA_23016	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_5108	TCONS_00028977	AENJA_25091	NA
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_5110	TCONS_00003491	AENJA_25097	EFCAB8
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_5358	TCONS_00031385	AENJA_26231	CHAT
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_5359	TCONS_00031386	AENJA_26233	SLC18A3
pfla_ajap	10_Me / 08_Anj_doliolaria	pair_5497	TCONS_00019269	AENJA_26766	CNBD2
pfla_ajap	04_EG / 06_Anj_hatch	pair_0022	TCONS_00005717	AENJA_00107	N
pfla_ajap	04_EG / 06_Anj_hatch	pair_0161	TCONS_00029922	AENJA_00748	WNT8B
pfla_ajap	04_EG / 06_Anj_hatch	pair_0446	TCONS_00026419	AENJA_02301	BMP7
pfla_ajap	04_EG / 06_Anj_hatch	pair_0484	TCONS_00009120	AENJA_02455	SAMHD1
pfla_ajap	04_EG / 06_Anj_hatch	pair_0540	TCONS_00011469	AENJA_02760	C2ORF73
pfla_ajap	04_EG / 06_Anj_hatch	pair_1016	TCONS_00024728	AENJA_04943	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_1156	TCONS_00031434	AENJA_05645	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_1162	TCONS_00002270	AENJA_05666	METTL24
pfla_ajap	04_EG / 06_Anj_hatch	pair_1196	TCONS_00050627	AENJA_05831	WNT4
pfla_ajap	04_EG / 06_Anj_hatch	pair_1595	TCONS_00010249	AENJA_07772	GAR-2
pfla_ajap	04_EG / 06_Anj_hatch	pair_1679	TCONS_00027831	AENJA_08162	HTR7
pfla_ajap	04_EG / 06_Anj_hatch	pair_1712	TCONS_00020637	AENJA_08348	AARSD1
pfla_ajap	04_EG / 06_Anj_hatch	pair_1715	TCONS_00047786	AENJA_08383	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_1733	TCONS_00048707	AENJA_08478	CTSC
pfla_ajap	04_EG / 06_Anj_hatch	pair_1794	TCONS_00028542	AENJA_08762	BHMT
pfla_ajap	04_EG / 06_Anj_hatch	pair_1818	TCONS_00047036	AENJA_08917	T
pfla_ajap	04_EG / 06_Anj_hatch	pair_1960	TCONS_00005399	AENJA_09659	PRODH2
pfla_ajap	04_EG / 06_Anj_hatch	pair_2006	TCONS_00040791	AENJA_09858	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2026	TCONS_00008401	AENJA_09989	MYLIP
pfla_ajap	04_EG / 06_Anj_hatch	pair_2029	TCONS_00030028	AENJA_09995	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2217	TCONS_00052177	AENJA_10917	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2338	TCONS_00047070	AENJA_11357	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2561	TCONS_00011434	AENJA_12533	BEST3
pfla_ajap	04_EG / 06_Anj_hatch	pair_2595	TCONS_00024074	AENJA_12732	TSPAN4
pfla_ajap	04_EG / 06_Anj_hatch	pair_2599	TCONS_00043772	AENJA_12748	GSX1
pfla_ajap	04_EG / 06_Anj_hatch	pair_2682	TCONS_00041970	AENJA_13147	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2701	TCONS_00012365	AENJA_13223	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2707	TCONS_00009199	AENJA_13238	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2794	TCONS_00029840	AENJA_13732	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_2957	TCONS_00049669	AENJA_14582	CACNA1C
pfla_ajap	04_EG / 06_Anj_hatch	pair_3029	TCONS_00055130	AENJA_14878	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_3085	TCONS_00050034	AENJA_15254	PGD
pfla_ajap	04_EG / 06_Anj_hatch	pair_3359	TCONS_00030056	AENJA_16492	FDH
pfla_ajap	04_EG / 06_Anj_hatch	pair_3468	TCONS_00005134	AENJA_17110	RASL10A
pfla_ajap	04_EG / 06_Anj_hatch	pair_3472	TCONS_00020805	AENJA_17138	DLX1
pfla_ajap	04_EG / 06_Anj_hatch	pair_3577	TCONS_00040968	AENJA_17701	CYK3
pfla_ajap	04_EG / 06_Anj_hatch	pair_3642	TCONS_00042043	AENJA_18013	GLYR1
pfla_ajap	04_EG / 06_Anj_hatch	pair_3757	TCONS_00054815	AENJA_18542	EP300
pfla_ajap	04_EG / 06_Anj_hatch	pair_3969	TCONS_00037428	AENJA_19571	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4009	TCONS_00004484	AENJA_19712	LGALS8
pfla_ajap	04_EG / 06_Anj_hatch	pair_4013	TCONS_00015123	AENJA_19718	NHR-236
pfla_ajap	04_EG / 06_Anj_hatch	pair_4076	TCONS_00020377	AENJA_20013	FAIM2
pfla_ajap	04_EG / 06_Anj_hatch	pair_4337	TCONS_00053089	AENJA_21279	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4368	TCONS_00048312	AENJA_21406	WNT2B
pfla_ajap	04_EG / 06_Anj_hatch	pair_4373	TCONS_00006497	AENJA_21429	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4378	TCONS_00028850	AENJA_21469	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4414	TCONS_00055434	AENJA_21656	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4434	TCONS_00022979	AENJA_21722	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4578	TCONS_00004108	AENJA_22555	ANKRD44
pfla_ajap	04_EG / 06_Anj_hatch	pair_4613	TCONS_00019959	AENJA_22698	PDE11A
pfla_ajap	04_EG / 06_Anj_hatch	pair_4629	TCONS_00011650	AENJA_22813	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4749	TCONS_00045529	AENJA_23332	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_4758	TCONS_00022869	AENJA_23362	ZIC4
pfla_ajap	04_EG / 06_Anj_hatch	pair_4887	TCONS_00006496	AENJA_23885	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_5113	TCONS_00008299	AENJA_25101	RGSL1
pfla_ajap	04_EG / 06_Anj_hatch	pair_5157	TCONS_00037237	AENJA_25258	FZD1
pfla_ajap	04_EG / 06_Anj_hatch	pair_5175	TCONS_00046148	AENJA_25358	CHDH
pfla_ajap	04_EG / 06_Anj_hatch	pair_5191	TCONS_00031091	AENJA_25437	NODAL
pfla_ajap	04_EG / 06_Anj_hatch	pair_5329	TCONS_00027826	AENJA_26081	EMX2
pfla_ajap	04_EG / 06_Anj_hatch	pair_5397	TCONS_00050231	AENJA_26385	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_5424	TCONS_00009689	AENJA_26507	FOXG1
pfla_ajap	04_EG / 06_Anj_hatch	pair_5431	TCONS_00009810	AENJA_26538	NA
pfla_ajap	04_EG / 06_Anj_hatch	pair_5437	TCONS_00036726	AENJA_26561	RASL11A
pfla_ajap	04_EG / 06_Anj_hatch	pair_5441	TCONS_00005550	AENJA_26568	NA
pfla_blan	04_EG / 08_18h	pair_0073	TCONS_00000865	BRALA24507	OLIG3
pfla_blan	04_EG / 08_18h	pair_0859	TCONS_00008751	BRALA28433	NA
pfla_blan	04_EG / 08_18h	pair_0929	TCONS_00009351	BRALA24112	MID1
pfla_blan	04_EG / 08_18h	pair_0988	TCONS_00009757	BRALA13344	CDKN3
pfla_blan	04_EG / 08_18h	pair_1241	TCONS_00011489	BRALA00439	GSC
pfla_blan	04_EG / 08_18h	pair_1272	TCONS_00011650	BRALA26159	NA
pfla_blan	04_EG / 08_18h	pair_1406	TCONS_00012810	BRALA06185	UNCX
pfla_blan	04_EG / 08_18h	pair_1518	TCONS_00013750	BRALA16705	CACNG5
pfla_blan	04_EG / 08_18h	pair_2186	TCONS_00019856	BRALA06643	DNASE1
pfla_blan	04_EG / 08_18h	pair_3441	TCONS_00033655	BRALA06957	MEGF10
pfla_blan	04_EG / 08_18h	pair_3524	TCONS_00035844	BRALA33428	NA
pfla_blan	04_EG / 08_18h	pair_3724	TCONS_00040015	BRALA03892	NA
pfla_blan	04_EG / 08_18h	pair_4224	TCONS_00046353	BRALA01423	NA
pfla_blan	04_EG / 08_18h	pair_4453	TCONS_00048847	BRALA26423	NA
pfla_blan	04_EG / 08_18h	pair_4594	TCONS_00050238	BRALA23253	NA
pfla_blan	04_EG / 08_18h	pair_4597	TCONS_00050259	BRALA05670	VWA5B1
pfla_blan	04_EG / 08_18h	pair_4621	TCONS_00050627	BRALA18754	WNT4
pfla_blan	05_MG / 08_18h	pair_0073	TCONS_00000865	BRALA24507	OLIG3
pfla_blan	05_MG / 08_18h	pair_0859	TCONS_00008751	BRALA28433	NA
pfla_blan	05_MG / 08_18h	pair_0988	TCONS_00009757	BRALA13344	CDKN3
pfla_blan	05_MG / 08_18h	pair_1241	TCONS_00011489	BRALA00439	GSC
pfla_blan	05_MG / 08_18h	pair_1518	TCONS_00013750	BRALA16705	CACNG5
pfla_blan	05_MG / 08_18h	pair_2186	TCONS_00019856	BRALA06643	DNASE1
pfla_blan	05_MG / 08_18h	pair_2220	TCONS_00020192	BRALA30620	FAM187A
pfla_blan	05_MG / 08_18h	pair_3524	TCONS_00035844	BRALA33428	NA
pfla_blan	05_MG / 08_18h	pair_4133	TCONS_00045168	BRALA34097	CD5L
pfla_blan	05_MG / 08_18h	pair_4224	TCONS_00046353	BRALA01423	NA
pfla_blan	05_MG / 08_18h	pair_4594	TCONS_00050238	BRALA23253	NA
pfla_blan	05_MG / 08_18h	pair_4597	TCONS_00050259	BRALA05670	VWA5B1
pfla_blan	05_MG / 08_18h	pair_4621	TCONS_00050627	BRALA18754	WNT4
pfla_blan	05_MG / 08_18h	pair_4788	TCONS_00052595	BRALA01187	HELT
pfla_blan	10_Me / 14_Premet	pair_0172	TCONS_00001885	BRALA28228	NA
pfla_blan	10_Me / 14_Premet	pair_0209	TCONS_00002237	BRALA14932	NOS1
pfla_blan	10_Me / 14_Premet	pair_0287	TCONS_00003081	BRALA04734	MUC12
pfla_blan	10_Me / 14_Premet	pair_0494	TCONS_00005399	BRALA07313	PRODH2
pfla_blan	10_Me / 14_Premet	pair_0818	TCONS_00008407	BRALA23240	CSMD1
pfla_blan	10_Me / 14_Premet	pair_0859	TCONS_00008751	BRALA28433	NA
pfla_blan	10_Me / 14_Premet	pair_1063	TCONS_00010218	BRALA07851	SRSF4
pfla_blan	10_Me / 14_Premet	pair_1118	TCONS_00010599	BRALA13377	TGFB2
pfla_blan	10_Me / 14_Premet	pair_1180	TCONS_00011027	BRALA30312	FANCL
pfla_blan	10_Me / 14_Premet	pair_1435	TCONS_00013052	BRALA27306	NA
pfla_blan	10_Me / 14_Premet	pair_1456	TCONS_00013220	BRALA13998	OTOA
pfla_blan	10_Me / 14_Premet	pair_1549	TCONS_00013962	BRALA18288	NA
pfla_blan	10_Me / 14_Premet	pair_1750	TCONS_00015587	BRALA02594	FKBPL
pfla_blan	10_Me / 14_Premet	pair_1807	TCONS_00016076	BRALA06045	MAL-A8
pfla_blan	10_Me / 14_Premet	pair_1809	TCONS_00016106	BRALA02543	NR5A2
pfla_blan	10_Me / 14_Premet	pair_1897	TCONS_00016997	BRALA13487	NA
pfla_blan	10_Me / 14_Premet	pair_2187	TCONS_00019861	BRALA19741	MRC1
pfla_blan	10_Me / 14_Premet	pair_2231	TCONS_00020241	BRALA23994	NA
pfla_blan	10_Me / 14_Premet	pair_2247	TCONS_00020353	BRALA10929	NA
pfla_blan	10_Me / 14_Premet	pair_2400	TCONS_00021725	BRALA06060	CENPI
pfla_blan	10_Me / 14_Premet	pair_2486	TCONS_00022583	BRALA04823	ABCC12
pfla_blan	10_Me / 14_Premet	pair_2662	TCONS_00025634	BRALA24919	NA
pfla_blan	10_Me / 14_Premet	pair_2687	TCONS_00025945	BRALA03479	NA
pfla_blan	10_Me / 14_Premet	pair_2868	TCONS_00027448	BRALA16407	C10ORF82
pfla_blan	10_Me / 14_Premet	pair_2877	TCONS_00027508	BRALA17952	NA
pfla_blan	10_Me / 14_Premet	pair_2894	TCONS_00027631	BRALA13337	NA
pfla_blan	10_Me / 14_Premet	pair_2959	TCONS_00028086	BRALA14627	CCNB2
pfla_blan	10_Me / 14_Premet	pair_2971	TCONS_00028170	BRALA14610	NA
pfla_blan	10_Me / 14_Premet	pair_3027	TCONS_00028689	BRALA18708	NA
pfla_blan	10_Me / 14_Premet	pair_3063	TCONS_00028923	BRALA31166	INTS3
pfla_blan	10_Me / 14_Premet	pair_3247	TCONS_00030550	BRALA17932	TSPAN5
pfla_blan	10_Me / 14_Premet	pair_3305	TCONS_00031090	BRALA03790	NA
pfla_blan	10_Me / 14_Premet	pair_3376	TCONS_00032264	BRALA00118	HOXA5
pfla_blan	10_Me / 14_Premet	pair_3387	TCONS_00032533	BRALA04476	ANPEP
pfla_blan	10_Me / 14_Premet	pair_3465	TCONS_00034310	BRALA01251	TREH
pfla_blan	10_Me / 14_Premet	pair_3683	TCONS_00039211	BRALA25081	NA
pfla_blan	10_Me / 14_Premet	pair_3729	TCONS_00040109	BRALA15086	NA
pfla_blan	10_Me / 14_Premet	pair_3764	TCONS_00040799	BRALA24652	NA
pfla_blan	10_Me / 14_Premet	pair_3773	TCONS_00041057	BRALA05944	RHAG
pfla_blan	10_Me / 14_Premet	pair_3857	TCONS_00042209	BRALA26634	RXFP2
pfla_blan	10_Me / 14_Premet	pair_4005	TCONS_00043495	BRALA21864	RDL
pfla_blan	10_Me / 14_Premet	pair_4006	TCONS_00043496	BRALA22449	GRIA4
pfla_blan	10_Me / 14_Premet	pair_4020	TCONS_00043695	BRALA19450	CCDC158
pfla_blan	10_Me / 14_Premet	pair_4093	TCONS_00044444	BRALA32685	NA
pfla_blan	10_Me / 14_Premet	pair_4094	TCONS_00044449	BRALA06870	TLL1
pfla_blan	10_Me / 14_Premet	pair_4134	TCONS_00045173	BRALA16326	NA
pfla_blan	10_Me / 14_Premet	pair_4266	TCONS_00046868	BRALA17546	SLC32A1
pfla_blan	10_Me / 14_Premet	pair_4349	TCONS_00047871	BRALA12710	TIMP3
pfla_blan	10_Me / 14_Premet	pair_4722	TCONS_00051725	BRALA05611	NA
pfla_blan	10_Me / 14_Premet	pair_4723	TCONS_00051728	BRALA13755	KLHL31
pfla_blan	10_Me / 14_Premet	pair_4768	TCONS_00052260	BRALA15788	NA
pfla_blan	10_Me / 14_Premet	pair_4783	TCONS_00052523	BRALA00731	VIT-5
pfla_blan	10_Me / 14_Premet	pair_4842	TCONS_00052971	BRALA00722	APOB
pfla_blan	10_Me / 14_Premet	pair_4867	TCONS_00053213	BRALA22094	CDC20
pfla_blan	10_Me / 14_Premet	pair_5101	TCONS_00055644	BRALA26712	NA
pfla_blan	08_To / 12_50h	pair_0748	TCONS_00007812	BRALA20747	NA
pfla_blan	08_To / 12_50h	pair_0961	TCONS_00009626	BRALA18359	PGUG_01925
pfla_blan	08_To / 12_50h	pair_1435	TCONS_00013052	BRALA27306	NA
pfla_blan	08_To / 12_50h	pair_1696	TCONS_00015162	BRALA25295	NA
pfla_blan	08_To / 12_50h	pair_2877	TCONS_00027508	BRALA17952	NA
pfla_blan	08_To / 12_50h	pair_3463	TCONS_00034214	BRALA24676	ERG
pfla_blan	08_To / 12_50h	pair_4431	TCONS_00048599	BRALA28887	ANPEP
pfla_blan	10_Me / 12_50h	pair_1435	TCONS_00013052	BRALA27306	NA
pfla_blan	10_Me / 12_50h	pair_1696	TCONS_00015162	BRALA25295	NA
pfla_blan	10_Me / 12_50h	pair_1807	TCONS_00016076	BRALA06045	MAL-A8
pfla_blan	10_Me / 12_50h	pair_2214	TCONS_00020141	BRALA20206	MRC1
pfla_blan	10_Me / 12_50h	pair_2561	TCONS_00023771	BRALA31011	NA
pfla_blan	10_Me / 12_50h	pair_2877	TCONS_00027508	BRALA17952	NA
pfla_blan	10_Me / 12_50h	pair_3387	TCONS_00032533	BRALA04476	ANPEP
pfla_blan	10_Me / 12_50h	pair_4431	TCONS_00048599	BRALA28887	ANPEP
pfla_blan	10_Me / 12_50h	pair_4783	TCONS_00052523	BRALA00731	VIT-5
pfla_bflo	08_To / 09_L2	pair_0006	TCONS_00007822	bflo_00098	NA
pfla_bflo	08_To / 09_L2	pair_0566	TCONS_00003081	bflo_02772	MUC12
pfla_bflo	08_To / 09_L2	pair_0568	TCONS_00018930	bflo_02785	COL5A1
pfla_bflo	08_To / 09_L2	pair_0678	TCONS_00037788	bflo_03346	NA
pfla_bflo	08_To / 09_L2	pair_1039	TCONS_00053448	bflo_05555	NA
pfla_bflo	08_To / 09_L2	pair_1774	TCONS_00037314	bflo_08181	NA
pfla_bflo	08_To / 09_L2	pair_1882	TCONS_00031386	bflo_08596	SLC18A3
pfla_bflo	08_To / 09_L2	pair_1966	TCONS_00031975	bflo_08963	NA
pfla_bflo	08_To / 09_L2	pair_3200	TCONS_00007662	bflo_13264	SCGN
pfla_bflo	08_To / 09_L2	pair_3764	TCONS_00051408	bflo_15225	SSC5D
pfla_bflo	08_To / 09_L2	pair_4118	TCONS_00021275	bflo_16695	HEBP1
pfla_bflo	08_To / 09_L2	pair_4660	TCONS_00029448	bflo_19147	NA
pfla_bflo	08_To / 09_L2	pair_6289	TCONS_00029278	bflo_25492	NA
pfla_bflo	08_To / 09_L2	pair_6502	TCONS_00054292	bflo_26365	NA
pfla_bflo	08_To / 09_L2	pair_6522	TCONS_00007813	bflo_26475	NA
pfla_bflo	07_LG / 08_L1	pair_0678	TCONS_00037788	bflo_03346	NA
pfla_bflo	07_LG / 08_L1	pair_1394	TCONS_00012194	bflo_06540	NA
pfla_bflo	07_LG / 08_L1	pair_1944	TCONS_00032894	bflo_08877	NA
pfla_bflo	07_LG / 08_L1	pair_3140	TCONS_00008967	bflo_13084	NA
pfla_bflo	07_LG / 08_L1	pair_4660	TCONS_00029448	bflo_19147	NA
pfla_bflo	07_LG / 08_L1	pair_6484	TCONS_00054139	bflo_26295	PTGER4
