TCONS_00011438.p1	HUMAN04755
TCONS_00015728.p1	HUMAN14474
TCONS_00008081.p1	HUMAN19155
TCONS_00016387.p1	HUMAN29492
TCONS_00029595.p1	HUMAN23229
TCONS_00011233.p1	HUMAN28968
TCONS_00003491.p1	HUMAN18846
TCONS_00004930.p1	HUMAN18897
TCONS_00028923.p1	HUMAN01741
TCONS_00028142.p1	HUMAN09633
TCONS_00033075.p1	HUMAN12937
TCONS_00003483.p1	HUMAN08562
TCONS_00036175.p1	HUMAN04204
TCONS_00054105.p1	HUMAN23271
TCONS_00008747.p1	HUMAN11386
TCONS_00004149.p1	HUMAN04687
TCONS_00051855.p1	HUMAN23240
TCONS_00047599.p1	HUMAN06919
TCONS_00009724.p1	HUMAN15502
TCONS_00022318.p1	HUMAN19601
TCONS_00009409.p1	HUMAN28053
TCONS_00056589.p1	HUMAN19444
TCONS_00006218.p1	HUMAN19910
TCONS_00010712.p1	HUMAN18672
TCONS_00047446.p1	HUMAN02893
TCONS_00009597.p1	HUMAN16990
TCONS_00048338.p1	HUMAN28875
TCONS_00019856.p1	HUMAN10399
TCONS_00042422.p1	HUMAN07522
TCONS_00048315.p1	HUMAN30495
TCONS_00016980.p1	HUMAN19310
TCONS_00045126.p1	HUMAN05349
TCONS_00045275.p1	HUMAN24572
TCONS_00028299.p1	HUMAN23532
TCONS_00044196.p1	HUMAN29590
TCONS_00037030.p1	HUMAN20296
TCONS_00015422.p2	HUMAN29482
TCONS_00056457.p1	HUMAN27004
TCONS_00029410.p1	HUMAN07610
TCONS_00030526.p1	HUMAN22685
TCONS_00044255.p1	HUMAN02877
TCONS_00012257.p1	HUMAN25019
TCONS_00046151.p1	HUMAN19268
TCONS_00007127.p1	HUMAN26174
TCONS_00046185.p1	HUMAN22236
TCONS_00042726.p1	HUMAN07731
TCONS_00015241.p1	HUMAN02039
TCONS_00011319.p1	HUMAN02645
TCONS_00056106.p1	HUMAN20595
TCONS_00022935.p1	HUMAN29743
TCONS_00001249.p1	HUMAN25314
TCONS_00047967.p1	HUMAN21000
TCONS_00051320.p1	HUMAN21986
TCONS_00030987.p1	HUMAN03243
TCONS_00022042.p1	HUMAN05291
TCONS_00015111.p1	HUMAN24827
TCONS_00029211.p1	HUMAN28764
TCONS_00006668.p1	HUMAN07304
TCONS_00056700.p1	HUMAN06232
TCONS_00008004.p1	HUMAN28387
TCONS_00021557.p1	HUMAN22040
TCONS_00012181.p1	HUMAN08422
TCONS_00012552.p1	HUMAN10297
TCONS_00052236.p1	HUMAN00079
TCONS_00008472.p1	HUMAN28373
TCONS_00056529.p1	HUMAN04132
TCONS_00031431.p1	HUMAN17165
TCONS_00041622.p1	HUMAN22885
TCONS_00006348.p1	HUMAN00416
TCONS_00029044.p1	HUMAN23571
TCONS_00043974.p1	HUMAN22995
TCONS_00002163.p1	HUMAN25725
TCONS_00001303.p1	HUMAN25307
TCONS_00019312.p1	HUMAN01597
TCONS_00014227.p1	HUMAN13570
TCONS_00011247.p1	HUMAN18736
TCONS_00003007.p1	HUMAN17943
TCONS_00009322.p1	HUMAN13749
TCONS_00055400.p1	HUMAN10179
TCONS_00042530.p1	HUMAN22892
TCONS_00027105.p1	HUMAN23885
TCONS_00020839.p1	HUMAN26162
TCONS_00001704.p1	HUMAN25293
TCONS_00044191.p1	HUMAN27613
TCONS_00016582.p1	HUMAN29394
TCONS_00001298.p1	HUMAN01483
TCONS_00003540.p1	HUMAN09020
TCONS_00022971.p1	HUMAN16053
TCONS_00054890.p1	HUMAN11010
TCONS_00014993.p1	HUMAN29169
TCONS_00027148.p1	HUMAN22128
TCONS_00021268.p1	HUMAN21651
TCONS_00001877.p1	HUMAN25504
TCONS_00020684.p1	HUMAN06470
TCONS_00002769.p1	HUMAN23199
TCONS_00002698.p1	HUMAN17854
TCONS_00041657.p1	HUMAN09224
TCONS_00007128.p1	HUMAN26176
TCONS_00002164.p1	HUMAN25511
TCONS_00048196.p1	HUMAN02398
TCONS_00045345.p1	HUMAN25217
TCONS_00048958.p1	HUMAN06748
TCONS_00044224.p1	HUMAN07566
TCONS_00052478.p1	HUMAN01000
TCONS_00050415.p1	HUMAN05859
TCONS_00034156.p1	HUMAN16776
TCONS_00026768.p1	HUMAN03801
TCONS_00053412.p1	HUMAN18729
TCONS_00030168.p1	HUMAN22143
TCONS_00027636.p1	HUMAN21668
TCONS_00014370.p1	HUMAN10625
TCONS_00028996.p1	HUMAN10108
TCONS_00009528.p1	HUMAN16911
TCONS_00054421.p1	HUMAN29674
TCONS_00005654.p1	HUMAN10937
TCONS_00002354.p1	HUMAN29669
TCONS_00043752.p1	HUMAN22554
TCONS_00050413.p1	HUMAN12396
TCONS_00016117.p1	HUMAN02198
TCONS_00024141.p1	HUMAN04216
TCONS_00021484.p1	HUMAN16639
TCONS_00053366.p1	HUMAN00912
TCONS_00056777.p1	HUMAN18184
TCONS_00009899.p1	HUMAN16828
TCONS_00020937.p1	HUMAN26543
TCONS_00027115.p1	HUMAN03765
TCONS_00037536.p1	HUMAN06808
TCONS_00056040.p1	HUMAN12661
TCONS_00054658.p1	HUMAN01004
TCONS_00002403.p1	HUMAN07466
TCONS_00006308.p1	HUMAN13082
TCONS_00004066.p1	HUMAN02801
TCONS_00019634.p1	HUMAN13807
TCONS_00054626.p1	HUMAN01126
TCONS_00022909.p1	HUMAN07816
TCONS_00019278.p1	HUMAN17852
TCONS_00016504.p1	HUMAN06083
TCONS_00047225.p1	HUMAN06743
TCONS_00055092.p1	HUMAN03956
TCONS_00010247.p1	HUMAN04733
TCONS_00056927.p1	HUMAN00629
TCONS_00030893.p1	HUMAN03246
TCONS_00025266.p1	HUMAN10313
TCONS_00002146.p1	HUMAN05434
TCONS_00028513.p1	HUMAN28609
TCONS_00003410.p1	HUMAN24829
TCONS_00008106.p1	HUMAN23157
TCONS_00006818.p1	HUMAN30698
TCONS_00005531.p1	HUMAN26375
TCONS_00026215.p1	HUMAN20237
TCONS_00014249.p1	HUMAN13634
TCONS_00027204.p1	HUMAN03757
TCONS_00055931.p1	HUMAN26035
TCONS_00019442.p1	HUMAN11100
TCONS_00021679.p1	HUMAN13653
TCONS_00002044.p1	HUMAN00795
TCONS_00048487.p1	HUMAN21079
TCONS_00014373.p1	HUMAN10265
TCONS_00029066.p1	HUMAN21868
TCONS_00031180.p1	HUMAN22768
TCONS_00027561.p1	HUMAN03559
TCONS_00029412.p1	HUMAN01655
TCONS_00029723.p1	HUMAN23596
TCONS_00010146.p1	HUMAN19096
TCONS_00013933.p1	HUMAN13263
TCONS_00013225.p1	HUMAN16360
TCONS_00002901.p1	HUMAN19294
TCONS_00022411.p1	HUMAN18402
TCONS_00049616.p1	HUMAN21144
TCONS_00051747.p1	HUMAN00834
TCONS_00010889.p1	HUMAN17020
TCONS_00053653.p1	HUMAN00889
TCONS_00001097.p1	HUMAN22687
TCONS_00018308.p1	HUMAN25756
TCONS_00001878.p1	HUMAN00725
TCONS_00055767.p1	HUMAN16701
TCONS_00015471.p1	HUMAN29445
TCONS_00049689.p1	HUMAN07045
TCONS_00028212.p1	HUMAN09481
TCONS_00046703.p1	HUMAN18834
TCONS_00022916.p1	HUMAN21552
TCONS_00056961.p1	HUMAN18867
TCONS_00028638.p1	HUMAN28681
TCONS_00009182.p1	HUMAN15229
TCONS_00008720.p1	HUMAN11603
TCONS_00026464.p1	HUMAN03753
TCONS_00011370.p1	HUMAN08812
TCONS_00047690.p1	HUMAN17150
TCONS_00056864.p1	HUMAN27582
TCONS_00007371.p1	HUMAN20765
TCONS_00048094.p1	HUMAN26492
TCONS_00048313.p1	HUMAN02394
TCONS_00033556.p1	HUMAN09834
TCONS_00043311.p1	HUMAN13901
TCONS_00046236.p1	HUMAN26282
TCONS_00021504.p1	HUMAN22018
TCONS_00048959.p1	HUMAN20962
TCONS_00013521.p1	HUMAN10676
TCONS_00016896.p1	HUMAN24643
TCONS_00000342.p1	HUMAN25466
TCONS_00026683.p1	HUMAN28699
TCONS_00019461.p1	HUMAN23192
TCONS_00052857.p1	HUMAN02596
TCONS_00033261.p1	HUMAN28514
TCONS_00000173.p1	HUMAN16684
TCONS_00012993.p1	HUMAN30602
TCONS_00035714.p1	HUMAN05636
TCONS_00028927.p1	HUMAN28835
TCONS_00021572.p1	HUMAN07609
TCONS_00004760.p1	HUMAN20038
TCONS_00011425.p1	HUMAN17502
TCONS_00044142.p1	HUMAN22378
TCONS_00010138.p1	HUMAN02654
TCONS_00025624.p1	HUMAN17401
TCONS_00030419.p1	HUMAN09771
TCONS_00007233.p1	HUMAN28379
TCONS_00036553.p1	HUMAN19686
TCONS_00009801.p1	HUMAN02466
TCONS_00015014.p1	HUMAN29195
TCONS_00014245.p1	HUMAN25950
TCONS_00035798.p1	HUMAN21563
TCONS_00020384.p1	HUMAN24435
TCONS_00053560.p1	HUMAN14930
TCONS_00030157.p1	HUMAN22693
TCONS_00029834.p1	HUMAN14403
TCONS_00033176.p1	HUMAN26546
TCONS_00030778.p1	HUMAN22726
TCONS_00016273.p1	HUMAN29077
TCONS_00011843.p1	HUMAN15787
TCONS_00003405.p1	HUMAN26530
TCONS_00050788.p1	HUMAN00373
TCONS_00011180.p1	HUMAN08300
TCONS_00029288.p1	HUMAN23164
TCONS_00007184.p1	HUMAN19209
TCONS_00016609.p1	HUMAN18667
TCONS_00000170.p1	HUMAN29639
TCONS_00009012.p1	HUMAN13758
TCONS_00009337.p1	HUMAN11022
TCONS_00021943.p1	HUMAN29967
TCONS_00012331.p1	HUMAN12038
TCONS_00004738.p1	HUMAN26407
TCONS_00012614.p1	HUMAN25680
TCONS_00029792.p1	HUMAN23664
TCONS_00009665.p1	HUMAN08546
TCONS_00010380.p1	HUMAN08286
TCONS_00014748.p1	HUMAN29234
TCONS_00019159.p1	HUMAN17820
TCONS_00056697.p1	HUMAN12760
TCONS_00031133.p1	HUMAN23824
TCONS_00029000.p1	HUMAN14353
TCONS_00048306.p1	HUMAN21139
TCONS_00012875.p1	HUMAN13391
TCONS_00010405.p1	HUMAN18703
TCONS_00011432.p1	HUMAN04715
TCONS_00000361.p1	HUMAN25810
TCONS_00042361.p1	HUMAN22966
TCONS_00035498.p1	HUMAN05761
TCONS_00056172.p1	HUMAN00525
TCONS_00007966.p1	HUMAN14061
TCONS_00055607.p1	HUMAN12694
TCONS_00025445.p1	HUMAN02475
TCONS_00032538.p1	HUMAN12769
TCONS_00056616.p1	HUMAN21561
TCONS_00011602.p1	HUMAN25871
TCONS_00002996.p1	HUMAN26164
TCONS_00026652.p1	HUMAN04907
TCONS_00056338.p1	HUMAN06472
TCONS_00048892.p1	HUMAN20959
TCONS_00011577.p1	HUMAN08633
TCONS_00025370.p1	HUMAN24581
TCONS_00043115.p1	HUMAN22996
TCONS_00007501.p1	HUMAN27992
TCONS_00029059.p1	HUMAN09371
TCONS_00053759.p1	HUMAN14316
TCONS_00007054.p1	HUMAN28399
TCONS_00015963.p1	HUMAN29423
TCONS_00015708.p1	HUMAN02280
TCONS_00011678.p1	HUMAN17034
TCONS_00038635.p1	HUMAN23026
TCONS_00005604.p1	HUMAN10906
TCONS_00005064.p1	HUMAN15593
TCONS_00006760.p1	HUMAN07339
TCONS_00016332.p1	HUMAN29105
TCONS_00028348.p1	HUMAN23587
TCONS_00044650.p1	HUMAN18044
TCONS_00009978.p1	HUMAN02510
TCONS_00055322.p1	HUMAN04235
TCONS_00016597.p1	HUMAN17426
TCONS_00016848.p1	HUMAN28172
TCONS_00004881.p1	HUMAN10338
TCONS_00010956.p1	HUMAN08362
TCONS_00046697.p1	HUMAN28241
TCONS_00001304.p1	HUMAN29667
TCONS_00021814.p1	HUMAN21799
TCONS_00007069.p1	HUMAN11038
TCONS_00011302.p1	HUMAN08711
TCONS_00011184.p1	HUMAN16778
TCONS_00014759.p1	HUMAN29322
TCONS_00018555.p1	HUMAN25678
TCONS_00008723.p1	HUMAN11309
TCONS_00017647.p1	HUMAN02924
TCONS_00047854.p1	HUMAN29392
TCONS_00043824.p1	HUMAN20232
TCONS_00020290.p1	HUMAN16801
TCONS_00042934.p1	HUMAN11262
TCONS_00027411.p1	HUMAN22436
TCONS_00003797.p1	HUMAN26188
TCONS_00052179.p1	HUMAN00308
TCONS_00050192.p1	HUMAN21970
TCONS_00000585.p1	HUMAN00455
TCONS_00056448.p1	HUMAN26212
TCONS_00007790.p1	HUMAN19062
TCONS_00055307.p1	HUMAN13128
TCONS_00004276.p1	HUMAN00350
TCONS_00014772.p1	HUMAN02728
TCONS_00036664.p1	HUMAN04234
TCONS_00015781.p1	HUMAN29062
TCONS_00050859.p1	HUMAN00246
TCONS_00053779.p1	HUMAN14159
TCONS_00000838.p1	HUMAN25793
TCONS_00034776.p1	HUMAN15538
TCONS_00050755.p1	HUMAN18543
TCONS_00027342.p1	HUMAN03774
TCONS_00018831.p1	HUMAN19367
TCONS_00041737.p1	HUMAN30003
TCONS_00030695.p1	HUMAN01579
TCONS_00002586.p1	HUMAN17937
TCONS_00049058.p1	HUMAN12252
TCONS_00007144.p1	HUMAN13727
TCONS_00006435.p1	HUMAN02087
TCONS_00030468.p1	HUMAN22610
TCONS_00029760.p1	HUMAN14978
TCONS_00042854.p1	HUMAN01412
TCONS_00039976.p1	HUMAN05733
TCONS_00027814.p1	HUMAN24151
TCONS_00005252.p1	HUMAN12321
TCONS_00037768.p1	HUMAN04205
TCONS_00005010.p1	HUMAN18227
TCONS_00001300.p1	HUMAN25813
TCONS_00057019.p1	HUMAN11732
TCONS_00056906.p1	HUMAN20664
TCONS_00053186.p1	HUMAN14640
TCONS_00012497.p1	HUMAN22617
TCONS_00033875.p1	HUMAN15308
TCONS_00052479.p1	HUMAN23381
TCONS_00052011.p1	HUMAN00314
TCONS_00029726.p1	HUMAN09519
TCONS_00028703.p1	HUMAN28821
TCONS_00002001.p1	HUMAN05453
TCONS_00019250.p1	HUMAN04271
TCONS_00029062.p1	HUMAN23496
TCONS_00021550.p1	HUMAN04588
TCONS_00017240.p1	HUMAN27936
TCONS_00053924.p1	HUMAN28499
TCONS_00020354.p1	HUMAN09862
TCONS_00014568.p1	HUMAN20156
TCONS_00022488.p1	HUMAN29683
TCONS_00043448.p1	HUMAN05406
TCONS_00011334.p1	HUMAN16952
TCONS_00054594.p1	HUMAN23415
TCONS_00030284.p1	HUMAN22539
TCONS_00028969.p1	HUMAN23538
TCONS_00015510.p1	HUMAN28420
TCONS_00025390.p1	HUMAN05335
TCONS_00045190.p1	HUMAN28074
TCONS_00055014.p1	HUMAN05301
TCONS_00056203.p1	HUMAN02981
TCONS_00015265.p1	HUMAN26569
TCONS_00018207.p1	HUMAN25247
TCONS_00052185.p1	HUMAN07206
TCONS_00042547.p1	HUMAN04097
TCONS_00020303.p1	HUMAN01001
TCONS_00029297.p1	HUMAN13973
TCONS_00003468.p1	HUMAN04954
TCONS_00026369.p1	HUMAN17347
TCONS_00048618.p1	HUMAN02896
TCONS_00056859.p1	HUMAN02929
TCONS_00013924.p1	HUMAN20241
TCONS_00021956.p1	HUMAN02906
TCONS_00011426.p1	HUMAN16918
TCONS_00048269.p1	HUMAN05784
TCONS_00040964.p1	HUMAN21395
TCONS_00032713.p1	HUMAN18009
TCONS_00020879.p1	HUMAN25947
TCONS_00055227.p1	HUMAN03009
TCONS_00002380.p1	HUMAN19483
TCONS_00016625.p1	HUMAN06949
TCONS_00027381.p1	HUMAN01034
TCONS_00048292.p1	HUMAN19677
TCONS_00020143.p1	HUMAN02926
TCONS_00050049.p1	HUMAN14140
TCONS_00048344.p1	HUMAN29935
TCONS_00004661.p1	HUMAN13124
TCONS_00006520.p1	HUMAN11730
TCONS_00057227.p1	HUMAN02927
TCONS_00028141.p1	HUMAN23717
TCONS_00011046.p1	HUMAN24990
TCONS_00002675.p1	HUMAN18450
TCONS_00045337.p1	HUMAN16740
TCONS_00026415.p1	HUMAN17180
TCONS_00043617.p1	HUMAN21554
TCONS_00004748.p1	HUMAN26410
TCONS_00013504.p1	HUMAN27728
TCONS_00011974.p1	HUMAN18793
TCONS_00010994.p1	HUMAN25094
TCONS_00036463.p1	HUMAN04154
TCONS_00007191.p1	HUMAN15242
TCONS_00048628.p1	HUMAN26790
TCONS_00054518.p1	HUMAN14859
TCONS_00012470.p1	HUMAN10322
TCONS_00018005.p1	HUMAN20343
TCONS_00048795.p1	HUMAN26973
TCONS_00001343.p1	HUMAN26028
TCONS_00002351.p1	HUMAN05173
TCONS_00014879.p1	HUMAN29080
TCONS_00003102.p1	HUMAN25200
TCONS_00004855.p1	HUMAN19922
TCONS_00028490.p1	HUMAN10048
TCONS_00004318.p1	HUMAN27505
TCONS_00008128.p1	HUMAN24552
TCONS_00009725.p1	HUMAN02554
TCONS_00005617.p1	HUMAN13122
TCONS_00048430.p1	HUMAN21150
TCONS_00013377.p1	HUMAN16282
TCONS_00025734.p1	HUMAN19804
TCONS_00034454.p1	HUMAN21262
TCONS_00051278.p1	HUMAN21820
TCONS_00006656.p1	HUMAN12454
TCONS_00005134.p1	HUMAN12425
TCONS_00029428.p1	HUMAN28932
TCONS_00003858.p1	HUMAN21897
TCONS_00009923.p1	HUMAN02625
TCONS_00027894.p1	HUMAN14970
TCONS_00014144.p1	HUMAN10689
TCONS_00036110.p1	HUMAN07824
TCONS_00033778.p1	HUMAN10602
TCONS_00048351.p1	HUMAN20949
TCONS_00011552.p1	HUMAN04805
TCONS_00055325.p1	HUMAN12723
TCONS_00055484.p1	HUMAN26213
TCONS_00007094.p1	HUMAN28263
TCONS_00052083.p1	HUMAN00327
TCONS_00045615.p1	HUMAN07375
TCONS_00012297.p1	HUMAN13422
TCONS_00007817.p1	HUMAN04683
TCONS_00009673.p1	HUMAN03689
TCONS_00008500.p1	HUMAN13702
TCONS_00048456.p1	HUMAN21036
TCONS_00016323.p1	HUMAN01258
TCONS_00018784.p1	HUMAN24275
TCONS_00046363.p1	HUMAN28402
TCONS_00048545.p1	HUMAN02869
TCONS_00021686.p1	HUMAN07886
TCONS_00016655.p1	HUMAN00164
TCONS_00001862.p1	HUMAN03845
TCONS_00054554.p1	HUMAN05517
TCONS_00010189.p1	HUMAN04802
TCONS_00037867.p1	HUMAN04622
TCONS_00035178.p1	HUMAN05482
TCONS_00006050.p1	HUMAN07251
TCONS_00046163.p1	HUMAN13773
TCONS_00006316.p1	HUMAN12269
TCONS_00056393.p1	HUMAN09554
TCONS_00007492.p1	HUMAN11509
TCONS_00041557.p1	HUMAN18617
TCONS_00025785.p1	HUMAN03916
TCONS_00011295.p1	HUMAN16998
TCONS_00040905.p1	HUMAN19557
TCONS_00028875.p1	HUMAN23520
TCONS_00000994.p1	HUMAN05299
TCONS_00003105.p1	HUMAN28959
TCONS_00029824.p1	HUMAN01530
TCONS_00048563.p1	HUMAN26805
TCONS_00018261.p1	HUMAN18904
TCONS_00057193.p1	HUMAN28783
TCONS_00028137.p1	HUMAN27354
TCONS_00010254.p1	HUMAN12710
TCONS_00021833.p1	HUMAN07822
TCONS_00029146.p1	HUMAN23714
TCONS_00010541.p1	HUMAN25088
TCONS_00018257.p1	HUMAN22073
TCONS_00005201.p1	HUMAN26755
TCONS_00046050.p2	HUMAN28071
TCONS_00027454.p1	HUMAN20415
TCONS_00019482.p1	HUMAN19101
TCONS_00033335.p1	HUMAN14913
TCONS_00026088.p1	HUMAN23857
TCONS_00008729.p1	HUMAN07994
TCONS_00055590.p1	HUMAN14034
TCONS_00053927.p1	HUMAN14397
TCONS_00035859.p1	HUMAN27602
TCONS_00016229.p1	HUMAN01543
TCONS_00022716.p1	HUMAN07618
TCONS_00056392.p1	HUMAN26136
TCONS_00026279.p1	HUMAN18631
TCONS_00028827.p1	HUMAN14916
TCONS_00004699.p1	HUMAN07404
TCONS_00017974.p1	HUMAN24584
TCONS_00054876.p1	HUMAN17826
TCONS_00011711.p1	HUMAN24651
TCONS_00006163.p1	HUMAN18303
TCONS_00009744.p1	HUMAN08383
TCONS_00031158.p1	HUMAN03219
TCONS_00018276.p1	HUMAN28089
TCONS_00026316.p1	HUMAN03669
TCONS_00017801.p1	HUMAN25573
TCONS_00007708.p1	HUMAN28045
TCONS_00006819.p1	HUMAN19717
TCONS_00013838.p1	HUMAN12156
TCONS_00009944.p1	HUMAN05677
TCONS_00024868.p1	HUMAN04257
TCONS_00000351.p1	HUMAN22676
TCONS_00009920.p1	HUMAN18747
TCONS_00001884.p1	HUMAN19498
TCONS_00047558.p1	HUMAN20547
TCONS_00042592.p1	HUMAN21308
TCONS_00024188.p1	HUMAN04245
TCONS_00017782.p1	HUMAN02628
TCONS_00048332.p1	HUMAN02423
TCONS_00023010.p1	HUMAN06129
TCONS_00042787.p1	HUMAN22351
TCONS_00010397.p1	HUMAN08591
TCONS_00046658.p1	HUMAN25492
TCONS_00046617.p1	HUMAN00602
TCONS_00010223.p1	HUMAN22029
TCONS_00050624.p1	HUMAN00147
TCONS_00028310.p1	HUMAN28521
TCONS_00036172.p1	HUMAN25454
TCONS_00052161.p1	HUMAN28143
TCONS_00025941.p1	HUMAN28151
TCONS_00043776.p1	HUMAN07692
TCONS_00021275.p1	HUMAN06050
TCONS_00012868.p1	HUMAN10628
TCONS_00047510.p1	HUMAN06959
TCONS_00049742.p1	HUMAN26503
TCONS_00043587.p1	HUMAN00366
TCONS_00055769.p1	HUMAN18210
TCONS_00021306.p1	HUMAN23450
TCONS_00004595.p1	HUMAN10919
TCONS_00052721.p1	HUMAN23559
TCONS_00052651.p1	HUMAN28575
TCONS_00046614.p1	HUMAN27826
TCONS_00007376.p1	HUMAN13374
TCONS_00040479.p1	HUMAN19542
TCONS_00052824.p1	HUMAN14923
TCONS_00013866.p1	HUMAN10759
TCONS_00009627.p1	HUMAN18756
TCONS_00014168.p1	HUMAN10657
TCONS_00056202.p1	HUMAN30181
TCONS_00034949.p1	HUMAN19373
TCONS_00054929.p1	HUMAN12924
TCONS_00049838.p1	HUMAN22031
TCONS_00052186.p1	HUMAN05917
TCONS_00020630.p1	HUMAN06415
TCONS_00028842.p1	HUMAN09700
TCONS_00011016.p1	HUMAN11281
TCONS_00056449.p1	HUMAN20552
TCONS_00030954.p1	HUMAN24405
TCONS_00016182.p1	HUMAN02193
TCONS_00042950.p1	HUMAN22874
TCONS_00045912.p1	HUMAN19249
TCONS_00029592.p1	HUMAN17123
TCONS_00041732.p1	HUMAN23788
TCONS_00021994.p1	HUMAN21844
TCONS_00031416.p1	HUMAN23094
TCONS_00008591.p1	HUMAN18819
TCONS_00010044.p1	HUMAN08464
TCONS_00056742.p1	HUMAN17570
TCONS_00029005.p1	HUMAN23576
TCONS_00000896.p1	HUMAN17451
TCONS_00018547.p1	HUMAN28079
TCONS_00009731.p1	HUMAN08629
TCONS_00048410.p1	HUMAN26903
TCONS_00024464.p1	HUMAN04378
TCONS_00033365.p1	HUMAN02956
TCONS_00048168.p1	HUMAN20421
TCONS_00042778.p1	HUMAN23995
TCONS_00007557.p1	HUMAN08220
TCONS_00000978.p1	HUMAN13665
TCONS_00033178.p1	HUMAN20653
TCONS_00035295.p1	HUMAN30112
TCONS_00008711.p1	HUMAN08234
TCONS_00002599.p1	HUMAN12733
TCONS_00006675.p1	HUMAN07276
TCONS_00024899.p1	HUMAN04360
TCONS_00000983.p1	HUMAN30598
TCONS_00030802.p1	HUMAN23001
TCONS_00040220.p1	HUMAN15652
TCONS_00025263.p1	HUMAN05501
TCONS_00023514.p1	HUMAN24931
TCONS_00030309.p1	HUMAN22577
TCONS_00014136.p1	HUMAN20171
TCONS_00049504.p1	HUMAN20911
TCONS_00002130.p1	HUMAN25300
TCONS_00054523.p1	HUMAN28591
TCONS_00045964.p1	HUMAN19276
TCONS_00019998.p1	HUMAN22046
TCONS_00005768.p1	HUMAN12093
TCONS_00020221.p1	HUMAN23644
TCONS_00048350.p1	HUMAN20951
TCONS_00050079.p1	HUMAN25656
TCONS_00054603.p1	HUMAN28653
TCONS_00026150.p1	HUMAN03173
TCONS_00014574.p1	HUMAN20170
TCONS_00044235.p1	HUMAN27032
TCONS_00039258.p1	HUMAN20667
TCONS_00045731.p1	HUMAN00665
TCONS_00022723.p1	HUMAN07903
TCONS_00011402.p1	HUMAN16973
TCONS_00022177.p1	HUMAN05131
TCONS_00021830.p1	HUMAN29748
TCONS_00013235.p1	HUMAN10177
TCONS_00009909.p1	HUMAN02499
TCONS_00021340.p1	HUMAN18319
TCONS_00012190.p1	HUMAN24995
TCONS_00014294.p1	HUMAN21351
TCONS_00051999.p1	HUMAN21956
TCONS_00017941.p1	HUMAN19125
TCONS_00050096.p1	HUMAN00422
TCONS_00016131.p1	HUMAN29148
TCONS_00055907.p1	HUMAN10353
TCONS_00026780.p1	HUMAN17212
TCONS_00010908.p1	HUMAN00506
TCONS_00026626.p1	HUMAN03795
TCONS_00026100.p1	HUMAN23448
TCONS_00001943.p1	HUMAN07464
