TCONS_00000015.p1	HUMAN05967
TCONS_00000340.p1	HUMAN05303
TCONS_00000340.p1	HUMAN05304
TCONS_00000340.p1	HUMAN13962
TCONS_00000340.p1	HUMAN25325
TCONS_00000342.p1	HUMAN25466
TCONS_00000351.p1	HUMAN22676
TCONS_00000361.p1	HUMAN25810
TCONS_00000379.p1	HUMAN02111
TCONS_00000395.p1	HUMAN07496
TCONS_00000395.p1	HUMAN25470
TCONS_00000403.p1	HUMAN22310
TCONS_00000406.p1	HUMAN25830
TCONS_00000408.p1	HUMAN00812
TCONS_00000408.p1	HUMAN25434
TCONS_00000408.p1	HUMAN25435
TCONS_00000408.p1	HUMAN29645
TCONS_00000408.p1	HUMAN29648
TCONS_00000409.p1	HUMAN25641
TCONS_00000409.p1	HUMAN25642
TCONS_00000410.p1	HUMAN18259
TCONS_00000417.p1	HUMAN11561
TCONS_00000423.p1	HUMAN21244
TCONS_00000425.p1	HUMAN17545
TCONS_00000426.p1	HUMAN25847
TCONS_00000428.p1	HUMAN00679
TCONS_00000431.p1	HUMAN30054
TCONS_00000475.p1	HUMAN13916
TCONS_00000480.p1	HUMAN19899
TCONS_00000492.p1	HUMAN00548
TCONS_00000492.p1	HUMAN21998
TCONS_00000492.p1	HUMAN25778
TCONS_00000492.p1	HUMAN30326
TCONS_00000493.p1	HUMAN29737
TCONS_00000495.p1	HUMAN02090
TCONS_00000497.p1	HUMAN19504
TCONS_00000497.p1	HUMAN25319
TCONS_00000499.p1	HUMAN30323
TCONS_00000515.p1	HUMAN00494
TCONS_00000518.p1	HUMAN00458
TCONS_00000518.p1	HUMAN25340
TCONS_00000523.p1	HUMAN00759
TCONS_00000524.p1	HUMAN00757
TCONS_00000524.p1	HUMAN00758
TCONS_00000524.p1	HUMAN30321
TCONS_00000530.p1	HUMAN22748
TCONS_00000533.p1	HUMAN22746
TCONS_00000533.p1	HUMAN22747
TCONS_00000539.p1	HUMAN01256
TCONS_00000544.p1	HUMAN19059
TCONS_00000575.p1	HUMAN07693
TCONS_00000575.p1	HUMAN30327
TCONS_00000577.p1	HUMAN25853
TCONS_00000579.p1	HUMAN00738
TCONS_00000584.p1	HUMAN19509
TCONS_00000584.p1	HUMAN19510
TCONS_00000584.p1	HUMAN25405
TCONS_00000585.p1	HUMAN00455
TCONS_00000589.p1	HUMAN05370
TCONS_00000589.p1	HUMAN25447
TCONS_00000589.p1	HUMAN25448
TCONS_00000589.p1	HUMAN25449
TCONS_00000591.p1	HUMAN21194
TCONS_00000594.p1	HUMAN17199
TCONS_00000594.p1	HUMAN17200
TCONS_00000595.p1	HUMAN17201
TCONS_00000595.p1	HUMAN19445
TCONS_00000595.p1	HUMAN19447
TCONS_00000598.p1	HUMAN00810
TCONS_00000598.p1	HUMAN29636
TCONS_00000598.p1	HUMAN29637
TCONS_00000601.p1	HUMAN06761
TCONS_00000627.p1	HUMAN03381
TCONS_00000627.p1	HUMAN24171
TCONS_00000635.p1	HUMAN00765
TCONS_00000637.p1	HUMAN19463
TCONS_00000638.p1	HUMAN19464
TCONS_00000638.p1	HUMAN19465
TCONS_00000643.p1	HUMAN09425
TCONS_00000645.p1	HUMAN05320
TCONS_00000655.p1	HUMAN21367
TCONS_00000681.p1	HUMAN07234
TCONS_00000681.p1	HUMAN27562
TCONS_00000684.p1	HUMAN00709
TCONS_00000684.p1	HUMAN07452
TCONS_00000684.p1	HUMAN30018
TCONS_00000689.p1	HUMAN07752
TCONS_00000689.p1	HUMAN22933
TCONS_00000689.p1	HUMAN25671
TCONS_00000689.p1	HUMAN26907
TCONS_00000689.p1	HUMAN29634
TCONS_00000689.p1	HUMAN30393
TCONS_00000700.p1	HUMAN14060
TCONS_00000712.p1	HUMAN28036
TCONS_00000712.p1	HUMAN28037
TCONS_00000726.p1	HUMAN16093
TCONS_00000729.p1	HUMAN05451
TCONS_00000729.p1	HUMAN25792
TCONS_00000729.p1	HUMAN29978
TCONS_00000738.p1	HUMAN00524
TCONS_00000738.p1	HUMAN25762
TCONS_00000738.p1	HUMAN25763
TCONS_00000738.p1	HUMAN29664
TCONS_00000742.p1	HUMAN25787
TCONS_00000749.p1	HUMAN00497
TCONS_00000773.p1	HUMAN22241
TCONS_00000774.p1	HUMAN00734
TCONS_00000774.p1	HUMAN00735
TCONS_00000774.p1	HUMAN00736
TCONS_00000794.p1	HUMAN21370
TCONS_00000819.p1	HUMAN16544
TCONS_00000838.p1	HUMAN25793
TCONS_00000839.p1	HUMAN25403
TCONS_00000852.p1	HUMAN00744
TCONS_00000853.p1	HUMAN25406
TCONS_00000853.p1	HUMAN25407
TCONS_00000854.p1	HUMAN00591
TCONS_00000854.p1	HUMAN00592
TCONS_00000855.p1	HUMAN00813
TCONS_00000855.p1	HUMAN07589
TCONS_00000855.p1	HUMAN12164
TCONS_00000855.p1	HUMAN30010
TCONS_00000865.p1	HUMAN19449
TCONS_00000865.p1	HUMAN19450
TCONS_00000865.p1	HUMAN25649
TCONS_00000868.p1	HUMAN25442
TCONS_00000871.p1	HUMAN25438
TCONS_00000875.p1	HUMAN30120
TCONS_00000887.p1	HUMAN16683
TCONS_00000888.p1	HUMAN29963
TCONS_00000889.p1	HUMAN21248
TCONS_00000889.p1	HUMAN21249
TCONS_00000893.p1	HUMAN07458
TCONS_00000896.p1	HUMAN00760
TCONS_00000896.p1	HUMAN17451
TCONS_00000896.p1	HUMAN17452
TCONS_00000896.p1	HUMAN17454
TCONS_00000896.p1	HUMAN25385
TCONS_00000896.p1	HUMAN30389
TCONS_00000896.p1	HUMAN30390
TCONS_00000901.p1	HUMAN16675
TCONS_00000903.p1	HUMAN26723
TCONS_00000909.p1	HUMAN25377
TCONS_00000926.p1	HUMAN25372
TCONS_00000927.p1	HUMAN25373
TCONS_00000938.p1	HUMAN07388
TCONS_00000938.p1	HUMAN26391
TCONS_00000940.p1	HUMAN25370
TCONS_00000940.p1	HUMAN25371
TCONS_00000960.p1	HUMAN00534
TCONS_00000960.p1	HUMAN00535
TCONS_00000960.p1	HUMAN00536
TCONS_00000960.p1	HUMAN00537
TCONS_00000978.p1	HUMAN13665
TCONS_00000978.p1	HUMAN13667
TCONS_00000980.p1	HUMAN00918
TCONS_00000980.p1	HUMAN14778
TCONS_00000980.p1	HUMAN29675
TCONS_00000980.p1	HUMAN29676
TCONS_00000980.p1	HUMAN29677
TCONS_00000981.p1	HUMAN25696
TCONS_00000981.p1	HUMAN25697
TCONS_00000983.p1	HUMAN00606
TCONS_00000983.p1	HUMAN05435
TCONS_00000983.p1	HUMAN30598
TCONS_00000991.p1	HUMAN30057
TCONS_00000994.p1	HUMAN05298
TCONS_00000994.p1	HUMAN05299
TCONS_00000994.p1	HUMAN25327
TCONS_00000994.p1	HUMAN25328
TCONS_00000996.p1	HUMAN18858
TCONS_00000999.p1	HUMAN25436
TCONS_00000999.p1	HUMAN25437
TCONS_00001002.p1	HUMAN25394
TCONS_00001003.p1	HUMAN07463
TCONS_00001004.p1	HUMAN25387
TCONS_00001015.p1	HUMAN25829
TCONS_00001016.p1	HUMAN19436
TCONS_00001019.p1	HUMAN25140
TCONS_00001020.p1	HUMAN21387
TCONS_00001020.p1	HUMAN21388
TCONS_00001020.p1	HUMAN25508
TCONS_00001021.p1	HUMAN21386
TCONS_00001022.p1	HUMAN00802
TCONS_00001022.p1	HUMAN01489
TCONS_00001022.p1	HUMAN02587
TCONS_00001022.p1	HUMAN07435
TCONS_00001022.p1	HUMAN07439
TCONS_00001022.p1	HUMAN14553
TCONS_00001022.p1	HUMAN15363
TCONS_00001022.p1	HUMAN15383
TCONS_00001022.p1	HUMAN15420
TCONS_00001022.p1	HUMAN22049
TCONS_00001022.p1	HUMAN22052
TCONS_00001022.p1	HUMAN24681
TCONS_00001022.p1	HUMAN26345
TCONS_00001022.p1	HUMAN26657
TCONS_00001022.p1	HUMAN29790
TCONS_00001025.p1	HUMAN25475
TCONS_00001041.p1	HUMAN01347
TCONS_00001041.p1	HUMAN25143
TCONS_00001041.p1	HUMAN25144
TCONS_00001044.p1	HUMAN01546
TCONS_00001049.p1	HUMAN02095
TCONS_00001049.p1	HUMAN25832
TCONS_00001066.p1	HUMAN03104
TCONS_00001066.p1	HUMAN16311
TCONS_00001066.p1	HUMAN16318
TCONS_00001075.p1	HUMAN19469
TCONS_00001085.p1	HUMAN25430
TCONS_00001085.p1	HUMAN25431
TCONS_00001085.p1	HUMAN25432
TCONS_00001087.p1	HUMAN02067
TCONS_00001087.p1	HUMAN02068
TCONS_00001090.p1	HUMAN25766
TCONS_00001097.p1	HUMAN22687
TCONS_00001097.p1	HUMAN29654
TCONS_00001097.p1	HUMAN29655
TCONS_00001109.p1	HUMAN25493
TCONS_00001111.p1	HUMAN25801
TCONS_00001111.p1	HUMAN25802
TCONS_00001115.p1	HUMAN25674
TCONS_00001118.p1	HUMAN11115
TCONS_00001123.p1	HUMAN05302
TCONS_00001126.p1	HUMAN30121
TCONS_00001128.p1	HUMAN00705
TCONS_00001132.p1	HUMAN25855
TCONS_00001133.p1	HUMAN00576
TCONS_00001133.p1	HUMAN00577
TCONS_00001133.p1	HUMAN05368
TCONS_00001133.p1	HUMAN05369
TCONS_00001135.p1	HUMAN25421
TCONS_00001135.p1	HUMAN25422
TCONS_00001137.p1	HUMAN27628
TCONS_00001138.p1	HUMAN25663
TCONS_00001141.p1	HUMAN00532
TCONS_00001141.p1	HUMAN24831
TCONS_00001141.p1	HUMAN25418
TCONS_00001145.p1	HUMAN25701
TCONS_00001145.p1	HUMAN25703
TCONS_00001145.p1	HUMAN25704
TCONS_00001152.p1	HUMAN05391
TCONS_00001159.p1	HUMAN25450
TCONS_00001159.p1	HUMAN25451
TCONS_00001169.p1	HUMAN12473
TCONS_00001169.p1	HUMAN18492
TCONS_00001169.p1	HUMAN20002
TCONS_00001169.p1	HUMAN29765
TCONS_00001171.p1	HUMAN05175
TCONS_00001171.p1	HUMAN05176
TCONS_00001172.p1	HUMAN24946
TCONS_00001174.p1	HUMAN00496
TCONS_00001174.p1	HUMAN19496
TCONS_00001174.p1	HUMAN25145
TCONS_00001174.p1	HUMAN25146
TCONS_00001175.p1	HUMAN25652
TCONS_00001178.p1	HUMAN19470
TCONS_00001179.p1	HUMAN19471
TCONS_00001179.p1	HUMAN19472
TCONS_00001179.p1	HUMAN19475
TCONS_00001182.p1	HUMAN13576
TCONS_00001188.p1	HUMAN13726
TCONS_00001189.p1	HUMAN19481
TCONS_00001190.p1	HUMAN19474
TCONS_00001190.p1	HUMAN19476
TCONS_00001191.p1	HUMAN21366
TCONS_00001195.p1	HUMAN21213
TCONS_00001195.p1	HUMAN21214
TCONS_00001196.p1	HUMAN09314
TCONS_00001197.p1	HUMAN00754
TCONS_00001203.p1	HUMAN00674
TCONS_00001203.p1	HUMAN00675
TCONS_00001203.p1	HUMAN29641
TCONS_00001203.p1	HUMAN29642
TCONS_00001205.p1	HUMAN25803
TCONS_00001206.p1	HUMAN13534
TCONS_00001206.p1	HUMAN13535
TCONS_00001218.p1	HUMAN16242
TCONS_00001218.p1	HUMAN19272
TCONS_00001218.p1	HUMAN19273
TCONS_00001225.p1	HUMAN25368
TCONS_00001226.p1	HUMAN00526
TCONS_00001226.p1	HUMAN25518
TCONS_00001232.p1	HUMAN00567
TCONS_00001232.p1	HUMAN05296
TCONS_00001232.p1	HUMAN25791
TCONS_00001232.p1	HUMAN29732
TCONS_00001232.p1	HUMAN30113
TCONS_00001234.p1	HUMAN25817
TCONS_00001238.p1	HUMAN25317
TCONS_00001243.p1	HUMAN00503
TCONS_00001245.p1	HUMAN30115
TCONS_00001245.p1	HUMAN30116
TCONS_00001248.p1	HUMAN25835
TCONS_00001248.p1	HUMAN29747
TCONS_00001249.p1	HUMAN00558
TCONS_00001249.p1	HUMAN01479
TCONS_00001249.p1	HUMAN25313
TCONS_00001249.p1	HUMAN25314
TCONS_00001249.p1	HUMAN30085
TCONS_00001265.p1	HUMAN01480
TCONS_00001267.p1	HUMAN00740
TCONS_00001267.p1	HUMAN05422
TCONS_00001267.p1	HUMAN05635
TCONS_00001267.p1	HUMAN15638
TCONS_00001267.p1	HUMAN15639
TCONS_00001267.p1	HUMAN19390
TCONS_00001267.p1	HUMAN24115
TCONS_00001267.p1	HUMAN25408
TCONS_00001267.p1	HUMAN25409
TCONS_00001268.p1	HUMAN00741
TCONS_00001268.p1	HUMAN00742
TCONS_00001268.p1	HUMAN05450
TCONS_00001268.p1	HUMAN08230
TCONS_00001268.p1	HUMAN08233
TCONS_00001268.p1	HUMAN11011
TCONS_00001268.p1	HUMAN25715
TCONS_00001268.p1	HUMAN25716
TCONS_00001268.p1	HUMAN29975
TCONS_00001269.p1	HUMAN00542
TCONS_00001269.p1	HUMAN00543
TCONS_00001269.p1	HUMAN00544
TCONS_00001269.p1	HUMAN04826
TCONS_00001269.p1	HUMAN08662
TCONS_00001269.p1	HUMAN08789
TCONS_00001269.p1	HUMAN25836
TCONS_00001269.p1	HUMAN25837
TCONS_00001269.p1	HUMAN29663
TCONS_00001269.p1	HUMAN30091
TCONS_00001270.p1	HUMAN29976
TCONS_00001275.p1	HUMAN05310
TCONS_00001275.p1	HUMAN05311
TCONS_00001276.p1	HUMAN24429
TCONS_00001276.p1	HUMAN24430
TCONS_00001281.p1	HUMAN25842
TCONS_00001284.p1	HUMAN05384
TCONS_00001290.p1	HUMAN01609
TCONS_00001298.p1	HUMAN01483
TCONS_00001299.p1	HUMAN04763
TCONS_00001299.p1	HUMAN04766
TCONS_00001300.p1	HUMAN04760
TCONS_00001300.p1	HUMAN04764
TCONS_00001300.p1	HUMAN04765
TCONS_00001300.p1	HUMAN04828
TCONS_00001300.p1	HUMAN25813
TCONS_00001301.p1	HUMAN20684
TCONS_00001303.p1	HUMAN00527
TCONS_00001303.p1	HUMAN00528
TCONS_00001303.p1	HUMAN25307
TCONS_00001304.p1	HUMAN29667
TCONS_00001305.p1	HUMAN05999
TCONS_00001305.p1	HUMAN29685
TCONS_00001305.p1	HUMAN29686
TCONS_00001307.p1	HUMAN29644
TCONS_00001309.p1	HUMAN17450
TCONS_00001313.p1	HUMAN25667
TCONS_00001314.p1	HUMAN30035
TCONS_00001314.p1	HUMAN30612
TCONS_00001314.p1	HUMAN30649
TCONS_00001318.p1	HUMAN04420
TCONS_00001321.p1	HUMAN16680
TCONS_00001321.p1	HUMAN16685
TCONS_00001321.p1	HUMAN16686
TCONS_00001321.p1	HUMAN16688
TCONS_00001324.p1	HUMAN00495
TCONS_00001324.p1	HUMAN19495
TCONS_00001324.p1	HUMAN24815
TCONS_00001324.p1	HUMAN25147
TCONS_00001324.p1	HUMAN25148
TCONS_00001324.p1	HUMAN29456
TCONS_00001324.p1	HUMAN30599
TCONS_00001336.p1	HUMAN01164
TCONS_00001336.p1	HUMAN19385
TCONS_00001336.p1	HUMAN19386
TCONS_00001336.p1	HUMAN19387
TCONS_00001336.p1	HUMAN25380
TCONS_00001343.p1	HUMAN23143
TCONS_00001343.p1	HUMAN26028
TCONS_00001344.p1	HUMAN23144
TCONS_00001354.p1	HUMAN00568
TCONS_00001354.p1	HUMAN25640
TCONS_00001354.p1	HUMAN29656
TCONS_00001362.p1	HUMAN04761
TCONS_00001362.p1	HUMAN04827
TCONS_00001362.p1	HUMAN11607
TCONS_00001363.p1	HUMAN20603
TCONS_00001373.p1	HUMAN04768
TCONS_00001375.p1	HUMAN17082
TCONS_00001389.p1	HUMAN19530
TCONS_00001389.p1	HUMAN19531
TCONS_00001389.p1	HUMAN19532
TCONS_00001389.p1	HUMAN19533
TCONS_00001391.p1	HUMAN00753
TCONS_00001391.p1	HUMAN25382
TCONS_00001392.p1	HUMAN19429
TCONS_00001399.p1	HUMAN00761
TCONS_00001401.p1	HUMAN30596
TCONS_00001401.p1	HUMAN30597
TCONS_00001410.p1	HUMAN21183
TCONS_00001410.p1	HUMAN21184
TCONS_00001410.p1	HUMAN30118
TCONS_00001410.p1	HUMAN30119
TCONS_00001441.p1	HUMAN00492
TCONS_00001441.p1	HUMAN19491
TCONS_00001441.p1	HUMAN19492
TCONS_00001441.p1	HUMAN19493
TCONS_00001441.p1	HUMAN19494
TCONS_00001441.p1	HUMAN25151
TCONS_00001441.p1	HUMAN25152
TCONS_00001442.p1	HUMAN19381
TCONS_00001479.p1	HUMAN00572
TCONS_00001479.p1	HUMAN07497
TCONS_00001479.p1	HUMAN07498
TCONS_00001480.p1	HUMAN22036
TCONS_00001487.p1	HUMAN02519
TCONS_00001489.p1	HUMAN25003
TCONS_00001491.p1	HUMAN00729
TCONS_00001491.p1	HUMAN07854
TCONS_00001491.p1	HUMAN25164
TCONS_00001491.p1	HUMAN29657
TCONS_00001491.p1	HUMAN29658
TCONS_00001516.p1	HUMAN06824
TCONS_00001516.p1	HUMAN10034
TCONS_00001516.p1	HUMAN23690
TCONS_00001534.p1	HUMAN25390
TCONS_00001535.p1	HUMAN28682
TCONS_00001536.p1	HUMAN21364
TCONS_00001538.p1	HUMAN25462
TCONS_00001538.p1	HUMAN25463
TCONS_00001544.p1	HUMAN06347
TCONS_00001544.p1	HUMAN18258
TCONS_00001550.p1	HUMAN25828
TCONS_00001551.p1	HUMAN00501
TCONS_00001551.p1	HUMAN19461
TCONS_00001551.p1	HUMAN19462
TCONS_00001552.p1	HUMAN19588
TCONS_00001552.p1	HUMAN25818
TCONS_00001552.p1	HUMAN25820
TCONS_00001552.p1	HUMAN25821
TCONS_00001555.p1	HUMAN25476
TCONS_00001555.p1	HUMAN30053
TCONS_00001570.p1	HUMAN02078
TCONS_00001628.p1	HUMAN08006
TCONS_00001656.p1	HUMAN25776
TCONS_00001656.p1	HUMAN25777
TCONS_00001658.p1	HUMAN29734
TCONS_00001658.p1	HUMAN29735
TCONS_00001658.p1	HUMAN29736
TCONS_00001664.p1	HUMAN02089
TCONS_00001669.p1	HUMAN19582
TCONS_00001669.p1	HUMAN19583
TCONS_00001673.p1	HUMAN21354
TCONS_00001683.p1	HUMAN19505
TCONS_00001683.p1	HUMAN30194
TCONS_00001685.p1	HUMAN25822
TCONS_00001704.p1	HUMAN21241
TCONS_00001704.p1	HUMAN25293
TCONS_00001707.p1	HUMAN19511
TCONS_00001709.p1	HUMAN30092
TCONS_00001711.p1	HUMAN00731
TCONS_00001711.p1	HUMAN00732
TCONS_00001713.p1	HUMAN19586
TCONS_00001713.p1	HUMAN21384
TCONS_00001713.p1	HUMAN21385
TCONS_00001720.p1	HUMAN30037
TCONS_00001720.p1	HUMAN30038
TCONS_00001728.p1	HUMAN05227
TCONS_00001733.p1	HUMAN02093
TCONS_00001749.p1	HUMAN24138
TCONS_00001758.p1	HUMAN18551
TCONS_00001758.p1	HUMAN19809
TCONS_00001764.p1	HUMAN18599
TCONS_00001781.p1	HUMAN05441
TCONS_00001790.p1	HUMAN00545
TCONS_00001790.p1	HUMAN00546
TCONS_00001790.p1	HUMAN09789
TCONS_00001790.p1	HUMAN14162
TCONS_00001790.p1	HUMAN25769
TCONS_00001790.p1	HUMAN25771
TCONS_00001790.p1	HUMAN25775
TCONS_00001790.p1	HUMAN28637
TCONS_00001793.p1	HUMAN25478
TCONS_00001793.p1	HUMAN25479
TCONS_00001793.p1	HUMAN30056
TCONS_00001797.p1	HUMAN25433
TCONS_00001800.p1	HUMAN03962
TCONS_00001800.p1	HUMAN17441
TCONS_00001804.p1	HUMAN19357
TCONS_00001804.p1	HUMAN25709
TCONS_00001804.p1	HUMAN30325
TCONS_00001805.p1	HUMAN25707
TCONS_00001805.p1	HUMAN25708
TCONS_00001806.p1	HUMAN21368
TCONS_00001817.p1	HUMAN25786
TCONS_00001819.p1	HUMAN00643
TCONS_00001819.p1	HUMAN21345
TCONS_00001820.p1	HUMAN00706
TCONS_00001820.p1	HUMAN00710
TCONS_00001820.p1	HUMAN07453
TCONS_00001820.p1	HUMAN07454
TCONS_00001820.p1	HUMAN30017
TCONS_00001826.p1	HUMAN11489
TCONS_00001826.p1	HUMAN11490
TCONS_00001826.p1	HUMAN11491
TCONS_00001832.p1	HUMAN26318
TCONS_00001832.p1	HUMAN26319
TCONS_00001832.p1	HUMAN26320
TCONS_00001836.p1	HUMAN19834
TCONS_00001854.p1	HUMAN12573
TCONS_00001854.p1	HUMAN15878
TCONS_00001854.p1	HUMAN26185
TCONS_00001860.p1	HUMAN12691
TCONS_00001860.p1	HUMAN14596
TCONS_00001862.p1	HUMAN03845
TCONS_00001864.p1	HUMAN07465
TCONS_00001864.p1	HUMAN25721
TCONS_00001864.p1	HUMAN25722
TCONS_00001865.p1	HUMAN03894
TCONS_00001870.p1	HUMAN08524
TCONS_00001870.p1	HUMAN20901
TCONS_00001877.p1	HUMAN25504
TCONS_00001878.p1	HUMAN00725
TCONS_00001878.p1	HUMAN00726
TCONS_00001878.p1	HUMAN25500
TCONS_00001884.p1	HUMAN19498
TCONS_00001891.p1	HUMAN29653
TCONS_00001893.p1	HUMAN11111
TCONS_00001893.p1	HUMAN11113
TCONS_00001893.p1	HUMAN30392
TCONS_00001895.p1	HUMAN21235
TCONS_00001898.p1	HUMAN11112
TCONS_00001916.p1	HUMAN02747
TCONS_00001916.p1	HUMAN04573
TCONS_00001917.p1	HUMAN04023
TCONS_00001917.p1	HUMAN21206
TCONS_00001939.p1	HUMAN01485
TCONS_00001942.p1	HUMAN25354
TCONS_00001942.p1	HUMAN25355
TCONS_00001943.p1	HUMAN07464
TCONS_00001948.p1	HUMAN25410
TCONS_00001951.p1	HUMAN00762
TCONS_00001951.p1	HUMAN17445
TCONS_00001951.p1	HUMAN21174
TCONS_00001951.p1	HUMAN23590
TCONS_00001951.p1	HUMAN24768
TCONS_00001951.p1	HUMAN25391
TCONS_00001951.p1	HUMAN28231
TCONS_00001951.p1	HUMAN30089
TCONS_00002000.p1	HUMAN15783
TCONS_00002001.p1	HUMAN05453
TCONS_00002002.p1	HUMAN25471
TCONS_00002010.p1	HUMAN07800
TCONS_00002010.p1	HUMAN07801
TCONS_00002010.p1	HUMAN07802
TCONS_00002011.p1	HUMAN20316
TCONS_00002013.p1	HUMAN28830
TCONS_00002015.p1	HUMAN25443
TCONS_00002016.p1	HUMAN16123
TCONS_00002022.p1	HUMAN00553
TCONS_00002022.p1	HUMAN00554
TCONS_00002023.p1	HUMAN25356
TCONS_00002026.p1	HUMAN00044
TCONS_00002026.p1	HUMAN11800
TCONS_00002027.p1	HUMAN03138
TCONS_00002027.p1	HUMAN30114
TCONS_00002029.p1	HUMAN12889
TCONS_00002029.p1	HUMAN25440
TCONS_00002029.p1	HUMAN25441
TCONS_00002029.p1	HUMAN26093
TCONS_00002029.p1	HUMAN26094
TCONS_00002029.p1	HUMAN30009
TCONS_00002032.p1	HUMAN07590
TCONS_00002033.p1	HUMAN00743
TCONS_00002034.p1	HUMAN05297
TCONS_00002036.p1	HUMAN28067
TCONS_00002044.p1	HUMAN00795
TCONS_00002049.p1	HUMAN25650
TCONS_00002051.p1	HUMAN21250
TCONS_00002092.p1	HUMAN25142
TCONS_00002093.p1	HUMAN05540
TCONS_00002093.p1	HUMAN14168
TCONS_00002093.p1	HUMAN14170
TCONS_00002094.p1	HUMAN05442
TCONS_00002094.p1	HUMAN05443
TCONS_00002094.p1	HUMAN05444
TCONS_00002100.p1	HUMAN12155
TCONS_00002106.p1	HUMAN05438
TCONS_00002109.p1	HUMAN02094
TCONS_00002109.p1	HUMAN25834
TCONS_00002113.p1	HUMAN05437
TCONS_00002121.p1	HUMAN00505
TCONS_00002121.p1	HUMAN01477
TCONS_00002121.p1	HUMAN01478
TCONS_00002121.p1	HUMAN25525
TCONS_00002127.p1	HUMAN25444
TCONS_00002129.p1	HUMAN19527
TCONS_00002129.p1	HUMAN25304
TCONS_00002129.p1	HUMAN30086
TCONS_00002130.p1	HUMAN25300
TCONS_00002134.p1	HUMAN19435
TCONS_00002136.p1	HUMAN02104
TCONS_00002146.p1	HUMAN05434
TCONS_00002146.p1	HUMAN25517
TCONS_00002153.p1	HUMAN30058
TCONS_00002153.p1	HUMAN30059
