TCONS_00041617.p1	STRPU_05295
TCONS_00005612.p1	STRPU_14716
TCONS_00019291.p1	STRPU_22763
TCONS_00033283.p1	STRPU_22432
TCONS_00004042.p1	STRPU_07956
TCONS_00003013.p1	STRPU_25161
TCONS_00021445.p1	STRPU_06766
TCONS_00037477.p1	STRPU_11537
TCONS_00009622.p1	STRPU_21417
TCONS_00002096.p1	STRPU_17233
TCONS_00024837.p1	STRPU_13334
TCONS_00014267.p1	STRPU_08647
TCONS_00054881.p1	STRPU_13512
TCONS_00011901.p1	STRPU_21086
TCONS_00047859.p1	STRPU_22844
TCONS_00030801.p1	STRPU_04347
TCONS_00049680.p1	STRPU_22669
TCONS_00033261.p1	STRPU_22041
TCONS_00026138.p1	STRPU_10124
TCONS_00021570.p1	STRPU_06807
TCONS_00056704.p1	STRPU_16001
TCONS_00048059.p1	STRPU_27420
TCONS_00015835.p1	STRPU_20004
TCONS_00005170.p1	STRPU_14816
TCONS_00007014.p1	STRPU_25250
TCONS_00029978.p1	STRPU_08261
TCONS_00016954.p1	STRPU_24193
TCONS_00008826.p1	STRPU_25857
TCONS_00027685.p1	STRPU_09939
TCONS_00042278.p1	STRPU_05919
TCONS_00030052.p1	STRPU_04029
TCONS_00021118.p1	STRPU_06607
TCONS_00010203.p1	STRPU_21527
TCONS_00011974.p1	STRPU_21750
TCONS_00042679.p1	STRPU_05905
TCONS_00057253.p1	STRPU_25384
TCONS_00050856.p1	STRPU_17860
TCONS_00016076.p1	STRPU_19598
TCONS_00020657.p1	STRPU_22100
TCONS_00028142.p1	STRPU_26973
TCONS_00002870.p1	STRPU_25028
TCONS_00048163.p1	STRPU_23892
TCONS_00025971.p1	STRPU_10170
TCONS_00010902.p1	STRPU_20701
TCONS_00029061.p1	STRPU_26661
TCONS_00052955.p1	STRPU_18556
TCONS_00009030.p1	STRPU_25298
TCONS_00027949.p1	STRPU_26522
TCONS_00055638.p1	STRPU_14072
TCONS_00006650.p1	STRPU_14150
TCONS_00049689.p1	STRPU_16196
TCONS_00012409.p1	STRPU_01467
TCONS_00048627.p1	STRPU_23408
TCONS_00046590.p1	STRPU_07107
TCONS_00054554.p1	STRPU_19110
TCONS_00004597.p1	STRPU_14727
TCONS_00055126.p1	STRPU_13741
TCONS_00016182.p1	STRPU_19381
TCONS_00012104.p1	STRPU_21391
TCONS_00043408.p1	STRPU_05783
TCONS_00022521.p1	STRPU_06447
TCONS_00012662.p1	STRPU_08757
TCONS_00055419.p1	STRPU_16015
TCONS_00009273.p1	STRPU_25491
TCONS_00042095.p1	STRPU_05365
TCONS_00028419.p1	STRPU_27387
TCONS_00012365.p1	STRPU_08789
TCONS_00010870.p1	STRPU_21540
TCONS_00000173.p1	STRPU_01814
TCONS_00038182.p1	STRPU_12025
TCONS_00007888.p1	STRPU_23279
TCONS_00014183.p1	STRPU_08700
TCONS_00033176.p1	STRPU_22876
TCONS_00054366.p1	STRPU_18829
TCONS_00001462.p1	STRPU_19484
TCONS_00007016.p1	STRPU_06068
TCONS_00042060.p1	STRPU_02841
TCONS_00022224.p1	STRPU_06608
TCONS_00022106.p1	STRPU_06357
TCONS_00028328.p1	STRPU_26655
TCONS_00000909.p1	STRPU_17385
TCONS_00026655.p1	STRPU_10431
TCONS_00006749.p1	STRPU_14389
TCONS_00018248.p1	STRPU_24202
TCONS_00048994.p1	STRPU_01938
TCONS_00014168.p1	STRPU_00920
TCONS_00002645.p1	STRPU_24034
TCONS_00012488.p1	STRPU_17619
TCONS_00013464.p1	STRPU_08741
TCONS_00027054.p1	STRPU_10385
TCONS_00002591.p1	STRPU_25132
TCONS_00025042.p1	STRPU_00637
TCONS_00055307.p1	STRPU_02436
TCONS_00026932.p1	STRPU_09687
TCONS_00019059.p1	STRPU_15416
TCONS_00012628.p1	STRPU_08667
TCONS_00013596.p1	STRPU_26982
TCONS_00021685.p1	STRPU_06345
TCONS_00026505.p1	STRPU_09567
TCONS_00007178.p1	STRPU_26084
TCONS_00049634.p1	STRPU_22389
TCONS_00015836.p1	STRPU_23811
TCONS_00011682.p1	STRPU_20497
TCONS_00044061.p1	STRPU_04966
TCONS_00055592.p1	STRPU_01586
TCONS_00008145.p1	STRPU_26022
TCONS_00022810.p1	STRPU_06239
TCONS_00021952.p1	STRPU_06805
TCONS_00029725.p1	STRPU_27120
TCONS_00029292.p1	STRPU_27377
TCONS_00003010.p1	STRPU_25026
TCONS_00009175.p1	STRPU_25468
TCONS_00057308.p1	STRPU_13483
TCONS_00025579.p1	STRPU_12072
TCONS_00050227.p1	STRPU_09012
TCONS_00029011.p1	STRPU_27066
TCONS_00004626.p1	STRPU_23309
TCONS_00016604.p1	STRPU_15696
TCONS_00037981.p1	STRPU_01311
TCONS_00051127.p1	STRPU_10672
TCONS_00030935.p1	STRPU_04849
TCONS_00003682.p1	STRPU_24982
TCONS_00021347.p1	STRPU_06389
TCONS_00006396.p1	STRPU_15459
TCONS_00008035.p1	STRPU_25726
TCONS_00013362.p1	STRPU_08867
TCONS_00052193.p1	STRPU_10965
TCONS_00015343.p1	STRPU_20073
TCONS_00016955.p1	STRPU_24291
TCONS_00016132.p1	STRPU_19457
TCONS_00019348.p1	STRPU_22458
TCONS_00040954.p1	STRPU_15801
TCONS_00033554.p1	STRPU_23495
TCONS_00052705.p1	STRPU_19068
TCONS_00000340.p1	STRPU_17742
TCONS_00007411.p1	STRPU_25229
TCONS_00014293.p1	STRPU_00977
TCONS_00030417.p1	STRPU_04181
TCONS_00050672.p1	STRPU_10950
TCONS_00027464.p1	STRPU_22497
TCONS_00014970.p1	STRPU_19765
TCONS_00051889.p1	STRPU_11251
TCONS_00027280.p1	STRPU_17328
TCONS_00025232.p1	STRPU_12615
TCONS_00044148.p1	STRPU_05001
TCONS_00013428.p1	STRPU_08094
TCONS_00011485.p1	STRPU_20823
TCONS_00015544.p1	STRPU_15853
TCONS_00005265.p1	STRPU_14392
TCONS_00016116.p1	STRPU_20359
TCONS_00011489.p1	STRPU_21069
TCONS_00048049.p1	STRPU_23293
TCONS_00012613.p1	STRPU_08469
TCONS_00006093.p1	STRPU_14798
TCONS_00042471.p1	STRPU_05264
TCONS_00005623.p2	STRPU_15428
TCONS_00042304.p1	STRPU_05637
TCONS_00049424.p1	STRPU_00548
TCONS_00042671.p1	STRPU_05241
TCONS_00003805.p1	STRPU_25116
TCONS_00021677.p1	STRPU_21782
TCONS_00055300.p1	STRPU_17792
TCONS_00055968.p1	STRPU_13437
TCONS_00007207.p1	STRPU_25775
TCONS_00016678.p1	STRPU_19639
TCONS_00015300.p1	STRPU_02573
TCONS_00004488.p1	STRPU_21813
TCONS_00014954.p1	STRPU_19745
TCONS_00028157.p1	STRPU_26602
TCONS_00029198.p1	STRPU_26955
TCONS_00018971.p1	STRPU_22613
TCONS_00006882.p1	STRPU_14214
TCONS_00009739.p1	STRPU_20804
TCONS_00044551.p1	STRPU_01077
TCONS_00005098.p1	STRPU_14596
TCONS_00015875.p1	STRPU_19779
TCONS_00010742.p1	STRPU_21005
TCONS_00057019.p1	STRPU_13466
TCONS_00008071.p1	STRPU_25925
TCONS_00042428.p1	STRPU_05587
TCONS_00027559.p1	STRPU_09522
TCONS_00042741.p1	STRPU_15003
TCONS_00027108.p1	STRPU_10043
TCONS_00003570.p1	STRPU_25196
TCONS_00049713.p1	STRPU_22715
TCONS_00025570.p1	STRPU_12944
TCONS_00028119.p1	STRPU_26996
TCONS_00021228.p1	STRPU_11468
TCONS_00011661.p1	STRPU_21837
TCONS_00030224.p1	STRPU_04027
TCONS_00012561.p1	STRPU_08381
TCONS_00012633.p1	STRPU_09103
TCONS_00044700.p1	STRPU_07456
TCONS_00002780.p1	STRPU_24168
TCONS_00031431.p1	STRPU_04862
TCONS_00050642.p1	STRPU_11446
TCONS_00048913.p1	STRPU_23521
TCONS_00024890.p1	STRPU_12911
TCONS_00004803.p1	STRPU_15150
TCONS_00055790.p1	STRPU_16716
TCONS_00042001.p1	STRPU_05573
TCONS_00005101.p1	STRPU_14169
TCONS_00009692.p1	STRPU_21049
TCONS_00042851.p1	STRPU_00054
TCONS_00005372.p1	STRPU_15274
TCONS_00007590.p1	STRPU_25878
TCONS_00018563.p1	STRPU_18535
TCONS_00023827.p1	STRPU_12763
TCONS_00049238.p1	STRPU_10938
TCONS_00008087.p1	STRPU_25410
TCONS_00054905.p1	STRPU_14124
TCONS_00055620.p1	STRPU_23299
TCONS_00023853.p1	STRPU_12616
TCONS_00027137.p1	STRPU_09571
TCONS_00018259.p1	STRPU_01069
TCONS_00013331.p1	STRPU_08592
TCONS_00024795.p1	STRPU_00634
TCONS_00028409.p1	STRPU_27018
TCONS_00001480.p1	STRPU_17399
TCONS_00055454.p1	STRPU_00446
TCONS_00024039.p1	STRPU_25567
TCONS_00018639.p1	STRPU_24842
TCONS_00010304.p1	STRPU_21038
TCONS_00001339.p1	STRPU_18116
TCONS_00049152.p1	STRPU_01899
TCONS_00041154.p1	STRPU_14303
TCONS_00045666.p1	STRPU_07111
TCONS_00012295.p1	STRPU_08209
TCONS_00012407.p1	STRPU_17872
TCONS_00003736.p1	STRPU_24916
TCONS_00020795.p1	STRPU_21970
TCONS_00053178.p1	STRPU_19337
TCONS_00056531.p1	STRPU_25950
TCONS_00002867.p1	STRPU_07851
TCONS_00019433.p1	STRPU_23242
TCONS_00045856.p1	STRPU_26450
TCONS_00020688.p1	STRPU_00644
TCONS_00001102.p1	STRPU_23224
TCONS_00012303.p1	STRPU_08376
TCONS_00011695.p1	STRPU_20990
TCONS_00011878.p1	STRPU_21449
TCONS_00020700.p1	STRPU_25673
TCONS_00009301.p1	STRPU_26462
TCONS_00000118.p1	STRPU_17940
TCONS_00003884.p1	STRPU_21523
TCONS_00047615.p1	STRPU_23317
TCONS_00021789.p1	STRPU_06078
TCONS_00048987.p1	STRPU_00639
TCONS_00047694.p1	STRPU_00987
TCONS_00047550.p1	STRPU_23357
TCONS_00052949.p1	STRPU_18796
TCONS_00039538.p1	STRPU_03731
TCONS_00054766.p1	STRPU_06425
TCONS_00011290.p1	STRPU_21587
TCONS_00030837.p1	STRPU_04730
TCONS_00011656.p1	STRPU_21593
TCONS_00004021.p1	STRPU_01055
TCONS_00050099.p1	STRPU_11202
TCONS_00053428.p1	STRPU_19111
TCONS_00034719.p1	STRPU_04682
TCONS_00055071.p1	STRPU_14100
TCONS_00028405.p1	STRPU_26345
TCONS_00026487.p1	STRPU_09982
TCONS_00004896.p1	STRPU_15216
TCONS_00035405.p1	STRPU_20312
TCONS_00043610.p1	STRPU_05722
TCONS_00009582.p1	STRPU_20962
TCONS_00019992.p1	STRPU_22081
TCONS_00022867.p1	STRPU_06725
TCONS_00052964.p1	STRPU_18517
TCONS_00026632.p1	STRPU_09833
TCONS_00048306.p1	STRPU_23261
TCONS_00005245.p1	STRPU_00058
TCONS_00004484.p1	STRPU_21743
TCONS_00042906.p1	STRPU_01779
TCONS_00053193.p1	STRPU_18165
TCONS_00030348.p1	STRPU_04294
TCONS_00041936.p1	STRPU_05462
TCONS_00051483.p1	STRPU_10446
TCONS_00017004.p1	STRPU_24474
TCONS_00000189.p1	STRPU_18032
TCONS_00055290.p1	STRPU_13208
TCONS_00020365.p1	STRPU_01009
TCONS_00053917.p1	STRPU_18652
TCONS_00006483.p1	STRPU_02248
TCONS_00007558.p1	STRPU_26076
TCONS_00010386.p1	STRPU_20648
TCONS_00028151.p1	STRPU_27283
TCONS_00032733.p1	STRPU_23493
TCONS_00029035.p1	STRPU_26812
TCONS_00012814.p1	STRPU_09292
TCONS_00044004.p1	STRPU_04944
TCONS_00017767.p1	STRPU_02991
TCONS_00003137.p1	STRPU_24576
TCONS_00042907.p1	STRPU_05291
TCONS_00033662.p1	STRPU_22016
TCONS_00041657.p1	STRPU_05338
TCONS_00006521.p1	STRPU_15384
TCONS_00001656.p1	STRPU_17437
TCONS_00031319.p1	STRPU_04684
TCONS_00037873.p1	STRPU_13201
TCONS_00053724.p1	STRPU_18479
TCONS_00010548.p1	STRPU_20969
TCONS_00030781.p1	STRPU_04457
TCONS_00029203.p1	STRPU_26497
TCONS_00043944.p1	STRPU_05074
TCONS_00038300.p1	STRPU_02711
TCONS_00056691.p1	STRPU_02442
TCONS_00021309.p1	STRPU_07000
TCONS_00016939.p1	STRPU_24067
TCONS_00013387.p1	STRPU_09912
TCONS_00005999.p1	STRPU_23580
TCONS_00043367.p1	STRPU_05346
TCONS_00020817.p1	STRPU_22439
TCONS_00051728.p1	STRPU_11404
TCONS_00008605.p1	STRPU_25580
TCONS_00054495.p1	STRPU_18947
TCONS_00049669.p1	STRPU_22767
TCONS_00017224.p1	STRPU_24313
TCONS_00055299.p1	STRPU_13749
TCONS_00022590.p1	STRPU_06157
TCONS_00013040.p1	STRPU_08424
TCONS_00050813.p1	STRPU_11068
TCONS_00035723.p1	STRPU_03452
TCONS_00052977.p1	STRPU_19183
TCONS_00025199.p1	STRPU_12836
TCONS_00001826.p1	STRPU_17508
TCONS_00003040.p1	STRPU_10187
TCONS_00051025.p1	STRPU_11508
TCONS_00042092.p1	STRPU_04994
TCONS_00006413.p1	STRPU_14482
TCONS_00029445.p1	STRPU_27352
TCONS_00020164.p1	STRPU_22896
TCONS_00005633.p1	STRPU_14747
TCONS_00048807.p1	STRPU_22008
TCONS_00023204.p1	STRPU_12344
TCONS_00017572.p1	STRPU_24835
TCONS_00054291.p1	STRPU_18849
TCONS_00053213.p1	STRPU_19304
TCONS_00044196.p1	STRPU_05208
TCONS_00022901.p1	STRPU_06258
TCONS_00053525.p1	STRPU_18691
TCONS_00016683.p1	STRPU_19686
TCONS_00021858.p1	STRPU_06356
TCONS_00012127.p1	STRPU_20992
TCONS_00048452.p1	STRPU_23497
TCONS_00022131.p1	STRPU_09547
TCONS_00051895.p1	STRPU_10629
TCONS_00018305.p1	STRPU_24559
TCONS_00036881.p1	STRPU_12297
TCONS_00002546.p1	STRPU_25198
TCONS_00026768.p1	STRPU_10082
TCONS_00012174.p1	STRPU_21329
TCONS_00011044.p1	STRPU_21287
TCONS_00029164.p1	STRPU_26814
TCONS_00041619.p1	STRPU_05131
TCONS_00055826.p1	STRPU_16699
TCONS_00003457.p1	STRPU_25017
TCONS_00005696.p1	STRPU_15415
TCONS_00026721.p1	STRPU_09301
TCONS_00006551.p1	STRPU_15423
TCONS_00004027.p1	STRPU_24086
TCONS_00054996.p1	STRPU_16537
TCONS_00055666.p1	STRPU_13962
TCONS_00002167.p1	STRPU_17333
TCONS_00008480.p1	STRPU_09072
TCONS_00000577.p1	STRPU_17265
TCONS_00003618.p1	STRPU_25155
TCONS_00044646.p1	STRPU_15515
TCONS_00009042.p1	STRPU_25601
TCONS_00045404.p1	STRPU_07362
TCONS_00044544.p1	STRPU_23388
TCONS_00053299.p1	STRPU_18384
TCONS_00030778.p1	STRPU_04465
TCONS_00009534.p1	STRPU_20802
TCONS_00037318.p1	STRPU_11869
TCONS_00019123.p1	STRPU_22609
TCONS_00029673.p1	STRPU_26807
TCONS_00050895.p1	STRPU_10702
TCONS_00016340.p1	STRPU_20344
TCONS_00019026.p1	STRPU_22256
TCONS_00005070.p1	STRPU_14676
TCONS_00048196.p1	STRPU_23318
TCONS_00028993.p1	STRPU_27388
TCONS_00056543.p1	STRPU_14117
TCONS_00011023.p1	STRPU_21388
TCONS_00014647.p1	STRPU_20291
TCONS_00002285.p1	STRPU_17464
TCONS_00003543.p1	STRPU_20878
TCONS_00004598.p1	STRPU_14729
TCONS_00011702.p1	STRPU_20988
TCONS_00022205.p1	STRPU_05939
TCONS_00026173.p1	STRPU_10125
TCONS_00026441.p1	STRPU_00188
TCONS_00032791.p1	STRPU_22133
TCONS_00048912.p1	STRPU_23517
TCONS_00016900.p1	STRPU_24838
TCONS_00019529.p1	STRPU_23269
TCONS_00051180.p1	STRPU_10824
TCONS_00046568.p1	STRPU_00569
TCONS_00043599.p1	STRPU_08533
TCONS_00024571.p1	STRPU_12729
TCONS_00013177.p1	STRPU_08673
TCONS_00010074.p1	STRPU_26976
