TCONS_00000004.p1	STRPU_14737
TCONS_00000367.p1	STRPU_07470
TCONS_00000371.p1	STRPU_17395
TCONS_00000372.p1	STRPU_23155
TCONS_00000373.p1	STRPU_01329
TCONS_00000375.p1	STRPU_23155
TCONS_00000376.p1	STRPU_07556
TCONS_00000377.p1	STRPU_04534
TCONS_00000379.p1	STRPU_04523
TCONS_00000382.p1	STRPU_17399
TCONS_00000383.p1	STRPU_23566
TCONS_00000387.p1	STRPU_21867
TCONS_00000388.p1	STRPU_21867
TCONS_00000389.p1	STRPU_02418
TCONS_00000390.p1	STRPU_21867
TCONS_00000391.p1	STRPU_12789
TCONS_00000392.p1	STRPU_22731
TCONS_00000393.p1	STRPU_13989
TCONS_00000394.p1	STRPU_21867
TCONS_00000395.p1	STRPU_17360
TCONS_00000403.p1	STRPU_17962
TCONS_00000406.p1	STRPU_17394
TCONS_00000407.p1	STRPU_15990
TCONS_00000408.p1	STRPU_17753
TCONS_00000409.p1	STRPU_17544
TCONS_00000410.p1	STRPU_23731
TCONS_00000411.p1	STRPU_23732
TCONS_00000412.p1	STRPU_11559
TCONS_00000413.p1	STRPU_23015
TCONS_00000414.p1	STRPU_17413
TCONS_00000415.p1	STRPU_02547
TCONS_00000417.p1	STRPU_16731
TCONS_00000418.p1	STRPU_16374
TCONS_00000419.p1	STRPU_02547
TCONS_00000420.p1	STRPU_02547
TCONS_00000421.p1	STRPU_02547
TCONS_00000422.p1	STRPU_16720
TCONS_00000423.p1	STRPU_17666
TCONS_00000424.p1	STRPU_27382
TCONS_00000425.p1	STRPU_17752
TCONS_00000426.p1	STRPU_17290
TCONS_00000428.p1	STRPU_17542
TCONS_00000429.p1	STRPU_17542
TCONS_00000430.p1	STRPU_10195
TCONS_00000431.p1	STRPU_17755
TCONS_00000434.p1	STRPU_16875
TCONS_00000440.p1	STRPU_08327
TCONS_00000443.p1	STRPU_13141
TCONS_00000445.p1	STRPU_08327
TCONS_00000446.p1	STRPU_13141
TCONS_00000448.p1	STRPU_04780
TCONS_00000449.p1	STRPU_04780
TCONS_00000451.p1	STRPU_08327
TCONS_00000452.p1	STRPU_04780
TCONS_00000453.p1	STRPU_00107
TCONS_00000454.p1	STRPU_07726
TCONS_00000459.p1	STRPU_08327
TCONS_00000460.p1	STRPU_26396
TCONS_00000461.p1	STRPU_13162
TCONS_00000463.p1	STRPU_03077
TCONS_00000464.p1	STRPU_03211
TCONS_00000467.p1	STRPU_11730
TCONS_00000469.p1	STRPU_22218
TCONS_00000470.p1	STRPU_26038
TCONS_00000473.p1	STRPU_05100
TCONS_00000475.p1	STRPU_10055
TCONS_00000478.p1	STRPU_17935
TCONS_00000480.p1	STRPU_03353
TCONS_00000482.p1	STRPU_05453
TCONS_00000491.p1	STRPU_17038
TCONS_00000492.p1	STRPU_17435
TCONS_00000493.p1	STRPU_17680
TCONS_00000495.p1	STRPU_17130
TCONS_00000496.p1	STRPU_17129
TCONS_00000497.p1	STRPU_17129
TCONS_00000499.p1	STRPU_17286
TCONS_00000504.p1	STRPU_17284
TCONS_00000505.p1	STRPU_17286
TCONS_00000506.p1	STRPU_17286
TCONS_00000507.p1	STRPU_17286
TCONS_00000511.p1	STRPU_18045
TCONS_00000512.p1	STRPU_16987
TCONS_00000515.p1	STRPU_16986
TCONS_00000518.p1	STRPU_16984
TCONS_00000523.p1	STRPU_17419
TCONS_00000524.p1	STRPU_17295
TCONS_00000530.p1	STRPU_17760
TCONS_00000531.p1	STRPU_10828
TCONS_00000532.p1	STRPU_10486
TCONS_00000533.p1	STRPU_17760
TCONS_00000534.p1	STRPU_10486
TCONS_00000535.p1	STRPU_17760
TCONS_00000539.p1	STRPU_14516
TCONS_00000544.p1	STRPU_00270
TCONS_00000546.p1	STRPU_24344
TCONS_00000548.p1	STRPU_19328
TCONS_00000549.p1	STRPU_03859
TCONS_00000550.p1	STRPU_08316
TCONS_00000558.p1	STRPU_25571
TCONS_00000559.p1	STRPU_26895
TCONS_00000560.p1	STRPU_08316
TCONS_00000564.p1	STRPU_01438
TCONS_00000565.p1	STRPU_24344
TCONS_00000569.p1	STRPU_08316
TCONS_00000570.p1	STRPU_13954
TCONS_00000571.p1	STRPU_27092
TCONS_00000572.p1	STRPU_20150
TCONS_00000575.p1	STRPU_17292
TCONS_00000577.p1	STRPU_17265
TCONS_00000579.p1	STRPU_18104
TCONS_00000580.p1	STRPU_21206
TCONS_00000584.p1	STRPU_17089
TCONS_00000585.p1	STRPU_17774
TCONS_00000589.p1	STRPU_17293
TCONS_00000591.p1	STRPU_18054
TCONS_00000594.p1	STRPU_17749
TCONS_00000595.p1	STRPU_17154
TCONS_00000598.p1	STRPU_17156
TCONS_00000600.p1	STRPU_16891
TCONS_00000601.p1	STRPU_17093
TCONS_00000603.p1	STRPU_21718
TCONS_00000609.p1	STRPU_19021
TCONS_00000611.p1	STRPU_03970
TCONS_00000613.p1	STRPU_14347
TCONS_00000614.p1	STRPU_17935
TCONS_00000615.p1	STRPU_02291
TCONS_00000616.p1	STRPU_17935
TCONS_00000617.p1	STRPU_18029
TCONS_00000623.p1	STRPU_00766
TCONS_00000627.p1	STRPU_09312
TCONS_00000629.p1	STRPU_12724
TCONS_00000630.p1	STRPU_11193
TCONS_00000631.p1	STRPU_12724
TCONS_00000632.p1	STRPU_11193
TCONS_00000635.p1	STRPU_17355
TCONS_00000636.p1	STRPU_17761
TCONS_00000637.p1	STRPU_17171
TCONS_00000638.p1	STRPU_17530
TCONS_00000640.p1	STRPU_17170
TCONS_00000643.p1	STRPU_26879
TCONS_00000645.p1	STRPU_17391
TCONS_00000650.p1	STRPU_04152
TCONS_00000651.p1	STRPU_06056
TCONS_00000653.p1	STRPU_06056
TCONS_00000654.p1	STRPU_15528
TCONS_00000655.p1	STRPU_01808
TCONS_00000659.p1	STRPU_17470
TCONS_00000661.p1	STRPU_21982
TCONS_00000662.p1	STRPU_23726
TCONS_00000663.p1	STRPU_13977
TCONS_00000665.p1	STRPU_05703
TCONS_00000667.p1	STRPU_10596
TCONS_00000668.p1	STRPU_10596
TCONS_00000669.p1	STRPU_24377
TCONS_00000670.p1	STRPU_10596
TCONS_00000672.p1	STRPU_01277
TCONS_00000673.p1	STRPU_08826
TCONS_00000674.p1	STRPU_10596
TCONS_00000676.p1	STRPU_02547
TCONS_00000678.p1	STRPU_02547
TCONS_00000679.p1	STRPU_02547
TCONS_00000681.p1	STRPU_25376
TCONS_00000684.p1	STRPU_17534
TCONS_00000689.p1	STRPU_17447
TCONS_00000690.p1	STRPU_17446
TCONS_00000693.p1	STRPU_14670
TCONS_00000694.p1	STRPU_03523
TCONS_00000695.p1	STRPU_14670
TCONS_00000697.p1	STRPU_17453
TCONS_00000698.p1	STRPU_03970
TCONS_00000700.p1	STRPU_03970
TCONS_00000703.p1	STRPU_09734
TCONS_00000704.p1	STRPU_02309
TCONS_00000705.p1	STRPU_17935
TCONS_00000706.p1	STRPU_18029
TCONS_00000707.p1	STRPU_17935
TCONS_00000708.p1	STRPU_17935
TCONS_00000709.p1	STRPU_17935
TCONS_00000710.p1	STRPU_02291
TCONS_00000711.p1	STRPU_08775
TCONS_00000712.p1	STRPU_14524
TCONS_00000713.p1	STRPU_19590
TCONS_00000715.p1	STRPU_03687
TCONS_00000716.p1	STRPU_03687
TCONS_00000717.p1	STRPU_03687
TCONS_00000718.p1	STRPU_22615
TCONS_00000719.p1	STRPU_22615
TCONS_00000720.p1	STRPU_03687
TCONS_00000721.p1	STRPU_03687
TCONS_00000722.p1	STRPU_03687
TCONS_00000726.p1	STRPU_23726
TCONS_00000727.p1	STRPU_17159
TCONS_00000728.p1	STRPU_08551
TCONS_00000729.p1	STRPU_17945
TCONS_00000730.p1	STRPU_02821
TCONS_00000733.p1	STRPU_24324
TCONS_00000735.p1	STRPU_08316
TCONS_00000738.p1	STRPU_16981
TCONS_00000740.p1	STRPU_20881
TCONS_00000742.p1	STRPU_17671
TCONS_00000749.p1	STRPU_16901
TCONS_00000750.p1	STRPU_02013
TCONS_00000760.p1	STRPU_02117
TCONS_00000762.p1	STRPU_17935
TCONS_00000763.p1	STRPU_17935
TCONS_00000765.p1	STRPU_27034
TCONS_00000770.p1	STRPU_26086
TCONS_00000771.p1	STRPU_27034
TCONS_00000772.p1	STRPU_26397
TCONS_00000773.p1	STRPU_17684
TCONS_00000774.p1	STRPU_17332
TCONS_00000777.p1	STRPU_22651
TCONS_00000778.p1	STRPU_12724
TCONS_00000779.p1	STRPU_05775
TCONS_00000780.p1	STRPU_18014
TCONS_00000786.p1	STRPU_17773
TCONS_00000787.p1	STRPU_17773
TCONS_00000788.p1	STRPU_20881
TCONS_00000789.p1	STRPU_19554
TCONS_00000790.p1	STRPU_10450
TCONS_00000791.p1	STRPU_24114
TCONS_00000794.p1	STRPU_08270
TCONS_00000795.p1	STRPU_17773
TCONS_00000797.p1	STRPU_17773
TCONS_00000799.p1	STRPU_02511
TCONS_00000800.p1	STRPU_16971
TCONS_00000805.p1	STRPU_17776
TCONS_00000806.p1	STRPU_23932
TCONS_00000807.p1	STRPU_23957
TCONS_00000808.p1	STRPU_23932
TCONS_00000810.p1	STRPU_23932
TCONS_00000811.p1	STRPU_23932
TCONS_00000813.p1	STRPU_23932
TCONS_00000815.p1	STRPU_16890
TCONS_00000816.p1	STRPU_23932
TCONS_00000817.p1	STRPU_02547
TCONS_00000818.p1	STRPU_02547
TCONS_00000819.p1	STRPU_02547
TCONS_00000820.p1	STRPU_17456
TCONS_00000822.p1	STRPU_23957
TCONS_00000823.p1	STRPU_23958
TCONS_00000824.p1	STRPU_07500
TCONS_00000826.p1	STRPU_02548
TCONS_00000827.p1	STRPU_23932
TCONS_00000830.p1	STRPU_23932
TCONS_00000831.p1	STRPU_17328
TCONS_00000832.p1	STRPU_17328
TCONS_00000834.p1	STRPU_10359
TCONS_00000838.p1	STRPU_18033
TCONS_00000839.p1	STRPU_18035
TCONS_00000842.p1	STRPU_15438
TCONS_00000843.p1	STRPU_15437
TCONS_00000844.p1	STRPU_15437
TCONS_00000845.p1	STRPU_10359
TCONS_00000846.p1	STRPU_10359
TCONS_00000847.p1	STRPU_18033
TCONS_00000848.p1	STRPU_18035
TCONS_00000849.p1	STRPU_15438
TCONS_00000850.p1	STRPU_15437
TCONS_00000851.p1	STRPU_15437
TCONS_00000852.p1	STRPU_17423
TCONS_00000853.p1	STRPU_17361
TCONS_00000854.p1	STRPU_17479
TCONS_00000855.p1	STRPU_17892
TCONS_00000859.p1	STRPU_00092
TCONS_00000860.p1	STRPU_21238
TCONS_00000862.p1	STRPU_16293
TCONS_00000863.p1	STRPU_22139
TCONS_00000865.p1	STRPU_17777
TCONS_00000867.p1	STRPU_17755
TCONS_00000868.p1	STRPU_18070
TCONS_00000870.p1	STRPU_18069
TCONS_00000875.p1	STRPU_14799
TCONS_00000877.p1	STRPU_17036
TCONS_00000878.p1	STRPU_10195
TCONS_00000880.p1	STRPU_10360
TCONS_00000885.p1	STRPU_17838
TCONS_00000886.p1	STRPU_25350
TCONS_00000887.p1	STRPU_17881
TCONS_00000888.p1	STRPU_17589
TCONS_00000889.p1	STRPU_18122
TCONS_00000890.p1	STRPU_10620
TCONS_00000892.p1	STRPU_17491
TCONS_00000893.p1	STRPU_17491
TCONS_00000895.p1	STRPU_17032
TCONS_00000896.p1	STRPU_17032
TCONS_00000900.p1	STRPU_21236
TCONS_00000901.p1	STRPU_17097
TCONS_00000902.p1	STRPU_13977
TCONS_00000903.p1	STRPU_20342
TCONS_00000905.p1	STRPU_17233
TCONS_00000909.p1	STRPU_17385
TCONS_00000914.p1	STRPU_06585
TCONS_00000920.p1	STRPU_17672
TCONS_00000925.p1	STRPU_17153
TCONS_00000926.p1	STRPU_18068
TCONS_00000927.p1	STRPU_01759
TCONS_00000928.p1	STRPU_18009
TCONS_00000929.p1	STRPU_26371
TCONS_00000930.p1	STRPU_03674
TCONS_00000933.p1	STRPU_04921
TCONS_00000935.p1	STRPU_17672
TCONS_00000936.p1	STRPU_02013
TCONS_00000938.p1	STRPU_17153
TCONS_00000940.p1	STRPU_18068
TCONS_00000946.p1	STRPU_18009
TCONS_00000948.p1	STRPU_26374
TCONS_00000949.p1	STRPU_03674
TCONS_00000950.p1	STRPU_21773
TCONS_00000951.p1	STRPU_26089
TCONS_00000952.p1	STRPU_06425
TCONS_00000953.p1	STRPU_26089
TCONS_00000954.p1	STRPU_26089
TCONS_00000956.p1	STRPU_10061
TCONS_00000957.p1	STRPU_26451
TCONS_00000958.p1	STRPU_26451
TCONS_00000960.p1	STRPU_17743
TCONS_00000969.p1	STRPU_17301
TCONS_00000976.p1	STRPU_01778
TCONS_00000978.p1	STRPU_17425
TCONS_00000980.p1	STRPU_17910
TCONS_00000981.p1	STRPU_17373
TCONS_00000982.p1	STRPU_25374
TCONS_00000983.p1	STRPU_17586
TCONS_00000984.p1	STRPU_19345
TCONS_00000988.p1	STRPU_15408
TCONS_00000991.p1	STRPU_17528
TCONS_00000994.p1	STRPU_17107
TCONS_00000996.p1	STRPU_17687
TCONS_00000999.p1	STRPU_17194
TCONS_00001002.p1	STRPU_17151
TCONS_00001004.p1	STRPU_17513
TCONS_00001005.p1	STRPU_06432
TCONS_00001008.p1	STRPU_15801
TCONS_00001010.p1	STRPU_16608
TCONS_00001011.p1	STRPU_25941
TCONS_00001012.p1	STRPU_00574
TCONS_00001015.p1	STRPU_17618
TCONS_00001016.p1	STRPU_17487
TCONS_00001019.p1	STRPU_16949
TCONS_00001020.p1	STRPU_01785
TCONS_00001021.p1	STRPU_17417
TCONS_00001022.p1	STRPU_16731
TCONS_00001024.p1	STRPU_15801
TCONS_00001025.p1	STRPU_17936
TCONS_00001028.p1	STRPU_24726
TCONS_00001032.p1	STRPU_24726
TCONS_00001033.p1	STRPU_24031
TCONS_00001034.p1	STRPU_19842
TCONS_00001039.p1	STRPU_06656
TCONS_00001041.p1	STRPU_17620
TCONS_00001044.p1	STRPU_23080
TCONS_00001048.p1	STRPU_27006
TCONS_00001049.p1	STRPU_17832
TCONS_00001051.p1	STRPU_17426
TCONS_00001055.p1	STRPU_14670
TCONS_00001056.p1	STRPU_14670
TCONS_00001057.p1	STRPU_14670
TCONS_00001058.p1	STRPU_27034
TCONS_00001059.p1	STRPU_03523
TCONS_00001060.p1	STRPU_14670
TCONS_00001061.p1	STRPU_17827
TCONS_00001062.p1	STRPU_26397
TCONS_00001066.p1	STRPU_01860
TCONS_00001067.p1	STRPU_01860
TCONS_00001069.p1	STRPU_13003
TCONS_00001070.p1	STRPU_14670
TCONS_00001072.p1	STRPU_09200
TCONS_00001074.p1	STRPU_14670
TCONS_00001075.p1	STRPU_17125
TCONS_00001078.p1	STRPU_17199
TCONS_00001080.p1	STRPU_17199
TCONS_00001082.p1	STRPU_21867
TCONS_00001084.p1	STRPU_13003
TCONS_00001085.p1	STRPU_17445
TCONS_00001087.p1	STRPU_17769
TCONS_00001088.p1	STRPU_01795
TCONS_00001089.p1	STRPU_16706
TCONS_00001090.p1	STRPU_17934
TCONS_00001091.p1	STRPU_17545
TCONS_00001096.p1	STRPU_17469
TCONS_00001097.p1	STRPU_17764
TCONS_00001098.p1	STRPU_17382
TCONS_00001099.p1	STRPU_14670
TCONS_00001101.p1	STRPU_13018
TCONS_00001102.p1	STRPU_23224
TCONS_00001103.p1	STRPU_17673
TCONS_00001109.p1	STRPU_17059
TCONS_00001111.p1	STRPU_17942
TCONS_00001112.p1	STRPU_13058
TCONS_00001115.p1	STRPU_17838
TCONS_00001118.p1	STRPU_17838
TCONS_00001123.p1	STRPU_17449
TCONS_00001125.p1	STRPU_17046
TCONS_00001126.p1	STRPU_04159
TCONS_00001127.p1	STRPU_21570
TCONS_00001128.p1	STRPU_17517
TCONS_00001132.p1	STRPU_17099
TCONS_00001133.p1	STRPU_17420
TCONS_00001135.p1	STRPU_16899
TCONS_00001137.p1	STRPU_17588
TCONS_00001138.p1	STRPU_17562
TCONS_00001141.p1	STRPU_17842
TCONS_00001144.p1	STRPU_16720
TCONS_00001145.p1	STRPU_17220
TCONS_00001146.p1	STRPU_16277
TCONS_00001147.p1	STRPU_23724
TCONS_00001148.p1	STRPU_01177
TCONS_00001149.p1	STRPU_16221
TCONS_00001150.p1	STRPU_04892
TCONS_00001151.p1	STRPU_23138
TCONS_00001152.p1	STRPU_16988
TCONS_00001154.p1	STRPU_24900
TCONS_00001155.p1	STRPU_18329
TCONS_00001157.p1	STRPU_04892
TCONS_00001159.p1	STRPU_16988
TCONS_00001161.p1	STRPU_17281
TCONS_00001162.p1	STRPU_24946
TCONS_00001165.p1	STRPU_17895
TCONS_00001168.p1	STRPU_07195
TCONS_00001169.p1	STRPU_17655
TCONS_00001170.p1	STRPU_05964
TCONS_00001171.p1	STRPU_17075
TCONS_00001172.p1	STRPU_12925
TCONS_00001174.p1	STRPU_17082
TCONS_00001175.p1	STRPU_17640
TCONS_00001177.p1	STRPU_17033
TCONS_00001178.p1	STRPU_16945
TCONS_00001179.p1	STRPU_17569
TCONS_00001181.p1	STRPU_18099
TCONS_00001182.p1	STRPU_17797
TCONS_00001186.p1	STRPU_17078
TCONS_00001187.p1	STRPU_17640
TCONS_00001188.p1	STRPU_17033
TCONS_00001189.p1	STRPU_16945
TCONS_00001190.p1	STRPU_17569
TCONS_00001191.p1	STRPU_18099
TCONS_00001193.p1	STRPU_17797
TCONS_00001195.p1	STRPU_17796
TCONS_00001196.p1	STRPU_17186
TCONS_00001197.p1	STRPU_17207
TCONS_00001198.p1	STRPU_03843
TCONS_00001199.p1	STRPU_20917
TCONS_00001200.p1	STRPU_13158
TCONS_00001201.p1	STRPU_04408
TCONS_00001202.p1	STRPU_05293
TCONS_00001203.p1	STRPU_17537
TCONS_00001204.p1	STRPU_16731
TCONS_00001205.p1	STRPU_02262
TCONS_00001206.p1	STRPU_22619
TCONS_00001217.p1	STRPU_24412
TCONS_00001218.p1	STRPU_17049
TCONS_00001220.p1	STRPU_00160
TCONS_00001221.p1	STRPU_01277
TCONS_00001222.p1	STRPU_20698
TCONS_00001225.p1	STRPU_17601
TCONS_00001226.p1	STRPU_17083
TCONS_00001227.p1	STRPU_10223
TCONS_00001228.p1	STRPU_17083
TCONS_00001229.p1	STRPU_01685
TCONS_00001232.p1	STRPU_17978
TCONS_00001234.p1	STRPU_17228
TCONS_00001237.p1	STRPU_11946
TCONS_00001238.p1	STRPU_16995
TCONS_00001241.p1	STRPU_15743
TCONS_00001243.p1	STRPU_17474
TCONS_00001245.p1	STRPU_17166
TCONS_00001248.p1	STRPU_17167
TCONS_00001249.p1	STRPU_17458
TCONS_00001251.p1	STRPU_13234
TCONS_00001252.p1	STRPU_05859
TCONS_00001253.p1	STRPU_13222
TCONS_00001257.p1	STRPU_01274
TCONS_00001258.p1	STRPU_13496
TCONS_00001265.p1	STRPU_17811
TCONS_00001267.p1	STRPU_16997
TCONS_00001268.p1	STRPU_17667
TCONS_00001269.p1	STRPU_17938
TCONS_00001270.p1	STRPU_25029
TCONS_00001274.p1	STRPU_19878
TCONS_00001275.p1	STRPU_17041
TCONS_00001276.p1	STRPU_25425
TCONS_00001279.p1	STRPU_17470
TCONS_00001280.p1	STRPU_20580
TCONS_00001281.p1	STRPU_08814
TCONS_00001282.p1	STRPU_17232
TCONS_00001284.p1	STRPU_01816
TCONS_00001287.p1	STRPU_23779
TCONS_00001290.p1	STRPU_23777
TCONS_00001292.p1	STRPU_14670
TCONS_00001294.p1	STRPU_17935
TCONS_00001295.p1	STRPU_07683
TCONS_00001297.p1	STRPU_18115
TCONS_00001298.p1	STRPU_02313
TCONS_00001299.p1	STRPU_17272
TCONS_00001300.p1	STRPU_17935
TCONS_00001301.p1	STRPU_17935
TCONS_00001303.p1	STRPU_17224
TCONS_00001304.p1	STRPU_16892
TCONS_00001305.p1	STRPU_02253
TCONS_00001307.p1	STRPU_16893
TCONS_00001309.p1	STRPU_17002
TCONS_00001313.p1	STRPU_17879
TCONS_00001314.p1	STRPU_17877
TCONS_00001318.p1	STRPU_02477
TCONS_00001321.p1	STRPU_01815
TCONS_00001323.p1	STRPU_10714
TCONS_00001324.p1	STRPU_01811
TCONS_00001325.p1	STRPU_17047
TCONS_00001326.p1	STRPU_17047
TCONS_00001327.p1	STRPU_17047
TCONS_00001328.p1	STRPU_17603
TCONS_00001330.p1	STRPU_17603
TCONS_00001336.p1	STRPU_17906
TCONS_00001337.p1	STRPU_17639
TCONS_00001338.p1	STRPU_09734
TCONS_00001339.p1	STRPU_18116
TCONS_00001343.p1	STRPU_17793
TCONS_00001344.p1	STRPU_17791
TCONS_00001345.p1	STRPU_26288
TCONS_00001346.p1	STRPU_10123
TCONS_00001347.p1	STRPU_10296
TCONS_00001348.p1	STRPU_10295
TCONS_00001349.p1	STRPU_25342
TCONS_00001354.p1	STRPU_17524
TCONS_00001362.p1	STRPU_17272
TCONS_00001363.p1	STRPU_25036
TCONS_00001364.p1	STRPU_22000
TCONS_00001367.p1	STRPU_22000
TCONS_00001369.p1	STRPU_00270
TCONS_00001370.p1	STRPU_03177
TCONS_00001373.p1	STRPU_17935
TCONS_00001376.p1	STRPU_19526
TCONS_00001377.p1	STRPU_19526
TCONS_00001378.p1	STRPU_19526
TCONS_00001379.p1	STRPU_26583
TCONS_00001380.p1	STRPU_19526
TCONS_00001383.p1	STRPU_17878
TCONS_00001384.p1	STRPU_25158
