TCONS_00000001.p1	bflo_20824
TCONS_00000164.p1	bflo_04448
TCONS_00000165.p1	bflo_04457
TCONS_00000166.p1	bflo_04454
TCONS_00000169.p1	bflo_15231
TCONS_00000170.p1	bflo_04450
TCONS_00000172.p1	bflo_20981
TCONS_00000173.p1	bflo_17686
TCONS_00000174.p1	bflo_17543
TCONS_00000175.p1	bflo_05116
TCONS_00000177.p1	bflo_10762
TCONS_00000178.p1	bflo_14069
TCONS_00000180.p1	bflo_17865
TCONS_00000181.p1	bflo_18154
TCONS_00000185.p1	bflo_17350
TCONS_00000187.p1	bflo_17513
TCONS_00000188.p1	bflo_18362
TCONS_00000189.p1	bflo_18420
TCONS_00000190.p1	bflo_00568
TCONS_00000194.p4	bflo_05192
TCONS_00000195.p1	bflo_05068
TCONS_00000196.p1	bflo_17905
TCONS_00000197.p1	bflo_08461
TCONS_00000198.p1	bflo_06710
TCONS_00000199.p1	bflo_18119
TCONS_00000200.p1	bflo_17616
TCONS_00000201.p1	bflo_15838
TCONS_00000203.p1	bflo_00568
TCONS_00000204.p1	bflo_09459
TCONS_00000205.p1	bflo_07021
TCONS_00000206.p1	bflo_00504
TCONS_00000207.p1	bflo_00504
TCONS_00000211.p1	bflo_27422
TCONS_00000219.p1	bflo_18599
TCONS_00000236.p1	bflo_01345
TCONS_00000242.p1	bflo_19224
TCONS_00000252.p1	bflo_10752
TCONS_00000254.p1	bflo_17335
TCONS_00000259.p1	bflo_17807
TCONS_00000265.p1	bflo_04508
TCONS_00000267.p1	bflo_06741
TCONS_00000268.p1	bflo_14950
TCONS_00000270.p1	bflo_17634
TCONS_00000272.p1	bflo_17293
TCONS_00000274.p1	bflo_17584
TCONS_00000275.p1	bflo_09231
TCONS_00000278.p1	bflo_00594
TCONS_00000279.p1	bflo_22308
TCONS_00000282.p1	bflo_18157
TCONS_00000285.p1	bflo_18151
TCONS_00000287.p1	bflo_17407
TCONS_00000293.p1	bflo_01445
TCONS_00000295.p1	bflo_17956
TCONS_00000299.p1	bflo_17969
TCONS_00000300.p1	bflo_03088
TCONS_00000308.p1	bflo_17962
TCONS_00000311.p1	bflo_17474
TCONS_00000312.p1	bflo_18525
TCONS_00000316.p1	bflo_22331
TCONS_00000318.p1	bflo_21218
TCONS_00000320.p1	bflo_18450
TCONS_00000321.p1	bflo_18450
TCONS_00000322.p1	bflo_10752
TCONS_00000323.p1	bflo_04124
TCONS_00000324.p1	bflo_11940
TCONS_00000325.p1	bflo_02998
TCONS_00000327.p1	bflo_02998
TCONS_00000328.p1	bflo_05750
TCONS_00000329.p1	bflo_14910
TCONS_00000330.p1	bflo_23451
TCONS_00000334.p1	bflo_18391
TCONS_00000335.p1	bflo_03844
TCONS_00000336.p1	bflo_07749
TCONS_00000337.p1	bflo_07749
TCONS_00000338.p1	bflo_13970
TCONS_00000339.p1	bflo_15926
TCONS_00000340.p1	bflo_17742
TCONS_00000342.p1	bflo_18472
TCONS_00000343.p1	bflo_10557
TCONS_00000344.p1	bflo_15919
TCONS_00000345.p1	bflo_15919
TCONS_00000347.p1	bflo_26634
TCONS_00000348.p1	bflo_01538
TCONS_00000349.p1	bflo_25945
TCONS_00000351.p1	bflo_16450
TCONS_00000353.p1	bflo_18437
TCONS_00000354.p1	bflo_18437
TCONS_00000355.p1	bflo_18437
TCONS_00000357.p1	bflo_14977
TCONS_00000360.p1	bflo_13856
TCONS_00000361.p1	bflo_18417
TCONS_00000367.p1	bflo_17020
TCONS_00000370.p1	bflo_17987
TCONS_00000371.p1	bflo_17960
TCONS_00000372.p1	bflo_17788
TCONS_00000373.p1	bflo_17788
TCONS_00000375.p1	bflo_17788
TCONS_00000376.p1	bflo_06447
TCONS_00000377.p1	bflo_00538
TCONS_00000379.p1	bflo_00538
TCONS_00000382.p1	bflo_18450
TCONS_00000383.p1	bflo_27422
TCONS_00000387.p1	bflo_26130
TCONS_00000388.p1	bflo_26130
TCONS_00000389.p1	bflo_13715
TCONS_00000390.p1	bflo_13707
TCONS_00000391.p1	bflo_24144
TCONS_00000392.p1	bflo_23657
TCONS_00000393.p1	bflo_18344
TCONS_00000394.p1	bflo_25393
TCONS_00000395.p1	bflo_04334
TCONS_00000403.p1	bflo_04436
TCONS_00000406.p1	bflo_06683
TCONS_00000407.p1	bflo_10440
TCONS_00000408.p1	bflo_04338
TCONS_00000409.p1	bflo_17529
TCONS_00000410.p1	bflo_16371
TCONS_00000411.p1	bflo_18868
TCONS_00000412.p1	bflo_08634
TCONS_00000413.p1	bflo_08634
TCONS_00000414.p1	bflo_16371
TCONS_00000415.p1	bflo_01586
TCONS_00000417.p1	bflo_00081
TCONS_00000418.p1	bflo_15662
TCONS_00000419.p1	bflo_20809
TCONS_00000420.p1	bflo_00081
TCONS_00000421.p1	bflo_22273
TCONS_00000422.p1	bflo_22151
TCONS_00000423.p1	bflo_17546
TCONS_00000424.p1	bflo_04562
TCONS_00000425.p1	bflo_17518
TCONS_00000426.p1	bflo_17552
TCONS_00000428.p1	bflo_17621
TCONS_00000429.p1	bflo_17621
TCONS_00000430.p1	bflo_05116
TCONS_00000431.p1	bflo_04339
TCONS_00000434.p1	bflo_00610
TCONS_00000440.p1	bflo_15946
TCONS_00000443.p1	bflo_19991
TCONS_00000445.p1	bflo_21984
TCONS_00000446.p1	bflo_19991
TCONS_00000447.p1	bflo_09680
TCONS_00000448.p1	bflo_09676
TCONS_00000449.p1	bflo_15371
TCONS_00000451.p1	bflo_05106
TCONS_00000452.p1	bflo_09677
TCONS_00000453.p1	bflo_10159
TCONS_00000454.p1	bflo_10804
TCONS_00000459.p1	bflo_21984
TCONS_00000460.p1	bflo_07112
TCONS_00000461.p1	bflo_19991
TCONS_00000463.p1	bflo_22667
TCONS_00000464.p1	bflo_11586
TCONS_00000467.p1	bflo_03209
TCONS_00000469.p1	bflo_22924
TCONS_00000470.p1	bflo_15183
TCONS_00000473.p1	bflo_26070
TCONS_00000475.p1	bflo_22424
TCONS_00000478.p1	bflo_16776
TCONS_00000480.p1	bflo_09427
TCONS_00000482.p1	bflo_14402
TCONS_00000483.p1	bflo_17987
TCONS_00000485.p1	bflo_17987
TCONS_00000486.p1	bflo_17987
TCONS_00000487.p1	bflo_17987
TCONS_00000489.p1	bflo_17987
TCONS_00000492.p1	bflo_17734
TCONS_00000493.p1	bflo_05356
TCONS_00000495.p1	bflo_17487
TCONS_00000496.p1	bflo_17732
TCONS_00000497.p1	bflo_17732
TCONS_00000499.p1	bflo_17545
TCONS_00000504.p1	bflo_17545
TCONS_00000505.p1	bflo_17545
TCONS_00000506.p1	bflo_17545
TCONS_00000507.p1	bflo_17545
TCONS_00000511.p1	bflo_17998
TCONS_00000512.p1	bflo_15938
TCONS_00000515.p1	bflo_17400
TCONS_00000518.p1	bflo_17409
TCONS_00000523.p1	bflo_18040
TCONS_00000524.p1	bflo_17703
TCONS_00000530.p1	bflo_18002
TCONS_00000531.p1	bflo_21902
TCONS_00000532.p1	bflo_21902
TCONS_00000533.p1	bflo_18002
TCONS_00000534.p1	bflo_21902
TCONS_00000535.p1	bflo_18002
TCONS_00000539.p1	bflo_20746
TCONS_00000543.p1	bflo_12260
TCONS_00000544.p1	bflo_19109
TCONS_00000546.p1	bflo_09630
TCONS_00000548.p1	bflo_07950
TCONS_00000549.p1	bflo_07952
TCONS_00000550.p1	bflo_23586
TCONS_00000558.p1	bflo_00121
TCONS_00000559.p1	bflo_04023
TCONS_00000560.p1	bflo_21498
TCONS_00000564.p1	bflo_07447
TCONS_00000565.p1	bflo_24278
TCONS_00000569.p1	bflo_07665
TCONS_00000570.p1	bflo_20838
TCONS_00000571.p1	bflo_13112
TCONS_00000572.p1	bflo_13658
TCONS_00000575.p1	bflo_18023
TCONS_00000577.p1	bflo_17191
TCONS_00000579.p1	bflo_17519
TCONS_00000580.p1	bflo_17964
TCONS_00000584.p1	bflo_17964
TCONS_00000585.p1	bflo_17394
TCONS_00000589.p1	bflo_17866
TCONS_00000591.p1	bflo_17946
TCONS_00000594.p1	bflo_17542
TCONS_00000595.p1	bflo_18077
TCONS_00000598.p1	bflo_17426
TCONS_00000600.p1	bflo_18453
TCONS_00000601.p1	bflo_17728
TCONS_00000603.p1	bflo_01591
TCONS_00000609.p1	bflo_22424
TCONS_00000611.p1	bflo_16602
TCONS_00000613.p1	bflo_07159
TCONS_00000614.p1	bflo_00504
TCONS_00000615.p1	bflo_08461
TCONS_00000616.p1	bflo_07021
TCONS_00000617.p1	bflo_21372
TCONS_00000618.p1	bflo_00330
TCONS_00000623.p1	bflo_07730
TCONS_00000626.p1	bflo_26018
TCONS_00000627.p1	bflo_22775
TCONS_00000629.p1	bflo_21663
TCONS_00000630.p1	bflo_18310
TCONS_00000631.p1	bflo_18310
TCONS_00000632.p1	bflo_17543
TCONS_00000635.p1	bflo_17432
TCONS_00000636.p1	bflo_17298
TCONS_00000637.p1	bflo_18346
TCONS_00000638.p1	bflo_18212
TCONS_00000640.p1	bflo_17553
TCONS_00000643.p1	bflo_17658
TCONS_00000645.p1	bflo_17447
TCONS_00000651.p1	bflo_06989
TCONS_00000653.p1	bflo_06797
TCONS_00000654.p1	bflo_02931
TCONS_00000655.p1	bflo_06033
TCONS_00000657.p1	bflo_03765
TCONS_00000659.p1	bflo_17393
TCONS_00000661.p1	bflo_07605
TCONS_00000662.p1	bflo_07749
TCONS_00000663.p1	bflo_15330
TCONS_00000665.p1	bflo_10268
TCONS_00000667.p1	bflo_25372
TCONS_00000668.p1	bflo_25372
TCONS_00000669.p1	bflo_01422
TCONS_00000670.p1	bflo_03007
TCONS_00000671.p1	bflo_08462
TCONS_00000672.p1	bflo_06820
TCONS_00000673.p1	bflo_22675
TCONS_00000674.p1	bflo_03007
TCONS_00000676.p1	bflo_12801
TCONS_00000678.p1	bflo_09002
TCONS_00000679.p1	bflo_00081
TCONS_00000681.p1	bflo_10658
TCONS_00000684.p1	bflo_27208
TCONS_00000689.p1	bflo_18391
TCONS_00000693.p1	bflo_18364
TCONS_00000694.p1	bflo_14977
TCONS_00000695.p1	bflo_07505
TCONS_00000696.p1	bflo_07505
TCONS_00000697.p1	bflo_10389
TCONS_00000698.p1	bflo_08310
TCONS_00000700.p1	bflo_13602
TCONS_00000703.p1	bflo_08397
TCONS_00000704.p1	bflo_00505
TCONS_00000705.p1	bflo_00815
TCONS_00000706.p1	bflo_13706
TCONS_00000707.p1	bflo_26509
TCONS_00000708.p1	bflo_26509
TCONS_00000709.p1	bflo_13706
TCONS_00000710.p1	bflo_00488
TCONS_00000712.p1	bflo_08709
TCONS_00000713.p1	bflo_05230
TCONS_00000715.p1	bflo_00317
TCONS_00000716.p1	bflo_00317
TCONS_00000717.p1	bflo_00317
TCONS_00000718.p1	bflo_16615
TCONS_00000719.p1	bflo_25836
TCONS_00000720.p1	bflo_01229
TCONS_00000721.p1	bflo_06837
TCONS_00000722.p1	bflo_06837
TCONS_00000726.p1	bflo_07605
TCONS_00000727.p1	bflo_17295
TCONS_00000728.p1	bflo_24517
TCONS_00000729.p1	bflo_17766
TCONS_00000730.p1	bflo_12872
TCONS_00000733.p1	bflo_11198
TCONS_00000735.p1	bflo_23586
TCONS_00000737.p1	bflo_17761
TCONS_00000738.p1	bflo_17953
TCONS_00000740.p1	bflo_19936
TCONS_00000742.p1	bflo_17657
TCONS_00000744.p1	bflo_17987
TCONS_00000745.p1	bflo_17987
TCONS_00000747.p1	bflo_17987
TCONS_00000748.p1	bflo_17987
TCONS_00000749.p1	bflo_18122
TCONS_00000750.p1	bflo_06262
TCONS_00000751.p1	bflo_08563
TCONS_00000752.p1	bflo_08563
TCONS_00000754.p1	bflo_18126
TCONS_00000757.p1	bflo_21426
TCONS_00000760.p1	bflo_21188
TCONS_00000761.p1	bflo_12768
TCONS_00000762.p1	bflo_00815
TCONS_00000763.p1	bflo_00815
TCONS_00000764.p1	bflo_07476
TCONS_00000770.p1	bflo_14909
TCONS_00000771.p1	bflo_18412
TCONS_00000772.p1	bflo_14909
TCONS_00000773.p1	bflo_16046
TCONS_00000774.p1	bflo_17475
TCONS_00000776.p1	bflo_22076
TCONS_00000777.p1	bflo_18021
TCONS_00000778.p1	bflo_23635
TCONS_00000779.p1	bflo_14693
TCONS_00000780.p1	bflo_09637
TCONS_00000786.p1	bflo_08140
TCONS_00000787.p1	bflo_03946
TCONS_00000788.p1	bflo_05031
TCONS_00000789.p1	bflo_26121
TCONS_00000790.p1	bflo_04242
TCONS_00000791.p1	bflo_26634
TCONS_00000793.p1	bflo_02220
TCONS_00000794.p1	bflo_08140
TCONS_00000795.p1	bflo_03946
TCONS_00000797.p1	bflo_03946
TCONS_00000799.p1	bflo_03844
TCONS_00000800.p1	bflo_04566
TCONS_00000805.p1	bflo_18010
TCONS_00000806.p1	bflo_17689
TCONS_00000807.p1	bflo_18039
TCONS_00000808.p1	bflo_17689
TCONS_00000810.p1	bflo_18039
TCONS_00000811.p1	bflo_17689
TCONS_00000813.p1	bflo_17689
TCONS_00000815.p1	bflo_17689
TCONS_00000816.p1	bflo_17689
TCONS_00000817.p1	bflo_22282
TCONS_00000818.p1	bflo_24991
TCONS_00000819.p1	bflo_20809
TCONS_00000820.p1	bflo_18038
TCONS_00000822.p1	bflo_17689
TCONS_00000823.p1	bflo_18039
TCONS_00000824.p1	bflo_02576
TCONS_00000826.p1	bflo_24991
TCONS_00000827.p1	bflo_17689
TCONS_00000830.p1	bflo_17689
TCONS_00000831.p1	bflo_08792
TCONS_00000832.p1	bflo_08792
TCONS_00000833.p1	bflo_02265
TCONS_00000834.p1	bflo_26333
TCONS_00000838.p1	bflo_17774
TCONS_00000839.p1	bflo_17776
TCONS_00000842.p1	bflo_16226
TCONS_00000843.p1	bflo_16021
TCONS_00000844.p1	bflo_07256
TCONS_00000845.p1	bflo_11944
TCONS_00000846.p1	bflo_26333
TCONS_00000847.p1	bflo_17774
TCONS_00000848.p1	bflo_08210
TCONS_00000849.p1	bflo_16226
TCONS_00000850.p1	bflo_16021
TCONS_00000851.p1	bflo_16021
TCONS_00000852.p1	bflo_03915
TCONS_00000853.p1	bflo_14078
TCONS_00000854.p1	bflo_17349
TCONS_00000855.p1	bflo_17388
TCONS_00000859.p1	bflo_04739
TCONS_00000860.p1	bflo_22565
TCONS_00000862.p1	bflo_07605
TCONS_00000863.p1	bflo_14133
TCONS_00000865.p1	bflo_17520
TCONS_00000867.p1	bflo_18401
TCONS_00000868.p1	bflo_03905
TCONS_00000870.p1	bflo_17443
TCONS_00000871.p1	bflo_06302
TCONS_00000875.p1	bflo_20503
TCONS_00000876.p1	bflo_17987
TCONS_00000877.p1	bflo_17536
TCONS_00000878.p1	bflo_25525
TCONS_00000879.p2	bflo_18709
TCONS_00000880.p1	bflo_24193
TCONS_00000881.p1	bflo_20883
TCONS_00000885.p1	bflo_08807
TCONS_00000886.p1	bflo_08326
TCONS_00000887.p1	bflo_24564
TCONS_00000888.p1	bflo_17664
TCONS_00000889.p1	bflo_17532
TCONS_00000890.p1	bflo_01235
TCONS_00000892.p1	bflo_17528
TCONS_00000893.p1	bflo_17528
TCONS_00000894.p1	bflo_17987
TCONS_00000895.p1	bflo_17472
TCONS_00000896.p1	bflo_17472
TCONS_00000900.p1	bflo_09879
TCONS_00000901.p1	bflo_13468
TCONS_00000902.p1	bflo_00376
TCONS_00000903.p1	bflo_08039
TCONS_00000905.p1	bflo_14979
TCONS_00000909.p1	bflo_04509
TCONS_00000914.p1	bflo_11356
TCONS_00000916.p1	bflo_11356
TCONS_00000917.p1	bflo_11356
TCONS_00000918.p1	bflo_11356
TCONS_00000920.p1	bflo_24863
TCONS_00000925.p1	bflo_17483
TCONS_00000926.p1	bflo_17896
TCONS_00000927.p1	bflo_17896
TCONS_00000929.p1	bflo_09062
TCONS_00000930.p1	bflo_21601
TCONS_00000933.p1	bflo_11356
TCONS_00000934.p1	bflo_11356
TCONS_00000935.p1	bflo_24863
TCONS_00000936.p1	bflo_06262
TCONS_00000938.p1	bflo_17483
TCONS_00000940.p1	bflo_17896
TCONS_00000948.p1	bflo_09062
TCONS_00000949.p1	bflo_21601
TCONS_00000950.p1	bflo_21600
TCONS_00000951.p1	bflo_12484
TCONS_00000952.p1	bflo_20465
TCONS_00000953.p1	bflo_20465
TCONS_00000954.p1	bflo_20465
TCONS_00000956.p1	bflo_12219
TCONS_00000960.p1	bflo_11358
TCONS_00000969.p1	bflo_05126
TCONS_00000976.p1	bflo_20540
TCONS_00000978.p1	bflo_17602
TCONS_00000980.p1	bflo_17530
TCONS_00000981.p1	bflo_17408
TCONS_00000982.p1	bflo_12033
TCONS_00000983.p1	bflo_04917
TCONS_00000984.p1	bflo_25738
TCONS_00000988.p1	bflo_16433
TCONS_00000991.p1	bflo_17611
TCONS_00000994.p1	bflo_17341
TCONS_00000996.p1	bflo_18095
TCONS_00000999.p1	bflo_18105
TCONS_00001002.p1	bflo_18433
TCONS_00001003.p1	bflo_18393
TCONS_00001004.p1	bflo_17593
TCONS_00001005.p1	bflo_15390
TCONS_00001008.p1	bflo_20693
TCONS_00001009.p1	bflo_02933
TCONS_00001010.p1	bflo_00254
TCONS_00001011.p1	bflo_08964
TCONS_00001012.p1	bflo_03522
TCONS_00001015.p1	bflo_18454
TCONS_00001016.p1	bflo_17422
TCONS_00001019.p1	bflo_17425
TCONS_00001020.p1	bflo_17574
TCONS_00001021.p1	bflo_17572
TCONS_00001022.p1	bflo_06539
TCONS_00001024.p1	bflo_25945
TCONS_00001025.p1	bflo_17571
TCONS_00001028.p1	bflo_22167
TCONS_00001032.p1	bflo_10215
TCONS_00001033.p1	bflo_02005
TCONS_00001034.p1	bflo_15900
TCONS_00001039.p1	bflo_26107
TCONS_00001041.p1	bflo_18458
TCONS_00001044.p1	bflo_07683
TCONS_00001048.p1	bflo_06498
TCONS_00001049.p1	bflo_18272
TCONS_00001051.p1	bflo_17692
TCONS_00001055.p1	bflo_14977
TCONS_00001056.p1	bflo_18485
TCONS_00001057.p1	bflo_15242
TCONS_00001058.p1	bflo_14909
TCONS_00001059.p1	bflo_17674
TCONS_00001060.p1	bflo_17319
TCONS_00001061.p1	bflo_17320
TCONS_00001062.p1	bflo_21281
TCONS_00001066.p1	bflo_08310
TCONS_00001067.p1	bflo_17319
TCONS_00001070.p1	bflo_17674
TCONS_00001072.p1	bflo_19003
TCONS_00001074.p1	bflo_13029
TCONS_00001075.p1	bflo_18325
TCONS_00001078.p1	bflo_22607
TCONS_00001080.p1	bflo_22607
TCONS_00001082.p1	bflo_06206
TCONS_00001084.p1	bflo_12853
TCONS_00001085.p1	bflo_18085
TCONS_00001087.p1	bflo_17915
TCONS_00001088.p1	bflo_02641
TCONS_00001090.p1	bflo_18303
TCONS_00001097.p1	bflo_18086
TCONS_00001098.p1	bflo_12329
TCONS_00001099.p1	bflo_14802
TCONS_00001101.p1	bflo_03928
TCONS_00001102.p1	bflo_14291
TCONS_00001103.p1	bflo_18178
TCONS_00001109.p1	bflo_18175
TCONS_00001111.p1	bflo_05878
TCONS_00001112.p1	bflo_07680
TCONS_00001115.p1	bflo_17962
TCONS_00001117.p1	bflo_00747
TCONS_00001118.p1	bflo_17962
TCONS_00001123.p1	bflo_17675
TCONS_00001125.p1	bflo_17550
TCONS_00001126.p1	bflo_20568
TCONS_00001127.p1	bflo_19690
TCONS_00001128.p1	bflo_19690
TCONS_00001132.p1	bflo_07586
TCONS_00001133.p1	bflo_17535
TCONS_00001135.p1	bflo_17255
TCONS_00001137.p1	bflo_17249
TCONS_00001138.p1	bflo_17249
TCONS_00001141.p1	bflo_18341
TCONS_00001144.p1	bflo_15618
TCONS_00001145.p1	bflo_17271
TCONS_00001146.p1	bflo_17818
TCONS_00001147.p1	bflo_17818
TCONS_00001148.p1	bflo_01163
TCONS_00001149.p1	bflo_17818
TCONS_00001150.p1	bflo_09123
TCONS_00001151.p1	bflo_12932
TCONS_00001152.p1	bflo_17521
TCONS_00001154.p1	bflo_27273
TCONS_00001155.p1	bflo_22764
TCONS_00001157.p1	bflo_09123
TCONS_00001159.p1	bflo_17521
TCONS_00001161.p1	bflo_18386
TCONS_00001162.p1	bflo_02075
TCONS_00001165.p1	bflo_17648
TCONS_00001168.p1	bflo_15952
TCONS_00001169.p1	bflo_18320
TCONS_00001170.p1	bflo_03901
TCONS_00001171.p1	bflo_18379
TCONS_00001172.p1	bflo_21946
TCONS_00001174.p1	bflo_18377
TCONS_00001175.p1	bflo_18232
TCONS_00001177.p1	bflo_21964
TCONS_00001178.p1	bflo_17670
TCONS_00001179.p1	bflo_18046
TCONS_00001181.p1	bflo_17402
TCONS_00001182.p1	bflo_23641
TCONS_00001186.p1	bflo_18377
TCONS_00001187.p1	bflo_18232
TCONS_00001188.p1	bflo_21964
TCONS_00001189.p1	bflo_17670
TCONS_00001190.p1	bflo_18046
TCONS_00001191.p1	bflo_17402
TCONS_00001193.p1	bflo_23641
TCONS_00001195.p1	bflo_06017
TCONS_00001196.p1	bflo_17822
TCONS_00001197.p1	bflo_18089
TCONS_00001198.p1	bflo_12508
TCONS_00001199.p1	bflo_15647
TCONS_00001200.p1	bflo_08580
TCONS_00001201.p1	bflo_26168
TCONS_00001202.p1	bflo_26168
TCONS_00001203.p1	bflo_27221
TCONS_00001204.p1	bflo_05514
TCONS_00001205.p1	bflo_09357
TCONS_00001208.p1	bflo_15021
TCONS_00001213.p1	bflo_25778
TCONS_00001214.p1	bflo_17987
TCONS_00001216.p1	bflo_17987
TCONS_00001217.p1	bflo_01467
TCONS_00001218.p1	bflo_04398
TCONS_00001222.p1	bflo_11012
TCONS_00001225.p1	bflo_20523
TCONS_00001226.p1	bflo_17260
TCONS_00001227.p1	bflo_26634
TCONS_00001228.p1	bflo_17260
TCONS_00001229.p1	bflo_02670
TCONS_00001232.p1	bflo_27228
TCONS_00001234.p1	bflo_02422
TCONS_00001236.p1	bflo_02742
TCONS_00001237.p1	bflo_02742
TCONS_00001238.p1	bflo_18182
TCONS_00001241.p1	bflo_12665
TCONS_00001243.p1	bflo_17517
TCONS_00001245.p1	bflo_18108
TCONS_00001248.p1	bflo_18130
TCONS_00001249.p1	bflo_17547
TCONS_00001251.p1	bflo_22047
TCONS_00001252.p1	bflo_07824
TCONS_00001253.p1	bflo_09631
TCONS_00001257.p1	bflo_10998
TCONS_00001258.p1	bflo_09631
TCONS_00001265.p1	bflo_18338
TCONS_00001267.p1	bflo_17705
TCONS_00001268.p1	bflo_13219
TCONS_00001269.p1	bflo_17427
TCONS_00001270.p1	bflo_17312
TCONS_00001274.p1	bflo_22187
TCONS_00001275.p1	bflo_26752
TCONS_00001276.p1	bflo_13908
TCONS_00001277.p1	bflo_25136
TCONS_00001278.p1	bflo_25922
TCONS_00001279.p1	bflo_24012
TCONS_00001280.p1	bflo_11209
TCONS_00001281.p1	bflo_18237
TCONS_00001282.p1	bflo_18038
TCONS_00001284.p1	bflo_18446
TCONS_00001287.p1	bflo_17509
TCONS_00001290.p1	bflo_17509
TCONS_00001292.p1	bflo_10389
TCONS_00001294.p1	bflo_15967
TCONS_00001295.p1	bflo_08835
TCONS_00001297.p1	bflo_17850
TCONS_00001298.p1	bflo_17850
TCONS_00001299.p1	bflo_00504
TCONS_00001300.p1	bflo_13706
TCONS_00001301.p1	bflo_00504
TCONS_00001303.p1	bflo_18009
TCONS_00001304.p1	bflo_17706
TCONS_00001305.p1	bflo_18467
TCONS_00001307.p1	bflo_17362
TCONS_00001310.p1	bflo_03027
TCONS_00001313.p1	bflo_04456
TCONS_00001314.p1	bflo_04452
TCONS_00001318.p1	bflo_21405
TCONS_00001319.p1	bflo_20439
TCONS_00001321.p1	bflo_17331
TCONS_00001323.p1	bflo_24731
TCONS_00001324.p1	bflo_17563
TCONS_00001325.p1	bflo_17563
TCONS_00001326.p1	bflo_17563
TCONS_00001327.p1	bflo_17563
TCONS_00001328.p1	bflo_17332
TCONS_00001330.p1	bflo_17332
TCONS_00001336.p1	bflo_18080
TCONS_00001337.p1	bflo_17348
TCONS_00001338.p1	bflo_14241
TCONS_00001339.p1	bflo_18102
TCONS_00001343.p1	bflo_04559
TCONS_00001344.p1	bflo_26439
TCONS_00001345.p1	bflo_00122
TCONS_00001346.p1	bflo_10180
TCONS_00001347.p1	bflo_10199
TCONS_00001348.p1	bflo_10199
TCONS_00001349.p1	bflo_14832
TCONS_00001352.p1	bflo_11967
TCONS_00001354.p1	bflo_17955
TCONS_00001362.p1	bflo_15967
TCONS_00001363.p1	bflo_02848
TCONS_00001364.p1	bflo_09459
TCONS_00001367.p1	bflo_09459
TCONS_00001369.p1	bflo_09459
TCONS_00001370.p1	bflo_09459
TCONS_00001373.p1	bflo_00504
TCONS_00001375.p1	bflo_21058
TCONS_00001376.p1	bflo_14950
