TCONS_00000001.p1	BRALA28819
TCONS_00000312.p1	BRALA16193
TCONS_00000316.p1	BRALA16193
TCONS_00000318.p1	BRALA14273
TCONS_00000320.p1	BRALA34308
TCONS_00000321.p1	BRALA14232
TCONS_00000322.p1	BRALA11471
TCONS_00000323.p1	BRALA01956
TCONS_00000324.p1	BRALA20496
TCONS_00000325.p1	BRALA24207
TCONS_00000327.p1	BRALA24207
TCONS_00000328.p1	BRALA14623
TCONS_00000329.p1	BRALA22509
TCONS_00000330.p1	BRALA06216
TCONS_00000334.p1	BRALA19027
TCONS_00000335.p1	BRALA30808
TCONS_00000336.p1	BRALA08334
TCONS_00000337.p1	BRALA13558
TCONS_00000338.p1	BRALA02647
TCONS_00000339.p1	BRALA24828
TCONS_00000340.p1	BRALA33871
TCONS_00000342.p1	BRALA27978
TCONS_00000343.p1	BRALA04706
TCONS_00000344.p1	BRALA24830
TCONS_00000345.p1	BRALA24828
TCONS_00000347.p1	BRALA13395
TCONS_00000348.p1	BRALA20396
TCONS_00000349.p1	BRALA29887
TCONS_00000351.p1	BRALA32866
TCONS_00000353.p1	BRALA09000
TCONS_00000354.p1	BRALA16918
TCONS_00000355.p1	BRALA09006
TCONS_00000357.p1	BRALA25777
TCONS_00000360.p1	BRALA23665
TCONS_00000361.p1	BRALA18844
TCONS_00000367.p1	BRALA28736
TCONS_00000369.p1	BRALA23404
TCONS_00000370.p1	BRALA28066
TCONS_00000371.p1	BRALA34676
TCONS_00000372.p1	BRALA15669
TCONS_00000373.p1	BRALA15669
TCONS_00000375.p1	BRALA20496
TCONS_00000376.p1	BRALA25852
TCONS_00000377.p1	BRALA02702
TCONS_00000379.p1	BRALA02702
TCONS_00000382.p1	BRALA01723
TCONS_00000383.p1	BRALA01775
TCONS_00000387.p1	BRALA09406
TCONS_00000388.p1	BRALA09406
TCONS_00000389.p1	BRALA24414
TCONS_00000390.p1	BRALA06193
TCONS_00000391.p1	BRALA23152
TCONS_00000392.p1	BRALA06193
TCONS_00000393.p1	BRALA32341
TCONS_00000394.p1	BRALA12376
TCONS_00000395.p1	BRALA28633
TCONS_00000403.p1	BRALA04843
TCONS_00000406.p1	BRALA17090
TCONS_00000407.p1	BRALA06777
TCONS_00000408.p1	BRALA28627
TCONS_00000409.p1	BRALA28829
TCONS_00000410.p1	BRALA07450
TCONS_00000411.p1	BRALA07354
TCONS_00000412.p1	BRALA33239
TCONS_00000413.p1	BRALA33239
TCONS_00000414.p1	BRALA03789
TCONS_00000415.p1	BRALA15523
TCONS_00000417.p1	BRALA13839
TCONS_00000418.p1	BRALA01950
TCONS_00000419.p1	BRALA32237
TCONS_00000420.p1	BRALA05712
TCONS_00000421.p1	BRALA18785
TCONS_00000422.p1	BRALA01491
TCONS_00000423.p1	BRALA08981
TCONS_00000424.p1	BRALA27598
TCONS_00000425.p1	BRALA24506
TCONS_00000426.p1	BRALA27515
TCONS_00000428.p1	BRALA08947
TCONS_00000429.p1	BRALA08947
TCONS_00000430.p1	BRALA01767
TCONS_00000431.p1	BRALA28626
TCONS_00000434.p1	BRALA00171
TCONS_00000440.p1	BRALA34030
TCONS_00000443.p1	BRALA17740
TCONS_00000445.p1	BRALA34030
TCONS_00000446.p1	BRALA17740
TCONS_00000448.p1	BRALA29986
TCONS_00000449.p1	BRALA21457
TCONS_00000451.p1	BRALA00735
TCONS_00000452.p1	BRALA16329
TCONS_00000453.p1	BRALA34399
TCONS_00000454.p1	BRALA33178
TCONS_00000459.p1	BRALA00828
TCONS_00000461.p1	BRALA17740
TCONS_00000463.p1	BRALA18153
TCONS_00000464.p1	BRALA01343
TCONS_00000467.p1	BRALA24067
TCONS_00000469.p1	BRALA05789
TCONS_00000470.p1	BRALA11747
TCONS_00000473.p1	BRALA24755
TCONS_00000475.p1	BRALA28088
TCONS_00000478.p1	BRALA07928
TCONS_00000480.p1	BRALA24562
TCONS_00000482.p1	BRALA16940
TCONS_00000483.p1	BRALA28066
TCONS_00000485.p1	BRALA28066
TCONS_00000486.p1	BRALA28066
TCONS_00000487.p1	BRALA28066
TCONS_00000489.p1	BRALA28066
TCONS_00000491.p1	BRALA18806
TCONS_00000492.p1	BRALA19002
TCONS_00000493.p1	BRALA06294
TCONS_00000495.p1	BRALA19316
TCONS_00000496.p1	BRALA19006
TCONS_00000497.p1	BRALA19004
TCONS_00000499.p1	BRALA16416
TCONS_00000504.p1	BRALA16416
TCONS_00000505.p1	BRALA16416
TCONS_00000506.p1	BRALA16416
TCONS_00000507.p1	BRALA16416
TCONS_00000511.p1	BRALA14676
TCONS_00000512.p1	BRALA10061
TCONS_00000515.p1	BRALA34231
TCONS_00000518.p1	BRALA18709
TCONS_00000523.p1	BRALA34476
TCONS_00000524.p1	BRALA16853
TCONS_00000530.p1	BRALA31268
TCONS_00000531.p1	BRALA30426
TCONS_00000532.p1	BRALA30426
TCONS_00000533.p1	BRALA31268
TCONS_00000534.p1	BRALA02189
TCONS_00000535.p1	BRALA31268
TCONS_00000539.p1	BRALA15008
TCONS_00000543.p1	BRALA00936
TCONS_00000544.p1	BRALA07220
TCONS_00000546.p1	BRALA30809
TCONS_00000548.p1	BRALA13601
TCONS_00000549.p1	BRALA03959
TCONS_00000550.p1	BRALA09071
TCONS_00000558.p1	BRALA16460
TCONS_00000559.p1	BRALA15703
TCONS_00000560.p1	BRALA19494
TCONS_00000564.p1	BRALA11678
TCONS_00000565.p1	BRALA03961
TCONS_00000569.p1	BRALA19493
TCONS_00000570.p1	BRALA31138
TCONS_00000571.p1	BRALA20221
TCONS_00000572.p1	BRALA32046
TCONS_00000575.p1	BRALA27520
TCONS_00000577.p1	BRALA22974
TCONS_00000579.p1	BRALA24505
TCONS_00000580.p1	BRALA31563
TCONS_00000584.p1	BRALA33710
TCONS_00000585.p1	BRALA19031
TCONS_00000589.p1	BRALA12384
TCONS_00000591.p1	BRALA18805
TCONS_00000594.p1	BRALA25408
TCONS_00000595.p1	BRALA30427
TCONS_00000598.p1	BRALA29359
TCONS_00000600.p1	BRALA08130
TCONS_00000603.p1	BRALA35498
TCONS_00000609.p1	BRALA14632
TCONS_00000611.p1	BRALA19530
TCONS_00000613.p1	BRALA07867
TCONS_00000614.p1	BRALA24861
TCONS_00000615.p1	BRALA08013
TCONS_00000616.p1	BRALA31590
TCONS_00000617.p1	BRALA08013
TCONS_00000618.p1	BRALA23908
TCONS_00000623.p1	BRALA33420
TCONS_00000626.p1	BRALA33732
TCONS_00000627.p1	BRALA16739
TCONS_00000629.p1	BRALA02119
TCONS_00000630.p1	BRALA25186
TCONS_00000631.p1	BRALA25186
TCONS_00000632.p1	BRALA16846
TCONS_00000635.p1	BRALA23874
TCONS_00000636.p1	BRALA16863
TCONS_00000637.p1	BRALA16865
TCONS_00000638.p1	BRALA16866
TCONS_00000640.p1	BRALA25426
TCONS_00000643.p1	BRALA12314
TCONS_00000645.p1	BRALA12338
TCONS_00000651.p1	BRALA02056
TCONS_00000653.p1	BRALA30824
TCONS_00000654.p1	BRALA16430
TCONS_00000655.p1	BRALA13465
TCONS_00000659.p1	BRALA18811
TCONS_00000661.p1	BRALA25316
TCONS_00000662.p1	BRALA11083
TCONS_00000663.p1	BRALA31645
TCONS_00000665.p1	BRALA15447
TCONS_00000667.p1	BRALA13272
TCONS_00000668.p1	BRALA13272
TCONS_00000669.p1	BRALA09698
TCONS_00000670.p1	BRALA28134
TCONS_00000671.p1	BRALA07656
TCONS_00000672.p1	BRALA04532
TCONS_00000673.p1	BRALA24764
TCONS_00000674.p1	BRALA28134
TCONS_00000676.p1	BRALA14880
TCONS_00000678.p1	BRALA31996
TCONS_00000679.p1	BRALA13839
TCONS_00000681.p1	BRALA15381
TCONS_00000684.p1	BRALA29361
TCONS_00000689.p1	BRALA19020
TCONS_00000693.p1	BRALA12949
TCONS_00000694.p1	BRALA12949
TCONS_00000695.p1	BRALA12949
TCONS_00000697.p1	BRALA11464
TCONS_00000698.p1	BRALA16918
TCONS_00000700.p1	BRALA18848
TCONS_00000703.p1	BRALA06694
TCONS_00000704.p1	BRALA07928
TCONS_00000705.p1	BRALA00380
TCONS_00000706.p1	BRALA00381
TCONS_00000707.p1	BRALA00380
TCONS_00000708.p1	BRALA07928
TCONS_00000709.p1	BRALA00381
TCONS_00000710.p1	BRALA31213
TCONS_00000711.p1	BRALA01846
TCONS_00000712.p1	BRALA01346
TCONS_00000713.p1	BRALA13032
TCONS_00000715.p1	BRALA26885
TCONS_00000716.p1	BRALA26885
TCONS_00000717.p1	BRALA11295
TCONS_00000718.p1	BRALA16432
TCONS_00000719.p1	BRALA16432
TCONS_00000720.p1	BRALA21643
TCONS_00000721.p1	BRALA20750
TCONS_00000722.p1	BRALA02063
TCONS_00000726.p1	BRALA27748
TCONS_00000727.p1	BRALA16857
TCONS_00000728.p1	BRALA24463
TCONS_00000729.p1	BRALA14964
TCONS_00000733.p1	BRALA03918
TCONS_00000735.p1	BRALA09071
TCONS_00000737.p1	BRALA33663
TCONS_00000738.p1	BRALA28081
TCONS_00000740.p1	BRALA15476
TCONS_00000742.p1	BRALA19033
TCONS_00000744.p1	BRALA28066
TCONS_00000745.p1	BRALA28066
TCONS_00000747.p1	BRALA28066
TCONS_00000748.p1	BRALA28066
TCONS_00000749.p1	BRALA12414
TCONS_00000750.p1	BRALA01672
TCONS_00000751.p1	BRALA04132
TCONS_00000752.p1	BRALA04132
TCONS_00000754.p1	BRALA04131
TCONS_00000757.p1	BRALA26947
TCONS_00000760.p1	BRALA30045
TCONS_00000762.p1	BRALA08015
TCONS_00000763.p1	BRALA00380
TCONS_00000764.p1	BRALA03769
TCONS_00000770.p1	BRALA25777
TCONS_00000771.p1	BRALA24391
TCONS_00000772.p1	BRALA25778
TCONS_00000773.p1	BRALA17871
TCONS_00000774.p1	BRALA19060
TCONS_00000776.p1	BRALA21137
TCONS_00000777.p1	BRALA30554
TCONS_00000778.p1	BRALA16739
TCONS_00000779.p1	BRALA03238
TCONS_00000780.p1	BRALA13452
TCONS_00000786.p1	BRALA32178
TCONS_00000787.p1	BRALA20697
TCONS_00000788.p1	BRALA21132
TCONS_00000789.p1	BRALA23266
TCONS_00000790.p1	BRALA12567
TCONS_00000791.p1	BRALA34094
TCONS_00000793.p1	BRALA32412
TCONS_00000794.p1	BRALA32177
TCONS_00000795.p1	BRALA03744
TCONS_00000797.p1	BRALA03744
TCONS_00000799.p1	BRALA27095
TCONS_00000800.p1	BRALA29553
TCONS_00000805.p1	BRALA33541
TCONS_00000806.p1	BRALA16900
TCONS_00000807.p1	BRALA16896
TCONS_00000808.p1	BRALA16900
TCONS_00000810.p1	BRALA16897
TCONS_00000811.p1	BRALA16900
TCONS_00000813.p1	BRALA16900
TCONS_00000815.p1	BRALA16900
TCONS_00000816.p1	BRALA16900
TCONS_00000817.p1	BRALA01491
TCONS_00000818.p1	BRALA32237
TCONS_00000819.p1	BRALA17265
TCONS_00000820.p1	BRALA16897
TCONS_00000822.p1	BRALA16900
TCONS_00000823.p1	BRALA16897
TCONS_00000824.p1	BRALA30701
TCONS_00000826.p1	BRALA17717
TCONS_00000827.p1	BRALA16900
TCONS_00000830.p1	BRALA16900
TCONS_00000831.p1	BRALA22725
TCONS_00000832.p1	BRALA22725
TCONS_00000834.p1	BRALA22052
TCONS_00000838.p1	BRALA19706
TCONS_00000839.p1	BRALA19704
TCONS_00000842.p1	BRALA02341
TCONS_00000843.p1	BRALA02341
TCONS_00000844.p1	BRALA10181
TCONS_00000845.p1	BRALA20776
TCONS_00000846.p1	BRALA20776
TCONS_00000847.p1	BRALA19706
TCONS_00000848.p1	BRALA03631
TCONS_00000849.p1	BRALA02341
TCONS_00000850.p1	BRALA10181
TCONS_00000851.p1	BRALA10181
TCONS_00000852.p1	BRALA09011
TCONS_00000853.p1	BRALA11811
TCONS_00000854.p1	BRALA23721
TCONS_00000855.p1	BRALA19668
TCONS_00000859.p1	BRALA12731
TCONS_00000860.p1	BRALA16193
TCONS_00000862.p1	BRALA19632
TCONS_00000863.p1	BRALA00826
TCONS_00000865.p1	BRALA24507
TCONS_00000867.p1	BRALA28626
TCONS_00000868.p1	BRALA09010
TCONS_00000870.p1	BRALA15664
TCONS_00000871.p1	BRALA08333
TCONS_00000875.p1	BRALA15214
TCONS_00000876.p1	BRALA28066
TCONS_00000877.p1	BRALA17285
TCONS_00000878.p1	BRALA01586
TCONS_00000879.p2	BRALA26603
TCONS_00000880.p1	BRALA30672
TCONS_00000881.p1	BRALA03256
TCONS_00000885.p1	BRALA24053
TCONS_00000886.p1	BRALA30045
TCONS_00000887.p1	BRALA19628
TCONS_00000888.p1	BRALA30535
TCONS_00000889.p1	BRALA33535
TCONS_00000890.p1	BRALA12956
TCONS_00000892.p1	BRALA28828
TCONS_00000893.p1	BRALA28828
TCONS_00000894.p1	BRALA28066
TCONS_00000895.p1	BRALA19061
TCONS_00000896.p1	BRALA19696
TCONS_00000900.p1	BRALA22509
TCONS_00000901.p1	BRALA03269
TCONS_00000902.p1	BRALA04734
TCONS_00000903.p1	BRALA28629
TCONS_00000905.p1	BRALA11838
TCONS_00000909.p1	BRALA19279
TCONS_00000914.p1	BRALA19717
TCONS_00000916.p1	BRALA19717
TCONS_00000917.p1	BRALA19717
TCONS_00000918.p1	BRALA19717
TCONS_00000920.p1	BRALA05663
TCONS_00000925.p1	BRALA19317
TCONS_00000926.p1	BRALA15659
TCONS_00000929.p1	BRALA00230
TCONS_00000930.p1	BRALA05957
TCONS_00000933.p1	BRALA19717
TCONS_00000934.p1	BRALA19717
TCONS_00000935.p1	BRALA27780
TCONS_00000936.p1	BRALA29510
TCONS_00000938.p1	BRALA19317
TCONS_00000940.p1	BRALA15659
TCONS_00000948.p1	BRALA07084
TCONS_00000949.p1	BRALA05957
TCONS_00000950.p1	BRALA05958
TCONS_00000951.p1	BRALA00340
TCONS_00000952.p1	BRALA00340
TCONS_00000953.p1	BRALA00340
TCONS_00000954.p1	BRALA00340
TCONS_00000956.p1	BRALA27180
TCONS_00000960.p1	BRALA19297
TCONS_00000969.p1	BRALA10474
TCONS_00000976.p1	BRALA31219
TCONS_00000978.p1	BRALA28820
TCONS_00000980.p1	BRALA28831
TCONS_00000981.p1	BRALA05827
TCONS_00000982.p1	BRALA07567
TCONS_00000983.p1	BRALA19286
TCONS_00000984.p1	BRALA00945
TCONS_00000988.p1	BRALA28277
TCONS_00000991.p1	BRALA23893
TCONS_00000994.p1	BRALA09005
TCONS_00000996.p1	BRALA29796
TCONS_00000999.p1	BRALA12420
TCONS_00001002.p1	BRALA28211
TCONS_00001003.p1	BRALA32734
TCONS_00001004.p1	BRALA08959
TCONS_00001005.p1	BRALA00938
TCONS_00001008.p1	BRALA15989
TCONS_00001009.p1	BRALA03546
TCONS_00001010.p1	BRALA30479
TCONS_00001011.p1	BRALA02761
TCONS_00001012.p1	BRALA08800
TCONS_00001015.p1	BRALA18840
TCONS_00001016.p1	BRALA22725
TCONS_00001019.p1	BRALA29357
TCONS_00001021.p1	BRALA34871
TCONS_00001022.p1	BRALA18785
TCONS_00001024.p1	BRALA26291
TCONS_00001025.p1	BRALA33702
TCONS_00001028.p1	BRALA15035
TCONS_00001032.p1	BRALA16402
TCONS_00001033.p1	BRALA15035
TCONS_00001034.p1	BRALA23665
TCONS_00001039.p1	BRALA01157
TCONS_00001041.p1	BRALA18839
TCONS_00001044.p1	BRALA04224
TCONS_00001048.p1	BRALA01199
TCONS_00001049.p1	BRALA18829
TCONS_00001051.p1	BRALA19676
TCONS_00001055.p1	BRALA25777
TCONS_00001057.p1	BRALA12949
TCONS_00001058.p1	BRALA25778
TCONS_00001059.p1	BRALA19009
TCONS_00001060.p1	BRALA28156
TCONS_00001061.p1	BRALA09006
TCONS_00001062.p1	BRALA12951
TCONS_00001066.p1	BRALA19634
TCONS_00001067.p1	BRALA02964
TCONS_00001069.p1	BRALA33177
TCONS_00001070.p1	BRALA19009
TCONS_00001072.p1	BRALA24038
TCONS_00001074.p1	BRALA12949
TCONS_00001075.p1	BRALA12361
TCONS_00001078.p1	BRALA12103
TCONS_00001080.p1	BRALA12103
TCONS_00001082.p1	BRALA13544
TCONS_00001084.p1	BRALA00524
TCONS_00001085.p1	BRALA27980
TCONS_00001087.p1	BRALA12427
TCONS_00001088.p1	BRALA17510
TCONS_00001089.p1	BRALA06580
TCONS_00001090.p1	BRALA24801
TCONS_00001097.p1	BRALA29789
TCONS_00001098.p1	BRALA15300
TCONS_00001101.p1	BRALA12507
TCONS_00001102.p1	BRALA11744
TCONS_00001103.p1	BRALA35509
TCONS_00001109.p1	BRALA34335
TCONS_00001111.p1	BRALA34212
TCONS_00001112.p1	BRALA13305
TCONS_00001115.p1	BRALA08976
TCONS_00001117.p1	BRALA03925
TCONS_00001118.p1	BRALA08976
TCONS_00001123.p1	BRALA12367
TCONS_00001125.p1	BRALA23710
TCONS_00001126.p1	BRALA29479
TCONS_00001127.p1	BRALA14068
TCONS_00001128.p1	BRALA14068
TCONS_00001132.p1	BRALA30419
TCONS_00001133.p1	BRALA28199
TCONS_00001135.p1	BRALA28196
TCONS_00001137.p1	BRALA35745
TCONS_00001138.p1	BRALA28833
TCONS_00001141.p1	BRALA12258
TCONS_00001144.p1	BRALA08941
TCONS_00001145.p1	BRALA19318
TCONS_00001146.p1	BRALA26698
TCONS_00001147.p1	BRALA07867
TCONS_00001148.p1	BRALA22571
TCONS_00001149.p1	BRALA07867
TCONS_00001150.p1	BRALA20232
TCONS_00001151.p1	BRALA20231
TCONS_00001152.p1	BRALA18803
TCONS_00001154.p1	BRALA16829
TCONS_00001155.p1	BRALA08222
TCONS_00001157.p1	BRALA20231
TCONS_00001159.p1	BRALA18803
TCONS_00001161.p1	BRALA19016
TCONS_00001162.p1	BRALA32914
TCONS_00001163.p1	BRALA00401
TCONS_00001165.p1	BRALA19035
TCONS_00001168.p1	BRALA21309
TCONS_00001169.p1	BRALA15697
TCONS_00001170.p1	BRALA19311
TCONS_00001171.p1	BRALA24520
TCONS_00001172.p1	BRALA16229
TCONS_00001174.p1	BRALA24516
TCONS_00001175.p1	BRALA24515
TCONS_00001177.p1	BRALA16186
TCONS_00001178.p1	BRALA12255
TCONS_00001179.p1	BRALA24386
TCONS_00001181.p1	BRALA12280
TCONS_00001182.p1	BRALA11230
TCONS_00001186.p1	BRALA24516
TCONS_00001187.p1	BRALA24515
TCONS_00001188.p1	BRALA16186
TCONS_00001189.p1	BRALA12255
TCONS_00001190.p1	BRALA24386
TCONS_00001191.p1	BRALA12280
TCONS_00001193.p1	BRALA11230
TCONS_00001195.p1	BRALA13463
TCONS_00001196.p1	BRALA28204
TCONS_00001197.p1	BRALA33934
TCONS_00001198.p1	BRALA33420
TCONS_00001199.p1	BRALA33137
TCONS_00001200.p1	BRALA09766
TCONS_00001201.p1	BRALA17554
TCONS_00001202.p1	BRALA17554
TCONS_00001203.p1	BRALA12268
TCONS_00001204.p1	BRALA17069
TCONS_00001205.p1	BRALA12306
TCONS_00001206.p1	BRALA19322
TCONS_00001208.p1	BRALA08184
TCONS_00001213.p1	BRALA32954
TCONS_00001214.p1	BRALA28066
TCONS_00001216.p1	BRALA28066
TCONS_00001217.p1	BRALA14699
TCONS_00001218.p1	BRALA06761
TCONS_00001221.p1	BRALA14523
TCONS_00001222.p1	BRALA09460
TCONS_00001225.p1	BRALA31683
TCONS_00001226.p1	BRALA28207
TCONS_00001227.p1	BRALA13395
TCONS_00001229.p1	BRALA08508
TCONS_00001232.p1	BRALA27570
TCONS_00001234.p1	BRALA29973
TCONS_00001236.p1	BRALA33841
TCONS_00001237.p1	BRALA29249
TCONS_00001238.p1	BRALA22981
TCONS_00001241.p1	BRALA02142
TCONS_00001243.p1	BRALA22056
TCONS_00001245.p1	BRALA12426
TCONS_00001248.p1	BRALA15656
TCONS_00001249.p1	BRALA24816
TCONS_00001251.p1	BRALA17652
TCONS_00001252.p1	BRALA03625
TCONS_00001253.p1	BRALA07070
TCONS_00001257.p1	BRALA03625
TCONS_00001258.p1	BRALA03625
TCONS_00001265.p1	BRALA24813
TCONS_00001267.p1	BRALA29541
TCONS_00001268.p1	BRALA03377
TCONS_00001269.p1	BRALA21567
TCONS_00001270.p1	BRALA16886
TCONS_00001274.p1	BRALA03290
TCONS_00001275.p1	BRALA15694
TCONS_00001276.p1	BRALA26582
TCONS_00001277.p1	BRALA12951
TCONS_00001279.p1	BRALA28156
TCONS_00001280.p1	BRALA30796
TCONS_00001281.p1	BRALA16890
TCONS_00001282.p1	BRALA16897
TCONS_00001284.p1	BRALA15670
TCONS_00001287.p1	BRALA30270
TCONS_00001290.p1	BRALA30270
TCONS_00001292.p1	BRALA11464
TCONS_00001294.p1	BRALA08015
TCONS_00001295.p1	BRALA27466
TCONS_00001297.p1	BRALA12339
TCONS_00001299.p1	BRALA00380
TCONS_00001300.p1	BRALA08013
TCONS_00001301.p1	BRALA08013
TCONS_00001303.p1	BRALA29243
TCONS_00001304.p1	BRALA23733
TCONS_00001305.p1	BRALA23698
TCONS_00001307.p1	BRALA27860
TCONS_00001309.p1	BRALA27864
TCONS_00001310.p1	BRALA20605
TCONS_00001313.p1	BRALA19303
TCONS_00001314.p1	BRALA34877
TCONS_00001318.p1	BRALA15348
TCONS_00001319.p1	BRALA28933
TCONS_00001321.p1	BRALA16908
TCONS_00001323.p1	BRALA14330
TCONS_00001324.p1	BRALA16910
TCONS_00001325.p1	BRALA16910
TCONS_00001326.p1	BRALA16910
TCONS_00001327.p1	BRALA16910
TCONS_00001328.p1	BRALA16907
TCONS_00001330.p1	BRALA16907
TCONS_00001336.p1	BRALA30426
TCONS_00001337.p1	BRALA23723
TCONS_00001338.p1	BRALA16688
TCONS_00001339.p1	BRALA12416
TCONS_00001343.p1	BRALA21675
TCONS_00001344.p1	BRALA33764
TCONS_00001345.p1	BRALA30865
TCONS_00001346.p1	BRALA16388
TCONS_00001347.p1	BRALA16393
TCONS_00001348.p1	BRALA16393
TCONS_00001349.p1	BRALA11532
TCONS_00001352.p1	BRALA11082
TCONS_00001354.p1	BRALA31269
TCONS_00001362.p1	BRALA00380
TCONS_00001363.p1	BRALA04611
TCONS_00001364.p1	BRALA09971
TCONS_00001367.p1	BRALA04056
TCONS_00001369.p1	BRALA09971
TCONS_00001370.p1	BRALA09971
TCONS_00001373.p1	BRALA00380
TCONS_00001375.p1	BRALA24142
TCONS_00001376.p1	BRALA22925
TCONS_00001377.p1	BRALA22925
TCONS_00001378.p1	BRALA22925
TCONS_00001379.p1	BRALA22925
TCONS_00001380.p1	BRALA15448
