TCONS_00000006.p1	OFUSG02828.1.p1
TCONS_00000259.p1	OFUSG01055.1.p1
TCONS_00000265.p1	OFUSG10741.1.p1
TCONS_00000266.p1	OFUSG09902.1.p1
TCONS_00000270.p1	OFUSG00046.1.p1
TCONS_00000272.p1	OFUSG08942.1.p1
TCONS_00000274.p1	OFUSG00457.1.p1
TCONS_00000275.p1	OFUSG26004.1.p1
TCONS_00000278.p1	OFUSG05361.1.p1
TCONS_00000282.p1	OFUSG00363.1.p1
TCONS_00000285.p1	OFUSG07386.1.p1
TCONS_00000287.p1	OFUSG00006.1.p1
TCONS_00000293.p1	OFUSG00256.1.p1
TCONS_00000295.p1	OFUSG01073.1.p1
TCONS_00000299.p1	OFUSG01507.1.p1
TCONS_00000300.p1	OFUSG26690.1.p1
TCONS_00000308.p1	OFUSG00843.1.p1
TCONS_00000311.p1	OFUSG06136.1.p1
TCONS_00000312.p1	OFUSG13990.1.p1
TCONS_00000316.p1	OFUSG25989.2.p1
TCONS_00000318.p1	OFUSG06620.1.p1
TCONS_00000320.p1	OFUSG17827.1.p1
TCONS_00000321.p1	OFUSG26221.1.p1
TCONS_00000322.p1	OFUSG07299.1.p1
TCONS_00000323.p1	OFUSG00343.1.p1
TCONS_00000324.p1	OFUSG24706.1.p1
TCONS_00000325.p1	OFUSG00712.2.p1
TCONS_00000327.p1	OFUSG13689.1.p1
TCONS_00000328.p1	OFUSG00712.2.p1
TCONS_00000329.p1	OFUSG04631.1.p1
TCONS_00000334.p1	OFUSG01308.1.p1
TCONS_00000335.p1	OFUSG00267.1.p1
TCONS_00000336.p1	OFUSG09170.1.p1
TCONS_00000337.p1	OFUSG09007.1.p1
TCONS_00000338.p1	OFUSG12829.1.p1
TCONS_00000339.p1	OFUSG21860.1.p1
TCONS_00000340.p1	OFUSG00177.1.p1
TCONS_00000342.p1	OFUSG00714.1.p1
TCONS_00000343.p1	OFUSG04601.1.p1
TCONS_00000344.p1	OFUSG21860.1.p1
TCONS_00000345.p1	OFUSG21860.1.p1
TCONS_00000346.p1	OFUSG13985.1.p1
TCONS_00000347.p1	OFUSG18732.1.p1
TCONS_00000351.p1	OFUSG00904.1.p1
TCONS_00000353.p1	OFUSG19961.1.p1
TCONS_00000354.p1	OFUSG19961.1.p1
TCONS_00000355.p1	OFUSG19491.1.p1
TCONS_00000357.p1	OFUSG19961.1.p1
TCONS_00000360.p1	OFUSG10604.1.p1
TCONS_00000361.p1	OFUSG00440.1.p1
TCONS_00000367.p1	OFUSG08662.1.p1
TCONS_00000370.p1	OFUSG06955.1.p1
TCONS_00000371.p1	OFUSG00656.2.p1
TCONS_00000372.p1	OFUSG07197.1.p1
TCONS_00000373.p1	OFUSG08372.1.p1
TCONS_00000375.p1	OFUSG24706.1.p1
TCONS_00000376.p1	OFUSG10933.1.p1
TCONS_00000377.p1	OFUSG03831.2.p1
TCONS_00000379.p1	OFUSG03831.3.p1
TCONS_00000382.p1	OFUSG19071.1.p1
TCONS_00000383.p1	OFUSG11128.1.p1
TCONS_00000387.p1	OFUSG15331.1.p1
TCONS_00000388.p1	OFUSG15331.1.p1
TCONS_00000389.p1	OFUSG07436.2.p1
TCONS_00000390.p1	OFUSG15331.1.p1
TCONS_00000391.p1	OFUSG04537.1.p1
TCONS_00000392.p1	OFUSG05627.1.p1
TCONS_00000393.p1	OFUSG12538.1.p1
TCONS_00000394.p1	OFUSG15331.1.p1
TCONS_00000395.p1	OFUSG00906.1.p1
TCONS_00000403.p1	OFUSG00332.1.p1
TCONS_00000406.p1	OFUSG13446.1.p1
TCONS_00000408.p1	OFUSG00909.1.p1
TCONS_00000409.p1	OFUSG01720.1.p1
TCONS_00000410.p1	OFUSG09678.1.p1
TCONS_00000411.p1	OFUSG15797.1.p1
TCONS_00000412.p1	OFUSG09384.1.p1
TCONS_00000413.p1	OFUSG14496.1.p1
TCONS_00000414.p1	OFUSG15797.1.p1
TCONS_00000415.p1	OFUSG03432.1.p1
TCONS_00000417.p1	OFUSG03157.1.p1
TCONS_00000418.p1	OFUSG22130.1.p1
TCONS_00000419.p1	OFUSG03159.1.p1
TCONS_00000420.p1	OFUSG03160.1.p1
TCONS_00000421.p1	OFUSG03159.1.p1
TCONS_00000422.p1	OFUSG03163.1.p1
TCONS_00000423.p1	OFUSG08216.1.p1
TCONS_00000424.p1	OFUSG17318.2.p1
TCONS_00000425.p1	OFUSG01834.1.p1
TCONS_00000426.p1	OFUSG00691.1.p1
TCONS_00000428.p1	OFUSG00226.1.p1
TCONS_00000429.p1	OFUSG00226.1.p1
TCONS_00000430.p1	OFUSG24982.1.p1
TCONS_00000431.p1	OFUSG00805.1.p1
TCONS_00000434.p1	OFUSG11066.1.p1
TCONS_00000440.p1	OFUSG12279.1.p1
TCONS_00000443.p1	OFUSG12663.1.p1
TCONS_00000445.p1	OFUSG06752.1.p1
TCONS_00000446.p1	OFUSG12663.2.p1
TCONS_00000447.p1	OFUSG15523.1.p1
TCONS_00000448.p1	OFUSG14519.1.p1
TCONS_00000449.p1	OFUSG05759.1.p1
TCONS_00000451.p1	OFUSG15627.1.p1
TCONS_00000452.p1	OFUSG14519.1.p1
TCONS_00000453.p1	OFUSG05759.1.p1
TCONS_00000459.p1	OFUSG06752.1.p1
TCONS_00000460.p1	OFUSG19773.1.p1
TCONS_00000461.p1	OFUSG12663.2.p1
TCONS_00000463.p1	OFUSG04091.1.p1
TCONS_00000464.p1	OFUSG04091.1.p1
TCONS_00000467.p1	OFUSG02583.1.p1
TCONS_00000469.p1	OFUSG22694.1.p1
TCONS_00000470.p1	OFUSG07845.3.p1
TCONS_00000473.p1	OFUSG05314.1.p1
TCONS_00000478.p1	OFUSG17086.1.p1
TCONS_00000480.p1	OFUSG03831.3.p1
TCONS_00000482.p1	OFUSG09797.1.p1
TCONS_00000483.p1	OFUSG06955.1.p1
TCONS_00000485.p1	OFUSG06955.1.p1
TCONS_00000486.p1	OFUSG06955.1.p1
TCONS_00000487.p1	OFUSG06955.1.p1
TCONS_00000489.p1	OFUSG06955.1.p1
TCONS_00000492.p1	OFUSG00302.1.p1
TCONS_00000493.p1	OFUSG08269.1.p1
TCONS_00000495.p1	OFUSG00619.1.p1
TCONS_00000496.p1	OFUSG01293.1.p1
TCONS_00000497.p1	OFUSG01299.1.p1
TCONS_00000499.p1	OFUSG00730.1.p1
TCONS_00000504.p1	OFUSG00730.1.p1
TCONS_00000505.p1	OFUSG00730.1.p1
TCONS_00000506.p1	OFUSG06537.1.p1
TCONS_00000507.p1	OFUSG00730.1.p1
TCONS_00000511.p1	OFUSG24660.1.p1
TCONS_00000512.p1	OFUSG01805.1.p1
TCONS_00000515.p1	OFUSG00301.1.p1
TCONS_00000518.p1	OFUSG01804.1.p1
TCONS_00000523.p1	OFUSG00025.1.p1
TCONS_00000524.p1	OFUSG00924.1.p1
TCONS_00000530.p1	OFUSG00970.1.p1
TCONS_00000531.p1	OFUSG03369.3.p1
TCONS_00000532.p1	OFUSG03369.3.p1
TCONS_00000533.p1	OFUSG00970.1.p1
TCONS_00000534.p1	OFUSG03369.3.p1
TCONS_00000535.p1	OFUSG00970.2.p1
TCONS_00000539.p1	OFUSG24049.2.p1
TCONS_00000543.p1	OFUSG09583.1.p1
TCONS_00000544.p1	OFUSG20400.1.p1
TCONS_00000546.p1	OFUSG13131.1.p1
TCONS_00000548.p1	OFUSG24396.1.p1
TCONS_00000549.p1	OFUSG24469.2.p1
TCONS_00000550.p1	OFUSG10202.1.p1
TCONS_00000558.p1	OFUSG24554.1.p1
TCONS_00000559.p1	OFUSG24554.1.p1
TCONS_00000560.p1	OFUSG22055.1.p1
TCONS_00000564.p1	OFUSG05176.1.p1
TCONS_00000565.p1	OFUSG24554.2.p1
TCONS_00000569.p1	OFUSG10433.2.p1
TCONS_00000570.p1	OFUSG14870.1.p1
TCONS_00000571.p1	OFUSG10104.1.p1
TCONS_00000575.p1	OFUSG00116.1.p1
TCONS_00000577.p1	OFUSG00939.2.p1
TCONS_00000579.p1	OFUSG01568.1.p1
TCONS_00000580.p1	OFUSG00966.2.p1
TCONS_00000584.p1	OFUSG00966.1.p1
TCONS_00000585.p1	OFUSG01108.1.p1
TCONS_00000589.p1	OFUSG01472.1.p1
TCONS_00000591.p1	OFUSG25068.1.p1
TCONS_00000594.p1	OFUSG00285.1.p1
TCONS_00000595.p1	OFUSG00084.1.p1
TCONS_00000598.p1	OFUSG00185.2.p1
TCONS_00000600.p1	OFUSG01244.1.p1
TCONS_00000611.p1	OFUSG15046.2.p1
TCONS_00000613.p1	OFUSG09007.1.p1
TCONS_00000614.p1	OFUSG17086.1.p1
TCONS_00000615.p1	OFUSG03693.1.p1
TCONS_00000616.p1	OFUSG24728.1.p1
TCONS_00000617.p1	OFUSG23482.2.p1
TCONS_00000623.p1	OFUSG26940.1.p1
TCONS_00000626.p1	OFUSG19051.1.p1
TCONS_00000627.p1	OFUSG10872.1.p1
TCONS_00000629.p1	OFUSG10872.1.p1
TCONS_00000630.p1	OFUSG10872.1.p1
TCONS_00000631.p1	OFUSG10872.1.p1
TCONS_00000632.p1	OFUSG10872.1.p1
TCONS_00000635.p1	OFUSG00079.1.p1
TCONS_00000636.p1	OFUSG13216.1.p1
TCONS_00000637.p1	OFUSG15967.1.p1
TCONS_00000638.p1	OFUSG13218.1.p1
TCONS_00000640.p1	OFUSG11312.1.p1
TCONS_00000643.p1	OFUSG09309.1.p1
TCONS_00000645.p1	OFUSG00112.1.p1
TCONS_00000650.p1	OFUSG05549.1.p1
TCONS_00000651.p1	OFUSG17093.1.p1
TCONS_00000653.p1	OFUSG10846.1.p1
TCONS_00000654.p1	OFUSG23559.1.p1
TCONS_00000655.p1	OFUSG10847.1.p1
TCONS_00000659.p1	OFUSG21412.1.p1
TCONS_00000661.p1	OFUSG09170.1.p1
TCONS_00000662.p1	OFUSG09007.2.p1
TCONS_00000663.p1	OFUSG20756.1.p1
TCONS_00000664.p1	OFUSG01563.1.p1
TCONS_00000665.p1	OFUSG19257.1.p1
TCONS_00000667.p1	OFUSG12843.1.p1
TCONS_00000668.p1	OFUSG12843.1.p1
TCONS_00000669.p1	OFUSG12769.1.p1
TCONS_00000670.p1	OFUSG12843.1.p1
TCONS_00000671.p1	OFUSG20589.1.p1
TCONS_00000673.p1	OFUSG15717.1.p1
TCONS_00000674.p1	OFUSG12843.1.p1
TCONS_00000676.p1	OFUSG03160.1.p1
TCONS_00000678.p1	OFUSG13376.1.p1
TCONS_00000679.p1	OFUSG03159.1.p1
TCONS_00000681.p1	OFUSG05092.1.p1
TCONS_00000684.p1	OFUSG00652.3.p1
TCONS_00000689.p1	OFUSG01308.1.p1
TCONS_00000690.p1	OFUSG00304.1.p1
TCONS_00000693.p1	OFUSG16871.1.p1
TCONS_00000694.p1	OFUSG13645.1.p1
TCONS_00000695.p1	OFUSG16871.1.p1
TCONS_00000696.p1	OFUSG20181.1.p1
TCONS_00000697.p1	OFUSG19961.1.p1
TCONS_00000698.p1	OFUSG22371.1.p1
TCONS_00000700.p1	OFUSG04291.1.p1
TCONS_00000703.p1	OFUSG21368.1.p1
TCONS_00000704.p1	OFUSG00507.1.p1
TCONS_00000705.p1	OFUSG24728.1.p1
TCONS_00000706.p1	OFUSG23482.2.p1
TCONS_00000707.p1	OFUSG24728.1.p1
TCONS_00000708.p1	OFUSG24728.1.p1
TCONS_00000709.p1	OFUSG17086.1.p1
TCONS_00000710.p1	OFUSG15656.1.p1
TCONS_00000712.p1	OFUSG15207.1.p1
TCONS_00000713.p1	OFUSG13621.1.p1
TCONS_00000715.p1	OFUSG24984.1.p1
TCONS_00000716.p1	OFUSG20034.1.p1
TCONS_00000717.p1	OFUSG20034.1.p1
TCONS_00000718.p1	OFUSG23626.1.p1
TCONS_00000719.p1	OFUSG23626.1.p1
TCONS_00000720.p1	OFUSG04946.1.p1
TCONS_00000721.p1	OFUSG12151.1.p1
TCONS_00000722.p1	OFUSG12151.1.p1
TCONS_00000726.p1	OFUSG09170.1.p1
TCONS_00000727.p1	OFUSG01197.1.p1
TCONS_00000728.p1	OFUSG21852.1.p1
TCONS_00000729.p1	OFUSG01480.2.p1
TCONS_00000730.p1	OFUSG04187.1.p1
TCONS_00000733.p1	OFUSG13126.2.p1
TCONS_00000735.p1	OFUSG10202.1.p1
TCONS_00000737.p1	OFUSG00856.1.p1
TCONS_00000738.p1	OFUSG01813.3.p1
TCONS_00000742.p1	OFUSG00455.1.p1
TCONS_00000744.p1	OFUSG06955.1.p1
TCONS_00000745.p1	OFUSG06955.1.p1
TCONS_00000747.p1	OFUSG06955.1.p1
TCONS_00000748.p1	OFUSG06955.1.p1
TCONS_00000749.p1	OFUSG16789.1.p1
TCONS_00000750.p1	OFUSG04109.1.p1
TCONS_00000760.p1	OFUSG17281.1.p1
TCONS_00000761.p1	OFUSG25849.1.p1
TCONS_00000762.p1	OFUSG04765.1.p1
TCONS_00000763.p1	OFUSG04765.1.p1
TCONS_00000764.p1	OFUSG25310.1.p1
TCONS_00000770.p1	OFUSG09273.2.p1
TCONS_00000771.p1	OFUSG09386.1.p1
TCONS_00000772.p1	OFUSG09273.2.p1
TCONS_00000773.p1	OFUSG07761.1.p1
TCONS_00000774.p1	OFUSG00611.1.p1
TCONS_00000776.p1	OFUSG01303.1.p1
TCONS_00000777.p1	OFUSG06029.1.p1
TCONS_00000778.p1	OFUSG10872.1.p1
TCONS_00000779.p1	OFUSG02910.1.p1
TCONS_00000780.p1	OFUSG00599.1.p1
TCONS_00000786.p1	OFUSG00782.1.p1
TCONS_00000787.p1	OFUSG00782.1.p1
TCONS_00000794.p1	OFUSG00782.1.p1
TCONS_00000795.p1	OFUSG00782.1.p1
TCONS_00000797.p1	OFUSG00782.1.p1
TCONS_00000799.p1	OFUSG19976.1.p1
TCONS_00000805.p1	OFUSG20511.1.p1
TCONS_00000806.p1	OFUSG00868.1.p1
TCONS_00000807.p1	OFUSG00868.2.p1
TCONS_00000808.p1	OFUSG00868.1.p1
TCONS_00000810.p1	OFUSG00868.2.p1
TCONS_00000811.p1	OFUSG00868.1.p1
TCONS_00000813.p1	OFUSG00868.1.p1
TCONS_00000815.p1	OFUSG00868.1.p1
TCONS_00000816.p1	OFUSG00868.1.p1
TCONS_00000817.p1	OFUSG03158.1.p1
TCONS_00000818.p1	OFUSG03160.1.p1
TCONS_00000819.p1	OFUSG03158.1.p1
TCONS_00000820.p1	OFUSG00868.1.p1
TCONS_00000822.p1	OFUSG00868.2.p1
TCONS_00000823.p1	OFUSG00868.1.p1
TCONS_00000824.p1	OFUSG19392.1.p1
TCONS_00000826.p1	OFUSG03160.1.p1
TCONS_00000827.p1	OFUSG00868.1.p1
TCONS_00000830.p1	OFUSG00868.1.p1
TCONS_00000831.p1	OFUSG01698.1.p1
TCONS_00000832.p1	OFUSG01698.1.p1
TCONS_00000834.p1	OFUSG22719.1.p1
TCONS_00000838.p1	OFUSG00348.1.p1
TCONS_00000839.p1	OFUSG06218.1.p1
TCONS_00000842.p1	OFUSG16664.1.p1
TCONS_00000843.p1	OFUSG16422.1.p1
TCONS_00000844.p1	OFUSG16664.1.p1
TCONS_00000845.p1	OFUSG22719.1.p1
TCONS_00000846.p1	OFUSG22719.1.p1
TCONS_00000847.p1	OFUSG00348.1.p1
TCONS_00000848.p1	OFUSG10353.1.p1
TCONS_00000849.p1	OFUSG16664.1.p1
TCONS_00000850.p1	OFUSG16422.1.p1
TCONS_00000851.p1	OFUSG16664.1.p1
TCONS_00000852.p1	OFUSG00912.1.p1
TCONS_00000853.p1	OFUSG01366.1.p1
TCONS_00000854.p1	OFUSG00473.1.p1
TCONS_00000855.p1	OFUSG01726.1.p1
TCONS_00000860.p1	OFUSG25239.1.p1
TCONS_00000862.p1	OFUSG20756.1.p1
TCONS_00000863.p1	OFUSG00580.1.p1
TCONS_00000865.p1	OFUSG01820.1.p1
TCONS_00000867.p1	OFUSG01558.1.p1
TCONS_00000868.p1	OFUSG00062.1.p1
TCONS_00000870.p1	OFUSG00468.1.p1
TCONS_00000871.p1	OFUSG00470.1.p1
TCONS_00000875.p1	OFUSG15520.2.p1
TCONS_00000876.p1	OFUSG25493.1.p1
TCONS_00000877.p1	OFUSG24665.1.p1
TCONS_00000878.p1	OFUSG03220.1.p1
TCONS_00000879.p2	OFUSG09836.1.p3
TCONS_00000880.p1	OFUSG22719.1.p1
TCONS_00000881.p1	OFUSG16792.1.p1
TCONS_00000885.p1	OFUSG00843.1.p1
TCONS_00000886.p1	OFUSG00151.1.p1
TCONS_00000887.p1	OFUSG01641.1.p1
TCONS_00000888.p1	OFUSG00740.1.p1
TCONS_00000889.p1	OFUSG01453.1.p1
TCONS_00000890.p1	OFUSG08637.2.p1
TCONS_00000892.p1	OFUSG01447.2.p1
TCONS_00000893.p1	OFUSG01447.2.p1
TCONS_00000894.p1	OFUSG06955.1.p1
TCONS_00000895.p1	OFUSG00871.1.p1
TCONS_00000896.p1	OFUSG00871.2.p1
TCONS_00000900.p1	OFUSG11196.1.p1
TCONS_00000901.p1	OFUSG00236.2.p1
TCONS_00000902.p1	OFUSG13200.1.p1
TCONS_00000903.p1	OFUSG13200.1.p1
TCONS_00000905.p1	OFUSG00967.1.p1
TCONS_00000909.p1	OFUSG01089.1.p1
TCONS_00000914.p1	OFUSG15499.1.p1
TCONS_00000916.p1	OFUSG19230.1.p1
TCONS_00000918.p1	OFUSG19230.1.p1
TCONS_00000920.p1	OFUSG04109.1.p1
TCONS_00000925.p1	OFUSG01215.1.p1
TCONS_00000926.p1	OFUSG01217.1.p1
TCONS_00000927.p1	OFUSG01217.1.p1
TCONS_00000928.p1	OFUSG00929.1.p1
TCONS_00000929.p1	OFUSG21464.1.p1
TCONS_00000930.p1	OFUSG26660.1.p1
TCONS_00000933.p1	OFUSG10191.1.p1
TCONS_00000935.p1	OFUSG22711.1.p1
TCONS_00000936.p1	OFUSG16774.1.p1
TCONS_00000938.p1	OFUSG01215.1.p1
TCONS_00000940.p1	OFUSG01217.1.p1
TCONS_00000946.p1	OFUSG00929.1.p1
TCONS_00000948.p1	OFUSG17690.1.p1
TCONS_00000949.p1	OFUSG26660.1.p1
TCONS_00000950.p1	OFUSG26660.1.p1
TCONS_00000951.p1	OFUSG13369.1.p1
TCONS_00000952.p1	OFUSG13369.1.p1
TCONS_00000953.p1	OFUSG13369.1.p1
TCONS_00000954.p1	OFUSG13369.1.p1
TCONS_00000956.p1	OFUSG24171.1.p1
TCONS_00000957.p1	OFUSG01814.1.p1
TCONS_00000960.p1	OFUSG01254.1.p1
TCONS_00000969.p1	OFUSG00337.1.p1
TCONS_00000976.p1	OFUSG23823.1.p2
TCONS_00000978.p1	OFUSG00423.1.p1
TCONS_00000980.p1	OFUSG01816.1.p1
TCONS_00000981.p1	OFUSG00003.2.p1
TCONS_00000982.p1	OFUSG03220.1.p1
TCONS_00000983.p1	OFUSG01682.1.p1
TCONS_00000984.p1	OFUSG02716.1.p1
TCONS_00000986.p1	OFUSG01559.1.p1
TCONS_00000988.p1	OFUSG21814.1.p1
TCONS_00000991.p1	OFUSG00660.1.p1
TCONS_00000994.p1	OFUSG01032.3.p1
TCONS_00000996.p1	OFUSG23603.1.p1
TCONS_00000999.p1	OFUSG00534.1.p1
TCONS_00001002.p1	OFUSG00447.1.p1
TCONS_00001004.p1	OFUSG01030.1.p1
TCONS_00001005.p1	OFUSG03220.1.p1
TCONS_00001010.p1	OFUSG14392.1.p1
TCONS_00001015.p1	OFUSG00312.2.p1
TCONS_00001016.p1	OFUSG01698.1.p1
TCONS_00001019.p1	OFUSG00841.2.p1
TCONS_00001020.p1	OFUSG01490.1.p1
TCONS_00001021.p1	OFUSG00336.1.p1
TCONS_00001022.p1	OFUSG03432.1.p1
TCONS_00001025.p1	OFUSG00129.1.p1
TCONS_00001028.p1	OFUSG10043.1.p1
TCONS_00001033.p1	OFUSG17360.1.p1
TCONS_00001034.p1	OFUSG08036.1.p1
TCONS_00001040.p1	OFUSG16376.1.p1
TCONS_00001041.p1	OFUSG00877.1.p1
TCONS_00001044.p1	OFUSG04293.1.p1
TCONS_00001048.p1	OFUSG08335.1.p1
TCONS_00001049.p1	OFUSG00479.1.p1
TCONS_00001051.p1	OFUSG00263.1.p1
TCONS_00001054.p1	OFUSG01160.2.p1
TCONS_00001055.p1	OFUSG19961.1.p1
TCONS_00001057.p1	OFUSG19961.1.p1
TCONS_00001058.p1	OFUSG16871.1.p1
TCONS_00001059.p1	OFUSG16871.1.p1
TCONS_00001060.p1	OFUSG16871.1.p1
TCONS_00001061.p1	OFUSG16871.1.p1
TCONS_00001066.p1	OFUSG08050.2.p1
TCONS_00001067.p1	OFUSG15242.1.p1
TCONS_00001070.p1	OFUSG19753.1.p1
TCONS_00001072.p1	OFUSG19976.1.p1
TCONS_00001074.p1	OFUSG19961.1.p1
TCONS_00001075.p1	OFUSG01289.1.p1
TCONS_00001078.p1	OFUSG20544.1.p1
TCONS_00001080.p1	OFUSG20544.1.p1
TCONS_00001082.p1	OFUSG15331.1.p1
TCONS_00001085.p1	OFUSG00809.1.p1
TCONS_00001087.p1	OFUSG00026.1.p1
TCONS_00001088.p1	OFUSG16660.1.p1
TCONS_00001090.p1	OFUSG03445.1.p1
TCONS_00001091.p1	OFUSG01356.1.p1
TCONS_00001096.p1	OFUSG19961.1.p1
TCONS_00001097.p1	OFUSG00436.2.p1
TCONS_00001098.p1	OFUSG06951.1.p1
TCONS_00001099.p1	OFUSG08522.1.p1
TCONS_00001101.p1	OFUSG10063.5.p1
TCONS_00001102.p1	OFUSG17106.1.p1
TCONS_00001103.p1	OFUSG01280.1.p1
TCONS_00001109.p1	OFUSG01104.1.p1
TCONS_00001111.p1	OFUSG01071.1.p1
TCONS_00001112.p1	OFUSG07483.1.p1
TCONS_00001115.p1	OFUSG00843.1.p1
TCONS_00001118.p1	OFUSG00843.1.p1
TCONS_00001123.p1	OFUSG00128.2.p1
TCONS_00001125.p1	OFUSG01573.1.p1
TCONS_00001126.p1	OFUSG00890.1.p1
TCONS_00001127.p1	OFUSG01407.1.p1
TCONS_00001128.p1	OFUSG00890.1.p1
TCONS_00001132.p1	OFUSG00605.1.p1
TCONS_00001133.p1	OFUSG01478.1.p1
TCONS_00001135.p1	OFUSG01801.1.p1
TCONS_00001137.p1	OFUSG01516.1.p1
TCONS_00001138.p1	OFUSG01516.1.p1
TCONS_00001141.p1	OFUSG00459.1.p1
TCONS_00001144.p1	OFUSG22342.1.p1
TCONS_00001145.p1	OFUSG00977.3.p1
TCONS_00001146.p1	OFUSG26275.1.p1
TCONS_00001147.p1	OFUSG19751.1.p1
TCONS_00001149.p1	OFUSG14505.1.p1
TCONS_00001150.p1	OFUSG10380.1.p1
TCONS_00001151.p1	OFUSG03547.1.p1
TCONS_00001152.p1	OFUSG00398.2.p1
TCONS_00001154.p1	OFUSG13873.1.p1
TCONS_00001155.p1	OFUSG23304.1.p1
TCONS_00001157.p1	OFUSG10380.1.p1
TCONS_00001159.p1	OFUSG00398.2.p1
TCONS_00001161.p1	OFUSG00759.1.p1
TCONS_00001162.p1	OFUSG15011.1.p1
TCONS_00001163.p1	OFUSG10702.1.p1
