TCONS_00000009.p1	HUMAN00695
TCONS_00000338.p1	HUMAN07461
TCONS_00000340.p1	HUMAN25325
TCONS_00000342.p1	HUMAN25466
TCONS_00000343.p1	HUMAN28948
TCONS_00000351.p1	HUMAN22676
TCONS_00000353.p1	HUMAN16147
TCONS_00000355.p1	HUMAN05522
TCONS_00000357.p1	HUMAN05522
TCONS_00000360.p1	HUMAN24821
TCONS_00000361.p1	HUMAN25810
TCONS_00000367.p1	HUMAN03412
TCONS_00000368.p1	HUMAN03412
TCONS_00000371.p1	HUMAN27912
TCONS_00000372.p1	HUMAN25477
TCONS_00000373.p1	HUMAN25477
TCONS_00000375.p1	HUMAN25477
TCONS_00000376.p1	HUMAN21473
TCONS_00000377.p1	HUMAN19899
TCONS_00000379.p1	HUMAN19899
TCONS_00000382.p1	HUMAN22036
TCONS_00000383.p1	HUMAN10694
TCONS_00000387.p1	HUMAN22770
TCONS_00000388.p1	HUMAN22770
TCONS_00000389.p1	HUMAN22770
TCONS_00000390.p1	HUMAN22770
TCONS_00000392.p1	HUMAN22770
TCONS_00000393.p1	HUMAN22770
TCONS_00000394.p1	HUMAN22770
TCONS_00000395.p1	HUMAN07496
TCONS_00000403.p1	HUMAN22310
TCONS_00000406.p1	HUMAN25830
TCONS_00000408.p1	HUMAN00812
TCONS_00000409.p1	HUMAN25642
TCONS_00000410.p1	HUMAN17661
TCONS_00000411.p1	HUMAN06346
TCONS_00000414.p1	HUMAN17661
TCONS_00000415.p1	HUMAN16478
TCONS_00000417.p1	HUMAN15145
TCONS_00000418.p1	HUMAN16480
TCONS_00000419.p1	HUMAN16233
TCONS_00000420.p1	HUMAN15182
TCONS_00000421.p1	HUMAN15177
TCONS_00000422.p1	HUMAN15378
TCONS_00000423.p1	HUMAN21244
TCONS_00000424.p1	HUMAN22109
TCONS_00000425.p1	HUMAN17545
TCONS_00000426.p1	HUMAN25847
TCONS_00000428.p1	HUMAN00679
TCONS_00000429.p1	HUMAN00679
TCONS_00000430.p1	HUMAN01474
TCONS_00000431.p1	HUMAN25476
TCONS_00000434.p1	HUMAN02932
TCONS_00000440.p1	HUMAN22325
TCONS_00000443.p1	HUMAN05639
TCONS_00000445.p1	HUMAN22325
TCONS_00000446.p1	HUMAN17698
TCONS_00000448.p1	HUMAN21395
TCONS_00000449.p1	HUMAN21395
TCONS_00000451.p1	HUMAN22325
TCONS_00000452.p1	HUMAN21395
TCONS_00000453.p1	HUMAN21395
TCONS_00000459.p1	HUMAN22325
TCONS_00000460.p1	HUMAN15618
TCONS_00000461.p1	HUMAN06654
TCONS_00000463.p1	HUMAN14664
TCONS_00000464.p1	HUMAN00436
TCONS_00000469.p1	HUMAN11196
TCONS_00000470.p1	HUMAN00432
TCONS_00000473.p1	HUMAN13510
TCONS_00000475.p1	HUMAN13916
TCONS_00000478.p1	HUMAN25813
TCONS_00000480.p1	HUMAN19899
TCONS_00000482.p1	HUMAN06407
TCONS_00000492.p1	HUMAN25778
TCONS_00000493.p1	HUMAN29737
TCONS_00000495.p1	HUMAN02090
TCONS_00000496.p1	HUMAN25319
TCONS_00000497.p1	HUMAN25319
TCONS_00000499.p1	HUMAN03633
TCONS_00000504.p1	HUMAN03633
TCONS_00000505.p1	HUMAN03633
TCONS_00000506.p1	HUMAN03633
TCONS_00000507.p1	HUMAN03633
TCONS_00000511.p1	HUMAN13588
TCONS_00000512.p1	HUMAN10744
TCONS_00000515.p1	HUMAN00494
TCONS_00000518.p1	HUMAN25340
TCONS_00000523.p1	HUMAN00759
TCONS_00000524.p1	HUMAN30321
TCONS_00000530.p1	HUMAN22747
TCONS_00000531.p1	HUMAN03169
TCONS_00000532.p1	HUMAN25380
TCONS_00000533.p1	HUMAN22747
TCONS_00000534.p1	HUMAN27059
TCONS_00000535.p1	HUMAN22747
TCONS_00000539.p1	HUMAN01256
TCONS_00000544.p1	HUMAN00119
TCONS_00000546.p1	HUMAN29023
TCONS_00000548.p1	HUMAN03733
TCONS_00000549.p1	HUMAN05921
TCONS_00000550.p1	HUMAN11468
TCONS_00000558.p1	HUMAN27462
TCONS_00000559.p1	HUMAN05921
TCONS_00000560.p1	HUMAN07395
TCONS_00000565.p1	HUMAN29023
TCONS_00000569.p1	HUMAN11468
TCONS_00000570.p1	HUMAN07349
TCONS_00000571.p1	HUMAN13177
TCONS_00000575.p1	HUMAN07693
TCONS_00000577.p1	HUMAN25853
TCONS_00000579.p1	HUMAN00738
TCONS_00000580.p1	HUMAN25405
TCONS_00000584.p1	HUMAN25405
TCONS_00000585.p1	HUMAN00455
TCONS_00000589.p1	HUMAN05370
TCONS_00000591.p1	HUMAN21194
TCONS_00000594.p1	HUMAN17199
TCONS_00000595.p1	HUMAN19445
TCONS_00000598.p1	HUMAN00810
TCONS_00000600.p1	HUMAN09166
TCONS_00000601.p1	HUMAN06761
TCONS_00000609.p1	HUMAN10073
TCONS_00000611.p1	HUMAN02391
TCONS_00000613.p1	HUMAN23567
TCONS_00000614.p1	HUMAN23764
TCONS_00000615.p1	HUMAN25813
TCONS_00000616.p1	HUMAN23763
TCONS_00000617.p1	HUMAN25813
TCONS_00000627.p1	HUMAN07479
TCONS_00000629.p1	HUMAN02912
TCONS_00000630.p1	HUMAN02912
TCONS_00000631.p1	HUMAN21222
TCONS_00000632.p1	HUMAN21754
TCONS_00000635.p1	HUMAN00765
TCONS_00000637.p1	HUMAN19463
TCONS_00000638.p1	HUMAN19464
TCONS_00000640.p1	HUMAN25421
TCONS_00000643.p1	HUMAN09424
TCONS_00000645.p1	HUMAN05320
TCONS_00000651.p1	HUMAN19996
TCONS_00000653.p1	HUMAN19996
TCONS_00000654.p1	HUMAN19996
TCONS_00000655.p1	HUMAN21367
TCONS_00000659.p1	HUMAN15336
TCONS_00000661.p1	HUMAN10009
TCONS_00000662.p1	HUMAN15081
TCONS_00000663.p1	HUMAN15081
TCONS_00000665.p1	HUMAN10226
TCONS_00000667.p1	HUMAN11905
TCONS_00000668.p1	HUMAN11905
TCONS_00000669.p1	HUMAN19033
TCONS_00000670.p1	HUMAN11905
TCONS_00000672.p1	HUMAN23635
TCONS_00000673.p1	HUMAN13482
TCONS_00000674.p1	HUMAN11905
TCONS_00000676.p1	HUMAN07432
TCONS_00000678.p1	HUMAN15172
TCONS_00000679.p1	HUMAN16504
TCONS_00000681.p1	HUMAN07234
TCONS_00000684.p1	HUMAN00709
TCONS_00000689.p1	HUMAN25671
TCONS_00000693.p1	HUMAN17929
TCONS_00000695.p1	HUMAN15336
TCONS_00000697.p1	HUMAN21170
TCONS_00000698.p1	HUMAN13969
TCONS_00000700.p1	HUMAN02245
TCONS_00000703.p1	HUMAN06815
TCONS_00000704.p1	HUMAN04760
TCONS_00000705.p1	HUMAN25813
TCONS_00000706.p1	HUMAN25813
TCONS_00000707.p1	HUMAN25813
TCONS_00000708.p1	HUMAN25813
TCONS_00000709.p1	HUMAN25813
TCONS_00000710.p1	HUMAN23763
TCONS_00000711.p1	HUMAN03699
TCONS_00000712.p1	HUMAN28036
TCONS_00000713.p1	HUMAN01740
TCONS_00000715.p1	HUMAN19996
TCONS_00000716.p1	HUMAN19996
TCONS_00000717.p1	HUMAN19996
TCONS_00000718.p1	HUMAN19996
TCONS_00000719.p1	HUMAN19996
TCONS_00000720.p1	HUMAN19996
TCONS_00000721.p1	HUMAN19996
TCONS_00000722.p1	HUMAN19996
TCONS_00000726.p1	HUMAN13131
TCONS_00000727.p1	HUMAN23029
TCONS_00000728.p1	HUMAN30319
TCONS_00000729.p1	HUMAN05451
TCONS_00000733.p1	HUMAN22815
TCONS_00000735.p1	HUMAN11468
TCONS_00000738.p1	HUMAN29664
TCONS_00000740.p1	HUMAN08916
TCONS_00000742.p1	HUMAN25787
TCONS_00000749.p1	HUMAN00497
TCONS_00000750.p1	HUMAN25336
TCONS_00000752.p1	HUMAN06056
TCONS_00000760.p1	HUMAN07395
TCONS_00000762.p1	HUMAN25813
TCONS_00000763.p1	HUMAN25813
TCONS_00000770.p1	HUMAN01938
TCONS_00000771.p1	HUMAN17929
TCONS_00000772.p1	HUMAN05720
TCONS_00000773.p1	HUMAN27224
TCONS_00000774.p1	HUMAN00735
TCONS_00000777.p1	HUMAN21045
TCONS_00000778.p1	HUMAN07479
TCONS_00000779.p1	HUMAN12969
TCONS_00000780.p1	HUMAN18718
TCONS_00000786.p1	HUMAN21370
TCONS_00000787.p1	HUMAN21370
TCONS_00000788.p1	HUMAN08916
TCONS_00000794.p1	HUMAN21370
TCONS_00000795.p1	HUMAN21370
TCONS_00000797.p1	HUMAN21370
TCONS_00000805.p1	HUMAN17067
TCONS_00000806.p1	HUMAN23535
TCONS_00000808.p1	HUMAN23535
TCONS_00000810.p1	HUMAN23534
TCONS_00000811.p1	HUMAN23535
TCONS_00000813.p1	HUMAN23534
TCONS_00000815.p1	HUMAN23534
TCONS_00000816.p1	HUMAN23534
TCONS_00000817.p1	HUMAN16478
TCONS_00000818.p1	HUMAN16225
TCONS_00000819.p1	HUMAN16480
TCONS_00000820.p1	HUMAN23534
TCONS_00000822.p1	HUMAN23534
TCONS_00000823.p1	HUMAN23535
TCONS_00000824.p1	HUMAN18532
TCONS_00000826.p1	HUMAN28748
TCONS_00000827.p1	HUMAN23535
TCONS_00000830.p1	HUMAN23534
TCONS_00000831.p1	HUMAN19436
TCONS_00000832.p1	HUMAN19436
TCONS_00000838.p1	HUMAN25793
TCONS_00000839.p1	HUMAN25403
TCONS_00000842.p1	HUMAN26709
TCONS_00000843.p1	HUMAN26167
TCONS_00000844.p1	HUMAN26167
TCONS_00000847.p1	HUMAN25793
TCONS_00000848.p1	HUMAN25403
TCONS_00000849.p1	HUMAN26709
TCONS_00000850.p1	HUMAN26167
TCONS_00000851.p1	HUMAN26167
TCONS_00000852.p1	HUMAN00744
TCONS_00000853.p1	HUMAN25406
TCONS_00000854.p1	HUMAN00592
TCONS_00000855.p1	HUMAN25443
TCONS_00000860.p1	HUMAN03416
TCONS_00000862.p1	HUMAN02926
TCONS_00000863.p1	HUMAN23072
TCONS_00000865.p1	HUMAN25649
TCONS_00000867.p1	HUMAN25476
TCONS_00000868.p1	HUMAN25442
TCONS_00000870.p1	HUMAN25439
TCONS_00000871.p1	HUMAN25438
TCONS_00000875.p1	HUMAN30120
TCONS_00000877.p1	HUMAN26499
TCONS_00000878.p1	HUMAN04088
TCONS_00000885.p1	HUMAN30392
TCONS_00000886.p1	HUMAN01354
TCONS_00000887.p1	HUMAN16683
TCONS_00000888.p1	HUMAN29963
TCONS_00000889.p1	HUMAN21248
TCONS_00000890.p1	HUMAN03982
TCONS_00000892.p1	HUMAN07458
TCONS_00000893.p1	HUMAN07458
TCONS_00000895.p1	HUMAN21113
TCONS_00000896.p1	HUMAN17451
TCONS_00000900.p1	HUMAN08710
TCONS_00000901.p1	HUMAN16675
TCONS_00000902.p1	HUMAN26723
TCONS_00000903.p1	HUMAN26723
TCONS_00000905.p1	HUMAN22993
TCONS_00000909.p1	HUMAN25377
TCONS_00000916.p1	HUMAN05847
TCONS_00000920.p1	HUMAN25336
TCONS_00000925.p1	HUMAN07388
TCONS_00000926.p1	HUMAN25371
TCONS_00000927.p1	HUMAN25370
TCONS_00000929.p1	HUMAN02914
TCONS_00000930.p1	HUMAN26644
TCONS_00000935.p1	HUMAN25336
TCONS_00000936.p1	HUMAN25336
TCONS_00000938.p1	HUMAN07388
TCONS_00000940.p1	HUMAN25371
TCONS_00000948.p1	HUMAN02914
TCONS_00000949.p1	HUMAN26644
TCONS_00000950.p1	HUMAN26644
TCONS_00000951.p1	HUMAN03260
TCONS_00000952.p1	HUMAN03260
TCONS_00000953.p1	HUMAN03260
TCONS_00000954.p1	HUMAN03260
TCONS_00000960.p1	HUMAN00536
TCONS_00000969.p1	HUMAN28804
TCONS_00000976.p1	HUMAN30011
TCONS_00000978.p1	HUMAN13665
TCONS_00000980.p1	HUMAN29676
TCONS_00000981.p1	HUMAN25697
TCONS_00000982.p1	HUMAN04088
TCONS_00000983.p1	HUMAN30598
TCONS_00000984.p1	HUMAN09640
TCONS_00000988.p1	HUMAN10397
TCONS_00000991.p1	HUMAN30057
TCONS_00000994.p1	HUMAN05299
TCONS_00000996.p1	HUMAN18858
TCONS_00000999.p1	HUMAN25436
TCONS_00001002.p1	HUMAN25394
TCONS_00001003.p1	HUMAN07463
TCONS_00001004.p1	HUMAN25387
TCONS_00001005.p1	HUMAN04088
TCONS_00001008.p1	HUMAN08230
TCONS_00001010.p1	HUMAN22920
TCONS_00001012.p1	HUMAN16583
TCONS_00001015.p1	HUMAN25829
TCONS_00001016.p1	HUMAN19436
TCONS_00001019.p1	HUMAN25140
TCONS_00001020.p1	HUMAN21387
TCONS_00001021.p1	HUMAN21386
TCONS_00001022.p1	HUMAN15378
TCONS_00001024.p1	HUMAN08916
TCONS_00001025.p1	HUMAN25475
TCONS_00001028.p1	HUMAN09392
TCONS_00001032.p1	HUMAN21399
TCONS_00001033.p1	HUMAN17948
TCONS_00001034.p1	HUMAN29167
TCONS_00001039.p1	HUMAN04465
TCONS_00001041.p1	HUMAN01347
TCONS_00001044.p1	HUMAN01546
TCONS_00001048.p1	HUMAN09894
TCONS_00001049.p1	HUMAN25832
TCONS_00001055.p1	HUMAN05720
TCONS_00001056.p1	HUMAN15683
TCONS_00001057.p1	HUMAN09656
TCONS_00001058.p1	HUMAN05720
TCONS_00001059.p1	HUMAN21335
TCONS_00001060.p1	HUMAN21170
TCONS_00001061.p1	HUMAN05720
TCONS_00001066.p1	HUMAN21163
TCONS_00001067.p1	HUMAN13259
TCONS_00001070.p1	HUMAN01912
TCONS_00001074.p1	HUMAN05720
TCONS_00001075.p1	HUMAN19469
TCONS_00001078.p1	HUMAN20228
TCONS_00001082.p1	HUMAN22770
TCONS_00001085.p1	HUMAN25430
TCONS_00001087.p1	HUMAN02068
TCONS_00001090.p1	HUMAN25766
TCONS_00001096.p1	HUMAN17930
TCONS_00001097.p1	HUMAN22687
TCONS_00001101.p1	HUMAN22804
TCONS_00001102.p1	HUMAN25612
TCONS_00001109.p1	HUMAN25493
TCONS_00001111.p1	HUMAN25801
TCONS_00001112.p1	HUMAN28841
TCONS_00001115.p1	HUMAN30392
TCONS_00001118.p1	HUMAN30392
TCONS_00001123.p1	HUMAN05302
TCONS_00001125.p1	HUMAN07227
TCONS_00001126.p1	HUMAN30121
TCONS_00001127.p1	HUMAN00705
TCONS_00001128.p1	HUMAN00705
TCONS_00001132.p1	HUMAN25855
TCONS_00001133.p1	HUMAN05368
TCONS_00001135.p1	HUMAN25421
TCONS_00001137.p1	HUMAN25663
TCONS_00001138.p1	HUMAN25663
TCONS_00001141.p1	HUMAN25418
TCONS_00001144.p1	HUMAN24351
TCONS_00001145.p1	HUMAN25701
TCONS_00001146.p1	HUMAN13131
TCONS_00001147.p1	HUMAN11448
TCONS_00001149.p1	HUMAN13131
TCONS_00001150.p1	HUMAN18327
TCONS_00001151.p1	HUMAN11743
TCONS_00001152.p1	HUMAN25450
TCONS_00001154.p1	HUMAN03912
TCONS_00001155.p1	HUMAN23567
TCONS_00001157.p1	HUMAN18327
TCONS_00001159.p1	HUMAN25451
TCONS_00001161.p1	HUMAN03603
TCONS_00001165.p1	HUMAN25705
TCONS_00001168.p1	HUMAN07395
TCONS_00001169.p1	HUMAN20002
TCONS_00001170.p1	HUMAN28090
TCONS_00001171.p1	HUMAN05175
TCONS_00001172.p1	HUMAN24946
TCONS_00001174.p1	HUMAN19496
TCONS_00001175.p1	HUMAN25652
TCONS_00001177.p1	HUMAN13726
TCONS_00001178.p1	HUMAN19481
TCONS_00001179.p1	HUMAN19471
TCONS_00001181.p1	HUMAN21366
TCONS_00001182.p1	HUMAN13576
TCONS_00001187.p1	HUMAN25652
TCONS_00001188.p1	HUMAN13726
TCONS_00001189.p1	HUMAN19481
TCONS_00001190.p1	HUMAN19471
TCONS_00001191.p1	HUMAN21366
TCONS_00001193.p1	HUMAN13576
TCONS_00001195.p1	HUMAN21214
TCONS_00001196.p1	HUMAN09314
TCONS_00001197.p1	HUMAN00754
TCONS_00001200.p1	HUMAN23009
TCONS_00001201.p1	HUMAN22750
TCONS_00001202.p1	HUMAN24114
TCONS_00001203.p1	HUMAN00674
TCONS_00001204.p1	HUMAN15184
TCONS_00001205.p1	HUMAN25803
TCONS_00001206.p1	HUMAN13534
TCONS_00001217.p1	HUMAN27827
TCONS_00001218.p1	HUMAN16242
TCONS_00001222.p1	HUMAN20492
TCONS_00001225.p1	HUMAN25368
TCONS_00001226.p1	HUMAN00526
TCONS_00001232.p1	HUMAN30113
TCONS_00001234.p1	HUMAN25817
TCONS_00001238.p1	HUMAN25317
TCONS_00001241.p1	HUMAN27743
TCONS_00001243.p1	HUMAN00503
TCONS_00001245.p1	HUMAN29728
TCONS_00001248.p1	HUMAN25835
TCONS_00001249.p1	HUMAN25314
TCONS_00001251.p1	HUMAN24941
TCONS_00001252.p1	HUMAN29023
TCONS_00001253.p1	HUMAN29426
TCONS_00001257.p1	HUMAN27356
TCONS_00001258.p1	HUMAN29426
TCONS_00001265.p1	HUMAN01480
TCONS_00001267.p1	HUMAN25408
TCONS_00001268.p1	HUMAN05450
TCONS_00001269.p1	HUMAN29663
TCONS_00001270.p1	HUMAN29976
TCONS_00001274.p1	HUMAN17692
TCONS_00001275.p1	HUMAN05311
TCONS_00001276.p1	HUMAN24429
TCONS_00001280.p1	HUMAN16669
TCONS_00001281.p1	HUMAN25842
TCONS_00001282.p1	HUMAN23535
TCONS_00001284.p1	HUMAN05384
TCONS_00001287.p1	HUMAN28926
TCONS_00001290.p1	HUMAN28842
TCONS_00001292.p1	HUMAN01912
TCONS_00001294.p1	HUMAN25813
TCONS_00001295.p1	HUMAN13481
TCONS_00001297.p1	HUMAN01483
TCONS_00001298.p1	HUMAN01483
TCONS_00001299.p1	HUMAN25813
TCONS_00001300.p1	HUMAN25813
TCONS_00001301.p1	HUMAN25813
TCONS_00001303.p1	HUMAN25307
TCONS_00001304.p1	HUMAN29667
TCONS_00001305.p1	HUMAN29685
TCONS_00001307.p1	HUMAN29644
TCONS_00001309.p1	HUMAN17450
TCONS_00001313.p1	HUMAN25667
TCONS_00001314.p1	HUMAN30035
TCONS_00001318.p1	HUMAN04420
TCONS_00001321.p1	HUMAN16680
TCONS_00001323.p1	HUMAN22858
TCONS_00001324.p1	HUMAN30599
TCONS_00001325.p1	HUMAN24815
TCONS_00001326.p1	HUMAN30599
TCONS_00001327.p1	HUMAN30599
TCONS_00001336.p1	HUMAN25380
TCONS_00001339.p1	HUMAN01294
TCONS_00001343.p1	HUMAN26028
TCONS_00001344.p1	HUMAN23144
TCONS_00001345.p1	HUMAN03482
TCONS_00001346.p1	HUMAN03689
TCONS_00001347.p1	HUMAN03689
TCONS_00001348.p1	HUMAN03689
TCONS_00001352.p1	HUMAN21491
TCONS_00001354.p1	HUMAN25640
TCONS_00001362.p1	HUMAN23763
TCONS_00001363.p1	HUMAN20603
TCONS_00001364.p1	HUMAN09460
TCONS_00001367.p1	HUMAN20291
TCONS_00001369.p1	HUMAN28067
TCONS_00001370.p1	HUMAN20291
TCONS_00001373.p1	HUMAN25469
TCONS_00001375.p1	HUMAN07701
TCONS_00001376.p1	HUMAN03447
TCONS_00001377.p1	HUMAN03447
TCONS_00001378.p1	HUMAN03447
TCONS_00001380.p1	HUMAN03447
TCONS_00001383.p1	HUMAN29639
TCONS_00001384.p1	HUMAN03234
TCONS_00001387.p1	HUMAN07286
TCONS_00001389.p1	HUMAN19530
TCONS_00001391.p1	HUMAN25382
TCONS_00001392.p1	HUMAN19429
TCONS_00001393.p1	HUMAN00761
TCONS_00001399.p1	HUMAN00761
TCONS_00001400.p1	HUMAN25601
TCONS_00001401.p1	HUMAN30597
TCONS_00001408.p1	HUMAN26427
TCONS_00001410.p1	HUMAN21183
TCONS_00001411.p1	HUMAN26964
TCONS_00001416.p1	HUMAN11055
TCONS_00001418.p1	HUMAN30392
TCONS_00001421.p1	HUMAN25674
TCONS_00001422.p1	HUMAN30392
TCONS_00001424.p1	HUMAN30392
TCONS_00001427.p1	HUMAN00452
TCONS_00001428.p1	HUMAN22472
TCONS_00001429.p1	HUMAN22505
TCONS_00001430.p1	HUMAN30392
TCONS_00001432.p1	HUMAN25674
TCONS_00001436.p1	HUMAN30392
TCONS_00001437.p1	HUMAN25674
TCONS_00001439.p1	HUMAN29653
TCONS_00001440.p1	HUMAN25674
TCONS_00001441.p1	HUMAN25151
TCONS_00001442.p1	HUMAN19381
TCONS_00001443.p1	HUMAN11448
TCONS_00001446.p1	HUMAN11448
TCONS_00001461.p1	HUMAN03159
TCONS_00001462.p1	HUMAN12497
TCONS_00001464.p1	HUMAN10009
TCONS_00001465.p1	HUMAN16480
TCONS_00001466.p1	HUMAN10623
TCONS_00001467.p1	HUMAN13916
TCONS_00001469.p1	HUMAN20636
TCONS_00001479.p1	HUMAN07498
TCONS_00001480.p1	HUMAN22036
TCONS_00001483.p1	HUMAN08916
TCONS_00001487.p1	HUMAN02519
TCONS_00001488.p1	HUMAN22979
TCONS_00001489.p1	HUMAN23202
TCONS_00001491.p1	HUMAN29657
TCONS_00001492.p1	HUMAN21395
TCONS_00001496.p1	HUMAN13653
TCONS_00001498.p1	HUMAN10009
TCONS_00001501.p1	HUMAN25477
TCONS_00001509.p1	HUMAN22036
TCONS_00001510.p2	HUMAN01884
TCONS_00001512.p1	HUMAN15081
TCONS_00001513.p1	HUMAN15081
TCONS_00001514.p1	HUMAN15081
TCONS_00001516.p1	HUMAN10034
TCONS_00001517.p1	HUMAN03689
TCONS_00001518.p1	HUMAN03689
TCONS_00001520.p1	HUMAN18834
TCONS_00001527.p1	HUMAN25010
TCONS_00001528.p1	HUMAN07937
TCONS_00001529.p1	HUMAN06227
TCONS_00001530.p1	HUMAN22770
TCONS_00001531.p1	HUMAN22770
TCONS_00001532.p1	HUMAN22770
TCONS_00001533.p1	HUMAN25390
TCONS_00001534.p1	HUMAN25390
TCONS_00001535.p1	HUMAN28682
TCONS_00001536.p1	HUMAN21364
TCONS_00001538.p1	HUMAN25462
TCONS_00001539.p1	HUMAN06346
TCONS_00001540.p1	HUMAN17661
TCONS_00001541.p1	HUMAN06346
TCONS_00001542.p1	HUMAN06346
TCONS_00001543.p1	HUMAN06346
TCONS_00001544.p1	HUMAN06344
TCONS_00001545.p1	HUMAN17661
TCONS_00001550.p1	HUMAN25828
TCONS_00001551.p1	HUMAN00501
TCONS_00001552.p1	HUMAN19588
TCONS_00001553.p1	HUMAN21958
TCONS_00001555.p1	HUMAN25476
TCONS_00001556.p1	HUMAN03482
TCONS_00001557.p1	HUMAN03482
TCONS_00001558.p1	HUMAN01089
TCONS_00001569.p1	HUMAN21170
TCONS_00001570.p1	HUMAN21170
TCONS_00001573.p1	HUMAN01912
TCONS_00001576.p1	HUMAN01912
TCONS_00001578.p1	HUMAN21170
TCONS_00001579.p1	HUMAN21170
TCONS_00001580.p1	HUMAN15336
TCONS_00001581.p1	HUMAN15336
TCONS_00001582.p1	HUMAN21170
TCONS_00001583.p1	HUMAN09656
TCONS_00001584.p1	HUMAN05720
TCONS_00001585.p1	HUMAN13969
TCONS_00001586.p1	HUMAN05720
TCONS_00001589.p1	HUMAN17929
