TCONS_00000010.p1	OFUSG03055.1.p1
TCONS_00000189.p1	OFUSG01859.1.p1
TCONS_00000194.p4	OFUSG14840.1.p1
TCONS_00000194.p4	OFUSG15383.1.p4
TCONS_00000199.p1	OFUSG00404.1.p1
TCONS_00000200.p1	OFUSG01510.1.p1
TCONS_00000200.p1	OFUSG01510.2.p1
TCONS_00000201.p1	OFUSG07228.1.p1
TCONS_00000203.p1	OFUSG02881.1.p1
TCONS_00000206.p1	OFUSG01432.1.p1
TCONS_00000207.p1	OFUSG07985.1.p1
TCONS_00000211.p1	OFUSG05753.1.p1
TCONS_00000211.p1	OFUSG05821.1.p1
TCONS_00000211.p1	OFUSG12413.1.p1
TCONS_00000211.p1	OFUSG18381.1.p1
TCONS_00000211.p1	OFUSG26801.1.p1
TCONS_00000219.p1	OFUSG01405.1.p1
TCONS_00000219.p1	OFUSG01405.2.p1
TCONS_00000219.p1	OFUSG09484.1.p1
TCONS_00000219.p1	OFUSG09484.2.p1
TCONS_00000219.p1	OFUSG16822.1.p1
TCONS_00000219.p1	OFUSG24563.1.p1
TCONS_00000219.p1	OFUSG24565.1.p2
TCONS_00000254.p1	OFUSG00063.1.p1
TCONS_00000254.p1	OFUSG00064.1.p1
TCONS_00000254.p1	OFUSG00064.2.p1
TCONS_00000254.p1	OFUSG00064.3.p1
TCONS_00000254.p1	OFUSG00064.4.p1
TCONS_00000254.p1	OFUSG00065.1.p1
TCONS_00000259.p1	OFUSG01055.1.p1
TCONS_00000259.p1	OFUSG04968.1.p1
TCONS_00000270.p1	OFUSG00046.1.p1
TCONS_00000272.p1	OFUSG22900.2.p1
TCONS_00000274.p1	OFUSG00457.1.p1
TCONS_00000278.p1	OFUSG05217.1.p1
TCONS_00000282.p1	OFUSG00363.1.p1
TCONS_00000285.p1	OFUSG07386.1.p1
TCONS_00000287.p1	OFUSG00006.1.p1
TCONS_00000293.p1	OFUSG00256.1.p1
TCONS_00000295.p1	OFUSG01073.1.p1
TCONS_00000295.p1	OFUSG01073.2.p1
TCONS_00000299.p1	OFUSG01507.1.p1
TCONS_00000311.p1	OFUSG06082.1.p1
TCONS_00000311.p1	OFUSG06082.2.p1
TCONS_00000311.p1	OFUSG06136.1.p1
TCONS_00000312.p1	OFUSG12480.1.p1
TCONS_00000312.p1	OFUSG13984.1.p1
TCONS_00000312.p1	OFUSG15150.1.p1
TCONS_00000312.p1	OFUSG24138.1.p1
TCONS_00000323.p1	OFUSG00343.1.p1
TCONS_00000324.p1	OFUSG02695.1.p1
TCONS_00000324.p1	OFUSG02703.1.p1
TCONS_00000327.p1	OFUSG06258.1.p1
TCONS_00000327.p1	OFUSG18267.1.p1
TCONS_00000327.p1	OFUSG18267.2.p1
TCONS_00000327.p1	OFUSG20525.1.p1
TCONS_00000327.p1	OFUSG24447.1.p1
TCONS_00000340.p1	OFUSG00177.1.p1
TCONS_00000340.p1	OFUSG08904.1.p1
TCONS_00000342.p1	OFUSG00714.1.p1
TCONS_00000351.p1	OFUSG00904.1.p1
TCONS_00000360.p1	OFUSG10604.1.p1
TCONS_00000361.p1	OFUSG00440.1.p1
TCONS_00000379.p1	OFUSG12768.1.p1
TCONS_00000379.p1	OFUSG13788.1.p1
TCONS_00000379.p1	OFUSG16825.1.p1
TCONS_00000379.p1	OFUSG17001.1.p1
TCONS_00000379.p1	OFUSG19244.1.p1
TCONS_00000379.p1	OFUSG22386.1.p1
TCONS_00000379.p1	OFUSG22708.1.p1
TCONS_00000379.p1	OFUSG22993.1.p1
TCONS_00000379.p1	OFUSG24134.1.p1
TCONS_00000379.p1	OFUSG24902.1.p1
TCONS_00000379.p1	OFUSG24902.2.p1
TCONS_00000383.p1	OFUSG00645.1.p1
TCONS_00000387.p1	OFUSG05628.1.p1
TCONS_00000395.p1	OFUSG00906.1.p1
TCONS_00000403.p1	OFUSG00332.1.p1
TCONS_00000403.p1	OFUSG02878.1.p1
TCONS_00000403.p1	OFUSG16373.1.p1
TCONS_00000406.p1	OFUSG00935.1.p1
TCONS_00000406.p1	OFUSG13446.1.p1
TCONS_00000406.p1	OFUSG13446.2.p1
TCONS_00000408.p1	OFUSG00909.1.p1
TCONS_00000409.p1	OFUSG01720.1.p1
TCONS_00000411.p1	OFUSG15211.1.p1
TCONS_00000415.p1	OFUSG03834.1.p1
TCONS_00000419.p1	OFUSG03757.2.p2
TCONS_00000419.p1	OFUSG11255.1.p1
TCONS_00000420.p1	OFUSG20464.1.p1
TCONS_00000423.p1	OFUSG08216.1.p1
TCONS_00000423.p1	OFUSG08216.2.p1
TCONS_00000425.p1	OFUSG00521.1.p1
TCONS_00000425.p1	OFUSG01834.1.p1
TCONS_00000426.p1	OFUSG00691.1.p1
TCONS_00000428.p1	OFUSG00226.1.p1
TCONS_00000430.p1	OFUSG07442.1.p1
TCONS_00000446.p1	OFUSG05416.1.p1
TCONS_00000461.p1	OFUSG05996.1.p1
TCONS_00000461.p1	OFUSG05999.1.p1
TCONS_00000461.p1	OFUSG12667.1.p1
TCONS_00000461.p1	OFUSG21045.1.p1
TCONS_00000480.p1	OFUSG08646.1.p1
TCONS_00000492.p1	OFUSG00302.1.p1
TCONS_00000492.p1	OFUSG00302.2.p1
TCONS_00000493.p1	OFUSG00518.1.p1
TCONS_00000493.p1	OFUSG08269.1.p1
TCONS_00000495.p1	OFUSG00619.1.p1
TCONS_00000496.p1	OFUSG01293.1.p1
TCONS_00000496.p1	OFUSG01294.1.p1
TCONS_00000496.p1	OFUSG01295.1.p1
TCONS_00000497.p1	OFUSG01296.1.p1
TCONS_00000497.p1	OFUSG01297.1.p1
TCONS_00000497.p1	OFUSG01298.1.p1
TCONS_00000497.p1	OFUSG01298.2.p1
TCONS_00000497.p1	OFUSG01299.1.p1
TCONS_00000497.p1	OFUSG01301.1.p1
TCONS_00000499.p1	OFUSG00730.1.p1
TCONS_00000511.p1	OFUSG03328.1.p1
TCONS_00000511.p1	OFUSG11581.1.p1
TCONS_00000511.p1	OFUSG12761.1.p1
TCONS_00000511.p1	OFUSG24660.1.p1
TCONS_00000512.p1	OFUSG01805.1.p1
TCONS_00000515.p1	OFUSG00301.1.p1
TCONS_00000518.p1	OFUSG01804.1.p1
TCONS_00000518.p1	OFUSG18147.1.p1
TCONS_00000523.p1	OFUSG00025.1.p1
TCONS_00000524.p1	OFUSG00924.1.p1
TCONS_00000530.p1	OFUSG22348.1.p1
TCONS_00000533.p1	OFUSG00970.1.p1
TCONS_00000533.p1	OFUSG00970.2.p1
TCONS_00000533.p1	OFUSG00970.3.p1
TCONS_00000535.p1	OFUSG06799.1.p1
TCONS_00000539.p1	OFUSG24049.1.p1
TCONS_00000539.p1	OFUSG24049.2.p1
TCONS_00000539.p1	OFUSG24053.1.p1
TCONS_00000544.p1	OFUSG15837.1.p1
TCONS_00000575.p1	OFUSG00116.1.p1
TCONS_00000577.p1	OFUSG00939.1.p1
TCONS_00000577.p1	OFUSG00939.2.p1
TCONS_00000579.p1	OFUSG01568.1.p1
TCONS_00000584.p1	OFUSG00966.1.p1
TCONS_00000584.p1	OFUSG00966.2.p1
TCONS_00000585.p1	OFUSG01108.1.p1
TCONS_00000589.p1	OFUSG01472.1.p1
TCONS_00000594.p1	OFUSG00285.1.p1
TCONS_00000595.p1	OFUSG00084.1.p1
TCONS_00000598.p1	OFUSG00185.1.p1
TCONS_00000598.p1	OFUSG00185.2.p1
TCONS_00000600.p1	OFUSG01244.1.p1
TCONS_00000626.p1	OFUSG08290.1.p1
TCONS_00000626.p1	OFUSG19051.1.p1
TCONS_00000627.p1	OFUSG16130.1.p1
TCONS_00000627.p1	OFUSG23533.3.p1
TCONS_00000635.p1	OFUSG00079.1.p1
TCONS_00000636.p1	OFUSG13216.1.p1
TCONS_00000637.p1	OFUSG15967.1.p1
TCONS_00000638.p1	OFUSG13218.1.p1
TCONS_00000643.p1	OFUSG05256.1.p1
TCONS_00000643.p1	OFUSG07886.1.p1
TCONS_00000643.p1	OFUSG09309.1.p1
TCONS_00000643.p1	OFUSG11035.1.p1
TCONS_00000643.p1	OFUSG14601.1.p1
TCONS_00000643.p1	OFUSG21024.1.p1
TCONS_00000643.p1	OFUSG21024.2.p1
TCONS_00000643.p1	OFUSG21769.1.p1
TCONS_00000645.p1	OFUSG00112.1.p1
TCONS_00000655.p1	OFUSG10847.1.p1
TCONS_00000655.p1	OFUSG10847.2.p1
TCONS_00000659.p1	OFUSG24169.1.p1
TCONS_00000661.p1	OFUSG11076.1.p1
TCONS_00000661.p1	OFUSG20893.1.p1
TCONS_00000663.p1	OFUSG16992.1.p1
TCONS_00000681.p1	OFUSG14861.1.p1
TCONS_00000684.p1	OFUSG00652.1.p1
TCONS_00000684.p1	OFUSG00652.2.p1
TCONS_00000684.p1	OFUSG00652.3.p1
TCONS_00000689.p1	OFUSG01308.1.p1
TCONS_00000689.p1	OFUSG01308.2.p1
TCONS_00000689.p1	OFUSG13486.1.p1
TCONS_00000689.p1	OFUSG13486.2.p1
TCONS_00000690.p1	OFUSG00304.1.p1
TCONS_00000703.p1	OFUSG21368.1.p1
TCONS_00000712.p1	OFUSG15207.1.p1
TCONS_00000713.p1	OFUSG05089.1.p1
TCONS_00000727.p1	OFUSG01197.1.p1
TCONS_00000727.p1	OFUSG08108.1.p1
TCONS_00000727.p1	OFUSG15787.1.p1
TCONS_00000729.p1	OFUSG01480.1.p1
TCONS_00000729.p1	OFUSG01480.2.p1
TCONS_00000733.p1	OFUSG14104.1.p1
TCONS_00000737.p1	OFUSG00856.1.p1
TCONS_00000737.p1	OFUSG00856.2.p1
TCONS_00000738.p1	OFUSG01813.1.p1
TCONS_00000738.p1	OFUSG01813.2.p1
TCONS_00000738.p1	OFUSG01813.3.p1
TCONS_00000742.p1	OFUSG00455.1.p1
TCONS_00000745.p1	OFUSG06955.1.p1
TCONS_00000745.p1	OFUSG25493.1.p1
TCONS_00000747.p1	OFUSG25493.2.p1
TCONS_00000749.p1	OFUSG16789.1.p1
TCONS_00000761.p1	OFUSG25849.1.p1
TCONS_00000762.p1	OFUSG04765.1.p1
TCONS_00000774.p1	OFUSG00611.1.p1
TCONS_00000776.p1	OFUSG00623.1.p1
TCONS_00000776.p1	OFUSG01303.1.p1
TCONS_00000776.p1	OFUSG10523.1.p1
TCONS_00000776.p1	OFUSG10523.2.p1
TCONS_00000776.p1	OFUSG21876.1.p1
TCONS_00000780.p1	OFUSG00599.1.p1
TCONS_00000794.p1	OFUSG00782.1.p1
TCONS_00000805.p1	OFUSG20511.1.p1
TCONS_00000808.p1	OFUSG00868.2.p1
TCONS_00000826.p1	OFUSG20580.1.p1
TCONS_00000832.p1	OFUSG14409.1.p1
TCONS_00000838.p1	OFUSG00348.1.p1
TCONS_00000839.p1	OFUSG06218.1.p1
TCONS_00000852.p1	OFUSG00912.1.p1
TCONS_00000853.p1	OFUSG01366.1.p1
TCONS_00000854.p1	OFUSG00473.1.p1
TCONS_00000855.p1	OFUSG01726.1.p1
TCONS_00000865.p1	OFUSG01771.1.p1
TCONS_00000865.p1	OFUSG01820.1.p1
TCONS_00000867.p1	OFUSG01558.1.p1
TCONS_00000867.p1	OFUSG06974.1.p1
TCONS_00000867.p1	OFUSG09164.1.p1
TCONS_00000867.p1	OFUSG09164.3.p1
TCONS_00000867.p1	OFUSG19548.1.p1
TCONS_00000867.p1	OFUSG25832.1.p1
TCONS_00000868.p1	OFUSG00062.1.p1
TCONS_00000870.p1	OFUSG00468.1.p1
TCONS_00000871.p1	OFUSG00470.1.p1
TCONS_00000881.p1	OFUSG16792.1.p1
TCONS_00000887.p1	OFUSG01641.1.p1
TCONS_00000888.p1	OFUSG00740.1.p1
TCONS_00000889.p1	OFUSG01453.1.p1
TCONS_00000893.p1	OFUSG01447.1.p1
TCONS_00000893.p1	OFUSG01447.2.p1
TCONS_00000893.p1	OFUSG01447.3.p1
TCONS_00000893.p1	OFUSG16266.1.p1
TCONS_00000896.p1	OFUSG00871.1.p1
TCONS_00000896.p1	OFUSG00871.2.p1
TCONS_00000896.p1	OFUSG00871.3.p1
TCONS_00000901.p1	OFUSG00236.1.p1
TCONS_00000901.p1	OFUSG00236.2.p1
TCONS_00000903.p1	OFUSG04101.1.p1
TCONS_00000905.p1	OFUSG09038.1.p1
TCONS_00000905.p1	OFUSG13649.1.p1
TCONS_00000909.p1	OFUSG01089.1.p1
TCONS_00000916.p1	OFUSG17543.1.p1
TCONS_00000926.p1	OFUSG16698.1.p1
TCONS_00000928.p1	OFUSG00929.1.p1
TCONS_00000928.p1	OFUSG00929.2.p1
TCONS_00000938.p1	OFUSG01215.1.p1
TCONS_00000940.p1	OFUSG01217.1.p1
TCONS_00000940.p1	OFUSG14820.1.p1
TCONS_00000949.p1	OFUSG00137.1.p1
TCONS_00000950.p1	OFUSG26661.2.p1
TCONS_00000950.p1	OFUSG26664.2.p1
TCONS_00000954.p1	OFUSG22602.1.p1
TCONS_00000954.p1	OFUSG22602.2.p1
TCONS_00000954.p1	OFUSG22602.3.p1
TCONS_00000960.p1	OFUSG01254.1.p1
TCONS_00000969.p1	OFUSG00337.1.p1
TCONS_00000969.p1	OFUSG00339.1.p1
TCONS_00000978.p1	OFUSG00423.1.p1
TCONS_00000980.p1	OFUSG01816.1.p1
TCONS_00000980.p1	OFUSG23281.1.p1
TCONS_00000981.p1	OFUSG00003.1.p1
TCONS_00000981.p1	OFUSG00003.2.p1
TCONS_00000983.p1	OFUSG01682.1.p1
TCONS_00000986.p1	OFUSG01559.1.p1
TCONS_00000991.p1	OFUSG00660.1.p1
TCONS_00000994.p1	OFUSG01032.1.p1
TCONS_00000994.p1	OFUSG01032.2.p1
TCONS_00000994.p1	OFUSG01032.3.p1
TCONS_00000994.p1	OFUSG01032.4.p1
TCONS_00000994.p1	OFUSG01032.5.p1
TCONS_00000999.p1	OFUSG00534.1.p1
TCONS_00001002.p1	OFUSG00447.1.p1
TCONS_00001004.p1	OFUSG01030.1.p1
TCONS_00001015.p1	OFUSG00312.1.p1
TCONS_00001015.p1	OFUSG00312.2.p1
TCONS_00001016.p1	OFUSG00586.1.p1
TCONS_00001016.p1	OFUSG00586.3.p1
TCONS_00001016.p1	OFUSG00586.4.p1
TCONS_00001016.p1	OFUSG01698.1.p1
TCONS_00001019.p1	OFUSG00841.1.p1
TCONS_00001019.p1	OFUSG00841.2.p1
TCONS_00001020.p1	OFUSG01490.1.p1
TCONS_00001021.p1	OFUSG00336.1.p1
TCONS_00001022.p1	OFUSG02670.1.p1
TCONS_00001022.p1	OFUSG11888.1.p1
TCONS_00001025.p1	OFUSG00129.1.p1
TCONS_00001041.p1	OFUSG00498.1.p1
TCONS_00001041.p1	OFUSG00498.2.p1
TCONS_00001041.p1	OFUSG00498.3.p1
TCONS_00001041.p1	OFUSG00877.1.p1
TCONS_00001049.p1	OFUSG00479.1.p1
TCONS_00001067.p1	OFUSG16876.1.p1
TCONS_00001075.p1	OFUSG01289.1.p1
TCONS_00001075.p1	OFUSG01289.2.p1
TCONS_00001078.p1	OFUSG20544.1.p1
TCONS_00001080.p1	OFUSG20545.1.p1
TCONS_00001082.p1	OFUSG10950.1.p1
TCONS_00001082.p1	OFUSG19072.1.p1
TCONS_00001082.p1	OFUSG22944.1.p1
TCONS_00001082.p1	OFUSG26105.1.p1
TCONS_00001085.p1	OFUSG00809.1.p1
TCONS_00001087.p1	OFUSG00026.1.p1
TCONS_00001087.p1	OFUSG15452.1.p1
TCONS_00001088.p1	OFUSG16660.1.p1
TCONS_00001090.p1	OFUSG03445.1.p1
TCONS_00001091.p1	OFUSG01356.1.p1
TCONS_00001097.p1	OFUSG00436.1.p1
TCONS_00001097.p1	OFUSG00436.2.p1
TCONS_00001098.p1	OFUSG06950.1.p1
TCONS_00001098.p1	OFUSG06951.1.p1
TCONS_00001098.p1	OFUSG06952.1.p1
TCONS_00001098.p1	OFUSG06953.1.p1
TCONS_00001101.p1	OFUSG06011.1.p1
TCONS_00001101.p1	OFUSG06011.2.p1
TCONS_00001101.p1	OFUSG20230.1.p1
TCONS_00001102.p1	OFUSG17132.1.p1
TCONS_00001102.p1	OFUSG24726.1.p1
TCONS_00001103.p1	OFUSG01280.1.p1
TCONS_00001109.p1	OFUSG01104.1.p1
TCONS_00001111.p1	OFUSG01071.1.p1
TCONS_00001112.p1	OFUSG07483.1.p1
TCONS_00001112.p1	OFUSG22761.1.p1
TCONS_00001112.p1	OFUSG22761.2.p1
TCONS_00001112.p1	OFUSG26042.1.p1
TCONS_00001112.p1	OFUSG26626.1.p1
TCONS_00001112.p1	OFUSG26627.1.p1
TCONS_00001112.p1	OFUSG26628.1.p1
TCONS_00001112.p1	OFUSG26633.1.p1
TCONS_00001123.p1	OFUSG00128.1.p1
TCONS_00001123.p1	OFUSG00128.2.p1
TCONS_00001125.p1	OFUSG01573.1.p1
TCONS_00001126.p1	OFUSG00890.1.p1
TCONS_00001132.p1	OFUSG00605.1.p1
TCONS_00001133.p1	OFUSG01478.1.p1
TCONS_00001135.p1	OFUSG01801.1.p1
TCONS_00001138.p1	OFUSG01516.1.p1
TCONS_00001141.p1	OFUSG00459.1.p1
TCONS_00001141.p1	OFUSG02598.1.p1
TCONS_00001141.p1	OFUSG02928.1.p1
TCONS_00001141.p1	OFUSG03782.1.p1
TCONS_00001141.p1	OFUSG17373.1.p1
TCONS_00001144.p1	OFUSG03843.1.p1
TCONS_00001144.p1	OFUSG13087.1.p1
TCONS_00001144.p1	OFUSG21317.1.p1
TCONS_00001145.p1	OFUSG00977.1.p1
TCONS_00001145.p1	OFUSG00977.2.p1
TCONS_00001145.p1	OFUSG00977.3.p1
TCONS_00001145.p1	OFUSG00977.4.p1
TCONS_00001152.p1	OFUSG00398.1.p1
TCONS_00001152.p1	OFUSG00398.2.p1
TCONS_00001157.p1	OFUSG06328.1.p1
TCONS_00001165.p1	OFUSG01097.1.p1
TCONS_00001169.p1	OFUSG00254.1.p1
TCONS_00001170.p1	OFUSG00887.1.p1
TCONS_00001171.p1	OFUSG00278.1.p1
TCONS_00001172.p1	OFUSG08003.1.p1
TCONS_00001174.p1	OFUSG00497.1.p1
TCONS_00001178.p1	OFUSG00900.1.p1
TCONS_00001182.p1	OFUSG01103.1.p1
TCONS_00001182.p1	OFUSG01103.2.p1
TCONS_00001182.p1	OFUSG07720.1.p1
TCONS_00001182.p1	OFUSG07720.2.p1
TCONS_00001182.p1	OFUSG07721.2.p1
TCONS_00001187.p1	OFUSG00488.1.p1
TCONS_00001188.p1	OFUSG00007.1.p1
TCONS_00001188.p1	OFUSG13225.1.p1
TCONS_00001188.p1	OFUSG13225.2.p1
TCONS_00001190.p1	OFUSG00814.1.p1
TCONS_00001191.p1	OFUSG01118.1.p1
TCONS_00001191.p1	OFUSG01118.2.p1
TCONS_00001195.p1	OFUSG01099.1.p1
TCONS_00001196.p1	OFUSG01082.1.p1
TCONS_00001197.p1	OFUSG00620.1.p1
TCONS_00001203.p1	OFUSG01417.1.p1
TCONS_00001203.p1	OFUSG01417.2.p1
TCONS_00001204.p1	OFUSG01963.1.p1
TCONS_00001204.p1	OFUSG02926.1.p1
TCONS_00001204.p1	OFUSG03621.1.p1
TCONS_00001204.p1	OFUSG03622.1.p1
TCONS_00001204.p1	OFUSG03746.1.p2
TCONS_00001204.p1	OFUSG03781.1.p1
TCONS_00001204.p1	OFUSG12339.1.p1
TCONS_00001204.p1	OFUSG16088.1.p1
TCONS_00001204.p1	OFUSG23279.1.p1
TCONS_00001205.p1	OFUSG00933.1.p1
TCONS_00001205.p1	OFUSG00933.2.p1
TCONS_00001206.p1	OFUSG00774.1.p1
TCONS_00001206.p1	OFUSG00774.2.p1
TCONS_00001225.p1	OFUSG00463.1.p1
TCONS_00001226.p1	OFUSG00175.1.p1
TCONS_00001232.p1	OFUSG00328.1.p1
TCONS_00001234.p1	OFUSG00464.1.p1
TCONS_00001238.p1	OFUSG16312.1.p1
TCONS_00001243.p1	OFUSG00045.1.p1
TCONS_00001245.p1	OFUSG00051.1.p1
TCONS_00001248.p1	OFUSG01920.1.p1
TCONS_00001249.p1	OFUSG01876.1.p1
TCONS_00001257.p1	OFUSG08968.1.p1
TCONS_00001257.p1	OFUSG24037.1.p1
TCONS_00001257.p1	OFUSG24037.2.p1
TCONS_00001258.p1	OFUSG06207.1.p1
TCONS_00001258.p1	OFUSG09966.1.p1
TCONS_00001258.p1	OFUSG10597.1.p1
TCONS_00001258.p1	OFUSG10600.1.p1
TCONS_00001258.p1	OFUSG10600.2.p1
TCONS_00001258.p1	OFUSG10602.1.p1
TCONS_00001258.p1	OFUSG12606.1.p1
TCONS_00001258.p1	OFUSG12946.2.p1
TCONS_00001258.p1	OFUSG14924.1.p1
TCONS_00001258.p1	OFUSG18244.1.p1
TCONS_00001265.p1	OFUSG00434.1.p1
TCONS_00001267.p1	OFUSG00228.1.p1
TCONS_00001267.p1	OFUSG00229.1.p1
TCONS_00001267.p1	OFUSG00229.2.p1
TCONS_00001267.p1	OFUSG00259.1.p1
TCONS_00001267.p1	OFUSG00259.2.p1
TCONS_00001267.p1	OFUSG01427.1.p1
TCONS_00001267.p1	OFUSG03329.1.p1
TCONS_00001267.p1	OFUSG03814.2.p1
TCONS_00001267.p1	OFUSG03814.3.p1
TCONS_00001267.p1	OFUSG03815.1.p1
TCONS_00001267.p1	OFUSG04095.1.p1
TCONS_00001268.p1	OFUSG00715.1.p1
TCONS_00001268.p1	OFUSG23212.1.p1
TCONS_00001268.p1	OFUSG23212.2.p1
TCONS_00001269.p1	OFUSG00519.1.p1
TCONS_00001269.p1	OFUSG00519.2.p1
TCONS_00001269.p1	OFUSG12078.1.p1
TCONS_00001269.p1	OFUSG12078.2.p1
TCONS_00001270.p1	OFUSG23402.1.p1
TCONS_00001275.p1	OFUSG01532.1.p1
TCONS_00001275.p1	OFUSG01532.2.p1
TCONS_00001275.p1	OFUSG01532.3.p1
TCONS_00001275.p1	OFUSG01532.4.p1
TCONS_00001276.p1	OFUSG05106.1.p1
TCONS_00001278.p1	OFUSG19768.1.p1
TCONS_00001281.p1	OFUSG00658.1.p1
TCONS_00001281.p1	OFUSG00658.2.p1
TCONS_00001281.p1	OFUSG00658.3.p1
TCONS_00001281.p1	OFUSG00658.4.p1
TCONS_00001282.p1	OFUSG00868.1.p1
TCONS_00001284.p1	OFUSG01853.1.p1
TCONS_00001290.p1	OFUSG16612.1.p1
TCONS_00001290.p1	OFUSG24480.1.p1
TCONS_00001298.p1	OFUSG00748.1.p1
TCONS_00001299.p1	OFUSG15197.1.p1
TCONS_00001300.p1	OFUSG00507.1.p1
TCONS_00001300.p1	OFUSG14764.1.p1
TCONS_00001300.p1	OFUSG14765.1.p1
TCONS_00001300.p1	OFUSG16580.1.p1
TCONS_00001300.p1	OFUSG22435.1.p1
TCONS_00001300.p1	OFUSG23482.2.p1
TCONS_00001300.p1	OFUSG23991.1.p1
TCONS_00001300.p1	OFUSG26395.1.p1
TCONS_00001300.p1	OFUSG26404.1.p1
TCONS_00001301.p1	OFUSG20723.1.p1
TCONS_00001303.p1	OFUSG00663.1.p1
TCONS_00001303.p1	OFUSG17943.1.p1
TCONS_00001303.p1	OFUSG17943.2.p1
TCONS_00001303.p1	OFUSG21268.1.p1
TCONS_00001303.p1	OFUSG21268.2.p1
TCONS_00001303.p1	OFUSG21268.3.p1
TCONS_00001303.p1	OFUSG21268.4.p1
TCONS_00001303.p1	OFUSG21268.5.p1
TCONS_00001303.p1	OFUSG22727.1.p1
TCONS_00001304.p1	OFUSG01636.1.p1
TCONS_00001305.p1	OFUSG01635.1.p1
TCONS_00001305.p1	OFUSG01635.2.p1
TCONS_00001309.p1	OFUSG00203.1.p1
TCONS_00001313.p1	OFUSG01365.1.p1
TCONS_00001314.p1	OFUSG00723.1.p1
TCONS_00001321.p1	OFUSG01760.1.p1
TCONS_00001321.p1	OFUSG01760.2.p1
TCONS_00001324.p1	OFUSG21190.1.p1
TCONS_00001326.p1	OFUSG20002.1.p1
TCONS_00001327.p1	OFUSG01898.1.p1
TCONS_00001328.p1	OFUSG00532.1.p1
TCONS_00001336.p1	OFUSG00085.1.p1
TCONS_00001337.p1	OFUSG00422.1.p1
TCONS_00001339.p1	OFUSG00400.1.p1
TCONS_00001343.p1	OFUSG00659.1.p1
TCONS_00001343.p1	OFUSG00659.2.p1
TCONS_00001354.p1	OFUSG01117.1.p1
TCONS_00001354.p1	OFUSG01117.2.p1
TCONS_00001354.p1	OFUSG01117.3.p1
TCONS_00001354.p1	OFUSG01117.4.p1
TCONS_00001354.p1	OFUSG01117.5.p1
TCONS_00001362.p1	OFUSG01079.1.p1
TCONS_00001362.p1	OFUSG02787.1.p1
TCONS_00001362.p1	OFUSG03693.1.p1
TCONS_00001362.p1	OFUSG10608.1.p1
TCONS_00001362.p1	OFUSG14951.1.p1
TCONS_00001362.p1	OFUSG15656.1.p1
