TCONS_00007368.p1	OFUSG22886.1.p1
TCONS_00047361.p1	OFUSG18664.1.p1
TCONS_00030619.p1	OFUSG17804.1.p1
TCONS_00011336.p1	OFUSG21828.2.p1
TCONS_00042427.p1	OFUSG02653.2.p1
TCONS_00055710.p1	OFUSG16146.1.p1
TCONS_00002541.p1	OFUSG21664.1.p1
TCONS_00017296.p1	OFUSG13170.1.p1
TCONS_00026138.p1	OFUSG06073.1.p1
TCONS_00016332.p1	OFUSG14641.1.p1
TCONS_00027067.p1	OFUSG18647.1.p1
TCONS_00044868.p1	OFUSG21471.1.p1
TCONS_00053898.p1	OFUSG12823.1.p1
TCONS_00022372.p1	OFUSG14430.1.p1
TCONS_00053406.p1	OFUSG21112.1.p1
TCONS_00027429.p1	OFUSG19262.1.p1
TCONS_00020818.p1	OFUSG08215.1.p1
TCONS_00010435.p1	OFUSG11685.1.p1
TCONS_00025843.p1	OFUSG07953.1.p1
TCONS_00043347.p1	OFUSG02215.1.p1
TCONS_00003570.p1	OFUSG16239.1.p1
TCONS_00056276.p1	OFUSG09061.1.p1
TCONS_00045963.p1	OFUSG20932.1.p1
TCONS_00042063.p1	OFUSG02849.1.p1
TCONS_00020035.p1	OFUSG17696.1.p1
TCONS_00023747.p1	OFUSG09121.1.p1
TCONS_00005126.p1	OFUSG21372.1.p1
TCONS_00028495.p1	OFUSG09726.1.p1
TCONS_00051522.p1	OFUSG21407.1.p1
TCONS_00056388.p1	OFUSG16237.1.p1
TCONS_00008858.p1	OFUSG22793.1.p1
TCONS_00012044.p1	OFUSG12133.1.p1
TCONS_00034978.p1	OFUSG09322.2.p1
TCONS_00009012.p1	OFUSG05225.1.p1
TCONS_00031078.p1	OFUSG10177.1.p1
TCONS_00000259.p1	OFUSG01055.1.p1
TCONS_00005063.p1	OFUSG24021.1.p1
TCONS_00020192.p1	OFUSG11168.1.p1
TCONS_00051492.p1	OFUSG12682.1.p1
TCONS_00017779.p1	OFUSG08907.1.p1
TCONS_00004768.p1	OFUSG22286.1.p1
TCONS_00042685.p1	OFUSG03113.1.p1
TCONS_00054800.p1	OFUSG08063.1.p1
TCONS_00046380.p1	OFUSG13550.2.p1
TCONS_00034163.p1	OFUSG08891.1.p1
TCONS_00026075.p1	OFUSG06486.2.p1
TCONS_00015951.p1	OFUSG07660.1.p1
TCONS_00020063.p1	OFUSG04410.1.p1
TCONS_00044267.p1	OFUSG03134.1.p1
TCONS_00045512.p1	OFUSG26660.1.p1
TCONS_00055494.p1	OFUSG03951.1.p1
TCONS_00012814.p1	OFUSG18269.1.p1
TCONS_00036511.p1	OFUSG01088.1.p1
TCONS_00028993.p1	OFUSG08813.1.p1
TCONS_00051325.p1	OFUSG17483.1.p1
TCONS_00029161.p1	OFUSG09833.1.p1
TCONS_00020199.p1	OFUSG13200.1.p1
TCONS_00013137.p1	OFUSG03993.1.p1
TCONS_00021845.p1	OFUSG14469.2.p1
TCONS_00015778.p1	OFUSG07823.2.p1
TCONS_00008422.p1	OFUSG20508.1.p1
TCONS_00054584.p1	OFUSG13385.1.p1
TCONS_00041682.p1	OFUSG03463.1.p1
TCONS_00028261.p1	OFUSG09455.1.p1
TCONS_00049313.p1	OFUSG06948.1.p1
TCONS_00043235.p1	OFUSG02453.1.p1
TCONS_00005165.p1	OFUSG23884.1.p1
TCONS_00042941.p1	OFUSG02443.1.p1
TCONS_00022278.p1	OFUSG26854.1.p1
TCONS_00029424.p1	OFUSG19738.1.p1
TCONS_00007887.p1	OFUSG20872.1.p1
TCONS_00038071.p1	OFUSG21195.1.p1
TCONS_00041659.p1	OFUSG03820.2.p1
TCONS_00003824.p1	OFUSG16071.1.p1
TCONS_00021147.p1	OFUSG00673.1.p1
TCONS_00055353.p1	OFUSG04696.3.p1
TCONS_00020731.p1	OFUSG13630.1.p1
TCONS_00020852.p1	OFUSG24988.1.p1
TCONS_00041650.p2	OFUSG14184.1.p3
TCONS_00004943.p1	OFUSG15203.1.p1
TCONS_00056581.p1	OFUSG03046.1.p1
TCONS_00006287.p1	OFUSG14829.1.p1
TCONS_00002593.p1	OFUSG06396.1.p1
TCONS_00006075.p1	OFUSG22098.1.p1
TCONS_00030871.p1	OFUSG10411.1.p1
TCONS_00026610.p1	OFUSG06502.1.p1
TCONS_00041607.p1	OFUSG03559.2.p1
TCONS_00030653.p1	OFUSG01487.1.p1
TCONS_00005913.p1	OFUSG15397.1.p1
TCONS_00001135.p1	OFUSG01801.1.p1
TCONS_00024700.p1	OFUSG07964.3.p1
TCONS_00056269.p1	OFUSG25462.1.p1
TCONS_00052075.p1	OFUSG11063.1.p1
TCONS_00012405.p1	OFUSG05149.1.p1
TCONS_00015868.p1	OFUSG25692.1.p1
TCONS_00031559.p1	OFUSG23644.1.p1
TCONS_00039835.p1	OFUSG09481.1.p1
TCONS_00056449.p1	OFUSG04325.1.p1
TCONS_00029079.p1	OFUSG09434.1.p1
TCONS_00052100.p2	OFUSG17113.1.p1
TCONS_00022177.p1	OFUSG14697.1.p1
TCONS_00011493.p1	OFUSG11528.2.p1
TCONS_00014693.p1	OFUSG08030.2.p1
TCONS_00042990.p1	OFUSG12092.1.p1
TCONS_00012994.p1	OFUSG09971.2.p1
TCONS_00001004.p1	OFUSG01030.1.p1
TCONS_00017403.p1	OFUSG23551.1.p1
TCONS_00010193.p1	OFUSG11204.1.p1
TCONS_00007414.p1	OFUSG08708.1.p1
TCONS_00021796.p1	OFUSG25833.2.p1
TCONS_00030181.p1	OFUSG09958.1.p1
TCONS_00055023.p1	OFUSG15947.1.p1
TCONS_00017896.p1	OFUSG14950.1.p1
TCONS_00026632.p1	OFUSG05933.2.p1
TCONS_00048196.p1	OFUSG06652.1.p1
TCONS_00030823.p1	OFUSG18597.1.p1
TCONS_00051277.p1	OFUSG16510.1.p1
TCONS_00023526.p1	OFUSG17843.1.p1
TCONS_00006813.p1	OFUSG01693.1.p1
TCONS_00000162.p1	OFUSG06667.1.p1
TCONS_00010986.p1	OFUSG11213.2.p1
TCONS_00010844.p1	OFUSG11841.1.p1
TCONS_00010113.p1	OFUSG11702.1.p1
TCONS_00053583.p1	OFUSG12754.1.p1
TCONS_00050895.p1	OFUSG10933.1.p1
TCONS_00030050.p1	OFUSG10860.1.p1
TCONS_00027061.p1	OFUSG19188.1.p1
TCONS_00051217.p1	OFUSG01274.1.p1
TCONS_00047444.p1	OFUSG05928.1.p1
TCONS_00017202.p1	OFUSG13160.1.p1
TCONS_00053744.p1	OFUSG13142.1.p1
TCONS_00012883.p1	OFUSG10456.2.p1
TCONS_00031527.p1	OFUSG17944.1.p1
TCONS_00007154.p1	OFUSG04895.1.p1
TCONS_00021358.p1	OFUSG14224.5.p1
TCONS_00001303.p1	OFUSG22727.1.p1
TCONS_00033091.p1	OFUSG25124.1.p1
TCONS_00012793.p1	OFUSG10494.1.p1
TCONS_00016601.p1	OFUSG16555.1.p1
TCONS_00014645.p1	OFUSG25697.1.p1
TCONS_00046501.p1	OFUSG13358.1.p1
TCONS_00001075.p1	OFUSG01289.1.p1
TCONS_00043731.p1	OFUSG05477.1.p1
TCONS_00054317.p1	OFUSG26322.2.p1
TCONS_00055313.p1	OFUSG16423.2.p1
TCONS_00002873.p1	OFUSG03926.3.p1
TCONS_00016533.p1	OFUSG07939.1.p1
TCONS_00002892.p1	OFUSG04057.2.p1
TCONS_00027880.p1	OFUSG10669.1.p1
TCONS_00010379.p1	OFUSG11556.1.p1
TCONS_00001410.p1	OFUSG01815.1.p1
TCONS_00057088.p1	OFUSG07388.1.p1
TCONS_00028969.p1	OFUSG20137.1.p1
TCONS_00057182.p1	OFUSG16556.3.p1
TCONS_00021759.p1	OFUSG14682.1.p1
TCONS_00049658.p1	OFUSG13089.1.p1
TCONS_00049435.p1	OFUSG06063.1.p1
TCONS_00006633.p1	OFUSG24207.1.p1
TCONS_00022225.p1	OFUSG24700.1.p1
TCONS_00021791.p1	OFUSG26959.3.p1
TCONS_00020356.p1	OFUSG25918.1.p1
TCONS_00018886.p1	OFUSG11928.1.p1
TCONS_00041133.p1	OFUSG05630.1.p1
TCONS_00007890.p1	OFUSG04866.1.p1
TCONS_00055941.p1	OFUSG24409.1.p1
TCONS_00052011.p1	OFUSG21241.1.p1
TCONS_00045498.p1	OFUSG17060.1.p1
TCONS_00040313.p1	OFUSG22921.1.p1
TCONS_00015581.p1	OFUSG07487.1.p1
TCONS_00018973.p1	OFUSG04247.1.p1
TCONS_00010823.p1	OFUSG12356.1.p1
TCONS_00013759.p1	OFUSG17821.1.p1
TCONS_00049074.p1	OFUSG05483.1.p1
TCONS_00045529.p1	OFUSG17092.1.p1
TCONS_00000524.p1	OFUSG00924.1.p1
TCONS_00022487.p1	OFUSG13860.1.p1
TCONS_00000577.p1	OFUSG00939.2.p1
TCONS_00000870.p1	OFUSG00468.1.p1
TCONS_00017446.p1	OFUSG17591.4.p1
TCONS_00047261.p1	OFUSG19201.1.p1
TCONS_00029044.p1	OFUSG19656.1.p1
TCONS_00054588.p1	OFUSG17671.1.p1
TCONS_00053552.p1	OFUSG26591.1.p1
TCONS_00020164.p1	OFUSG17193.1.p1
TCONS_00051396.p1	OFUSG23244.2.p1
TCONS_00016269.p1	OFUSG16065.2.p1
TCONS_00010926.p1	OFUSG25256.2.p1
TCONS_00004980.p1	OFUSG22551.1.p1
TCONS_00045720.p1	OFUSG03359.1.p1
TCONS_00031698.p1	OFUSG16184.1.p1
TCONS_00049711.p1	OFUSG19523.1.p1
TCONS_00006396.p1	OFUSG24005.1.p1
TCONS_00044080.p1	OFUSG18043.1.p1
TCONS_00045499.p1	OFUSG17173.1.p1
TCONS_00042008.p1	OFUSG02825.1.p1
TCONS_00009628.p1	OFUSG21806.1.p1
TCONS_00026245.p1	OFUSG19007.2.p1
TCONS_00015717.p1	OFUSG24646.1.p1
TCONS_00001245.p1	OFUSG00051.1.p1
TCONS_00055498.p1	OFUSG02487.2.p1
TCONS_00050357.p1	OFUSG22154.1.p1
TCONS_00017309.p1	OFUSG09973.2.p1
TCONS_00011224.p1	OFUSG12295.1.p1
TCONS_00037978.p1	OFUSG01616.1.p1
TCONS_00028006.p1	OFUSG08609.1.p1
TCONS_00013414.p1	OFUSG17852.1.p1
TCONS_00007214.p1	OFUSG04991.3.p1
TCONS_00017570.p1	OFUSG21447.1.p1
TCONS_00005512.p1	OFUSG26393.1.p1
TCONS_00010774.p1	OFUSG11568.1.p1
TCONS_00049894.p1	OFUSG23428.1.p1
TCONS_00008036.p1	OFUSG05015.1.p1
TCONS_00029153.p1	OFUSG09267.1.p1
TCONS_00054495.p1	OFUSG13323.1.p1
TCONS_00045948.p1	OFUSG07343.1.p1
TCONS_00003856.p1	OFUSG16103.2.p1
TCONS_00034799.p1	OFUSG13044.1.p1
TCONS_00048579.p1	OFUSG16587.1.p1
TCONS_00054098.p1	OFUSG16921.1.p1
TCONS_00015987.p1	OFUSG01806.1.p1
TCONS_00047924.p1	OFUSG06590.1.p1
TCONS_00055346.p1	OFUSG16574.1.p1
TCONS_00002727.p1	OFUSG16504.1.p1
TCONS_00008423.p1	OFUSG20299.1.p1
TCONS_00045091.p1	OFUSG04456.1.p1
TCONS_00028162.p1	OFUSG09754.1.p1
TCONS_00037683.p1	OFUSG00771.1.p1
TCONS_00000342.p1	OFUSG00714.1.p1
TCONS_00016338.p1	OFUSG07229.2.p1
TCONS_00014337.p1	OFUSG10899.1.p1
TCONS_00005548.p1	OFUSG22102.2.p1
TCONS_00027927.p1	OFUSG19919.1.p1
TCONS_00006204.p1	OFUSG15201.1.p1
TCONS_00015541.p1	OFUSG07760.1.p1
TCONS_00028949.p1	OFUSG09256.1.p1
TCONS_00010540.p1	OFUSG21571.1.p1
TCONS_00028178.p1	OFUSG08876.1.p1
TCONS_00004132.p1	OFUSG04490.1.p1
TCONS_00052911.p1	OFUSG13281.1.p1
TCONS_00002100.p1	OFUSG00968.1.p1
TCONS_00009152.p1	OFUSG20261.1.p1
TCONS_00043887.p1	OFUSG02780.1.p1
TCONS_00022902.p1	OFUSG25839.2.p1
TCONS_00001535.p1	OFUSG01652.1.p1
TCONS_00006238.p1	OFUSG22958.1.p1
TCONS_00051298.p1	OFUSG23229.1.p1
TCONS_00010738.p1	OFUSG12114.2.p1
TCONS_00047539.p1	OFUSG05830.1.p1
TCONS_00054668.p1	OFUSG07450.1.p1
TCONS_00021814.p1	OFUSG13992.2.p1
TCONS_00036253.p1	OFUSG01262.1.p1
TCONS_00017402.p1	OFUSG23554.2.p1
TCONS_00007184.p1	OFUSG20599.1.p1
TCONS_00032718.p1	OFUSG21029.1.p1
TCONS_00053213.p1	OFUSG23413.1.p1
TCONS_00029250.p1	OFUSG20130.1.p1
TCONS_00011390.p1	OFUSG11605.1.p1
TCONS_00029729.p1	OFUSG08521.1.p1
TCONS_00012297.p1	OFUSG18542.1.p1
TCONS_00042476.p1	OFUSG03166.1.p1
TCONS_00006436.p1	OFUSG15102.1.p1
TCONS_00019267.p1	OFUSG04194.2.p1
TCONS_00030261.p1	OFUSG18401.2.p1
TCONS_00031817.p1	OFUSG12957.1.p1
TCONS_00048296.p1	OFUSG06740.2.p1
TCONS_00015726.p1	OFUSG25443.1.p1
TCONS_00028119.p1	OFUSG09012.1.p1
TCONS_00048438.p1	OFUSG05645.1.p1
TCONS_00018192.p1	OFUSG19704.1.p1
TCONS_00012395.p1	OFUSG03657.1.p1
TCONS_00002619.p1	OFUSG03936.1.p1
TCONS_00006001.p1	OFUSG06747.1.p1
TCONS_00009959.p1	OFUSG12512.2.p1
TCONS_00013802.p1	OFUSG17874.1.p1
TCONS_00020805.p1	OFUSG17661.2.p1
TCONS_00016293.p1	OFUSG17086.1.p1
TCONS_00052218.p1	OFUSG16955.1.p1
TCONS_00021635.p1	OFUSG20845.1.p1
TCONS_00028906.p1	OFUSG08817.1.p1
TCONS_00022716.p1	OFUSG14117.1.p1
TCONS_00010212.p1	OFUSG11344.1.p1
TCONS_00002610.p1	OFUSG14111.1.p3
TCONS_00015060.p1	OFUSG07475.2.p1
TCONS_00016457.p1	OFUSG26235.1.p1
TCONS_00018819.p1	OFUSG19703.1.p1
TCONS_00018871.p1	OFUSG17212.1.p1
TCONS_00022814.p1	OFUSG22679.1.p1
TCONS_00004934.p1	OFUSG08188.1.p1
TCONS_00033041.p1	OFUSG23202.1.p1
TCONS_00002909.p1	OFUSG04669.1.p1
TCONS_00002906.p1	OFUSG16200.1.p1
TCONS_00033004.p1	OFUSG26126.1.p1
TCONS_00042229.p1	OFUSG02743.1.p1
TCONS_00014767.p1	OFUSG25537.1.p1
TCONS_00051193.p1	OFUSG12929.1.p1
TCONS_00017266.p1	OFUSG11627.1.p1
TCONS_00051574.p1	OFUSG26444.1.p1
TCONS_00011491.p1	OFUSG11532.1.p1
TCONS_00055756.p1	OFUSG01914.2.p1
TCONS_00010830.p1	OFUSG11793.1.p1
TCONS_00029606.p1	OFUSG08731.1.p1
TCONS_00033989.p1	OFUSG02621.1.p1
TCONS_00018976.p1	OFUSG04243.1.p1
TCONS_00012633.p1	OFUSG10617.1.p1
TCONS_00039158.p1	OFUSG16078.4.p1
TCONS_00056528.p1	OFUSG07572.2.p1
TCONS_00055611.p1	OFUSG12541.1.p1
TCONS_00008432.p1	OFUSG20663.1.p1
TCONS_00050869.p1	OFUSG21439.1.p1
TCONS_00047439.p1	OFUSG06860.1.p1
TCONS_00035498.p1	OFUSG04740.2.p1
TCONS_00055608.p1	OFUSG09202.1.p1
TCONS_00039409.p1	OFUSG09341.1.p1
TCONS_00001152.p1	OFUSG00398.2.p1
TCONS_00012105.p1	OFUSG14444.1.p1
TCONS_00029688.p1	OFUSG24702.1.p1
TCONS_00037037.p1	OFUSG00869.1.p1
TCONS_00055600.p1	OFUSG26692.2.p1
TCONS_00046337.p1	OFUSG00271.1.p1
TCONS_00013876.p1	OFUSG18229.3.p1
TCONS_00017251.p1	OFUSG19046.1.p1
TCONS_00055680.p1	OFUSG04720.2.p1
TCONS_00016808.p1	OFUSG23391.1.p1
TCONS_00050562.p1	OFUSG17253.1.p1
TCONS_00014955.p1	OFUSG07691.1.p1
TCONS_00043850.p1	OFUSG03012.1.p1
TCONS_00021923.p1	OFUSG25902.1.p1
TCONS_00012141.p1	OFUSG12371.1.p1
TCONS_00015406.p1	OFUSG07112.1.p1
TCONS_00041911.p1	OFUSG08336.1.p1
TCONS_00002390.p1	OFUSG00166.1.p1
TCONS_00024586.p1	OFUSG07284.1.p1
TCONS_00027683.p1	OFUSG18738.1.p1
TCONS_00023439.p1	OFUSG07005.1.p1
TCONS_00054256.p1	OFUSG21393.1.p1
TCONS_00053663.p1	OFUSG21478.1.p1
TCONS_00020960.p1	OFUSG24974.1.p1
TCONS_00008449.p1	OFUSG04752.2.p1
TCONS_00001806.p1	OFUSG16737.1.p1
TCONS_00026134.p1	OFUSG06644.1.p1
TCONS_00056704.p1	OFUSG12840.1.p1
TCONS_00002772.p1	OFUSG01351.1.p1
TCONS_00037583.p1	OFUSG00443.3.p1
TCONS_00008546.p1	OFUSG07840.1.p1
TCONS_00053837.p1	OFUSG24925.1.p1
TCONS_00053504.p1	OFUSG21036.1.p1
TCONS_00052515.p1	OFUSG13717.2.p1
TCONS_00029914.p1	OFUSG17830.2.p1
TCONS_00020355.p1	OFUSG15859.1.p1
TCONS_00023249.p1	OFUSG23834.1.p1
TCONS_00041980.p1	OFUSG09542.1.p1
TCONS_00011302.p1	OFUSG22032.2.p1
TCONS_00015534.p1	OFUSG26465.1.p1
TCONS_00029738.p1	OFUSG19617.1.p1
TCONS_00041828.p1	OFUSG19895.1.p1
TCONS_00036377.p1	OFUSG01481.3.p1
TCONS_00053276.p1	OFUSG21373.1.p1
TCONS_00016490.p1	OFUSG08252.1.p1
TCONS_00004852.p1	OFUSG22309.2.p1
TCONS_00043631.p1	OFUSG02389.1.p1
TCONS_00019984.p1	OFUSG21341.1.p1
TCONS_00011573.p1	OFUSG22087.1.p1
TCONS_00017915.p1	OFUSG18306.1.p1
TCONS_00045387.p1	OFUSG12938.1.p1
TCONS_00051898.p1	OFUSG13589.1.p1
TCONS_00051647.p1	OFUSG05375.1.p1
TCONS_00030505.p1	OFUSG11109.1.p1
TCONS_00054889.p1	OFUSG04534.1.p1
TCONS_00026612.p1	OFUSG05755.1.p1
TCONS_00051724.p1	OFUSG17288.1.p1
TCONS_00029043.p1	OFUSG19566.2.p1
TCONS_00020535.p1	OFUSG12274.2.p1
TCONS_00023437.p1	OFUSG26072.1.p1
TCONS_00053838.p1	OFUSG08926.1.p1
TCONS_00025619.p1	OFUSG07670.1.p1
TCONS_00017890.p1	OFUSG13070.1.p1
TCONS_00047283.p1	OFUSG06248.1.p1
TCONS_00023656.p1	OFUSG17587.1.p1
TCONS_00017739.p1	OFUSG23536.1.p1
TCONS_00002583.p1	OFUSG24239.1.p1
TCONS_00046267.p1	OFUSG12619.1.p1
TCONS_00027847.p1	OFUSG13025.1.p1
TCONS_00045390.p1	OFUSG14124.1.p1
TCONS_00027527.p1	OFUSG05886.1.p1
TCONS_00029474.p1	OFUSG08335.1.p1
TCONS_00042486.p1	OFUSG02414.1.p1
TCONS_00038261.p1	OFUSG20119.1.p1
TCONS_00057148.p1	OFUSG01701.1.p1
TCONS_00040052.p1	OFUSG08982.1.p1
TCONS_00012900.p1	OFUSG10104.1.p1
TCONS_00030797.p1	OFUSG18031.1.p1
TCONS_00035428.p1	OFUSG09602.1.p1
TCONS_00044974.p1	OFUSG17574.1.p1
TCONS_00001487.p1	OFUSG01454.1.p1
TCONS_00038726.p1	OFUSG26279.1.p1
TCONS_00056805.p1	OFUSG15791.1.p1
TCONS_00049633.p1	OFUSG19395.1.p1
TCONS_00042778.p1	OFUSG22770.1.p1
TCONS_00028063.p1	OFUSG09314.2.p1
TCONS_00050937.p1	OFUSG13105.1.p1
TCONS_00054680.p1	OFUSG00407.1.p1
TCONS_00022755.p1	OFUSG13783.1.p1
TCONS_00000395.p1	OFUSG00906.1.p1
TCONS_00014313.p1	OFUSG11098.1.p1
TCONS_00005056.p1	OFUSG04572.1.p1
TCONS_00055333.p1	OFUSG04149.1.p1
TCONS_00049083.p1	OFUSG18867.1.p1
TCONS_00015546.p1	OFUSG18962.1.p1
TCONS_00019050.p1	OFUSG21344.1.p1
TCONS_00049222.p1	OFUSG23262.1.p1
TCONS_00056604.p1	OFUSG07551.1.p1
TCONS_00053238.p1	OFUSG17680.1.p1
TCONS_00002411.p1	OFUSG00773.1.p1
TCONS_00025457.p1	OFUSG26112.1.p1
TCONS_00005612.p1	OFUSG15321.1.p1
TCONS_00057206.p1	OFUSG03946.1.p1
TCONS_00024187.p1	OFUSG08408.1.p1
TCONS_00040904.p1	OFUSG09331.1.p1
TCONS_00055223.p1	OFUSG04160.1.p1
TCONS_00043985.p1	OFUSG03303.1.p1
TCONS_00045181.p1	OFUSG13433.1.p1
TCONS_00045995.p1	OFUSG21322.1.p1
TCONS_00046520.p1	OFUSG25806.1.p1
TCONS_00048148.p1	OFUSG06592.1.p1
TCONS_00011190.p1	OFUSG12037.1.p1
TCONS_00012971.p1	OFUSG18420.1.p1
TCONS_00023388.p1	OFUSG26181.1.p1
TCONS_00026061.p1	OFUSG06054.2.p1
TCONS_00002113.p1	OFUSG07143.1.p1
TCONS_00051741.p1	OFUSG13295.1.p1
TCONS_00018385.p1	OFUSG23310.1.p1
TCONS_00026709.p1	OFUSG06768.1.p1
TCONS_00017775.p1	OFUSG17090.1.p1
TCONS_00051073.p1	OFUSG20906.1.p1
TCONS_00041793.p1	OFUSG03464.1.p1
TCONS_00038130.p1	OFUSG00742.1.p1
TCONS_00047293.p1	OFUSG18309.1.p1
TCONS_00014970.p1	OFUSG07600.1.p1
TCONS_00000774.p1	OFUSG00611.1.p1
TCONS_00029830.p1	OFUSG03083.1.p1
TCONS_00009744.p1	OFUSG11995.1.p1
TCONS_00009306.p1	OFUSG20617.1.p1
TCONS_00032791.p1	OFUSG21514.1.p1
TCONS_00008783.p1	OFUSG01940.1.p1
TCONS_00021074.p1	OFUSG14797.3.p1
TCONS_00052261.p1	OFUSG23426.1.p1
TCONS_00027495.p1	OFUSG19025.1.p1
TCONS_00046200.p1	OFUSG13227.1.p1
TCONS_00007061.p1	OFUSG20384.1.p1
TCONS_00022503.p1	OFUSG25842.2.p1
TCONS_00024407.p1	OFUSG07794.1.p1
TCONS_00054366.p1	OFUSG21022.1.p1
TCONS_00031086.p1	OFUSG11040.1.p1
TCONS_00012406.p1	OFUSG01494.1.p1
TCONS_00030329.p1	OFUSG14396.1.p1
TCONS_00055738.p1	OFUSG07339.1.p1
TCONS_00054342.p1	OFUSG23506.1.p1
TCONS_00014208.p1	OFUSG10298.1.p1
TCONS_00054350.p1	OFUSG20745.1.p1
TCONS_00021999.p1	OFUSG14669.1.p1
TCONS_00007988.p1	OFUSG05066.1.p1
TCONS_00047965.p1	OFUSG06066.1.p1
TCONS_00013272.p1	OFUSG10958.1.p1
TCONS_00033505.p1	OFUSG17362.1.p1
TCONS_00014046.p1	OFUSG10158.1.p1
TCONS_00055094.p1	OFUSG25553.1.p1
TCONS_00028552.p1	OFUSG19684.1.p1
TCONS_00005176.p1	OFUSG15084.1.p1
TCONS_00015574.p1	OFUSG07912.1.p1
TCONS_00008204.p1	OFUSG05085.1.p1
TCONS_00005929.p1	OFUSG09860.1.p1
TCONS_00020391.p1	OFUSG12830.1.p1
TCONS_00008916.p1	OFUSG04898.1.p1
TCONS_00028861.p1	OFUSG09546.1.p1
TCONS_00002375.p1	OFUSG01882.1.p1
TCONS_00053525.p1	OFUSG23439.1.p1
TCONS_00002839.p1	OFUSG16072.2.p1
TCONS_00027453.p1	OFUSG19529.1.p1
TCONS_00031450.p1	OFUSG10774.1.p1
TCONS_00009967.p1	OFUSG21598.2.p1
TCONS_00003678.p1	OFUSG04618.1.p1
TCONS_00001550.p1	OFUSG01838.2.p1
TCONS_00010841.p1	OFUSG11354.1.p1
TCONS_00007515.p1	OFUSG20757.1.p1
TCONS_00022180.p1	OFUSG14452.1.p1
TCONS_00008381.p1	OFUSG20235.1.p1
TCONS_00004974.p1	OFUSG15358.1.p1
TCONS_00010710.p1	OFUSG21661.1.p1
TCONS_00035269.p1	OFUSG19592.1.p1
TCONS_00047386.p1	OFUSG06916.1.p1
TCONS_00004580.p1	OFUSG22448.1.p1
