TCONS_00033626.p1	bflo_07005
TCONS_00010677.p1	bflo_20729
TCONS_00001330.p1	bflo_17332
TCONS_00016012.p1	bflo_16120
TCONS_00006470.p1	bflo_19842
TCONS_00013160.p1	bflo_23404
TCONS_00002772.p1	bflo_13940
TCONS_00054334.p1	bflo_25745
TCONS_00024586.p1	bflo_01909
TCONS_00042666.p1	bflo_14179
TCONS_00011577.p1	bflo_20314
TCONS_00011306.p1	bflo_05163
TCONS_00005197.p1	bflo_20659
TCONS_00032730.p1	bflo_16811
TCONS_00048351.p1	bflo_11440
TCONS_00048064.p1	bflo_11534
TCONS_00042771.p1	bflo_13347
TCONS_00009528.p1	bflo_03798
TCONS_00032921.p1	bflo_07349
TCONS_00054999.p1	bflo_10177
TCONS_00024069.p1	bflo_10012
TCONS_00000729.p1	bflo_17766
TCONS_00004662.p1	bflo_07641
TCONS_00053112.p1	bflo_14597
TCONS_00045275.p1	bflo_05798
TCONS_00030400.p1	bflo_08160
TCONS_00027369.p1	bflo_21652
TCONS_00053802.p1	bflo_01056
TCONS_00013347.p1	bflo_23531
TCONS_00026293.p1	bflo_10272
TCONS_00042998.p1	bflo_14368
TCONS_00023827.p1	bflo_09920
TCONS_00056726.p1	bflo_19016
TCONS_00014283.p1	bflo_23756
TCONS_00022862.p1	bflo_22345
TCONS_00035720.p1	bflo_03553
TCONS_00049073.p1	bflo_27024
TCONS_00022339.p1	bflo_21761
TCONS_00008364.p1	bflo_13986
TCONS_00048759.p1	bflo_11467
TCONS_00014499.p1	bflo_12910
TCONS_00008634.p1	bflo_13370
TCONS_00000635.p1	bflo_17432
TCONS_00010931.p1	bflo_08632
TCONS_00024002.p1	bflo_09209
TCONS_00029535.p1	bflo_22002
TCONS_00043263.p1	bflo_14817
TCONS_00023250.p1	bflo_25301
TCONS_00050050.p1	bflo_24502
TCONS_00056677.p1	bflo_22363
TCONS_00025528.p1	bflo_10220
TCONS_00055509.p1	bflo_10338
TCONS_00014657.p1	bflo_15791
TCONS_00007157.p1	bflo_12792
TCONS_00014287.p1	bflo_05621
TCONS_00012740.p1	bflo_23145
TCONS_00020824.p1	bflo_08354
TCONS_00027453.p1	bflo_09756
TCONS_00053939.p1	bflo_25147
TCONS_00049576.p1	bflo_12288
TCONS_00038726.p1	bflo_23079
TCONS_00050068.p1	bflo_24202
TCONS_00052942.p1	bflo_26230
TCONS_00008646.p1	bflo_13444
TCONS_00028208.p1	bflo_01920
TCONS_00014019.p1	bflo_23117
TCONS_00000868.p1	bflo_03905
TCONS_00025664.p1	bflo_10490
TCONS_00000789.p1	bflo_26121
TCONS_00008053.p1	bflo_13599
TCONS_00045088.p1	bflo_25411
TCONS_00005573.p1	bflo_09284
TCONS_00037550.p1	bflo_19448
TCONS_00056435.p1	bflo_20024
TCONS_00051637.p1	bflo_24019
TCONS_00028492.p1	bflo_01898
TCONS_00012602.p1	bflo_17631
TCONS_00013841.p1	bflo_23565
TCONS_00021894.p1	bflo_21584
TCONS_00040373.p1	bflo_14868
TCONS_00029595.p1	bflo_03309
TCONS_00005134.p1	bflo_22603
TCONS_00051037.p1	bflo_26526
TCONS_00021695.p1	bflo_21731
TCONS_00044319.p1	bflo_16344
TCONS_00016215.p1	bflo_15941
TCONS_00030052.p1	bflo_08398
TCONS_00000838.p1	bflo_17774
TCONS_00027108.p1	bflo_10010
TCONS_00028502.p1	bflo_25401
TCONS_00026474.p1	bflo_25317
TCONS_00031946.p1	bflo_02364
TCONS_00028974.p3	bflo_02863
TCONS_00052055.p1	bflo_21166
TCONS_00026543.p1	bflo_10040
TCONS_00045725.p1	bflo_01444
TCONS_00012637.p1	bflo_23147
TCONS_00015504.p1	bflo_07416
TCONS_00024430.p1	bflo_00013
TCONS_00052181.p1	bflo_24571
TCONS_00008622.p1	bflo_09527
TCONS_00027833.p1	bflo_08891
TCONS_00008071.p1	bflo_12978
TCONS_00012124.p1	bflo_08733
TCONS_00029325.p1	bflo_05538
TCONS_00008423.p1	bflo_14038
TCONS_00029187.p1	bflo_06514
TCONS_00014387.p1	bflo_22898
TCONS_00020105.p1	bflo_00450
TCONS_00046687.p1	bflo_06379
TCONS_00020851.p1	bflo_21741
TCONS_00015452.p1	bflo_16553
TCONS_00003584.p1	bflo_20876
TCONS_00036890.p1	bflo_04122
TCONS_00007477.p1	bflo_12732
TCONS_00026415.p1	bflo_10172
TCONS_00036248.p1	bflo_03339
TCONS_00007601.p1	bflo_14557
TCONS_00052813.p1	bflo_01436
TCONS_00007193.p1	bflo_12918
TCONS_00005064.p1	bflo_18908
TCONS_00003055.p1	bflo_15420
TCONS_00016625.p1	bflo_11262
TCONS_00005350.p1	bflo_20239
TCONS_00056343.p1	bflo_15011
TCONS_00025956.p1	bflo_10752
TCONS_00021481.p1	bflo_04327
TCONS_00053533.p1	bflo_25258
TCONS_00053065.p1	bflo_25533
TCONS_00006026.p1	bflo_21079
TCONS_00035498.p1	bflo_25560
TCONS_00000274.p1	bflo_17584
TCONS_00003628.p1	bflo_02307
TCONS_00049435.p1	bflo_11079
TCONS_00007412.p1	bflo_13511
TCONS_00010436.p1	bflo_19831
TCONS_00056116.p1	bflo_18875
TCONS_00005106.p1	bflo_20865
TCONS_00051122.p1	bflo_24442
TCONS_00005739.p1	bflo_21053
TCONS_00051914.p1	bflo_25113
TCONS_00027967.p1	bflo_10032
TCONS_00001864.p1	bflo_04490
TCONS_00045482.p1	bflo_06383
TCONS_00046000.p1	bflo_01076
TCONS_00012257.p1	bflo_06632
TCONS_00042360.p1	bflo_08272
TCONS_00052864.p1	bflo_25708
TCONS_00002867.p1	bflo_13020
TCONS_00046926.p1	bflo_06370
TCONS_00042083.p1	bflo_14354
TCONS_00002699.p1	bflo_02965
TCONS_00019147.p1	bflo_26602
TCONS_00054800.p1	bflo_23974
TCONS_00013162.p1	bflo_23165
TCONS_00055986.p1	bflo_19687
TCONS_00055081.p1	bflo_14970
TCONS_00010986.p1	bflo_05968
TCONS_00012534.p1	bflo_23653
TCONS_00012194.p1	bflo_06540
TCONS_00053391.p1	bflo_25501
TCONS_00052518.p1	bflo_25603
TCONS_00028003.p1	bflo_00483
TCONS_00017400.p1	bflo_01606
TCONS_00006102.p1	bflo_26573
TCONS_00019618.p1	bflo_00403
TCONS_00013525.p1	bflo_03802
TCONS_00006805.p1	bflo_20625
TCONS_00040372.p1	bflo_14295
TCONS_00024627.p1	bflo_03907
TCONS_00046705.p1	bflo_06635
TCONS_00047631.p1	bflo_12076
TCONS_00036833.p1	bflo_14419
TCONS_00049713.p1	bflo_17467
TCONS_00053276.p1	bflo_11425
TCONS_00020612.p1	bflo_13794
TCONS_00048320.p1	bflo_11069
TCONS_00044220.p1	bflo_15000
TCONS_00003629.p1	bflo_02305
TCONS_00051437.p1	bflo_24026
TCONS_00011688.p1	bflo_22615
TCONS_00031009.p1	bflo_15095
TCONS_00021911.p1	bflo_25166
TCONS_00002936.p1	bflo_02456
TCONS_00012984.p1	bflo_13949
TCONS_00014877.p1	bflo_15878
TCONS_00018803.p1	bflo_00992
TCONS_00013435.p1	bflo_22641
TCONS_00029314.p1	bflo_05626
TCONS_00008966.p1	bflo_13266
TCONS_00006055.p1	bflo_20459
TCONS_00042240.p1	bflo_14125
TCONS_00007214.p1	bflo_13089
TCONS_00022042.p1	bflo_22203
TCONS_00054450.p1	bflo_25992
TCONS_00002581.p1	bflo_02659
TCONS_00053410.p1	bflo_25645
TCONS_00016357.p1	bflo_16171
TCONS_00031119.p1	bflo_22438
TCONS_00044027.p1	bflo_09901
TCONS_00001878.p1	bflo_17784
TCONS_00057277.p1	bflo_06835
TCONS_00054101.p1	bflo_26209
TCONS_00047309.p1	bflo_10085
TCONS_00051649.p1	bflo_24923
TCONS_00007977.p1	bflo_22160
TCONS_00022195.p1	bflo_21818
TCONS_00042380.p1	bflo_24365
TCONS_00014340.p1	bflo_23681
TCONS_00035041.p1	bflo_09856
TCONS_00056543.p1	bflo_18369
TCONS_00005289.p1	bflo_20234
TCONS_00010246.p1	bflo_11547
TCONS_00029430.p1	bflo_06423
TCONS_00051211.p1	bflo_07559
TCONS_00010295.p1	bflo_09946
TCONS_00035589.p1	bflo_19048
TCONS_00041072.p1	bflo_21918
TCONS_00006382.p1	bflo_20061
TCONS_00003985.p1	bflo_02450
TCONS_00010636.p1	bflo_10937
TCONS_00056818.p1	bflo_18751
TCONS_00029994.p1	bflo_08431
TCONS_00040109.p1	bflo_26091
TCONS_00003571.p1	bflo_02661
TCONS_00050366.p1	bflo_25046
TCONS_00027399.p1	bflo_10377
TCONS_00018209.p1	bflo_01200
TCONS_00049281.p1	bflo_11654
TCONS_00026820.p1	bflo_09722
TCONS_00010962.p1	bflo_24326
TCONS_00044034.p1	bflo_14994
TCONS_00044845.p1	bflo_06725
TCONS_00028853.p1	bflo_01291
TCONS_00017535.p1	bflo_01342
TCONS_00042109.p1	bflo_14213
TCONS_00035405.p1	bflo_17525
TCONS_00027488.p1	bflo_09358
TCONS_00052186.p1	bflo_24379
TCONS_00000118.p1	bflo_18063
TCONS_00047967.p1	bflo_11643
TCONS_00015033.p1	bflo_16242
TCONS_00013414.p1	bflo_23398
TCONS_00047595.p1	bflo_11820
TCONS_00005131.p1	bflo_20186
TCONS_00039824.p1	bflo_22443
TCONS_00021498.p1	bflo_21260
TCONS_00028328.p1	bflo_25806
TCONS_00010886.p1	bflo_10350
TCONS_00055966.p1	bflo_07017
TCONS_00053607.p1	bflo_26303
TCONS_00055707.p1	bflo_18863
TCONS_00003137.p1	bflo_02446
TCONS_00038944.p1	bflo_11261
TCONS_00028170.p1	bflo_04273
TCONS_00055710.p1	bflo_18642
TCONS_00048878.p1	bflo_21325
TCONS_00056048.p1	bflo_23590
TCONS_00029573.p1	bflo_06254
TCONS_00007793.p1	bflo_12982
TCONS_00043516.p1	bflo_14884
TCONS_00000960.p1	bflo_11358
TCONS_00011962.p1	bflo_16437
TCONS_00019775.p1	bflo_07999
TCONS_00053690.p1	bflo_19342
TCONS_00017140.p1	bflo_00968
TCONS_00045330.p1	bflo_01199
TCONS_00045789.p1	bflo_27291
TCONS_00042167.p1	bflo_14519
TCONS_00021382.p1	bflo_22462
TCONS_00013304.p1	bflo_23056
TCONS_00035063.p1	bflo_19057
TCONS_00048188.p1	bflo_12323
TCONS_00051980.p1	bflo_19905
TCONS_00011065.p1	bflo_12174
TCONS_00013899.p1	bflo_23379
TCONS_00011281.p1	bflo_20690
TCONS_00046364.p2	bflo_04822
TCONS_00050223.p1	bflo_03935
TCONS_00053130.p1	bflo_26177
TCONS_00021309.p1	bflo_22223
TCONS_00006230.p1	bflo_10382
TCONS_00021087.p1	bflo_21556
TCONS_00017751.p1	bflo_01955
TCONS_00012111.p1	bflo_17624
TCONS_00049607.p1	bflo_12074
TCONS_00041903.p1	bflo_14968
TCONS_00039944.p1	bflo_04816
TCONS_00015915.p1	bflo_16967
TCONS_00029838.p1	bflo_06629
TCONS_00011737.p1	bflo_08182
TCONS_00012859.p1	bflo_23461
TCONS_00013916.p1	bflo_23357
TCONS_00026255.p1	bflo_09310
TCONS_00020263.p1	bflo_00438
TCONS_00027170.p1	bflo_09504
TCONS_00029790.p1	bflo_23177
TCONS_00053524.p1	bflo_25552
TCONS_00008984.p1	bflo_13747
TCONS_00047219.p3	bflo_26681
TCONS_00010844.p1	bflo_15042
TCONS_00043112.p1	bflo_14133
TCONS_00039538.p1	bflo_24096
TCONS_00012571.p1	bflo_23373
TCONS_00041665.p1	bflo_11194
TCONS_00009724.p1	bflo_13509
TCONS_00008678.p1	bflo_12592
TCONS_00015362.p1	bflo_15711
TCONS_00028493.p1	bflo_05942
TCONS_00003829.p1	bflo_20371
TCONS_00020281.p1	bflo_11461
TCONS_00010868.p1	bflo_13315
TCONS_00020693.p1	bflo_12718
TCONS_00009612.p1	bflo_23862
TCONS_00027661.p1	bflo_10632
TCONS_00001125.p1	bflo_17550
TCONS_00055959.p1	bflo_18711
TCONS_00014397.p1	bflo_22844
TCONS_00003127.p1	bflo_02528
TCONS_00011902.p1	bflo_22436
TCONS_00015601.p1	bflo_05040
TCONS_00032986.p1	bflo_00719
TCONS_00009605.p1	bflo_08056
TCONS_00017775.p1	bflo_01727
TCONS_00052207.p1	bflo_24393
TCONS_00014140.p1	bflo_23473
TCONS_00007323.p1	bflo_07684
TCONS_00042754.p1	bflo_14450
TCONS_00002544.p1	bflo_06991
TCONS_00003604.p1	bflo_02915
TCONS_00006673.p1	bflo_20596
TCONS_00026747.p1	bflo_10551
TCONS_00029425.p1	bflo_06072
TCONS_00053663.p1	bflo_03350
TCONS_00050817.p1	bflo_24870
TCONS_00053204.p1	bflo_25297
TCONS_00001109.p1	bflo_18175
TCONS_00029817.p1	bflo_05706
TCONS_00021925.p1	bflo_22270
TCONS_00032702.p1	bflo_00883
TCONS_00043932.p1	bflo_14340
TCONS_00005511.p1	bflo_04930
TCONS_00017935.p1	bflo_01421
TCONS_00003868.p1	bflo_02471
TCONS_00001097.p1	bflo_18086
TCONS_00049587.p1	bflo_12287
TCONS_00021203.p1	bflo_21960
TCONS_00003830.p1	bflo_02367
TCONS_00012368.p1	bflo_21645
TCONS_00019547.p1	bflo_08453
TCONS_00057140.p1	bflo_18536
TCONS_00006204.p1	bflo_20801
TCONS_00045843.p1	bflo_05593
TCONS_00051861.p1	bflo_24046
TCONS_00052911.p1	bflo_26032
TCONS_00036166.p1	bflo_00233
TCONS_00051191.p1	bflo_24916
TCONS_00047661.p1	bflo_20501
TCONS_00007541.p1	bflo_13697
TCONS_00048354.p1	bflo_11187
TCONS_00027786.p1	bflo_07907
TCONS_00034956.p1	bflo_18818
TCONS_00047879.p1	bflo_11878
TCONS_00022180.p1	bflo_21574
TCONS_00042624.p1	bflo_13072
TCONS_00054310.p1	bflo_25336
TCONS_00056082.p1	bflo_19239
TCONS_00043595.p1	bflo_26938
TCONS_00017300.p1	bflo_01008
TCONS_00054169.p1	bflo_25252
TCONS_00026788.p1	bflo_09255
TCONS_00026940.p1	bflo_08741
TCONS_00031473.p1	bflo_07064
TCONS_00015860.p1	bflo_15786
TCONS_00047769.p1	bflo_05004
TCONS_00006897.p1	bflo_01642
TCONS_00002911.p1	bflo_11783
TCONS_00048693.p1	bflo_12191
TCONS_00014850.p1	bflo_15568
TCONS_00038094.p1	bflo_03026
TCONS_00000589.p1	bflo_17866
TCONS_00037578.p1	bflo_03367
TCONS_00050190.p1	bflo_24500
TCONS_00049561.p1	bflo_11458
TCONS_00027098.p1	bflo_09716
TCONS_00027244.p1	bflo_10107
TCONS_00009667.p1	bflo_06104
TCONS_00036872.p1	bflo_02222
TCONS_00024858.p1	bflo_09257
TCONS_00010778.p1	bflo_15539
TCONS_00041730.p1	bflo_01162
TCONS_00010279.p1	bflo_08786
TCONS_00002583.p1	bflo_22710
TCONS_00004760.p1	bflo_20091
TCONS_00007037.p1	bflo_13254
TCONS_00027407.p1	bflo_06823
TCONS_00013444.p1	bflo_17599
TCONS_00055211.p1	bflo_07744
TCONS_00043712.p1	bflo_14598
TCONS_00003694.p1	bflo_15268
TCONS_00046166.p1	bflo_06649
TCONS_00056500.p1	bflo_18395
TCONS_00002386.p1	bflo_17821
TCONS_00009725.p1	bflo_07489
TCONS_00006834.p1	bflo_05931
TCONS_00011637.p1	bflo_12887
TCONS_00004893.p1	bflo_20049
TCONS_00037037.p1	bflo_03017
TCONS_00047800.p1	bflo_12391
TCONS_00005025.p1	bflo_15615
TCONS_00050628.p1	bflo_24459
TCONS_00009272.p1	bflo_13622
TCONS_00014869.p1	bflo_22152
TCONS_00044049.p1	bflo_14933
TCONS_00008213.p1	bflo_13202
TCONS_00048542.p1	bflo_11118
TCONS_00019820.p1	bflo_12586
TCONS_00048869.p1	bflo_12126
TCONS_00048431.p1	bflo_11218
TCONS_00002769.p1	bflo_02513
TCONS_00051879.p1	bflo_24039
TCONS_00007057.p1	bflo_14036
TCONS_00007375.p1	bflo_12840
TCONS_00053570.p1	bflo_26097
TCONS_00020336.p1	bflo_17838
TCONS_00022275.p1	bflo_24925
TCONS_00015907.p1	bflo_15574
TCONS_00006078.p1	bflo_20085
TCONS_00000342.p1	bflo_18472
TCONS_00001363.p1	bflo_02848
TCONS_00033093.p1	bflo_07190
TCONS_00021890.p1	bflo_13590
TCONS_00041592.p1	bflo_14724
TCONS_00012035.p1	bflo_18637
TCONS_00051204.p1	bflo_24992
TCONS_00027881.p1	bflo_05935
TCONS_00049083.p1	bflo_11567
TCONS_00000173.p1	bflo_17686
TCONS_00048858.p1	bflo_11038
TCONS_00046886.p1	bflo_04765
TCONS_00037239.p1	bflo_18312
TCONS_00003180.p1	bflo_19139
TCONS_00032013.p2	bflo_06964
TCONS_00052177.p1	bflo_24277
TCONS_00012415.p1	bflo_23015
TCONS_00003570.p1	bflo_02273
TCONS_00045395.p1	bflo_01723
TCONS_00020618.p1	bflo_18096
TCONS_00026077.p1	bflo_09208
TCONS_00006221.p1	bflo_20153
TCONS_00044147.p1	bflo_14808
TCONS_00028151.p1	bflo_05573
TCONS_00043490.p1	bflo_14095
TCONS_00043254.p1	bflo_15512
TCONS_00027776.p1	bflo_09036
TCONS_00002246.p1	bflo_17373
TCONS_00026493.p1	bflo_09498
TCONS_00044700.p1	bflo_06524
TCONS_00007327.p1	bflo_22469
TCONS_00052257.p1	bflo_21632
TCONS_00017571.p1	bflo_01566
TCONS_00018873.p1	bflo_18723
TCONS_00042060.p1	bflo_15545
TCONS_00023332.p1	bflo_09068
TCONS_00037839.p1	bflo_00486
TCONS_00015826.p1	bflo_17087
TCONS_00005605.p1	bflo_20359
TCONS_00043918.p1	bflo_14248
TCONS_00017831.p1	bflo_00478
TCONS_00002041.p1	bflo_19109
TCONS_00030138.p1	bflo_07812
TCONS_00010772.p1	bflo_14531
TCONS_00045359.p1	bflo_14094
TCONS_00049783.p1	bflo_11366
TCONS_00008942.p1	bflo_13894
TCONS_00013472.p1	bflo_23667
TCONS_00010106.p1	bflo_17311
TCONS_00037881.p1	bflo_14548
TCONS_00029682.p1	bflo_01656
TCONS_00037583.p1	bflo_22613
TCONS_00025564.p1	bflo_09147
TCONS_00054950.p1	bflo_20841
TCONS_00030604.p1	bflo_08514
TCONS_00041649.p1	bflo_14388
TCONS_00038648.p1	bflo_00207
TCONS_00033778.p1	bflo_05683
TCONS_00054155.p1	bflo_06826
TCONS_00053417.p1	bflo_13097
TCONS_00051869.p1	bflo_08321
TCONS_00026721.p1	bflo_06827
TCONS_00024142.p1	bflo_09940
TCONS_00025908.p1	bflo_10576
TCONS_00046675.p1	bflo_05699
TCONS_00029165.p1	bflo_05814
TCONS_00056202.p1	bflo_02162
TCONS_00011590.p1	bflo_09685
TCONS_00015676.p1	bflo_16365
TCONS_00033405.p1	bflo_07490
TCONS_00015458.p1	bflo_05909
TCONS_00037978.p1	bflo_03034
TCONS_00013498.p1	bflo_17450
TCONS_00012532.p1	bflo_23393
TCONS_00044651.p1	bflo_05430
TCONS_00006431.p1	bflo_20258
TCONS_00009764.p1	bflo_03355
TCONS_00042776.p1	bflo_14765
TCONS_00022893.p1	bflo_22505
TCONS_00009887.p1	bflo_24508
TCONS_00028324.p1	bflo_06445
TCONS_00030619.p1	bflo_07116
TCONS_00029764.p1	bflo_02350
TCONS_00010709.p1	bflo_25005
TCONS_00023134.p1	bflo_10185
TCONS_00056652.p1	bflo_18850
TCONS_00052549.p1	bflo_25772
TCONS_00030001.p1	bflo_06917
TCONS_00013713.p1	bflo_23792
TCONS_00028490.p1	bflo_06599
TCONS_00002022.p1	bflo_17476
TCONS_00005286.p1	bflo_01372
TCONS_00005865.p1	bflo_02670
TCONS_00004126.p1	bflo_04446
TCONS_00013878.p1	bflo_22969
TCONS_00048317.p1	bflo_11906
TCONS_00027474.p1	bflo_05294
TCONS_00052137.p1	bflo_24463
TCONS_00050115.p1	bflo_05010
TCONS_00037025.p1	bflo_01866
TCONS_00028401.p1	bflo_06415
TCONS_00053948.p1	bflo_25815
TCONS_00051821.p1	bflo_24077
TCONS_00011426.p1	bflo_23476
TCONS_00012910.p1	bflo_22629
TCONS_00021015.p1	bflo_24523
TCONS_00052735.p1	bflo_25631
TCONS_00051328.p1	bflo_24342
TCONS_00009676.p1	bflo_07614
TCONS_00004415.p1	bflo_02262
TCONS_00049633.p1	bflo_08716
TCONS_00050859.p1	bflo_24247
TCONS_00003971.p1	bflo_02365
TCONS_00031137.p1	bflo_06918
TCONS_00056454.p1	bflo_16396
TCONS_00036632.p1	bflo_01836
TCONS_00010994.p1	bflo_09204
TCONS_00007691.p1	bflo_13160
TCONS_00035256.p1	bflo_14591
TCONS_00056829.p1	bflo_18911
TCONS_00020490.p1	bflo_13226
TCONS_00019780.p1	bflo_07801
TCONS_00052821.p1	bflo_25222
TCONS_00027443.p1	bflo_10723
TCONS_00028898.p1	bflo_06538
TCONS_00008781.p1	bflo_12937
TCONS_00051522.p1	bflo_24864
TCONS_00013562.p1	bflo_02914
TCONS_00055537.p1	bflo_19674
TCONS_00051254.p1	bflo_24069
TCONS_00045126.p1	bflo_22387
TCONS_00003635.p1	bflo_02625
TCONS_00017368.p1	bflo_16228
TCONS_00053848.p1	bflo_03228
TCONS_00004775.p1	bflo_10135
TCONS_00038271.p1	bflo_25545
TCONS_00013273.p1	bflo_23918
TCONS_00053946.p1	bflo_25822
TCONS_00047295.p1	bflo_10978
TCONS_00025127.p1	bflo_09826
TCONS_00003711.p1	bflo_02144
TCONS_00046412.p1	bflo_08995
TCONS_00017056.p1	bflo_18188
TCONS_00023536.p1	bflo_10030
TCONS_00054784.p1	bflo_00307
TCONS_00043223.p1	bflo_15202
TCONS_00019098.p1	bflo_08362
TCONS_00049462.p1	bflo_10962
TCONS_00020262.p1	bflo_00171
TCONS_00004635.p1	bflo_20778
TCONS_00032534.p1	bflo_07657
TCONS_00047616.p1	bflo_12035
TCONS_00046681.p1	bflo_06319
TCONS_00036529.p1	bflo_06604
TCONS_00037773.p1	bflo_03436
TCONS_00026134.p1	bflo_10795
TCONS_00030410.p1	bflo_07321
TCONS_00010646.p1	bflo_04519
TCONS_00041748.p1	bflo_14271
TCONS_00036946.p1	bflo_03396
TCONS_00021122.p1	bflo_21739
TCONS_00009302.p1	bflo_12786
TCONS_00007931.p1	bflo_12922
TCONS_00049126.p1	bflo_11678
TCONS_00015489.p1	bflo_15819
TCONS_00057058.p1	bflo_19470
TCONS_00027010.p1	bflo_08781
TCONS_00044312.p1	bflo_26252
TCONS_00022722.p1	bflo_22474
TCONS_00055419.p1	bflo_13462
TCONS_00054418.p1	bflo_04898
TCONS_00014141.p1	bflo_23838
TCONS_00009876.p1	bflo_05713
TCONS_00009967.p1	bflo_08626
TCONS_00036469.p1	bflo_12673
TCONS_00022755.p1	bflo_21296
TCONS_00014313.p1	bflo_23779
TCONS_00050379.p1	bflo_18749
TCONS_00008724.p1	bflo_14028
TCONS_00025715.p1	bflo_09841
TCONS_00009979.p1	bflo_09733
TCONS_00012032.p1	bflo_12159
TCONS_00056126.p1	bflo_18700
TCONS_00047153.p1	bflo_10826
TCONS_00046388.p1	bflo_06355
TCONS_00055907.p1	bflo_20052
TCONS_00044660.p1	bflo_05639
TCONS_00015238.p1	bflo_11621
TCONS_00004510.p1	bflo_23368
TCONS_00007485.p1	bflo_13474
TCONS_00027226.p1	bflo_08970
TCONS_00025457.p1	bflo_09851
TCONS_00004058.p1	bflo_05338
TCONS_00054383.p1	bflo_25862
TCONS_00023593.p1	bflo_17627
TCONS_00017920.p1	bflo_00988
TCONS_00026649.p1	bflo_09496
TCONS_00037517.p1	bflo_23020
TCONS_00006159.p1	bflo_19985
TCONS_00034953.p1	bflo_11817
TCONS_00015576.p1	bflo_09167
TCONS_00003540.p1	bflo_05895
TCONS_00011977.p1	bflo_05591
TCONS_00042611.p1	bflo_14344
TCONS_00004132.p1	bflo_26670
TCONS_00014351.p1	bflo_23403
TCONS_00051034.p1	bflo_24520
TCONS_00029439.p1	bflo_01360
TCONS_00026429.p1	bflo_09529
TCONS_00029066.p1	bflo_17891
TCONS_00051511.p1	bflo_24771
TCONS_00055464.p1	bflo_26767
TCONS_00013197.p1	bflo_23112
TCONS_00045337.p1	bflo_05802
TCONS_00055094.p1	bflo_13467
TCONS_00047578.p1	bflo_04254
TCONS_00055673.p1	bflo_19624
TCONS_00010929.p1	bflo_10690
TCONS_00019224.p1	bflo_26581
TCONS_00004148.p1	bflo_02613
TCONS_00003882.p1	bflo_08304
TCONS_00014508.p1	bflo_16279
TCONS_00001082.p1	bflo_06206
TCONS_00007986.p1	bflo_06995
TCONS_00018976.p1	bflo_08458
TCONS_00015079.p1	bflo_16585
TCONS_00018469.p1	bflo_01175
