Orthogroup	XENTR	CAPO3
OG0000043	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	CAPO308256
OG0000048	XENTR03701	CAPO305301
OG0000049	XENTR00212, XENTR08482, XENTR07031, XENTR06401, XENTR01319, XENTR18684, XENTR07961, XENTR13014, XENTR10377, XENTR07960, XENTR13015	CAPO304018
OG0000051	XENTR08842	CAPO307809, CAPO301249
OG0000054	XENTR04962, XENTR04961	CAPO302015
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900	CAPO303797
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506, XENTR00781	CAPO305974, CAPO306012, CAPO306941
OG0000058	XENTR09300, XENTR11839	CAPO305595
OG0000060	XENTR09513, XENTR11489, XENTR04114, XENTR08957	CAPO305373
OG0000062	XENTR06154, XENTR13824, XENTR13820, XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203, XENTR15531, XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496, XENTR09512	CAPO300910
OG0000063	XENTR10234, XENTR04709, XENTR00319, XENTR11311, XENTR04708, XENTR15638, XENTR08048, XENTR02007, XENTR01303	CAPO300270
OG0000066	XENTR18882	CAPO308057
OG0000069	XENTR15529	CAPO302182
OG0000069	XENTR16269	CAPO301523, CAPO305173
OG0000082	XENTR16096	CAPO304738
OG0000082	XENTR01624, XENTR01625	CAPO306626
OG0000082	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628	CAPO300843
OG0000085	XENTR01729, XENTR03138	CAPO303061
OG0000085	XENTR04052, XENTR12507, XENTR00852, XENTR15005, XENTR14407, XENTR15163, XENTR04222, XENTR00809, XENTR12508, XENTR04053, XENTR12352, XENTR12351	CAPO303047
OG0000089	XENTR04109	CAPO300386, CAPO300810, CAPO302098
OG0000091	XENTR08624	CAPO301134
OG0000096	XENTR02339, XENTR11518	CAPO301431
OG0000096	XENTR06220, XENTR01880	CAPO307955
OG0000096	XENTR18613	CAPO307522
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	CAPO300294
OG0000096	XENTR16018, XENTR14119, XENTR17893	CAPO307017
OG0000101	XENTR09885, XENTR05951, XENTR10544, XENTR10545, XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	CAPO306858
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493, XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	CAPO302453
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555, XENTR07802, XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297	CAPO300017
OG0000110	XENTR04384, XENTR09458	CAPO300387
OG0000116	XENTR12530	CAPO305622
OG0000119	XENTR05393, XENTR05242, XENTR06871, XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933, XENTR01125, XENTR14071	CAPO304642
OG0000122	XENTR06907, XENTR17281, XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	CAPO307824
OG0000124	XENTR09248, XENTR09249	CAPO302553
OG0000126	XENTR03459, XENTR13788, XENTR00416	CAPO301836
OG0000126	XENTR02718, XENTR02062, XENTR09023	CAPO302484
OG0000126	XENTR14632, XENTR03466, XENTR05061, XENTR11942, XENTR13975, XENTR08532	CAPO300572
OG0000128	XENTR09496, XENTR10668, XENTR08486, XENTR08487	CAPO306991, CAPO304956
OG0000129	XENTR14286, XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673, XENTR11866, XENTR11868, XENTR11869, XENTR14278, XENTR11921, XENTR18992, XENTR15519, XENTR06232	CAPO303361
OG0000137	XENTR10738, XENTR07993, XENTR07994, XENTR04900, XENTR11062, XENTR17418, XENTR10667	CAPO305369
OG0000142	XENTR10224, XENTR10223, XENTR07681, XENTR14526, XENTR15206, XENTR12932, XENTR08172, XENTR16130	CAPO302031, CAPO302030
OG0000147	XENTR12286	CAPO305863
OG0000147	XENTR02156, XENTR12287	CAPO308132
OG0000147	XENTR00602, XENTR15311	CAPO304230
OG0000149	XENTR03422, XENTR03423, XENTR01442, XENTR00579, XENTR04855	CAPO305206, CAPO306214
OG0000157	XENTR09579, XENTR08086, XENTR09581, XENTR09580, XENTR05876	CAPO305956
OG0000157	XENTR02559, XENTR07059, XENTR00873, XENTR07056, XENTR07057, XENTR02846, XENTR02558, XENTR09559	CAPO305824
OG0000158	XENTR11952	CAPO302924
OG0000160	XENTR02472	CAPO301680
OG0000167	XENTR16865, XENTR16863, XENTR13141, XENTR18214, XENTR04642, XENTR04643, XENTR03633, XENTR12761, XENTR09151, XENTR05471, XENTR02446, XENTR12175, XENTR11177	CAPO301364, CAPO303476
OG0000171	XENTR10513, XENTR07909, XENTR12901, XENTR11514, XENTR09537, XENTR13400, XENTR13399, XENTR05662	CAPO304813
OG0000174	XENTR18562, XENTR12376, XENTR02208, XENTR05576, XENTR05232, XENTR06550, XENTR10386	CAPO304629
OG0000175	XENTR04649	CAPO303513
OG0000175	XENTR10033	CAPO303920
OG0000179	XENTR01942	CAPO300694
OG0000179	XENTR00560, XENTR12119	CAPO303342
OG0000181	XENTR06217, XENTR12611, XENTR02755	CAPO301108
OG0000181	XENTR06005	CAPO302034
OG0000181	XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077	CAPO307692
OG0000181	XENTR09033, XENTR12669	CAPO300374
OG0000183	XENTR02086, XENTR13524, XENTR16217	CAPO305638
OG0000183	XENTR02643, XENTR17355, XENTR02630	CAPO305829
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	CAPO304928
OG0000192	XENTR01771	CAPO301980
OG0000193	XENTR18808, XENTR10186, XENTR10185, XENTR18807, XENTR02648, XENTR04027, XENTR10942, XENTR15293, XENTR14503, XENTR02647, XENTR19116	CAPO302628
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	CAPO305195
OG0000195	XENTR11322, XENTR09909, XENTR17326, XENTR19159	CAPO305454
OG0000201	XENTR16600, XENTR16601, XENTR04781	CAPO307729
OG0000203	XENTR04908, XENTR08192, XENTR07634, XENTR03226, XENTR09015, XENTR08065, XENTR04067, XENTR17118, XENTR17119, XENTR04083, XENTR08430, XENTR04082, XENTR08431, XENTR04088	CAPO302139
OG0000204	XENTR01607, XENTR04482, XENTR04113, XENTR02352, XENTR08334, XENTR08954	CAPO303090
OG0000207	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892	CAPO304105, CAPO304106, CAPO304714
OG0000211	XENTR02626, XENTR00605, XENTR03419, XENTR12567, XENTR17201, XENTR17202, XENTR15376, XENTR01456	CAPO306209
OG0000218	XENTR06015	CAPO300559
OG0000220	XENTR07581, XENTR15742, XENTR12748, XENTR06465, XENTR14440, XENTR06734	CAPO306780, CAPO307695
OG0000221	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885	CAPO300247
OG0000222	XENTR18094, XENTR09636, XENTR09635	CAPO304211
OG0000223	XENTR15744, XENTR02504, XENTR10692, XENTR11321, XENTR09534, XENTR11407, XENTR03468, XENTR08925	CAPO308126
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	CAPO305347
OG0000226	XENTR11864	CAPO306934
OG0000234	XENTR08092, XENTR06076, XENTR18346, XENTR00774, XENTR10873	CAPO301359
OG0000238	XENTR01828	CAPO305428
OG0000239	XENTR02896, XENTR08392, XENTR09596, XENTR06920, XENTR03351	CAPO302089
OG0000242	XENTR19139, XENTR02853	CAPO304847
OG0000244	XENTR01354, XENTR01248, XENTR01353, XENTR11299, XENTR03738, XENTR10413, XENTR05888, XENTR02505, XENTR12546	CAPO301556
OG0000246	XENTR05669, XENTR12561	CAPO303496
OG0000248	XENTR05728, XENTR06749, XENTR18294, XENTR06755, XENTR06750, XENTR06752	CAPO307635, CAPO302481, CAPO302487
OG0000250	XENTR13730	CAPO305827
OG0000255	XENTR09255	CAPO301531
OG0000255	XENTR12056	CAPO300499
OG0000256	XENTR18908	CAPO307884
OG0000256	XENTR00544, XENTR12133, XENTR13229	CAPO306483
OG0000257	XENTR07148, XENTR11248, XENTR08520, XENTR03052, XENTR13887	CAPO300414
OG0000258	XENTR04830, XENTR00764, XENTR12963, XENTR01640	CAPO301746
OG0000260	XENTR02375, XENTR07041	CAPO300399
OG0000265	XENTR16202, XENTR06790, XENTR04690	CAPO306126
OG0000265	XENTR16783	CAPO306540
OG0000271	XENTR19255, XENTR16932, XENTR03142, XENTR03168, XENTR08424, XENTR08561, XENTR13060	CAPO304641
OG0000273	XENTR05880	CAPO305109
OG0000273	XENTR04558	CAPO300804
OG0000277	XENTR14696, XENTR01190	CAPO303621
OG0000277	XENTR10121, XENTR08844, XENTR08749	CAPO301295
OG0000278	XENTR11159	CAPO300620
OG0000278	XENTR14066	CAPO305822
OG0000278	XENTR09088	CAPO302023
OG0000278	XENTR12427	CAPO303638
OG0000282	XENTR02925, XENTR13973, XENTR08646, XENTR07444, XENTR13582	CAPO308183
OG0000284	XENTR04307	CAPO305695
OG0000285	XENTR13132	CAPO303377
OG0000288	XENTR03004, XENTR07811, XENTR01416, XENTR09626, XENTR07805	CAPO305142
OG0000289	XENTR02120, XENTR05756, XENTR00324, XENTR04766	CAPO307835
OG0000295	XENTR03072, XENTR01672	CAPO302113, CAPO302799
OG0000299	XENTR10892, XENTR10893, XENTR02454, XENTR12999, XENTR07989	CAPO306599
OG0000305	XENTR05359	CAPO307183
OG0000306	XENTR13781, XENTR07294, XENTR01939, XENTR04873	CAPO308212
OG0000308	XENTR05341, XENTR03132, XENTR11682, XENTR17432	CAPO304037
OG0000310	XENTR02307, XENTR02306	CAPO305978
OG0000312	XENTR16372, XENTR10558	CAPO302691
OG0000313	XENTR04895, XENTR02724, XENTR08592	CAPO307072
OG0000313	XENTR05983, XENTR05982	CAPO301348
OG0000314	XENTR09194, XENTR12236, XENTR04774, XENTR10527, XENTR11181	CAPO304303
OG0000315	XENTR03674	CAPO307611
OG0000315	XENTR02373	CAPO308167
OG0000319	XENTR04637, XENTR04638, XENTR08302	CAPO303225
OG0000320	XENTR10555	CAPO308077
OG0000320	XENTR04771	CAPO304008
OG0000322	XENTR06441, XENTR17956, XENTR02845	CAPO306406
OG0000326	XENTR10133, XENTR03102, XENTR17122	CAPO308358, CAPO307947
OG0000326	XENTR16483	CAPO303322
OG0000327	XENTR02532, XENTR02531, XENTR02535	CAPO308120
OG0000334	XENTR16957, XENTR16148, XENTR19078, XENTR14909, XENTR18372, XENTR15849, XENTR18441, XENTR14907, XENTR14908, XENTR18600, XENTR18272, XENTR16517, XENTR14905, XENTR16519, XENTR13463, XENTR13461, XENTR13464, XENTR15850, XENTR16147	CAPO300337
OG0000335	XENTR03289	CAPO307753
OG0000338	XENTR03666, XENTR00810, XENTR00811, XENTR03279, XENTR12945	CAPO304735
OG0000339	XENTR06902, XENTR11218	CAPO305264
OG0000343	XENTR11384, XENTR11385, XENTR00663, XENTR09712	CAPO306429
OG0000345	XENTR04999, XENTR04907, XENTR12817	CAPO300769
OG0000352	XENTR04727, XENTR11543, XENTR14779, XENTR11161, XENTR18553	CAPO300356
OG0000357	XENTR15970, XENTR17586, XENTR08879, XENTR13168	CAPO301487
OG0000359	XENTR05950, XENTR00976	CAPO305417
OG0000359	XENTR15161, XENTR14895, XENTR06527	CAPO301540
OG0000359	XENTR09262	CAPO306866
OG0000360	XENTR08788, XENTR08828, XENTR08830, XENTR08829, XENTR03303, XENTR18235	CAPO300757
OG0000364	XENTR07477	CAPO301330, CAPO300908
OG0000367	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632	CAPO301272
OG0000371	XENTR11137, XENTR10750	CAPO307503
OG0000372	XENTR05569, XENTR05568, XENTR06420, XENTR12969, XENTR16656	CAPO307553
OG0000373	XENTR16184, XENTR10296, XENTR11366	CAPO301744
OG0000385	XENTR08770, XENTR08013, XENTR01663, XENTR03165, XENTR03166, XENTR03167, XENTR08909	CAPO300182, CAPO305781, CAPO305517
OG0000392	XENTR05821, XENTR05820, XENTR16898, XENTR05822, XENTR00373	CAPO300351
OG0000393	XENTR10938, XENTR02214, XENTR11795	CAPO307627
OG0000397	XENTR11555, XENTR13105, XENTR02279, XENTR18769	CAPO304372
OG0000399	XENTR09009, XENTR04487, XENTR16657, XENTR15857, XENTR05296, XENTR05870	CAPO302781
OG0000402	XENTR02381, XENTR02219, XENTR11951, XENTR13580, XENTR12413	CAPO300999
OG0000405	XENTR12151, XENTR12577, XENTR12578, XENTR04243	CAPO300636
OG0000412	XENTR00072	CAPO306116
OG0000412	XENTR04274, XENTR17107, XENTR15524	CAPO307159
OG0000413	XENTR02384, XENTR00587, XENTR14291	CAPO302663
OG0000413	XENTR06107, XENTR11920, XENTR09714	CAPO304678
OG0000416	XENTR17305, XENTR05440, XENTR12488, XENTR12486, XENTR12487, XENTR05445, XENTR05444, XENTR12485, XENTR05442, XENTR05443, XENTR16637	CAPO300647, CAPO303519
OG0000419	XENTR11508, XENTR02542, XENTR02541, XENTR16666, XENTR17941, XENTR16880	CAPO304227
OG0000420	XENTR13191, XENTR04997	CAPO307162
OG0000422	XENTR04080, XENTR07599	CAPO301071
OG0000424	XENTR06704	CAPO302770, CAPO306814
OG0000426	XENTR13177, XENTR13178	CAPO302714
OG0000426	XENTR13136, XENTR11204, XENTR01857	CAPO306829
OG0000427	XENTR16612	CAPO303813
OG0000429	XENTR16139	CAPO300725
OG0000431	XENTR05779	CAPO306585
OG0000431	XENTR09022, XENTR09024, XENTR09055	CAPO304684
OG0000433	XENTR08150, XENTR16244	CAPO304838, CAPO302573
OG0000434	XENTR02153	CAPO304471
OG0000435	XENTR03847, XENTR10898, XENTR12043, XENTR06258, XENTR02452	CAPO308080
OG0000436	XENTR17485, XENTR17484	CAPO305799
OG0000442	XENTR17716, XENTR12755	CAPO302753, CAPO302633
OG0000444	XENTR16001, XENTR05337	CAPO301239
OG0000445	XENTR04223	CAPO301584
OG0000447	XENTR03570, XENTR16310, XENTR06964, XENTR06423	CAPO300691
OG0000450	XENTR00652, XENTR05100, XENTR18185, XENTR14021, XENTR14020, XENTR14894, XENTR03676	CAPO307586, CAPO307446
OG0000454	XENTR17778, XENTR17779, XENTR15860, XENTR05872, XENTR05292, XENTR15861	CAPO301952
OG0000461	XENTR16800	CAPO303645, CAPO304085, CAPO303531
OG0000461	XENTR03673, XENTR10322, XENTR10323	CAPO307456
OG0000467	XENTR13171, XENTR04831, XENTR01243, XENTR00763	CAPO302214
OG0000468	XENTR14149, XENTR14150, XENTR14148, XENTR14151, XENTR15317	CAPO302003, CAPO303185
OG0000469	XENTR07061, XENTR03510, XENTR16136, XENTR06384, XENTR06808	CAPO306584, CAPO302277
OG0000470	XENTR07308, XENTR18456, XENTR08990	CAPO307521
OG0000474	XENTR05228, XENTR06948, XENTR12871, XENTR17592	CAPO307766
OG0000475	XENTR16166, XENTR03765, XENTR00403, XENTR16167	CAPO303779
OG0000476	XENTR09662	CAPO306104
OG0000479	XENTR00167, XENTR14181	CAPO303549
OG0000479	XENTR15349, XENTR00798	CAPO304267
OG0000480	XENTR10551, XENTR10531, XENTR04392, XENTR10532, XENTR01398, XENTR09020, XENTR09018, XENTR09017, XENTR16905	CAPO307201
OG0000481	XENTR18341	CAPO300053
OG0000481	XENTR16095	CAPO304800
OG0000481	XENTR07539, XENTR12694	CAPO304355
OG0000484	XENTR13210, XENTR00371, XENTR11014, XENTR05882	CAPO304750
OG0000485	XENTR04208, XENTR03378, XENTR10818	CAPO303224, CAPO303026
OG0000486	XENTR07282, XENTR04857	CAPO306048, CAPO306972
OG0000488	XENTR02455	CAPO305871
OG0000491	XENTR05260, XENTR04378, XENTR03295	CAPO305506
OG0000494	XENTR11154, XENTR04560, XENTR01512, XENTR10308	CAPO300277
OG0000505	XENTR09583, XENTR09695	CAPO303790, CAPO306121
OG0000506	XENTR17321, XENTR17322, XENTR10543, XENTR09706, XENTR05906	CAPO304587
OG0000508	XENTR06935	CAPO303408, CAPO307945
OG0000508	XENTR13428	CAPO302590
OG0000510	XENTR16454, XENTR14055, XENTR06353, XENTR15990	CAPO303128, CAPO305095
OG0000511	XENTR03618, XENTR16875	CAPO301322
OG0000514	XENTR05611, XENTR01673	CAPO307292
OG0000516	XENTR12542, XENTR10354, XENTR15576, XENTR10452, XENTR08167	CAPO302072
OG0000519	XENTR04553	CAPO300709
OG0000520	XENTR14507, XENTR14506, XENTR02607	CAPO304720
OG0000522	XENTR11563, XENTR01899, XENTR14640	CAPO306204
OG0000528	XENTR08509, XENTR02076, XENTR15793, XENTR01661	CAPO300417
OG0000530	XENTR09841, XENTR08688, XENTR03985	CAPO306919
OG0000532	XENTR11367, XENTR18190	CAPO301913
OG0000538	XENTR12900, XENTR13063	CAPO300039
OG0000538	XENTR02989, XENTR02990	CAPO302001
OG0000548	XENTR15842, XENTR12691, XENTR12827, XENTR14858, XENTR16215, XENTR09279, XENTR16463, XENTR06806	CAPO307253, CAPO307370
OG0000552	XENTR04244, XENTR09263, XENTR15303	CAPO302805
OG0000553	XENTR04835, XENTR02530, XENTR06601, XENTR15181, XENTR02641, XENTR10623, XENTR10625, XENTR10624, XENTR07370	CAPO302261
OG0000554	XENTR18673, XENTR00240, XENTR12469, XENTR01987, XENTR01995, XENTR08716, XENTR16835	CAPO300205
OG0000561	XENTR08505, XENTR08504, XENTR11638, XENTR07523	CAPO307817, CAPO304686, CAPO304296
OG0000563	XENTR13310, XENTR01198	CAPO305151
OG0000566	XENTR08330, XENTR08129, XENTR08128, XENTR02577	CAPO306820
OG0000567	XENTR01468, XENTR04575, XENTR17225, XENTR15381	CAPO300710, CAPO302895
OG0000572	XENTR13098, XENTR15792, XENTR15287, XENTR08060, XENTR08059	CAPO302048
OG0000573	XENTR11849, XENTR00290, XENTR12035, XENTR12034	CAPO301573
OG0000573	XENTR08127	CAPO300482
OG0000574	XENTR07582, XENTR07361, XENTR06500	CAPO303025
OG0000578	XENTR16212, XENTR09090, XENTR03873, XENTR03874, XENTR02080, XENTR02081	CAPO305505
OG0000583	XENTR02539, XENTR02046, XENTR15416, XENTR05897, XENTR15995	CAPO302594
OG0000585	XENTR02848, XENTR12848, XENTR02849, XENTR01232	CAPO302010
OG0000586	XENTR04444, XENTR16297, XENTR11420	CAPO304818
OG0000587	XENTR08579, XENTR15453, XENTR11141, XENTR11142	CAPO304868
OG0000588	XENTR17128	CAPO300701
OG0000590	XENTR14925, XENTR01750, XENTR12267, XENTR05220	CAPO302664
OG0000590	XENTR09959, XENTR09960, XENTR17798, XENTR17799	CAPO307990
OG0000591	XENTR07336	CAPO300885
OG0000591	XENTR09716, XENTR08586	CAPO301508, CAPO306921
OG0000592	XENTR05738, XENTR09881, XENTR09851, XENTR16083	CAPO302552
OG0000593	XENTR16603, XENTR04787, XENTR09811, XENTR16946, XENTR10994, XENTR15779, XENTR02468	CAPO303950
OG0000594	XENTR10947, XENTR07145, XENTR14812, XENTR16939, XENTR07147, XENTR12851, XENTR04133, XENTR12850, XENTR02361	CAPO305185
OG0000597	XENTR17671, XENTR17670, XENTR19170, XENTR01128	CAPO305949
OG0000600	XENTR03978, XENTR05099, XENTR03977, XENTR14383	CAPO302133
OG0000603	XENTR06555, XENTR06631, XENTR12110, XENTR06556	CAPO300286
OG0000604	XENTR12659	CAPO304248
OG0000609	XENTR02746, XENTR02747, XENTR09422, XENTR03782	CAPO306415
OG0000611	XENTR07697, XENTR14370	CAPO305139
OG0000611	XENTR00513	CAPO302505
OG0000612	XENTR15265, XENTR02014, XENTR19287	CAPO308174
OG0000612	XENTR02467	CAPO300901
OG0000613	XENTR09622, XENTR03003, XENTR12862, XENTR14077, XENTR01460	CAPO306741, CAPO303985
OG0000614	XENTR14290	CAPO306138, CAPO304207
OG0000616	XENTR16458, XENTR06048, XENTR12306	CAPO301011
OG0000617	XENTR09657	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167
OG0000619	XENTR13390, XENTR07082, XENTR07081, XENTR09376, XENTR02022	CAPO303580
OG0000623	XENTR07882	CAPO306891
OG0000623	XENTR16677, XENTR03896	CAPO306678
OG0000624	XENTR10751, XENTR05400	CAPO304034, CAPO304035
OG0000627	XENTR10097, XENTR14582	CAPO301912
OG0000628	XENTR12865, XENTR04952, XENTR02456, XENTR13000	CAPO306878
OG0000629	XENTR17454, XENTR14339, XENTR04462, XENTR11794	CAPO304632
OG0000634	XENTR18822, XENTR18823, XENTR19156	CAPO305866
OG0000636	XENTR11087, XENTR12476	CAPO300927, CAPO308236
OG0000637	XENTR17167, XENTR09803	CAPO306492
OG0000639	XENTR14136, XENTR08621	CAPO300322
OG0000639	XENTR10212, XENTR12548, XENTR02478	CAPO305269
OG0000642	XENTR11733	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430
OG0000642	XENTR01651	CAPO302566
OG0000643	XENTR12663, XENTR11361, XENTR10328	CAPO301316
OG0000645	XENTR00518	CAPO306925
OG0000645	XENTR04338, XENTR04602, XENTR15906	CAPO307784, CAPO304648
OG0000648	XENTR08177	CAPO306715
OG0000648	XENTR08178, XENTR10991	CAPO307568
OG0000650	XENTR04168, XENTR03784, XENTR10606, XENTR15613, XENTR12436, XENTR12437, XENTR18300, XENTR00412	CAPO302429
OG0000651	XENTR05217, XENTR03187	CAPO301045
OG0000652	XENTR06008, XENTR00729, XENTR09669	CAPO307163
OG0000653	XENTR05477, XENTR06857, XENTR05370, XENTR15383, XENTR08517, XENTR11621, XENTR02067, XENTR00431	CAPO304384
OG0000657	XENTR09582, XENTR05287	CAPO304462
OG0000660	XENTR01113	CAPO304213
OG0000662	XENTR12483, XENTR01671, XENTR04789	CAPO308235
OG0000663	XENTR00226, XENTR13935, XENTR13936, XENTR13937	CAPO303713
OG0000664	XENTR18935, XENTR10788, XENTR02592, XENTR08222, XENTR08223, XENTR08221, XENTR05344	CAPO305353
OG0000665	XENTR10286, XENTR14432, XENTR14325, XENTR18084, XENTR14324	CAPO304505, CAPO304163
OG0000666	XENTR10727, XENTR01680, XENTR17784, XENTR13165	CAPO306172
OG0000667	XENTR05269	CAPO305865
OG0000672	XENTR10536, XENTR18111	CAPO301072
OG0000672	XENTR14352	CAPO301848
OG0000674	XENTR01435, XENTR06759, XENTR08702	CAPO303746
OG0000676	XENTR05112, XENTR10868	CAPO304343, CAPO305288
OG0000676	XENTR08597, XENTR02025, XENTR07079	CAPO300920, CAPO304680
OG0000683	XENTR15130	CAPO304912
OG0000683	XENTR06503, XENTR00426	CAPO305392, CAPO303509
OG0000684	XENTR16125, XENTR03725, XENTR09968, XENTR03724	CAPO306227
OG0000690	XENTR12763, XENTR09156	CAPO306653
OG0000690	XENTR16042	CAPO306445
OG0000690	XENTR13758	CAPO304114
OG0000691	XENTR12556, XENTR00454, XENTR14240, XENTR02488	CAPO301028
OG0000693	XENTR17235, XENTR06541	CAPO300633
OG0000693	XENTR06151	CAPO307538
OG0000694	XENTR09772	CAPO302468
OG0000696	XENTR00213	CAPO305456
OG0000696	XENTR05925	CAPO305466, CAPO301422
