Orthogroup	XENTR	HUMAN
OG0000006	XENTR09859	HUMAN04380
OG0000006	XENTR09947	HUMAN18782, HUMAN18784, HUMAN18783
OG0000006	XENTR11692	HUMAN08640
OG0000006	XENTR11329	HUMAN25905
OG0000006	XENTR15046	HUMAN23524
OG0000006	XENTR13548	HUMAN03111
OG0000006	XENTR15729, XENTR08627	HUMAN14017
OG0000006	XENTR04854	HUMAN22793, HUMAN22791, HUMAN22792
OG0000006	XENTR07280	HUMAN03581
OG0000006	XENTR07527	HUMAN23822
OG0000006	XENTR07719	HUMAN08856
OG0000006	XENTR03854	HUMAN08442
OG0000006	XENTR18680, XENTR15398	HUMAN16426, HUMAN23135
OG0000006	XENTR16538, XENTR16537, XENTR09455	HUMAN12248
OG0000007	XENTR04989	HUMAN24418
OG0000007	XENTR07641	HUMAN11538
OG0000007	XENTR10435	HUMAN09570
OG0000007	XENTR08906	HUMAN18759
OG0000007	XENTR06676	HUMAN08323
OG0000007	XENTR00358	HUMAN01097
OG0000007	XENTR05826, XENTR00041	HUMAN23486, HUMAN00971
OG0000007	XENTR08678	HUMAN28936
OG0000007	XENTR10333	HUMAN24202
OG0000007	XENTR09768, XENTR09769	HUMAN17278
OG0000007	XENTR02009	HUMAN03780
OG0000007	XENTR03222	HUMAN21567
OG0000007	XENTR07642	HUMAN11539
OG0000007	XENTR11347, XENTR18406	HUMAN28408
OG0000007	XENTR04991	HUMAN24416
OG0000007	XENTR04990	HUMAN24417
OG0000007	XENTR05942	HUMAN11533
OG0000007	XENTR09461	HUMAN12258
OG0000007	XENTR01137	HUMAN07103
OG0000007	XENTR03031	HUMAN08774
OG0000007	XENTR06562	HUMAN16949
OG0000007	XENTR16583	HUMAN13634
OG0000007	XENTR07405	HUMAN13395
OG0000007	XENTR09232	HUMAN00818
OG0000007	XENTR15271	HUMAN05935
OG0000008	XENTR11531, XENTR11530	HUMAN14538
OG0000008	XENTR00356	HUMAN01095
OG0000008	XENTR18145, XENTR18144, XENTR18146, XENTR18147	HUMAN12190
OG0000008	XENTR07747	HUMAN29311, HUMAN29312
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000008	XENTR02855	HUMAN26474
OG0000008	XENTR14482	HUMAN00243
OG0000008	XENTR14453	HUMAN27485
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797	HUMAN06424
OG0000010	XENTR17402, XENTR17403, XENTR17056, XENTR19172	HUMAN00316
OG0000010	XENTR17234, XENTR17233, XENTR17232, XENTR17230, XENTR17231	HUMAN00439, HUMAN00440, HUMAN00441
OG0000010	XENTR06633, XENTR06635, XENTR06634	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	XENTR13805	HUMAN14278
OG0000010	XENTR13360	HUMAN10940
OG0000010	XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667	HUMAN10342
OG0000010	XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	HUMAN10337
OG0000010	XENTR04584, XENTR06998, XENTR03807	HUMAN06405, HUMAN06406
OG0000010	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000012	XENTR00246, XENTR14489	HUMAN21758
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	HUMAN11190
OG0000013	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380	HUMAN23266, HUMAN23264, HUMAN23267
OG0000013	XENTR04875	HUMAN22810
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415
OG0000013	XENTR08287, XENTR08288	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	XENTR12243	HUMAN11875
OG0000014	XENTR01230	HUMAN01436
OG0000014	XENTR14320	HUMAN06713
OG0000014	XENTR09795	HUMAN13605, HUMAN13607
OG0000014	XENTR13716	HUMAN13308, HUMAN13309
OG0000014	XENTR09521	HUMAN03416
OG0000014	XENTR18803	HUMAN18336
OG0000014	XENTR09297	HUMAN03159
OG0000014	XENTR09147	HUMAN25476
OG0000014	XENTR00681	HUMAN30053
OG0000014	XENTR14500	HUMAN13227
OG0000015	XENTR05642	HUMAN22985
OG0000015	XENTR10336, XENTR08668	HUMAN24211
OG0000015	XENTR08442	HUMAN00090
OG0000015	XENTR15573	HUMAN24177
OG0000015	XENTR12597, XENTR03461, XENTR00415	HUMAN09170
OG0000015	XENTR14250	HUMAN25367
OG0000015	XENTR15058	HUMAN25365
OG0000015	XENTR02840	HUMAN21195
OG0000015	XENTR16072	HUMAN24184
OG0000015	XENTR03462	HUMAN22369
OG0000015	XENTR16073	HUMAN24183
OG0000015	XENTR12596	HUMAN30472
OG0000015	XENTR00414	HUMAN09173
OG0000015	XENTR17914	HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	XENTR13566	HUMAN29611
OG0000015	XENTR03288	HUMAN23062
OG0000015	XENTR15069	HUMAN24113
OG0000016	XENTR06233	HUMAN21858
OG0000016	XENTR01362	HUMAN10581
OG0000016	XENTR01363	HUMAN10583
OG0000016	XENTR07382	HUMAN12987
OG0000016	XENTR09539	HUMAN03528
OG0000016	XENTR12717	HUMAN07767
OG0000016	XENTR17802	HUMAN25103
OG0000016	XENTR18390	HUMAN04223
OG0000019	XENTR14707	HUMAN06384
OG0000019	XENTR11604, XENTR11606	HUMAN00033
OG0000019	XENTR16393	HUMAN05851
OG0000019	XENTR01006	HUMAN10700, HUMAN10699
OG0000019	XENTR01005	HUMAN10698
OG0000019	XENTR07225	HUMAN06385, HUMAN06383
OG0000019	XENTR02749	HUMAN12384
OG0000019	XENTR04194	HUMAN18277
OG0000019	XENTR03535	HUMAN22980
OG0000020	XENTR09200	HUMAN26158
OG0000020	XENTR18565	HUMAN12659
OG0000020	XENTR14576	HUMAN08344
OG0000020	XENTR00311	HUMAN00926
OG0000020	XENTR13299	HUMAN02350
OG0000020	XENTR15741	HUMAN28205
OG0000020	XENTR07596	HUMAN16669
OG0000020	XENTR04090	HUMAN00163
OG0000020	XENTR05411	HUMAN17840
OG0000020	XENTR15461	HUMAN05209
OG0000020	XENTR03248	HUMAN21854
OG0000020	XENTR03249	HUMAN21853
OG0000020	XENTR04697	HUMAN02145
OG0000020	XENTR07864	HUMAN30100
OG0000020	XENTR11783	HUMAN22328
OG0000020	XENTR08063	HUMAN00010
OG0000020	XENTR05660	HUMAN23024
OG0000020	XENTR15846	HUMAN22639
OG0000020	XENTR15636	HUMAN20816
OG0000021	XENTR17791	HUMAN20500
OG0000021	XENTR06809	HUMAN30680, HUMAN30504
OG0000021	XENTR11123	HUMAN20539
OG0000021	XENTR16378	HUMAN05765, HUMAN05766, HUMAN20499
OG0000021	XENTR12641	HUMAN11054
OG0000021	XENTR02936	HUMAN23166
OG0000021	XENTR18096	HUMAN12331
OG0000021	XENTR13705	HUMAN04273
OG0000021	XENTR13394, XENTR13393	HUMAN30251
OG0000021	XENTR00007	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	XENTR13780, XENTR17333	HUMAN24068
OG0000023	XENTR02017	HUMAN03767
OG0000023	XENTR00841	HUMAN19878, HUMAN19879
OG0000023	XENTR15918	HUMAN08127, HUMAN08129
OG0000023	XENTR00481	HUMAN11129
OG0000023	XENTR16829	HUMAN18897
OG0000023	XENTR12543	HUMAN27999
OG0000023	XENTR00784	HUMAN07398
OG0000023	XENTR04037	HUMAN12427
OG0000023	XENTR05209, XENTR05210	HUMAN06585, HUMAN06584
OG0000023	XENTR05773	HUMAN05394
OG0000023	XENTR05777	HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396
OG0000023	XENTR05778	HUMAN05404
OG0000023	XENTR12643	HUMAN11050
OG0000023	XENTR01709, XENTR01708	HUMAN19103
OG0000023	XENTR05774, XENTR05776, XENTR05775, XENTR18976	HUMAN05403
OG0000026	XENTR07244	HUMAN07669
OG0000026	XENTR03079	HUMAN21745
OG0000027	XENTR05419, XENTR05696	HUMAN15899
OG0000027	XENTR05695	HUMAN15933
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463
OG0000027	XENTR11639	HUMAN22472
OG0000027	XENTR18028, XENTR18027, XENTR18029	HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	HUMAN16847
OG0000028	XENTR17263	HUMAN03982
OG0000028	XENTR18279	HUMAN01776
OG0000028	XENTR05325	HUMAN09895
OG0000028	XENTR05326	HUMAN09894
OG0000028	XENTR17548	HUMAN27765
OG0000028	XENTR15539	HUMAN27611
OG0000028	XENTR18293	HUMAN19281
OG0000028	XENTR17549	HUMAN27764
OG0000028	XENTR05379, XENTR05378	HUMAN17889
OG0000028	XENTR10277	HUMAN09193, HUMAN09206
OG0000029	XENTR10325	HUMAN07316
OG0000029	XENTR07438, XENTR16899	HUMAN05232, HUMAN14995
OG0000029	XENTR09562	HUMAN11203
OG0000029	XENTR10017, XENTR09646	HUMAN18356
OG0000029	XENTR13058	HUMAN17029
OG0000029	XENTR11755	HUMAN24898
OG0000029	XENTR10534	HUMAN21852
OG0000029	XENTR08766	HUMAN17820
OG0000029	XENTR01288	HUMAN02270
OG0000029	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	HUMAN21749, HUMAN19538
OG0000030	XENTR08639	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	XENTR18219	HUMAN01740
OG0000030	XENTR00656	HUMAN30219
OG0000030	XENTR05598	HUMAN06064
OG0000031	XENTR12583	HUMAN29956
OG0000031	XENTR05405	HUMAN17850
OG0000031	XENTR08553	HUMAN06489
OG0000031	XENTR05384	HUMAN17883
OG0000031	XENTR03164	HUMAN26042
OG0000031	XENTR10836	HUMAN12874
OG0000031	XENTR03163	HUMAN26043
OG0000031	XENTR09319	HUMAN09203
OG0000031	XENTR06988	HUMAN28770
OG0000031	XENTR00229	HUMAN26979, HUMAN14235
OG0000031	XENTR11133	HUMAN21432
OG0000031	XENTR00918	HUMAN07725
OG0000031	XENTR00006, XENTR16792	HUMAN14922
OG0000031	XENTR04300	HUMAN14786
OG0000031	XENTR00917	HUMAN07726
OG0000031	XENTR11778	HUMAN22322
OG0000031	XENTR09425	HUMAN18121
OG0000032	XENTR06599	HUMAN27902
OG0000032	XENTR18392	HUMAN06100
OG0000032	XENTR18393	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105
OG0000032	XENTR06098	HUMAN21527
OG0000032	XENTR03124	HUMAN10072
OG0000032	XENTR17016	HUMAN19258
OG0000032	XENTR03433	HUMAN23633, HUMAN23632
OG0000034	XENTR14967	HUMAN10850
OG0000034	XENTR08246	HUMAN07186
OG0000034	XENTR04943	HUMAN11672
OG0000034	XENTR11418, XENTR11419	HUMAN16090
OG0000034	XENTR10883	HUMAN04116
OG0000034	XENTR07417	HUMAN06217, HUMAN01449
OG0000034	XENTR01252	HUMAN02345
OG0000034	XENTR11199, XENTR07072	HUMAN06854
OG0000034	XENTR12065	HUMAN03933
OG0000034	XENTR15456	HUMAN13891
OG0000034	XENTR10156	HUMAN04678
OG0000034	XENTR16254	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	XENTR08340	HUMAN04988
OG0000035	XENTR05239	HUMAN06576
OG0000035	XENTR05317	HUMAN09866
OG0000035	XENTR07648	HUMAN03898
OG0000035	XENTR17453	HUMAN01402
OG0000035	XENTR07651	HUMAN03900
OG0000035	XENTR11799	HUMAN05812, HUMAN05810
OG0000035	XENTR11499	HUMAN06812
OG0000035	XENTR11381, XENTR11382	HUMAN01460
OG0000035	XENTR12076	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953
OG0000035	XENTR01605	HUMAN05843, HUMAN05844
OG0000035	XENTR09858	HUMAN04381, HUMAN04382
OG0000035	XENTR13293, XENTR09857	HUMAN04383
OG0000036	XENTR16945	HUMAN08124
OG0000036	XENTR13571	HUMAN11288
OG0000036	XENTR07761	HUMAN11555
OG0000036	XENTR12415	HUMAN08152, HUMAN08151
OG0000036	XENTR07272	HUMAN15233
OG0000036	XENTR01038	HUMAN22872
OG0000036	XENTR16237, XENTR16236	HUMAN27983
OG0000036	XENTR07278	HUMAN15223
OG0000037	XENTR16595	HUMAN25010, HUMAN25009
OG0000037	XENTR17072	HUMAN25006
OG0000037	XENTR05552	HUMAN02504
OG0000037	XENTR03023	HUMAN08759
OG0000037	XENTR14114	HUMAN04817
OG0000037	XENTR16580	HUMAN02659, HUMAN02660
OG0000037	XENTR14770	HUMAN15443
OG0000037	XENTR10865	HUMAN19040
OG0000037	XENTR10696	HUMAN28273, HUMAN16721
OG0000037	XENTR18131	HUMAN03689
OG0000038	XENTR06225	HUMAN06348
OG0000038	XENTR06223	HUMAN06344
OG0000038	XENTR06224	HUMAN06346
OG0000038	XENTR04197, XENTR04200	HUMAN18259, HUMAN18258
OG0000038	XENTR04206	HUMAN18257
OG0000038	XENTR16650	HUMAN19700
OG0000039	XENTR03946	HUMAN02107
OG0000039	XENTR03945	HUMAN02110
OG0000039	XENTR17227	HUMAN29023
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450
OG0000039	XENTR17697	HUMAN13199
OG0000040	XENTR14058	HUMAN27040, HUMAN27041
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	XENTR16713	HUMAN16072
OG0000041	XENTR17286	HUMAN04227
OG0000041	XENTR13662	HUMAN06826
OG0000041	XENTR02569	HUMAN01391
OG0000041	XENTR12683	HUMAN15981
OG0000041	XENTR11379	HUMAN01398
OG0000041	XENTR11378	HUMAN01399
OG0000041	XENTR01609	HUMAN05837
OG0000041	XENTR11377	HUMAN01401
OG0000041	XENTR01610	HUMAN05836
OG0000041	XENTR10042	HUMAN04298
OG0000041	XENTR03001	HUMAN19139
OG0000041	XENTR09331	HUMAN27913
OG0000041	XENTR13929	HUMAN16617
OG0000041	XENTR05159	HUMAN16643
OG0000041	XENTR10869	HUMAN19052
OG0000042	XENTR01504	HUMAN21251
OG0000042	XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466	HUMAN05520, HUMAN05519, HUMAN05521
OG0000043	XENTR06023, XENTR06022	HUMAN05606
OG0000043	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	HUMAN01578, HUMAN24593, HUMAN24614, HUMAN02615, HUMAN24624, HUMAN24606, HUMAN01573, HUMAN01572, HUMAN24670, HUMAN24647, HUMAN24664, HUMAN24665, HUMAN24657, HUMAN24659, HUMAN24650, HUMAN24619, HUMAN01577, HUMAN06066
OG0000044	XENTR08740	HUMAN24292
OG0000044	XENTR08871	HUMAN22106
OG0000044	XENTR02238	HUMAN27711
OG0000044	XENTR13100	HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	XENTR05498	HUMAN22417
OG0000044	XENTR01628	HUMAN24391
OG0000044	XENTR04385	HUMAN07519
OG0000044	XENTR04387	HUMAN07517
OG0000044	XENTR04256	HUMAN03043
OG0000045	XENTR14513	HUMAN29444
OG0000045	XENTR06990	HUMAN28768
OG0000046	XENTR04959	HUMAN23116
OG0000046	XENTR03550, XENTR03551	HUMAN22960
OG0000046	XENTR11781, XENTR11780	HUMAN22324, HUMAN22325, HUMAN22323
OG0000048	XENTR03701	HUMAN29550
OG0000048	XENTR11111	HUMAN12292
OG0000048	XENTR04117	HUMAN16328
OG0000048	XENTR05160	HUMAN16644
OG0000049	XENTR00212	HUMAN25699
OG0000049	XENTR08482	HUMAN05316
OG0000049	XENTR07031	HUMAN20965
OG0000049	XENTR06401	HUMAN26499
OG0000049	XENTR18684	HUMAN24353
OG0000049	XENTR07961	HUMAN20433
OG0000049	XENTR07960	HUMAN26500
OG0000049	XENTR13015	HUMAN26913
OG0000051	XENTR08842	HUMAN22678
OG0000053	XENTR00094	HUMAN01064
OG0000054	XENTR04962, XENTR04961	HUMAN23119
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000054	XENTR11898, XENTR11899, XENTR11900	HUMAN14898, HUMAN14897, HUMAN14905, HUMAN14906, HUMAN14899, HUMAN14896, HUMAN14895
OG0000055	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084	HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	XENTR00422	HUMAN01195
OG0000056	XENTR06505	HUMAN14849
OG0000056	XENTR06516, XENTR06514, XENTR06515, XENTR06513	HUMAN14869, HUMAN14864, HUMAN14480
OG0000056	XENTR00781	HUMAN07396, HUMAN07395
OG0000057	XENTR04236	HUMAN23569
OG0000057	XENTR01413, XENTR01414	HUMAN10014
OG0000057	XENTR03679	HUMAN29650
OG0000058	XENTR09300	HUMAN21777, HUMAN00114, HUMAN30319, HUMAN14551
OG0000058	XENTR11839	HUMAN17378, HUMAN03592
OG0000058	XENTR16040	HUMAN02623
OG0000058	XENTR02416	HUMAN09237
OG0000058	XENTR06707	HUMAN17157, HUMAN03406
OG0000058	XENTR13842	HUMAN13532
OG0000058	XENTR00121	HUMAN25949
OG0000059	XENTR11924	HUMAN30238
OG0000059	XENTR13190	HUMAN07577
OG0000059	XENTR09381	HUMAN21611
OG0000059	XENTR06961	HUMAN05382
OG0000059	XENTR16370	HUMAN22839
OG0000060	XENTR09513	HUMAN25284
OG0000060	XENTR11489	HUMAN16007, HUMAN16006
OG0000060	XENTR04114	HUMAN04276
OG0000060	XENTR08957	HUMAN06988
OG0000061	XENTR00116	HUMAN17964
OG0000061	XENTR05367	HUMAN26554
OG0000061	XENTR09403	HUMAN18142
OG0000061	XENTR06949, XENTR06950, XENTR12872	HUMAN20809
OG0000061	XENTR09801	HUMAN13555
OG0000061	XENTR02075	HUMAN15809
OG0000061	XENTR17074	HUMAN25004
OG0000061	XENTR09112	HUMAN12027
OG0000061	XENTR16336	HUMAN20727
OG0000061	XENTR06851	HUMAN26146, HUMAN26147
OG0000061	XENTR10614	HUMAN26149
OG0000061	XENTR06288	HUMAN27338, HUMAN27337
OG0000061	XENTR10609	HUMAN26138, HUMAN26137
OG0000061	XENTR10747	HUMAN12821
OG0000062	XENTR06154	HUMAN29104
OG0000062	XENTR13824, XENTR13820	HUMAN14474
OG0000062	XENTR15531	HUMAN24841, HUMAN24843
OG0000062	XENTR15494	HUMAN05950
OG0000062	XENTR11355, XENTR11358	HUMAN05959, HUMAN05958
OG0000062	XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050	HUMAN06195
OG0000062	XENTR09512	HUMAN25285
OG0000063	XENTR10234	HUMAN14398
OG0000063	XENTR04709	HUMAN28499
OG0000063	XENTR00319	HUMAN00858
OG0000063	XENTR11311	HUMAN21099
OG0000063	XENTR04708	HUMAN28501
OG0000063	XENTR08048	HUMAN18628
OG0000063	XENTR02007	HUMAN03783, HUMAN03782
OG0000065	XENTR16407	HUMAN29458
OG0000065	XENTR13484	HUMAN05357
OG0000065	XENTR05900	HUMAN25383
OG0000065	XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	XENTR18882	HUMAN29798
OG0000067	XENTR14086	HUMAN23532
OG0000067	XENTR13783	HUMAN24070
OG0000067	XENTR04874	HUMAN22809
OG0000068	XENTR00752	HUMAN26982
OG0000068	XENTR17205	HUMAN30562
OG0000068	XENTR10995	HUMAN21443
OG0000068	XENTR11373	HUMAN02454
OG0000068	XENTR06812	HUMAN30510, HUMAN30509
OG0000068	XENTR11294	HUMAN20837
OG0000068	XENTR01321	HUMAN20380
OG0000068	XENTR07981	HUMAN21486
OG0000068	XENTR06611	HUMAN06933
OG0000069	XENTR16269	HUMAN13360, HUMAN02573
OG0000070	XENTR15503	HUMAN25671
OG0000070	XENTR11143	HUMAN29634
OG0000070	XENTR02048	HUMAN30393
OG0000070	XENTR04776	HUMAN20129
OG0000070	XENTR13746	HUMAN13391
OG0000070	XENTR15542	HUMAN14097
OG0000070	XENTR05723, XENTR09834	HUMAN14161
OG0000071	XENTR09995, XENTR01851, XENTR10875	HUMAN17352
OG0000072	XENTR15041	HUMAN23125
OG0000072	XENTR13953	HUMAN05334
OG0000072	XENTR03548	HUMAN22965, HUMAN22964
OG0000072	XENTR18546	HUMAN04101
OG0000072	XENTR01057	HUMAN22852
OG0000072	XENTR13152	HUMAN03255, HUMAN03252
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	HUMAN25174, HUMAN25175
OG0000073	XENTR03006	HUMAN19028
OG0000073	XENTR09344	HUMAN27930
OG0000073	XENTR05966, XENTR05967	HUMAN11516
OG0000073	XENTR09343	HUMAN27929
OG0000073	XENTR13665	HUMAN06831, HUMAN06836
OG0000074	XENTR10798, XENTR10797	HUMAN07045, HUMAN07044
OG0000074	XENTR14396	HUMAN09283
OG0000074	XENTR07269	HUMAN15238
OG0000074	XENTR06689	HUMAN13822
OG0000075	XENTR02757, XENTR11353	HUMAN12839
OG0000075	XENTR12610	HUMAN02593
