Orthogroup	XENTR	ASTMX
OG0000007	XENTR10435	ASTMX05134
OG0000007	XENTR08906	ASTMX09513
OG0000007	XENTR06676	ASTMX08102
OG0000007	XENTR07000, XENTR07001	ASTMX21418
OG0000007	XENTR00358	ASTMX05483
OG0000007	XENTR05826	ASTMX12390
OG0000007	XENTR00041	ASTMX04000
OG0000007	XENTR08678	ASTMX22657
OG0000007	XENTR10333	ASTMX22264, ASTMX09321
OG0000007	XENTR09768, XENTR09769	ASTMX14799
OG0000007	XENTR02009	ASTMX12582
OG0000007	XENTR03222	ASTMX16179
OG0000007	XENTR11347, XENTR18406	ASTMX20070
OG0000007	XENTR04991	ASTMX22376, ASTMX11119
OG0000007	XENTR04990	ASTMX14979
OG0000007	XENTR05942	ASTMX02564
OG0000007	XENTR09461	ASTMX18062
OG0000007	XENTR01137	ASTMX21262
OG0000007	XENTR03031	ASTMX04848
OG0000007	XENTR06562	ASTMX06558, ASTMX19375
OG0000007	XENTR16583	ASTMX11650
OG0000007	XENTR07405	ASTMX18779
OG0000007	XENTR01816	ASTMX07711
OG0000007	XENTR09232	ASTMX15846
OG0000007	XENTR15271	ASTMX10097
OG0000008	XENTR11531, XENTR11530	ASTMX21956
OG0000008	XENTR00356	ASTMX05481
OG0000008	XENTR18145, XENTR18144, XENTR18146, XENTR18147	ASTMX19133, ASTMX14439
OG0000008	XENTR07747	ASTMX13345, ASTMX11364
OG0000008	XENTR00105	ASTMX13129
OG0000008	XENTR02826	ASTMX09448
OG0000008	XENTR02855	ASTMX03057
OG0000008	XENTR14482	ASTMX05709
OG0000008	XENTR08824	ASTMX08222
OG0000008	XENTR15536	ASTMX03297, ASTMX08955
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797	ASTMX18922, ASTMX18921, ASTMX15088
OG0000010	XENTR17402, XENTR17403, XENTR17056, XENTR19172	ASTMX08865, ASTMX08864
OG0000010	XENTR19048	ASTMX01945
OG0000010	XENTR06633	ASTMX00210, ASTMX00597, ASTMX00598
OG0000010	XENTR06635, XENTR06634	ASTMX00209
OG0000010	XENTR13805	ASTMX18619
OG0000010	XENTR08285, XENTR08284	ASTMX02979
OG0000010	XENTR02618	ASTMX12532, ASTMX19555
OG0000010	XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000010	XENTR04584, XENTR06998, XENTR03807	ASTMX11060
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	ASTMX06728, ASTMX17688, ASTMX18214
OG0000010	XENTR18249	ASTMX16219, ASTMX16220
OG0000012	XENTR13810	ASTMX22063
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	ASTMX06265
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095	ASTMX14510, ASTMX15685, ASTMX16246
OG0000013	XENTR08287, XENTR08288	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252
OG0000013	XENTR11527	ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	XENTR12243	ASTMX02678
OG0000014	XENTR01230	ASTMX17398, ASTMX00995, ASTMX00994
OG0000014	XENTR14320	ASTMX13292
OG0000014	XENTR11284	ASTMX10769
OG0000014	XENTR09795	ASTMX16405, ASTMX12634
OG0000014	XENTR13716	ASTMX17340, ASTMX01557
OG0000014	XENTR09521	ASTMX03213, ASTMX07656
OG0000014	XENTR18803, XENTR09297	ASTMX03251, ASTMX15832
OG0000014	XENTR09147	ASTMX12908
OG0000014	XENTR00681	ASTMX11632
OG0000014	XENTR14500	ASTMX01423, ASTMX16397
OG0000015	XENTR05642	ASTMX21958, ASTMX03764
OG0000015	XENTR10336, XENTR08668	ASTMX01476, ASTMX13504
OG0000015	XENTR08442	ASTMX02112
OG0000015	XENTR15573	ASTMX15417, ASTMX08007
OG0000015	XENTR12597	ASTMX15203
OG0000015	XENTR03461	ASTMX18097
OG0000015	XENTR14250	ASTMX09926, ASTMX15220
OG0000015	XENTR15058	ASTMX09927
OG0000015	XENTR02840	ASTMX13993, ASTMX07947
OG0000015	XENTR16072	ASTMX18335
OG0000015	XENTR03462	ASTMX18099, ASTMX04658
OG0000015	XENTR16073	ASTMX18334
OG0000015	XENTR12596	ASTMX04125
OG0000015	XENTR00414	ASTMX06038
OG0000015	XENTR17914	ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	XENTR13566	ASTMX00011
OG0000015	XENTR03288	ASTMX18288
OG0000015	XENTR15069	ASTMX04727
OG0000016	XENTR10586	ASTMX11482
OG0000016	XENTR06233	ASTMX09207
OG0000016	XENTR01362	ASTMX17817
OG0000016	XENTR01363	ASTMX17818, ASTMX05407
OG0000016	XENTR07382	ASTMX11675
OG0000016	XENTR09539, XENTR00630	ASTMX17393
OG0000016	XENTR12717	ASTMX00540
OG0000016	XENTR17802	ASTMX02874
OG0000016	XENTR18390	ASTMX20114
OG0000018	XENTR19110, XENTR19228, XENTR16288, XENTR15347, XENTR15469	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804
OG0000019	XENTR14707	ASTMX14084, ASTMX03976, ASTMX18923
OG0000019	XENTR02749	ASTMX14832
OG0000019	XENTR04194	ASTMX15190, ASTMX17156
OG0000020	XENTR09200	ASTMX12654
OG0000020	XENTR18565	ASTMX04834
OG0000020	XENTR14576	ASTMX12285
OG0000020	XENTR00311	ASTMX15062
OG0000020	XENTR13299	ASTMX14060
OG0000020	XENTR15741	ASTMX00875, ASTMX06734
OG0000020	XENTR07596	ASTMX14107, ASTMX08186
OG0000020	XENTR04090	ASTMX17613
OG0000020	XENTR05411	ASTMX00490, ASTMX12696
OG0000020	XENTR15461	ASTMX03725
OG0000020	XENTR03248	ASTMX07958, ASTMX18318
OG0000020	XENTR03249	ASTMX16689
OG0000020	XENTR04697	ASTMX17320
OG0000020	XENTR07864	ASTMX04750
OG0000020	XENTR11783	ASTMX21042
OG0000020	XENTR08063	ASTMX05243
OG0000020	XENTR15846	ASTMX07754
OG0000020	XENTR15636	ASTMX13875
OG0000021	XENTR17791	ASTMX05285, ASTMX16996
OG0000021	XENTR16377	ASTMX01998
OG0000021	XENTR06809	ASTMX04046
OG0000021	XENTR02794	ASTMX15305
OG0000021	XENTR11123	ASTMX00802, ASTMX04036
OG0000021	XENTR16378	ASTMX15788, ASTMX05284
OG0000021	XENTR12641	ASTMX00201
OG0000021	XENTR02936	ASTMX09085
OG0000021	XENTR18096	ASTMX02310
OG0000021	XENTR01150	ASTMX16342
OG0000021	XENTR13705	ASTMX21461
OG0000021	XENTR13394, XENTR13393	ASTMX05545
OG0000021	XENTR00007	ASTMX13864
OG0000021	XENTR13780, XENTR17333	ASTMX09336
OG0000023	XENTR13173, XENTR18800	ASTMX18896
OG0000023	XENTR00841	ASTMX07788
OG0000023	XENTR15918	ASTMX10048, ASTMX07031
OG0000023	XENTR00481	ASTMX08985
OG0000023	XENTR16829	ASTMX18700
OG0000023	XENTR12543	ASTMX14127, ASTMX07394
OG0000023	XENTR17774	ASTMX07336, ASTMX04478
OG0000023	XENTR00784	ASTMX03414
OG0000023	XENTR04037	ASTMX11687
OG0000023	XENTR05209, XENTR05210	ASTMX14286, ASTMX19623
OG0000023	XENTR05767, XENTR05768	ASTMX02981
OG0000023	XENTR05773	ASTMX04385, ASTMX04386
OG0000023	XENTR05778	ASTMX11217
OG0000023	XENTR12643	ASTMX00199
OG0000023	XENTR01709, XENTR01708	ASTMX01795
OG0000026	XENTR07244	ASTMX12978
OG0000027	XENTR03739	ASTMX01705
OG0000027	XENTR10928, XENTR05419, XENTR05696, XENTR05695	ASTMX01846, ASTMX01847, ASTMX11673
OG0000027	XENTR11166, XENTR14623	ASTMX14527, ASTMX14528
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288	ASTMX17505, ASTMX05220
OG0000027	XENTR11639, XENTR18028, XENTR18027, XENTR18029	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	ASTMX01680
OG0000028	XENTR17263	ASTMX11297, ASTMX12202
OG0000028	XENTR18279	ASTMX14889, ASTMX21200, ASTMX09164
OG0000028	XENTR05325	ASTMX21506
OG0000028	XENTR05326	ASTMX21505
OG0000028	XENTR17548	ASTMX21832
OG0000028	XENTR15539	ASTMX08169, ASTMX10814
OG0000028	XENTR18293	ASTMX02886
OG0000028	XENTR17549	ASTMX14890, ASTMX22400
OG0000028	XENTR05379, XENTR05378	ASTMX17696, ASTMX05417
OG0000028	XENTR10277	ASTMX01721, ASTMX15155
OG0000029	XENTR07438, XENTR16899	ASTMX02055
OG0000029	XENTR09562	ASTMX06262
OG0000029	XENTR09646	ASTMX11166
OG0000029	XENTR13058	ASTMX03267, ASTMX11576
OG0000029	XENTR12335	ASTMX22545
OG0000029	XENTR11755	ASTMX19971
OG0000029	XENTR10534	ASTMX06514, ASTMX07156
OG0000029	XENTR08766	ASTMX12065
OG0000029	XENTR01288	ASTMX02396
OG0000029	XENTR01283	ASTMX13116
OG0000029	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	ASTMX01708
OG0000030	XENTR08639	ASTMX06934
OG0000030	XENTR18219	ASTMX13784, ASTMX06816
OG0000030	XENTR14147	ASTMX02378, ASTMX18821
OG0000030	XENTR14281	ASTMX13717
OG0000030	XENTR00656	ASTMX04112, ASTMX02697
OG0000030	XENTR05598	ASTMX07740, ASTMX14326
OG0000030	XENTR12816	ASTMX01510
OG0000031	XENTR15116	ASTMX05563
OG0000031	XENTR12583	ASTMX03913
OG0000031	XENTR05405	ASTMX08659
OG0000031	XENTR03766	ASTMX04771
OG0000031	XENTR08553	ASTMX01055
OG0000031	XENTR05384	ASTMX17701
OG0000031	XENTR03164	ASTMX18426, ASTMX12571
OG0000031	XENTR10836	ASTMX22712
OG0000031	XENTR03163	ASTMX12572
OG0000031	XENTR09319	ASTMX05128
OG0000031	XENTR06988	ASTMX18163
OG0000031	XENTR00229	ASTMX09693, ASTMX17541
OG0000031	XENTR02595	ASTMX00710
OG0000031	XENTR12584	ASTMX03912
OG0000031	XENTR00918	ASTMX00105
OG0000031	XENTR00006	ASTMX13865
OG0000031	XENTR16792	ASTMX02854, ASTMX20534
OG0000031	XENTR04300	ASTMX14725
OG0000031	XENTR00917	ASTMX04176
OG0000031	XENTR09425	ASTMX13001, ASTMX20334
OG0000032	XENTR06599	ASTMX08687, ASTMX18764
OG0000032	XENTR18392	ASTMX19317
OG0000032	XENTR18393	ASTMX01991
OG0000032	XENTR06098	ASTMX08768
OG0000032	XENTR03124	ASTMX09018
OG0000032	XENTR17016	ASTMX06705
OG0000034	XENTR14967	ASTMX17089, ASTMX19482, ASTMX22636
OG0000034	XENTR08246	ASTMX05967, ASTMX21201
OG0000034	XENTR04943	ASTMX03519
OG0000034	XENTR11418, XENTR11419	ASTMX17020
OG0000034	XENTR10883	ASTMX02547, ASTMX01081
OG0000034	XENTR07417	ASTMX20715, ASTMX17446
OG0000034	XENTR01252	ASTMX22336, ASTMX07448
OG0000034	XENTR11199, XENTR07072	ASTMX16123, ASTMX02622
OG0000034	XENTR12065	ASTMX00372
OG0000034	XENTR15456	ASTMX07013
OG0000034	XENTR10156	ASTMX12428, ASTMX02190
OG0000034	XENTR16254	ASTMX01548
OG0000034	XENTR08340	ASTMX02136
OG0000034	XENTR11637	ASTMX10911
OG0000035	XENTR05239	ASTMX17732
OG0000035	XENTR05079	ASTMX22713
OG0000035	XENTR05317, XENTR05866, XENTR05867	ASTMX21245
OG0000035	XENTR07648	ASTMX00613, ASTMX06338
OG0000035	XENTR14129	ASTMX07340
OG0000035	XENTR11799	ASTMX07227, ASTMX07114
OG0000035	XENTR11381, XENTR11382	ASTMX00989, ASTMX19852
OG0000035	XENTR12076	ASTMX00242
OG0000035	XENTR01605	ASTMX02614, ASTMX08545
OG0000035	XENTR09858	ASTMX15322
OG0000035	XENTR13293, XENTR09857	ASTMX15321, ASTMX20966
OG0000036	XENTR16945	ASTMX05584
OG0000036	XENTR07761	ASTMX18592
OG0000036	XENTR12415	ASTMX10059, ASTMX16974
OG0000036	XENTR07272	ASTMX00596, ASTMX03566
OG0000036	XENTR01038	ASTMX18312
OG0000036	XENTR15969	ASTMX10284
OG0000036	XENTR05174	ASTMX01338
OG0000036	XENTR07278	ASTMX03570
OG0000037	XENTR16595	ASTMX04826
OG0000037	XENTR17072	ASTMX04827, ASTMX08066, ASTMX04828
OG0000037	XENTR05552	ASTMX18303
OG0000037	XENTR03023	ASTMX08083, ASTMX01399
OG0000037	XENTR14114	ASTMX03952, ASTMX04639
OG0000037	XENTR16580	ASTMX01500, ASTMX15266
OG0000037	XENTR14770	ASTMX06313
OG0000037	XENTR10865	ASTMX15913
OG0000037	XENTR10696	ASTMX19727, ASTMX16533
OG0000037	XENTR18131	ASTMX03275
OG0000038	XENTR18690, XENTR00755, XENTR00754	ASTMX12552, ASTMX04170
OG0000038	XENTR13297	ASTMX14059
OG0000038	XENTR04197, XENTR04200	ASTMX05291
OG0000038	XENTR04206	ASTMX12685, ASTMX17002
OG0000039	XENTR03946	ASTMX03851
OG0000039	XENTR17227	ASTMX16971
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	ASTMX14711
OG0000039	XENTR17697	ASTMX10108, ASTMX07819
OG0000040	XENTR14058	ASTMX07215
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	XENTR16713	ASTMX15974
OG0000041	XENTR17286	ASTMX00243, ASTMX02219
OG0000041	XENTR13662	ASTMX19274
OG0000041	XENTR02569	ASTMX15919
OG0000041	XENTR12683	ASTMX19739, ASTMX18949
OG0000041	XENTR11379	ASTMX00985, ASTMX20382
OG0000041	XENTR11378	ASTMX00986, ASTMX20384
OG0000041	XENTR01609	ASTMX19436, ASTMX18640
OG0000041	XENTR11377	ASTMX00987
OG0000041	XENTR01610	ASTMX18639
OG0000041	XENTR10042	ASTMX00232
OG0000041	XENTR03001	ASTMX00945, ASTMX01024
OG0000041	XENTR09331	ASTMX08027, ASTMX12746
OG0000041	XENTR13929	ASTMX04559
OG0000041	XENTR05159	ASTMX04569
OG0000041	XENTR10869	ASTMX18276
OG0000042	XENTR01504	ASTMX00117
OG0000042	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424	ASTMX11615
OG0000043	XENTR06023, XENTR06022	ASTMX12801
OG0000043	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	ASTMX22617
OG0000043	XENTR13561, XENTR13559	ASTMX09533
OG0000044	XENTR08740	ASTMX03900
OG0000044	XENTR08871	ASTMX14800
OG0000044	XENTR02238	ASTMX17272
OG0000044	XENTR13100	ASTMX12948
OG0000044	XENTR01628	ASTMX20812
OG0000044	XENTR04385	ASTMX22549, ASTMX06174
OG0000044	XENTR00688	ASTMX11109
OG0000044	XENTR04387	ASTMX06176
OG0000044	XENTR04256	ASTMX07618
OG0000045	XENTR14513	ASTMX15522, ASTMX03419
OG0000045	XENTR06990	ASTMX10022, ASTMX03368
OG0000046	XENTR04959	ASTMX22281
OG0000046	XENTR03550, XENTR03551	ASTMX12308
OG0000046	XENTR11781, XENTR11780	ASTMX11629
OG0000046	XENTR17457, XENTR17456, XENTR17458, XENTR16941	ASTMX06852
OG0000046	XENTR17142	ASTMX11904, ASTMX11903, ASTMX12229
OG0000046	XENTR08235, XENTR05674	ASTMX06773
OG0000046	XENTR16277	ASTMX12983, ASTMX09167
OG0000048	XENTR03701	ASTMX04189
OG0000048	XENTR11111	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416
OG0000048	XENTR01169	ASTMX13714
OG0000048	XENTR18412	ASTMX03384
OG0000048	XENTR04117	ASTMX15600
OG0000048	XENTR05160	ASTMX04570
OG0000049	XENTR00212	ASTMX10248, ASTMX08138
OG0000049	XENTR08482	ASTMX03713, ASTMX05857
OG0000049	XENTR07031	ASTMX00928, ASTMX08370
OG0000049	XENTR06401	ASTMX07196
OG0000049	XENTR18684	ASTMX04011, ASTMX18609
OG0000049	XENTR07961	ASTMX00786
OG0000049	XENTR13015	ASTMX20103
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	ASTMX16561
OG0000053	XENTR00094	ASTMX12784
OG0000054	XENTR04962, XENTR04961	ASTMX04679
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	ASTMX05759
OG0000055	XENTR18833	ASTMX11170, ASTMX19413
OG0000055	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084	ASTMX22616
OG0000056	XENTR00422	ASTMX02364
OG0000056	XENTR06505	ASTMX17902
OG0000056	XENTR06506	ASTMX14177
OG0000056	XENTR00781	ASTMX18310
OG0000057	XENTR04236	ASTMX16761
OG0000057	XENTR01413, XENTR01414	ASTMX17228, ASTMX14491
OG0000057	XENTR03679	ASTMX18685, ASTMX11838
OG0000058	XENTR11839	ASTMX10002
OG0000058	XENTR16220	ASTMX04977, ASTMX07660
OG0000058	XENTR16040	ASTMX17542, ASTMX11001, ASTMX18630
OG0000058	XENTR02416	ASTMX08080
OG0000058	XENTR13842	ASTMX12315
OG0000059	XENTR13190	ASTMX11234
OG0000059	XENTR09381	ASTMX20918
OG0000059	XENTR16370	ASTMX08000
OG0000059	XENTR15475	ASTMX09334, ASTMX11300
OG0000060	XENTR09513	ASTMX04292, ASTMX07603
OG0000060	XENTR11489	ASTMX21094, ASTMX10197
OG0000060	XENTR04114	ASTMX00445
OG0000060	XENTR08957	ASTMX07264
OG0000061	XENTR00116	ASTMX00680, ASTMX05396
OG0000061	XENTR05367	ASTMX12006
OG0000061	XENTR09403	ASTMX10422, ASTMX12960
OG0000061	XENTR06949, XENTR06950	ASTMX20513
OG0000061	XENTR12872	ASTMX13746
OG0000061	XENTR09801	ASTMX21095, ASTMX14165
OG0000061	XENTR02075	ASTMX02316
OG0000061	XENTR09112	ASTMX11665
OG0000061	XENTR16336	ASTMX06207, ASTMX18339
OG0000061	XENTR06851	ASTMX05474, ASTMX04490, ASTMX01934
OG0000061	XENTR10614	ASTMX05473
OG0000061	XENTR06288	ASTMX15449
OG0000061	XENTR10609	ASTMX18729
OG0000061	XENTR10747	ASTMX15987
OG0000062	XENTR06154	ASTMX03300
OG0000062	XENTR13824	ASTMX18474, ASTMX18479
OG0000062	XENTR15531	ASTMX11236, ASTMX20466
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342
OG0000062	XENTR09512	ASTMX01260
OG0000063	XENTR10234	ASTMX13776, ASTMX04927
OG0000063	XENTR04709	ASTMX01608, ASTMX01645
OG0000063	XENTR00319	ASTMX00504, ASTMX10324
OG0000063	XENTR11311	ASTMX11259, ASTMX01032
OG0000063	XENTR04708	ASTMX13777
OG0000063	XENTR08048	ASTMX10350
OG0000063	XENTR02007	ASTMX13375, ASTMX12584
OG0000065	XENTR16407	ASTMX13708, ASTMX15083
OG0000065	XENTR13484	ASTMX08041
OG0000065	XENTR05900	ASTMX15226
OG0000065	XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	ASTMX12818, ASTMX13454
OG0000066	XENTR18882	ASTMX01776
OG0000067	XENTR14086	ASTMX19815
OG0000067	XENTR13783	ASTMX00316, ASTMX18001
OG0000067	XENTR04874	ASTMX19454
OG0000068	XENTR00752	ASTMX10880
OG0000068	XENTR17205	ASTMX04048
OG0000068	XENTR10995	ASTMX00964, ASTMX17789
OG0000068	XENTR11373	ASTMX09217, ASTMX10879
OG0000068	XENTR06812	ASTMX04017
OG0000068	XENTR01321	ASTMX02175, ASTMX13274
OG0000068	XENTR07981	ASTMX19064
OG0000068	XENTR06611	ASTMX03044
OG0000069	XENTR16269	ASTMX20491
OG0000070	XENTR15503	ASTMX03868
OG0000070	XENTR11143	ASTMX11850
OG0000070	XENTR15175	ASTMX14684
OG0000070	XENTR04776, XENTR13746	ASTMX17327
OG0000070	XENTR15542	ASTMX15136, ASTMX13592
OG0000070	XENTR00314, XENTR18775, XENTR18776	ASTMX17316
OG0000070	XENTR05723, XENTR09834	ASTMX02948
OG0000071	XENTR09995, XENTR01851	ASTMX18909, ASTMX18910
OG0000071	XENTR10875	ASTMX10408
OG0000072	XENTR15041	ASTMX14003
OG0000072	XENTR13953	ASTMX14353
OG0000072	XENTR03658	ASTMX18956, ASTMX00286
OG0000072	XENTR03548	ASTMX19895
OG0000072	XENTR18546	ASTMX03692
OG0000072	XENTR01057	ASTMX11618
OG0000072	XENTR13152	ASTMX02462
OG0000073	XENTR09344	ASTMX12734, ASTMX08034
OG0000073	XENTR05966, XENTR05967	ASTMX18790
OG0000073	XENTR09343	ASTMX12735
OG0000073	XENTR13665	ASTMX19270, ASTMX02619
