Orthogroup	XENTR	APOSC_ok
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	XENTR13097	APOSC_12268
OG0000023	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	APOSC_23115
OG0000024	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488	APOSC_14174
OG0000026	XENTR07244, XENTR03079	APOSC_13965
OG0000028	XENTR10277, XENTR06737	APOSC_17838, APOSC_17839
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	APOSC_07574, APOSC_20436
OG0000029	XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971
OG0000030	XENTR08639	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	XENTR18219	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	XENTR14147	APOSC_00359
OG0000031	XENTR15116	APOSC_16590
OG0000031	XENTR05405, XENTR03766	APOSC_14687
OG0000031	XENTR08553, XENTR05384, XENTR03164	APOSC_14535
OG0000031	XENTR00229	APOSC_01319
OG0000031	XENTR12584, XENTR00918	APOSC_17680
OG0000031	XENTR00006, XENTR16792, XENTR04300	APOSC_02579
OG0000031	XENTR09425	APOSC_22997
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	APOSC_07613, APOSC_02397, APOSC_12691, APOSC_10351, APOSC_01318, APOSC_23129, APOSC_10044
OG0000032	XENTR17016	APOSC_24218, APOSC_15369, APOSC_23030, APOSC_14347, APOSC_17486, APOSC_15168, APOSC_06921, APOSC_26892, APOSC_15726
OG0000034	XENTR04943	APOSC_28767, APOSC_28766
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	APOSC_01056
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	APOSC_00389
OG0000034	XENTR15456	APOSC_10138
OG0000034	XENTR10156	APOSC_10830
OG0000034	XENTR16254	APOSC_23397
OG0000034	XENTR08340	APOSC_15909
OG0000035	XENTR05239	APOSC_27035
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	APOSC_25872
OG0000035	XENTR07648	APOSC_04998
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	APOSC_25573
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	APOSC_08656, APOSC_21135, APOSC_21136
OG0000035	XENTR13293, XENTR09857	APOSC_27270
OG0000036	XENTR07761, XENTR12415, XENTR07272	APOSC_08020, APOSC_04631, APOSC_04630, APOSC_25667
OG0000036	XENTR01038, XENTR15969	APOSC_21353, APOSC_15807, APOSC_21905, APOSC_27485
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	APOSC_22964, APOSC_22965, APOSC_06557, APOSC_05790, APOSC_07698, APOSC_26587, APOSC_05773, APOSC_15091, APOSC_15092
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	APOSC_01516
OG0000037	XENTR16580, XENTR14770, XENTR03861	APOSC_24133
OG0000037	XENTR10865, XENTR10696	APOSC_28740
OG0000037	XENTR18131	APOSC_09580, APOSC_09579
OG0000038	XENTR04197, XENTR04200	APOSC_10282, APOSC_28935, APOSC_28699, APOSC_05456, APOSC_13411, APOSC_17001, APOSC_06556, APOSC_03890, APOSC_04299
OG0000038	XENTR04206	APOSC_25222, APOSC_10656
OG0000039	XENTR03946, XENTR03945	APOSC_12842, APOSC_27514
OG0000039	XENTR17227	APOSC_00666
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	APOSC_17065
OG0000039	XENTR17697	APOSC_06140, APOSC_06138, APOSC_06139, APOSC_14138, APOSC_03802, APOSC_26119, APOSC_03803, APOSC_06401, APOSC_25262, APOSC_17567, APOSC_27255
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	APOSC_12799, APOSC_05455, APOSC_11724, APOSC_11723, APOSC_18664, APOSC_11832, APOSC_16301, APOSC_16488, APOSC_28921, APOSC_07234
OG0000041	XENTR14135, XENTR16713, XENTR17286, XENTR13662, XENTR02569	APOSC_19034
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	APOSC_26184
OG0000041	XENTR03001, XENTR09331	APOSC_00445
OG0000043	XENTR15011	APOSC_12898
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	APOSC_25765
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688	APOSC_03195
OG0000044	XENTR04387, XENTR17931	APOSC_22317
OG0000046	XENTR04959	APOSC_27956
OG0000047	XENTR07962	APOSC_21050
OG0000048	XENTR01169	APOSC_06436
OG0000048	XENTR04117	APOSC_05588
OG0000048	XENTR05160	APOSC_11695
OG0000049	XENTR00212, XENTR08482	APOSC_16875
OG0000049	XENTR07031, XENTR06401	APOSC_03799
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	APOSC_10378
OG0000049	XENTR07960	APOSC_13440
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	APOSC_15058, APOSC_21186
OG0000054	XENTR04962, XENTR04961	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	APOSC_00208, APOSC_00207, APOSC_00209
OG0000057	XENTR03679	APOSC_23236, APOSC_24402, APOSC_06368
OG0000058	XENTR11839	APOSC_09888
OG0000058	XENTR16220	APOSC_12335, APOSC_12752, APOSC_07162, APOSC_24215
OG0000059	XENTR09381	APOSC_10184
OG0000059	XENTR06961, XENTR16370	APOSC_00480
OG0000060	XENTR09513	APOSC_15645
OG0000060	XENTR11489, XENTR04114, XENTR08957	APOSC_08992
OG0000061	XENTR00116, XENTR05367	APOSC_14996
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	APOSC_00292
OG0000061	XENTR10609, XENTR10747	APOSC_26114, APOSC_02472
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763
OG0000062	XENTR09512	APOSC_18486, APOSC_01084
OG0000063	XENTR10234, XENTR04709, XENTR00319	APOSC_25041
OG0000063	XENTR11311	APOSC_17949
OG0000063	XENTR04708	APOSC_22074, APOSC_13172, APOSC_22080
OG0000063	XENTR08048, XENTR02007, XENTR01303	APOSC_13886, APOSC_04832
OG0000066	XENTR18882	APOSC_20821
OG0000067	XENTR13783, XENTR04874	APOSC_06312, APOSC_24028, APOSC_22826, APOSC_27789, APOSC_07620, APOSC_22825, APOSC_12297, APOSC_15268, APOSC_06846
OG0000069	XENTR15529	APOSC_25356
OG0000069	XENTR16269	APOSC_27459
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	APOSC_18875, APOSC_15113, APOSC_18604, APOSC_18402, APOSC_17719, APOSC_06564, APOSC_13706, APOSC_09948
OG0000072	XENTR03548, XENTR18546	APOSC_26208
OG0000072	XENTR01057	APOSC_12820
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665	APOSC_27321
OG0000074	XENTR10798, XENTR10797, XENTR11114	APOSC_10399, APOSC_08687, APOSC_25382
OG0000074	XENTR14396	APOSC_18220
OG0000074	XENTR07269, XENTR06689	APOSC_05606, APOSC_18640, APOSC_15236, APOSC_01404, APOSC_16347, APOSC_00195, APOSC_13504
OG0000075	XENTR02757, XENTR11353, XENTR12610	APOSC_14489
OG0000075	XENTR09250	APOSC_12033
OG0000075	XENTR04179, XENTR06216	APOSC_07538
OG0000075	XENTR01223, XENTR05975	APOSC_06620
OG0000075	XENTR10723	APOSC_08706
OG0000075	XENTR06816, XENTR17547, XENTR16124	APOSC_20859
OG0000075	XENTR05986, XENTR05987	APOSC_19754
OG0000077	XENTR06888, XENTR17790, XENTR02687	APOSC_15032
OG0000077	XENTR07875, XENTR00642, XENTR04757	APOSC_19689
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	APOSC_28185, APOSC_19588, APOSC_19587, APOSC_28007
OG0000078	XENTR19100	APOSC_07974, APOSC_05720, APOSC_10828, APOSC_18570, APOSC_24302, APOSC_00416, APOSC_00417, APOSC_23365, APOSC_21031, APOSC_25189, APOSC_15392, APOSC_03625, APOSC_20118, APOSC_27004, APOSC_19017, APOSC_06908
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	APOSC_14016, APOSC_18637, APOSC_09201
OG0000079	XENTR08294, XENTR08293, XENTR03649	APOSC_14696
OG0000079	XENTR01194	APOSC_10552, APOSC_10551
OG0000079	XENTR15371	APOSC_06744
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	APOSC_15378
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	APOSC_01179, APOSC_09602, APOSC_20049, APOSC_01834
OG0000082	XENTR16096	APOSC_14161
OG0000082	XENTR01624, XENTR01625	APOSC_20096
OG0000082	XENTR10095, XENTR10628	APOSC_11149
OG0000083	XENTR04370, XENTR12084, XENTR05647	APOSC_20881
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	APOSC_25447
OG0000084	XENTR08804, XENTR16312, XENTR13487	APOSC_27325
OG0000085	XENTR01729, XENTR03138	APOSC_13201
OG0000085	XENTR04052, XENTR12507	APOSC_00722
OG0000085	XENTR15005	APOSC_00825
OG0000085	XENTR00809	APOSC_21002
OG0000085	XENTR12352, XENTR12351	APOSC_25216
OG0000087	XENTR17246	APOSC_06838, APOSC_06839, APOSC_06840
OG0000087	XENTR13447, XENTR13446	APOSC_11638, APOSC_06339
OG0000087	XENTR06736	APOSC_09511
OG0000087	XENTR07023	APOSC_20552
OG0000087	XENTR10385	APOSC_26769, APOSC_05507
OG0000087	XENTR06016	APOSC_26553, APOSC_26554
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	APOSC_25039, APOSC_29170, APOSC_01733, APOSC_28334, APOSC_03375, APOSC_28335, APOSC_05697, APOSC_25335, APOSC_07827
OG0000089	XENTR04109	APOSC_18760
OG0000090	XENTR11768	APOSC_26110
OG0000090	XENTR06545	APOSC_03937
OG0000094	XENTR10717, XENTR18065, XENTR15146	APOSC_02606, APOSC_02607
OG0000094	XENTR09915, XENTR14788, XENTR17591	APOSC_21896, APOSC_21895
OG0000096	XENTR02028, XENTR07076, XENTR03113	APOSC_05085
OG0000096	XENTR02339, XENTR11518	APOSC_03162
OG0000096	XENTR01880	APOSC_25015
OG0000096	XENTR18613	APOSC_00869
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	APOSC_16859
OG0000096	XENTR16018, XENTR14119	APOSC_21738
OG0000096	XENTR17893	APOSC_21519
OG0000098	XENTR05433, XENTR18578, XENTR17176	APOSC_13176, APOSC_13174, APOSC_13175
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	APOSC_27629, APOSC_10815
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	APOSC_01352, APOSC_23267
OG0000100	XENTR15660, XENTR12282	APOSC_10597
OG0000101	XENTR09885, XENTR05951	APOSC_08305
OG0000101	XENTR10544, XENTR10545	APOSC_23688
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	APOSC_25079, APOSC_09250
OG0000102	XENTR10759, XENTR05530	APOSC_11388
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	APOSC_08194
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	APOSC_19265
OG0000104	XENTR05699, XENTR11871	APOSC_15082, APOSC_15083, APOSC_15085, APOSC_15084
OG0000104	XENTR03188, XENTR10251	APOSC_11443, APOSC_11444, APOSC_11442
OG0000104	XENTR11872, XENTR05698	APOSC_16135
OG0000104	XENTR07142	APOSC_04087, APOSC_04088
OG0000104	XENTR02594, XENTR10789, XENTR16122	APOSC_13374
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	APOSC_22868
OG0000106	XENTR07802	APOSC_21078
OG0000106	XENTR05910, XENTR12158, XENTR05297	APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000113	XENTR00307	APOSC_22087, APOSC_26451
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	APOSC_10928, APOSC_00248, APOSC_23655, APOSC_06012, APOSC_17348, APOSC_05416
OG0000115	XENTR10985	APOSC_04786
OG0000116	XENTR12530	APOSC_28097, APOSC_09224
OG0000119	XENTR05393, XENTR05242, XENTR06871	APOSC_11483
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102
OG0000119	XENTR01125, XENTR14071	APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000120	XENTR17173	APOSC_04315
OG0000120	XENTR14772	APOSC_18873
OG0000120	XENTR05369	APOSC_13215
OG0000121	XENTR04864	APOSC_24649, APOSC_24650, APOSC_11574, APOSC_15665, APOSC_05374, APOSC_28387, APOSC_12126, APOSC_08548, APOSC_10960, APOSC_00676, APOSC_02343
OG0000122	XENTR06907, XENTR17281	APOSC_25177
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	APOSC_11178
OG0000123	XENTR09572, XENTR12457, XENTR17140	APOSC_03443
OG0000123	XENTR02182	APOSC_20465
OG0000123	XENTR10906	APOSC_23180
OG0000124	XENTR05926	APOSC_29022
OG0000124	XENTR10247, XENTR00962, XENTR04813	APOSC_26551
OG0000124	XENTR09248, XENTR09249	APOSC_03695
OG0000124	XENTR12958, XENTR01638	APOSC_13919
OG0000124	XENTR13084, XENTR11997	APOSC_09834
OG0000125	XENTR01735, XENTR14091, XENTR08560	APOSC_10519, APOSC_10520, APOSC_10518
OG0000125	XENTR01738, XENTR14098	APOSC_27450
OG0000125	XENTR05425	APOSC_26262, APOSC_07039, APOSC_19200
OG0000126	XENTR02718, XENTR02062, XENTR09023	APOSC_16760
OG0000126	XENTR14632, XENTR03466	APOSC_21117
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	APOSC_28093
OG0000127	XENTR02720, XENTR03441, XENTR09025	APOSC_24103
OG0000127	XENTR10923, XENTR12718	APOSC_09690
OG0000127	XENTR18212	APOSC_02788
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	APOSC_16052, APOSC_16050, APOSC_16051
OG0000127	XENTR01486, XENTR04784, XENTR07585	APOSC_04103
OG0000128	XENTR09496, XENTR10668	APOSC_22700, APOSC_06337
OG0000128	XENTR08486, XENTR08487	APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	APOSC_12123, APOSC_24173
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	APOSC_21068
OG0000130	XENTR04860	APOSC_11963
OG0000130	XENTR04495, XENTR07613, XENTR03572	APOSC_11111
OG0000130	XENTR08843, XENTR10120	APOSC_28750
OG0000131	XENTR10944	APOSC_21472, APOSC_03272, APOSC_06150
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	APOSC_13028, APOSC_01542, APOSC_27288, APOSC_18201, APOSC_28955, APOSC_10689
OG0000132	XENTR04795	APOSC_24064, APOSC_09777, APOSC_09775, APOSC_09776
OG0000135	XENTR07014, XENTR14167, XENTR10688, XENTR10689, XENTR15435, XENTR15775, XENTR16794, XENTR19031, XENTR19077, XENTR05007, XENTR05009, XENTR15440, XENTR16796, XENTR15437, XENTR05010, XENTR10515, XENTR15438, XENTR15441, XENTR15436, XENTR05006, XENTR05005, XENTR05047, XENTR15445	APOSC_15099, APOSC_08214, APOSC_08213
OG0000137	XENTR10738, XENTR07993, XENTR07994	APOSC_04370
OG0000137	XENTR11062, XENTR17418	APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998
OG0000137	XENTR10667	APOSC_01981, APOSC_01895, APOSC_21797
OG0000139	XENTR06324	APOSC_05339
OG0000140	XENTR17095	APOSC_20679
OG0000140	XENTR01606, XENTR07662	APOSC_21817, APOSC_06250
OG0000140	XENTR11484	APOSC_13035
OG0000141	XENTR13160	APOSC_16747, APOSC_12558, APOSC_00130, APOSC_04354, APOSC_22998, APOSC_22734, APOSC_11878, APOSC_03319, APOSC_15420, APOSC_14671
OG0000147	XENTR03268, XENTR13018	APOSC_05531, APOSC_20902
OG0000147	XENTR02156, XENTR12287	APOSC_16682
OG0000147	XENTR01301, XENTR12003	APOSC_25363
OG0000147	XENTR00602	APOSC_20013
OG0000147	XENTR15311	APOSC_18428, APOSC_05853
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	APOSC_14879, APOSC_14878
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	APOSC_22996
OG0000149	XENTR03422, XENTR03423	APOSC_17921, APOSC_17920, APOSC_17820
OG0000149	XENTR01442, XENTR00579	APOSC_12513, APOSC_00444, APOSC_02449, APOSC_02196
OG0000149	XENTR04855	APOSC_09540, APOSC_20238
OG0000151	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142	APOSC_26828, APOSC_02355, APOSC_10983, APOSC_26533, APOSC_24307
OG0000151	XENTR06824, XENTR00446, XENTR00447	APOSC_27430
OG0000155	XENTR18176	APOSC_09923, APOSC_09921, APOSC_09922
OG0000157	XENTR09579, XENTR08086	APOSC_02266
OG0000157	XENTR09559	APOSC_27261
OG0000158	XENTR17930, XENTR04115, XENTR04631	APOSC_22004
OG0000158	XENTR14207, XENTR14206, XENTR14205	APOSC_02468
OG0000159	XENTR09320, XENTR09321	APOSC_05622
OG0000159	XENTR09386	APOSC_25144
OG0000159	XENTR07751	APOSC_27680
OG0000160	XENTR02472	APOSC_17800
OG0000162	XENTR19069	APOSC_14431
OG0000163	XENTR17419	APOSC_26564, APOSC_17645
OG0000163	XENTR06573, XENTR03895	APOSC_12728
OG0000163	XENTR10844, XENTR07114, XENTR03341	APOSC_20618
OG0000164	XENTR03117, XENTR11443, XENTR03405, XENTR11930	APOSC_28232
OG0000165	XENTR15301, XENTR13043, XENTR16873, XENTR11658, XENTR00720, XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345	APOSC_28761
