Orthogroup	XENTR	SACKO_ok
OG0000041	XENTR03001, XENTR09331	SACKO_06515
OG0000043	XENTR13561, XENTR13559	SACKO_09694
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	SACKO_25267
OG0000045	XENTR14513	SACKO_32893, SACKO_32938, SACKO_32925
OG0000046	XENTR04959	SACKO_04617, SACKO_18448
OG0000046	XENTR17142, XENTR08235, XENTR05674, XENTR16277	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208
OG0000048	XENTR01169	SACKO_04413
OG0000048	XENTR18412	SACKO_24161
OG0000048	XENTR04117	SACKO_03133
OG0000048	XENTR05160	SACKO_17673
OG0000049	XENTR00212, XENTR08482	SACKO_08936
OG0000049	XENTR07031, XENTR06401	SACKO_25469
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	SACKO_25472
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	SACKO_21118
OG0000053	XENTR00094	SACKO_03479
OG0000054	XENTR04962, XENTR04961	SACKO_17476
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000058	XENTR11839	SACKO_23572
OG0000059	XENTR09381	SACKO_01899
OG0000059	XENTR06961, XENTR16370	SACKO_18357
OG0000060	XENTR09513	SACKO_26044
OG0000060	XENTR11489, XENTR04114, XENTR08957	SACKO_08309
OG0000061	XENTR00116, XENTR05367	SACKO_02041
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	SACKO_02073
OG0000061	XENTR10609, XENTR10747	SACKO_02064
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	SACKO_15950, SACKO_15963, SACKO_09033
OG0000062	XENTR09512	SACKO_15645
OG0000063	XENTR10234, XENTR04709, XENTR00319	SACKO_12392
OG0000063	XENTR11311	SACKO_30337
OG0000063	XENTR08048, XENTR02007	SACKO_15119
OG0000066	XENTR18882	SACKO_23403
OG0000067	XENTR13783, XENTR04874	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	SACKO_06365
OG0000069	XENTR15529	SACKO_07016, SACKO_15035
OG0000070	XENTR15503, XENTR11143, XENTR02048	SACKO_18930, SACKO_18932
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930
OG0000072	XENTR03548, XENTR18546	SACKO_25103, SACKO_25111
OG0000072	XENTR01057	SACKO_14515
OG0000072	XENTR13152	SACKO_31517
OG0000074	XENTR10798, XENTR10797, XENTR11114	SACKO_04859
OG0000074	XENTR14396	SACKO_00567, SACKO_23013
OG0000074	XENTR07269, XENTR06689	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735
OG0000075	XENTR02757, XENTR11353, XENTR12610	SACKO_07161
OG0000075	XENTR06215	SACKO_31864
OG0000075	XENTR09250	SACKO_16948
OG0000075	XENTR14285, XENTR05936	SACKO_18318
OG0000075	XENTR04179, XENTR06216	SACKO_31867
OG0000075	XENTR01223, XENTR05975	SACKO_23452
OG0000075	XENTR10723	SACKO_23651
OG0000075	XENTR06816, XENTR17547, XENTR16124	SACKO_09677
OG0000075	XENTR05986, XENTR05987	SACKO_16926
OG0000077	XENTR06888, XENTR17790, XENTR02687	SACKO_10609, SACKO_13734
OG0000077	XENTR10451	SACKO_03449
OG0000077	XENTR01904, XENTR08754, XENTR13403	SACKO_24063
OG0000077	XENTR07875, XENTR00642	SACKO_16621, SACKO_13762
OG0000077	XENTR04757	SACKO_02025
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	SACKO_29101, SACKO_02475
OG0000078	XENTR19100	SACKO_06423
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	SACKO_22850
OG0000079	XENTR08294, XENTR08293, XENTR03649	SACKO_28168
OG0000079	XENTR01194	SACKO_02973
OG0000082	XENTR16096	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	XENTR01624, XENTR01625	SACKO_12474
OG0000083	XENTR04370, XENTR12084, XENTR05647	SACKO_30590
OG0000084	XENTR14395, XENTR14216, XENTR02688	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253
OG0000084	XENTR03539, XENTR09724	SACKO_06467, SACKO_06545, SACKO_31931
OG0000084	XENTR05567, XENTR06450	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583
OG0000085	XENTR01729, XENTR03138	SACKO_23009
OG0000085	XENTR15005	SACKO_25563
OG0000085	XENTR00809	SACKO_10208
OG0000085	XENTR12352, XENTR12351	SACKO_33849
OG0000087	XENTR17246	SACKO_19449, SACKO_18343
OG0000087	XENTR13447, XENTR13446	SACKO_09961
OG0000087	XENTR06736	SACKO_21024
OG0000087	XENTR07023	SACKO_23310, SACKO_14360
OG0000087	XENTR10385	SACKO_28507
OG0000087	XENTR06016	SACKO_23472
OG0000087	XENTR00988	SACKO_06733
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683
OG0000089	XENTR04109	SACKO_27338
OG0000090	XENTR11768	SACKO_21411
OG0000090	XENTR06545	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824
OG0000093	XENTR11592, XENTR02843, XENTR08380	SACKO_04129
OG0000094	XENTR10717, XENTR18065, XENTR15146	SACKO_30142
OG0000094	XENTR09915, XENTR14788, XENTR17591	SACKO_14416
OG0000095	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426	SACKO_22134, SACKO_02519
OG0000096	XENTR02028, XENTR07076, XENTR03113	SACKO_00041
OG0000096	XENTR02339, XENTR11518	SACKO_02842
OG0000096	XENTR01880	SACKO_13904
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	SACKO_24537
OG0000096	XENTR16018	SACKO_23084
OG0000096	XENTR17893	SACKO_27312, SACKO_27255
OG0000098	XENTR05433, XENTR18578, XENTR17176	SACKO_30373, SACKO_19685
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	SACKO_15840
OG0000099	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898	SACKO_04331
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	SACKO_03078
OG0000099	XENTR08433	SACKO_07176
OG0000100	XENTR03308, XENTR15328	SACKO_30403
OG0000101	XENTR09885, XENTR05951	SACKO_13586, SACKO_13587, SACKO_31937
OG0000101	XENTR10544, XENTR10545	SACKO_23978, SACKO_23977
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330
OG0000102	XENTR10759, XENTR05530	SACKO_09072, SACKO_09096, SACKO_13190
OG0000102	XENTR17165, XENTR06155	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	SACKO_33359
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	SACKO_23497
OG0000104	XENTR05699, XENTR11871	SACKO_13626, SACKO_13628, SACKO_13620
OG0000104	XENTR03188, XENTR10251	SACKO_19425
OG0000104	XENTR11872, XENTR05698	SACKO_13617
OG0000104	XENTR07142	SACKO_06378, SACKO_13688
OG0000104	XENTR02594, XENTR10789, XENTR16122	SACKO_16066
OG0000106	XENTR07802	SACKO_19035
OG0000106	XENTR05910, XENTR12158, XENTR05297	SACKO_31163, SACKO_03309, SACKO_31157, SACKO_05024, SACKO_19089, SACKO_19090, SACKO_26319
OG0000107	XENTR16492	SACKO_10895
OG0000108	XENTR06931, XENTR12385, XENTR06227	SACKO_23326
OG0000111	XENTR01487, XENTR04814, XENTR07587, XENTR06674, XENTR09084, XENTR13395, XENTR18141, XENTR04629, XENTR12868, XENTR04110, XENTR04628, XENTR18140	SACKO_16656
OG0000113	XENTR00307	SACKO_14235, SACKO_07253, SACKO_22562, SACKO_28107, SACKO_25640, SACKO_27005
OG0000113	XENTR14043	SACKO_09021
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	SACKO_05497, SACKO_05499, SACKO_05519
OG0000116	XENTR15162	SACKO_18613, SACKO_08085, SACKO_18612, SACKO_18615, SACKO_03400, SACKO_03390
OG0000116	XENTR12530	SACKO_31632
OG0000117	XENTR09867	SACKO_32122
OG0000119	XENTR05393, XENTR05242, XENTR06871	SACKO_14170
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	SACKO_22937, SACKO_22948, SACKO_22971
OG0000119	XENTR01125, XENTR14071	SACKO_28303
OG0000121	XENTR04902, XENTR18080	SACKO_13416, SACKO_17485, SACKO_17484, SACKO_03657
OG0000121	XENTR08396, XENTR08397	SACKO_15163, SACKO_26268, SACKO_32139, SACKO_01099, SACKO_22905, SACKO_28129, SACKO_02275
OG0000122	XENTR06907, XENTR17281	SACKO_31419
OG0000123	XENTR09572, XENTR12457, XENTR17140	SACKO_13259
OG0000123	XENTR02182	SACKO_30225
OG0000123	XENTR06889, XENTR13577	SACKO_06537
OG0000123	XENTR10906	SACKO_24348, SACKO_30793, SACKO_27811, SACKO_31897
OG0000123	XENTR09767	SACKO_10967, SACKO_23325
OG0000124	XENTR05926	SACKO_33754, SACKO_22345
OG0000124	XENTR09248, XENTR09249	SACKO_18436, SACKO_18432
OG0000124	XENTR12958, XENTR01638	SACKO_28600, SACKO_28595
OG0000124	XENTR13084, XENTR11997	SACKO_02327
OG0000125	XENTR14097, XENTR01739	SACKO_05896
OG0000125	XENTR01735, XENTR14091, XENTR08560	SACKO_18622
OG0000125	XENTR01738, XENTR14098	SACKO_17275
OG0000125	XENTR05425	SACKO_21397, SACKO_06987
OG0000126	XENTR02718, XENTR02062, XENTR09023	SACKO_30837
OG0000126	XENTR14632, XENTR03466	SACKO_09501
OG0000127	XENTR02720, XENTR03441, XENTR09025	SACKO_08426
OG0000127	XENTR10923, XENTR12718	SACKO_08394
OG0000127	XENTR18212	SACKO_07799
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	SACKO_21491
OG0000127	XENTR01486, XENTR04784, XENTR07585	SACKO_20351
OG0000128	XENTR08486, XENTR08487	SACKO_21605, SACKO_14613
OG0000129	XENTR14286	SACKO_20115
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	SACKO_00164
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	SACKO_17443
OG0000130	XENTR04860	SACKO_31133
OG0000130	XENTR04495, XENTR07613, XENTR03572	SACKO_01253, SACKO_03874
