Orthogroup	XENTR	AMPFI_ok
OG0000015	XENTR13566, XENTR03288, XENTR15069	AMPFI_23995
OG0000016	XENTR10586, XENTR06233	AMPFI_14639
OG0000016	XENTR12717	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	XENTR17802	AMPFI_06248
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	AMPFI_04983, AMPFI_11059, AMPFI_23717, AMPFI_12063, AMPFI_02180, AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040
OG0000018	XENTR19110	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	AMPFI_12214, AMPFI_19679, AMPFI_16987, AMPFI_22107, AMPFI_09593, AMPFI_03755, AMPFI_23574, AMPFI_02255, AMPFI_04146, AMPFI_25008
OG0000019	XENTR07225, XENTR02749, XENTR04194	AMPFI_01264, AMPFI_06523
OG0000019	XENTR03535	AMPFI_03780
OG0000020	XENTR18565	AMPFI_07852
OG0000020	XENTR14576	AMPFI_19334
OG0000020	XENTR00311	AMPFI_23773
OG0000020	XENTR13299	AMPFI_11019
OG0000020	XENTR05411	AMPFI_06907
OG0000020	XENTR15461, XENTR03248, XENTR03249	AMPFI_24792
OG0000020	XENTR04697	AMPFI_07932
OG0000020	XENTR07864, XENTR11783	AMPFI_12343
OG0000020	XENTR08063	AMPFI_25813
OG0000020	XENTR15846	AMPFI_07388
OG0000020	XENTR15636	AMPFI_13969
OG0000021	XENTR11123, XENTR16378	AMPFI_08825
OG0000021	XENTR16121	AMPFI_12629
OG0000021	XENTR13705, XENTR13394, XENTR13393	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941
OG0000021	XENTR00007	AMPFI_00389, AMPFI_07405, AMPFI_24716, AMPFI_19890, AMPFI_10085, AMPFI_07684
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	AMPFI_05477
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	AMPFI_14885, AMPFI_23006, AMPFI_10764
OG0000023	XENTR13097	AMPFI_05031
OG0000024	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488	AMPFI_01273
OG0000026	XENTR07244, XENTR03079	AMPFI_01077, AMPFI_16904
OG0000028	XENTR03481, XENTR17263	AMPFI_19162
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	XENTR08639	AMPFI_02183
OG0000030	XENTR18375, XENTR18219	AMPFI_03176
OG0000031	XENTR15116	AMPFI_14371, AMPFI_13166
OG0000031	XENTR05405, XENTR03766	AMPFI_06256
OG0000031	XENTR03163	AMPFI_14304
OG0000031	XENTR00229	AMPFI_01333
OG0000031	XENTR00006, XENTR16792, XENTR04300	AMPFI_05075
OG0000031	XENTR00917, XENTR11778	AMPFI_10833
OG0000031	XENTR09425	AMPFI_02985
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	XENTR17016	AMPFI_03594
OG0000032	XENTR03433	AMPFI_03370
OG0000034	XENTR04943	AMPFI_04753
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	AMPFI_00398
OG0000035	XENTR05239	AMPFI_17275
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	AMPFI_20705
OG0000035	XENTR07648	AMPFI_13261
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	AMPFI_07620, AMPFI_08859, AMPFI_16822
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	AMPFI_12878
OG0000035	XENTR13293, XENTR09857	AMPFI_11303
OG0000036	XENTR07761, XENTR12415, XENTR07272	AMPFI_11948
OG0000036	XENTR01038, XENTR15969	AMPFI_14775, AMPFI_19912
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	AMPFI_11581
OG0000037	XENTR16580, XENTR14770, XENTR03861	AMPFI_25668
OG0000038	XENTR04197, XENTR04200	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880
OG0000039	XENTR17227	AMPFI_15658
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	AMPFI_14066
OG0000039	XENTR17697	AMPFI_20335, AMPFI_20685, AMPFI_03724
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	AMPFI_02741
OG0000043	XENTR13561, XENTR13559	AMPFI_04816
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	AMPFI_13059
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688	AMPFI_10491
OG0000044	XENTR04387, XENTR17931	AMPFI_12455
OG0000046	XENTR04959	AMPFI_02275, AMPFI_17068
OG0000047	XENTR07962	AMPFI_15690
OG0000048	XENTR01169	AMPFI_06745
OG0000048	XENTR18412	AMPFI_01185
OG0000048	XENTR04117	AMPFI_22758
OG0000048	XENTR05160	AMPFI_10591, AMPFI_13556
OG0000049	XENTR13015	AMPFI_21057
OG0000051	XENTR08842	AMPFI_25569
OG0000052	XENTR09745, XENTR16766, XENTR16795	AMPFI_06573, AMPFI_21766, AMPFI_02333, AMPFI_17383, AMPFI_21399, AMPFI_24133
OG0000054	XENTR04962, XENTR04961	AMPFI_10274
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	AMPFI_10015
OG0000057	XENTR04236, XENTR01413, XENTR01414	AMPFI_01580, AMPFI_02256
OG0000057	XENTR03679	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000058	XENTR11839	AMPFI_18481
OG0000058	XENTR16220	AMPFI_11588, AMPFI_03991, AMPFI_22601, AMPFI_13098
OG0000060	XENTR09513	AMPFI_23758
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	XENTR09512	AMPFI_05434
OG0000063	XENTR11311	AMPFI_21664
OG0000063	XENTR04708	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000063	XENTR15638	AMPFI_25335
OG0000066	XENTR18882	AMPFI_09400
OG0000067	XENTR13783, XENTR04874	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	AMPFI_04870
OG0000069	XENTR15529	AMPFI_08415
OG0000072	XENTR03548, XENTR18546	AMPFI_26076
OG0000072	XENTR01057	AMPFI_21820
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665	AMPFI_10119
OG0000074	XENTR10798, XENTR10797, XENTR11114	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	XENTR14396	AMPFI_19576
OG0000074	XENTR07269, XENTR06689	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296
OG0000075	XENTR02757, XENTR11353, XENTR12610	AMPFI_17345, AMPFI_17344
OG0000075	XENTR06215	AMPFI_03839
OG0000075	XENTR09250	AMPFI_10510
OG0000075	XENTR04179, XENTR06216	AMPFI_15829
OG0000075	XENTR01223, XENTR05975	AMPFI_15139
OG0000075	XENTR10723	AMPFI_15917
OG0000075	XENTR05986, XENTR05987	AMPFI_17574
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000078	XENTR19100	AMPFI_20079
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	AMPFI_09380
OG0000079	XENTR08294, XENTR08293, XENTR03649	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	XENTR01194	AMPFI_24805
OG0000079	XENTR15371	AMPFI_06359, AMPFI_07521
OG0000082	XENTR16096	AMPFI_21007
OG0000082	XENTR01624, XENTR01625	AMPFI_06890
OG0000085	XENTR01729, XENTR03138	AMPFI_20771
OG0000085	XENTR04052, XENTR12507	AMPFI_09379
OG0000085	XENTR15005	AMPFI_25819
OG0000085	XENTR12352, XENTR12351	AMPFI_04349
OG0000086	XENTR14579	AMPFI_08733
OG0000087	XENTR17246	AMPFI_20352
OG0000087	XENTR13447, XENTR13446	AMPFI_01947
OG0000087	XENTR06736	AMPFI_25175
OG0000087	XENTR07023	AMPFI_07196
OG0000087	XENTR10385	AMPFI_09489, AMPFI_05588, AMPFI_13769
OG0000087	XENTR06016	AMPFI_08649
OG0000087	XENTR00988	AMPFI_11171
OG0000087	XENTR18799	AMPFI_18536, AMPFI_19662, AMPFI_19663
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000091	XENTR08624	AMPFI_04685, AMPFI_24623, AMPFI_10622
OG0000094	XENTR18065	AMPFI_02587
OG0000094	XENTR15146	AMPFI_25694, AMPFI_04666
OG0000094	XENTR18157	AMPFI_02648
OG0000094	XENTR09915, XENTR14788, XENTR17591	AMPFI_18905, AMPFI_06525
OG0000096	XENTR02028, XENTR07076, XENTR03113	AMPFI_12180
OG0000096	XENTR02339, XENTR11518	AMPFI_22693
OG0000096	XENTR01880	AMPFI_24766
OG0000096	XENTR18613	AMPFI_09837
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	AMPFI_11230
OG0000096	XENTR17893	AMPFI_25309
OG0000098	XENTR05433, XENTR18578, XENTR17176	AMPFI_13259, AMPFI_24967
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	AMPFI_07962, AMPFI_03629
OG0000101	XENTR09885, XENTR05951	AMPFI_17596, AMPFI_21293
OG0000101	XENTR10544, XENTR10545	AMPFI_14310, AMPFI_02729
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	AMPFI_08160
OG0000102	XENTR10759, XENTR05530	AMPFI_04172, AMPFI_16803
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	AMPFI_21097
OG0000104	XENTR05699, XENTR11871	AMPFI_14148
OG0000104	XENTR03188, XENTR10251	AMPFI_11040
OG0000104	XENTR11872, XENTR05698	AMPFI_02710
OG0000104	XENTR07142	AMPFI_20370
OG0000104	XENTR02594, XENTR10789, XENTR16122	AMPFI_08614
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	AMPFI_02407, AMPFI_14321
OG0000106	XENTR05910, XENTR12158, XENTR05297	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000108	XENTR03238, XENTR11663, XENTR11664, XENTR06039	AMPFI_15531
OG0000108	XENTR06931, XENTR12385, XENTR06227	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000113	XENTR00307	AMPFI_03282
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	AMPFI_03529
OG0000116	XENTR12530	AMPFI_12986
OG0000117	XENTR09867	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000119	XENTR05393, XENTR05242, XENTR06871	AMPFI_25431
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	AMPFI_07345, AMPFI_07307
OG0000119	XENTR01125, XENTR14071	AMPFI_24152
OG0000120	XENTR17173	AMPFI_15831
OG0000121	XENTR04864	AMPFI_02289, AMPFI_15541
OG0000121	XENTR08396, XENTR08397	AMPFI_13452, AMPFI_13451, AMPFI_13453, AMPFI_00305, AMPFI_14275, AMPFI_23932, AMPFI_18364, AMPFI_02010, AMPFI_17011, AMPFI_02841, AMPFI_25340
OG0000122	XENTR06907, XENTR17281	AMPFI_13850, AMPFI_04566, AMPFI_20620
OG0000122	XENTR01730, XENTR03137, XENTR03802	AMPFI_09948
OG0000123	XENTR02182	AMPFI_23454
OG0000123	XENTR10906	AMPFI_03553
OG0000124	XENTR05926	AMPFI_24111
OG0000124	XENTR09248, XENTR09249	AMPFI_02885
OG0000124	XENTR13084, XENTR11997	AMPFI_01689
OG0000125	XENTR01735, XENTR14091, XENTR08560	AMPFI_03211
OG0000125	XENTR01738, XENTR14098	AMPFI_16776
OG0000125	XENTR05425	AMPFI_12865
OG0000126	XENTR02718, XENTR02062, XENTR09023	AMPFI_13551
OG0000126	XENTR14632, XENTR03466	AMPFI_06519
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	AMPFI_19042
OG0000127	XENTR02720, XENTR03441, XENTR09025	AMPFI_23284
OG0000127	XENTR10923, XENTR12718	AMPFI_11705
OG0000127	XENTR18212	AMPFI_13476
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	AMPFI_18794
OG0000128	XENTR08486, XENTR08487	AMPFI_00795
OG0000128	XENTR04418	AMPFI_16622, AMPFI_18803, AMPFI_04850
OG0000129	XENTR14286	AMPFI_25119
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	AMPFI_15379
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	AMPFI_05870
OG0000130	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979	AMPFI_19363
OG0000131	XENTR10944	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000132	XENTR04795	AMPFI_25895
OG0000137	XENTR11062, XENTR17418	AMPFI_02989
OG0000137	XENTR10667	AMPFI_12246
OG0000139	XENTR06324	AMPFI_23602, AMPFI_03549
OG0000141	XENTR13160	AMPFI_07634, AMPFI_00765, AMPFI_18896
OG0000147	XENTR12286	AMPFI_24113
OG0000147	XENTR02156, XENTR12287	AMPFI_01784, AMPFI_00036, AMPFI_00137
OG0000147	XENTR01301, XENTR12003	AMPFI_25058
OG0000147	XENTR00602	AMPFI_22384
OG0000147	XENTR15311	AMPFI_01359, AMPFI_18115
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	AMPFI_23558
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	AMPFI_06814
OG0000149	XENTR01442, XENTR00579	AMPFI_19578, AMPFI_11805
OG0000151	XENTR04929, XENTR06165, XENTR12078, XENTR11745	AMPFI_12292
OG0000151	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142	AMPFI_07369, AMPFI_13120
OG0000153	XENTR04393, XENTR14583, XENTR14584, XENTR14230	AMPFI_16848, AMPFI_17135
OG0000155	XENTR13673, XENTR05745, XENTR13672	AMPFI_11674
OG0000157	XENTR09579, XENTR08086	AMPFI_07870
OG0000159	XENTR09320, XENTR09321	AMPFI_14640
OG0000159	XENTR09386	AMPFI_09235
OG0000160	XENTR02472	AMPFI_10740
OG0000162	XENTR19069	AMPFI_02629
OG0000163	XENTR03897, XENTR06574	AMPFI_03655
OG0000163	XENTR17419	AMPFI_02815
OG0000163	XENTR06573, XENTR03895	AMPFI_01484
OG0000163	XENTR10844, XENTR07114, XENTR03341	AMPFI_15100
OG0000165	XENTR15301, XENTR13043, XENTR16873, XENTR11658, XENTR00720, XENTR14265, XENTR04481, XENTR04329, XENTR18883, XENTR08529, XENTR02768, XENTR13290, XENTR13289, XENTR02058, XENTR02059, XENTR19075, XENTR04395, XENTR09345	AMPFI_20099
OG0000166	XENTR01839	AMPFI_20566
OG0000167	XENTR13141	AMPFI_21928
OG0000168	XENTR11485, XENTR09871	AMPFI_17580, AMPFI_14464
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725	AMPFI_03245, AMPFI_18586, AMPFI_18585
OG0000171	XENTR10513, XENTR07909	AMPFI_21332
OG0000171	XENTR05662	AMPFI_16514
OG0000172	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551	AMPFI_14014
OG0000173	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	AMPFI_14468
OG0000174	XENTR18562, XENTR12376	AMPFI_12146
OG0000174	XENTR02208, XENTR05576	AMPFI_25103
OG0000175	XENTR03000, XENTR09335, XENTR04649	AMPFI_13786
OG0000179	XENTR01942	AMPFI_12504
OG0000179	XENTR00560, XENTR12119	AMPFI_16964
OG0000179	XENTR05649, XENTR05414, XENTR12627	AMPFI_00481
OG0000181	XENTR17190, XENTR17189, XENTR03816	AMPFI_16526
OG0000181	XENTR09033, XENTR12669	AMPFI_12882
OG0000183	XENTR02086, XENTR13524, XENTR16217	AMPFI_14083
OG0000183	XENTR02630	AMPFI_03468
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	AMPFI_03874, AMPFI_09399, AMPFI_14819
OG0000186	XENTR01631, XENTR03039	AMPFI_23623
OG0000188	XENTR02204, XENTR07576, XENTR05663	AMPFI_08253
OG0000190	XENTR07782, XENTR06828, XENTR06827, XENTR07781, XENTR06829	AMPFI_22113
OG0000192	XENTR03994, XENTR04308	AMPFI_10868
OG0000192	XENTR01771	AMPFI_03281
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028
OG0000195	XENTR11322, XENTR09909, XENTR17326	AMPFI_05326
OG0000195	XENTR19159	AMPFI_05107
OG0000197	XENTR05307, XENTR15908	AMPFI_00635, AMPFI_18783, AMPFI_00480
OG0000197	XENTR03218, XENTR03217, XENTR15281, XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201	AMPFI_14260
OG0000198	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054	AMPFI_24261
OG0000201	XENTR16600, XENTR16601, XENTR04781	AMPFI_03122
OG0000201	XENTR12187, XENTR00868	AMPFI_01733
OG0000202	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556	AMPFI_02277
OG0000203	XENTR09015, XENTR08065	AMPFI_10377, AMPFI_15263
OG0000203	XENTR04067	AMPFI_06550
OG0000204	XENTR04113, XENTR02352	AMPFI_16653, AMPFI_14128, AMPFI_06859
OG0000205	XENTR16886, XENTR01752, XENTR14923	AMPFI_19091
OG0000206	XENTR10501, XENTR13106, XENTR12355	AMPFI_22039
OG0000207	XENTR04496, XENTR02974	AMPFI_08635, AMPFI_15520
OG0000208	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993	AMPFI_19368, AMPFI_25316, AMPFI_25934, AMPFI_04187
OG0000210	XENTR12375	AMPFI_16256
OG0000210	XENTR19252	AMPFI_24350
OG0000210	XENTR04415	AMPFI_21005
OG0000211	XENTR02626	AMPFI_10849
OG0000211	XENTR12567, XENTR17201, XENTR17202	AMPFI_12814
OG0000211	XENTR15376, XENTR01456	AMPFI_16753
OG0000213	XENTR03518, XENTR08248	AMPFI_07663
OG0000214	XENTR12264	AMPFI_13169
OG0000215	XENTR01627, XENTR06477	AMPFI_03565
OG0000215	XENTR04188	AMPFI_23213
OG0000216	XENTR15525	AMPFI_00473
OG0000218	XENTR06015	AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956
OG0000220	XENTR07581	AMPFI_11145
OG0000220	XENTR15742	AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272
OG0000221	XENTR04171, XENTR10605, XENTR06942	AMPFI_07550
OG0000221	XENTR10392, XENTR01755, XENTR16885	AMPFI_18146, AMPFI_19059
OG0000222	XENTR18094, XENTR09636, XENTR09635	AMPFI_16387, AMPFI_05918, AMPFI_03073
OG0000223	XENTR15744, XENTR02504, XENTR10692	AMPFI_09693
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	AMPFI_24201, AMPFI_00311
OG0000227	XENTR12301, XENTR12302	AMPFI_16595
OG0000227	XENTR13632	AMPFI_00331
OG0000227	XENTR15725, XENTR05302, XENTR05301	AMPFI_23018
OG0000227	XENTR06938	AMPFI_12350
OG0000227	XENTR00522, XENTR04987	AMPFI_07507
OG0000228	XENTR07707, XENTR15692	AMPFI_21741
OG0000229	XENTR07694	AMPFI_05764, AMPFI_10072, AMPFI_24212, AMPFI_15142, AMPFI_19973, AMPFI_16169, AMPFI_17069, AMPFI_03077
OG0000230	XENTR08030, XENTR08029	AMPFI_09954
OG0000231	XENTR00474, XENTR12545	AMPFI_01759
OG0000233	XENTR14531	AMPFI_06911
OG0000234	XENTR08092, XENTR06076, XENTR18346	AMPFI_09748
OG0000234	XENTR00774, XENTR10873	AMPFI_05768
OG0000235	XENTR08759	AMPFI_22306
OG0000236	XENTR04703	AMPFI_19570
OG0000236	XENTR08003	AMPFI_14068
OG0000239	XENTR02896, XENTR08392	AMPFI_07816
