Orthogroup	XENTR	MOUSE
OG0000005	XENTR16849, XENTR09568	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	XENTR06019	MOUSE11220
OG0000006	XENTR00026	MOUSE33561, MOUSE33562
OG0000006	XENTR03474, XENTR03473	MOUSE36359
OG0000006	XENTR14730	MOUSE45321
OG0000006	XENTR03090	MOUSE29952, MOUSE29953
OG0000006	XENTR03954	MOUSE24072, MOUSE24070, MOUSE24071
OG0000006	XENTR14945	MOUSE25672, MOUSE25673
OG0000006	XENTR03689	MOUSE54497
OG0000006	XENTR00399	MOUSE02096, MOUSE02095, MOUSE02097
OG0000006	XENTR09859	MOUSE27112, MOUSE27111
OG0000006	XENTR09947	MOUSE28165
OG0000006	XENTR11692	MOUSE07632, MOUSE07631
OG0000006	XENTR11329	MOUSE38532, MOUSE38531
OG0000006	XENTR15046	MOUSE10280
OG0000006	XENTR13548	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	XENTR15729, XENTR08627	MOUSE19675
OG0000006	XENTR04854	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501
OG0000006	XENTR07280	MOUSE21233, MOUSE21234
OG0000006	XENTR07527	MOUSE09568, MOUSE09567
OG0000006	XENTR07719	MOUSE08011
OG0000006	XENTR03854	MOUSE11795, MOUSE11796
OG0000006	XENTR12781	MOUSE11799, MOUSE11800
OG0000006	XENTR16538, XENTR16537, XENTR09455	MOUSE04696
OG0000007	XENTR04989	MOUSE09063
OG0000007	XENTR07641	MOUSE49748
OG0000007	XENTR10435	MOUSE51845
OG0000007	XENTR08906	MOUSE28113, MOUSE28115, MOUSE28114
OG0000007	XENTR06676	MOUSE07122
OG0000007	XENTR00358	MOUSE33185
OG0000007	XENTR05826, XENTR00041	MOUSE10368, MOUSE33510
OG0000007	XENTR08678	MOUSE32557
OG0000007	XENTR10333	MOUSE03187
OG0000007	XENTR09768, XENTR09769	MOUSE40199, MOUSE40198
OG0000007	XENTR02009	MOUSE46807
OG0000007	XENTR03222	MOUSE52320
OG0000007	XENTR07642	MOUSE49749
OG0000007	XENTR11347, XENTR18406	MOUSE13954
OG0000007	XENTR04991	MOUSE09061
OG0000007	XENTR04990	MOUSE09062
OG0000007	XENTR05942	MOUSE49739
OG0000007	XENTR09461	MOUSE04689
OG0000007	XENTR01137	MOUSE37388
OG0000007	XENTR03031	MOUSE07860
OG0000007	XENTR06562	MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	XENTR16583	MOUSE06525
OG0000007	XENTR07405	MOUSE06204
OG0000007	XENTR09232	MOUSE33792, MOUSE33790
OG0000007	XENTR15271	MOUSE41340, MOUSE41339
OG0000008	XENTR11531, XENTR11530	MOUSE17513, MOUSE17514
OG0000008	XENTR00356	MOUSE33182
OG0000008	XENTR18145, XENTR18144, XENTR18146, XENTR18147	MOUSE03822, MOUSE03823
OG0000008	XENTR07747	MOUSE25728
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	MOUSE25499, MOUSE25498, MOUSE25349
OG0000008	XENTR02855	MOUSE35409
OG0000008	XENTR14482	MOUSE34799
OG0000008	XENTR14453	MOUSE48084
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797	MOUSE14749
OG0000010	XENTR17402, XENTR17403, XENTR17056, XENTR19172	MOUSE34625, MOUSE34624
OG0000010	XENTR17234, XENTR17233, XENTR17232, XENTR17230, XENTR17231	MOUSE34426, MOUSE34427
OG0000010	XENTR06633, XENTR06635, XENTR06634	MOUSE49605
OG0000010	XENTR08285, XENTR08284	MOUSE36610, MOUSE36609
OG0000010	XENTR13360	MOUSE46556
OG0000010	XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667	MOUSE16866
OG0000010	XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	MOUSE16888
OG0000010	XENTR04584, XENTR06998, XENTR03807	MOUSE14717
OG0000010	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000012	XENTR00246, XENTR14489	MOUSE30007, MOUSE30008
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380	MOUSE13221, MOUSE13219
OG0000013	XENTR04875	MOUSE31454
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946
OG0000013	XENTR08287, XENTR08288	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	XENTR12243	MOUSE04189
OG0000014	XENTR01230	MOUSE31054
OG0000014	XENTR14320	MOUSE02337
OG0000014	XENTR09795	MOUSE06495
OG0000014	XENTR13716	MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	XENTR09521	MOUSE20912
OG0000014	XENTR18803	MOUSE22789
OG0000014	XENTR09297	MOUSE00987
OG0000014	XENTR09147	MOUSE00504, MOUSE00505, MOUSE00503
OG0000014	XENTR00681	MOUSE54686
OG0000014	XENTR14500	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	XENTR05642	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	XENTR10336, XENTR08668	MOUSE03176
OG0000015	XENTR08442	MOUSE35079
OG0000015	XENTR15573	MOUSE03220, MOUSE03221
OG0000015	XENTR12597, XENTR03461, XENTR00415	MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	XENTR14250	MOUSE32201, MOUSE32200
OG0000015	XENTR15058	MOUSE32202, MOUSE32204
OG0000015	XENTR02840	MOUSE16093
OG0000015	XENTR16072	MOUSE03210, MOUSE03208, MOUSE03209
OG0000015	XENTR03462	MOUSE36402
OG0000015	XENTR16073	MOUSE03212, MOUSE03211
OG0000015	XENTR12596	MOUSE54208, MOUSE54207
OG0000015	XENTR00414	MOUSE44499
OG0000015	XENTR17914	MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	XENTR13566	MOUSE55359
OG0000015	XENTR03288	MOUSE48246
OG0000015	XENTR15069	MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	XENTR06233	MOUSE15414
OG0000016	XENTR01362	MOUSE15161, MOUSE15160
OG0000016	XENTR01363	MOUSE44326
OG0000016	XENTR07382	MOUSE05122, MOUSE05123
OG0000016	XENTR09539	MOUSE21130
OG0000016	XENTR12717	MOUSE13078, MOUSE13077
OG0000016	XENTR17802	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	XENTR18390	MOUSE44335
OG0000019	XENTR16393	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499
OG0000019	XENTR01006	MOUSE46139, MOUSE46138
OG0000019	XENTR01005	MOUSE46137
OG0000019	XENTR07225	MOUSE14689, MOUSE14688
OG0000019	XENTR02749	MOUSE04790
OG0000019	XENTR04194	MOUSE22639, MOUSE22640
OG0000019	XENTR03535	MOUSE30063, MOUSE30064
OG0000020	XENTR09200	MOUSE39911
OG0000020	XENTR18565	MOUSE05499, MOUSE05500
OG0000020	XENTR14576	MOUSE07164
OG0000020	XENTR00311	MOUSE33588
OG0000020	XENTR15741	MOUSE13612
OG0000020	XENTR07596	MOUSE06637, MOUSE06636
OG0000020	XENTR04090	MOUSE34933
OG0000020	XENTR05411	MOUSE26371
OG0000020	XENTR15461	MOUSE45175
OG0000020	XENTR03248	MOUSE15405
OG0000020	XENTR03249	MOUSE15402
OG0000020	XENTR04697	MOUSE24012
OG0000020	XENTR07864	MOUSE54806, MOUSE54808, MOUSE54807
OG0000020	XENTR11783	MOUSE36286, MOUSE36285
OG0000020	XENTR08063	MOUSE35162
OG0000020	XENTR05660	MOUSE48313, MOUSE48314
OG0000020	XENTR15846	MOUSE37001, MOUSE37002
OG0000020	XENTR15636	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	XENTR17791	MOUSE41024, MOUSE41023
OG0000021	XENTR06809	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	XENTR11123	MOUSE40749
OG0000021	XENTR16378	MOUSE41285, MOUSE41283, MOUSE41287, MOUSE41281, MOUSE41022
OG0000021	XENTR12641	MOUSE49041
OG0000021	XENTR02936	MOUSE09998
OG0000021	XENTR18096	MOUSE04592
OG0000021	XENTR13705	MOUSE44445
OG0000021	XENTR13394, XENTR13393	MOUSE53773
OG0000021	XENTR00007	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	XENTR13780, XENTR17333	MOUSE19587
OG0000023	XENTR02017	MOUSE46773, MOUSE46772
OG0000023	XENTR00841	MOUSE01124
OG0000023	XENTR15918	MOUSE12258, MOUSE12260
OG0000023	XENTR00481	MOUSE49191
OG0000023	XENTR16829	MOUSE28391
OG0000023	XENTR12543	MOUSE32112, MOUSE32114
OG0000023	XENTR00784	MOUSE38000
OG0000023	XENTR04037	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	XENTR05209, XENTR05210	MOUSE02558, MOUSE02557
OG0000023	XENTR05773	MOUSE50078
OG0000023	XENTR05777	MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074
OG0000023	XENTR05778	MOUSE50063
OG0000023	XENTR12643	MOUSE49035
OG0000023	XENTR01709, XENTR01708	MOUSE28744
OG0000023	XENTR05774, XENTR05776, XENTR05775, XENTR18976	MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064
OG0000026	XENTR07244	MOUSE12605
OG0000027	XENTR03739	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836
OG0000027	XENTR10928, XENTR05419, XENTR05696, XENTR05695	MOUSE44283, MOUSE44284, MOUSE44285
OG0000027	XENTR11166, XENTR14623	MOUSE00444, MOUSE00443
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288	MOUSE18379, MOUSE18380
OG0000027	XENTR11639	MOUSE36638
OG0000027	XENTR18028, XENTR18027, XENTR18029	MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	MOUSE18678, MOUSE18679
OG0000028	XENTR17263	MOUSE45380
OG0000028	XENTR18279	MOUSE30414, MOUSE30413
OG0000028	XENTR05325	MOUSE51349
OG0000028	XENTR05326	MOUSE51347, MOUSE51348
OG0000028	XENTR17548	MOUSE47957
OG0000028	XENTR15539	MOUSE12712
OG0000028	XENTR18293	MOUSE29157, MOUSE29159
OG0000028	XENTR17549	MOUSE47956, MOUSE47954, MOUSE47955
OG0000028	XENTR05379, XENTR05378	MOUSE26458
OG0000028	XENTR10277	MOUSE44525
OG0000029	XENTR10325	MOUSE37827
OG0000029	XENTR07438, XENTR16899	MOUSE45127, MOUSE48617
OG0000029	XENTR09562	MOUSE49324, MOUSE49325
OG0000029	XENTR10017, XENTR09646	MOUSE22849, MOUSE22848
OG0000029	XENTR13058	MOUSE02995
OG0000029	XENTR11755	MOUSE17544
OG0000029	XENTR10534	MOUSE15400
OG0000029	XENTR08766	MOUSE26337
OG0000029	XENTR01288	MOUSE23727
OG0000029	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	MOUSE29998, MOUSE16471
OG0000030	XENTR08639	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	XENTR18219	MOUSE30488
OG0000030	XENTR00656	MOUSE55035
OG0000030	XENTR05598	MOUSE41811, MOUSE41812
OG0000030	XENTR12816	MOUSE21340
OG0000031	XENTR15116	MOUSE55186
OG0000031	XENTR12583	MOUSE55187
OG0000031	XENTR05405	MOUSE26385
OG0000031	XENTR08553	MOUSE14840
OG0000031	XENTR05384	MOUSE26448
OG0000031	XENTR03164	MOUSE08530
OG0000031	XENTR10836	MOUSE05256
OG0000031	XENTR03163	MOUSE08528, MOUSE08527
OG0000031	XENTR09319	MOUSE44529
OG0000031	XENTR06988	MOUSE20731
OG0000031	XENTR00229	MOUSE39309, MOUSE01505
OG0000031	XENTR11133	MOUSE40719
OG0000031	XENTR00918	MOUSE13006, MOUSE13005
OG0000031	XENTR00006, XENTR16792	MOUSE48656
OG0000031	XENTR04300	MOUSE48889
OG0000031	XENTR00917	MOUSE13007
OG0000031	XENTR11778	MOUSE36274, MOUSE36271
OG0000031	XENTR09425	MOUSE22339, MOUSE22337, MOUSE22338
OG0000032	XENTR06599	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	XENTR18392	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903
OG0000032	XENTR18393	MOUSE41905, MOUSE41904
OG0000032	XENTR06098	MOUSE52411, MOUSE52410
OG0000032	XENTR03124	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	XENTR17016	MOUSE29123
OG0000032	XENTR03433	MOUSE23164
OG0000034	XENTR14967	MOUSE46353, MOUSE46347
OG0000034	XENTR08246	MOUSE37608
OG0000034	XENTR04943	MOUSE04537
OG0000034	XENTR11418, XENTR11419	MOUSE43921
OG0000034	XENTR10883	MOUSE45737
OG0000034	XENTR07417	MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	XENTR01252	MOUSE23594
OG0000034	XENTR11199, XENTR07072	MOUSE02137
OG0000034	XENTR12065	MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	XENTR15456	MOUSE19105
OG0000034	XENTR10156	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	XENTR16254	MOUSE11491, MOUSE11490
OG0000034	XENTR08340	MOUSE20059
OG0000035	XENTR05239	MOUSE02570, MOUSE02571
OG0000035	XENTR05317	MOUSE51376, MOUSE51375
OG0000035	XENTR05866, XENTR05867	MOUSE51377
OG0000035	XENTR07648	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	XENTR17453	MOUSE31138
OG0000035	XENTR07651	MOUSE47097
OG0000035	XENTR11799	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	XENTR11499	MOUSE02196, MOUSE02197
OG0000035	XENTR11381, XENTR11382	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974
OG0000035	XENTR12076	MOUSE47243, MOUSE47244, MOUSE47242
OG0000035	XENTR01605	MOUSE41507
OG0000035	XENTR09858	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	XENTR13293, XENTR09857	MOUSE27104
OG0000036	XENTR16945	MOUSE12248
OG0000036	XENTR13571	MOUSE49436
OG0000036	XENTR07761	MOUSE49768
OG0000036	XENTR12415	MOUSE12301
OG0000036	XENTR07272	MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	XENTR01038	MOUSE29724, MOUSE29725
OG0000036	XENTR16237, XENTR16236	MOUSE32123
OG0000036	XENTR05174	MOUSE06658, MOUSE06659
OG0000036	XENTR07278	MOUSE43723
OG0000037	XENTR16595	MOUSE10993, MOUSE10994
OG0000037	XENTR17072	MOUSE10992
OG0000037	XENTR05552	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745
OG0000037	XENTR03023	MOUSE07837, MOUSE07836, MOUSE07835
OG0000037	XENTR14114	MOUSE20306
OG0000037	XENTR16580	MOUSE49952, MOUSE49951
OG0000037	XENTR14770	MOUSE43378
OG0000037	XENTR10865	MOUSE28645, MOUSE28646
OG0000037	XENTR10696	MOUSE13720, MOUSE35631
OG0000037	XENTR18131	MOUSE21441
OG0000038	XENTR06225	MOUSE14647
OG0000038	XENTR06223	MOUSE14644
OG0000038	XENTR06224	MOUSE14645
OG0000038	XENTR04206	MOUSE22591, MOUSE22592
OG0000038	XENTR16650	MOUSE41278
OG0000039	XENTR03946	MOUSE24093
OG0000039	XENTR03945	MOUSE24090, MOUSE24089, MOUSE24092, MOUSE24091
OG0000039	XENTR17227	MOUSE32704
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000040	XENTR14058	MOUSE39434, MOUSE39435, MOUSE39433
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	XENTR16713	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964
OG0000041	XENTR17286	MOUSE44347, MOUSE44348
OG0000041	XENTR13662	MOUSE02172, MOUSE02171, MOUSE02173
OG0000041	XENTR02569	MOUSE31152
OG0000041	XENTR12683	MOUSE44196
OG0000041	XENTR11379	MOUSE31142
OG0000041	XENTR11378	MOUSE31141
OG0000041	XENTR01609	MOUSE41518
OG0000041	XENTR11377	MOUSE31140
OG0000041	XENTR01610	MOUSE41519
OG0000041	XENTR10042	MOUSE27266
OG0000041	XENTR03001	MOUSE28829
OG0000041	XENTR09331	MOUSE21621
OG0000041	XENTR13929	MOUSE06756
OG0000041	XENTR05159	MOUSE06702
OG0000041	XENTR10869	MOUSE28657
OG0000042	XENTR01504	MOUSE15999
OG0000042	XENTR14467, XENTR14468, XENTR15648, XENTR15649, XENTR17040, XENTR14343, XENTR15647, XENTR14466	MOUSE51169, MOUSE51168, MOUSE51170, MOUSE51172
OG0000042	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424	MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451
OG0000043	XENTR06023, XENTR06022	MOUSE50973
OG0000043	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814
OG0000044	XENTR08740	MOUSE09513
OG0000044	XENTR08871	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857
OG0000044	XENTR02238	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857
OG0000044	XENTR13100	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	XENTR05498	MOUSE36519
OG0000044	XENTR01628	MOUSE03349
OG0000044	XENTR04385	MOUSE38808, MOUSE38809
OG0000044	XENTR04387	MOUSE38798
OG0000044	XENTR04256	MOUSE41161, MOUSE41162
OG0000045	XENTR14513	MOUSE25340, MOUSE25339, MOUSE25341
OG0000045	XENTR06990	MOUSE20735
OG0000046	XENTR04959	MOUSE48114, MOUSE48113
OG0000046	XENTR03550, XENTR03551	MOUSE30090
OG0000046	XENTR11781, XENTR11780	MOUSE36275, MOUSE36276
OG0000046	XENTR08235, XENTR05674	MOUSE54722
OG0000046	XENTR16277	MOUSE34003
OG0000048	XENTR03701	MOUSE55730
OG0000048	XENTR11111	MOUSE04650, MOUSE04652
OG0000048	XENTR04117	MOUSE42201, MOUSE42202
OG0000048	XENTR05160	MOUSE06701
OG0000049	XENTR00212	MOUSE00124, MOUSE00123
OG0000049	XENTR08482	MOUSE44987, MOUSE44986
OG0000049	XENTR07031	MOUSE52606, MOUSE52607, MOUSE52608
OG0000049	XENTR06401	MOUSE35311
OG0000049	XENTR18684	MOUSE03391
OG0000049	XENTR07961	MOUSE40910, MOUSE40909
OG0000049	XENTR07960	MOUSE39155
OG0000051	XENTR08842	MOUSE40003
OG0000053	XENTR00094	MOUSE33288
OG0000054	XENTR04962, XENTR04961	MOUSE48109
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534
OG0000054	XENTR11898, XENTR11899, XENTR11900	MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433
OG0000055	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084	MOUSE08913, MOUSE08852, MOUSE08839, MOUSE08834, MOUSE08820, MOUSE08827, MOUSE08840, MOUSE03681, MOUSE08929, MOUSE08849, MOUSE30823, MOUSE08833, MOUSE08832, MOUSE08831, MOUSE08906, MOUSE08823, MOUSE08917, MOUSE08912, MOUSE08920, MOUSE30831
