Orthogroup	XENTR	DANRE
OG0000002	XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	DANRE07411, DANRE07410
OG0000002	XENTR16022	DANRE38244, DANRE38242, DANRE38243
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826, DANRE28828, DANRE28827
OG0000002	XENTR17667	DANRE23574
OG0000004	XENTR16872, XENTR15834	DANRE17331
OG0000004	XENTR04878	DANRE15804, DANRE15805
OG0000004	XENTR07289, XENTR07290	DANRE05052, DANRE05051, DANRE04104, DANRE04103
OG0000004	XENTR07824, XENTR07823	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045
OG0000004	XENTR18497	DANRE30832
OG0000004	XENTR04025, XENTR04024	DANRE33319
OG0000005	XENTR05002, XENTR05003	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	XENTR09492, XENTR09491	DANRE20012, DANRE20011, DANRE20010
OG0000005	XENTR09477	DANRE20517, DANRE20518
OG0000005	XENTR17068	DANRE17265, DANRE14948, DANRE27010, DANRE24204
OG0000005	XENTR04106	DANRE18558
OG0000005	XENTR09142	DANRE18161
OG0000005	XENTR09568	DANRE11160
OG0000006	XENTR06019	DANRE02891
OG0000006	XENTR00026	DANRE35529, DANRE26614, DANRE26613
OG0000006	XENTR03474, XENTR03473	DANRE06496, DANRE06495
OG0000006	XENTR14730	DANRE08940
OG0000006	XENTR03090	DANRE07561, DANRE07562
OG0000006	XENTR09060	DANRE42479, DANRE42480
OG0000006	XENTR03954	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	XENTR03689	DANRE20396, DANRE24336
OG0000006	XENTR00399	DANRE12604
OG0000006	XENTR09859	DANRE38227, DANRE13192, DANRE13191
OG0000006	XENTR09947	DANRE11213, DANRE11212
OG0000006	XENTR11692	DANRE11601
OG0000006	XENTR11329	DANRE30064, DANRE15483
OG0000006	XENTR15046	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	XENTR13548	DANRE05395
OG0000006	XENTR15729	DANRE20981, DANRE28318
OG0000006	XENTR08627	DANRE19321
OG0000006	XENTR04854	DANRE07087, DANRE07088
OG0000006	XENTR07280	DANRE04631, DANRE04632
OG0000006	XENTR07527	DANRE20580
OG0000006	XENTR07719	DANRE11156
OG0000006	XENTR12339	DANRE08961
OG0000006	XENTR03854	DANRE11849
OG0000006	XENTR16538, XENTR16537, XENTR09455	DANRE35252
OG0000007	XENTR04989	DANRE26275
OG0000007	XENTR07641	DANRE17982
OG0000007	XENTR10435	DANRE38320, DANRE26009
OG0000007	XENTR08906	DANRE11787, DANRE11788
OG0000007	XENTR06676	DANRE10909, DANRE10908
OG0000007	XENTR07000, XENTR07001	DANRE40583
OG0000007	XENTR00358	DANRE36378
OG0000007	XENTR05826	DANRE34325
OG0000007	XENTR00041	DANRE40143
OG0000007	XENTR08678	DANRE16014, DANRE16015
OG0000007	XENTR00040	DANRE40142
OG0000007	XENTR10333	DANRE07035, DANRE20085
OG0000007	XENTR09768, XENTR09769	DANRE04871
OG0000007	XENTR02009	DANRE04210
OG0000007	XENTR03222	DANRE07751, DANRE07750
OG0000007	XENTR07642	DANRE12664
OG0000007	XENTR11347, XENTR18406	DANRE03447
OG0000007	XENTR04991	DANRE26278, DANRE26279, DANRE17980, DANRE17979
OG0000007	XENTR04990	DANRE26277
OG0000007	XENTR05942	DANRE12992, DANRE12991
OG0000007	XENTR09461	DANRE08320
OG0000007	XENTR01137	DANRE33659
OG0000007	XENTR03031	DANRE11123
OG0000007	XENTR06562	DANRE03760, DANRE05908
OG0000007	XENTR16583	DANRE03038, DANRE28801
OG0000007	XENTR07405	DANRE30495
OG0000007	XENTR01816	DANRE03657, DANRE03658
OG0000007	XENTR09232	DANRE02453
OG0000007	XENTR15271	DANRE09326, DANRE09325
OG0000008	XENTR11531, XENTR11530	DANRE27059
OG0000008	XENTR00356	DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	XENTR07747	DANRE34310
OG0000008	XENTR00105	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	XENTR02826	DANRE36653
OG0000008	XENTR02855	DANRE31436
OG0000008	XENTR14482	DANRE41005, DANRE41006
OG0000008	XENTR08824	DANRE00802
OG0000008	XENTR15536	DANRE18586
OG0000010	XENTR03796, XENTR03794, XENTR03795, XENTR03797	DANRE21116, DANRE21115, DANRE21125, DANRE21126, DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136
OG0000010	XENTR17402, XENTR17403, XENTR17056, XENTR19172	DANRE40235, DANRE40234, DANRE40232, DANRE40233
OG0000010	XENTR19048	DANRE21135
OG0000010	XENTR06633	DANRE38562, DANRE38564, DANRE38563
OG0000010	XENTR13805	DANRE21309, DANRE21308
OG0000010	XENTR02618	DANRE34456, DANRE07824
OG0000010	XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	DANRE29658, DANRE03180, DANRE03179, DANRE29163, DANRE29161, DANRE29162, DANRE03165, DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000010	XENTR15256, XENTR18623, XENTR15257, XENTR19183, XENTR15255, XENTR15237, XENTR11415, XENTR11414, XENTR18631, XENTR16282, XENTR15239, XENTR15238	DANRE09723, DANRE09722, DANRE13204, DANRE13205
OG0000010	XENTR18247, XENTR18250, XENTR18923, XENTR18245, XENTR18246, XENTR18248	DANRE09716, DANRE09718, DANRE09717
OG0000010	XENTR18249	DANRE09779, DANRE09778
OG0000011	XENTR06336, XENTR06335	DANRE34035, DANRE34036
OG0000012	XENTR13810	DANRE38177, DANRE38176
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	DANRE12655, DANRE12656, DANRE12659
OG0000013	XENTR04875	DANRE15807
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568, DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657
OG0000013	XENTR08287, XENTR08288	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364, DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463
OG0000013	XENTR11527	DANRE24713, DANRE39935, DANRE39936, DANRE00714, DANRE37989, DANRE12210, DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494, DANRE25903, DANRE25904, DANRE25905, DANRE13233, DANRE13234, DANRE13231, DANRE13232, DANRE13235, DANRE00838
OG0000014	XENTR12243	DANRE37898
OG0000014	XENTR01230	DANRE40509, DANRE36844
OG0000014	XENTR14320	DANRE43146
OG0000014	XENTR11284	DANRE22544
OG0000014	XENTR09795	DANRE29858, DANRE04027
OG0000014	XENTR13716	DANRE30100, DANRE03816
OG0000014	XENTR09521	DANRE11299, DANRE03520
OG0000014	XENTR18803, XENTR09297	DANRE11197, DANRE03296
OG0000014	XENTR09147	DANRE17251
OG0000014	XENTR00681	DANRE43403
OG0000014	XENTR14500	DANRE03675, DANRE03674, DANRE43177, DANRE29871
OG0000015	XENTR05642	DANRE15829, DANRE07077
OG0000015	XENTR10336, XENTR08668	DANRE07037, DANRE07036, DANRE03906, DANRE05961
OG0000015	XENTR08442	DANRE41277, DANRE41276
OG0000015	XENTR15573	DANRE06610
OG0000015	XENTR12597	DANRE20233, DANRE20234
OG0000015	XENTR03461	DANRE04836, DANRE04835
OG0000015	XENTR14250	DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306
OG0000015	XENTR15058	DANRE17304, DANRE17305
OG0000015	XENTR02840	DANRE24410, DANRE01122, DANRE24409
OG0000015	XENTR16072	DANRE20436, DANRE20437, DANRE20438
OG0000015	XENTR03462	DANRE04832, DANRE04831
OG0000015	XENTR16073	DANRE20439, DANRE20441, DANRE20440
OG0000015	XENTR12596	DANRE20520
OG0000015	XENTR00414	DANRE36517, DANRE36516
OG0000015	XENTR17914	DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000015	XENTR13566	DANRE42903, DANRE42902
OG0000015	XENTR03288	DANRE16271
OG0000015	XENTR15069	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	XENTR10586	DANRE06628, DANRE06627
OG0000016	XENTR06233	DANRE13366
OG0000016	XENTR01362	DANRE29900
OG0000016	XENTR01363	DANRE29901, DANRE29903, DANRE29904, DANRE35774
OG0000016	XENTR07382	DANRE03065, DANRE03064
OG0000016	XENTR09539, XENTR00630	DANRE04448
OG0000016	XENTR12717	DANRE35611
OG0000016	XENTR17802	DANRE02012
OG0000016	XENTR18390	DANRE13449, DANRE13448
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	DANRE31993, DANRE10860, DANRE34666, DANRE28525, DANRE06532, DANRE42745, DANRE25935, DANRE41823, DANRE28532, DANRE32198, DANRE23599, DANRE04161, DANRE11286, DANRE13094
OG0000018	XENTR19110, XENTR19228, XENTR16288, XENTR15347, XENTR15469	DANRE13954, DANRE13946
OG0000019	XENTR14707	DANRE29946, DANRE21114
OG0000019	XENTR07225	DANRE39715
OG0000019	XENTR02749	DANRE29948
OG0000019	XENTR04194	DANRE41684, DANRE41682, DANRE41683, DANRE35868, DANRE35867, DANRE35869
OG0000020	XENTR09200	DANRE03458
OG0000020	XENTR18565	DANRE10827, DANRE10826, DANRE10743
OG0000020	XENTR14576	DANRE10670
OG0000020	XENTR13299	DANRE40536
OG0000020	XENTR15741	DANRE14742, DANRE09733
OG0000020	XENTR07596	DANRE18650, DANRE10748
OG0000020	XENTR04090	DANRE23011
OG0000020	XENTR05411	DANRE42755
OG0000020	XENTR03248	DANRE24424, DANRE24423, DANRE27995
OG0000020	XENTR03249	DANRE27624, DANRE27625
OG0000020	XENTR04697	DANRE27431, DANRE27432, DANRE27433
OG0000020	XENTR07864	DANRE06741, DANRE06740
OG0000020	XENTR11783	DANRE15747
OG0000020	XENTR08063	DANRE22958, DANRE22959
OG0000020	XENTR05660	DANRE15816
OG0000020	XENTR15846	DANRE18984
OG0000020	XENTR15636	DANRE27379
OG0000021	XENTR17791	DANRE01661, DANRE22424
OG0000021	XENTR16377	DANRE31606, DANRE31605
OG0000021	XENTR06809	DANRE39795, DANRE39796
OG0000021	XENTR02794	DANRE22480
OG0000021	XENTR11123	DANRE39722, DANRE22090
OG0000021	XENTR16378	DANRE24996, DANRE01663, DANRE01662
OG0000021	XENTR12641	DANRE38577
OG0000021	XENTR02936	DANRE08977, DANRE08978, DANRE08976
OG0000021	XENTR18096	DANRE08348
OG0000021	XENTR01150	DANRE33679
OG0000021	XENTR13705	DANRE37717
OG0000021	XENTR13394, XENTR13393	DANRE02277
OG0000021	XENTR00007	DANRE27401, DANRE27403, DANRE27400
OG0000021	XENTR13780, XENTR17333	DANRE20108
OG0000022	XENTR19208	DANRE32595, DANRE32643, DANRE32266, DANRE32139, DANRE32913, DANRE07501, DANRE32247, DANRE32031, DANRE32168, DANRE31831, DANRE32169, DANRE31802, DANRE31801, DANRE32692, DANRE32691, DANRE32397, DANRE32360, DANRE32103, DANRE32104, DANRE32300, DANRE32030, DANRE32357, DANRE32680, DANRE31927, DANRE31809, DANRE31719, DANRE43117, DANRE28751, DANRE31750, DANRE31856, DANRE32234, DANRE32804, DANRE32232, DANRE32805, DANRE32437, DANRE31887, DANRE32342, DANRE31900, DANRE32476, DANRE32341, DANRE42966, DANRE32418, DANRE32417, DANRE32334, DANRE31859, DANRE32758, DANRE32203, DANRE32157, DANRE32732, DANRE32152, DANRE32521, DANRE18755, DANRE31860, DANRE32219, DANRE43136, DANRE32065, DANRE32052, DANRE32053, DANRE32441, DANRE32590, DANRE18756, DANRE31650, DANRE32265, DANRE32576, DANRE32577, DANRE32361, DANRE32529, DANRE32427, DANRE31840, DANRE32119, DANRE32118, DANRE31950, DANRE32338, DANRE32654, DANRE31929, DANRE42991, DANRE32346, DANRE42977, DANRE31838, DANRE32616, DANRE31775, DANRE32816, DANRE43000, DANRE31933, DANRE32448, DANRE32447, DANRE32063, DANRE32733, DANRE32697, DANRE32698, DANRE32484, DANRE32790, DANRE32025, DANRE32573, DANRE32574, DANRE32570, DANRE31988, DANRE32821, DANRE31873, DANRE31696, DANRE42997, DANRE42956, DANRE32439, DANRE32740, DANRE31971, DANRE31972, DANRE18754, DANRE18753, DANRE32659, DANRE32658, DANRE32127, DANRE32128, DANRE31970, DANRE31676, DANRE31795, DANRE32586, DANRE32743, DANRE32385, DANRE32036, DANRE32446, DANRE32479, DANRE32204, DANRE32331, DANRE32539, DANRE31978, DANRE31658, DANRE32012, DANRE32560, DANRE32497, DANRE32416, DANRE32227, DANRE32228, DANRE31694, DANRE42996, DANRE32172, DANRE32301, DANRE32514, DANRE32530, DANRE31855, DANRE32205, DANRE32690, DANRE32316, DANRE32171, DANRE32741, DANRE32742, DANRE32757, DANRE32290, DANRE32170, DANRE32291, DANRE32784, DANRE31857, DANRE31858, DANRE32787, DANRE32425, DANRE32215, DANRE31995, DANRE32238, DANRE32117, DANRE43020, DANRE32483, DANRE32482, DANRE43138, DANRE32502, DANRE32426, DANRE32532, DANRE32531, DANRE31932, DANRE43094, DANRE32594, DANRE32606, DANRE32807, DANRE32404, DANRE31674
OG0000022	XENTR13499	DANRE32187
OG0000023	XENTR00841	DANRE19492, DANRE40604
OG0000023	XENTR15918	DANRE27752, DANRE38057
OG0000023	XENTR00481	DANRE39283, DANRE25540
OG0000023	XENTR16829	DANRE36925
OG0000023	XENTR12543	DANRE26382, DANRE26381
OG0000023	XENTR17774	DANRE29650, DANRE29649, DANRE03181
OG0000023	XENTR00784	DANRE19476, DANRE19477
OG0000023	XENTR04037	DANRE07548, DANRE07547
OG0000023	XENTR05209, XENTR05210	DANRE01757
OG0000023	XENTR05767, XENTR05768	DANRE01251
OG0000023	XENTR05773	DANRE08271, DANRE08272, DANRE08270, DANRE08269
OG0000023	XENTR05777	DANRE01246
OG0000023	XENTR05778	DANRE08566, DANRE08567
OG0000023	XENTR12643	DANRE38580
OG0000023	XENTR01709, XENTR01708	DANRE40368
OG0000026	XENTR07244	DANRE42258
OG0000026	XENTR03079	DANRE07529
OG0000027	XENTR03739	DANRE39144
OG0000027	XENTR10928, XENTR05419, XENTR05696, XENTR05695	DANRE10366, DANRE03058, DANRE03059, DANRE03061
OG0000027	XENTR11166, XENTR14623	DANRE29465
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288	DANRE03471, DANRE22990, DANRE22989
OG0000027	XENTR11639, XENTR18028, XENTR18027, XENTR18029	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	DANRE02909
OG0000028	XENTR03481	DANRE06013
OG0000028	XENTR17263	DANRE08736, DANRE08737, DANRE20375
OG0000028	XENTR18279	DANRE07176, DANRE07177, DANRE15857, DANRE15856, DANRE09600, DANRE09601
OG0000028	XENTR05325	DANRE13468
OG0000028	XENTR05326	DANRE13469, DANRE13470
OG0000028	XENTR17548	DANRE15855
OG0000028	XENTR15539	DANRE10772, DANRE17755, DANRE17756
OG0000028	XENTR18293	DANRE02083
OG0000028	XENTR17549	DANRE07180, DANRE07179, DANRE15853
OG0000028	XENTR05379, XENTR05378	DANRE35763
OG0000028	XENTR10277	DANRE39088, DANRE39089, DANRE24974
OG0000028	XENTR06737	DANRE15851, DANRE15850
OG0000029	XENTR07438, XENTR16899	DANRE39912, DANRE39910, DANRE39911, DANRE39909
OG0000029	XENTR09562	DANRE12668, DANRE12669
OG0000029	XENTR10017	DANRE40256
OG0000029	XENTR09646	DANRE22155
OG0000029	XENTR13058	DANRE11325, DANRE16818, DANRE16817
OG0000029	XENTR12335	DANRE13326
OG0000029	XENTR11755	DANRE41268, DANRE41269
OG0000029	XENTR10534	DANRE26531, DANRE01944
OG0000029	XENTR08766	DANRE42782
OG0000029	XENTR01288	DANRE21814
OG0000029	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	XENTR08639	DANRE34589, DANRE34588
OG0000030	XENTR18219	DANRE14546, DANRE09884, DANRE09883
OG0000030	XENTR14281	DANRE08390, DANRE08389
OG0000030	XENTR00656	DANRE38993
OG0000030	XENTR05598	DANRE03619
OG0000030	XENTR12816	DANRE03978
OG0000031	XENTR12583	DANRE20274, DANRE20275, DANRE20273
OG0000031	XENTR05405	DANRE41496
OG0000031	XENTR03766	DANRE23155
OG0000031	XENTR08553	DANRE37079
OG0000031	XENTR05384	DANRE41454
OG0000031	XENTR03164	DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	XENTR10836	DANRE17238
OG0000031	XENTR03163	DANRE13622, DANRE13623
OG0000031	XENTR09319	DANRE26019
OG0000031	XENTR06988	DANRE33954
OG0000031	XENTR00229	DANRE11621
OG0000031	XENTR02595	DANRE02768
OG0000031	XENTR12584	DANRE20276
OG0000031	XENTR00918	DANRE16190, DANRE42316
OG0000031	XENTR00006	DANRE27399
OG0000031	XENTR16792	DANRE21472, DANRE14252
OG0000031	XENTR11778	DANRE15746
OG0000031	XENTR09425	DANRE42215, DANRE15380, DANRE42216
OG0000032	XENTR06599	DANRE24196, DANRE27892, DANRE27891
OG0000032	XENTR18392	DANRE30726, DANRE30725
OG0000032	XENTR18393	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201
OG0000032	XENTR06098	DANRE36261
OG0000032	XENTR03124	DANRE12884, DANRE39037
OG0000032	XENTR17016	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	XENTR14967	DANRE28945, DANRE28944
OG0000034	XENTR08246	DANRE00143, DANRE39455
OG0000034	XENTR04943	DANRE35041
OG0000034	XENTR11418, XENTR11419	DANRE29516, DANRE29515
OG0000034	XENTR10883	DANRE12957, DANRE25460
OG0000034	XENTR07417	DANRE31029, DANRE31030, DANRE23009, DANRE23010, DANRE02357
OG0000034	XENTR01252	DANRE37022, DANRE22465
OG0000034	XENTR11199, XENTR07072	DANRE31461, DANRE31460, DANRE12388, DANRE12387
OG0000034	XENTR12065	DANRE25947
OG0000034	XENTR15456	DANRE38036
OG0000034	XENTR10156	DANRE37614, DANRE37615, DANRE25091, DANRE25092, DANRE37613
OG0000034	XENTR16254	DANRE04100
OG0000034	XENTR08340	DANRE25182
OG0000035	XENTR05239	DANRE23313
OG0000035	XENTR05079	DANRE40563
OG0000035	XENTR05317	DANRE38347, DANRE12928, DANRE12929
OG0000035	XENTR05866, XENTR05867	DANRE27654
OG0000035	XENTR07648	DANRE25078, DANRE12998, DANRE12997
OG0000035	XENTR14129	DANRE29644, DANRE29645
OG0000035	XENTR07651	DANRE13480, DANRE13479
OG0000035	XENTR11799	DANRE12467, DANRE12466, DANRE30988
OG0000035	XENTR11381, XENTR11382	DANRE36852, DANRE22281
OG0000035	XENTR12076	DANRE12942, DANRE38472
OG0000035	XENTR01605	DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758
OG0000035	XENTR09858	DANRE12947, DANRE38221
OG0000035	XENTR13293, XENTR09857	DANRE38222, DANRE38223, DANRE12948
OG0000036	XENTR16945	DANRE37867
OG0000036	XENTR13571	DANRE38271
OG0000036	XENTR07761	DANRE25335
OG0000036	XENTR12415	DANRE27775, DANRE38068
OG0000036	XENTR07272	DANRE26145, DANRE38623
OG0000036	XENTR01038	DANRE07186
OG0000036	XENTR15969	DANRE30853
OG0000036	XENTR05174	DANRE11991
OG0000036	XENTR07278	DANRE38630
OG0000037	XENTR17072	DANRE11959, DANRE17549, DANRE11958
OG0000037	XENTR05552	DANRE11635, DANRE11634, DANRE17282
OG0000037	XENTR03023	DANRE17582, DANRE10717, DANRE10716
OG0000037	XENTR14114	DANRE06286, DANRE06287
OG0000037	XENTR16580	DANRE03950, DANRE03951, DANRE05592, DANRE05591
OG0000037	XENTR14770	DANRE13383
OG0000037	XENTR10865	DANRE22289, DANRE22290
OG0000037	XENTR10696	DANRE13745, DANRE11904, DANRE17607
OG0000037	XENTR18131	DANRE11315
OG0000038	XENTR18690, XENTR00755, XENTR00754	DANRE04612
OG0000038	XENTR06225	DANRE23404, DANRE23403
OG0000038	XENTR06224	DANRE23402
OG0000038	XENTR13297	DANRE40533
OG0000038	XENTR04197, XENTR04200	DANRE23401
OG0000038	XENTR04205	DANRE41584
OG0000038	XENTR04206	DANRE15348
OG0000039	XENTR03946	DANRE18250, DANRE18249
OG0000039	XENTR03945	DANRE18251
OG0000039	XENTR17227	DANRE38069, DANRE38070
OG0000039	XENTR17697	DANRE09344
OG0000040	XENTR14058	DANRE12493, DANRE12492
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	DANRE30032, DANRE30031, DANRE30033, DANRE30029, DANRE30030, DANRE30035, DANRE30034, DANRE17230
OG0000041	XENTR14135	DANRE24726
OG0000041	XENTR16713	DANRE24718
OG0000041	XENTR17286	DANRE38473, DANRE38474, DANRE38475, DANRE25228
OG0000041	XENTR13662	DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700
OG0000041	XENTR02569	DANRE40396, DANRE40397
OG0000041	XENTR11378	DANRE36857, DANRE22432
OG0000041	XENTR01609	DANRE25655, DANRE33053
OG0000041	XENTR11377	DANRE36856
OG0000041	XENTR01610	DANRE25654, DANRE43342
OG0000041	XENTR10042	DANRE38441
OG0000041	XENTR03001	DANRE36805
OG0000041	XENTR09331	DANRE27215, DANRE24076
OG0000041	XENTR13929	DANRE05493, DANRE05492, DANRE18224
OG0000041	XENTR05159	DANRE05473
OG0000041	XENTR10869	DANRE36043
OG0000042	XENTR01504	DANRE42454, DANRE42453, DANRE42455
OG0000042	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424	DANRE08533, DANRE08529, DANRE08530, DANRE08535, DANRE08531, DANRE08532, DANRE08528, DANRE08534, DANRE08536, DANRE23872, DANRE23873, DANRE23870, DANRE23868, DANRE23869, DANRE23871, DANRE23875, DANRE23874
OG0000043	XENTR06023, XENTR06022	DANRE34152
OG0000043	XENTR15011	DANRE37439, DANRE26092, DANRE39503, DANRE26159, DANRE37409, DANRE26051, DANRE26163, DANRE26169, DANRE26151, DANRE26095, DANRE26087, DANRE26064, DANRE26052, DANRE26099, DANRE37454, DANRE26078, DANRE37464, DANRE37436, DANRE37400, DANRE26085, DANRE39508, DANRE39495, DANRE26174, DANRE26166, DANRE37432, DANRE37396, DANRE37457, DANRE37467, DANRE37447, DANRE37451, DANRE37448, DANRE37433, DANRE37458, DANRE37440, DANRE37415, DANRE37395
OG0000043	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	DANRE00964
OG0000043	XENTR13561, XENTR13559	DANRE43265
OG0000044	XENTR08740	DANRE20253, DANRE20252
OG0000044	XENTR08871	DANRE04869, DANRE04868, DANRE04870
OG0000044	XENTR02238	DANRE01471, DANRE01470, DANRE41195, DANRE41197, DANRE41200, DANRE41196, DANRE41199
