Orthogroup	XENTR	DROME
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	XENTR10865, XENTR10696	DROME13887, DROME14759, DROME14760
OG0000037	XENTR18131	DROME08695, DROME15640, DROME04516
OG0000038	XENTR04206	DROME13993
OG0000039	XENTR17697	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	XENTR14058, XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	XENTR14135	DROME01788, DROME01789
OG0000041	XENTR03001, XENTR09331	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	XENTR04256	DROME03638
OG0000048	XENTR03701	DROME07309
OG0000048	XENTR18412	DROME15626, DROME15625
OG0000048	XENTR04117	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000049	XENTR07960	DROME18357, DROME18359, DROME18358
OG0000051	XENTR08842	DROME06654, DROME06655
OG0000054	XENTR04962, XENTR04961	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900	DROME21992
OG0000055	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	XENTR11839	DROME14598
OG0000058	XENTR16040, XENTR02416, XENTR06707	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000061	XENTR00116, XENTR05367	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	XENTR10609, XENTR10747	DROME05579, DROME05580, DROME06033
OG0000062	XENTR09512	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	XENTR10234, XENTR04709, XENTR00319	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	XENTR11311	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000063	XENTR01303	DROME10983, DROME10982
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	DROME22058
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	DROME18366, DROME18368, DROME18367
OG0000069	XENTR15529	DROME03713
OG0000069	XENTR18834	DROME03778
OG0000069	XENTR16269	DROME19859, DROME00928
OG0000070	XENTR15503, XENTR11143, XENTR02048	DROME04028, DROME04029, DROME06783
OG0000072	XENTR15041, XENTR13953	DROME12247, DROME12248
OG0000072	XENTR03548, XENTR18546	DROME00154
OG0000072	XENTR01057	DROME00750
OG0000074	XENTR10798, XENTR10797, XENTR11114	DROME03014
OG0000075	XENTR04178	DROME01374
OG0000075	XENTR06215	DROME01373
OG0000075	XENTR04179, XENTR06216	DROME01375
OG0000075	XENTR06816, XENTR17547, XENTR16124	DROME04883, DROME04882
OG0000077	XENTR01904, XENTR08754, XENTR13403	DROME15696, DROME15698, DROME15697
OG0000077	XENTR07875, XENTR00642, XENTR04757	DROME07079, DROME07077, DROME07078
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	DROME14752
OG0000079	XENTR08294, XENTR08293, XENTR03649	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	XENTR01194	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	XENTR15371	DROME01298
OG0000082	XENTR16096	DROME20298
OG0000082	XENTR01624, XENTR01625	DROME05998
OG0000082	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628	DROME11174, DROME11173, DROME15008
OG0000083	XENTR04370, XENTR12084, XENTR05647	DROME17112
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	XENTR05567, XENTR06450	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	XENTR04052, XENTR12507	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	XENTR15005	DROME00999, DROME00998, DROME01000
OG0000085	XENTR00809	DROME19740
OG0000085	XENTR12352, XENTR12351	DROME10832, DROME10831
OG0000087	XENTR17246	DROME22088
OG0000087	XENTR06736	DROME21450
OG0000087	XENTR10385	DROME03097
OG0000087	XENTR06016	DROME08842
OG0000087	XENTR00988, XENTR18799, XENTR00376	DROME09495
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	DROME01198, DROME01197
OG0000090	XENTR11768	DROME02752
OG0000090	XENTR06545	DROME16241, DROME16240, DROME16239
OG0000091	XENTR08624	DROME20804
OG0000094	XENTR15752, XENTR10717, XENTR18065, XENTR15146	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	XENTR09915, XENTR14788, XENTR17591	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	XENTR02028, XENTR07076, XENTR03113	DROME08195, DROME08196
OG0000096	XENTR02339, XENTR11518	DROME08870
OG0000096	XENTR01880	DROME13163
OG0000096	XENTR18613	DROME06400
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	DROME13915
OG0000096	XENTR16018, XENTR14119	DROME09341
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	XENTR05643, XENTR00672, XENTR05782, XENTR15897, XENTR15898	DROME10335, DROME10334, DROME09743
OG0000099	XENTR16324, XENTR11719, XENTR12540	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000101	XENTR10544, XENTR10545	DROME05458
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	XENTR05699, XENTR11871	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	XENTR03188, XENTR10251	DROME16895, DROME16894
OG0000104	XENTR17538, XENTR11872, XENTR05698	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	XENTR07142	DROME17321, DROME17322
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	DROME02609
OG0000106	XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000111	XENTR01487, XENTR04814, XENTR07587, XENTR06674, XENTR09084, XENTR13395, XENTR18141, XENTR04629, XENTR12868, XENTR04110, XENTR04628, XENTR18140	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	DROME04013, DROME04512, DROME04513
OG0000116	XENTR12530	DROME05231
OG0000119	XENTR05393, XENTR05242, XENTR06871	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	DROME21220, DROME21219
OG0000119	XENTR01125, XENTR14071	DROME06207, DROME06208, DROME08017, DROME06209
OG0000121	XENTR04902, XENTR18080	DROME17781, DROME08015
OG0000121	XENTR04905	DROME15292
OG0000122	XENTR06907, XENTR17281	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	XENTR05926	DROME17463
OG0000124	XENTR10247, XENTR00962, XENTR04813	DROME08713, DROME09900
OG0000124	XENTR09248, XENTR09249	DROME21734
OG0000125	XENTR14097, XENTR01739	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	XENTR05425	DROME04039, DROME04040, DROME04038
OG0000126	XENTR03459, XENTR13788, XENTR00416	DROME01805, DROME01804
OG0000126	XENTR02718, XENTR02062, XENTR09023	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	XENTR14632, XENTR03466	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	XENTR10923, XENTR12718	DROME11205, DROME11204
OG0000127	XENTR18212	DROME08158
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	DROME05986
OG0000127	XENTR01486, XENTR04784, XENTR07585	DROME18062
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055
OG0000130	XENTR08843, XENTR10120	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	XENTR10944	DROME18073, DROME18075, DROME18074
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	XENTR10224, XENTR10223, XENTR07681	DROME08254, DROME08253
OG0000142	XENTR08172	DROME07187
OG0000142	XENTR16130	DROME17530, DROME17531
OG0000147	XENTR03268, XENTR13018	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	XENTR02156, XENTR12287	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	XENTR01301, XENTR12003	DROME03466
OG0000147	XENTR00602, XENTR15311	DROME17452, DROME17451
OG0000148	XENTR10464, XENTR17112, XENTR02369, XENTR07951	DROME19762, DROME19761, DROME19763
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	DROME12939
OG0000149	XENTR01442, XENTR00579	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	XENTR04855	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	XENTR11406, XENTR12586	DROME12872, DROME12871
OG0000155	XENTR13673, XENTR05745, XENTR13672	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	XENTR09579, XENTR08086	DROME05618, DROME05617, DROME05616
OG0000157	XENTR02559, XENTR07059, XENTR00873, XENTR07056, XENTR07057, XENTR02846, XENTR02558	DROME09786
OG0000157	XENTR09559	DROME05150, DROME05149
OG0000158	XENTR17930, XENTR04115, XENTR04631	DROME06825, DROME06824
OG0000159	XENTR09386	DROME09571, DROME09570
OG0000160	XENTR00861, XENTR00862	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000162	XENTR08764	DROME21138, DROME21116
OG0000163	XENTR03897, XENTR06574, XENTR17419	DROME12520
OG0000163	XENTR06573, XENTR03895	DROME07955
OG0000163	XENTR10844, XENTR07114, XENTR03341	DROME19834, DROME00819
OG0000164	XENTR17370	DROME08486
OG0000167	XENTR11177	DROME09457, DROME09458
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725, XENTR00625, XENTR02065	DROME01783
OG0000171	XENTR11514	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	XENTR09537, XENTR13400, XENTR13399, XENTR05662	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	XENTR05272	DROME14415
OG0000173	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000174	XENTR05232	DROME10165, DROME11306
OG0000175	XENTR08289, XENTR15844	DROME19671, DROME02329, DROME16486, DROME16483
OG0000175	XENTR03000, XENTR09335, XENTR04649	DROME03593, DROME00840
OG0000179	XENTR01942	DROME11221, DROME21050
OG0000179	XENTR00560, XENTR12119	DROME07796
OG0000179	XENTR05649	DROME10428
OG0000180	XENTR01179	DROME12336
OG0000180	XENTR00269	DROME21739, DROME21740
OG0000180	XENTR14458, XENTR09734, XENTR04382, XENTR05909	DROME11922, DROME11921, DROME12780, DROME11368, DROME11367
OG0000181	XENTR06217, XENTR12611, XENTR02755	DROME12775
OG0000181	XENTR06005	DROME18397
OG0000181	XENTR09033, XENTR12669	DROME06226
OG0000183	XENTR02086, XENTR13524, XENTR16217	DROME07200, DROME07199, DROME07201, DROME07198, DROME07192, DROME07195, DROME07191, DROME07194, DROME07196, DROME07193
OG0000183	XENTR02643, XENTR17355, XENTR02630	DROME07008
OG0000185	XENTR03388	DROME20734, DROME20737, DROME20736, DROME20733, DROME20732, DROME20735
OG0000185	XENTR09757, XENTR04609	DROME12225, DROME12226
OG0000185	XENTR12734	DROME03791, DROME03792
OG0000188	XENTR02204, XENTR07576, XENTR05663	DROME16886, DROME16887
OG0000193	XENTR02648	DROME08054
OG0000195	XENTR11322, XENTR09909, XENTR17326	DROME10558, DROME10557, DROME10559, DROME09087
OG0000197	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201	DROME14335, DROME14334, DROME14336
OG0000198	XENTR01193, XENTR17668, XENTR11605, XENTR06767, XENTR06766, XENTR18054	DROME17687
OG0000200	XENTR00101, XENTR00252	DROME04138, DROME04137, DROME04136, DROME04135, DROME04133, DROME04134, DROME04139, DROME04140, DROME06874, DROME04143, DROME04206, DROME03566, DROME03565, DROME01582, DROME04144
OG0000201	XENTR16600, XENTR16601, XENTR04781	DROME11047
OG0000201	XENTR04564	DROME19450
OG0000201	XENTR12187, XENTR00868	DROME18513, DROME18512, DROME18511, DROME18514
OG0000202	XENTR10504, XENTR02700, XENTR02277, XENTR01975, XENTR01974, XENTR01976, XENTR01977, XENTR07918, XENTR13180, XENTR02012, XENTR17556	DROME14920, DROME14921
OG0000203	XENTR08192, XENTR07634	DROME04489
OG0000203	XENTR03226	DROME17201, DROME17204, DROME17194, DROME17195, DROME17203, DROME17199, DROME17193, DROME21480
OG0000204	XENTR01607, XENTR04482	DROME20315, DROME20314, DROME20316, DROME20317, DROME15810, DROME15809, DROME15807, DROME15808
OG0000204	XENTR04113, XENTR02352	DROME10849, DROME10848
OG0000205	XENTR12959, XENTR05519	DROME20772, DROME20771, DROME20775, DROME20777, DROME20773, DROME20774, DROME20776
OG0000205	XENTR16886, XENTR01752, XENTR14923	DROME06842, DROME06843
OG0000205	XENTR18445, XENTR10749, XENTR03131	DROME08187
OG0000207	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892	DROME06000
OG0000208	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993	DROME02132
OG0000210	XENTR04415	DROME14047, DROME11376
OG0000211	XENTR00605	DROME17290
OG0000220	XENTR12748, XENTR06465, XENTR14440, XENTR06734	DROME16094, DROME16093, DROME16092, DROME21087, DROME21089, DROME21088
OG0000222	XENTR18094, XENTR09636, XENTR09635	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000223	XENTR15744, XENTR02504, XENTR10692	DROME10256
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	DROME11929
OG0000226	XENTR11864	DROME14660
OG0000227	XENTR13632	DROME20242
OG0000227	XENTR06938	DROME06362, DROME06368, DROME06369, DROME06365
OG0000227	XENTR00522, XENTR04987	DROME04927, DROME04926
OG0000229	XENTR02900, XENTR07694	DROME04047
OG0000231	XENTR12600, XENTR00418, XENTR03456, XENTR16995	DROME06449, DROME06448
OG0000231	XENTR00474, XENTR12545	DROME07628, DROME07629
OG0000234	XENTR08092, XENTR06076, XENTR18346	DROME11138, DROME11135, DROME11141, DROME11133, DROME11139, DROME11144, DROME11137, DROME11134, DROME11136, DROME11140, DROME11145, DROME11132, DROME11143
OG0000234	XENTR00774, XENTR10873	DROME02357, DROME02356, DROME02359, DROME02355, DROME02358, DROME02367, DROME02366, DROME02368, DROME02364, DROME02365
OG0000235	XENTR08759	DROME11735
OG0000236	XENTR04703	DROME03355
OG0000238	XENTR01828	DROME01901, DROME01902
OG0000238	XENTR07222, XENTR07219, XENTR07220, XENTR07221, XENTR05205, XENTR15099, XENTR08204	DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358
OG0000239	XENTR02896, XENTR08392	DROME05270, DROME05269, DROME05271, DROME05268
OG0000239	XENTR09596	DROME19712, DROME19710, DROME19709, DROME19707, DROME19705, DROME19704, DROME19703, DROME19706, DROME19702, DROME19701, DROME19711, DROME19708
