Orthogroup	XENTR	NEMVE
OG0000004	XENTR07291	NEMVE06160, NEMVE08000, NEMVE05321, NEMVE08640, NEMVE06418, NEMVE11454, NEMVE02581, NEMVE08030, NEMVE12587, NEMVE00376, NEMVE05881, NEMVE09788, NEMVE10453, NEMVE03460
OG0000004	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024	NEMVE02378
OG0000005	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000006	XENTR06019	NEMVE10951
OG0000006	XENTR00026	NEMVE12700, NEMVE08468
OG0000006	XENTR03689	NEMVE10906
OG0000006	XENTR00399, XENTR09859	NEMVE21901
OG0000006	XENTR09947, XENTR11692	NEMVE02590
OG0000006	XENTR11329	NEMVE03392
OG0000006	XENTR15046	NEMVE16957
OG0000006	XENTR13548	NEMVE02351
OG0000006	XENTR15729, XENTR08627	NEMVE14647
OG0000006	XENTR04854, XENTR07280, XENTR07527	NEMVE04712
OG0000006	XENTR07719	NEMVE13538
OG0000006	XENTR12339, XENTR03854, XENTR12781	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	XENTR18680, XENTR15398	NEMVE06135, NEMVE02315, NEMVE06121, NEMVE12414, NEMVE22273, NEMVE03946
OG0000007	XENTR04989, XENTR07641	NEMVE15003
OG0000007	XENTR10435	NEMVE14764
OG0000007	XENTR12787, XENTR08906, XENTR06676	NEMVE13570
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	NEMVE06210
OG0000007	XENTR08678, XENTR00040	NEMVE02350, NEMVE21807
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	NEMVE09701, NEMVE03333
OG0000007	XENTR03222	NEMVE03816
OG0000007	XENTR11347, XENTR18406, XENTR04991, XENTR04990, XENTR05942	NEMVE16064
OG0000007	XENTR09461, XENTR01137	NEMVE09467
OG0000007	XENTR03031, XENTR06562	NEMVE03824
OG0000007	XENTR16583	NEMVE09051
OG0000007	XENTR07405, XENTR01816	NEMVE03714
OG0000007	XENTR09232, XENTR15271	NEMVE09289
OG0000008	XENTR11531, XENTR11530, XENTR00356	NEMVE06079, NEMVE05558
OG0000008	XENTR06130	NEMVE10754
OG0000008	XENTR00105	NEMVE12766
OG0000008	XENTR02826, XENTR02855	NEMVE19301, NEMVE04856, NEMVE05897
OG0000009	XENTR08209	NEMVE02901
OG0000010	XENTR06633, XENTR06635, XENTR06634	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	XENTR08588	NEMVE02447
OG0000010	XENTR13805	NEMVE08421
OG0000010	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	NEMVE09268, NEMVE05547
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	XENTR09147, XENTR00681	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	XENTR05642	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415, XENTR17900, XENTR14250, XENTR15058, XENTR02840	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	XENTR10586, XENTR06233	NEMVE10959
OG0000016	XENTR09539, XENTR00630	NEMVE18985
OG0000016	XENTR12717	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	XENTR17802	NEMVE05675
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	NEMVE07261
OG0000018	XENTR19110	NEMVE12742, NEMVE12416
OG0000019	XENTR07225, XENTR02749, XENTR04194, XENTR03535	NEMVE10489
OG0000020	XENTR14576	NEMVE05671
OG0000020	XENTR00311	NEMVE18721
OG0000020	XENTR13299	NEMVE14242
OG0000020	XENTR15741, XENTR07596, XENTR04090, XENTR05411, XENTR15461, XENTR03248, XENTR03249	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	XENTR04697	NEMVE05506
OG0000020	XENTR07864, XENTR11783	NEMVE08770, NEMVE22771
OG0000020	XENTR08063	NEMVE13577
OG0000020	XENTR05660	NEMVE13307
OG0000020	XENTR15846	NEMVE21746
OG0000020	XENTR15636	NEMVE13092
OG0000021	XENTR12641, XENTR02936, XENTR18096, XENTR01150	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	XENTR16121	NEMVE11953
OG0000021	XENTR13705, XENTR13394, XENTR13393, XENTR00007, XENTR13780, XENTR17333	NEMVE04837
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	NEMVE01882
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	NEMVE02033, NEMVE05058, NEMVE00878
OG0000024	XENTR04811, XENTR06883, XENTR09943, XENTR01595, XENTR09488	NEMVE05736, NEMVE12848
OG0000026	XENTR07244, XENTR03079	NEMVE24164, NEMVE07469
OG0000027	XENTR03739, XENTR10928, XENTR05419, XENTR05696, XENTR05695, XENTR11166, XENTR14623, XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029, XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	NEMVE01722, NEMVE08343
OG0000030	XENTR12816	NEMVE06266, NEMVE00220
OG0000031	XENTR05405, XENTR03766	NEMVE01854
OG0000031	XENTR08553, XENTR05384, XENTR03164	NEMVE06981
OG0000031	XENTR10836	NEMVE07223
OG0000031	XENTR03163	NEMVE01806
OG0000031	XENTR00229	NEMVE02343
OG0000031	XENTR02595, XENTR11133	NEMVE04984
OG0000031	XENTR12584, XENTR00918	NEMVE07820
OG0000031	XENTR00006, XENTR16792, XENTR04300	NEMVE12067
OG0000031	XENTR00917, XENTR11778	NEMVE21885
OG0000031	XENTR09425	NEMVE22486
OG0000034	XENTR04943	NEMVE07311, NEMVE07285
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	NEMVE10927
OG0000034	XENTR15456	NEMVE10961, NEMVE24294
OG0000034	XENTR10156	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	XENTR16254	NEMVE05344
OG0000034	XENTR08340	NEMVE16104, NEMVE09479, NEMVE10924
OG0000034	XENTR11637	NEMVE25715, NEMVE08797
OG0000035	XENTR05239	NEMVE23841
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	NEMVE22676
OG0000035	XENTR07648	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861	NEMVE00865, NEMVE01113
OG0000037	XENTR10865, XENTR10696	NEMVE10401
OG0000038	XENTR18690, XENTR00755, XENTR00754	NEMVE06149
OG0000038	XENTR04205	NEMVE25950
OG0000039	XENTR03946, XENTR03945	NEMVE01371, NEMVE05995
OG0000039	XENTR17227	NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	NEMVE15743
OG0000039	XENTR17697	NEMVE18297, NEMVE18296
OG0000041	XENTR14135	NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516
OG0000041	XENTR16713, XENTR17286, XENTR13662, XENTR02569	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	NEMVE05295
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000045	XENTR06990	NEMVE00309, NEMVE15224, NEMVE04686
OG0000046	XENTR04959, XENTR03550, XENTR03551, XENTR11781, XENTR11780, XENTR17457, XENTR17456, XENTR17458, XENTR16941, XENTR17142, XENTR08235, XENTR05674, XENTR16277	NEMVE08905, NEMVE15252
OG0000047	XENTR07962	NEMVE12741, NEMVE05419
OG0000048	XENTR03701	NEMVE05567
OG0000048	XENTR04117	NEMVE14912
OG0000048	XENTR05160	NEMVE14024
OG0000049	XENTR00212, XENTR08482, XENTR07031, XENTR06401, XENTR01319, XENTR18684, XENTR07961, XENTR13014	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	XENTR13015	NEMVE07661, NEMVE06992, NEMVE00847
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	NEMVE02458
OG0000054	XENTR04962, XENTR04961	NEMVE15086, NEMVE10916
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	NEMVE05466
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	XENTR00781	NEMVE01503, NEMVE04541
OG0000057	XENTR04236, XENTR01413, XENTR01414	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	XENTR03679	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	XENTR11839	NEMVE13151
OG0000058	XENTR16220	NEMVE00498
OG0000059	XENTR06961, XENTR16370, XENTR15475	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	XENTR11489, XENTR04114, XENTR08957	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	NEMVE10327
OG0000062	XENTR09512	NEMVE14126
OG0000063	XENTR10234, XENTR04709, XENTR00319	NEMVE05614
OG0000063	XENTR11311	NEMVE00961
OG0000063	XENTR08048, XENTR02007, XENTR01303	NEMVE09684
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	XENTR18882	NEMVE02094, NEMVE00829
OG0000067	XENTR13783, XENTR04874	NEMVE14139, NEMVE14099
OG0000068	XENTR00752, XENTR17205, XENTR10995, XENTR11373, XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	NEMVE24661, NEMVE20048
OG0000069	XENTR15529	NEMVE14181
OG0000069	XENTR16269	NEMVE15092
OG0000070	XENTR15503, XENTR11143, XENTR02048	NEMVE23951, NEMVE09231, NEMVE05946
OG0000071	XENTR09995, XENTR01851, XENTR10875	NEMVE22171
OG0000072	XENTR15041, XENTR13953	NEMVE01460
OG0000072	XENTR03548, XENTR18546	NEMVE07818
OG0000074	XENTR14396	NEMVE04681
OG0000075	XENTR02757, XENTR11353, XENTR12610	NEMVE23844
OG0000075	XENTR06215	NEMVE13100
OG0000075	XENTR09250	NEMVE15115
OG0000075	XENTR14285, XENTR05936	NEMVE21913
OG0000075	XENTR04179, XENTR06216	NEMVE18051
OG0000075	XENTR01223, XENTR05975	NEMVE24197
OG0000075	XENTR10723	NEMVE22411
OG0000075	XENTR06816, XENTR17547, XENTR16124	NEMVE17771
OG0000075	XENTR05986, XENTR05987	NEMVE07707
OG0000077	XENTR06888, XENTR17790, XENTR02687, XENTR10451, XENTR01904, XENTR08754, XENTR13403, XENTR07875, XENTR00642, XENTR04757, XENTR13588	NEMVE04990
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	NEMVE17207
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	NEMVE07219, NEMVE03189
OG0000079	XENTR01194	NEMVE08009
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	NEMVE06862
OG0000081	XENTR05089, XENTR04318, XENTR10285, XENTR00627	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056
OG0000082	XENTR16096	NEMVE19066
OG0000082	XENTR01624, XENTR01625	NEMVE05388
OG0000082	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628	NEMVE14867, NEMVE15134
OG0000083	XENTR04370, XENTR12084, XENTR05647	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091
OG0000084	XENTR05567, XENTR06450	NEMVE07901
OG0000085	XENTR01729, XENTR03138	NEMVE09794, NEMVE03205
OG0000085	XENTR04052, XENTR12507	NEMVE07289
OG0000085	XENTR15005	NEMVE07695, NEMVE08967, NEMVE08972
OG0000085	XENTR14407, XENTR15163, XENTR04222	NEMVE05696
OG0000085	XENTR00809	NEMVE18682, NEMVE18681
OG0000085	XENTR12508, XENTR04053	NEMVE13608
OG0000087	XENTR17246	NEMVE09998, NEMVE14074
OG0000087	XENTR13447, XENTR13446	NEMVE07184
OG0000087	XENTR10385	NEMVE13354, NEMVE03416, NEMVE04646
OG0000087	XENTR06016	NEMVE02951
OG0000087	XENTR00988	NEMVE25319
OG0000087	XENTR18799	NEMVE20307
OG0000087	XENTR00376	NEMVE01934
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110
OG0000089	XENTR04109	NEMVE15803
OG0000090	XENTR11768	NEMVE05578
OG0000091	XENTR08624	NEMVE05463, NEMVE05476, NEMVE13252
OG0000094	XENTR15752, XENTR10717, XENTR18065, XENTR15146	NEMVE05621
OG0000094	XENTR09915, XENTR14788, XENTR17591	NEMVE03407, NEMVE03409, NEMVE03406
OG0000096	XENTR02028, XENTR07076, XENTR03113	NEMVE15121
OG0000096	XENTR02339, XENTR11518	NEMVE14782
OG0000096	XENTR06220, XENTR01880	NEMVE22574
OG0000096	XENTR18613	NEMVE22432
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	NEMVE25573
OG0000096	XENTR16018, XENTR14119, XENTR17893	NEMVE14773
OG0000098	XENTR05433, XENTR18578, XENTR17176	NEMVE25900
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	NEMVE07244, NEMVE05378
OG0000099	XENTR08433	NEMVE07525, NEMVE20970
OG0000100	XENTR03308, XENTR15328	NEMVE07544
OG0000101	XENTR09885, XENTR05951, XENTR10544, XENTR10545	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	NEMVE18515
OG0000102	XENTR10759, XENTR05530	NEMVE01554, NEMVE04730
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	NEMVE06305
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	NEMVE09043
OG0000104	XENTR05699, XENTR11871	NEMVE07990
OG0000104	XENTR03188, XENTR10251	NEMVE01265
OG0000104	XENTR17538, XENTR11872, XENTR05698	NEMVE01905
OG0000104	XENTR07142	NEMVE06744
OG0000104	XENTR02594, XENTR10789, XENTR16122	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	NEMVE07221, NEMVE07805
OG0000106	XENTR05910, XENTR12158, XENTR05297	NEMVE16024
OG0000107	XENTR16492	NEMVE02891, NEMVE02920
OG0000110	XENTR04384, XENTR09458	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514
OG0000113	XENTR00307	NEMVE21021, NEMVE14510
OG0000114	XENTR15267, XENTR18851, XENTR00272	NEMVE07046, NEMVE14943
OG0000116	XENTR15162	NEMVE11443, NEMVE21821, NEMVE13450, NEMVE22004, NEMVE21900, NEMVE13056
OG0000117	XENTR11526	NEMVE23834, NEMVE12069
OG0000117	XENTR09867	NEMVE06169, NEMVE03380
OG0000119	XENTR05393, XENTR05242, XENTR06871	NEMVE22896
OG0000119	XENTR01125, XENTR14071	NEMVE15248
OG0000121	XENTR04902, XENTR18080	NEMVE22381
OG0000121	XENTR08396, XENTR08397	NEMVE03127, NEMVE09919
OG0000122	XENTR06907, XENTR17281	NEMVE05937, NEMVE10909
OG0000123	XENTR09767	NEMVE00175, NEMVE00172
OG0000124	XENTR10247, XENTR00962, XENTR04813	NEMVE24720
OG0000124	XENTR09248, XENTR09249	NEMVE14854
OG0000124	XENTR13084, XENTR11997	NEMVE13714
OG0000126	XENTR03459, XENTR13788, XENTR00416	NEMVE07689
OG0000126	XENTR02718, XENTR02062, XENTR09023	NEMVE08729, NEMVE02964
OG0000126	XENTR14632, XENTR03466	NEMVE00909
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	NEMVE02955
OG0000127	XENTR02720, XENTR03441, XENTR09025	NEMVE24353
OG0000127	XENTR10923, XENTR12718	NEMVE22473
OG0000127	XENTR18212	NEMVE10526
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	NEMVE13457
OG0000127	XENTR01486, XENTR04784, XENTR07585	NEMVE22419
OG0000128	XENTR09496, XENTR10668, XENTR08486, XENTR08487	NEMVE12106, NEMVE04961, NEMVE01987, NEMVE18699, NEMVE05813, NEMVE00993, NEMVE10370, NEMVE09954, NEMVE24226, NEMVE08877, NEMVE02973, NEMVE07718, NEMVE13536, NEMVE16591, NEMVE07067, NEMVE16738, NEMVE06927
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	NEMVE15459, NEMVE24455, NEMVE05043
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	NEMVE14958
OG0000130	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979, XENTR07151, XENTR03234, XENTR02051	NEMVE06584, NEMVE05300, NEMVE10363, NEMVE19712, NEMVE09669, NEMVE17089, NEMVE10460
OG0000131	XENTR10944	NEMVE07984, NEMVE05410
OG0000131	XENTR15258, XENTR16765, XENTR18163, XENTR17692, XENTR17693, XENTR17694, XENTR15254, XENTR03272	NEMVE20141
OG0000132	XENTR04795	NEMVE00818, NEMVE00836, NEMVE00732, NEMVE00832, NEMVE00761, NEMVE00751, NEMVE00762, NEMVE00731, NEMVE15492, NEMVE01916
OG0000135	XENTR07014, XENTR14167, XENTR10688, XENTR10689, XENTR15435, XENTR15775, XENTR16794, XENTR19031, XENTR19077, XENTR05007, XENTR05009, XENTR15440, XENTR16796, XENTR15437, XENTR05010, XENTR10515, XENTR15438, XENTR15441, XENTR15436, XENTR05006, XENTR05005, XENTR05047, XENTR15445	NEMVE07712, NEMVE07156, NEMVE10399, NEMVE00765, NEMVE01301, NEMVE08506, NEMVE00634, NEMVE19959, NEMVE11803, NEMVE12861, NEMVE07150, NEMVE09618, NEMVE18689, NEMVE00849, NEMVE01021, NEMVE07037, NEMVE08365, NEMVE09611, NEMVE01856, NEMVE01229
OG0000136	XENTR15528, XENTR11845	NEMVE22321, NEMVE17620, NEMVE20155, NEMVE02071, NEMVE04995, NEMVE13318, NEMVE15328
OG0000137	XENTR10738, XENTR07993, XENTR07994	NEMVE20817, NEMVE18407
OG0000137	XENTR04900, XENTR11062, XENTR17418, XENTR10667	NEMVE09537, NEMVE02104, NEMVE16617, NEMVE07756, NEMVE01665, NEMVE07752, NEMVE04562, NEMVE10746, NEMVE08414, NEMVE08549, NEMVE22935
OG0000139	XENTR06324	NEMVE16959, NEMVE19997, NEMVE23512, NEMVE25194
OG0000140	XENTR17095	NEMVE07307
OG0000140	XENTR07666, XENTR07665, XENTR08332, XENTR14015, XENTR14016, XENTR07655, XENTR08331, XENTR14014, XENTR14012, XENTR07664, XENTR07661, XENTR07660, XENTR01360, XENTR07654, XENTR07659, XENTR16593, XENTR17086, XENTR14627, XENTR14631, XENTR14629, XENTR17001, XENTR18014, XENTR07667, XENTR14010, XENTR14008, XENTR07656, XENTR00385, XENTR18191	NEMVE16491
OG0000145	XENTR16742, XENTR16672, XENTR16671	NEMVE14111
OG0000147	XENTR17574, XENTR03268, XENTR13018	NEMVE01930
OG0000147	XENTR12286	NEMVE00775
OG0000147	XENTR02156, XENTR12287	NEMVE13815
OG0000147	XENTR01301, XENTR12003	NEMVE14266
OG0000147	XENTR00602	NEMVE15010
OG0000147	XENTR15311	NEMVE01973
