Orthogroup	XENTR	STRPU_ok
OG0000006	XENTR03090, XENTR09060	STRPU_06684
OG0000006	XENTR03954, XENTR14945	STRPU_19989
OG0000006	XENTR00399, XENTR09859	STRPU_12594, STRPU_12593
OG0000006	XENTR09947, XENTR11692	STRPU_20521
OG0000006	XENTR11329	STRPU_09165, STRPU_02127
OG0000006	XENTR15046	STRPU_27184, STRPU_27203
OG0000006	XENTR13548	STRPU_07314
OG0000006	XENTR15729, XENTR08627	STRPU_27126
OG0000006	XENTR04854, XENTR07280, XENTR07527	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	XENTR07719	STRPU_21069
OG0000006	XENTR12339, XENTR03854, XENTR12781	STRPU_21071
OG0000006	XENTR18680, XENTR15398	STRPU_22384
OG0000007	XENTR04989, XENTR07641	STRPU_25459
OG0000007	XENTR10435	STRPU_26581
OG0000007	XENTR12787, XENTR08906, XENTR06676	STRPU_21427
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	STRPU_18763
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	STRPU_09815
OG0000007	XENTR03222	STRPU_10770
OG0000007	XENTR07642	STRPU_25460
OG0000007	XENTR04991	STRPU_25304
OG0000007	XENTR04990, XENTR05942	STRPU_25458
OG0000007	XENTR09461, XENTR01137	STRPU_16477
OG0000007	XENTR03031, XENTR06562	STRPU_21790
OG0000007	XENTR16583	STRPU_08442
OG0000007	XENTR07405, XENTR01816	STRPU_08417
OG0000007	XENTR09232, XENTR15271	STRPU_10590
OG0000008	XENTR06130	STRPU_10214, STRPU_15692
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	STRPU_10510
OG0000008	XENTR00105	STRPU_23377, STRPU_23376
OG0000009	XENTR07693	STRPU_08846
OG0000010	XENTR08588	STRPU_11420
OG0000011	XENTR06336, XENTR06335	STRPU_09042
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	STRPU_06380, STRPU_06825
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	STRPU_23513
OG0000014	XENTR09147, XENTR00681	STRPU_17754, STRPU_17755
OG0000014	XENTR14500	STRPU_19509
OG0000015	XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415	STRPU_05546, STRPU_05605
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	STRPU_05547, STRPU_05606
OG0000015	XENTR13566, XENTR03288, XENTR15069	STRPU_21905
OG0000016	XENTR10586, XENTR06233	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	XENTR01362, XENTR01363, XENTR07382	STRPU_09277
OG0000016	XENTR12717	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484
OG0000016	XENTR17802	STRPU_15361, STRPU_21110
OG0000016	XENTR18390	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	STRPU_21331
OG0000019	XENTR07225, XENTR02749, XENTR04194	STRPU_23414, STRPU_01023
OG0000020	XENTR18565	STRPU_13949
OG0000020	XENTR14576	STRPU_20580
OG0000020	XENTR00311	STRPU_19028, STRPU_00464
OG0000020	XENTR13299	STRPU_22748, STRPU_01903
OG0000020	XENTR05411	STRPU_07115
OG0000020	XENTR15461, XENTR03248, XENTR03249	STRPU_26678
OG0000020	XENTR04697	STRPU_19861, STRPU_19888
OG0000020	XENTR07864, XENTR11783	STRPU_05007
OG0000020	XENTR08063	STRPU_11453
OG0000020	XENTR15846	STRPU_05521
OG0000020	XENTR15636	STRPU_21977
OG0000021	XENTR17791, XENTR16377	STRPU_23367
OG0000021	XENTR12641, XENTR02936	STRPU_25829
OG0000021	XENTR18096, XENTR01150	STRPU_02205, STRPU_15603
OG0000021	XENTR13705, XENTR13394, XENTR13393	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213
OG0000021	XENTR00007	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	STRPU_09714, STRPU_09758
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	XENTR13097	STRPU_15044
OG0000023	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000028	XENTR10277, XENTR06737	STRPU_27008
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	STRPU_09836, STRPU_17433, STRPU_17432
OG0000029	XENTR11755, XENTR10534	STRPU_14123
OG0000030	XENTR18219	STRPU_23383
OG0000030	XENTR14147	STRPU_18729, STRPU_18720
OG0000031	XENTR05405, XENTR03766	STRPU_24640
OG0000031	XENTR08553, XENTR05384, XENTR03164	STRPU_24955
OG0000031	XENTR03163	STRPU_24636
OG0000031	XENTR00229	STRPU_08004
OG0000031	XENTR12584, XENTR00918	STRPU_05537, STRPU_05597
OG0000031	XENTR00006, XENTR16792, XENTR04300	STRPU_18994
OG0000031	XENTR00917, XENTR11778	STRPU_05368
OG0000031	XENTR09425	STRPU_24676
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458
OG0000032	XENTR17016	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816
OG0000034	XENTR04943	STRPU_15245, STRPU_15189
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	STRPU_11798
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	STRPU_11930, STRPU_11885
OG0000034	XENTR15456	STRPU_27315
OG0000034	XENTR10156	STRPU_11793
OG0000034	XENTR16254	STRPU_04070
OG0000034	XENTR08340	STRPU_12141, STRPU_12106
OG0000035	XENTR05239	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	STRPU_27002
OG0000035	XENTR07648	STRPU_13051
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	STRPU_12705, STRPU_12704
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	STRPU_12998, STRPU_12553
OG0000035	XENTR13293, XENTR09857	STRPU_12700
OG0000036	XENTR07761, XENTR12415, XENTR07272	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724
OG0000037	XENTR16580, XENTR14770, XENTR03861	STRPU_20762
OG0000037	XENTR10865, XENTR10696	STRPU_24785
OG0000037	XENTR18131	STRPU_10295, STRPU_10296, STRPU_10297
OG0000038	XENTR04197, XENTR04200	STRPU_17413, STRPU_17414, STRPU_17415
OG0000038	XENTR04206	STRPU_18075, STRPU_01765
OG0000039	XENTR03946, XENTR03945	STRPU_13266
OG0000039	XENTR17227	STRPU_05101, STRPU_05100, STRPU_05180
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238
OG0000041	XENTR14135	STRPU_12828
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	STRPU_13000
OG0000043	XENTR13561, XENTR13559	STRPU_10844, STRPU_10864
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	STRPU_09802
OG0000044	XENTR04387, XENTR17931	STRPU_13229, STRPU_13213
OG0000044	XENTR04256	STRPU_00051
OG0000046	XENTR04959	STRPU_24167, STRPU_08327, STRPU_08328
OG0000047	XENTR07962	STRPU_04857
OG0000048	XENTR03701	STRPU_05493
OG0000048	XENTR01169	STRPU_15458
OG0000048	XENTR18412	STRPU_09674
OG0000048	XENTR04117	STRPU_20602
OG0000048	XENTR05160	STRPU_20482
OG0000049	XENTR00212, XENTR08482	STRPU_17072
OG0000049	XENTR07031, XENTR06401	STRPU_23537
OG0000049	XENTR10377	STRPU_22320
OG0000049	XENTR07960	STRPU_23536
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	STRPU_10411
OG0000052	XENTR09745, XENTR16766, XENTR16795	STRPU_00276, STRPU_03183
OG0000054	XENTR04962, XENTR04961	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	STRPU_19327
OG0000056	XENTR00781	STRPU_12248, STRPU_11783
OG0000057	XENTR04236, XENTR01413, XENTR01414	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382
OG0000057	XENTR03679	STRPU_09580
OG0000058	XENTR11839	STRPU_10155, STRPU_10092
OG0000058	XENTR16040, XENTR02416, XENTR06707	STRPU_09783
OG0000059	XENTR09381	STRPU_05220
OG0000059	XENTR06961, XENTR16370	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005
OG0000060	XENTR09513	STRPU_24855
OG0000060	XENTR11489, XENTR04114, XENTR08957	STRPU_12994
OG0000061	XENTR00116, XENTR05367	STRPU_13962
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	STRPU_02428, STRPU_13635
OG0000061	XENTR10609, XENTR10747	STRPU_13960, STRPU_13959, STRPU_13958
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408
OG0000062	XENTR09512	STRPU_08191
OG0000063	XENTR10234, XENTR04709, XENTR00319	STRPU_18989
OG0000063	XENTR11311	STRPU_23711
OG0000063	XENTR04708	STRPU_18990, STRPU_18981, STRPU_07188
OG0000063	XENTR08048, XENTR02007, XENTR01303	STRPU_18657
OG0000066	XENTR18882	STRPU_19100
OG0000067	XENTR13783, XENTR04874	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385
OG0000069	XENTR15529	STRPU_24462
OG0000070	XENTR15503, XENTR11143, XENTR02048	STRPU_17447, STRPU_05505
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932
OG0000072	XENTR15041, XENTR13953	STRPU_05231
OG0000072	XENTR03548, XENTR18546	STRPU_05349
OG0000072	XENTR01057	STRPU_05343
OG0000072	XENTR13152	STRPU_04704, STRPU_04707
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665	STRPU_14789
OG0000074	XENTR10798, XENTR10797, XENTR11114	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186
OG0000074	XENTR14396	STRPU_05573, STRPU_05632
OG0000074	XENTR07269, XENTR06689	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961
OG0000075	XENTR02757, XENTR11353, XENTR12610	STRPU_25005
OG0000075	XENTR06215	STRPU_25122
OG0000075	XENTR09250	STRPU_10595
OG0000075	XENTR04179, XENTR06216	STRPU_25157
OG0000075	XENTR10723	STRPU_01897, STRPU_22743
OG0000075	XENTR06816, XENTR17547, XENTR16124	STRPU_23530
OG0000075	XENTR05986, XENTR05987	STRPU_23991
OG0000077	XENTR06888, XENTR17790, XENTR02687	STRPU_09555
OG0000077	XENTR01904, XENTR08754, XENTR13403	STRPU_10408
OG0000077	XENTR07875, XENTR00642, XENTR04757	STRPU_07855
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101
OG0000078	XENTR19100	STRPU_22246
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	STRPU_23093, STRPU_23381, STRPU_23773
OG0000079	XENTR08294, XENTR08293, XENTR03649	STRPU_04091
OG0000079	XENTR01194	STRPU_02493, STRPU_15115
OG0000079	XENTR15371	STRPU_26495, STRPU_19060
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	STRPU_10387, STRPU_19245, STRPU_19246
OG0000082	XENTR16096	STRPU_19842
OG0000082	XENTR01624, XENTR01625	STRPU_09694, STRPU_09737
OG0000083	XENTR04370, XENTR12084, XENTR05647	STRPU_05477, STRPU_05480, STRPU_05479
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	STRPU_10120, STRPU_10047
OG0000084	XENTR08804, XENTR16312, XENTR13487	STRPU_09358
OG0000085	XENTR01729, XENTR03138	STRPU_24977
OG0000085	XENTR04052, XENTR12507	STRPU_15094
OG0000085	XENTR15005	STRPU_25637
OG0000085	XENTR00809	STRPU_14802
OG0000085	XENTR12352, XENTR12351	STRPU_17832
OG0000087	XENTR17246	STRPU_06300, STRPU_06346
OG0000087	XENTR13447, XENTR13446	STRPU_20681
OG0000087	XENTR07023	STRPU_08915, STRPU_00613
OG0000087	XENTR10385	STRPU_25132
OG0000087	XENTR06016	STRPU_23330
OG0000087	XENTR00988	STRPU_08212
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	STRPU_22547, STRPU_21931, STRPU_22061, STRPU_09861, STRPU_06425, STRPU_12997, STRPU_24674, STRPU_07045, STRPU_20838, STRPU_20875, STRPU_13326, STRPU_11713, STRPU_13712, STRPU_00232, STRPU_25974, STRPU_22714, STRPU_00696, STRPU_12904, STRPU_12905, STRPU_07251, STRPU_07272, STRPU_21273, STRPU_21272, STRPU_26899, STRPU_19492, STRPU_00779, STRPU_19792, STRPU_04079, STRPU_04080, STRPU_26089
OG0000089	XENTR04109	STRPU_17838, STRPU_22395
OG0000090	XENTR11768	STRPU_20024, STRPU_20023
OG0000090	XENTR06545	STRPU_15706
OG0000091	XENTR08624	STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652
OG0000093	XENTR11592, XENTR02843, XENTR08380	STRPU_16292, STRPU_19475, STRPU_19473, STRPU_19480, STRPU_17622, STRPU_02298, STRPU_02299, STRPU_02300, STRPU_17621, STRPU_13630, STRPU_15251, STRPU_25013, STRPU_15508, STRPU_01856, STRPU_01855, STRPU_03976, STRPU_24512, STRPU_15196, STRPU_17525, STRPU_17526, STRPU_15252
OG0000094	XENTR10717, XENTR18065, XENTR15146	STRPU_22767, STRPU_01923
OG0000094	XENTR09915, XENTR14788, XENTR17591	STRPU_19407
OG0000096	XENTR02028, XENTR07076, XENTR03113	STRPU_06019
OG0000096	XENTR02339, XENTR11518	STRPU_23963, STRPU_23937
OG0000096	XENTR01880	STRPU_22229
OG0000096	XENTR18613	STRPU_27319
OG0000096	XENTR18353, XENTR11491, XENTR07413, XENTR11633	STRPU_15853, STRPU_15805
OG0000096	XENTR16018, XENTR14119	STRPU_11677
OG0000096	XENTR17893	STRPU_13124, STRPU_02569
OG0000098	XENTR05433, XENTR18578, XENTR17176	STRPU_22565, STRPU_22567, STRPU_16696
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	STRPU_26921, STRPU_27157
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	STRPU_16997, STRPU_16998
OG0000101	XENTR09885, XENTR05951	STRPU_12617
OG0000101	XENTR10544, XENTR10545	STRPU_17399, STRPU_17409
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047
OG0000102	XENTR10759, XENTR05530	STRPU_21344
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	STRPU_08665
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	STRPU_08161
OG0000104	XENTR05699, XENTR11871	STRPU_03670, STRPU_03681
OG0000104	XENTR03188, XENTR10251	STRPU_22118
OG0000104	XENTR11872, XENTR05698	STRPU_03688, STRPU_03686
OG0000104	XENTR07142	STRPU_02772
OG0000104	XENTR02594, XENTR10789, XENTR16122	STRPU_23716
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	STRPU_25282
OG0000106	XENTR07802	STRPU_25442
OG0000106	XENTR05910, XENTR12158, XENTR05297	STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307
OG0000113	XENTR00307	STRPU_10396, STRPU_18172
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	STRPU_06721, STRPU_06060, STRPU_06062, STRPU_11249, STRPU_11210
OG0000115	XENTR10985	STRPU_25508, STRPU_12373, STRPU_23313
OG0000116	XENTR12530	STRPU_21801, STRPU_21802
OG0000117	XENTR11526	STRPU_18287
OG0000117	XENTR09867	STRPU_16027
OG0000119	XENTR05393, XENTR05242, XENTR06871	STRPU_13902
OG0000119	XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933	STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951
OG0000119	XENTR01125, XENTR14071	STRPU_13805, STRPU_13905
OG0000121	XENTR04902, XENTR18080	STRPU_17646, STRPU_02277
OG0000122	XENTR06907, XENTR17281	STRPU_24150
OG0000122	XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	STRPU_24593, STRPU_24582
OG0000123	XENTR09572, XENTR12457, XENTR17140	STRPU_09939
OG0000123	XENTR02182	STRPU_01514, STRPU_09445
OG0000123	XENTR10906	STRPU_09515, STRPU_06249
OG0000124	XENTR05926	STRPU_06709
OG0000124	XENTR10247, XENTR00962, XENTR04813	STRPU_09291
OG0000124	XENTR09248, XENTR09249	STRPU_10604
OG0000124	XENTR13084, XENTR11997	STRPU_21471
OG0000125	XENTR01735, XENTR14091, XENTR08560	STRPU_25037
OG0000125	XENTR01738, XENTR14098	STRPU_25182
OG0000125	XENTR05425	STRPU_11727
OG0000126	XENTR02718, XENTR02062, XENTR09023	STRPU_06870
OG0000126	XENTR14632, XENTR03466	STRPU_04964
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	STRPU_26672
OG0000127	XENTR02720, XENTR03441, XENTR09025	STRPU_06620
OG0000127	XENTR10923, XENTR12718	STRPU_06619
OG0000127	XENTR18212	STRPU_07791
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	STRPU_07458
OG0000127	XENTR01486, XENTR04784, XENTR07585	STRPU_08311
OG0000128	XENTR09496, XENTR10668	STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386
OG0000128	XENTR08486, XENTR08487	STRPU_24545
OG0000128	XENTR04418	STRPU_05989
OG0000129	XENTR14286	STRPU_15503
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	STRPU_21106, STRPU_21101
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	STRPU_06625
OG0000130	XENTR04860	STRPU_04903
OG0000130	XENTR04495, XENTR07613, XENTR03572	STRPU_21246
OG0000130	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979	STRPU_21543
OG0000130	XENTR08843, XENTR10120	STRPU_04374
OG0000131	XENTR10944	STRPU_00146, STRPU_03355, STRPU_03346, STRPU_03343, STRPU_03350, STRPU_03348, STRPU_03353, STRPU_03344, STRPU_03351, STRPU_03347
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	STRPU_07133, STRPU_25473, STRPU_27007, STRPU_05998, STRPU_06025, STRPU_05930, STRPU_06005
OG0000132	XENTR04795	STRPU_02132, STRPU_09170
OG0000137	XENTR10738, XENTR07993, XENTR07994	STRPU_07118
OG0000137	XENTR11062, XENTR17418	STRPU_07594, STRPU_07697, STRPU_07683, STRPU_07593, STRPU_07965, STRPU_07957
OG0000137	XENTR10667	STRPU_17715, STRPU_18673, STRPU_18678
OG0000140	XENTR17095	STRPU_13790, STRPU_13789
OG0000140	XENTR01606, XENTR07662	STRPU_13447
