Orthogroup	XENTR	AENJA_ok
OG0000087	XENTR18799	AENJA_20453
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000090	XENTR11768	AENJA_10145
OG0000090	XENTR06545	AENJA_01954
OG0000091	XENTR08624	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	XENTR10717, XENTR18065, XENTR15146	AENJA_14582
OG0000094	XENTR09915, XENTR14788, XENTR17591	AENJA_26553
OG0000096	XENTR02028, XENTR07076, XENTR03113	AENJA_25727
OG0000096	XENTR18613	AENJA_21947
OG0000096	XENTR17893	AENJA_14053
OG0000097	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700	AENJA_19407, AENJA_02407
OG0000098	XENTR05433, XENTR18578, XENTR17176	AENJA_10136, AENJA_10137
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	AENJA_22563, AENJA_15215
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	AENJA_07638, AENJA_14869
OG0000099	XENTR08433	AENJA_15326
OG0000100	XENTR03308, XENTR15328	AENJA_12391
OG0000101	XENTR09885, XENTR05951	AENJA_26592
OG0000101	XENTR10544, XENTR10545	AENJA_06142
OG0000101	XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771	AENJA_14914, AENJA_21479, AENJA_11421
OG0000102	XENTR10759, XENTR05530	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164
OG0000102	XENTR17165, XENTR06155	AENJA_06075
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	AENJA_10812
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	AENJA_14367
OG0000104	XENTR05699, XENTR11871	AENJA_04107
OG0000104	XENTR03188, XENTR10251	AENJA_02684
OG0000104	XENTR11872, XENTR05698	AENJA_26666
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555	AENJA_21591
OG0000106	XENTR07802	AENJA_13743
OG0000106	XENTR05910, XENTR12158, XENTR05297	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000108	XENTR03238, XENTR11663, XENTR11664, XENTR06039	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	XENTR12530	AENJA_23563, AENJA_23564
OG0000117	XENTR09867	AENJA_02548
OG0000119	XENTR05393, XENTR05242, XENTR06871	AENJA_18357, AENJA_20512
OG0000119	XENTR01125, XENTR14071	AENJA_08115, AENJA_08491
OG0000121	XENTR04902, XENTR18080	AENJA_09065
OG0000121	XENTR08396, XENTR08397	AENJA_07109, AENJA_25145
OG0000122	XENTR06907, XENTR17281	AENJA_09263
OG0000122	XENTR01730, XENTR03137, XENTR03802	AENJA_14198
OG0000123	XENTR09572, XENTR12457, XENTR17140	AENJA_11261
OG0000123	XENTR02182	AENJA_22182
OG0000123	XENTR06889, XENTR13577	AENJA_08161
OG0000123	XENTR10906	AENJA_11939, AENJA_11934, AENJA_04063
OG0000124	XENTR05926	AENJA_03116, AENJA_25792
OG0000124	XENTR10247, XENTR00962, XENTR04813	AENJA_04495
OG0000124	XENTR09248, XENTR09249	AENJA_09769, AENJA_03187
OG0000124	XENTR12958, XENTR01638	AENJA_26736
OG0000124	XENTR13084, XENTR11997	AENJA_05859
OG0000125	XENTR14097, XENTR01739	AENJA_09264
OG0000125	XENTR01735, XENTR14091, XENTR08560	AENJA_18946
OG0000125	XENTR01738, XENTR14098	AENJA_04836
OG0000125	XENTR05425	AENJA_07272
OG0000126	XENTR02718, XENTR02062, XENTR09023	AENJA_24273
OG0000126	XENTR05061, XENTR11942, XENTR13975, XENTR08532	AENJA_07507
OG0000127	XENTR02720, XENTR03441, XENTR09025	AENJA_11132
OG0000127	XENTR10923, XENTR12718	AENJA_20308
OG0000127	XENTR18212	AENJA_04153
OG0000127	XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893	AENJA_17569
OG0000127	XENTR01486, XENTR04784, XENTR07585	AENJA_00497
OG0000128	XENTR09496, XENTR10668	AENJA_22594, AENJA_22595
OG0000128	XENTR08486, XENTR08487	AENJA_07850, AENJA_17413, AENJA_26743
OG0000128	XENTR04418	AENJA_21735
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	AENJA_11469
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	AENJA_21737
OG0000129	XENTR06232	AENJA_12119, AENJA_20942, AENJA_12123
OG0000131	XENTR10944	AENJA_13807, AENJA_21097
OG0000131	XENTR15258, XENTR16765, XENTR18163, XENTR17692, XENTR17693, XENTR17694, XENTR15254, XENTR03272	AENJA_26204, AENJA_02558, AENJA_02442, AENJA_02441
OG0000137	XENTR10738, XENTR07993, XENTR07994	AENJA_26083
OG0000137	XENTR11062, XENTR17418	AENJA_25528, AENJA_11173
OG0000137	XENTR10667	AENJA_09533
OG0000139	XENTR06324	AENJA_14233, AENJA_10490, AENJA_13897, AENJA_14832, AENJA_14830
OG0000140	XENTR17095	AENJA_01263
OG0000140	XENTR11484	AENJA_05753
OG0000141	XENTR13160	AENJA_11870, AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407
OG0000147	XENTR03268, XENTR13018	AENJA_03761
OG0000147	XENTR02156, XENTR12287	AENJA_12275
OG0000147	XENTR01301, XENTR12003	AENJA_03922
OG0000147	XENTR00602	AENJA_10787
OG0000147	XENTR15311	AENJA_03843
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	AENJA_21220
OG0000149	XENTR03422, XENTR03423	AENJA_12114
OG0000149	XENTR01442, XENTR00579	AENJA_12111, AENJA_03471, AENJA_12512
OG0000149	XENTR04855	AENJA_18447
OG0000151	XENTR04929, XENTR06165, XENTR12078, XENTR11745	AENJA_13408
OG0000151	XENTR06824, XENTR00446, XENTR00447	AENJA_03698
OG0000153	XENTR04393, XENTR14583, XENTR14584, XENTR14230	AENJA_14215
OG0000154	XENTR11406, XENTR12586	AENJA_18738
OG0000155	XENTR13673, XENTR05745, XENTR13672	AENJA_20550
OG0000157	XENTR09559	AENJA_07142
OG0000158	XENTR17930, XENTR04115, XENTR04631	AENJA_06739
OG0000159	XENTR09320, XENTR09321	AENJA_16647, AENJA_17890
OG0000159	XENTR07751	AENJA_06073
OG0000160	XENTR02472	AENJA_06959
OG0000160	XENTR00861, XENTR00862	AENJA_13005
OG0000162	XENTR19069	AENJA_01578
OG0000162	XENTR08764	AENJA_09371
OG0000163	XENTR03897, XENTR06574	AENJA_14266
OG0000163	XENTR17419	AENJA_00250
OG0000163	XENTR06573, XENTR03895	AENJA_14265
OG0000163	XENTR10844, XENTR07114, XENTR03341	AENJA_02338
OG0000164	XENTR03117, XENTR11443, XENTR03405, XENTR11930	AENJA_15219
OG0000166	XENTR01839	AENJA_13257
OG0000166	XENTR14691, XENTR00874, XENTR00875, XENTR00043, XENTR01855	AENJA_16006
OG0000167	XENTR13141	AENJA_12329
OG0000167	XENTR18214, XENTR04642, XENTR04643, XENTR03633, XENTR12761, XENTR09151, XENTR05471, XENTR02446, XENTR12175	AENJA_12328
OG0000168	XENTR11485, XENTR09871	AENJA_06793
OG0000168	XENTR11542, XENTR17377, XENTR00071, XENTR05864, XENTR04725	AENJA_16549, AENJA_16551
OG0000169	XENTR07575, XENTR17682, XENTR17683, XENTR17684, XENTR17885	AENJA_25576, AENJA_16357, AENJA_16336
OG0000171	XENTR12901	AENJA_00267
OG0000171	XENTR09537, XENTR13400, XENTR13399	AENJA_26673, AENJA_26672
OG0000171	XENTR05662	AENJA_09998
OG0000172	XENTR05272	AENJA_19160, AENJA_21023
OG0000172	XENTR03780, XENTR04175, XENTR04174, XENTR04177, XENTR16551	AENJA_10078
OG0000172	XENTR06583, XENTR15541	AENJA_18883, AENJA_11722, AENJA_15851, AENJA_11721, AENJA_21024
OG0000173	XENTR18313, XENTR17877, XENTR06255, XENTR06090, XENTR08570, XENTR13645, XENTR00648, XENTR00654, XENTR08279, XENTR13600, XENTR17945, XENTR13599, XENTR05902	AENJA_13078, AENJA_25617, AENJA_18852
OG0000174	XENTR18562, XENTR12376	AENJA_09684
OG0000174	XENTR02208, XENTR05576	AENJA_09689
OG0000174	XENTR05232	AENJA_19122
OG0000175	XENTR08289, XENTR15844	AENJA_06264, AENJA_00936, AENJA_00556
OG0000175	XENTR03000, XENTR09335, XENTR04649	AENJA_05120
OG0000179	XENTR01942	AENJA_05305
OG0000179	XENTR00560, XENTR12119	AENJA_25279
OG0000179	XENTR14437	AENJA_20696
OG0000179	XENTR05649	AENJA_09174, AENJA_18216
OG0000180	XENTR01179	AENJA_10008, AENJA_06703
OG0000180	XENTR00269	AENJA_16046
OG0000180	XENTR14458, XENTR09734, XENTR04382, XENTR05909	AENJA_19397
OG0000181	XENTR06217, XENTR12611, XENTR02755	AENJA_08843
OG0000181	XENTR06005	AENJA_22272
OG0000181	XENTR17190, XENTR17189, XENTR03816	AENJA_05116, AENJA_18867, AENJA_18892
OG0000183	XENTR02086, XENTR13524, XENTR16217	AENJA_03852
OG0000183	XENTR02643	AENJA_18616
OG0000183	XENTR02630	AENJA_21091
OG0000184	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929	AENJA_19614, AENJA_08959, AENJA_22614
OG0000185	XENTR06208, XENTR17890	AENJA_05818
OG0000185	XENTR09757, XENTR04609	AENJA_06437
OG0000185	XENTR12734	AENJA_19885
OG0000186	XENTR03039	AENJA_06753
OG0000188	XENTR02204, XENTR07576, XENTR05663	AENJA_15378
OG0000192	XENTR01061	AENJA_20612
OG0000192	XENTR03994, XENTR04308	AENJA_06675
OG0000192	XENTR16408	AENJA_19694
