Orthogroup	XENTR	SCHMD
OG0000016	XENTR09539, XENTR00630	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	XENTR12717	SCHMD16694
OG0000016	XENTR17802	SCHMD02183
OG0000020	XENTR18565	SCHMD00005
OG0000020	XENTR13299	SCHMD09886
OG0000020	XENTR04697	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182
OG0000021	XENTR12641, XENTR02936	SCHMD09794
OG0000021	XENTR13705, XENTR13394, XENTR13393	SCHMD09793, SCHMD07893
OG0000021	XENTR13780, XENTR17333	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829
OG0000023	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	SCHMD05376
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531
OG0000028	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	XENTR10277, XENTR06737	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000030	XENTR08639	SCHMD17295
OG0000030	XENTR18219	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	XENTR14147	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000031	XENTR05405, XENTR03766, XENTR08553, XENTR05384, XENTR03164, XENTR10836	SCHMD16950
OG0000031	XENTR03163	SCHMD11094
OG0000031	XENTR00229	SCHMD00185
OG0000031	XENTR02595, XENTR11133, XENTR12584, XENTR00918, XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778	SCHMD17865
OG0000034	XENTR14967, XENTR08246, XENTR04943	SCHMD13190, SCHMD26745
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	XENTR15456	SCHMD04875
OG0000034	XENTR08340	SCHMD07081
OG0000035	XENTR05239	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605	SCHMD15627, SCHMD19701
OG0000036	XENTR07761, XENTR12415, XENTR07272	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861	SCHMD19933
OG0000037	XENTR10865, XENTR10696	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	XENTR18131	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	XENTR04197, XENTR04200	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000039	XENTR03946, XENTR03945, XENTR17227, XENTR01241, XENTR01240, XENTR01239, XENTR01242, XENTR17697	SCHMD12270
OG0000041	XENTR14135	SCHMD08254
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	XENTR03001, XENTR09331	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664	SCHMD00424
OG0000043	XENTR13561, XENTR13559	SCHMD29206, SCHMD09758
OG0000049	XENTR07960	SCHMD22370
OG0000051	XENTR08842	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000058	XENTR11839	SCHMD04270
OG0000058	XENTR16220	SCHMD07793, SCHMD04483, SCHMD04579, SCHMD08402
OG0000060	XENTR11489, XENTR04114, XENTR08957	SCHMD03062
OG0000061	XENTR00116, XENTR05367	SCHMD24930
OG0000061	XENTR10609, XENTR10747	SCHMD11039
OG0000062	XENTR06154, XENTR13824, XENTR13820, XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203, XENTR15531, XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496, XENTR09512	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	XENTR10234, XENTR04709, XENTR00319	SCHMD04855
OG0000063	XENTR11311	SCHMD09653
OG0000063	XENTR04708	SCHMD24452
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	XENTR18882	SCHMD06030
OG0000069	XENTR16269	SCHMD05798, SCHMD12262
OG0000070	XENTR15503, XENTR11143, XENTR02048	SCHMD06745
OG0000072	XENTR15041, XENTR13953	SCHMD10090
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	XENTR14285, XENTR05936	SCHMD10965
OG0000075	XENTR01223, XENTR05975	SCHMD03704
OG0000075	XENTR10723	SCHMD21424
OG0000077	XENTR06888, XENTR17790, XENTR02687	SCHMD17571
OG0000077	XENTR01904, XENTR08754, XENTR13403	SCHMD23576
OG0000077	XENTR07875, XENTR00642, XENTR04757	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	SCHMD04824, SCHMD04525
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	XENTR08294, XENTR08293, XENTR03649	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	XENTR15371	SCHMD06941, SCHMD04736
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	SCHMD10387, SCHMD06434
OG0000082	XENTR16096	SCHMD03263, SCHMD10119
OG0000082	XENTR10095, XENTR10628	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	SCHMD19821, SCHMD23941, SCHMD23870
OG0000085	XENTR04052, XENTR12507	SCHMD12836
OG0000085	XENTR15005	SCHMD12466
OG0000085	XENTR00809	SCHMD18327
OG0000087	XENTR17246	SCHMD09399, SCHMD09405, SCHMD09406
OG0000087	XENTR13447, XENTR13446	SCHMD25358
OG0000087	XENTR10385	SCHMD03393, SCHMD23919
OG0000087	XENTR18799	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336
OG0000087	XENTR00376	SCHMD07337
OG0000093	XENTR11592, XENTR02843, XENTR08380	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	XENTR18065	SCHMD23746, SCHMD24402, SCHMD07078, SCHMD24401, SCHMD13656, SCHMD18841, SCHMD20088
OG0000094	XENTR15146	SCHMD18376, SCHMD14753
OG0000094	XENTR18157	SCHMD26804
OG0000094	XENTR09915, XENTR14788, XENTR17591	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000096	XENTR02339, XENTR11518	SCHMD07753
OG0000096	XENTR16018, XENTR14119, XENTR17893	SCHMD10033
OG0000097	XENTR04701, XENTR00449, XENTR04699, XENTR04698, XENTR04700	SCHMD22037, SCHMD20326
OG0000098	XENTR13786, XENTR13233, XENTR09318, XENTR06987	SCHMD29644, SCHMD22119
OG0000099	XENTR08245, XENTR06050, XENTR16324, XENTR11719, XENTR12540	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000099	XENTR08433	SCHMD14698, SCHMD05542
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493	SCHMD29081, SCHMD19673
OG0000103	XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	SCHMD08147
OG0000106	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555, XENTR07802, XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000107	XENTR16492	SCHMD04920
OG0000107	XENTR07772	SCHMD11257
OG0000113	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043	SCHMD06629, SCHMD02664
OG0000114	XENTR08858, XENTR12456, XENTR00845, XENTR00844, XENTR00843, XENTR01175, XENTR08055	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000119	XENTR05393, XENTR05242, XENTR06871, XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933, XENTR01125, XENTR14071	SCHMD02911
OG0000121	XENTR08397	SCHMD07020
OG0000122	XENTR01730, XENTR03137, XENTR03802	SCHMD16641, SCHMD09849
OG0000124	XENTR05926, XENTR10247, XENTR00962, XENTR04813	SCHMD10270, SCHMD10271
OG0000124	XENTR09248, XENTR09249	SCHMD08774
OG0000126	XENTR03459, XENTR13788, XENTR00416	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	XENTR09023	SCHMD24144
OG0000126	XENTR14632, XENTR03466	SCHMD01813, SCHMD04253
OG0000127	XENTR10923, XENTR12718	SCHMD03781
OG0000128	XENTR09496, XENTR10668, XENTR08486, XENTR08487	SCHMD25789, SCHMD19594
OG0000128	XENTR04418	SCHMD29825
OG0000129	XENTR14286	SCHMD23245, SCHMD26510, SCHMD08406
OG0000129	XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673	SCHMD20816, SCHMD05405
OG0000129	XENTR14278, XENTR11921, XENTR18992, XENTR15519	SCHMD03224
OG0000130	XENTR09287, XENTR09286, XENTR18945, XENTR04945, XENTR12880, XENTR09655, XENTR07979, XENTR07151, XENTR03234, XENTR02051, XENTR08843, XENTR10120	SCHMD17609
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	XENTR04900	SCHMD04306
OG0000137	XENTR10667	SCHMD09558
OG0000139	XENTR06324	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000140	XENTR11484	SCHMD01677
OG0000147	XENTR03268, XENTR13018	SCHMD11019
OG0000147	XENTR12286	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025
OG0000147	XENTR02156, XENTR12287	SCHMD11968
OG0000148	XENTR11222, XENTR06966, XENTR07952, XENTR02368	SCHMD08056
OG0000149	XENTR01442, XENTR00579	SCHMD06205, SCHMD05440
OG0000151	XENTR14804, XENTR06918, XENTR07090, XENTR00143, XENTR00142	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	XENTR06824, XENTR00446, XENTR00447, XENTR18335	SCHMD02747, SCHMD12342
OG0000153	XENTR04393, XENTR14583, XENTR14584, XENTR14230	SCHMD05163, SCHMD05160, SCHMD02381
OG0000155	XENTR03823	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	XENTR18176	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	XENTR13673, XENTR05745, XENTR13672	SCHMD13125
OG0000157	XENTR09579, XENTR08086	SCHMD03548, SCHMD06363
OG0000157	XENTR09559	SCHMD01802
OG0000158	XENTR17930, XENTR04115, XENTR04631	SCHMD18936
OG0000158	XENTR14207, XENTR14206, XENTR14205	SCHMD15100, SCHMD15049
OG0000159	XENTR09320, XENTR09321	SCHMD26601, SCHMD09606
OG0000159	XENTR09386, XENTR07751	SCHMD14942
OG0000162	XENTR19069	SCHMD01637
OG0000162	XENTR08764	SCHMD08936, SCHMD26694
OG0000163	XENTR03897, XENTR06574, XENTR17419, XENTR06573, XENTR03895	SCHMD23090
OG0000163	XENTR10844, XENTR07114, XENTR03341	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000166	XENTR01839	SCHMD15704, SCHMD08401
OG0000167	XENTR16865, XENTR16863	SCHMD16214, SCHMD15187
OG0000167	XENTR13141	SCHMD10169, SCHMD14397, SCHMD01901, SCHMD10730
OG0000171	XENTR10513, XENTR07909	SCHMD26790, SCHMD13950
OG0000174	XENTR02208, XENTR05576	SCHMD09838
OG0000174	XENTR05232	SCHMD22727, SCHMD14760, SCHMD22728
OG0000175	XENTR08289, XENTR15844, XENTR03000, XENTR09335, XENTR04649	SCHMD18439, SCHMD17544
OG0000179	XENTR01942	SCHMD11075
OG0000179	XENTR00560, XENTR12119	SCHMD01320
OG0000179	XENTR14437	SCHMD18057, SCHMD09466, SCHMD10031, SCHMD16482, SCHMD14348, SCHMD09468
OG0000181	XENTR06217, XENTR12611, XENTR02755	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	XENTR17190, XENTR17189, XENTR03816	SCHMD03915, SCHMD03917, SCHMD09330, SCHMD09328
OG0000181	XENTR07239, XENTR03077	SCHMD20053, SCHMD26119
OG0000182	XENTR14471	SCHMD07603
OG0000183	XENTR02086, XENTR13524, XENTR16217	SCHMD21103, SCHMD28756
OG0000183	XENTR02643, XENTR17355, XENTR02630	SCHMD12130, SCHMD10333
OG0000188	XENTR00085	SCHMD07258
OG0000188	XENTR09997, XENTR04456	SCHMD04013
OG0000192	XENTR01061, XENTR03994, XENTR04308	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	SCHMD11912, SCHMD12565
OG0000195	XENTR11322, XENTR09909, XENTR17326	SCHMD06851
OG0000195	XENTR19159	SCHMD06771
OG0000197	XENTR12861, XENTR09625, XENTR08202, XENTR08199, XENTR08201	SCHMD10696, SCHMD17861, SCHMD23209
OG0000199	XENTR07547, XENTR03662, XENTR03661, XENTR18903, XENTR03663, XENTR13756, XENTR13759, XENTR03660, XENTR03657, XENTR03659, XENTR19107, XENTR13755, XENTR19071, XENTR19279, XENTR19212, XENTR13752, XENTR13754, XENTR13753	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974
OG0000200	XENTR00252	SCHMD07833, SCHMD18193, SCHMD17707
OG0000201	XENTR16600, XENTR16601, XENTR04781	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	XENTR04564	SCHMD00317, SCHMD09035
OG0000201	XENTR12187, XENTR00868	SCHMD10520
OG0000202	XENTR07901	SCHMD09501
OG0000203	XENTR04908, XENTR08192, XENTR07634	SCHMD13221
OG0000205	XENTR12959, XENTR05519	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	XENTR16886, XENTR01752, XENTR14923	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	XENTR18445, XENTR10749, XENTR03131	SCHMD03008, SCHMD07998, SCHMD07996
OG0000207	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	XENTR16926, XENTR03526, XENTR09459, XENTR16011, XENTR11826, XENTR05993	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000210	XENTR12375, XENTR19252	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	XENTR04415	SCHMD24015
OG0000211	XENTR00605	SCHMD21436
OG0000215	XENTR01627, XENTR06477	SCHMD15383
OG0000215	XENTR04188	SCHMD27729, SCHMD15945
OG0000218	XENTR06015	SCHMD01527
OG0000220	XENTR15742	SCHMD07645
OG0000221	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885	SCHMD10720
OG0000222	XENTR18094, XENTR09636, XENTR09635	SCHMD21612, SCHMD08502
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000227	XENTR12301, XENTR12302	SCHMD05742, SCHMD06927
OG0000227	XENTR16453	SCHMD26170
OG0000227	XENTR15725, XENTR05302, XENTR05301	SCHMD05353
OG0000227	XENTR00522, XENTR04987	SCHMD04380
OG0000230	XENTR08030, XENTR08029	SCHMD23835, SCHMD14315
OG0000231	XENTR12600, XENTR00418, XENTR03456, XENTR16995	SCHMD15225, SCHMD17377
OG0000231	XENTR00474, XENTR12545	SCHMD24769, SCHMD25604
OG0000233	XENTR14531	SCHMD01146, SCHMD07435, SCHMD22145
OG0000235	XENTR03491, XENTR04363, XENTR04213, XENTR04161	SCHMD29163
OG0000236	XENTR04703	SCHMD00730
OG0000239	XENTR02896, XENTR08392	SCHMD18522
OG0000239	XENTR09596	SCHMD03432
OG0000239	XENTR06920, XENTR03351	SCHMD06547
OG0000242	XENTR19139, XENTR02853	SCHMD20260
OG0000244	XENTR01354	SCHMD21826
OG0000246	XENTR05669	SCHMD02140
OG0000246	XENTR12561	SCHMD16891, SCHMD17961, SCHMD12289
OG0000250	XENTR02680	SCHMD07715, SCHMD11126
OG0000250	XENTR02681	SCHMD11127
OG0000250	XENTR13730	SCHMD00165
OG0000250	XENTR18990	SCHMD03762, SCHMD05189
OG0000251	XENTR09634	SCHMD28872
OG0000255	XENTR09255	SCHMD14618, SCHMD25034
OG0000256	XENTR18908	SCHMD06220
OG0000258	XENTR01829	SCHMD19345
OG0000260	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330	SCHMD00231
OG0000263	XENTR08076	SCHMD21152, SCHMD16080, SCHMD25801, SCHMD26173, SCHMD15861, SCHMD05150
OG0000265	XENTR04690	SCHMD14945, SCHMD03613, SCHMD19985
OG0000265	XENTR16783	SCHMD18240, SCHMD09007
OG0000266	XENTR19182	SCHMD11802
OG0000268	XENTR08601, XENTR08600, XENTR12203	SCHMD25441
OG0000270	XENTR15949, XENTR01261	SCHMD16423
OG0000272	XENTR12139, XENTR00222, XENTR10866, XENTR04026, XENTR00876	SCHMD13324, SCHMD08067
OG0000273	XENTR05880	SCHMD09689
OG0000275	XENTR08145, XENTR07453, XENTR01933	SCHMD08209, SCHMD24873
OG0000277	XENTR14696, XENTR01190	SCHMD09439
OG0000278	XENTR09088	SCHMD04708, SCHMD14538
OG0000280	XENTR09398, XENTR05286	SCHMD23115
OG0000281	XENTR11395, XENTR11394, XENTR00724, XENTR17839, XENTR12423, XENTR05941, XENTR08165	SCHMD28123, SCHMD29220
OG0000282	XENTR02925, XENTR13973	SCHMD05137
OG0000282	XENTR07444	SCHMD15635, SCHMD25636
OG0000282	XENTR13582	SCHMD25893
OG0000284	XENTR07786, XENTR15522, XENTR13217	SCHMD23360, SCHMD08213
OG0000287	XENTR09170	SCHMD20375, SCHMD22052, SCHMD09584, SCHMD21912, SCHMD24074, SCHMD15817, SCHMD20976, SCHMD00675, SCHMD16477, SCHMD24758, SCHMD25574
OG0000288	XENTR03004, XENTR07811, XENTR01416, XENTR09626, XENTR07805	SCHMD10121, SCHMD07093, SCHMD10930, SCHMD07061
OG0000289	XENTR00324, XENTR04766	SCHMD14014, SCHMD14418, SCHMD14417, SCHMD14015, SCHMD16163
OG0000295	XENTR01672	SCHMD11340, SCHMD11341, SCHMD11339, SCHMD02776, SCHMD10264, SCHMD14695
OG0000299	XENTR10892, XENTR10893, XENTR02454, XENTR12999, XENTR07989	SCHMD13170, SCHMD20344
OG0000303	XENTR17264	SCHMD12943, SCHMD06255, SCHMD11348
OG0000305	XENTR15555	SCHMD22293
OG0000305	XENTR05359	SCHMD04764
OG0000305	XENTR04162, XENTR07218	SCHMD01975
OG0000308	XENTR05341, XENTR03132, XENTR11682, XENTR17432	SCHMD26369
OG0000308	XENTR06275	SCHMD14069, SCHMD01003, SCHMD00895
OG0000310	XENTR02307, XENTR02306	SCHMD09298, SCHMD11775
OG0000313	XENTR04895, XENTR02724, XENTR08592	SCHMD03134
OG0000315	XENTR03674	SCHMD06241
OG0000315	XENTR04204, XENTR06293	SCHMD17654
OG0000315	XENTR02373	SCHMD01939
OG0000316	XENTR07574, XENTR05658	SCHMD10536, SCHMD22735
OG0000316	XENTR00550, XENTR11533	SCHMD10615, SCHMD19154
OG0000317	XENTR13934, XENTR13686, XENTR00225	SCHMD15845
OG0000319	XENTR04637	SCHMD18991
OG0000319	XENTR04638	SCHMD18992
OG0000319	XENTR08302	SCHMD16069
OG0000320	XENTR10555	SCHMD20182
OG0000321	XENTR04726	SCHMD10046
OG0000321	XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907	SCHMD04699, SCHMD05278
OG0000322	XENTR06441, XENTR17956, XENTR02845	SCHMD03845, SCHMD03842
OG0000323	XENTR18280	SCHMD21571, SCHMD14125
OG0000325	XENTR07161	SCHMD10722, SCHMD23724, SCHMD17815, SCHMD15286, SCHMD10721, SCHMD23725, SCHMD23881, SCHMD17816
OG0000326	XENTR10133, XENTR03102, XENTR17122	SCHMD05388, SCHMD24730
OG0000326	XENTR16483	SCHMD29727
OG0000329	XENTR05224, XENTR13205, XENTR13637, XENTR14193	SCHMD12472, SCHMD24777, SCHMD26844, SCHMD15152
OG0000332	XENTR14310, XENTR07549	SCHMD26513, SCHMD25129, SCHMD25620, SCHMD25799, SCHMD18311
OG0000333	XENTR16826	SCHMD26037, SCHMD21228
OG0000338	XENTR03666, XENTR00810, XENTR00811, XENTR03279	SCHMD23566, SCHMD22193
OG0000338	XENTR12945	SCHMD17969
OG0000339	XENTR06902, XENTR11218	SCHMD09051, SCHMD09049, SCHMD07931, SCHMD10837, SCHMD09050, SCHMD11944, SCHMD04027
OG0000343	XENTR11384, XENTR11385, XENTR00663, XENTR09712	SCHMD10731, SCHMD08099
OG0000346	XENTR17511, XENTR00075, XENTR04734	SCHMD26404
OG0000350	XENTR14747, XENTR16793, XENTR09038, XENTR12529	SCHMD23543
OG0000352	XENTR04727, XENTR11543, XENTR14779	SCHMD07814
OG0000352	XENTR11161, XENTR18553	SCHMD03216
OG0000353	XENTR02225	SCHMD09276, SCHMD00283, SCHMD07604
OG0000356	XENTR07422	SCHMD05389, SCHMD00245
OG0000357	XENTR15991, XENTR10312, XENTR11352, XENTR14897	SCHMD22062, SCHMD19961
OG0000357	XENTR15970, XENTR17586, XENTR08879, XENTR13168	SCHMD01155
OG0000358	XENTR09276	SCHMD28430, SCHMD13052, SCHMD26873
