Orthogroup	XENTR	OWEFU
OG0000007	XENTR10435	OFUSG09476.1.p1
OG0000007	XENTR12787, XENTR08906, XENTR06676	OFUSG21527.1.p1
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	OFUSG13716.1.p1
OG0000007	XENTR03222	OFUSG23682.1.p1
OG0000007	XENTR07642	OFUSG05364.1.p1
OG0000007	XENTR11347, XENTR18406	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	XENTR04991	OFUSG23111.1.p1
OG0000007	XENTR04990, XENTR05942	OFUSG04768.1.p1
OG0000007	XENTR09461, XENTR01137	OFUSG25429.1.p1
OG0000007	XENTR03031, XENTR06562	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	XENTR07405, XENTR01816	OFUSG10613.1.p1
OG0000007	XENTR09232, XENTR15271	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000008	XENTR11531, XENTR11530, XENTR00356	OFUSG01560.1.p1
OG0000008	XENTR06130	OFUSG15555.1.p1, OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1
OG0000008	XENTR07747	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	XENTR00105	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	XENTR02826, XENTR02855	OFUSG05918.1.p1
OG0000008	XENTR15536	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1
OG0000010	XENTR06633, XENTR06635, XENTR06634	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	XENTR08588	OFUSG05937.1.p1
OG0000010	XENTR08285, XENTR08284, XENTR12501, XENTR02618, XENTR13366, XENTR13367, XENTR13368, XENTR13360, XENTR13363, XENTR18987, XENTR13365, XENTR13362, XENTR13361, XENTR14666, XENTR14667, XENTR13349, XENTR15864, XENTR13352, XENTR13346, XENTR13354, XENTR13358, XENTR13359	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	XENTR09147, XENTR00681	OFUSG00805.1.p1
OG0000015	XENTR05642	OFUSG02249.1.p1
OG0000015	XENTR17900, XENTR14250, XENTR15058, XENTR02840	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	XENTR13566, XENTR03288, XENTR15069	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	XENTR10586, XENTR06233	OFUSG16773.1.p1
OG0000016	XENTR01362, XENTR01363, XENTR07382	OFUSG10402.1.p1
OG0000016	XENTR09539, XENTR00630	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1
OG0000016	XENTR12717	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	XENTR17802	OFUSG11848.1.p1
OG0000016	XENTR18390	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	XENTR19110	OFUSG14111.1.p3
OG0000019	XENTR11604, XENTR11606, XENTR16393, XENTR01006, XENTR01005	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	XENTR07225, XENTR02749, XENTR04194	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	XENTR03535	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	XENTR09200	OFUSG17234.1.p1
OG0000020	XENTR18565	OFUSG19131.1.p1
OG0000020	XENTR15741, XENTR07596, XENTR04090, XENTR05411, XENTR15461, XENTR03248, XENTR03249	OFUSG13406.1.p1
OG0000021	XENTR17791, XENTR16377	OFUSG18643.1.p1
OG0000021	XENTR06809, XENTR02794	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	XENTR11123, XENTR16378	OFUSG03663.1.p1
OG0000021	XENTR12641, XENTR02936	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	XENTR18096, XENTR01150	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	XENTR16121	OFUSG13532.1.p1, OFUSG13532.2.p1
OG0000021	XENTR13705, XENTR13394, XENTR13393	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	XENTR00007	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	OFUSG06069.1.p1
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	XENTR13097, XENTR04037, XENTR05209, XENTR05210	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	XENTR07244, XENTR03079	OFUSG26427.1.p1
OG0000027	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288, XENTR11639, XENTR18028, XENTR18027, XENTR18029	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1
OG0000027	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	XENTR03481, XENTR17263	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	XENTR18279, XENTR05325, XENTR05326, XENTR17548, XENTR15539, XENTR18293, XENTR17549, XENTR05379, XENTR05378	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	XENTR10277, XENTR06737	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000029	XENTR11755, XENTR10534	OFUSG16858.1.p1
OG0000030	XENTR08639	OFUSG16143.1.p1
OG0000030	XENTR18219	OFUSG04213.1.p1
OG0000030	XENTR14147	OFUSG21119.1.p1
OG0000030	XENTR12816	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	XENTR15116	OFUSG02441.1.p1
OG0000031	XENTR05405, XENTR03766	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	XENTR08553, XENTR05384, XENTR03164	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	XENTR03163	OFUSG03938.1.p1
OG0000031	XENTR09319	OFUSG09754.1.p1
OG0000031	XENTR00229	OFUSG12627.1.p1
OG0000031	XENTR12584, XENTR00918	OFUSG02210.1.p1
OG0000031	XENTR00006, XENTR16792, XENTR04300	OFUSG17671.1.p1
OG0000032	XENTR06599	OFUSG07861.1.p1
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	XENTR17016	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	XENTR03433	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	XENTR04943	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	XENTR15456	OFUSG08780.1.p1
OG0000034	XENTR10156	OFUSG00313.1.p1
OG0000034	XENTR16254	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	XENTR08340	OFUSG09735.1.p1
OG0000035	XENTR05239	OFUSG16461.1.p1
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	OFUSG09470.1.p1
OG0000035	XENTR07648	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	OFUSG07851.1.p1
OG0000035	XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	XENTR09858	OFUSG23601.1.p1
OG0000035	XENTR13293, XENTR09857	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	XENTR16945, XENTR13571, XENTR05152	OFUSG05112.1.p1
OG0000036	XENTR07761, XENTR12415, XENTR07272	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	XENTR01038, XENTR15969	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	OFUSG05272.1.p1
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	XENTR16580, XENTR14770, XENTR03861	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	XENTR10865, XENTR10696	OFUSG13518.1.p1
OG0000037	XENTR18131	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	XENTR04197, XENTR04200	OFUSG04771.1.p1
OG0000038	XENTR04206	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	XENTR03946, XENTR03945	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	XENTR17227	OFUSG13129.1.p1, OFUSG05314.1.p1
OG0000039	XENTR17697	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000041	XENTR14135	OFUSG15030.1.p1
OG0000041	XENTR16713, XENTR17286, XENTR13662, XENTR02569	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	OFUSG07896.1.p1
OG0000041	XENTR03001, XENTR09331	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000044	XENTR05498, XENTR01628, XENTR04385, XENTR00688, XENTR04387, XENTR17931	OFUSG03166.1.p1
OG0000046	XENTR04959	OFUSG14160.1.p1
OG0000046	XENTR17142, XENTR08235, XENTR05674, XENTR16277	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000048	XENTR03701	OFUSG03456.1.p1
OG0000048	XENTR01169	OFUSG15705.1.p1
OG0000048	XENTR18412	OFUSG19541.1.p1
OG0000048	XENTR04117	OFUSG11587.1.p1
OG0000048	XENTR05160	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000049	XENTR00212, XENTR08482	OFUSG00390.1.p1
OG0000049	XENTR07031, XENTR06401	OFUSG06038.1.p1
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000049	XENTR10377	OFUSG21750.1.p1, OFUSG17729.1.p1, OFUSG17727.1.p1, OFUSG17730.1.p1, OFUSG19421.1.p1, OFUSG19423.1.p1, OFUSG19424.1.p1
OG0000051	XENTR08842	OFUSG14314.1.p1
OG0000054	XENTR04962, XENTR04961	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	XENTR00035, XENTR00034, XENTR00033, XENTR00032	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	OFUSG17281.1.p1
OG0000056	XENTR00781	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000057	XENTR04236, XENTR01413, XENTR01414	OFUSG18495.1.p1
OG0000057	XENTR03679	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000058	XENTR09300	OFUSG21852.1.p1
OG0000058	XENTR11839	OFUSG06504.1.p1
OG0000058	XENTR16040, XENTR02416, XENTR06707	OFUSG18325.1.p1
OG0000059	XENTR06961, XENTR16370	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000059	XENTR15475	OFUSG21274.1.p1
OG0000060	XENTR09513	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000061	XENTR00116, XENTR05367	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	XENTR10609, XENTR10747	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	XENTR09512	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	XENTR10234, XENTR04709, XENTR00319	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	XENTR11311	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	XENTR04708	OFUSG20081.1.p1
OG0000063	XENTR15638	OFUSG23292.1.p1
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1
OG0000066	XENTR18882	OFUSG23527.1.p1
OG0000067	XENTR13783, XENTR04874	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
OG0000068	XENTR06812, XENTR11294, XENTR01321, XENTR07981, XENTR06611	OFUSG19455.1.p1
OG0000069	XENTR15529	OFUSG26968.1.p1
OG0000070	XENTR15503, XENTR11143, XENTR02048	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1
OG0000070	XENTR15175, XENTR04776, XENTR13746, XENTR15542	OFUSG12713.1.p1
OG0000071	XENTR09995, XENTR01851, XENTR10875	OFUSG13633.1.p1, OFUSG18328.1.p1
OG0000072	XENTR15041, XENTR13953	OFUSG02543.3.p1, OFUSG02543.1.p1, OFUSG02543.2.p1
OG0000072	XENTR03548, XENTR18546	OFUSG02679.1.p1, OFUSG02679.2.p1
OG0000072	XENTR01057	OFUSG03079.1.p1
OG0000073	XENTR03608, XENTR03610, XENTR03611, XENTR03612	OFUSG09086.1.p1, OFUSG00356.1.p1, OFUSG20720.1.p1
OG0000074	XENTR10798, XENTR10797, XENTR11114	OFUSG24829.1.p1, OFUSG06062.1.p1
OG0000075	XENTR06215	OFUSG16504.1.p1
OG0000075	XENTR09250	OFUSG13755.2.p1, OFUSG13755.1.p1
OG0000075	XENTR14285, XENTR05936	OFUSG26879.2.p1, OFUSG26879.1.p1
OG0000075	XENTR04179, XENTR06216	OFUSG16171.1.p1, OFUSG16171.2.p1
OG0000075	XENTR01223, XENTR05975	OFUSG06373.1.p1
OG0000075	XENTR10723	OFUSG05709.1.p1
OG0000075	XENTR06816, XENTR17547, XENTR16124	OFUSG18892.2.p1, OFUSG18892.1.p1
OG0000075	XENTR05986, XENTR05987	OFUSG19094.1.p1
OG0000077	XENTR06888, XENTR17790, XENTR02687	OFUSG19468.1.p1
OG0000077	XENTR01904, XENTR08754, XENTR13403	OFUSG05945.4.p1, OFUSG05945.3.p1, OFUSG05945.2.p1, OFUSG05945.1.p1
OG0000077	XENTR07875, XENTR00642, XENTR04757	OFUSG04692.1.p1
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	OFUSG04718.1.p1
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	OFUSG21029.1.p1
OG0000079	XENTR08294, XENTR08293, XENTR03649	OFUSG10422.3.p1, OFUSG10422.2.p1, OFUSG10422.1.p1, OFUSG10422.4.p1
OG0000079	XENTR01194	OFUSG24101.1.p1
OG0000079	XENTR15371	OFUSG19660.3.p1, OFUSG19660.2.p1, OFUSG19660.1.p1
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	OFUSG21451.1.p1
OG0000082	XENTR16096	OFUSG08036.1.p1
OG0000082	XENTR01624, XENTR01625	OFUSG05603.1.p1
OG0000083	XENTR04370, XENTR12084, XENTR05647	OFUSG03380.1.p1, OFUSG03380.2.p1
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	OFUSG05733.1.p1, OFUSG06631.1.p1
