Orthogroup	XENTR	YEAST
OG0000043	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664, XENTR13561, XENTR13559	YEAST00224, YEAST01200
OG0000048	XENTR03701, XENTR11111, XENTR01169, XENTR18412, XENTR04117, XENTR05160	YEAST05707
OG0000054	XENTR04962, XENTR04961, XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900	YEAST01385
OG0000055	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999	YEAST01199, YEAST00225
OG0000058	XENTR09300, XENTR11839	YEAST02989
OG0000058	XENTR16220, XENTR16040, XENTR02416, XENTR06707, XENTR13842, XENTR00121	YEAST02120
OG0000069	XENTR15529	YEAST03661
OG0000069	XENTR16269	YEAST05172
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648, XENTR08294, XENTR08293, XENTR03649, XENTR01194, XENTR15371	YEAST05330
OG0000082	XENTR16096	YEAST03287
OG0000082	XENTR01624, XENTR01625	YEAST04267, YEAST01834, YEAST03359
OG0000082	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426	YEAST02993
OG0000096	XENTR02028, XENTR07076, XENTR03113, XENTR02339, XENTR11518	YEAST02643
OG0000096	XENTR06220, XENTR01880	YEAST00638
OG0000096	XENTR18613, XENTR18353, XENTR11491, XENTR07413, XENTR11633, XENTR16018, XENTR14119, XENTR17893	YEAST05104, YEAST05564
OG0000103	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493, XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614	YEAST02873
OG0000107	XENTR19238, XENTR19248, XENTR16492, XENTR07772, XENTR19083	YEAST05173
OG0000113	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043	YEAST00378, YEAST01351, YEAST05581
OG0000116	XENTR15162, XENTR12530	YEAST04456
OG0000122	XENTR06907, XENTR17281, XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802	YEAST04928
OG0000124	XENTR05926	YEAST05021
OG0000124	XENTR09248, XENTR09249	YEAST04122
OG0000127	XENTR02720, XENTR03441, XENTR09025, XENTR10923, XENTR12718, XENTR18212, XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893, XENTR01486, XENTR04784, XENTR07585	YEAST06208
OG0000128	XENTR04418	YEAST03441, YEAST01398, YEAST05967, YEAST05716
OG0000132	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255, XENTR04795	YEAST06016
OG0000137	XENTR10738, XENTR07993, XENTR07994, XENTR04900, XENTR11062, XENTR17418, XENTR10667	YEAST01851, YEAST00637
OG0000142	XENTR10224, XENTR10223, XENTR07681, XENTR14526, XENTR15206, XENTR12932, XENTR08172, XENTR16130	YEAST02122
OG0000158	XENTR11952, XENTR09918, XENTR04676, XENTR04675, XENTR11953, XENTR17680, XENTR15601, XENTR17930, XENTR04115, XENTR04631, XENTR14207, XENTR14206, XENTR14205	YEAST05568
OG0000160	XENTR02472, XENTR00861, XENTR00862	YEAST04194
OG0000175	XENTR08289, XENTR15844, XENTR03000, XENTR09335, XENTR04649, XENTR10033	YEAST00850, YEAST04327
OG0000179	XENTR01942	YEAST01123, YEAST04430
OG0000179	XENTR00560, XENTR12119	YEAST02911, YEAST01281
OG0000179	XENTR05649	YEAST04108, YEAST03346
OG0000181	XENTR06217, XENTR12611, XENTR02755, XENTR06005, XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077, XENTR09033, XENTR12669	YEAST00824, YEAST00771
OG0000186	XENTR01631, XENTR03039	YEAST00336
OG0000194	XENTR14824, XENTR18660, XENTR00280, XENTR10034	YEAST01410
OG0000195	XENTR11322, XENTR09909, XENTR17326, XENTR19159	YEAST03414
OG0000211	XENTR02626, XENTR00605, XENTR03419, XENTR12567, XENTR17201, XENTR17202, XENTR15376, XENTR01456	YEAST04964
OG0000221	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885	YEAST05872
OG0000222	XENTR18094, XENTR09636, XENTR09635	YEAST01460
OG0000225	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844	YEAST06146
OG0000227	XENTR12301, XENTR12302, XENTR16453, XENTR13632, XENTR15725, XENTR05302, XENTR05301, XENTR06938, XENTR00522, XENTR04987	YEAST05815
OG0000228	XENTR07707, XENTR15692	YEAST04750
OG0000233	XENTR14531	YEAST03726, YEAST03241, YEAST03242
OG0000238	XENTR01828, XENTR07222, XENTR07219, XENTR07220, XENTR07221, XENTR05205, XENTR15099, XENTR08204, XENTR05204	YEAST06340, YEAST03834
OG0000240	XENTR00848, XENTR00849	YEAST03827
OG0000242	XENTR11501, XENTR00387, XENTR02580, XENTR18495, XENTR12685, XENTR19139, XENTR02853, XENTR01304	YEAST00734
OG0000246	XENTR05669, XENTR12561	YEAST01746, YEAST01747
OG0000250	XENTR02680, XENTR02681, XENTR13730, XENTR12693, XENTR18990	YEAST04716
OG0000255	XENTR09255, XENTR12056	YEAST02822
OG0000256	XENTR18908, XENTR00544, XENTR12133, XENTR13229	YEAST00266
OG0000258	XENTR05687, XENTR18554, XENTR18555, XENTR01829, XENTR04830, XENTR00764, XENTR12963, XENTR01640	YEAST00118
OG0000260	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330	YEAST04323
OG0000265	XENTR16783	YEAST03885, YEAST03714
OG0000272	XENTR16722, XENTR12139, XENTR00222, XENTR10866, XENTR04026, XENTR00876	YEAST02076, YEAST01066
OG0000278	XENTR19229	YEAST03847
OG0000278	XENTR14066	YEAST03806
OG0000278	XENTR09088	YEAST04060
OG0000278	XENTR12427	YEAST01107
OG0000284	XENTR07786, XENTR15522, XENTR13217, XENTR04307	YEAST05621
OG0000289	XENTR02120, XENTR05756, XENTR00324, XENTR04766	YEAST00645
OG0000305	XENTR15555, XENTR05359, XENTR04162, XENTR07218	YEAST04899
OG0000308	XENTR05341, XENTR03132, XENTR11682, XENTR17432, XENTR11467, XENTR06275	YEAST02548
OG0000310	XENTR02307, XENTR02306	YEAST02635
OG0000312	XENTR10281, XENTR10282, XENTR04736, XENTR00030, XENTR12581, XENTR16372, XENTR10558	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	XENTR04895, XENTR02724, XENTR08592	YEAST05106
OG0000316	XENTR10753, XENTR07574, XENTR05658, XENTR00550, XENTR11533	YEAST01673
OG0000317	XENTR07755, XENTR05153, XENTR16109, XENTR13934, XENTR13686, XENTR00225	YEAST01356
OG0000321	XENTR04726, XENTR01810, XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907	YEAST03264
OG0000323	XENTR11681, XENTR15307, XENTR15306, XENTR18280, XENTR06278, XENTR08426	YEAST02249
OG0000326	XENTR10133, XENTR03102, XENTR17122	YEAST06268, YEAST05286
OG0000326	XENTR16483	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	XENTR02532, XENTR02531, XENTR02535	YEAST01354
OG0000334	XENTR16957, XENTR16148, XENTR19078, XENTR14909, XENTR18372, XENTR15849, XENTR18441, XENTR14907, XENTR14908, XENTR18600, XENTR18272, XENTR16517, XENTR14905, XENTR16519, XENTR13463, XENTR13461, XENTR13464, XENTR15850, XENTR16147	YEAST05626
OG0000338	XENTR03666, XENTR00810, XENTR00811, XENTR03279	YEAST02967
OG0000338	XENTR12945	YEAST04211
OG0000343	XENTR11384, XENTR11385, XENTR00663, XENTR09712	YEAST03024, YEAST02736
OG0000345	XENTR04999, XENTR04907, XENTR12817	YEAST01884
OG0000352	XENTR04727, XENTR11543, XENTR14779, XENTR11161, XENTR18553	YEAST04069
OG0000357	XENTR15991, XENTR10312, XENTR11352, XENTR14897, XENTR15970, XENTR17586, XENTR08879, XENTR13168	YEAST01925
OG0000359	XENTR05950, XENTR00976, XENTR15161, XENTR14895, XENTR06527, XENTR09262	YEAST02489
OG0000363	XENTR18877, XENTR17199, XENTR06334, XENTR17198	YEAST04081, YEAST05870
OG0000365	XENTR02627, XENTR09699, XENTR09824, XENTR03981, XENTR12218	YEAST05831
OG0000367	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632	YEAST02141, YEAST03746, YEAST03210
OG0000372	XENTR05569, XENTR05568, XENTR06420, XENTR12969, XENTR16656	YEAST05988
OG0000373	XENTR16184, XENTR10296, XENTR11366	YEAST02023
OG0000380	XENTR16530, XENTR15433, XENTR15662, XENTR02493	YEAST01047
OG0000385	XENTR08770, XENTR08013, XENTR01663, XENTR03165, XENTR03166, XENTR03167, XENTR08909	YEAST03496
OG0000393	XENTR10938, XENTR02214	YEAST04072, YEAST04071
OG0000393	XENTR11795	YEAST01302
OG0000397	XENTR11555, XENTR13105, XENTR02279, XENTR18769	YEAST05080
OG0000399	XENTR09009, XENTR04487, XENTR16657, XENTR15857, XENTR05296, XENTR05870	YEAST02160
OG0000400	XENTR01263, XENTR14734, XENTR14733	YEAST05911
OG0000402	XENTR02381, XENTR02219, XENTR11951, XENTR13580, XENTR12413	YEAST01657, YEAST01929
OG0000405	XENTR12151, XENTR12577, XENTR12578, XENTR04243	YEAST06055, YEAST00411
OG0000412	XENTR04274, XENTR17107, XENTR15524	YEAST04469
OG0000413	XENTR02384, XENTR00587, XENTR14291	YEAST04905, YEAST05340
OG0000413	XENTR06107, XENTR11920, XENTR09714	YEAST02838
OG0000419	XENTR12064, XENTR12058, XENTR12063, XENTR12062, XENTR14134, XENTR14316, XENTR11508, XENTR02542, XENTR02541, XENTR16666, XENTR17941, XENTR16880	YEAST05989
OG0000420	XENTR13191, XENTR04997	YEAST03886
OG0000424	XENTR06704	YEAST03563
OG0000426	XENTR13177, XENTR13178	YEAST03440
OG0000427	XENTR16612, XENTR17783, XENTR06248	YEAST02655, YEAST02439
OG0000429	XENTR16139, XENTR13742	YEAST02285
OG0000431	XENTR00991, XENTR05779, XENTR09022, XENTR09024, XENTR09055	YEAST04014
OG0000433	XENTR13728, XENTR07334, XENTR08150, XENTR16244	YEAST06177, YEAST00117
OG0000437	XENTR01065, XENTR01066, XENTR10011	YEAST03074, YEAST02073
OG0000442	XENTR03078, XENTR07242, XENTR07241, XENTR17716, XENTR12755, XENTR00127, XENTR16680	YEAST05012
OG0000444	XENTR16001, XENTR05337	YEAST01115, YEAST04019
OG0000445	XENTR04223	YEAST03068
OG0000450	XENTR00652, XENTR05100, XENTR18185, XENTR14021, XENTR14020, XENTR14894, XENTR03676	YEAST04709, YEAST05909
OG0000461	XENTR03673, XENTR10322, XENTR10323	YEAST00120
OG0000467	XENTR13171, XENTR04831, XENTR01243, XENTR00763	YEAST03162
OG0000468	XENTR14149, XENTR14150, XENTR14148, XENTR14151, XENTR15317	YEAST04372
OG0000469	XENTR07061, XENTR03510, XENTR16136, XENTR06384, XENTR06808	YEAST02179, YEAST05440
OG0000469	XENTR18040, XENTR09815	YEAST00863
OG0000474	XENTR05228, XENTR06948, XENTR12871, XENTR17592	YEAST02384
OG0000476	XENTR14517, XENTR09662	YEAST03038
OG0000479	XENTR00167, XENTR14181, XENTR15349, XENTR00798	YEAST04139
OG0000480	XENTR10551, XENTR10531, XENTR04392, XENTR10532, XENTR01398, XENTR09020, XENTR09018, XENTR09017, XENTR16905	YEAST05750
OG0000481	XENTR18341	YEAST01040
OG0000481	XENTR16095	YEAST00916
OG0000481	XENTR07539, XENTR12694	YEAST00827, YEAST00774
OG0000484	XENTR13210, XENTR00371, XENTR11014, XENTR05882	YEAST05824
OG0000486	XENTR07282, XENTR04857	YEAST03122, YEAST04270
OG0000487	XENTR02388, XENTR12096	YEAST04968
OG0000487	XENTR15492	YEAST02728
OG0000488	XENTR13001, XENTR13002, XENTR02455, XENTR06662, XENTR09002	YEAST01414
OG0000490	XENTR04016, XENTR06481, XENTR16561, XENTR06162, XENTR06161	YEAST04297, YEAST00894
OG0000505	XENTR15726, XENTR09584, XENTR09585, XENTR10436, XENTR09693, XENTR09694, XENTR09583, XENTR09695	YEAST03067
OG0000508	XENTR06935, XENTR13428, XENTR01138, XENTR16721	YEAST04626
OG0000510	XENTR16454, XENTR14055, XENTR06353, XENTR15990	YEAST04569, YEAST05730
OG0000515	XENTR09527	YEAST04784, YEAST05876
OG0000519	XENTR04553	YEAST04594, YEAST03616
OG0000520	XENTR10317, XENTR14896, XENTR14507, XENTR14506, XENTR02607	YEAST02979
OG0000523	XENTR10295, XENTR14142, XENTR06979, XENTR10287, XENTR12571	YEAST01952, YEAST05838, YEAST06082
OG0000529	XENTR04688, XENTR16534, XENTR03224, XENTR04094	YEAST05790, YEAST00048
OG0000534	XENTR08607, XENTR06202, XENTR06939	YEAST04932
OG0000538	XENTR12900, XENTR13063, XENTR02989, XENTR02990	YEAST00499
OG0000552	XENTR04244, XENTR09263, XENTR15303	YEAST05717
OG0000561	XENTR08505, XENTR08504, XENTR11638, XENTR07523	YEAST06202, YEAST00331
OG0000562	XENTR08112, XENTR00450, XENTR10477	YEAST00314
OG0000563	XENTR13310, XENTR01198	YEAST01406
OG0000566	XENTR08330, XENTR08129, XENTR08128, XENTR02577	YEAST05789, YEAST00049
OG0000573	XENTR11849, XENTR00290, XENTR12035, XENTR12034, XENTR08127	YEAST05675
OG0000576	XENTR08548, XENTR01107, XENTR13035	YEAST00470, YEAST00193
OG0000578	XENTR16212, XENTR09090, XENTR03873, XENTR03874, XENTR02080, XENTR02081	YEAST01208, YEAST00759
OG0000579	XENTR09281, XENTR02526, XENTR06804, XENTR04843, XENTR06803, XENTR06802	YEAST02484
OG0000582	XENTR06486, XENTR09933, XENTR15164, XENTR11764	YEAST03615
OG0000587	XENTR08579, XENTR15453, XENTR11141, XENTR11142	YEAST04063
OG0000587	XENTR02064	YEAST03372
OG0000588	XENTR06511, XENTR13248, XENTR15252, XENTR17128	YEAST05197
OG0000590	XENTR14925, XENTR01750, XENTR12267, XENTR05220, XENTR09959, XENTR09960, XENTR17798, XENTR17799	YEAST05110, YEAST05552, YEAST03727
OG0000592	XENTR05738, XENTR09881, XENTR09851, XENTR16083	YEAST00388
OG0000597	XENTR17671, XENTR17670, XENTR19170, XENTR01128, XENTR02665, XENTR08682	YEAST04330
OG0000609	XENTR09031, XENTR09032, XENTR02746, XENTR02747, XENTR09422, XENTR03782	YEAST05180
OG0000612	XENTR15265, XENTR02014, XENTR19287	YEAST02370
OG0000612	XENTR02467	YEAST03629
OG0000613	XENTR09622, XENTR03003, XENTR12862, XENTR14077, XENTR01460	YEAST01072
OG0000623	XENTR07882	YEAST02411
OG0000623	XENTR16677, XENTR03896	YEAST05090
OG0000627	XENTR10097, XENTR14582	YEAST02116, YEAST03957
OG0000639	XENTR14136, XENTR08621, XENTR10212, XENTR12548, XENTR02478	YEAST02015
OG0000642	XENTR11733, XENTR01651	YEAST00618
OG0000645	XENTR00518	YEAST05140
OG0000645	XENTR04338, XENTR04602, XENTR15906	YEAST04743
OG0000647	XENTR08053, XENTR13028, XENTR13027, XENTR17079	YEAST04534
OG0000648	XENTR08177, XENTR08176, XENTR08178, XENTR10991	YEAST04178, YEAST05641
OG0000657	XENTR09582, XENTR05287	YEAST03846
OG0000660	XENTR01113, XENTR00531, XENTR03245	YEAST05150, YEAST01587
OG0000662	XENTR12483, XENTR01671, XENTR04789	YEAST05937
OG0000663	XENTR00226, XENTR13935, XENTR13936, XENTR13937	YEAST02675, YEAST03294
OG0000672	XENTR10536, XENTR18111	YEAST03771
OG0000672	XENTR14352	YEAST00984
OG0000676	XENTR05112, XENTR10868	YEAST01503
OG0000676	XENTR08597, XENTR02025, XENTR07079	YEAST02962
OG0000683	XENTR15130, XENTR06503, XENTR00426	YEAST03152, YEAST03537, YEAST05938
OG0000690	XENTR12763, XENTR09156	YEAST04874
OG0000690	XENTR16042	YEAST02296
OG0000692	XENTR09451	YEAST03487
OG0000694	XENTR09772	YEAST05978
OG0000699	XENTR15466, XENTR05930, XENTR17608, XENTR08575, XENTR08574, XENTR15520, XENTR15465	YEAST05706
OG0000701	XENTR08735, XENTR08734, XENTR08926, XENTR08927, XENTR06451, XENTR01949	YEAST02239, YEAST02223
OG0000703	XENTR08730, XENTR08729, XENTR05594	YEAST05314
OG0000708	XENTR03991, XENTR06811	YEAST05997
OG0000709	XENTR12794, XENTR12280	YEAST00057
OG0000724	XENTR15314	YEAST02013
OG0000732	XENTR11927, XENTR08594, XENTR13213, XENTR00357	YEAST04978
OG0000733	XENTR12956, XENTR09501, XENTR05537, XENTR08499	YEAST05474
OG0000735	XENTR03017, XENTR16831, XENTR00243, XENTR00244	YEAST05945
OG0000737	XENTR14208, XENTR06458	YEAST05188
OG0000744	XENTR04571, XENTR16235, XENTR02481	YEAST05951
OG0000745	XENTR18661, XENTR01647	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	XENTR14203, XENTR03680, XENTR00306, XENTR11450	YEAST01432, YEAST04483
OG0000753	XENTR13232, XENTR16935, XENTR06041, XENTR06042	YEAST01034, YEAST02037
OG0000757	XENTR13722, XENTR08421, XENTR08420, XENTR10378	YEAST01489
OG0000758	XENTR12870, XENTR12401, XENTR02503, XENTR06058, XENTR05483	YEAST01504
OG0000759	XENTR03136, XENTR03134, XENTR01884, XENTR05238, XENTR18352	YEAST02878, YEAST05681
OG0000768	XENTR00756, XENTR13472, XENTR18974	YEAST02560, YEAST04269
OG0000772	XENTR07457, XENTR07456, XENTR07455, XENTR08353	YEAST04929
OG0000776	XENTR04910, XENTR05244	YEAST04571, YEAST00195, YEAST00312
OG0000777	XENTR03884, XENTR01854, XENTR13724	YEAST06297, YEAST02627
OG0000779	XENTR06178, XENTR02460, XENTR07467, XENTR06587	YEAST03812
OG0000782	XENTR15723, XENTR08315, XENTR12833, XENTR02660	YEAST01393, YEAST05616
OG0000791	XENTR01881, XENTR06218, XENTR04189	YEAST02375
OG0000794	XENTR04044, XENTR01141, XENTR18009	YEAST04627
OG0000800	XENTR09887	YEAST03636
OG0000809	XENTR00087, XENTR14827, XENTR06847	YEAST01998
OG0000817	XENTR05219, XENTR09302	YEAST00389
OG0000817	XENTR17704, XENTR17705	YEAST06112
OG0000824	XENTR04940, XENTR04939, XENTR11038	YEAST01319, YEAST02883
OG0000828	XENTR00582	YEAST00945, YEAST05476, YEAST00075
OG0000828	XENTR06348	YEAST02290
OG0000837	XENTR12402, XENTR04077, XENTR09514, XENTR18045	YEAST06222
OG0000841	XENTR17534, XENTR09566, XENTR09621, XENTR09619, XENTR08800	YEAST02416
OG0000847	XENTR18143, XENTR18591	YEAST02881, YEAST03544, YEAST06198
OG0000847	XENTR00819	YEAST02530, YEAST00209
OG0000849	XENTR02560, XENTR07414, XENTR04112	YEAST04475
OG0000850	XENTR00057, XENTR12447	YEAST04287
OG0000852	XENTR17178, XENTR02441, XENTR15626	YEAST01266
OG0000855	XENTR02574, XENTR02573	YEAST04755
OG0000857	XENTR11492	YEAST00309
OG0000868	XENTR15673, XENTR08506, XENTR15115, XENTR19272, XENTR11597, XENTR04476, XENTR18653	YEAST06157
OG0000871	XENTR14179	YEAST03857
OG0000872	XENTR10169, XENTR12689, XENTR12885	YEAST03222, YEAST03741
OG0000875	XENTR15432, XENTR08213	YEAST00077
OG0000876	XENTR06284, XENTR06285, XENTR03810, XENTR01097	YEAST05556
OG0000879	XENTR10540, XENTR18110, XENTR03813	YEAST06123
OG0000888	XENTR12831, XENTR13292, XENTR13291, XENTR01928	YEAST00288
OG0000889	XENTR17043, XENTR16104, XENTR00818	YEAST00175
OG0000894	XENTR12194, XENTR04788, XENTR16604	YEAST03763
OG0000896	XENTR18869	YEAST02476
OG0000896	XENTR13448, XENTR09474	YEAST04923
OG0000898	XENTR03982, XENTR12217	YEAST06255, YEAST03431
OG0000905	XENTR07482, XENTR18937	YEAST00599
OG0000907	XENTR04660, XENTR05742	YEAST02193
OG0000913	XENTR01593, XENTR13952	YEAST03557, YEAST05101
OG0000914	XENTR11295, XENTR10460, XENTR02522, XENTR02868	YEAST04745
OG0000921	XENTR08015, XENTR09161	YEAST02526
OG0000925	XENTR13985, XENTR02311	YEAST05667, YEAST06025
OG0000932	XENTR13910, XENTR16709	YEAST03525
OG0000933	XENTR09950, XENTR06630, XENTR08513	YEAST06306
OG0000934	XENTR14739, XENTR18207	YEAST02582, YEAST06252
OG0000934	XENTR11383, XENTR18032	YEAST05040
OG0000935	XENTR12574, XENTR06757, XENTR07228, XENTR08768	YEAST02843
OG0000943	XENTR19197, XENTR06447	YEAST03805
OG0000944	XENTR10992, XENTR07595, XENTR10654, XENTR10653, XENTR03094, XENTR03561, XENTR14742, XENTR14462, XENTR00679	YEAST04878
OG0000954	XENTR04163, XENTR07349, XENTR07350	YEAST05503, YEAST01249
OG0000955	XENTR15251	YEAST00837
OG0000955	XENTR15299	YEAST04295
OG0000963	XENTR09828, XENTR00065	YEAST03685, YEAST00482, YEAST01749
OG0000964	XENTR15845, XENTR11986, XENTR11979	YEAST04606
OG0000965	XENTR14312	YEAST02552
OG0000965	XENTR16944	YEAST02050
OG0000967	XENTR08823, XENTR06702	YEAST05075
OG0000970	XENTR17949, XENTR01182	YEAST04028
OG0000982	XENTR15733, XENTR18658, XENTR06997	YEAST01182
OG0000984	XENTR03417, XENTR01286, XENTR01285	YEAST01493, YEAST00575
OG0000986	XENTR04261, XENTR01926	YEAST01481, YEAST04073
OG0000987	XENTR06356, XENTR03812	YEAST04734, YEAST02734
OG0000994	XENTR15055, XENTR12451, XENTR12452, XENTR02702, XENTR02703, XENTR02701	YEAST02360
OG0000996	XENTR00689, XENTR11665, XENTR03250	YEAST00033
OG0001001	XENTR17916, XENTR02303	YEAST00341
OG0001003	XENTR06440, XENTR12183	YEAST00644
OG0001006	XENTR01787, XENTR11011, XENTR15378, XENTR09358	YEAST04513
OG0001016	XENTR06361, XENTR11007	YEAST00830
OG0001018	XENTR12838, XENTR13405	YEAST01172
OG0001024	XENTR05573, XENTR09290, XENTR01956	YEAST01024, YEAST00308
OG0001033	XENTR00028, XENTR04288, XENTR04289, XENTR10639	YEAST02124
OG0001066	XENTR08375, XENTR18939, XENTR01227, XENTR05175	YEAST06311
OG0001075	XENTR05482, XENTR14239, XENTR06059	YEAST05636
OG0001076	XENTR04369, XENTR03450	YEAST01570
OG0001081	XENTR11483, XENTR11482	YEAST04460
OG0001082	XENTR04166, XENTR03787	YEAST03919, YEAST02905, YEAST05331
OG0001094	XENTR06671, XENTR12802, XENTR09938	YEAST03837
OG0001095	XENTR12897, XENTR04215	YEAST00773
OG0001096	XENTR04979, XENTR04980, XENTR10593	YEAST01384
OG0001101	XENTR16380	YEAST03434
OG0001101	XENTR18754	YEAST04701
OG0001108	XENTR08568, XENTR01519	YEAST06309
OG0001114	XENTR05283, XENTR05282, XENTR18949	YEAST00036, YEAST05811
OG0001124	XENTR16582, XENTR06212	YEAST02719
OG0001132	XENTR06989	YEAST05421
OG0001133	XENTR17678	YEAST04296
OG0001133	XENTR15362	YEAST03271
OG0001134	XENTR10250, XENTR00965, XENTR03216, XENTR03221	YEAST05015
OG0001135	XENTR14974, XENTR01797, XENTR01779	YEAST03641
OG0001136	XENTR10642, XENTR00557, XENTR12118	YEAST05047, YEAST02997
OG0001140	XENTR00230, XENTR13675, XENTR13933	YEAST03519
OG0001142	XENTR06629	YEAST04001
OG0001163	XENTR08141	YEAST02433
OG0001164	XENTR00877	YEAST03454
OG0001171	XENTR19114, XENTR06589, XENTR07471, XENTR02457	YEAST04620, YEAST03578
OG0001175	XENTR04334, XENTR01937	YEAST00534
OG0001177	XENTR04520, XENTR01947	YEAST06137
OG0001179	XENTR01714	YEAST00368, YEAST04831, YEAST02287
OG0001181	XENTR02917, XENTR13969	YEAST02051
OG0001184	XENTR11761, XENTR16633	YEAST01681
OG0001185	XENTR05474, XENTR09610, XENTR09609	YEAST04969
OG0001186	XENTR07680, XENTR03745, XENTR03736	YEAST04605, YEAST01886
