Orthogroup	XENTR	APOSJ_ok
OG0000002	XENTR12747	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000002	XENTR17667	APOSJ_21931
OG0000003	XENTR17803	APOSJ_58934
OG0000004	XENTR18073	APOSJ_50666, APOSJ_27471
OG0000004	XENTR07291	APOSJ_61234, APOSJ_40238, APOSJ_49811, APOSJ_28826, APOSJ_08124, APOSJ_12667, APOSJ_51632, APOSJ_51634, APOSJ_51633, APOSJ_51631, APOSJ_30278, APOSJ_07840, APOSJ_23165, APOSJ_23172, APOSJ_23166, APOSJ_23170, APOSJ_23169, APOSJ_23173, APOSJ_23171, APOSJ_47570, APOSJ_25218, APOSJ_47569, APOSJ_47568, APOSJ_25219, APOSJ_25220, APOSJ_47571, APOSJ_25221, APOSJ_11346, APOSJ_57308, APOSJ_32767, APOSJ_20314, APOSJ_14748, APOSJ_03228, APOSJ_25008
OG0000005	XENTR16849, XENTR09568	APOSJ_43564, APOSJ_43561
OG0000006	XENTR00026	APOSJ_14510
OG0000006	XENTR03474, XENTR03473, XENTR14730	APOSJ_43757
OG0000006	XENTR03954, XENTR14945	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	XENTR00399, XENTR09859	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	XENTR11329	APOSJ_52128
OG0000006	XENTR15046	APOSJ_25002
OG0000006	XENTR13548	APOSJ_24425, APOSJ_24424
OG0000006	XENTR04854, XENTR07280, XENTR07527	APOSJ_38154
OG0000006	XENTR12339, XENTR03854, XENTR12781	APOSJ_46492
OG0000007	XENTR04989, XENTR07641	APOSJ_59584
OG0000007	XENTR10435	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	XENTR12787, XENTR08906, XENTR06676	APOSJ_59909
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	APOSJ_46494
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	APOSJ_04151
OG0000007	XENTR07642	APOSJ_32909
OG0000007	XENTR04990, XENTR05942	APOSJ_33751
OG0000007	XENTR09461, XENTR01137	APOSJ_45510, APOSJ_50337
OG0000007	XENTR03031, XENTR06562	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	XENTR16583	APOSJ_06582, APOSJ_20594
OG0000007	XENTR07405, XENTR01816	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	XENTR09232, XENTR15271	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000008	XENTR07747	APOSJ_61175
OG0000008	XENTR15138, XENTR01868, XENTR01869, XENTR18973, XENTR01867, XENTR06000, XENTR06001, XENTR05999, XENTR06002, XENTR18538, XENTR06119, XENTR06121, XENTR06120, XENTR06118, XENTR06122, XENTR06117, XENTR06116, XENTR06128, XENTR06124, XENTR06123, XENTR06133, XENTR06127, XENTR06131, XENTR06132, XENTR06129, XENTR06126, XENTR06125	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183
OG0000008	XENTR00105	APOSJ_50496
OG0000009	XENTR08209	APOSJ_58002
OG0000009	XENTR08321, XENTR13550	APOSJ_42413, APOSJ_58003, APOSJ_57999
OG0000010	XENTR04584, XENTR06998, XENTR03807	APOSJ_38780, APOSJ_21761
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	APOSJ_20422
OG0000013	XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527	APOSJ_50056, APOSJ_01943
OG0000014	XENTR09147, XENTR00681	APOSJ_28331, APOSJ_28332
OG0000014	XENTR14500	APOSJ_23867, APOSJ_22503
OG0000015	XENTR05642	APOSJ_33839
OG0000015	XENTR15573, XENTR12597, XENTR03461, XENTR00415	APOSJ_09441, APOSJ_10165
OG0000015	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	XENTR10586, XENTR06233	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	XENTR01362, XENTR01363, XENTR07382	APOSJ_40020
OG0000016	XENTR12717	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	XENTR17802	APOSJ_31207
OG0000016	XENTR18390	APOSJ_11248
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958
OG0000018	XENTR19110	APOSJ_04828
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	XENTR14707	APOSJ_25021
OG0000019	XENTR07225, XENTR02749, XENTR04194	APOSJ_49365
OG0000020	XENTR18565	APOSJ_03215
OG0000020	XENTR14576	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	XENTR00311	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	XENTR04697	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	XENTR07864, XENTR11783	APOSJ_51246, APOSJ_35639
OG0000020	XENTR08063	APOSJ_08125, APOSJ_51104
OG0000020	XENTR15846	APOSJ_64610, APOSJ_31490
OG0000020	XENTR15636	APOSJ_45120
OG0000021	XENTR17791, XENTR16377	APOSJ_47375, APOSJ_47376
OG0000021	XENTR06809, XENTR02794	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	XENTR13705, XENTR13394, XENTR13393	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	XENTR00007	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	APOSJ_12541
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000023	XENTR13097	APOSJ_42179
OG0000026	XENTR07244, XENTR03079	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000028	XENTR10277, XENTR06737	APOSJ_13359, APOSJ_13358
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	XENTR18219	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	XENTR14147	APOSJ_46611, APOSJ_46610
OG0000031	XENTR15116	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549
OG0000031	XENTR05405, XENTR03766	APOSJ_56428
OG0000031	XENTR08553, XENTR05384, XENTR03164	APOSJ_58452
OG0000031	XENTR00229	APOSJ_07842, APOSJ_07841
OG0000031	XENTR12584, XENTR00918	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	XENTR00006, XENTR16792, XENTR04300	APOSJ_01762
OG0000031	XENTR09425	APOSJ_03114, APOSJ_03115
OG0000032	XENTR18392, XENTR18393, XENTR06098, XENTR03124	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	XENTR17016	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	XENTR04943	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	APOSJ_17818, APOSJ_17819
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	XENTR15456	APOSJ_60565, APOSJ_21305
OG0000034	XENTR10156	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	XENTR16254	APOSJ_63084, APOSJ_59127
OG0000034	XENTR08340	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	XENTR05239	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	XENTR05079, XENTR05317, XENTR05866, XENTR05867	APOSJ_13857
OG0000035	XENTR07648	APOSJ_11969, APOSJ_09937
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	XENTR13293, XENTR09857	APOSJ_14503
OG0000036	XENTR07761, XENTR12415, XENTR07272	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	XENTR01038, XENTR15969	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	XENTR16580, XENTR14770, XENTR03861	APOSJ_40888, APOSJ_40889
OG0000037	XENTR10865, XENTR10696	APOSJ_41930, APOSJ_41929
OG0000037	XENTR18131	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	XENTR04197, XENTR04200	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110
OG0000038	XENTR04206	APOSJ_30481
OG0000039	XENTR03946, XENTR03945	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	XENTR17227	APOSJ_23948
OG0000039	XENTR17697	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	APOSJ_07883
OG0000041	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	APOSJ_00247
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	APOSJ_20279, APOSJ_20278
OG0000044	XENTR04387, XENTR17931	APOSJ_57354, APOSJ_57355
OG0000046	XENTR04959	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000047	XENTR07962	APOSJ_38634
OG0000048	XENTR01169	APOSJ_59658
OG0000048	XENTR04117	APOSJ_03221, APOSJ_10764
OG0000048	XENTR05160	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000049	XENTR00212, XENTR08482	APOSJ_51843
OG0000049	XENTR07031, XENTR06401	APOSJ_36502
OG0000049	XENTR07960	APOSJ_36462
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	APOSJ_42263, APOSJ_42264, APOSJ_54268, APOSJ_54266, APOSJ_02357, APOSJ_54267, APOSJ_54270, APOSJ_54269, APOSJ_28465
OG0000054	XENTR04962, XENTR04961	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665
OG0000057	XENTR03679	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499
OG0000058	XENTR11839	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	XENTR16220	APOSJ_14084, APOSJ_62161
OG0000058	XENTR16040, XENTR02416, XENTR06707	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000059	XENTR09381	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944
OG0000059	XENTR06961, XENTR16370	APOSJ_00361, APOSJ_32459
OG0000060	XENTR09513	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505
OG0000060	XENTR11489, XENTR04114, XENTR08957	APOSJ_24727, APOSJ_46788
OG0000061	XENTR00116, XENTR05367	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	XENTR09403, XENTR06949, XENTR06950, XENTR12872, XENTR09801, XENTR02075, XENTR01801, XENTR17074, XENTR09112, XENTR16336, XENTR06851, XENTR10614, XENTR06288	APOSJ_04549, APOSJ_04550
OG0000061	XENTR10609, XENTR10747	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442
OG0000062	XENTR09512	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	XENTR10234, XENTR04709, XENTR00319	APOSJ_62799, APOSJ_60703
OG0000063	XENTR11311	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	XENTR04708	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780
OG0000063	XENTR08048, XENTR02007, XENTR01303	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	XENTR16407, XENTR13484, XENTR05900, XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634	APOSJ_35430, APOSJ_06253
OG0000066	XENTR18882	APOSJ_56697, APOSJ_30328
OG0000067	XENTR13783, XENTR04874	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299
OG0000069	XENTR15529	APOSJ_40539, APOSJ_40541, APOSJ_40540
OG0000070	XENTR15503, XENTR11143, XENTR02048	APOSJ_54993
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701
OG0000072	XENTR03548, XENTR18546	APOSJ_38815, APOSJ_48482
OG0000072	XENTR01057	APOSJ_48834, APOSJ_48835, APOSJ_48833
OG0000074	XENTR10798, XENTR10797, XENTR11114	APOSJ_13143
OG0000074	XENTR14396	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925
OG0000074	XENTR07269, XENTR06689	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506
OG0000075	XENTR02757, XENTR11353, XENTR12610	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256
OG0000075	XENTR06215	APOSJ_54695, APOSJ_54693
OG0000075	XENTR09250	APOSJ_58877, APOSJ_16929, APOSJ_58880
OG0000075	XENTR04179, XENTR06216	APOSJ_41648
OG0000075	XENTR01223, XENTR05975	APOSJ_33309, APOSJ_33308
OG0000075	XENTR10723	APOSJ_16193, APOSJ_16195
OG0000075	XENTR06816, XENTR17547, XENTR16124	APOSJ_55514, APOSJ_55515
OG0000075	XENTR05986, XENTR05987	APOSJ_22770
OG0000078	XENTR05046, XENTR08333, XENTR08953, XENTR08952	APOSJ_09078, APOSJ_48664, APOSJ_48665, APOSJ_28712, APOSJ_28714, APOSJ_20960, APOSJ_02350, APOSJ_61846
OG0000078	XENTR19100	APOSJ_16505, APOSJ_56844, APOSJ_34859, APOSJ_46612, APOSJ_25459, APOSJ_02595, APOSJ_15951, APOSJ_30925, APOSJ_30924, APOSJ_15259, APOSJ_15263, APOSJ_36218, APOSJ_36220, APOSJ_36217, APOSJ_15264, APOSJ_52603, APOSJ_11972, APOSJ_11971, APOSJ_56698, APOSJ_30936, APOSJ_04960, APOSJ_42241, APOSJ_64902, APOSJ_42242, APOSJ_53664, APOSJ_64757
OG0000079	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648	APOSJ_50875, APOSJ_50877, APOSJ_64501, APOSJ_18723, APOSJ_32515, APOSJ_37152
OG0000079	XENTR08294, XENTR08293, XENTR03649	APOSJ_18254
OG0000079	XENTR01194	APOSJ_28991, APOSJ_28990
OG0000079	XENTR15371	APOSJ_06559, APOSJ_06558
OG0000080	XENTR15502, XENTR19201, XENTR02957, XENTR17777, XENTR19137, XENTR07861, XENTR08066	APOSJ_51754, APOSJ_53757, APOSJ_01450
OG0000081	XENTR18129, XENTR18128, XENTR18130, XENTR17315, XENTR17314, XENTR18127, XENTR17316, XENTR16305, XENTR17318, XENTR17317	APOSJ_65213, APOSJ_65212, APOSJ_52934, APOSJ_61033
OG0000082	XENTR16096	APOSJ_25535
OG0000082	XENTR01624, XENTR01625	APOSJ_31175, APOSJ_61283, APOSJ_41067, APOSJ_61284, APOSJ_61286, APOSJ_61287
OG0000083	XENTR04370, XENTR12084, XENTR05647	APOSJ_11498, APOSJ_11497
OG0000084	XENTR14395, XENTR14216, XENTR02688, XENTR03539, XENTR09724	APOSJ_15697
OG0000084	XENTR08804, XENTR16312, XENTR13487	APOSJ_24644, APOSJ_24645
OG0000085	XENTR01729, XENTR03138	APOSJ_64863
OG0000085	XENTR04052, XENTR12507	APOSJ_41027, APOSJ_41023, APOSJ_41020, APOSJ_41026, APOSJ_41024, APOSJ_41021, APOSJ_41025, APOSJ_41022
OG0000085	XENTR15005	APOSJ_25761
OG0000085	XENTR00809	APOSJ_04663, APOSJ_04662
OG0000087	XENTR17246	APOSJ_41352, APOSJ_61505, APOSJ_44974
OG0000087	XENTR13447, XENTR13446	APOSJ_17272
OG0000087	XENTR06736	APOSJ_35197, APOSJ_35195
OG0000087	XENTR07023	APOSJ_02933
OG0000087	XENTR10385	APOSJ_19002, APOSJ_64596, APOSJ_35346
OG0000087	XENTR06016	APOSJ_59532
OG0000087	XENTR00988	APOSJ_03507, APOSJ_10114
OG0000087	XENTR18799	APOSJ_05717, APOSJ_05719, APOSJ_05715, APOSJ_05716, APOSJ_05720, APOSJ_05718
OG0000087	XENTR00376	APOSJ_58727
OG0000088	XENTR13149, XENTR04460, XENTR16769, XENTR11326, XENTR09069, XENTR10979, XENTR05948, XENTR02110	APOSJ_63869, APOSJ_63868, APOSJ_31116, APOSJ_63535, APOSJ_35086, APOSJ_63797, APOSJ_63809, APOSJ_42039, APOSJ_42040, APOSJ_36688, APOSJ_22725, APOSJ_36687, APOSJ_22750, APOSJ_39202, APOSJ_45270
OG0000089	XENTR04109	APOSJ_32496, APOSJ_32445, APOSJ_52135, APOSJ_15609
OG0000090	XENTR11768	APOSJ_38878, APOSJ_38877, APOSJ_38876
OG0000090	XENTR06545	APOSJ_22326
OG0000094	XENTR10717, XENTR18065, XENTR15146	APOSJ_44228, APOSJ_55244, APOSJ_44217, APOSJ_44221
