Orthogroup	ASTMX	PFLAV
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	TCONS_00023551.p1
OG0000006	ASTMX03256, ASTMX09680	TCONS_00003496.p1
OG0000006	ASTMX14682, ASTMX19702	TCONS_00012810.p1
OG0000006	ASTMX21126, ASTMX03352	TCONS_00027932.p1
OG0000006	ASTMX06644	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	TCONS_00028953.p1
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	TCONS_00030792.p1
OG0000006	ASTMX14827	TCONS_00011489.p1
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	TCONS_00011491.p1
OG0000006	ASTMX10604	TCONS_00011052.p1
OG0000007	ASTMX14980	TCONS_00008966.p1
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	TCONS_00029574.p1
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	TCONS_00009611.p1
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	TCONS_00052518.p1
OG0000007	ASTMX22657	TCONS_00052512.p1
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	TCONS_00026068.p1
OG0000007	ASTMX21073, ASTMX16179	TCONS_00051149.p1
OG0000007	ASTMX20070	TCONS_00007744.p1
OG0000007	ASTMX22376, ASTMX11119	TCONS_00008968.p1
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	TCONS_00008967.p1
OG0000007	ASTMX18062, ASTMX21262	TCONS_00055417.p1
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	TCONS_00011336.p1
OG0000007	ASTMX04966, ASTMX11650	TCONS_00014249.p1
OG0000007	ASTMX18779, ASTMX07711	TCONS_00012754.p1
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	TCONS_00009689.p1
OG0000008	ASTMX21956, ASTMX05481	TCONS_00054315.p1
OG0000008	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136, ASTMX19133, ASTMX14439, ASTMX19138	TCONS_00054316.p1
OG0000010	ASTMX21265	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	ASTMX18619	TCONS_00018080.p1
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000011	ASTMX22966, ASTMX22692	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1, TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1, TCONS_00052331.p1
OG0000011	ASTMX07900	TCONS_00008526.p1
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	TCONS_00056711.p1, TCONS_00034080.p1
OG0000011	ASTMX20794	TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1
OG0000011	ASTMX21233	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	ASTMX22970	TCONS_00035599.p1
OG0000011	ASTMX23073, ASTMX20022, ASTMX23051	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1
OG0000012	ASTMX22063, ASTMX16492	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	ASTMX06265	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	TCONS_00023863.p1
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1
OG0000014	ASTMX01801	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	ASTMX03251, ASTMX15832	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1
OG0000014	ASTMX12908, ASTMX11632	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	ASTMX21958, ASTMX03764, ASTMX21759	TCONS_00008348.p1
OG0000015	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	TCONS_00043861.p1
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	ASTMX00540	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	ASTMX02874	TCONS_00003602.p1
OG0000016	ASTMX17395	TCONS_00048341.p1
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000018	ASTMX23058	TCONS_00052465.p2
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	TCONS_00023315.p1, TCONS_00041625.p1, TCONS_00044910.p1, TCONS_00038805.p1, TCONS_00030540.p1, TCONS_00010862.p1, TCONS_00033771.p1, TCONS_00004553.p1, TCONS_00008715.p1, TCONS_00016618.p3, TCONS_00049850.p1, TCONS_00002610.p1, TCONS_00055180.p1, TCONS_00026726.p1, TCONS_00024721.p1, TCONS_00024488.p1, TCONS_00007886.p1, TCONS_00034740.p1, TCONS_00008316.p1, TCONS_00039716.p1, TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	TCONS_00042378.p1
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000020	ASTMX04834	TCONS_00055662.p1
OG0000020	ASTMX22432	TCONS_00041842.p1
OG0000020	ASTMX12285	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	ASTMX15062	TCONS_00054537.p1
OG0000020	ASTMX14060	TCONS_00047850.p1
OG0000020	ASTMX00490, ASTMX12696	TCONS_00045845.p1
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	ASTMX16030	TCONS_00013032.p1
OG0000020	ASTMX16028	TCONS_00019497.p1, TCONS_00020535.p1
OG0000020	ASTMX17320	TCONS_00016378.p1
OG0000020	ASTMX05243	TCONS_00051401.p1
OG0000020	ASTMX04710, ASTMX22736	TCONS_00031077.p1
OG0000020	ASTMX07754	TCONS_00042754.p1
OG0000020	ASTMX13875	TCONS_00019367.p1
OG0000021	ASTMX04046, ASTMX15305	TCONS_00048454.p1
OG0000021	ASTMX00201, ASTMX09085	TCONS_00007765.p1
OG0000021	ASTMX02310, ASTMX16342	TCONS_00006555.p1
OG0000021	ASTMX09645	TCONS_00005068.p1, TCONS_00005066.p1
OG0000021	ASTMX21461, ASTMX05545	TCONS_00016243.p1
OG0000021	ASTMX13864	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	ASTMX18896	TCONS_00026137.p1
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	TCONS_00004930.p1
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	TCONS_00009471.p1, TCONS_00032712.p1, TCONS_00003610.p1, TCONS_00052950.p1, TCONS_00002982.p1, TCONS_00039372.p1, TCONS_00038234.p1, TCONS_00054692.p1, TCONS_00050908.p1, TCONS_00023169.p1, TCONS_00025719.p1, TCONS_00045646.p1, TCONS_00035184.p1, TCONS_00045722.p1, TCONS_00030268.p1, TCONS_00004208.p1
OG0000026	ASTMX12978	TCONS_00017322.p1
OG0000027	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	TCONS_00037910.p1, TCONS_00000070.p1, TCONS_00041506.p1, TCONS_00037953.p1, TCONS_00037911.p1, TCONS_00037954.p1, TCONS_00037955.p1, TCONS_00041505.p1, TCONS_00037956.p1, TCONS_00051662.p1, TCONS_00051534.p1, TCONS_00051531.p1, TCONS_00051545.p1, TCONS_00051542.p1, TCONS_00051540.p1, TCONS_00050429.p1, TCONS_00051539.p1, TCONS_00051538.p1, TCONS_00051546.p1, TCONS_00051544.p1, TCONS_00051543.p1, TCONS_00051530.p1, TCONS_00051529.p1, TCONS_00051660.p1, TCONS_00051659.p1, TCONS_00051657.p1, TCONS_00051550.p1, TCONS_00018215.p1, TCONS_00050742.p1, TCONS_00050164.p1, TCONS_00050163.p1, TCONS_00050166.p1, TCONS_00050169.p1, TCONS_00050160.p1, TCONS_00050162.p1, TCONS_00050173.p1, TCONS_00050168.p1
OG0000027	ASTMX01680	TCONS_00021458.p1, TCONS_00021461.p1, TCONS_00022575.p1
OG0000028	ASTMX18482, ASTMX18778	TCONS_00008790.p1
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	TCONS_00026901.p1, TCONS_00027219.p1, TCONS_00001048.p1, TCONS_00005463.p1, TCONS_00006513.p1
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	TCONS_00029777.p1, TCONS_00029776.p1
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	TCONS_00020525.p1
OG0000029	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708	TCONS_00029399.p1, TCONS_00023706.p1, TCONS_00029394.p1, TCONS_00023709.p1, TCONS_00020104.p1
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	TCONS_00019673.p1
OG0000030	ASTMX02378, ASTMX18821	TCONS_00054176.p1, TCONS_00054136.p1
OG0000030	ASTMX01510	TCONS_00042392.p1
OG0000031	ASTMX05563	TCONS_00032922.p1
OG0000031	ASTMX22504	TCONS_00047108.p1
OG0000031	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	TCONS_00005437.p1
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	TCONS_00003900.p1
OG0000031	ASTMX12572	TCONS_00002937.p1
OG0000031	ASTMX06525	TCONS_00028162.p1
OG0000031	ASTMX09693, ASTMX17541	TCONS_00046710.p1, TCONS_00045709.p1
OG0000031	ASTMX03912, ASTMX00105	TCONS_00041599.p1
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	TCONS_00054588.p1
OG0000031	ASTMX00107, ASTMX04176	TCONS_00042947.p1
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	TCONS_00003964.p1
OG0000032	ASTMX08687, ASTMX18764	TCONS_00018159.p1
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	TCONS_00016893.p1, TCONS_00044343.p1, TCONS_00035361.p1, TCONS_00017411.p1, TCONS_00050123.p1, TCONS_00016786.p1, TCONS_00017609.p1, TCONS_00050122.p1, TCONS_00017607.p1, TCONS_00017604.p1, TCONS_00016860.p1, TCONS_00016861.p1, TCONS_00016865.p1, TCONS_00017410.p1, TCONS_00012833.p1, TCONS_00012832.p1
OG0000032	ASTMX06705	TCONS_00045890.p1, TCONS_00018770.p1
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	TCONS_00005924.p1
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	TCONS_00049881.p1, TCONS_00037015.p1
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	TCONS_00029638.p1
OG0000034	ASTMX12428, ASTMX02190	TCONS_00037982.p1
OG0000034	ASTMX01548	TCONS_00030311.p1, TCONS_00029930.p1
OG0000034	ASTMX02136	TCONS_00037412.p1
OG0000034	ASTMX10911	TCONS_00037414.p1, TCONS_00037417.p1
OG0000035	ASTMX17732	TCONS_00003567.p1
OG0000035	ASTMX22713, ASTMX21245	TCONS_00041944.p1, TCONS_00028232.p1
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	TCONS_00023673.p1
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	TCONS_00024074.p1
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	TCONS_00023006.p1, TCONS_00025465.p1
OG0000035	ASTMX15321, ASTMX20966	TCONS_00025514.p1
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	TCONS_00008906.p1
OG0000036	ASTMX19120	TCONS_00047867.p1, TCONS_00047868.p1
OG0000036	ASTMX18312, ASTMX10284	TCONS_00004743.p1, TCONS_00047870.p1, TCONS_00047869.p1, TCONS_00052470.p1, TCONS_00042048.p1, TCONS_00042050.p1, TCONS_00042049.p1, TCONS_00043406.p1
OG0000036	ASTMX01338, ASTMX03570	TCONS_00007681.p1
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	TCONS_00011439.p1, TCONS_00011440.p1
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	TCONS_00011218.p1
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	TCONS_00017535.p1
OG0000037	ASTMX03275	TCONS_00016014.p1, TCONS_00024568.p1, TCONS_00027658.p1, TCONS_00004627.p1, TCONS_00009673.p1
OG0000038	ASTMX05291	TCONS_00028397.p1, TCONS_00000414.p1, TCONS_00001540.p1, TCONS_00000410.p1, TCONS_00028395.p1, TCONS_00001544.p1
OG0000039	ASTMX03851	TCONS_00052764.p1, TCONS_00012328.p1
OG0000039	ASTMX16971	TCONS_00053909.p1, TCONS_00044047.p1, TCONS_00008253.p1, TCONS_00044435.p1, TCONS_00042739.p1, TCONS_00042734.p1
OG0000039	ASTMX14711	TCONS_00004192.p1, TCONS_00004101.p1, TCONS_00004104.p1, TCONS_00003026.p1, TCONS_00004103.p1, TCONS_00004274.p1, TCONS_00004273.p1, TCONS_00039100.p1, TCONS_00015626.p1
OG0000039	ASTMX10108, ASTMX07819	TCONS_00014910.p1
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	TCONS_00000950.p1, TCONS_00000930.p1, TCONS_00000949.p1, TCONS_00001677.p1, TCONS_00024097.p1, TCONS_00024098.p1, TCONS_00045509.p1, TCONS_00045506.p1, TCONS_00045516.p1, TCONS_00045517.p1, TCONS_00045514.p1, TCONS_00045510.p1, TCONS_00045512.p1, TCONS_00046641.p1, TCONS_00045518.p1, TCONS_00046639.p1, TCONS_00046638.p1, TCONS_00046635.p1, TCONS_00046634.p1, TCONS_00046632.p1, TCONS_00046631.p1, TCONS_00046636.p1, TCONS_00046637.p1, TCONS_00046648.p1, TCONS_00046649.p1, TCONS_00046633.p1, TCONS_00046630.p1, TCONS_00046629.p1
OG0000041	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919	TCONS_00025634.p1
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	TCONS_00024462.p1
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	TCONS_00046856.p1
OG0000043	ASTMX09533	TCONS_00023271.p1
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	TCONS_00027232.p1
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109	TCONS_00043770.p1
OG0000044	ASTMX07618	TCONS_00039839.p1, TCONS_00039841.p1, TCONS_00029905.p1
OG0000044	ASTMX17555, ASTMX11110	TCONS_00038566.p1
OG0000045	ASTMX14022	TCONS_00055807.p1
OG0000045	ASTMX15522, ASTMX03419	TCONS_00031741.p1, TCONS_00056517.p1, TCONS_00055323.p1, TCONS_00031742.p1
OG0000045	ASTMX16178	TCONS_00022841.p1
OG0000046	ASTMX22281	TCONS_00014287.p1, TCONS_00014285.p1
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	TCONS_00027669.p1, TCONS_00041564.p1, TCONS_00019393.p1, TCONS_00036848.p1, TCONS_00041566.p1, TCONS_00041547.p1, TCONS_00041551.p1, TCONS_00019398.p1, TCONS_00034626.p1, TCONS_00034652.p1, TCONS_00034627.p1, TCONS_00020404.p1, TCONS_00034650.p1, TCONS_00020405.p1, TCONS_00019397.p1, TCONS_00019394.p1, TCONS_00019441.p1, TCONS_00020450.p1, TCONS_00019439.p1, TCONS_00036850.p1, TCONS_00019438.p1, TCONS_00020476.p1, TCONS_00020471.p1, TCONS_00020469.p1, TCONS_00020462.p1, TCONS_00041541.p1, TCONS_00041549.p1, TCONS_00026735.p1, TCONS_00026736.p1, TCONS_00041548.p1, TCONS_00041561.p1, TCONS_00027670.p1, TCONS_00041565.p1, TCONS_00041563.p1, TCONS_00041573.p1, TCONS_00041569.p1, TCONS_00041550.p1, TCONS_00041567.p1, TCONS_00026737.p1, TCONS_00019396.p1, TCONS_00020480.p1, TCONS_00020463.p1, TCONS_00041538.p1, TCONS_00026733.p2, TCONS_00020477.p1, TCONS_00020481.p1, TCONS_00041571.p1, TCONS_00046483.p1, TCONS_00046484.p1, TCONS_00030577.p1, TCONS_00056618.p1, TCONS_00056619.p1, TCONS_00007210.p1, TCONS_00015680.p1, TCONS_00055452.p1, TCONS_00048069.p1, TCONS_00048074.p1, TCONS_00048072.p1, TCONS_00048076.p1, TCONS_00024708.p1
OG0000048	ASTMX13714	TCONS_00006570.p1
OG0000048	ASTMX03384	TCONS_00026749.p1
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556	TCONS_00010205.p1, TCONS_00010206.p1, TCONS_00011599.p1
