Orthogroup	ASTMX	HUMAN
OG0000004	ASTMX21576	HUMAN13470
OG0000004	ASTMX13906	HUMAN27464
OG0000004	ASTMX22075	HUMAN22815
OG0000004	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044	HUMAN05919, HUMAN05921
OG0000004	ASTMX18447	HUMAN01911
OG0000004	ASTMX15865, ASTMX13574	HUMAN26466
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	HUMAN23763, HUMAN23764
OG0000005	ASTMX14148, ASTMX14149	HUMAN25098
OG0000005	ASTMX13051	HUMAN04760, HUMAN04761
OG0000005	ASTMX12914, ASTMX04261, ASTMX08691	HUMAN20683
OG0000005	ASTMX01192	HUMAN25811, HUMAN25812
OG0000005	ASTMX08164	HUMAN25813
OG0000005	ASTMX10242	HUMAN25469
OG0000005	ASTMX03244	HUMAN01465
OG0000006	ASTMX20216	HUMAN20053
OG0000006	ASTMX00775	HUMAN21060
OG0000006	ASTMX00495, ASTMX16379	HUMAN00944
OG0000006	ASTMX16363	HUMAN22351
OG0000006	ASTMX04345	HUMAN05133
OG0000006	ASTMX11700	HUMAN21718
OG0000006	ASTMX00138	HUMAN29537
OG0000006	ASTMX03791, ASTMX03123	HUMAN02118
OG0000006	ASTMX12191, ASTMX07931	HUMAN29691
OG0000006	ASTMX15917	HUMAN01388
OG0000006	ASTMX06292	HUMAN06884
OG0000006	ASTMX15319	HUMAN04380
OG0000006	ASTMX03256	HUMAN18782, HUMAN18784, HUMAN18783
OG0000006	ASTMX09680	HUMAN08640
OG0000006	ASTMX14682, ASTMX19702	HUMAN25905
OG0000006	ASTMX21126, ASTMX03352	HUMAN23524
OG0000006	ASTMX06644	HUMAN03111
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	HUMAN14017
OG0000006	ASTMX03759	HUMAN22793, HUMAN22791, HUMAN22792
OG0000006	ASTMX02775	HUMAN03581
OG0000006	ASTMX15412	HUMAN23822
OG0000006	ASTMX14827	HUMAN08856
OG0000006	ASTMX08479, ASTMX15103	HUMAN08442
OG0000006	ASTMX11575, ASTMX03265	HUMAN17032
OG0000006	ASTMX10604	HUMAN24331
OG0000006	ASTMX16006	HUMAN12248
OG0000007	ASTMX14980	HUMAN24418
OG0000007	ASTMX05134	HUMAN09570
OG0000007	ASTMX12498	HUMAN28803
OG0000007	ASTMX06316	HUMAN15831
OG0000007	ASTMX09513	HUMAN18759
OG0000007	ASTMX08102	HUMAN08323
OG0000007	ASTMX05483	HUMAN01097
OG0000007	ASTMX17351, ASTMX12390, ASTMX04000	HUMAN23486, HUMAN00971
OG0000007	ASTMX22657	HUMAN28936
OG0000007	ASTMX04001	HUMAN00970
OG0000007	ASTMX22264, ASTMX09321	HUMAN24202
OG0000007	ASTMX14799	HUMAN17278
OG0000007	ASTMX12582	HUMAN03780
OG0000007	ASTMX21073, ASTMX16179	HUMAN21567
OG0000007	ASTMX20070	HUMAN28408
OG0000007	ASTMX22376, ASTMX11119	HUMAN24416
OG0000007	ASTMX14979	HUMAN24417
OG0000007	ASTMX02564	HUMAN11533
OG0000007	ASTMX18062	HUMAN12258
OG0000007	ASTMX21262	HUMAN07103
OG0000007	ASTMX04848	HUMAN08774
OG0000007	ASTMX06558, ASTMX19375	HUMAN16949
OG0000007	ASTMX04966	HUMAN25936
OG0000007	ASTMX11650	HUMAN13634
OG0000007	ASTMX18779	HUMAN13395
OG0000007	ASTMX15846	HUMAN00818
OG0000007	ASTMX15847	HUMAN00819
OG0000007	ASTMX10097	HUMAN05935
OG0000007	ASTMX10986	HUMAN08248
OG0000008	ASTMX21956	HUMAN14538
OG0000008	ASTMX05481	HUMAN01095
OG0000008	ASTMX19133, ASTMX14439	HUMAN12190
OG0000008	ASTMX13345, ASTMX11364	HUMAN29311, HUMAN29312
OG0000008	ASTMX03057	HUMAN26474
OG0000008	ASTMX05709	HUMAN00243
OG0000010	ASTMX18922, ASTMX18921, ASTMX15088	HUMAN06424
OG0000010	ASTMX10678	HUMAN00318, HUMAN00317
OG0000010	ASTMX08865, ASTMX08864	HUMAN00316
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209	HUMAN11412, HUMAN11410, HUMAN11411
OG0000010	ASTMX19981	HUMAN11268
OG0000010	ASTMX21265	HUMAN18382
OG0000010	ASTMX18619	HUMAN14278
OG0000010	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000010	ASTMX11060	HUMAN06405, HUMAN06406
OG0000010	ASTMX06728, ASTMX17688, ASTMX18214	HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	HUMAN08916
OG0000012	ASTMX16492	HUMAN26719, HUMAN26720
OG0000012	ASTMX06265	HUMAN11190
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246	HUMAN18418, HUMAN18417, HUMAN18416, HUMAN18419, HUMAN18410, HUMAN18413, HUMAN18411, HUMAN18412, HUMAN18415
OG0000013	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252	HUMAN22469, HUMAN22470, HUMAN22464, HUMAN22463, HUMAN22465, HUMAN22466, HUMAN22467, HUMAN22462, HUMAN22468, HUMAN22460, HUMAN22461
OG0000014	ASTMX02678	HUMAN11875
OG0000014	ASTMX08608, ASTMX07233	HUMAN11876
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994	HUMAN01436
OG0000014	ASTMX13292	HUMAN06713
OG0000014	ASTMX07733	HUMAN20148
OG0000014	ASTMX16405, ASTMX12634	HUMAN13605, HUMAN13607
OG0000014	ASTMX17340, ASTMX01557	HUMAN13308, HUMAN13309
OG0000014	ASTMX03213, ASTMX07656	HUMAN03416
OG0000014	ASTMX01801	HUMAN01394
OG0000014	ASTMX03251, ASTMX15832	HUMAN18336, HUMAN03159
OG0000014	ASTMX12908	HUMAN25476
OG0000014	ASTMX11632	HUMAN30053
OG0000014	ASTMX01423, ASTMX16397	HUMAN13227
OG0000015	ASTMX21958, ASTMX03764	HUMAN22985
OG0000015	ASTMX01476, ASTMX13504	HUMAN24211
OG0000015	ASTMX02112	HUMAN00090
OG0000015	ASTMX15417, ASTMX08007	HUMAN24177
OG0000015	ASTMX15203, ASTMX18097	HUMAN09170
OG0000015	ASTMX09926, ASTMX15220	HUMAN25367
OG0000015	ASTMX13993, ASTMX07947	HUMAN21195
OG0000015	ASTMX18335	HUMAN24184
OG0000015	ASTMX18098	HUMAN22368
OG0000015	ASTMX06037	HUMAN09174
OG0000015	ASTMX18099, ASTMX04658	HUMAN22369
OG0000015	ASTMX18334	HUMAN24183
OG0000015	ASTMX04125	HUMAN30472
OG0000015	ASTMX06038	HUMAN09173
OG0000015	ASTMX04657	HUMAN22372
OG0000015	ASTMX18333	HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	ASTMX00011	HUMAN29611
OG0000015	ASTMX18288	HUMAN23062
OG0000015	ASTMX04727	HUMAN24113
OG0000016	ASTMX03544	HUMAN11007, HUMAN11006
OG0000016	ASTMX09207	HUMAN21858
OG0000016	ASTMX17817	HUMAN10581
OG0000016	ASTMX17818, ASTMX05407	HUMAN10583
OG0000016	ASTMX11675	HUMAN12987
OG0000016	ASTMX17393	HUMAN03528
OG0000016	ASTMX00540	HUMAN07767
OG0000016	ASTMX02874	HUMAN25103
OG0000016	ASTMX17395	HUMAN25104
OG0000016	ASTMX13275	HUMAN06120
OG0000016	ASTMX19540, ASTMX20114, ASTMX00361	HUMAN04223
OG0000019	ASTMX03976, ASTMX18923	HUMAN06384
OG0000019	ASTMX14832	HUMAN12384
OG0000019	ASTMX21241, ASTMX14833	HUMAN12385
OG0000019	ASTMX15190, ASTMX17156	HUMAN18277
OG0000020	ASTMX12654	HUMAN26158
OG0000020	ASTMX04834	HUMAN12659
OG0000020	ASTMX22432	HUMAN26061
OG0000020	ASTMX12285	HUMAN08344
OG0000020	ASTMX15062	HUMAN00926
OG0000020	ASTMX14060	HUMAN02350, HUMAN02349
OG0000020	ASTMX00875, ASTMX06734	HUMAN28205
OG0000020	ASTMX14107, ASTMX08186	HUMAN16669
OG0000020	ASTMX17613	HUMAN00163
OG0000020	ASTMX00490, ASTMX12696	HUMAN17840
OG0000020	ASTMX03725	HUMAN05209
OG0000020	ASTMX07958, ASTMX18318	HUMAN21854
OG0000020	ASTMX16689	HUMAN21853
OG0000020	ASTMX17320	HUMAN02145
OG0000020	ASTMX04750	HUMAN30100
OG0000020	ASTMX21042	HUMAN07717, HUMAN22328
OG0000020	ASTMX05243	HUMAN00010
OG0000020	ASTMX04710	HUMAN23847
OG0000020	ASTMX07754	HUMAN22639
OG0000020	ASTMX13875	HUMAN20816
OG0000021	ASTMX05285, ASTMX16996	HUMAN20500
OG0000021	ASTMX04046	HUMAN30680, HUMAN30504
OG0000021	ASTMX00802, ASTMX04036	HUMAN20539
OG0000021	ASTMX15788	HUMAN05766
OG0000021	ASTMX05284	HUMAN20499
OG0000021	ASTMX00201	HUMAN11054
OG0000021	ASTMX09085	HUMAN23166
OG0000021	ASTMX02310	HUMAN12331
OG0000021	ASTMX21461	HUMAN04273
OG0000021	ASTMX05545	HUMAN30251
OG0000021	ASTMX13864	HUMAN00882, HUMAN00880, HUMAN00881
OG0000021	ASTMX09336	HUMAN24068
OG0000023	ASTMX07788	HUMAN19878, HUMAN19879
OG0000023	ASTMX10048, ASTMX07031	HUMAN08127, HUMAN08129
OG0000023	ASTMX08985	HUMAN11129
OG0000023	ASTMX18700	HUMAN18897
OG0000023	ASTMX14127, ASTMX07394	HUMAN27999
OG0000023	ASTMX03414	HUMAN07398
OG0000023	ASTMX11687	HUMAN12427
OG0000023	ASTMX14286, ASTMX19623	HUMAN06585, HUMAN06584
OG0000023	ASTMX04385, ASTMX04386	HUMAN05394
OG0000023	ASTMX11217	HUMAN05404
OG0000023	ASTMX00199	HUMAN11050
OG0000023	ASTMX01795	HUMAN19103
OG0000026	ASTMX06810	HUMAN16545
OG0000026	ASTMX12978	HUMAN07669
OG0000027	ASTMX01846, ASTMX01847, ASTMX11673	HUMAN15899, HUMAN15933
OG0000027	ASTMX17505, ASTMX05220	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463
OG0000027	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	ASTMX01680	HUMAN16847
OG0000028	ASTMX01628, ASTMX11626	HUMAN22344
OG0000028	ASTMX11297, ASTMX12202	HUMAN03982
OG0000028	ASTMX18482, ASTMX18778	HUMAN09209
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164	HUMAN01776
OG0000028	ASTMX21506	HUMAN09895
OG0000028	ASTMX21505	HUMAN09894
OG0000028	ASTMX21832	HUMAN27765
OG0000028	ASTMX08169, ASTMX10814	HUMAN27611
OG0000028	ASTMX02886	HUMAN19281
OG0000028	ASTMX14890, ASTMX22400	HUMAN27764
OG0000028	ASTMX17696, ASTMX05417	HUMAN17889
OG0000028	ASTMX01721, ASTMX15155	HUMAN09193, HUMAN09206
OG0000029	ASTMX02055	HUMAN05232, HUMAN14995
OG0000029	ASTMX06262	HUMAN11203
OG0000029	ASTMX11166	HUMAN18356
OG0000029	ASTMX03267, ASTMX11576	HUMAN17029
OG0000029	ASTMX19971	HUMAN24898
OG0000029	ASTMX06514, ASTMX07156	HUMAN21852
OG0000029	ASTMX12065	HUMAN17820
OG0000029	ASTMX02396	HUMAN02270
OG0000029	ASTMX01708	HUMAN21749, HUMAN19538
OG0000030	ASTMX06934	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	ASTMX13784, ASTMX06816	HUMAN01740
OG0000030	ASTMX18369	HUMAN28679
OG0000030	ASTMX04112, ASTMX02697	HUMAN30219
OG0000030	ASTMX07740, ASTMX14326	HUMAN06064
OG0000031	ASTMX03913	HUMAN29956
OG0000031	ASTMX08659	HUMAN17850
OG0000031	ASTMX01055	HUMAN06489
OG0000031	ASTMX17701	HUMAN17883
OG0000031	ASTMX18426, ASTMX12571	HUMAN26042
OG0000031	ASTMX22712	HUMAN12874
OG0000031	ASTMX12572	HUMAN26043
OG0000031	ASTMX05128	HUMAN09203
OG0000031	ASTMX18163	HUMAN28770
OG0000031	ASTMX11402, ASTMX09693, ASTMX17541	HUMAN26979, HUMAN14235
OG0000031	ASTMX00105	HUMAN07725
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534	HUMAN14922
OG0000031	ASTMX14725	HUMAN14786
OG0000031	ASTMX04176	HUMAN07726
OG0000031	ASTMX13001, ASTMX20334	HUMAN18121
OG0000031	ASTMX13774, ASTMX02637	HUMAN02818, HUMAN02819
OG0000032	ASTMX08687, ASTMX18764	HUMAN27902
OG0000032	ASTMX19317	HUMAN06100
OG0000032	ASTMX01991	HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105
OG0000032	ASTMX08768	HUMAN21527
OG0000032	ASTMX12211	HUMAN05202
OG0000032	ASTMX09018	HUMAN10072
OG0000032	ASTMX06705	HUMAN19258
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636	HUMAN10850
OG0000034	ASTMX03521	HUMAN11671
OG0000034	ASTMX05967, ASTMX21201	HUMAN07186
OG0000034	ASTMX03519	HUMAN11672, HUMAN11673
OG0000034	ASTMX17020	HUMAN16090
OG0000034	ASTMX02547, ASTMX01081	HUMAN04116
OG0000034	ASTMX20715	HUMAN06217
OG0000034	ASTMX17446	HUMAN01449
OG0000034	ASTMX22336, ASTMX07448	HUMAN02345
OG0000034	ASTMX16123, ASTMX02622	HUMAN06854
OG0000034	ASTMX00372	HUMAN03933
OG0000034	ASTMX09860, ASTMX06813	HUMAN01831
OG0000034	ASTMX07013	HUMAN13891
OG0000034	ASTMX12428, ASTMX02190	HUMAN04678
OG0000034	ASTMX01548	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	ASTMX02136	HUMAN04988
OG0000035	ASTMX17732	HUMAN06576
OG0000035	ASTMX21245	HUMAN09866
OG0000035	ASTMX07147	HUMAN06191
OG0000035	ASTMX00613, ASTMX06338	HUMAN03898
OG0000035	ASTMX07227, ASTMX07114	HUMAN05812, HUMAN05810
OG0000035	ASTMX00989, ASTMX19852	HUMAN01460
OG0000035	ASTMX00242	HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953
OG0000035	ASTMX02614, ASTMX08545	HUMAN05843, HUMAN05844
OG0000035	ASTMX15322	HUMAN04381, HUMAN04382
OG0000035	ASTMX15321, ASTMX20966	HUMAN04383
OG0000036	ASTMX05584	HUMAN08124
OG0000036	ASTMX18592	HUMAN11555
OG0000036	ASTMX10059, ASTMX16974	HUMAN08152, HUMAN08151
OG0000036	ASTMX00596, ASTMX03566	HUMAN15233
OG0000036	ASTMX19120	HUMAN11289
OG0000036	ASTMX18312	HUMAN22872
OG0000036	ASTMX03570	HUMAN15223
OG0000037	ASTMX04826	HUMAN25010, HUMAN25009
OG0000037	ASTMX04827, ASTMX08066, ASTMX04828	HUMAN25006
OG0000037	ASTMX18303	HUMAN02504
OG0000037	ASTMX08083, ASTMX01399	HUMAN08759
OG0000037	ASTMX03952, ASTMX04639	HUMAN04817
OG0000037	ASTMX01500, ASTMX15266	HUMAN02659, HUMAN02660
OG0000037	ASTMX10464	HUMAN04897
OG0000037	ASTMX06313	HUMAN15443
OG0000037	ASTMX15913	HUMAN19040
OG0000037	ASTMX19727	HUMAN28273
OG0000037	ASTMX16533	HUMAN16721
OG0000037	ASTMX03275	HUMAN03689
OG0000038	ASTMX05291	HUMAN18259, HUMAN18258
OG0000038	ASTMX12685, ASTMX17002	HUMAN18257
OG0000039	ASTMX03851	HUMAN02107
OG0000039	ASTMX16971	HUMAN29023
OG0000039	ASTMX14711	HUMAN02446, HUMAN02447, HUMAN02449, HUMAN02450, HUMAN02444
OG0000039	ASTMX10108, ASTMX07819	HUMAN13199
OG0000040	ASTMX07215	HUMAN27040, HUMAN27041
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	ASTMX07372, ASTMX15974	HUMAN16072
OG0000041	ASTMX00243, ASTMX02219	HUMAN04227
OG0000041	ASTMX19274	HUMAN06826
OG0000041	ASTMX15919	HUMAN01391
OG0000041	ASTMX19739, ASTMX18949	HUMAN15981
OG0000041	ASTMX00985, ASTMX20382	HUMAN01398
OG0000041	ASTMX18641	HUMAN05838
OG0000041	ASTMX00986, ASTMX20384	HUMAN01399
OG0000041	ASTMX19436, ASTMX18640	HUMAN05837
OG0000041	ASTMX00987	HUMAN01401
OG0000041	ASTMX18639	HUMAN05836
OG0000041	ASTMX00232	HUMAN04298
OG0000041	ASTMX00945, ASTMX01024	HUMAN19139
OG0000041	ASTMX08027, ASTMX12746	HUMAN27913
OG0000041	ASTMX04559	HUMAN16617
OG0000041	ASTMX04569	HUMAN16643
OG0000041	ASTMX22600	HUMAN28077
OG0000041	ASTMX18276	HUMAN19052
OG0000042	ASTMX00117	HUMAN21251
OG0000043	ASTMX12801	HUMAN05606
OG0000043	ASTMX22617	HUMAN01578
OG0000044	ASTMX03900	HUMAN24292
OG0000044	ASTMX14800	HUMAN22106
OG0000044	ASTMX17272	HUMAN27711
OG0000044	ASTMX12948	HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	ASTMX20812	HUMAN24391
OG0000044	ASTMX22549, ASTMX06174	HUMAN07519
OG0000044	ASTMX06176	HUMAN07517
OG0000044	ASTMX07618	HUMAN03043
OG0000044	ASTMX11110	HUMAN24293
OG0000045	ASTMX14022	HUMAN02932
OG0000045	ASTMX15522, ASTMX03419	HUMAN29444
OG0000045	ASTMX10022, ASTMX03368	HUMAN28768
OG0000046	ASTMX22281	HUMAN23116
OG0000046	ASTMX12308	HUMAN22960
OG0000046	ASTMX11629	HUMAN22324, HUMAN22325, HUMAN22323
OG0000048	ASTMX04189	HUMAN29550
OG0000048	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416	HUMAN12292
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556	HUMAN08560, HUMAN08561
OG0000048	ASTMX15600	HUMAN16328
OG0000048	ASTMX04570	HUMAN16644
OG0000048	ASTMX00590	HUMAN11449
OG0000049	ASTMX10248, ASTMX08138	HUMAN25699
OG0000049	ASTMX03713, ASTMX05857	HUMAN05316
OG0000049	ASTMX00928, ASTMX08370	HUMAN20965
OG0000049	ASTMX07196	HUMAN26499
OG0000049	ASTMX04011, ASTMX18609	HUMAN24353
OG0000049	ASTMX01014, ASTMX00951	HUMAN24922, HUMAN24921
OG0000049	ASTMX05170	HUMAN26912
OG0000049	ASTMX00786	HUMAN20433
OG0000049	ASTMX20103	HUMAN26913
OG0000051	ASTMX02511	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000053	ASTMX12784	HUMAN01064
OG0000054	ASTMX04679	HUMAN23119
OG0000054	ASTMX05759	HUMAN00960, HUMAN00959, HUMAN00963, HUMAN00962, HUMAN00961, HUMAN00964
OG0000055	ASTMX22616	HUMAN02616, HUMAN24656, HUMAN24660, HUMAN24663, HUMAN24607, HUMAN24616, HUMAN24621, HUMAN24623, HUMAN24613, HUMAN24632, HUMAN24617, HUMAN01576, HUMAN24671, HUMAN24630, HUMAN01568, HUMAN24645, HUMAN24649, HUMAN19580
OG0000056	ASTMX01590	HUMAN22445
OG0000056	ASTMX02364	HUMAN01195
OG0000056	ASTMX17902	HUMAN14849
OG0000056	ASTMX02363	HUMAN01194
OG0000056	ASTMX18310	HUMAN07396, HUMAN07395
OG0000057	ASTMX16761	HUMAN23569
OG0000057	ASTMX17228, ASTMX14491	HUMAN10014
OG0000057	ASTMX18685, ASTMX11838	HUMAN29650
OG0000058	ASTMX10002	HUMAN17378, HUMAN03592
OG0000058	ASTMX01061	HUMAN23378
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630	HUMAN02623
OG0000058	ASTMX08080	HUMAN09237
OG0000058	ASTMX12315	HUMAN13532
OG0000059	ASTMX11234	HUMAN07577
OG0000059	ASTMX20918	HUMAN21611
OG0000059	ASTMX08000	HUMAN22839
OG0000059	ASTMX00300, ASTMX18960	HUMAN23845
OG0000060	ASTMX04292, ASTMX07603	HUMAN25284
OG0000060	ASTMX21094, ASTMX10197	HUMAN16007, HUMAN16006
OG0000060	ASTMX00445	HUMAN04276
OG0000060	ASTMX07264	HUMAN06988
OG0000061	ASTMX00680, ASTMX05396	HUMAN17964
OG0000061	ASTMX12006	HUMAN26554
OG0000061	ASTMX10422, ASTMX12960	HUMAN18142
OG0000061	ASTMX20513, ASTMX13746	HUMAN20809
OG0000061	ASTMX21095, ASTMX14165	HUMAN13555
OG0000061	ASTMX02316	HUMAN15809
OG0000061	ASTMX11665	HUMAN12027
OG0000061	ASTMX06207, ASTMX18339	HUMAN20727
OG0000061	ASTMX05474, ASTMX04490, ASTMX01934	HUMAN26146, HUMAN26147
OG0000061	ASTMX05473	HUMAN26149
OG0000061	ASTMX15449	HUMAN27337
OG0000061	ASTMX18729	HUMAN26138, HUMAN26137
OG0000061	ASTMX15987	HUMAN12821
OG0000062	ASTMX03300	HUMAN29104
OG0000062	ASTMX18474, ASTMX18479	HUMAN14474
OG0000062	ASTMX11236, ASTMX20466	HUMAN24841, HUMAN24843
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	ASTMX01260	HUMAN25285
OG0000063	ASTMX13776, ASTMX04927	HUMAN14398
OG0000063	ASTMX01608, ASTMX01645	HUMAN28499
OG0000063	ASTMX11259, ASTMX01032	HUMAN21099
OG0000063	ASTMX13777	HUMAN00859, HUMAN28501
OG0000063	ASTMX10350	HUMAN18628
OG0000063	ASTMX13375, ASTMX12584	HUMAN03783, HUMAN03782
OG0000065	ASTMX13708, ASTMX15083	HUMAN29458
OG0000065	ASTMX08041	HUMAN05357
OG0000065	ASTMX15226	HUMAN25383
OG0000065	ASTMX12818, ASTMX13454	HUMAN14424, HUMAN14423, HUMAN14422
OG0000066	ASTMX01776	HUMAN29798
OG0000067	ASTMX19815	HUMAN23532
OG0000067	ASTMX00316, ASTMX18001	HUMAN24070
OG0000067	ASTMX19454	HUMAN22809
OG0000068	ASTMX15456	HUMAN26983
OG0000068	ASTMX10880	HUMAN26982
OG0000068	ASTMX04048	HUMAN30562
OG0000068	ASTMX00964, ASTMX17789	HUMAN21443
OG0000068	ASTMX09217, ASTMX10879	HUMAN02454
OG0000068	ASTMX04017	HUMAN30510, HUMAN30509
OG0000068	ASTMX02175, ASTMX13274	HUMAN20380
OG0000068	ASTMX19064	HUMAN21486
OG0000068	ASTMX03044	HUMAN06933
OG0000069	ASTMX20491	HUMAN13360, HUMAN02573
OG0000070	ASTMX03868	HUMAN25671
OG0000070	ASTMX11850	HUMAN29634
OG0000070	ASTMX17327	HUMAN20129, HUMAN13391
OG0000070	ASTMX15136, ASTMX13592	HUMAN14097
OG0000070	ASTMX02948	HUMAN14161
OG0000071	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408	HUMAN17352
OG0000072	ASTMX04733	HUMAN24108
