Orthogroup	ASTMX	BRALA
OG0000002	ASTMX20124, ASTMX02317, ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468
OG0000002	ASTMX12464	BRALA10501
OG0000002	ASTMX20125	BRALA20754
OG0000004	ASTMX09901	BRALA09016
OG0000004	ASTMX22075, ASTMX12117, ASTMX01551	BRALA03918
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	BRALA02003, BRALA02015
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	ASTMX10242	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000006	ASTMX20216	BRALA07705
OG0000006	ASTMX00775	BRALA17590
OG0000006	ASTMX00495, ASTMX16379	BRALA06686
OG0000006	ASTMX16363, ASTMX04345	BRALA19242
OG0000006	ASTMX11700, ASTMX00138	BRALA06109
OG0000006	ASTMX12191, ASTMX07931	BRALA23800
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	BRALA07568, BRALA29276
OG0000006	ASTMX03256, ASTMX09680	BRALA22280
OG0000006	ASTMX14682, ASTMX19702	BRALA06185
OG0000006	ASTMX21126, ASTMX03352	BRALA17603
OG0000006	ASTMX06644	BRALA03602
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	BRALA17591
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	BRALA24372
OG0000006	ASTMX14827	BRALA24993
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	BRALA24994
OG0000006	ASTMX10604	BRALA22628
OG0000007	ASTMX14980	BRALA03259
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	BRALA13447, BRALA13448
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	BRALA20872, BRALA20870
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	BRALA31416
OG0000007	ASTMX21073, ASTMX16179	BRALA11149
OG0000007	ASTMX20070	BRALA20579
OG0000007	ASTMX22376, ASTMX11119	BRALA03286
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	BRALA03282
OG0000007	ASTMX18062, ASTMX21262	BRALA26097
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	BRALA22487
OG0000007	ASTMX04966, ASTMX11650	BRALA06491
OG0000007	ASTMX18779, ASTMX07711	BRALA18647
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	BRALA05625
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	BRALA30788
OG0000008	ASTMX21956, ASTMX05481	BRALA05591
OG0000008	ASTMX13345, ASTMX11364	BRALA27340
OG0000008	ASTMX13129	BRALA20539
OG0000008	ASTMX09448	BRALA28057
OG0000008	ASTMX05709	BRALA20418
OG0000008	ASTMX03297, ASTMX08955	BRALA19645
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981	BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	ASTMX21265	BRALA24210, BRALA03886
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555	BRALA01026, BRALA09806
OG0000010	ASTMX05524, ASTMX05737, ASTMX05736, ASTMX06728, ASTMX17688, ASTMX18214, ASTMX16219, ASTMX16220, ASTMX05525, ASTMX21918	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000011	ASTMX22966, ASTMX22692	BRALA06520, BRALA31196
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	BRALA26291
OG0000011	ASTMX20794	BRALA22896, BRALA17910
OG0000011	ASTMX21233, ASTMX01926	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	BRALA06517, BRALA01847, BRALA32798
OG0000012	ASTMX22063, ASTMX16492	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	ASTMX06265	BRALA22947
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456
OG0000014	ASTMX03213, ASTMX07656	BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196
OG0000014	ASTMX01801	BRALA14079
OG0000014	ASTMX12908, ASTMX11632	BRALA28626, BRALA28625, BRALA28624
OG0000014	ASTMX01423, ASTMX16397	BRALA09953, BRALA20835, BRALA21213, BRALA14270
OG0000015	ASTMX01476, ASTMX13504, ASTMX02112	BRALA21862, BRALA21864, BRALA21860, BRALA21861, BRALA07518, BRALA07541, BRALA18254, BRALA18253, BRALA26423, BRALA21859, BRALA21858
OG0000015	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	BRALA22448
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	BRALA22447
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	BRALA18748, BRALA15755, BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	BRALA00485
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	BRALA32113, BRALA10406
OG0000016	ASTMX00540	BRALA12120, BRALA09688
OG0000016	ASTMX02874	BRALA24127
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	BRALA22170
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	BRALA29803, BRALA00712, BRALA26026, BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	BRALA00002
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	BRALA00404, BRALA00405
OG0000020	ASTMX12654	BRALA12010
OG0000020	ASTMX04834	BRALA09135
OG0000020	ASTMX22432	BRALA27241
OG0000020	ASTMX12285	BRALA28848
OG0000020	ASTMX15062	BRALA05608
OG0000020	ASTMX14060	BRALA18984
OG0000020	ASTMX14107, ASTMX08186	BRALA21902, BRALA16840
OG0000020	ASTMX17613	BRALA05743, BRALA25854, BRALA14414
OG0000020	ASTMX00490, ASTMX12696	BRALA16287
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318	BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869
OG0000020	ASTMX16689	BRALA14062
OG0000020	ASTMX16030	BRALA11167
OG0000020	ASTMX17320	BRALA27392
OG0000020	ASTMX04750, ASTMX21042	BRALA11912
OG0000020	ASTMX07754	BRALA12599
OG0000020	ASTMX13875	BRALA10628
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	BRALA18963
OG0000021	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284	BRALA18043
OG0000021	ASTMX00201, ASTMX09085	BRALA22428
OG0000021	ASTMX02310, ASTMX16342	BRALA30352
OG0000021	ASTMX09645	BRALA34639, BRALA31905
OG0000021	ASTMX21461	BRALA06012
OG0000021	ASTMX13864	BRALA20360, BRALA20164
OG0000021	ASTMX09336	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000023	ASTMX18896	BRALA34393, BRALA34449, BRALA33273
OG0000023	ASTMX07788	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062
OG0000023	ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	BRALA25437
OG0000023	ASTMX14286, ASTMX19623	BRALA29841, BRALA06984, BRALA06983
OG0000026	ASTMX06810	BRALA11498
OG0000026	ASTMX12978	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000027	ASTMX01680	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	ASTMX11297, ASTMX12202	BRALA06262, BRALA06265, BRALA11957, BRALA28259, BRALA27261
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886	BRALA08547, BRALA15654
OG0000028	ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	BRALA01199, BRALA17029, BRALA17030
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	BRALA08523
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	ASTMX06934	BRALA13442
OG0000030	ASTMX02378, ASTMX18821	BRALA32573
OG0000030	ASTMX22293	BRALA10449
OG0000031	ASTMX22504	BRALA28310, BRALA01948, BRALA09437, BRALA32909, BRALA01946, BRALA12064, BRALA09438, BRALA01951, BRALA14885, BRALA09441, BRALA09439, BRALA32910, BRALA01947, BRALA01952, BRALA14882, BRALA23662, BRALA14883, BRALA19306, BRALA05713, BRALA17265, BRALA15256, BRALA15254, BRALA01977, BRALA22606
OG0000031	ASTMX08659, ASTMX04771	BRALA04543
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	BRALA04547
OG0000031	ASTMX12572	BRALA04610
OG0000031	ASTMX06525	BRALA13458
OG0000031	ASTMX05128	BRALA05046
OG0000031	ASTMX09693, ASTMX17541	BRALA16640
OG0000031	ASTMX00710, ASTMX00969, ASTMX17640	BRALA09408
OG0000031	ASTMX03912, ASTMX00105	BRALA28311
OG0000031	ASTMX03166	BRALA15572
OG0000032	ASTMX08687, ASTMX18764	BRALA10240
OG0000032	ASTMX06705	BRALA11179, BRALA11177, BRALA09647
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	BRALA27570
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	BRALA08751
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	BRALA08901, BRALA03079
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	BRALA17580
OG0000034	ASTMX12428, ASTMX02190	BRALA08885
OG0000034	ASTMX01548	BRALA23966, BRALA06594
OG0000034	ASTMX02136	BRALA02412
OG0000035	ASTMX17732	BRALA21367, BRALA35402
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	BRALA13921
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	BRALA29588
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	BRALA13915, BRALA22877
OG0000035	ASTMX15321, ASTMX20966	BRALA13917
OG0000036	ASTMX05584, ASTMX00843	BRALA03126, BRALA19967
OG0000036	ASTMX18592	BRALA22400
OG0000036	ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	ASTMX19120	BRALA35896
OG0000036	ASTMX18312, ASTMX10284	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	ASTMX01338, ASTMX03570	BRALA22402, BRALA22404
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	BRALA22282
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	BRALA22275
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	BRALA16015
OG0000037	ASTMX03275	BRALA16388
OG0000038	ASTMX05291	BRALA15513, BRALA22708, BRALA13194
OG0000038	ASTMX12685, ASTMX17002	BRALA27417
OG0000039	ASTMX16971	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	ASTMX14711	BRALA31558
OG0000039	ASTMX10108, ASTMX07819	BRALA19542
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	BRALA27215
OG0000042	ASTMX00117, ASTMX11615	BRALA27880, BRALA05311, BRALA25919, BRALA28670, BRALA19166, BRALA23184, BRALA28669, BRALA16191, BRALA25918, BRALA30415, BRALA29610, BRALA04826, BRALA22020, BRALA21500, BRALA22237, BRALA26652
OG0000043	ASTMX09533	BRALA09159
OG0000044	ASTMX07618	BRALA27747
OG0000044	ASTMX17555, ASTMX11110	BRALA34838
OG0000045	ASTMX14022	BRALA29043, BRALA32667
OG0000045	ASTMX10022, ASTMX03368	BRALA19490, BRALA19482
OG0000045	ASTMX16178	BRALA22894
OG0000046	ASTMX22281	BRALA28946
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	BRALA00828, BRALA17402, BRALA17400
OG0000048	ASTMX04189	BRALA08224
OG0000048	ASTMX03384	BRALA06772
OG0000048	ASTMX04258, ASTMX18409	BRALA17823, BRALA17828, BRALA17827, BRALA14637, BRALA17826, BRALA20466, BRALA05845, BRALA13397, BRALA31649, BRALA31651, BRALA13408, BRALA13407
OG0000048	ASTMX15600	BRALA17809
OG0000048	ASTMX04570	BRALA10830
OG0000048	ASTMX00590	BRALA03524
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	BRALA08950, BRALA08951
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	BRALA15334
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	BRALA15336, BRALA15335
OG0000050	ASTMX16561	BRALA29504, BRALA33239, BRALA23285, BRALA26334, BRALA27959, BRALA01945, BRALA33449, BRALA32066, BRALA01944, BRALA30000, BRALA21559, BRALA15438, BRALA30119, BRALA35714, BRALA21077, BRALA32686, BRALA08624, BRALA30084, BRALA32951, BRALA13973, BRALA32451, BRALA35669, BRALA28793, BRALA27960, BRALA31232, BRALA08623, BRALA31915, BRALA10559
OG0000051	ASTMX02511	BRALA22978, BRALA25416
OG0000053	ASTMX12784	BRALA16213, BRALA07330
OG0000054	ASTMX21203	BRALA10120
OG0000054	ASTMX04679	BRALA02118
OG0000054	ASTMX05759	BRALA12332, BRALA22995, BRALA22164, BRALA21314, BRALA18426, BRALA25220, BRALA21960, BRALA06303, BRALA29468, BRALA09095, BRALA20505, BRALA23115, BRALA28620, BRALA24808, BRALA15699, BRALA01267, BRALA17804, BRALA17806, BRALA00882, BRALA05257
OG0000054	ASTMX21204	BRALA17805, BRALA33752
OG0000055	ASTMX22616	BRALA13087
OG0000056	ASTMX01590, ASTMX01617	BRALA00682
OG0000056	ASTMX18310	BRALA21309
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	BRALA05192, BRALA22206, BRALA11691, BRALA27516, BRALA21236
OG0000058	ASTMX10002	BRALA24063
OG0000058	ASTMX01061	BRALA06324
OG0000058	ASTMX07660	BRALA14300
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	BRALA25998, BRALA27305, BRALA06328, BRALA03972, BRALA06644, BRALA08742, BRALA24463, BRALA24460
OG0000058	ASTMX12315	BRALA11173, BRALA06327
OG0000059	ASTMX11234, ASTMX03699	BRALA13206
OG0000059	ASTMX20918	BRALA11568
OG0000059	ASTMX21875	BRALA20365
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	BRALA19963, BRALA20366
OG0000060	ASTMX04292, ASTMX07603	BRALA01718
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	BRALA07400
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746	BRALA23690, BRALA23691, BRALA23692, BRALA33700, BRALA14844
OG0000061	ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	BRALA22663, BRALA26552, BRALA22659, BRALA26551, BRALA26563
OG0000061	ASTMX18729, ASTMX15987	BRALA09017, BRALA07401, BRALA14793, BRALA14792
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	BRALA21141, BRALA30349, BRALA21142
OG0000062	ASTMX01260	BRALA31607
OG0000063	ASTMX13777	BRALA00957
OG0000063	ASTMX12583	BRALA12767
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	BRALA04998, BRALA01208, BRALA05262, BRALA05245, BRALA05098, BRALA01012, BRALA05297
OG0000066	ASTMX01776	BRALA25733
OG0000067	ASTMX19815	BRALA20114, BRALA23146, BRALA20125, BRALA07853, BRALA09449
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	BRALA35634, BRALA09451
OG0000068	ASTMX15456	BRALA17338
OG0000068	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	BRALA17343
OG0000069	ASTMX20491	BRALA06255, BRALA22501
OG0000070	ASTMX03868, ASTMX11850	BRALA19019, BRALA19027, BRALA19020
OG0000070	ASTMX10727	BRALA13025
OG0000070	ASTMX17316, ASTMX02948	BRALA24904, BRALA14166, BRALA14168, BRALA14506, BRALA14507, BRALA14508, BRALA00869, BRALA13923, BRALA21904, BRALA31816, BRALA28174, BRALA29611, BRALA33117, BRALA16447, BRALA14504, BRALA14505, BRALA15434, BRALA07382, BRALA09112, BRALA15447, BRALA14512, BRALA07371, BRALA14167, BRALA10327, BRALA03588, BRALA09032, BRALA02167, BRALA22763, BRALA01254
OG0000071	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408	BRALA05660
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	BRALA12631
OG0000072	ASTMX11250, ASTMX11618	BRALA33639, BRALA31916
OG0000073	ASTMX22931	BRALA03064
OG0000073	ASTMX19270, ASTMX02619	BRALA22888
OG0000074	ASTMX12476	BRALA08058
OG0000075	ASTMX13833, ASTMX15058	BRALA11316
OG0000075	ASTMX04760	BRALA07062
OG0000075	ASTMX10641, ASTMX00718	BRALA18754
OG0000075	ASTMX12169, ASTMX18152	BRALA16174
OG0000075	ASTMX16716, ASTMX04759	BRALA11318
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	BRALA17353, BRALA17352
OG0000075	ASTMX12953, ASTMX02098	BRALA20309
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	BRALA25719
OG0000075	ASTMX07134	BRALA17324
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	BRALA11472
OG0000077	ASTMX06199, ASTMX03488, ASTMX12363	BRALA02324
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	BRALA30355, BRALA30354, BRALA30353, BRALA27919, BRALA16173, BRALA31380, BRALA32410, BRALA09728, BRALA00278, BRALA10708, BRALA22743, BRALA22531, BRALA27588, BRALA21944, BRALA21945
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	BRALA35746, BRALA06424
OG0000078	ASTMX08154, ASTMX03860	BRALA17098
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	BRALA02325, BRALA02320, BRALA02318, BRALA10234, BRALA02688, BRALA30889, BRALA02317, BRALA11328
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	BRALA00097, BRALA00109
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	BRALA18105
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	BRALA22809
OG0000079	ASTMX02943	BRALA13477
OG0000080	ASTMX22762, ASTMX21534	BRALA16765
OG0000081	ASTMX02774	BRALA18450, BRALA18449, BRALA18446, BRALA18452, BRALA05158, BRALA05161
OG0000081	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818	BRALA05164, BRALA21995, BRALA12438, BRALA12435
OG0000082	ASTMX06917	BRALA23665
OG0000082	ASTMX17888	BRALA23991
OG0000082	ASTMX10851, ASTMX17248	BRALA10738
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	BRALA11838, BRALA11834
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980	BRALA16357
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	BRALA27744
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	BRALA10231
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	BRALA35021
OG0000085	ASTMX19538	BRALA20574
OG0000085	ASTMX01137, ASTMX09823, ASTMX11049	BRALA19315
OG0000085	ASTMX09759, ASTMX09890, ASTMX10718	BRALA25446
OG0000085	ASTMX08704, ASTMX02521	BRALA18829
OG0000086	ASTMX17706, ASTMX09528	BRALA05165
OG0000086	ASTMX23077	BRALA06694, BRALA20910
OG0000086	ASTMX18109	BRALA32069
OG0000086	ASTMX05962	BRALA26007, BRALA33568, BRALA30193, BRALA16688, BRALA15216, BRALA25372
OG0000086	ASTMX09811	BRALA20825, BRALA30781
OG0000087	ASTMX17718	BRALA11394
OG0000087	ASTMX17716	BRALA11396, BRALA13093
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	BRALA15338, BRALA01326, BRALA11261, BRALA04185, BRALA11262, BRALA11263, BRALA13073, BRALA15449, BRALA28619, BRALA23225, BRALA05764, BRALA00340, BRALA17728
