Orthogroup	ASTMX	AENJA_ok
OG0000002	ASTMX20125	AENJA_00531
OG0000003	ASTMX16763	AENJA_21345
OG0000003	ASTMX08463	AENJA_05435
OG0000004	ASTMX13906	AENJA_08681, AENJA_23847
OG0000004	ASTMX13606	AENJA_03929
OG0000004	ASTMX17274	AENJA_04481
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	AENJA_18812, AENJA_09022
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	AENJA_17910, AENJA_16714, AENJA_24985
OG0000005	ASTMX03244	AENJA_02291, AENJA_00056, AENJA_09464
OG0000006	ASTMX00775	AENJA_18510
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	AENJA_22158
OG0000006	ASTMX16363, ASTMX04345	AENJA_13126
OG0000006	ASTMX11700, ASTMX00138	AENJA_02691
OG0000006	ASTMX03791, ASTMX03123	AENJA_20911
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	AENJA_07226
OG0000006	ASTMX03256, ASTMX09680	AENJA_22522
OG0000006	ASTMX14682, ASTMX19702	AENJA_09814
OG0000006	ASTMX21126, ASTMX03352	AENJA_00662
OG0000006	ASTMX06644	AENJA_07549, AENJA_15373
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	AENJA_18450
OG0000006	ASTMX14827	AENJA_01590
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	AENJA_09210
OG0000006	ASTMX10604	AENJA_15474
OG0000007	ASTMX14980	AENJA_18325
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	AENJA_18163
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	AENJA_00810
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	AENJA_25020
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	AENJA_23908
OG0000007	ASTMX21073, ASTMX16179	AENJA_19234
OG0000007	ASTMX20070	AENJA_06479, AENJA_16018
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	AENJA_18328
OG0000007	ASTMX18062, ASTMX21262	AENJA_09687
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	AENJA_07358
OG0000007	ASTMX04966, ASTMX11650	AENJA_11277
OG0000007	ASTMX18779, ASTMX07711	AENJA_22886
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	AENJA_16981
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	AENJA_26507
OG0000008	ASTMX21956, ASTMX05481	AENJA_15934, AENJA_26738
OG0000008	ASTMX13345, ASTMX11364	AENJA_24404, AENJA_14450
OG0000008	ASTMX13129	AENJA_00959
OG0000010	ASTMX11060	AENJA_00347
OG0000011	ASTMX22966, ASTMX22692	AENJA_19273, AENJA_01290
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	AENJA_03543, AENJA_24193
OG0000011	ASTMX20794	AENJA_06710
OG0000011	ASTMX21233	AENJA_10554, AENJA_20178, AENJA_19192
OG0000011	ASTMX01926	AENJA_02877, AENJA_17352
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	ASTMX22970	AENJA_21547
OG0000011	ASTMX23073, ASTMX20022, ASTMX23051	AENJA_24664
OG0000012	ASTMX22063, ASTMX16492	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014
OG0000012	ASTMX06265	AENJA_02869
OG0000014	ASTMX12908, ASTMX11632	AENJA_25536
OG0000015	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	AENJA_19636
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	AENJA_18653
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	AENJA_17614, AENJA_19630
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664
OG0000016	ASTMX09206	AENJA_15459
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	AENJA_11513
OG0000016	ASTMX00540	AENJA_26671, AENJA_26677
OG0000016	ASTMX02874	AENJA_02781
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000018	ASTMX13805	AENJA_09676
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	AENJA_03018, AENJA_12247
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	AENJA_24818, AENJA_20016
OG0000020	ASTMX04834	AENJA_21688, AENJA_05309
OG0000020	ASTMX22432	AENJA_02593, AENJA_02596
OG0000020	ASTMX12285	AENJA_15791
OG0000020	ASTMX15062	AENJA_12903
OG0000020	ASTMX14060	AENJA_09502
OG0000020	ASTMX00490, ASTMX12696	AENJA_18052
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	AENJA_23718, AENJA_02408
OG0000020	ASTMX16030	AENJA_17847
OG0000020	ASTMX16028	AENJA_15954
OG0000020	ASTMX17320	AENJA_16929
OG0000020	ASTMX04750, ASTMX21042	AENJA_04727
OG0000020	ASTMX05243	AENJA_10912
OG0000020	ASTMX04710	AENJA_11444
OG0000020	ASTMX07754	AENJA_14659
OG0000020	ASTMX13875	AENJA_12495
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	AENJA_14639
OG0000021	ASTMX00201, ASTMX09085	AENJA_16593
OG0000021	ASTMX02310, ASTMX16342	AENJA_24950
OG0000021	ASTMX09645	AENJA_19175
OG0000021	ASTMX21461, ASTMX05545	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227
OG0000021	ASTMX13864	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	ASTMX18896	AENJA_06341
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920
OG0000023	ASTMX14286, ASTMX19623	AENJA_19909
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	AENJA_03895
OG0000026	ASTMX06810	AENJA_07099, AENJA_18950
OG0000026	ASTMX12978	AENJA_21657
OG0000028	ASTMX18482, ASTMX18778	AENJA_04861, AENJA_01184
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	AENJA_17283
OG0000030	ASTMX02378, ASTMX18821	AENJA_12274
OG0000031	ASTMX08659, ASTMX04771	AENJA_09856
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	AENJA_09858
OG0000031	ASTMX12572	AENJA_20966
OG0000031	ASTMX06525, ASTMX05128	AENJA_08759
OG0000031	ASTMX09693, ASTMX17541	AENJA_10722
OG0000031	ASTMX00710, ASTMX00969, ASTMX17640	AENJA_02955
OG0000031	ASTMX03912, ASTMX00105	AENJA_05740
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	AENJA_15028
OG0000032	ASTMX08687, ASTMX18764	AENJA_06514
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332
OG0000032	ASTMX06705	AENJA_12718, AENJA_12280, AENJA_12491
OG0000034	ASTMX03519	AENJA_21749
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	AENJA_26717
OG0000034	ASTMX15312	AENJA_09845
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	AENJA_02791
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	AENJA_23686
OG0000034	ASTMX12428, ASTMX02190	AENJA_13785
OG0000034	ASTMX01548	AENJA_15701
OG0000034	ASTMX02136	AENJA_16616
OG0000035	ASTMX17732	AENJA_01174
OG0000035	ASTMX22713, ASTMX21245	AENJA_22033
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	AENJA_08825
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	AENJA_12732
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	AENJA_12364, AENJA_26037
OG0000035	ASTMX15321, ASTMX20966	AENJA_21683
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	AENJA_22120, AENJA_22191, AENJA_22190
OG0000036	ASTMX19120	AENJA_16633
OG0000036	ASTMX18312, ASTMX10284	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	ASTMX01338, ASTMX03570	AENJA_21299, AENJA_21302, AENJA_21301
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	AENJA_20944
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	AENJA_05483, AENJA_06274
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	AENJA_13632
OG0000037	ASTMX03275	AENJA_06403, AENJA_22611, AENJA_22610
OG0000038	ASTMX14059	AENJA_00416
OG0000038	ASTMX05291	AENJA_26313
OG0000039	ASTMX16971	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	ASTMX14711	AENJA_07945
OG0000039	ASTMX10108, ASTMX07819	AENJA_07277
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	AENJA_07541, AENJA_11361
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	AENJA_24560
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	AENJA_03404, AENJA_03405
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	AENJA_12079
OG0000044	ASTMX07618	AENJA_24602
OG0000044	ASTMX17555	AENJA_03123
OG0000044	ASTMX11110	AENJA_25117
OG0000045	ASTMX14022	AENJA_09277
OG0000046	ASTMX22281	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	AENJA_16259, AENJA_09014, AENJA_24111, AENJA_07378, AENJA_17464, AENJA_14643, AENJA_17407, AENJA_18744, AENJA_06489, AENJA_17691, AENJA_14608, AENJA_08340
OG0000048	ASTMX13714	AENJA_11619
OG0000048	ASTMX03384	AENJA_23226
OG0000048	ASTMX15600	AENJA_09360
OG0000048	ASTMX04570	AENJA_16735, AENJA_16736
OG0000048	ASTMX00590	AENJA_25506
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	AENJA_20702
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	AENJA_25756
OG0000050	ASTMX16561	AENJA_04055, AENJA_09800, AENJA_19193, AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961, AENJA_09597, AENJA_17561, AENJA_19763, AENJA_24932, AENJA_01528, AENJA_02355, AENJA_00087, AENJA_04583, AENJA_05218, AENJA_12783, AENJA_20003, AENJA_05632, AENJA_14035, AENJA_00443, AENJA_08509, AENJA_02533, AENJA_22540, AENJA_26360, AENJA_20350, AENJA_06100, AENJA_07442, AENJA_06078, AENJA_06097
OG0000051	ASTMX08001	AENJA_15112
OG0000051	ASTMX02511	AENJA_24250
OG0000054	ASTMX04679	AENJA_06676, AENJA_23371
OG0000055	ASTMX17485	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	ASTMX17742	AENJA_20111
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	AENJA_20268
OG0000056	ASTMX18310	AENJA_05228
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	AENJA_05247, AENJA_22751, AENJA_20208, AENJA_16752, AENJA_23652
OG0000057	ASTMX18685, ASTMX11838	AENJA_11025
OG0000058	ASTMX10002	AENJA_23345
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	AENJA_12354
OG0000059	ASTMX20918	AENJA_13132
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	AENJA_11199, AENJA_02561, AENJA_02562
OG0000060	ASTMX04292, ASTMX07603	AENJA_17233
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	AENJA_23597
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	AENJA_07301
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	AENJA_07183
OG0000061	ASTMX18729, ASTMX15987	AENJA_26614, AENJA_08766
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	AENJA_00352, AENJA_09642, AENJA_22683
OG0000062	ASTMX01260	AENJA_08106, AENJA_05257, AENJA_04997, AENJA_21915, AENJA_04995
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	AENJA_20321
OG0000063	ASTMX11259, ASTMX01032	AENJA_03789
OG0000063	ASTMX13777, ASTMX12583	AENJA_04323
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	AENJA_26394
OG0000066	ASTMX01776	AENJA_12655, AENJA_09505
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	AENJA_21686, AENJA_02413, AENJA_06386, AENJA_10791, AENJA_00788, AENJA_00783, AENJA_04376, AENJA_10553, AENJA_00784, AENJA_00787, AENJA_00786, AENJA_17339, AENJA_11630, AENJA_04270
OG0000068	ASTMX03045	AENJA_08644
OG0000068	ASTMX22587	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000070	ASTMX03868, ASTMX11850	AENJA_15427, AENJA_23180, AENJA_12319, AENJA_24460, AENJA_25453, AENJA_07501
OG0000070	ASTMX17316, ASTMX02948	AENJA_09128, AENJA_05824, AENJA_17346, AENJA_12868, AENJA_23218, AENJA_23720, AENJA_23723, AENJA_26750
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	AENJA_13128
OG0000072	ASTMX11250, ASTMX11618	AENJA_02450
OG0000072	ASTMX02462	AENJA_25944, AENJA_05445
OG0000073	ASTMX22931	AENJA_02295
OG0000073	ASTMX01961	AENJA_08518, AENJA_08515
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	AENJA_05555, AENJA_12312, AENJA_06058
OG0000074	ASTMX12476	AENJA_24714
OG0000074	ASTMX07079, ASTMX08304	AENJA_19802, AENJA_22095, AENJA_10992, AENJA_15679, AENJA_14253, AENJA_25976, AENJA_03334, AENJA_21322, AENJA_11103, AENJA_23926, AENJA_22408, AENJA_25285, AENJA_25284
OG0000075	ASTMX13833, ASTMX15058	AENJA_23745
OG0000075	ASTMX15193	AENJA_18278
OG0000075	ASTMX10641, ASTMX00718	AENJA_05831
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	AENJA_21406
OG0000075	ASTMX12953, ASTMX02098	AENJA_12918
OG0000075	ASTMX07134	AENJA_12839
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	AENJA_13107
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	AENJA_07475
OG0000077	ASTMX16324, ASTMX07654, ASTMX03210	AENJA_04661
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	AENJA_06551
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	AENJA_16186
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	AENJA_02482
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	AENJA_17442
OG0000079	ASTMX02943	AENJA_10507
OG0000080	ASTMX22762	AENJA_10526, AENJA_00028, AENJA_16119, AENJA_22310, AENJA_08696
OG0000080	ASTMX21534	AENJA_12681
OG0000080	ASTMX03885	AENJA_05027, AENJA_20662, AENJA_01319
OG0000080	ASTMX23043, ASTMX23016	AENJA_22144
OG0000081	ASTMX02774	AENJA_04625, AENJA_04630, AENJA_04629
OG0000082	ASTMX17888	AENJA_25747
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	AENJA_21795
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	AENJA_24814
OG0000084	ASTMX08038	AENJA_24184
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	AENJA_05556
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	AENJA_06487
OG0000085	ASTMX19538	AENJA_24493
OG0000085	ASTMX21189, ASTMX20129	AENJA_20539
OG0000085	ASTMX08704, ASTMX02521	AENJA_08917
OG0000086	ASTMX18109	AENJA_15016, AENJA_09648
OG0000086	ASTMX05962	AENJA_01905
OG0000087	ASTMX06968	AENJA_23251
OG0000087	ASTMX06381	AENJA_19935
OG0000087	ASTMX19474	AENJA_04374, AENJA_10299
OG0000087	ASTMX17716	AENJA_20453
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	AENJA_07097, AENJA_08556, AENJA_07105, AENJA_07098, AENJA_07104, AENJA_11026, AENJA_11029, AENJA_15119, AENJA_13877, AENJA_03166, AENJA_03175, AENJA_08500
OG0000089	ASTMX10521	AENJA_09905, AENJA_09906, AENJA_05338, AENJA_04745, AENJA_16486, AENJA_16485, AENJA_22237, AENJA_02539, AENJA_15610, AENJA_01496
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	AENJA_10145
OG0000090	ASTMX12258, ASTMX10648	AENJA_01954
OG0000091	ASTMX03395	AENJA_01383, AENJA_01384, AENJA_01385, AENJA_05198, AENJA_09904, AENJA_06299
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	AENJA_14582
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	AENJA_26553
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	AENJA_25727
OG0000096	ASTMX09859	AENJA_21947
OG0000096	ASTMX22998	AENJA_08423
OG0000096	ASTMX10423, ASTMX12959	AENJA_14053
OG0000097	ASTMX17212, ASTMX17215, ASTMX17211	AENJA_19407, AENJA_02407
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	AENJA_10136, AENJA_10137
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	AENJA_22563, AENJA_15215
OG0000099	ASTMX21430	AENJA_19631
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	AENJA_07638, AENJA_14869
OG0000100	ASTMX18651	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182, AENJA_19645, AENJA_04978, AENJA_15620
OG0000101	ASTMX00206, ASTMX00424	AENJA_26592
OG0000101	ASTMX01330	AENJA_00251
OG0000101	ASTMX08413	AENJA_06142
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	AENJA_14914, AENJA_21479, AENJA_11421
OG0000102	ASTMX10991, ASTMX16111	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164
OG0000102	ASTMX13696, ASTMX09775, ASTMX13346	AENJA_06075
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	AENJA_10812
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	AENJA_14367
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	AENJA_04107
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	AENJA_02684
OG0000104	ASTMX03728, ASTMX07045	AENJA_26666
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	AENJA_21591
OG0000106	ASTMX03154	AENJA_13743
OG0000106	ASTMX10570, ASTMX00462	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161, AENJA_24394, AENJA_24395
OG0000108	ASTMX06170, ASTMX09882	AENJA_09590, AENJA_26619, AENJA_12891, AENJA_12893, AENJA_12894
OG0000110	ASTMX08508	AENJA_15291, AENJA_04603, AENJA_15296, AENJA_15289, AENJA_15290, AENJA_16216, AENJA_01780, AENJA_10578, AENJA_06144, AENJA_06145, AENJA_16217, AENJA_09309, AENJA_19995, AENJA_08732
OG0000113	ASTMX07205	AENJA_14458
OG0000113	ASTMX07206	AENJA_09826
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073
OG0000116	ASTMX01410	AENJA_23563, AENJA_23564
OG0000117	ASTMX00401, ASTMX12703	AENJA_02548
OG0000117	ASTMX17606	AENJA_23949
OG0000117	ASTMX10401	AENJA_16260
OG0000117	ASTMX14023	AENJA_05124, AENJA_24559, AENJA_08111
OG0000118	ASTMX10091, ASTMX22719	AENJA_22041, AENJA_20121, AENJA_07143, AENJA_26731
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	AENJA_18357, AENJA_20512
OG0000119	ASTMX00656, ASTMX18233	AENJA_08115, AENJA_08491
OG0000120	ASTMX00463	AENJA_04133
OG0000121	ASTMX16272, ASTMX04663, ASTMX01517	AENJA_09065
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	AENJA_09263
OG0000122	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	AENJA_14198
OG0000123	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078	AENJA_11261
OG0000123	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212	AENJA_22182
OG0000123	ASTMX17040, ASTMX19775, ASTMX04718	AENJA_08161
OG0000123	ASTMX14814, ASTMX00304	AENJA_11939, AENJA_11934, AENJA_04063
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	AENJA_03116, AENJA_25792
OG0000124	ASTMX16401, ASTMX07748	AENJA_04495
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	AENJA_09769, AENJA_03187
OG0000124	ASTMX10817, ASTMX14412	AENJA_26736
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	AENJA_05859
OG0000125	ASTMX16041, ASTMX22883, ASTMX19680, ASTMX19461, ASTMX05331, ASTMX17627	AENJA_09264
OG0000125	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329	AENJA_18946
OG0000125	ASTMX19681, ASTMX13832	AENJA_04836
OG0000125	ASTMX00267	AENJA_07272
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	AENJA_24273
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	AENJA_07507
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	AENJA_11132
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	AENJA_20308
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	AENJA_04153
OG0000127	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260	AENJA_17569
