Orthogroup	ASTMX	SCHMD
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	ASTMX02378, ASTMX18821	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000030	ASTMX22293	SCHMD25391
OG0000031	ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712	SCHMD16950
OG0000031	ASTMX12572	SCHMD11094
OG0000031	ASTMX11402, ASTMX09693, ASTMX17541	SCHMD00185
OG0000031	ASTMX00710, ASTMX00969, ASTMX17640, ASTMX03912, ASTMX00105, ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725, ASTMX00107, ASTMX04176	SCHMD17865
OG0000031	ASTMX03166	SCHMD04192
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	SCHMD13190, SCHMD26745
OG0000034	ASTMX15312	SCHMD14042
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	SCHMD04875
OG0000034	ASTMX02136	SCHMD07081
OG0000035	ASTMX17732	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	SCHMD15627, SCHMD19701
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000036	ASTMX19120	SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	SCHMD19933
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	ASTMX03275	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000038	ASTMX05291	SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983
OG0000039	ASTMX03851, ASTMX16971, ASTMX14711, ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593, ASTMX10108, ASTMX07819	SCHMD12270
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	ASTMX12801, ASTMX22617	SCHMD00424
OG0000043	ASTMX09533	SCHMD29206, SCHMD09758
OG0000044	ASTMX17555	SCHMD06706
OG0000044	ASTMX11110	SCHMD06550
OG0000048	ASTMX04258, ASTMX18409	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000058	ASTMX10002	SCHMD04270
OG0000058	ASTMX01061	SCHMD06371
OG0000059	ASTMX21875	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	SCHMD03062
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	SCHMD24930
OG0000061	ASTMX18729, ASTMX15987	SCHMD11039
OG0000062	ASTMX22952	SCHMD03372
OG0000062	ASTMX03300, ASTMX18476, ASTMX18478, ASTMX18474, ASTMX18479, ASTMX22500, ASTMX18477, ASTMX11236, ASTMX20466, ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342, ASTMX01260	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	SCHMD04855
OG0000063	ASTMX11259, ASTMX01032	SCHMD09653
OG0000063	ASTMX13777	SCHMD24452
OG0000063	ASTMX12583	SCHMD26478, SCHMD21709
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	ASTMX01776	SCHMD06030
OG0000068	ASTMX03045, ASTMX22587, ASTMX22308	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	ASTMX20491	SCHMD05798, SCHMD12262
OG0000070	ASTMX03868, ASTMX11850	SCHMD06745
OG0000070	ASTMX10727	SCHMD27266, SCHMD15308
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	SCHMD10090
OG0000073	ASTMX22931	SCHMD13212, SCHMD07291, SCHMD22957
OG0000075	ASTMX12169, ASTMX18152	SCHMD10965
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	SCHMD03704
OG0000075	ASTMX12953, ASTMX02098	SCHMD21424
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	SCHMD17571
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	SCHMD23576
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	SCHMD04824, SCHMD04525
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	ASTMX02943	SCHMD06941, SCHMD04736
OG0000080	ASTMX22762, ASTMX21534, ASTMX03885, ASTMX23043, ASTMX23016	SCHMD10387, SCHMD06434
OG0000082	ASTMX06917	SCHMD03263, SCHMD10119
OG0000082	ASTMX10849, ASTMX11876, ASTMX19980	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	SCHMD19821, SCHMD23941, SCHMD23870
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	SCHMD12836
OG0000085	ASTMX19538	SCHMD12466
OG0000085	ASTMX21189, ASTMX20129	SCHMD18327
OG0000087	ASTMX06968	SCHMD09405, SCHMD09406
OG0000087	ASTMX08354	SCHMD09403
OG0000087	ASTMX08347	SCHMD03394
OG0000087	ASTMX17718	SCHMD23919
OG0000087	ASTMX17716	SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336
OG0000093	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	ASTMX03425	SCHMD23746
OG0000094	ASTMX08393	SCHMD18376, SCHMD14753
OG0000094	ASTMX08391	SCHMD26804
OG0000094	ASTMX19353	SCHMD21133, SCHMD07079
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	SCHMD07753
OG0000096	ASTMX08845	SCHMD18607
OG0000096	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959	SCHMD10033
OG0000097	ASTMX17212, ASTMX17215, ASTMX17211	SCHMD22037, SCHMD20326
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	SCHMD29644, SCHMD22119
OG0000099	ASTMX21430	SCHMD11735, SCHMD29475, SCHMD24883, SCHMD19972
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	SCHMD29081, SCHMD19673
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	SCHMD08147
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015, ASTMX03154, ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000110	ASTMX08508	SCHMD06031, SCHMD29673, SCHMD14183, SCHMD14809, SCHMD14182, SCHMD18955, SCHMD13898, SCHMD27056, SCHMD11887
OG0000113	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390	SCHMD06629, SCHMD02664
OG0000114	ASTMX06800	SCHMD19276
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000114	ASTMX20865	SCHMD28859
OG0000117	ASTMX14023	SCHMD07660, SCHMD02896, SCHMD11493
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636, ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905, ASTMX00656, ASTMX18233	SCHMD02911
OG0000120	ASTMX00463	SCHMD07084
OG0000120	ASTMX22743	SCHMD26849
OG0000122	ASTMX05998, ASTMX22052	SCHMD00543
OG0000122	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	SCHMD16641, SCHMD09849
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149, ASTMX16401, ASTMX07748	SCHMD10270, SCHMD10271
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	SCHMD08774
OG0000126	ASTMX18095, ASTMX08006, ASTMX06040	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	ASTMX11157	SCHMD24144
OG0000126	ASTMX09154	SCHMD06494
OG0000126	ASTMX06187, ASTMX17244	SCHMD01813, SCHMD04253
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	SCHMD03781
OG0000128	ASTMX05854	SCHMD25789, SCHMD19594
OG0000128	ASTMX15563, ASTMX07961	SCHMD29825
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539	SCHMD20816, SCHMD05405
OG0000129	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614	SCHMD03224
OG0000129	ASTMX22248	SCHMD17972
OG0000130	ASTMX07135, ASTMX08389, ASTMX02101, ASTMX18603, ASTMX21728, ASTMX10754, ASTMX19065, ASTMX02114, ASTMX12106, ASTMX15566, ASTMX07963, ASTMX11451, ASTMX00189, ASTMX19291, ASTMX03032, ASTMX13868, ASTMX11078, ASTMX12125	SCHMD17609
OG0000132	ASTMX15628	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	ASTMX04665	SCHMD04306
OG0000137	ASTMX10792, ASTMX08181	SCHMD09558
OG0000139	ASTMX09356	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000142	ASTMX22061, ASTMX14163	SCHMD03732, SCHMD10133, SCHMD15810, SCHMD15070, SCHMD02364
OG0000145	ASTMX13278	SCHMD03152
OG0000147	ASTMX03135, ASTMX08761, ASTMX04795	SCHMD11019
OG0000147	ASTMX22882, ASTMX19061	SCHMD09678, SCHMD11020, SCHMD11018, SCHMD11022, SCHMD11969, SCHMD22708, SCHMD11025
OG0000147	ASTMX01265, ASTMX04843	SCHMD11968
OG0000148	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634	SCHMD08056
OG0000149	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915	SCHMD06205, SCHMD05440
OG0000151	ASTMX22005, ASTMX16447, ASTMX16036, ASTMX08859, ASTMX05398, ASTMX21907	SCHMD00278, SCHMD02808, SCHMD08861, SCHMD12362, SCHMD13992, SCHMD21186, SCHMD17857, SCHMD20973, SCHMD00274
OG0000151	ASTMX21939, ASTMX10392, ASTMX08593, ASTMX17567, ASTMX14340, ASTMX15073	SCHMD02747, SCHMD12342
OG0000153	ASTMX05657, ASTMX15860, ASTMX01844	SCHMD05163, SCHMD05160, SCHMD02381
OG0000155	ASTMX08087, ASTMX14831, ASTMX13520	SCHMD05383, SCHMD06593, SCHMD10992
OG0000155	ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582	SCHMD23773, SCHMD18379, SCHMD09661, SCHMD07787
OG0000155	ASTMX12246, ASTMX04195	SCHMD13125
OG0000157	ASTMX15736, ASTMX02435, ASTMX11937	SCHMD03548, SCHMD06363
OG0000157	ASTMX10886	SCHMD01802
OG0000158	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735	SCHMD18936
OG0000158	ASTMX12179	SCHMD15100, SCHMD15049
OG0000159	ASTMX12753	SCHMD26601, SCHMD09606
OG0000159	ASTMX03645, ASTMX21390, ASTMX06913, ASTMX03301, ASTMX16138, ASTMX16710	SCHMD14942
OG0000160	ASTMX12091	SCHMD26548, SCHMD20557, SCHMD26050, SCHMD24982, SCHMD19560, SCHMD11814, SCHMD15584, SCHMD21777, SCHMD19430
OG0000163	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159, ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414	SCHMD23090
OG0000163	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308, ASTMX21793	SCHMD22191, SCHMD20049, SCHMD00396, SCHMD15554
OG0000167	ASTMX06436, ASTMX06435, ASTMX01762	SCHMD16214, SCHMD15187
OG0000169	ASTMX22905	SCHMD00386
OG0000171	ASTMX05924, ASTMX13384, ASTMX18495	SCHMD26790, SCHMD13950
OG0000173	ASTMX22989	SCHMD19853, SCHMD20107, SCHMD19855, SCHMD02094, SCHMD02093, SCHMD19854, SCHMD17711
OG0000174	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671	SCHMD09838
OG0000175	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252, ASTMX21180	SCHMD18439, SCHMD17544
OG0000179	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451	SCHMD11075
OG0000179	ASTMX13630, ASTMX02170	SCHMD01320
OG0000181	ASTMX00767, ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806	SCHMD27609, SCHMD12097, SCHMD28522
OG0000181	ASTMX07281, ASTMX11712, ASTMX06485	SCHMD20053, SCHMD26119
OG0000182	ASTMX21649, ASTMX11305	SCHMD24741
OG0000182	ASTMX10937, ASTMX14409, ASTMX15288, ASTMX04097, ASTMX13943, ASTMX20040, ASTMX22035	SCHMD07603
OG0000183	ASTMX10680	SCHMD22220
OG0000183	ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109	SCHMD21103, SCHMD28756
OG0000183	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505	SCHMD12130, SCHMD10333
OG0000185	ASTMX22814	SCHMD07834
OG0000186	ASTMX18771	SCHMD16812, SCHMD07850, SCHMD22114, SCHMD12081
OG0000188	ASTMX16874	SCHMD07258
OG0000188	ASTMX21970	SCHMD04013
OG0000192	ASTMX07878, ASTMX20901, ASTMX19840, ASTMX01591, ASTMX00329, ASTMX15434, ASTMX02346	SCHMD06928, SCHMD19123, SCHMD13848, SCHMD05119, SCHMD03032, SCHMD02899, SCHMD02898, SCHMD00443
OG0000194	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331	SCHMD11912, SCHMD12565
OG0000195	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669	SCHMD06851
OG0000197	ASTMX04274, ASTMX00851, ASTMX10141	SCHMD10696, SCHMD17861, SCHMD23209
OG0000199	ASTMX00281, ASTMX00285, ASTMX00284, ASTMX00280, ASTMX00277, ASTMX14809, ASTMX14810, ASTMX14807, ASTMX00296, ASTMX00297, ASTMX00295, ASTMX00294, ASTMX14806, ASTMX14805, ASTMX22700, ASTMX18950, ASTMX14808, ASTMX18951, ASTMX00292, ASTMX00293, ASTMX00290, ASTMX00291, ASTMX00288, ASTMX00289, ASTMX18953, ASTMX18952	SCHMD25193, SCHMD19754, SCHMD12419, SCHMD26058, SCHMD15988, SCHMD23974
OG0000201	ASTMX19802, ASTMX14681, ASTMX19801, ASTMX15505	SCHMD28886, SCHMD20370, SCHMD17233
OG0000201	ASTMX16364, ASTMX16005, ASTMX04412, ASTMX17973, ASTMX12848	SCHMD00317, SCHMD09035
OG0000201	ASTMX16004, ASTMX17974	SCHMD06305, SCHMD14342, SCHMD21248, SCHMD10519
OG0000201	ASTMX01297, ASTMX11319, ASTMX13076, ASTMX16014, ASTMX13075	SCHMD10520
OG0000203	ASTMX16274, ASTMX00845, ASTMX01226, ASTMX00857	SCHMD13221
OG0000204	ASTMX05231, ASTMX02270	SCHMD05946, SCHMD11236, SCHMD20783
OG0000204	ASTMX21977	SCHMD00860, SCHMD11235
OG0000204	ASTMX00222	SCHMD00861
OG0000205	ASTMX13522, ASTMX10816, ASTMX16114, ASTMX14153, ASTMX22625	SCHMD01159, SCHMD14901, SCHMD14452, SCHMD14902, SCHMD14453
OG0000205	ASTMX20065, ASTMX10182, ASTMX20441, ASTMX12995	SCHMD25881, SCHMD14433, SCHMD00603, SCHMD11532, SCHMD18472, SCHMD00599, SCHMD27278
OG0000205	ASTMX20510, ASTMX07381, ASTMX02305, ASTMX10670, ASTMX05423, ASTMX14679	SCHMD03008, SCHMD07998, SCHMD07996
OG0000207	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362	SCHMD06438, SCHMD26342, SCHMD25964, SCHMD04396
OG0000208	ASTMX14534, ASTMX12214, ASTMX04375, ASTMX14594, ASTMX12234, ASTMX18583, ASTMX05181	SCHMD02566, SCHMD12405, SCHMD11985, SCHMD22998, SCHMD11986, SCHMD02567, SCHMD02568, SCHMD12406, SCHMD01555, SCHMD12407, SCHMD05900
OG0000209	ASTMX23046	SCHMD22454
OG0000210	ASTMX06462	SCHMD17714, SCHMD17668, SCHMD15550, SCHMD10082, SCHMD15038, SCHMD22393
OG0000210	ASTMX16896	SCHMD24015
OG0000211	ASTMX02506	SCHMD21436
OG0000215	ASTMX09309, ASTMX14457	SCHMD15383
OG0000215	ASTMX12693	SCHMD27729, SCHMD15945
OG0000218	ASTMX14255, ASTMX06375	SCHMD01527
OG0000220	ASTMX06452, ASTMX19472	SCHMD07645
OG0000221	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185	SCHMD10720
OG0000222	ASTMX11164	SCHMD08501, SCHMD21613
OG0000222	ASTMX04358, ASTMX14568, ASTMX11163	SCHMD21612, SCHMD08502
OG0000223	ASTMX15854	SCHMD07141
OG0000225	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717	SCHMD14160, SCHMD23340, SCHMD13094, SCHMD25261, SCHMD22794, SCHMD14161
OG0000226	ASTMX10407	SCHMD28582, SCHMD28293
OG0000227	ASTMX14933, ASTMX18558	SCHMD05742, SCHMD06927
OG0000227	ASTMX02672	SCHMD26170
OG0000227	ASTMX17511, ASTMX21030, ASTMX00467	SCHMD05353
OG0000227	ASTMX14981, ASTMX11122, ASTMX17731	SCHMD04380
OG0000230	ASTMX01329	SCHMD23835, SCHMD14315
OG0000231	ASTMX01168, ASTMX10711, ASTMX06042, ASTMX21702, ASTMX18443, ASTMX22637, ASTMX00067	SCHMD15225, SCHMD17377
OG0000231	ASTMX21905, ASTMX09216, ASTMX07397, ASTMX07396	SCHMD24769, SCHMD25604
OG0000233	ASTMX07999, ASTMX11193	SCHMD01146, SCHMD07435, SCHMD22145
OG0000235	ASTMX11628, ASTMX03682, ASTMX10834	SCHMD29163
OG0000236	ASTMX08747, ASTMX03149	SCHMD00730
OG0000239	ASTMX07645, ASTMX14835, ASTMX20429, ASTMX05441	SCHMD18522
OG0000239	ASTMX01276, ASTMX03280	SCHMD03432
OG0000239	ASTMX14116	SCHMD16926, SCHMD03433
OG0000239	ASTMX21438	SCHMD01648, SCHMD18521
OG0000239	ASTMX15869, ASTMX10448, ASTMX21437, ASTMX01895	SCHMD06547
OG0000240	ASTMX10617	SCHMD06226, SCHMD00582
OG0000242	ASTMX04049, ASTMX03054	SCHMD20260
OG0000244	ASTMX01790	SCHMD21826
OG0000244	ASTMX15853	SCHMD15740, SCHMD18441, SCHMD21827
OG0000246	ASTMX19738	SCHMD02140
OG0000246	ASTMX03325	SCHMD16891, SCHMD17961, SCHMD12289
