Orthogroup	ASTMX	SACKO_ok
OG0000001	ASTMX14986, ASTMX22661, ASTMX20102, ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719
OG0000001	ASTMX07323, ASTMX16759, ASTMX18180	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	ASTMX13878	SACKO_11085, SACKO_21630, SACKO_21632
OG0000002	ASTMX19248	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931	SACKO_18684
OG0000002	ASTMX20125	SACKO_13458
OG0000003	ASTMX21256	SACKO_02072
OG0000004	ASTMX17274	SACKO_20132
OG0000005	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164	SACKO_22081, SACKO_22108, SACKO_22102
OG0000006	ASTMX20216	SACKO_21129
OG0000006	ASTMX00775	SACKO_21953
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	SACKO_11503
OG0000006	ASTMX16363, ASTMX04345	SACKO_02616
OG0000006	ASTMX03791, ASTMX03123	SACKO_13650
OG0000006	ASTMX03256, ASTMX09680	SACKO_23250
OG0000006	ASTMX14682, ASTMX19702	SACKO_15817
OG0000006	ASTMX21126, ASTMX03352	SACKO_32444
OG0000006	ASTMX06644	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	SACKO_32500
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	SACKO_06429
OG0000006	ASTMX14827	SACKO_32477
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	SACKO_20803
OG0000006	ASTMX10604	SACKO_32388
OG0000007	ASTMX14980	SACKO_33112
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	SACKO_16486
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	SACKO_25751
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	SACKO_17363
OG0000007	ASTMX22657	SACKO_07507
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	SACKO_03410
OG0000007	ASTMX20070	SACKO_15684
OG0000007	ASTMX22376, ASTMX11119	SACKO_15694
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	SACKO_22717
OG0000007	ASTMX18062, ASTMX21262	SACKO_27771
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	SACKO_27817
OG0000007	ASTMX04966, ASTMX11650	SACKO_00927
OG0000007	ASTMX18779, ASTMX07711	SACKO_02233
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	SACKO_31102, SACKO_31073
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	SACKO_11981
OG0000008	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136, ASTMX19133, ASTMX14439, ASTMX19138	SACKO_05714, SACKO_03429
OG0000010	ASTMX18619	SACKO_30054
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	SACKO_31740
OG0000011	ASTMX21233, ASTMX01926, ASTMX21375, ASTMX22962, ASTMX22920, ASTMX22970, ASTMX23073, ASTMX20022, ASTMX23051	SACKO_22764
OG0000012	ASTMX22063, ASTMX16492	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	ASTMX06265	SACKO_01736
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557	SACKO_10784, SACKO_10786
OG0000014	ASTMX01801	SACKO_33738, SACKO_26423, SACKO_26460
OG0000014	ASTMX03251, ASTMX15832	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001
OG0000014	ASTMX12908, ASTMX11632	SACKO_13283
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	SACKO_31697
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	ASTMX00540	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946
OG0000016	ASTMX02874	SACKO_11717, SACKO_14898
OG0000016	ASTMX17395	SACKO_26527
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	SACKO_21669, SACKO_17074, SACKO_20752
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	SACKO_23880
OG0000020	ASTMX04834	SACKO_22951
OG0000020	ASTMX12285	SACKO_32378
OG0000020	ASTMX15062	SACKO_20642
OG0000020	ASTMX14060	SACKO_08732
OG0000020	ASTMX00490, ASTMX12696	SACKO_21519
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904
OG0000020	ASTMX16030	SACKO_19273
OG0000020	ASTMX16028	SACKO_23553, SACKO_23513
OG0000020	ASTMX17320	SACKO_16107, SACKO_20105
OG0000020	ASTMX04750, ASTMX21042	SACKO_15854
OG0000020	ASTMX05243	SACKO_20295
OG0000020	ASTMX04710, ASTMX22736	SACKO_29670
OG0000020	ASTMX07754	SACKO_24638
OG0000020	ASTMX13875	SACKO_04828
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	SACKO_24549
OG0000021	ASTMX00201, ASTMX09085	SACKO_32115
OG0000021	ASTMX02310, ASTMX16342	SACKO_15594
OG0000021	ASTMX09645	SACKO_29742
OG0000021	ASTMX21461, ASTMX05545	SACKO_25838
OG0000021	ASTMX13864	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640
OG0000023	ASTMX18896	SACKO_10529
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	SACKO_06926
OG0000026	ASTMX12978	SACKO_23233
OG0000027	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136
OG0000027	ASTMX01680	SACKO_02698
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	SACKO_00730, SACKO_00734
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	SACKO_00054, SACKO_29910
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	SACKO_04574
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	SACKO_15001
OG0000029	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076
OG0000030	ASTMX22473	SACKO_19657, SACKO_34042
OG0000030	ASTMX06934	SACKO_06190, SACKO_06196
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	ASTMX02378, ASTMX18821	SACKO_23559
OG0000030	ASTMX01510	SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032
OG0000031	ASTMX08659, ASTMX04771	SACKO_18621
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	SACKO_18614
OG0000031	ASTMX06525	SACKO_16512
OG0000031	ASTMX09693, ASTMX17541	SACKO_21501
OG0000031	ASTMX03912, ASTMX00105	SACKO_14417
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	SACKO_32680
OG0000031	ASTMX00107, ASTMX04176	SACKO_14578
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	SACKO_03088
OG0000031	ASTMX03166	SACKO_31006
OG0000032	ASTMX08687, ASTMX18764	SACKO_26058
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	ASTMX06705	SACKO_02664
OG0000034	ASTMX03519	SACKO_08906
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	SACKO_15619
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	SACKO_19192
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	SACKO_16505
OG0000034	ASTMX12428, ASTMX02190	SACKO_05860
OG0000034	ASTMX01548	SACKO_20630, SACKO_18516, SACKO_29852
OG0000034	ASTMX02136	SACKO_20915
OG0000034	ASTMX10911	SACKO_20262
OG0000035	ASTMX17732	SACKO_02558
OG0000035	ASTMX22713, ASTMX21245	SACKO_19408
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	SACKO_12639
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	SACKO_13246
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	SACKO_16912, SACKO_19307, SACKO_22660
OG0000035	ASTMX15321, ASTMX20966	SACKO_08422
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	SACKO_28321
OG0000036	ASTMX19120	SACKO_14647
OG0000036	ASTMX18312, ASTMX10284	SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688
OG0000036	ASTMX01338, ASTMX03570	SACKO_28315
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	SACKO_22630
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	SACKO_05171
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	SACKO_15149
OG0000037	ASTMX03275	SACKO_21107, SACKO_21121, SACKO_07542, SACKO_17953, SACKO_17956
OG0000038	ASTMX05291	SACKO_00016
OG0000038	ASTMX12685, ASTMX17002	SACKO_05258, SACKO_05271
OG0000039	ASTMX03851	SACKO_24480
OG0000039	ASTMX16971	SACKO_16726, SACKO_16701
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	SACKO_27347, SACKO_18726, SACKO_31332, SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	SACKO_08282
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746	SACKO_06515
OG0000043	ASTMX09533	SACKO_09694
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	SACKO_25267
OG0000044	ASTMX17555	SACKO_33185, SACKO_12809, SACKO_27728, SACKO_25979
OG0000045	ASTMX14022	SACKO_11123
OG0000045	ASTMX15522, ASTMX03419	SACKO_32893, SACKO_32938, SACKO_32925
OG0000046	ASTMX22281	SACKO_04617, SACKO_18448
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	SACKO_27244, SACKO_27309, SACKO_27311, SACKO_25196, SACKO_25208
OG0000048	ASTMX13714	SACKO_04413
OG0000048	ASTMX03384	SACKO_24161
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556	SACKO_15652, SACKO_15237, SACKO_15246
OG0000048	ASTMX15600	SACKO_03133
OG0000048	ASTMX04570	SACKO_17673
OG0000048	ASTMX00590	SACKO_29639
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	SACKO_08936
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	SACKO_25469
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	SACKO_25472
OG0000050	ASTMX16561	SACKO_33502, SACKO_27829, SACKO_28831, SACKO_23972, SACKO_14672, SACKO_27112, SACKO_18956, SACKO_28081, SACKO_24685, SACKO_16669, SACKO_28066, SACKO_21118, SACKO_30449, SACKO_28664, SACKO_21879, SACKO_14082, SACKO_12826, SACKO_19173, SACKO_06375, SACKO_10464, SACKO_01876, SACKO_20008, SACKO_12231, SACKO_07136, SACKO_16143, SACKO_24117, SACKO_17648
OG0000051	ASTMX02511	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	ASTMX12784	SACKO_03479
OG0000054	ASTMX21203	SACKO_13490
OG0000054	ASTMX04679	SACKO_17476
OG0000054	ASTMX05759	SACKO_33924, SACKO_28075, SACKO_02978, SACKO_02968, SACKO_33533, SACKO_31837, SACKO_03553, SACKO_03606, SACKO_03590, SACKO_22513, SACKO_14957, SACKO_14966, SACKO_22867, SACKO_12976, SACKO_09411, SACKO_09416, SACKO_04221
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000058	ASTMX10002	SACKO_23572
OG0000059	ASTMX20918	SACKO_01899
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	SACKO_18357
OG0000060	ASTMX04292, ASTMX07603	SACKO_26044
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	SACKO_08309
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	SACKO_02041
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	SACKO_02073
OG0000061	ASTMX18729, ASTMX15987	SACKO_02064
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	SACKO_15950, SACKO_15963, SACKO_09033
OG0000062	ASTMX01260	SACKO_15645
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	SACKO_12392
OG0000063	ASTMX11259, ASTMX01032	SACKO_30337
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	SACKO_15119
OG0000066	ASTMX01776	SACKO_23403
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	SACKO_29221, SACKO_31855, SACKO_31833, SACKO_12536, SACKO_12547, SACKO_12538, SACKO_06258, SACKO_31568, SACKO_29251, SACKO_32787, SACKO_32780, SACKO_02541, SACKO_12383, SACKO_13178, SACKO_19397, SACKO_21210, SACKO_13183, SACKO_02285, SACKO_12598, SACKO_16903, SACKO_03814, SACKO_03817, SACKO_18910
OG0000068	ASTMX15456	SACKO_00510, SACKO_11410
OG0000068	ASTMX20702	SACKO_06043
OG0000068	ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	SACKO_06365
OG0000070	ASTMX03868, ASTMX11850	SACKO_18930, SACKO_18932
OG0000070	ASTMX17316, ASTMX02948	SACKO_16529, SACKO_03669, SACKO_06869, SACKO_08780, SACKO_08776, SACKO_17153, SACKO_29369, SACKO_16538, SACKO_10537, SACKO_10050, SACKO_01480, SACKO_29930
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	SACKO_25103, SACKO_25111
OG0000072	ASTMX11250, ASTMX11618	SACKO_14515
OG0000072	ASTMX02462	SACKO_31517
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	SACKO_04859
OG0000074	ASTMX12476	SACKO_00567, SACKO_23013
OG0000074	ASTMX07079, ASTMX08304	SACKO_01565, SACKO_20235, SACKO_20240, SACKO_02109, SACKO_12436, SACKO_31326, SACKO_31311, SACKO_16881, SACKO_29200, SACKO_29259, SACKO_32314, SACKO_29235, SACKO_02421, SACKO_29199, SACKO_29193, SACKO_29237, SACKO_29214, SACKO_02420, SACKO_15509, SACKO_14575, SACKO_14398, SACKO_14464, SACKO_14421, SACKO_26150, SACKO_06386, SACKO_14271, SACKO_08735
OG0000075	ASTMX13833, ASTMX15058	SACKO_07161
OG0000075	ASTMX17154	SACKO_31868
OG0000075	ASTMX04760	SACKO_31864
OG0000075	ASTMX10641, ASTMX00718	SACKO_16948
OG0000075	ASTMX12169, ASTMX18152	SACKO_18318
OG0000075	ASTMX16716, ASTMX04759	SACKO_31867
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	SACKO_23452
OG0000075	ASTMX12953, ASTMX02098	SACKO_23651
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	SACKO_09677
OG0000075	ASTMX07134	SACKO_16926
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	SACKO_10609, SACKO_13734
OG0000077	ASTMX06199, ASTMX03488, ASTMX12363	SACKO_03449
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	SACKO_24063
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562	SACKO_16621, SACKO_13762
OG0000077	ASTMX09286, ASTMX05084	SACKO_02025
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	SACKO_29101, SACKO_02475
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	SACKO_22850
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	SACKO_28168
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	SACKO_02973
OG0000082	ASTMX06917	SACKO_10320, SACKO_23913, SACKO_28357, SACKO_23907, SACKO_09409, SACKO_23931, SACKO_23906, SACKO_26214, SACKO_32295
OG0000082	ASTMX17888	SACKO_12474
OG0000082	ASTMX10851, ASTMX17248	SACKO_26490
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	SACKO_30590
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980	SACKO_10969, SACKO_17061, SACKO_10264, SACKO_10253
OG0000084	ASTMX22125, ASTMX15418, ASTMX20810	SACKO_06467, SACKO_06545, SACKO_31931
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	SACKO_25939, SACKO_05229, SACKO_05226, SACKO_29112, SACKO_05196, SACKO_05204, SACKO_34192, SACKO_05203, SACKO_05224, SACKO_05166, SACKO_05235, SACKO_10741, SACKO_10738, SACKO_10729, SACKO_10733, SACKO_06583
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	SACKO_23009
OG0000085	ASTMX19538	SACKO_25563
OG0000085	ASTMX21189, ASTMX20129	SACKO_10208
OG0000085	ASTMX08704, ASTMX02521	SACKO_33849
OG0000086	ASTMX23077	SACKO_32875, SACKO_17351, SACKO_29141, SACKO_14056, SACKO_14065
OG0000086	ASTMX18109	SACKO_19424
OG0000086	ASTMX05962	SACKO_33827, SACKO_23869, SACKO_24641, SACKO_21619, SACKO_18827, SACKO_21646, SACKO_26892, SACKO_17064
OG0000087	ASTMX06968	SACKO_18343
OG0000087	ASTMX06381	SACKO_23472
OG0000087	ASTMX19474	SACKO_06733
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	SACKO_22121, SACKO_03740, SACKO_08568, SACKO_17308, SACKO_10633, SACKO_10635, SACKO_31806, SACKO_21553, SACKO_32685, SACKO_32679, SACKO_28645, SACKO_11604, SACKO_11610, SACKO_24227, SACKO_24190, SACKO_14146, SACKO_31824, SACKO_31840, SACKO_27885, SACKO_20075, SACKO_18749, SACKO_25662, SACKO_04357, SACKO_25835, SACKO_02277, SACKO_25182, SACKO_33837, SACKO_01867, SACKO_33325, SACKO_11683
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	SACKO_27338
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	SACKO_21411
OG0000090	ASTMX12258, ASTMX10648	SACKO_28463, SACKO_27294, SACKO_22823, SACKO_27256, SACKO_22832, SACKO_22824
OG0000093	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769	SACKO_04129
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	SACKO_30142
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392	SACKO_14416
OG0000095	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008	SACKO_22134, SACKO_02519
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	SACKO_00041
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	SACKO_02842
OG0000096	ASTMX18278, ASTMX15892	SACKO_13904
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	SACKO_24537
OG0000096	ASTMX19590	SACKO_23084
OG0000096	ASTMX10423, ASTMX12959	SACKO_27312, SACKO_27255
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	SACKO_30373, SACKO_19685
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	SACKO_15840
OG0000099	ASTMX03763, ASTMX18144, ASTMX01173, ASTMX06084, ASTMX05845, ASTMX03961, ASTMX16578, ASTMX21430	SACKO_04331
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	SACKO_03078
OG0000101	ASTMX00206, ASTMX00424	SACKO_13586, SACKO_13587, SACKO_31937
OG0000101	ASTMX01330	SACKO_24340, SACKO_08457
OG0000101	ASTMX08413	SACKO_23978, SACKO_23977
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	SACKO_17213, SACKO_17194, SACKO_17207, SACKO_30330
OG0000102	ASTMX10991, ASTMX16111	SACKO_09072, SACKO_09096, SACKO_13190
OG0000102	ASTMX13696, ASTMX09775, ASTMX13346	SACKO_03174, SACKO_24642, SACKO_24634, SACKO_24635, SACKO_25830, SACKO_27386, SACKO_24644, SACKO_06606, SACKO_24917, SACKO_26731, SACKO_33717, SACKO_06602, SACKO_23037, SACKO_18657, SACKO_18650, SACKO_28533, SACKO_15184, SACKO_18640
