Orthogroup	ASTMX	YEAST
OG0000107	ASTMX08032, ASTMX19414	YEAST05173
OG0000113	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390, ASTMX07205, ASTMX07206	YEAST00378, YEAST01351, YEAST05581
OG0000114	ASTMX20865	YEAST00703
OG0000116	ASTMX09821, ASTMX01410	YEAST04456
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832, ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	YEAST04928
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	YEAST05021
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	YEAST04122
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500, ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032, ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478, ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260, ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860	YEAST06208
OG0000128	ASTMX15563, ASTMX07961	YEAST03441, YEAST01398, YEAST05967, YEAST05716
OG0000132	ASTMX15628, ASTMX09702	YEAST06016
OG0000137	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486, ASTMX04665, ASTMX08942, ASTMX01570, ASTMX22671, ASTMX10792, ASTMX08181	YEAST01851, YEAST00637
OG0000142	ASTMX02569, ASTMX02645, ASTMX11196, ASTMX15663, ASTMX04648, ASTMX18481, ASTMX09137, ASTMX22061, ASTMX14163, ASTMX21325	YEAST02122
OG0000158	ASTMX02401, ASTMX13165, ASTMX06541, ASTMX11567, ASTMX11566, ASTMX06538, ASTMX11564, ASTMX11565, ASTMX06921, ASTMX06542, ASTMX02399, ASTMX06540, ASTMX15812, ASTMX02400, ASTMX22944, ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735, ASTMX12179	YEAST05568
OG0000160	ASTMX12091, ASTMX15798, ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060	YEAST04194
OG0000175	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252, ASTMX21180, ASTMX05265, ASTMX22048	YEAST00850, YEAST04327
OG0000179	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451	YEAST01123, YEAST04430
OG0000179	ASTMX13630, ASTMX02170	YEAST02911, YEAST01281
OG0000179	ASTMX14866	YEAST04108, YEAST03346
OG0000181	ASTMX00767, ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806, ASTMX02628, ASTMX03065, ASTMX07281, ASTMX11712, ASTMX06485, ASTMX09488, ASTMX00769, ASTMX00770	YEAST00824, YEAST00771
OG0000186	ASTMX18771, ASTMX14406	YEAST00336
OG0000194	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331	YEAST01410
OG0000195	ASTMX06503, ASTMX06504, ASTMX08420, ASTMX05669	YEAST03414
OG0000211	ASTMX14936, ASTMX14468, ASTMX02506, ASTMX08965, ASTMX12406, ASTMX15733, ASTMX12502, ASTMX00388, ASTMX07887	YEAST04964
OG0000221	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047, ASTMX14659, ASTMX05690, ASTMX18613, ASTMX00084, ASTMX22683, ASTMX10185	YEAST05872
OG0000222	ASTMX11164, ASTMX04358, ASTMX14568, ASTMX11163	YEAST01460
OG0000225	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717	YEAST06146
OG0000227	ASTMX14934, ASTMX14933, ASTMX18558, ASTMX02672, ASTMX19343, ASTMX10190, ASTMX21887, ASTMX17511, ASTMX21030, ASTMX00467, ASTMX17802, ASTMX07384, ASTMX15014, ASTMX15013, ASTMX08655, ASTMX14981, ASTMX11122, ASTMX17731	YEAST05815
OG0000228	ASTMX08232, ASTMX13813, ASTMX10957, ASTMX17589, ASTMX16365, ASTMX10925	YEAST04750
OG0000233	ASTMX14603, ASTMX07999, ASTMX11193	YEAST03726, YEAST03241, YEAST03242
OG0000238	ASTMX19906, ASTMX07705, ASTMX20450, ASTMX07704, ASTMX22020, ASTMX08638, ASTMX11056, ASTMX15298, ASTMX08927, ASTMX16413, ASTMX15299	YEAST06340, YEAST03834
OG0000240	ASTMX02102, ASTMX10352, ASTMX10354, ASTMX10617	YEAST03827
OG0000242	ASTMX22355, ASTMX17492, ASTMX17491, ASTMX21993, ASTMX02117, ASTMX00357, ASTMX20526, ASTMX12612, ASTMX04049, ASTMX03054	YEAST00734
OG0000246	ASTMX19738, ASTMX03325	YEAST01746, YEAST01747
OG0000250	ASTMX18265, ASTMX22935, ASTMX21081, ASTMX10554, ASTMX10861	YEAST04716
OG0000255	ASTMX15208, ASTMX00265	YEAST02822
OG0000256	ASTMX14236, ASTMX14182, ASTMX17896, ASTMX08211, ASTMX08210, ASTMX05152	YEAST00266
OG0000258	ASTMX10103, ASTMX07818, ASTMX21558, ASTMX12307, ASTMX13949, ASTMX09429, ASTMX02019, ASTMX10822, ASTMX04575, ASTMX10602, ASTMX16862	YEAST00118
OG0000260	ASTMX02089, ASTMX00793, ASTMX08323, ASTMX08530, ASTMX00791, ASTMX02088, ASTMX20570, ASTMX18863, ASTMX00302, ASTMX12581, ASTMX21781	YEAST04323
OG0000265	ASTMX23047	YEAST05674
OG0000265	ASTMX17774, ASTMX08300	YEAST03885, YEAST03714
OG0000272	ASTMX13541, ASTMX04407, ASTMX06714, ASTMX15391, ASTMX13685, ASTMX17539, ASTMX11464, ASTMX21154, ASTMX09631, ASTMX05863, ASTMX15333	YEAST02076, YEAST01066
OG0000278	ASTMX06005	YEAST03847
OG0000278	ASTMX18193	YEAST03806
OG0000278	ASTMX01574	YEAST04060
OG0000278	ASTMX16975, ASTMX10057	YEAST01107
OG0000284	ASTMX22711, ASTMX02036, ASTMX20925, ASTMX22871, ASTMX20924, ASTMX11406, ASTMX17126, ASTMX20926, ASTMX00328, ASTMX15433	YEAST05621
OG0000289	ASTMX12627, ASTMX20455, ASTMX02890, ASTMX10329, ASTMX21654, ASTMX05955, ASTMX18073, ASTMX11422, ASTMX16415	YEAST00645
OG0000305	ASTMX12592, ASTMX21234, ASTMX21268, ASTMX04324, ASTMX20856, ASTMX15186, ASTMX15028, ASTMX21047, ASTMX05366, ASTMX05365	YEAST04899
OG0000308	ASTMX20341, ASTMX17147, ASTMX10685, ASTMX02323, ASTMX17926, ASTMX00819, ASTMX09110	YEAST02548
OG0000310	ASTMX00126	YEAST02635
OG0000312	ASTMX14300, ASTMX18372, ASTMX17975, ASTMX04117, ASTMX04116, ASTMX07002, ASTMX19559, ASTMX13976	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	ASTMX20598, ASTMX13321, ASTMX07858, ASTMX04915, ASTMX16687, ASTMX11511	YEAST05106
OG0000316	ASTMX02741, ASTMX22462, ASTMX08202, ASTMX07921, ASTMX11016	YEAST01673
OG0000317	ASTMX11209, ASTMX08148, ASTMX03815, ASTMX00824, ASTMX13428, ASTMX01336, ASTMX00862, ASTMX07441, ASTMX09832	YEAST01356
OG0000321	ASTMX18074, ASTMX03167, ASTMX05895, ASTMX14845, ASTMX18898, ASTMX00098, ASTMX08418, ASTMX18899, ASTMX00099, ASTMX08419	YEAST03264
OG0000323	ASTMX22681, ASTMX22354, ASTMX00314, ASTMX09179, ASTMX02635, ASTMX13255, ASTMX10841	YEAST02249
OG0000326	ASTMX00747, ASTMX05282, ASTMX15670, ASTMX15158, ASTMX20792	YEAST06268, YEAST05286
OG0000326	ASTMX00749	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	ASTMX06414, ASTMX05544, ASTMX06421, ASTMX13482, ASTMX13483, ASTMX13484, ASTMX06420, ASTMX06415	YEAST01354
OG0000334	ASTMX22703, ASTMX21795, ASTMX06979, ASTMX13611, ASTMX22716, ASTMX22027, ASTMX21357, ASTMX22598	YEAST05626
OG0000338	ASTMX13042, ASTMX20131, ASTMX05102, ASTMX05103, ASTMX03140	YEAST02967
OG0000338	ASTMX09866, ASTMX01891	YEAST04211
OG0000343	ASTMX10298, ASTMX08048, ASTMX09330, ASTMX07009, ASTMX11872, ASTMX14973	YEAST03024, YEAST02736
OG0000345	ASTMX17770, ASTMX16023, ASTMX16273, ASTMX07982, ASTMX01509	YEAST01884
OG0000352	ASTMX05896, ASTMX03995, ASTMX17359, ASTMX13140, ASTMX01195, ASTMX07258, ASTMX13141	YEAST04069
OG0000357	ASTMX17598, ASTMX10965, ASTMX09989, ASTMX05067, ASTMX15356, ASTMX15888, ASTMX01105, ASTMX14562, ASTMX04757	YEAST01925
OG0000359	ASTMX07087, ASTMX13220, ASTMX09819, ASTMX07326, ASTMX01180	YEAST02489
OG0000363	ASTMX05820, ASTMX15773, ASTMX01558, ASTMX08726, ASTMX19424	YEAST04081, YEAST05870
OG0000365	ASTMX14935, ASTMX12525, ASTMX16950, ASTMX06169, ASTMX07405, ASTMX03199, ASTMX04165	YEAST05831
OG0000367	ASTMX18601, ASTMX09449, ASTMX02026, ASTMX13956, ASTMX04028, ASTMX06700, ASTMX14123, ASTMX14122, ASTMX18667	YEAST02141, YEAST03746, YEAST03210
OG0000372	ASTMX00698, ASTMX11491, ASTMX06694, ASTMX07580, ASTMX13013	YEAST05988
OG0000373	ASTMX13546, ASTMX07311, ASTMX17503, ASTMX11338, ASTMX01301, ASTMX01605	YEAST02023
OG0000385	ASTMX12707, ASTMX02895, ASTMX01809, ASTMX18429, ASTMX18427, ASTMX18428	YEAST03496
OG0000393	ASTMX19684, ASTMX19683, ASTMX17767	YEAST04072, YEAST04071
OG0000393	ASTMX20759	YEAST01302
OG0000397	ASTMX08239, ASTMX05577, ASTMX13966, ASTMX12675, ASTMX19668, ASTMX18504	YEAST05080
OG0000399	ASTMX07149, ASTMX09464, ASTMX15648, ASTMX13680, ASTMX19388, ASTMX07577, ASTMX13014, ASTMX14554, ASTMX05126, ASTMX19706	YEAST02160
OG0000400	ASTMX08052, ASTMX05565, ASTMX15479	YEAST05911
OG0000402	ASTMX08873, ASTMX08328, ASTMX15651, ASTMX21467, ASTMX17950, ASTMX07646, ASTMX19109, ASTMX00692, ASTMX17284, ASTMX02556	YEAST01657, YEAST01929
OG0000405	ASTMX06845, ASTMX10883, ASTMX04895, ASTMX21258, ASTMX08631, ASTMX07907	YEAST06055, YEAST00411
OG0000412	ASTMX13390, ASTMX06615, ASTMX11203, ASTMX12505	YEAST04469
OG0000413	ASTMX22225, ASTMX13671, ASTMX19651, ASTMX16482, ASTMX04390	YEAST04905, YEAST05340
OG0000413	ASTMX16688, ASTMX04912, ASTMX09192, ASTMX19930	YEAST02838
OG0000419	ASTMX19880, ASTMX07275, ASTMX17113, ASTMX14421, ASTMX01798, ASTMX13831, ASTMX01797	YEAST05989
OG0000420	ASTMX03701, ASTMX11233, ASTMX04743	YEAST03886
OG0000424	ASTMX07663	YEAST03563
OG0000426	ASTMX14958	YEAST03440
OG0000427	ASTMX06287, ASTMX09008, ASTMX05255, ASTMX14566, ASTMX04360, ASTMX10338, ASTMX00106, ASTMX00224	YEAST02655, YEAST02439
OG0000429	ASTMX07836	YEAST02285
OG0000431	ASTMX19915, ASTMX11097, ASTMX09197, ASTMX22566, ASTMX06516, ASTMX00145, ASTMX09571	YEAST04014
OG0000433	ASTMX01496, ASTMX04993, ASTMX10245, ASTMX08139, ASTMX12987	YEAST06177, YEAST00117
OG0000437	ASTMX13003, ASTMX13002	YEAST03074, YEAST02073
OG0000442	ASTMX11711, ASTMX07283, ASTMX12980, ASTMX06201, ASTMX00907, ASTMX14474, ASTMX03715, ASTMX07828, ASTMX20141	YEAST05012
OG0000444	ASTMX14380, ASTMX00703, ASTMX21179, ASTMX10912, ASTMX16562	YEAST01115, YEAST04019
OG0000445	ASTMX09933	YEAST03068
OG0000450	ASTMX07538, ASTMX08134, ASTMX11116, ASTMX11115, ASTMX01427, ASTMX10964, ASTMX17597, ASTMX18833, ASTMX18053, ASTMX11721, ASTMX11722	YEAST04709, YEAST05909
OG0000461	ASTMX09634, ASTMX19013	YEAST00120
OG0000467	ASTMX19597, ASTMX15795, ASTMX10740, ASTMX09415, ASTMX01966, ASTMX05515, ASTMX02018	YEAST03162
OG0000468	ASTMX16969, ASTMX16968, ASTMX16966, ASTMX16964, ASTMX16965, ASTMX16967, ASTMX08249, ASTMX07575	YEAST04372
OG0000469	ASTMX17554, ASTMX08379, ASTMX20035, ASTMX11781, ASTMX01028, ASTMX09278, ASTMX13963, ASTMX16633, ASTMX02217, ASTMX04047	YEAST02179, YEAST05440
OG0000469	ASTMX15740, ASTMX02909	YEAST00863
OG0000474	ASTMX09410, ASTMX04778, ASTMX21427, ASTMX22551, ASTMX19649, ASTMX03307, ASTMX04489, ASTMX17013, ASTMX16239	YEAST02384
OG0000476	ASTMX15748, ASTMX15079	YEAST03038
OG0000479	ASTMX07487, ASTMX08702, ASTMX01240, ASTMX04831, ASTMX08818, ASTMX21850, ASTMX17585, ASTMX15198, ASTMX05901	YEAST04139
OG0000480	ASTMX05218, ASTMX07171, ASTMX07170	YEAST05750
OG0000481	ASTMX04468	YEAST01040
OG0000481	ASTMX15759	YEAST00916
OG0000481	ASTMX21277, ASTMX10551, ASTMX10155	YEAST00827, YEAST00774
OG0000484	ASTMX20535, ASTMX06464, ASTMX05493, ASTMX21963, ASTMX03189, ASTMX02359, ASTMX05957	YEAST05824
OG0000486	ASTMX13378, ASTMX03758	YEAST03122, YEAST04270
OG0000487	ASTMX08062, ASTMX13666, ASTMX16551	YEAST04968
OG0000487	ASTMX07842, ASTMX20342	YEAST02728
OG0000488	ASTMX08717, ASTMX03433, ASTMX00689, ASTMX04604, ASTMX15969	YEAST01414
OG0000490	ASTMX19146, ASTMX08274, ASTMX14197, ASTMX19145, ASTMX08725, ASTMX15774, ASTMX08972, ASTMX03317	YEAST04297, YEAST00894
OG0000505	ASTMX04944, ASTMX15734, ASTMX05133, ASTMX18350	YEAST03067
OG0000508	ASTMX01457, ASTMX09874, ASTMX07533, ASTMX21261, ASTMX15755, ASTMX12540, ASTMX13811	YEAST04626
OG0000510	ASTMX10189, ASTMX20520, ASTMX12755, ASTMX12852, ASTMX10966, ASTMX16608	YEAST04569, YEAST05730
OG0000515	ASTMX16147	YEAST04784, YEAST05876
OG0000519	ASTMX13209, ASTMX05997	YEAST04594, YEAST03616
OG0000520	ASTMX09994, ASTMX18836, ASTMX07327, ASTMX19989, ASTMX14233, ASTMX09883	YEAST02979
OG0000523	ASTMX14503, ASTMX14292, ASTMX12401	YEAST01952, YEAST05838, YEAST06082
OG0000529	ASTMX12434, ASTMX21144, ASTMX18927, ASTMX11508, ASTMX07444, ASTMX17776, ASTMX00725	YEAST05790, YEAST00048
OG0000534	ASTMX08654, ASTMX15015, ASTMX16887, ASTMX17809, ASTMX14095, ASTMX16886	YEAST04932
OG0000538	ASTMX06663, ASTMX01046, ASTMX13231, ASTMX04495, ASTMX12645, ASTMX21007	YEAST00499
OG0000552	ASTMX21676, ASTMX01181, ASTMX00313	YEAST05717
OG0000561	ASTMX19650, ASTMX12281, ASTMX09747, ASTMX04726	YEAST06202, YEAST00331
OG0000562	ASTMX02939, ASTMX18239, ASTMX07420	YEAST00314
OG0000563	ASTMX12226, ASTMX05877, ASTMX13470	YEAST01406
OG0000566	ASTMX21688, ASTMX02449, ASTMX22106, ASTMX06097, ASTMX02203, ASTMX02202, ASTMX09638	YEAST05789, YEAST00049
OG0000573	ASTMX14748, ASTMX06784, ASTMX11352, ASTMX15555, ASTMX04860, ASTMX18772, ASTMX02110, ASTMX02201	YEAST05675
OG0000576	ASTMX00576, ASTMX05718, ASTMX14775, ASTMX02752, ASTMX15841, ASTMX00788	YEAST00470, YEAST00193
OG0000578	ASTMX18006, ASTMX10470, ASTMX08286, ASTMX01576, ASTMX10827, ASTMX04585, ASTMX13822, ASTMX06067	YEAST01208, YEAST00759
OG0000579	ASTMX19442, ASTMX10867, ASTMX05568, ASTMX19217, ASTMX02063, ASTMX06365	YEAST02484
OG0000582	ASTMX11411, ASTMX20610, ASTMX13349, ASTMX13077, ASTMX01858, ASTMX10152	YEAST03615
OG0000587	ASTMX17633, ASTMX15674, ASTMX05654, ASTMX18684, ASTMX02880	YEAST04063
OG0000587	ASTMX13819	YEAST03372
OG0000588	ASTMX14157, ASTMX18468, ASTMX06494, ASTMX10386, ASTMX19382, ASTMX03016	YEAST05197
OG0000590	ASTMX12992, ASTMX20440, ASTMX15142, ASTMX10181, ASTMX04496, ASTMX11935, ASTMX00513	YEAST05110, YEAST05552, YEAST03727
OG0000592	ASTMX15625, ASTMX01208, ASTMX00581, ASTMX20394, ASTMX11355	YEAST00388
OG0000597	ASTMX09658, ASTMX18806, ASTMX12198, ASTMX07313, ASTMX15757, ASTMX00247, ASTMX15148, ASTMX16916	YEAST04330
OG0000609	ASTMX09487, ASTMX19499, ASTMX00147, ASTMX19500, ASTMX13250, ASTMX05358	YEAST05180
OG0000612	ASTMX10076, ASTMX09692, ASTMX18860, ASTMX09749	YEAST02370
OG0000612	ASTMX15804	YEAST03629
OG0000613	ASTMX01217, ASTMX05307, ASTMX07479, ASTMX16319, ASTMX03360	YEAST01072
OG0000623	ASTMX07600	YEAST02411
OG0000623	ASTMX07831, ASTMX20139, ASTMX15503	YEAST05090
OG0000627	ASTMX21721, ASTMX00646, ASTMX01724, ASTMX02960, ASTMX07039, ASTMX06195	YEAST02116, YEAST03957
OG0000639	ASTMX07088, ASTMX03393, ASTMX02657, ASTMX18519, ASTMX07469, ASTMX21171	YEAST02015
OG0000642	ASTMX01930, ASTMX01929, ASTMX17309, ASTMX04214, ASTMX12313, ASTMX10591	YEAST00618
OG0000645	ASTMX12833, ASTMX02606	YEAST05140
OG0000645	ASTMX18567, ASTMX05124	YEAST04743
OG0000647	ASTMX17066, ASTMX19826, ASTMX06640, ASTMX12729, ASTMX12730	YEAST04534
OG0000648	ASTMX22428, ASTMX02643, ASTMX15128, ASTMX02551	YEAST04178, YEAST05641
OG0000657	ASTMX19394, ASTMX19395, ASTMX12483, ASTMX19401	YEAST03846
OG0000660	ASTMX00650, ASTMX17867, ASTMX22390, ASTMX13764, ASTMX14506, ASTMX05874, ASTMX20321	YEAST05150, YEAST01587
OG0000662	ASTMX17885, ASTMX16404, ASTMX12633, ASTMX19890, ASTMX07727	YEAST05937
OG0000663	ASTMX00870, ASTMX22176	YEAST02675, YEAST03294
OG0000672	ASTMX06515, ASTMX05666	YEAST03771
OG0000672	ASTMX04882	YEAST00984
OG0000676	ASTMX00864, ASTMX18277	YEAST01503
OG0000676	ASTMX08754, ASTMX04107, ASTMX12053, ASTMX05384, ASTMX03141	YEAST02962
OG0000683	ASTMX00004, ASTMX04192, ASTMX02366, ASTMX20098, ASTMX14160	YEAST03152, YEAST03537, YEAST05938
OG0000690	ASTMX00910, ASTMX12919	YEAST04874
OG0000690	ASTMX02690	YEAST02296
OG0000692	ASTMX05795	YEAST01969
OG0000694	ASTMX03278, ASTMX14068, ASTMX09753, ASTMX09044	YEAST05978
OG0000699	ASTMX12167, ASTMX03451, ASTMX16931, ASTMX12166	YEAST05706
OG0000701	ASTMX20666, ASTMX10954, ASTMX11996, ASTMX15941	YEAST02239, YEAST02223
OG0000703	ASTMX02735, ASTMX03772, ASTMX19327	YEAST05314
OG0000708	ASTMX20485, ASTMX07401, ASTMX01986, ASTMX04018	YEAST05997
OG0000709	ASTMX03927, ASTMX01587, ASTMX01677, ASTMX01678, ASTMX12944, ASTMX04215	YEAST00057
OG0000724	ASTMX14147, ASTMX14520, ASTMX08940, ASTMX16541	YEAST02013
OG0000732	ASTMX04110, ASTMX08757, ASTMX08756, ASTMX19433, ASTMX11592, ASTMX05482	YEAST04978
OG0000733	ASTMX13523, ASTMX10818, ASTMX05629, ASTMX01287, ASTMX12275, ASTMX15113, ASTMX04231	YEAST05474
OG0000735	ASTMX18670, ASTMX15914, ASTMX01829, ASTMX03219	YEAST05945
OG0000737	ASTMX07624, ASTMX11985	YEAST05188
OG0000744	ASTMX02577, ASTMX08430, ASTMX13118, ASTMX02655, ASTMX15516	YEAST05951
OG0000745	ASTMX10595	YEAST00539, YEAST02786, YEAST05296, YEAST03097, YEAST02781, YEAST03102
OG0000752	ASTMX12098, ASTMX06480, ASTMX04128	YEAST01432, YEAST04483
OG0000753	ASTMX22178, ASTMX21967, ASTMX20031, ASTMX02344, ASTMX11178	YEAST01034, YEAST02037
OG0000757	ASTMX11382, ASTMX05406, ASTMX20344, ASTMX17086, ASTMX05445	YEAST01489
OG0000758	ASTMX19954, ASTMX19547, ASTMX16359, ASTMX11953, ASTMX19955, ASTMX17536, ASTMX07595	YEAST01504
OG0000759	ASTMX14677, ASTMX13249, ASTMX18116, ASTMX06445, ASTMX15465, ASTMX13612, ASTMX13613	YEAST02878, YEAST05681
