Orthogroup	ASTMX	HELIO_ok
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	HELIO_06418
OG0000007	ASTMX14980	HELIO_01296
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	HELIO_10106
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	HELIO_00643
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	HELIO_00352
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	HELIO_11362
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	HELIO_04873
OG0000007	ASTMX18062, ASTMX21262	HELIO_03703
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	HELIO_07978
OG0000007	ASTMX04966, ASTMX11650	HELIO_03118
OG0000007	ASTMX18779, ASTMX07711	HELIO_07991
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	HELIO_04275
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	HELIO_11721
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	HELIO_07073
OG0000010	ASTMX11060	HELIO_09797
OG0000011	ASTMX07900	HELIO_08950
OG0000011	ASTMX20794	HELIO_09981, HELIO_04800
OG0000011	ASTMX21233	HELIO_01241
OG0000011	ASTMX01926	HELIO_00959
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	HELIO_05340
OG0000011	ASTMX22970	HELIO_04969
OG0000011	ASTMX23073, ASTMX20022, ASTMX23051	HELIO_07608
OG0000012	ASTMX22063, ASTMX16492	HELIO_04072, HELIO_05750
OG0000012	ASTMX06265	HELIO_06831
OG0000014	ASTMX12908, ASTMX11632	HELIO_12068
OG0000014	ASTMX01423, ASTMX16397	HELIO_10724
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	HELIO_10798
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	ASTMX09206	HELIO_09736
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	HELIO_05456
OG0000016	ASTMX00540	HELIO_09779
OG0000016	ASTMX02874	HELIO_04647
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000018	ASTMX23058	HELIO_06652
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	HELIO_05389
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	HELIO_11234
OG0000020	ASTMX12285	HELIO_01087
OG0000020	ASTMX15062	HELIO_03892
OG0000020	ASTMX14060	HELIO_08119
OG0000020	ASTMX00490, ASTMX12696	HELIO_10764
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	HELIO_10811
OG0000020	ASTMX17320	HELIO_12285
OG0000020	ASTMX04750, ASTMX21042	HELIO_05828
OG0000020	ASTMX05243	HELIO_10575
OG0000020	ASTMX04710	HELIO_05888
OG0000020	ASTMX07754	HELIO_08365
OG0000020	ASTMX13875	HELIO_01918
OG0000021	ASTMX04046, ASTMX15305	HELIO_02163
OG0000021	ASTMX09645	HELIO_09128
OG0000021	ASTMX21461, ASTMX05545	HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000021	ASTMX13864	HELIO_02648, HELIO_08020, HELIO_10557, HELIO_04069
OG0000023	ASTMX18896	HELIO_07781
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	HELIO_07600, HELIO_09870
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	HELIO_10426, HELIO_03946
OG0000024	ASTMX21974	HELIO_07378, HELIO_06208, HELIO_06845
OG0000026	ASTMX06810	HELIO_04505
OG0000028	ASTMX18482, ASTMX18778	HELIO_10800
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	HELIO_06306
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	HELIO_10546, HELIO_00115
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	HELIO_11942
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	HELIO_04525, HELIO_09505
OG0000030	ASTMX02378, ASTMX18821	HELIO_06719
OG0000031	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	HELIO_00637
OG0000031	ASTMX08659, ASTMX04771	HELIO_00475
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	HELIO_11237
OG0000031	ASTMX12572	HELIO_10166
OG0000031	ASTMX06525	HELIO_00951
OG0000031	ASTMX09693, ASTMX17541	HELIO_11573
OG0000031	ASTMX03912, ASTMX00105	HELIO_00638
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	HELIO_00007
OG0000031	ASTMX00107, ASTMX04176	HELIO_08452
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	HELIO_02162
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	ASTMX06705	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000034	ASTMX03519	HELIO_03040
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	HELIO_11045
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	HELIO_10910
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	HELIO_05981
OG0000034	ASTMX12428, ASTMX02190	HELIO_12487
OG0000034	ASTMX01548	HELIO_11629
OG0000035	ASTMX17732	HELIO_04621
OG0000035	ASTMX22713, ASTMX21245	HELIO_12501
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	HELIO_03534
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	HELIO_07811, HELIO_06366
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	HELIO_00732, HELIO_11539
OG0000035	ASTMX15321, ASTMX20966	HELIO_04984
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	ASTMX18312, ASTMX10284	HELIO_07711
OG0000036	ASTMX01338, ASTMX03570	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	HELIO_01421
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	HELIO_01377
OG0000037	ASTMX03275	HELIO_04770
OG0000039	ASTMX16971	HELIO_01180
OG0000039	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593	HELIO_00133
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000043	ASTMX09533	HELIO_03541
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	HELIO_05461
OG0000044	ASTMX06176	HELIO_08837
OG0000045	ASTMX16178	HELIO_01585
OG0000046	ASTMX22281	HELIO_08475
OG0000048	ASTMX04189	HELIO_10223
OG0000048	ASTMX13714	HELIO_03643
OG0000048	ASTMX03384	HELIO_05568
OG0000048	ASTMX15600	HELIO_11655
OG0000048	ASTMX04570	HELIO_08708
OG0000048	ASTMX00590	HELIO_05605
OG0000050	ASTMX16561	HELIO_04635, HELIO_04600, HELIO_04507, HELIO_05305, HELIO_03827, HELIO_11651, HELIO_10651, HELIO_07585, HELIO_00791, HELIO_04892, HELIO_11650
OG0000051	ASTMX02511	HELIO_11965, HELIO_05090, HELIO_05789
OG0000054	ASTMX04679	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	ASTMX17742	HELIO_02100
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	HELIO_05303
OG0000056	ASTMX18310	HELIO_03513
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	HELIO_05858
OG0000059	ASTMX20918	HELIO_08348
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	HELIO_07693, HELIO_05488
OG0000060	ASTMX04292, ASTMX07603	HELIO_02035
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	HELIO_12113
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	HELIO_11204
OG0000061	ASTMX18729, ASTMX15987	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	ASTMX01260	HELIO_06316
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	HELIO_10147
OG0000063	ASTMX11259, ASTMX01032	HELIO_12629
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	HELIO_04155
OG0000066	ASTMX01776	HELIO_11387
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000068	ASTMX03045, ASTMX22587, ASTMX22308	HELIO_09524, HELIO_08964
OG0000070	ASTMX17316, ASTMX02948	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	HELIO_09782
OG0000072	ASTMX11250, ASTMX11618	HELIO_10131
OG0000072	ASTMX02462	HELIO_05118, HELIO_10379
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619	HELIO_07437
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000074	ASTMX12476	HELIO_06403
OG0000074	ASTMX07079, ASTMX08304	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885
OG0000075	ASTMX13833, ASTMX15058	HELIO_02705
OG0000075	ASTMX17154	HELIO_12175
OG0000075	ASTMX04760	HELIO_01007
OG0000075	ASTMX10641, ASTMX00718	HELIO_07086
OG0000075	ASTMX16716, ASTMX04759	HELIO_01193
OG0000075	ASTMX12953, ASTMX02098	HELIO_09567
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	HELIO_05177
OG0000075	ASTMX07134	HELIO_00684
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	HELIO_05657
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	HELIO_00295
OG0000077	ASTMX16324, ASTMX07654, ASTMX03210	HELIO_12145
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	HELIO_04372, HELIO_06334, HELIO_11613, HELIO_04314, HELIO_00570
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	HELIO_01794, HELIO_05740
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	HELIO_00549
OG0000079	ASTMX02943	HELIO_01744, HELIO_07509
OG0000080	ASTMX22762	HELIO_10367, HELIO_08678, HELIO_04917
OG0000080	ASTMX21534	HELIO_06961
OG0000081	ASTMX02774	HELIO_00244
OG0000082	ASTMX06917	HELIO_12249
OG0000082	ASTMX17888	HELIO_08556
OG0000082	ASTMX17248	HELIO_06503, HELIO_04026, HELIO_02219
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	HELIO_02405
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	HELIO_05344
OG0000085	ASTMX08704, ASTMX02521	HELIO_11582
OG0000087	ASTMX06968	HELIO_02847, HELIO_02846
OG0000087	ASTMX08347	HELIO_10321
OG0000087	ASTMX06381	HELIO_06633
OG0000087	ASTMX19474	HELIO_01983
OG0000087	ASTMX17716	HELIO_06411, HELIO_07580
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	HELIO_00040, HELIO_06555, HELIO_11791, HELIO_06055, HELIO_05195, HELIO_00315, HELIO_08555, HELIO_06391, HELIO_08028
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	HELIO_06684, HELIO_10658
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	HELIO_12415
OG0000090	ASTMX12258, ASTMX10648	HELIO_03859, HELIO_12616
OG0000091	ASTMX03395	HELIO_06609
OG0000093	ASTMX01191, ASTMX07190, ASTMX03079, ASTMX18769	HELIO_04928, HELIO_06889
OG0000094	ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	HELIO_07015
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	HELIO_03878
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	HELIO_07466
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	HELIO_03681
OG0000096	ASTMX18278, ASTMX15892	HELIO_03321
OG0000096	ASTMX09859	HELIO_06897
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	HELIO_03947
OG0000096	ASTMX10423, ASTMX12959	HELIO_09595
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	HELIO_07543
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	HELIO_00467, HELIO_11416
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	HELIO_00318, HELIO_06995
OG0000101	ASTMX00206, ASTMX00424	HELIO_03317
OG0000101	ASTMX08413	HELIO_11521
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	ASTMX10991, ASTMX16111	HELIO_08564
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	HELIO_03996
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	HELIO_12543
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	HELIO_04946
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	HELIO_03807
OG0000104	ASTMX03728, ASTMX07045	HELIO_05172
OG0000104	ASTMX00149	HELIO_02282
OG0000104	ASTMX00709, ASTMX16073	HELIO_00006
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	HELIO_02364
OG0000106	ASTMX03154	HELIO_07474
OG0000106	ASTMX10570, ASTMX00462	HELIO_05614, HELIO_10877
OG0000110	ASTMX08508	HELIO_05242, HELIO_00041, HELIO_11542, HELIO_10665, HELIO_00526, HELIO_02476, HELIO_10466, HELIO_10465, HELIO_05234, HELIO_11191, HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000113	ASTMX19383, ASTMX05472	HELIO_06754
OG0000113	ASTMX07205	HELIO_04446, HELIO_08405
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	HELIO_10462, HELIO_00027, HELIO_06292
OG0000115	ASTMX01700, ASTMX08993, ASTMX16595	HELIO_10283, HELIO_10284
OG0000116	ASTMX01410	HELIO_08217, HELIO_10553
OG0000117	ASTMX10401	HELIO_02024
OG0000117	ASTMX14023	HELIO_01494, HELIO_11112, HELIO_11113
OG0000118	ASTMX10091, ASTMX22719	HELIO_04682, HELIO_09644
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	HELIO_09291
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	HELIO_06886, HELIO_09246, HELIO_05606, HELIO_03015
OG0000119	ASTMX00656, ASTMX18233	HELIO_08423, HELIO_01329
OG0000121	ASTMX16272, ASTMX04663, ASTMX01517	HELIO_11384
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	HELIO_09221
OG0000122	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	HELIO_00601, HELIO_11330
OG0000123	ASTMX19107, ASTMX20866, ASTMX07971, ASTMX04078	HELIO_08717
OG0000123	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212	HELIO_08884
OG0000123	ASTMX14814, ASTMX00304	HELIO_09001
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	HELIO_02264
OG0000124	ASTMX16401, ASTMX07748	HELIO_07531
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	HELIO_08965
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	HELIO_01505
OG0000125	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329	HELIO_11225
OG0000125	ASTMX19681, ASTMX13832	HELIO_03951
OG0000125	ASTMX00267	HELIO_08019
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	HELIO_05678
OG0000126	ASTMX09154	HELIO_07534
OG0000126	ASTMX06187, ASTMX17244	HELIO_02617
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	HELIO_12717
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	HELIO_00274
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	HELIO_04203
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	HELIO_00760
OG0000127	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260	HELIO_10652
OG0000127	ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860	HELIO_03723
OG0000128	ASTMX05854	HELIO_03924
OG0000128	ASTMX15563, ASTMX07961	HELIO_00789
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539	HELIO_05477
OG0000129	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614	HELIO_12045
OG0000130	ASTMX19336	HELIO_00229
OG0000131	ASTMX16327	HELIO_00530, HELIO_08397
OG0000132	ASTMX15628	HELIO_02084, HELIO_02083, HELIO_03711
OG0000132	ASTMX09702	HELIO_04353
OG0000137	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486	HELIO_10563
OG0000137	ASTMX08942, ASTMX01570, ASTMX22671	HELIO_05850
OG0000137	ASTMX10792, ASTMX08181	HELIO_01589, HELIO_12262
OG0000142	ASTMX22061	HELIO_07399
OG0000147	ASTMX03135, ASTMX08761, ASTMX04795	HELIO_12780
OG0000147	ASTMX01265, ASTMX04843	HELIO_07856
OG0000147	ASTMX02385	HELIO_02877
OG0000147	ASTMX08515	HELIO_07688
OG0000148	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929	HELIO_12241
OG0000148	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634	HELIO_01322
OG0000149	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364	HELIO_11224
OG0000149	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915	HELIO_09667, HELIO_05786, HELIO_08463, HELIO_10026
OG0000149	ASTMX19335	HELIO_08561
OG0000151	ASTMX22990, ASTMX18031, ASTMX21814, ASTMX15314, ASTMX19154, ASTMX20904, ASTMX08723, ASTMX20739, ASTMX18063	HELIO_02909
OG0000151	ASTMX22005, ASTMX16447, ASTMX16036, ASTMX08859, ASTMX05398, ASTMX21907	HELIO_01067
OG0000151	ASTMX21939, ASTMX10392, ASTMX08593, ASTMX17567	HELIO_11427
OG0000152	ASTMX11374, ASTMX21931	HELIO_05135
OG0000153	ASTMX11539, ASTMX11537	HELIO_06137, HELIO_03409, HELIO_08759
OG0000154	ASTMX17110, ASTMX11785	HELIO_11108
OG0000154	ASTMX08823	HELIO_00470
OG0000155	ASTMX08087, ASTMX14831, ASTMX13520	HELIO_02785
OG0000155	ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582	HELIO_06336
OG0000155	ASTMX12246, ASTMX04195	HELIO_10305
OG0000157	ASTMX15736, ASTMX02435, ASTMX11937	HELIO_02764
OG0000157	ASTMX10540	HELIO_10997
OG0000157	ASTMX10886	HELIO_02898
OG0000158	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735	HELIO_05890
OG0000159	ASTMX12753	HELIO_11077
OG0000159	ASTMX03645, ASTMX21390	HELIO_07755
OG0000159	ASTMX16138, ASTMX16710	HELIO_07071, HELIO_00285, HELIO_10509
OG0000160	ASTMX12091	HELIO_06133
OG0000160	ASTMX15798	HELIO_11870
OG0000160	ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060	HELIO_09094
OG0000163	ASTMX22159	HELIO_05553
OG0000163	ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414	HELIO_02290
OG0000163	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308	HELIO_07317
OG0000164	ASTMX09012, ASTMX09848, ASTMX19193, ASTMX08617, ASTMX21675, ASTMX02898	HELIO_04867
OG0000165	ASTMX11488, ASTMX04091, ASTMX11803, ASTMX15906, ASTMX01165, ASTMX10291, ASTMX01103, ASTMX16431, ASTMX06958, ASTMX01736, ASTMX21744, ASTMX19262, ASTMX02865, ASTMX12138, ASTMX08781, ASTMX06983, ASTMX14824, ASTMX21351, ASTMX04334, ASTMX09529	HELIO_01649
OG0000166	ASTMX17222, ASTMX15335, ASTMX15334, ASTMX17064, ASTMX12331	HELIO_11547
OG0000167	ASTMX06698, ASTMX15256, ASTMX16065, ASTMX10803, ASTMX11328, ASTMX15230, ASTMX12913, ASTMX04282, ASTMX11778, ASTMX05313, ASTMX17463, ASTMX14044	HELIO_07346
OG0000168	ASTMX22875, ASTMX19741, ASTMX00397	HELIO_11699
OG0000168	ASTMX02932, ASTMX22163, ASTMX22493, ASTMX15962, ASTMX06474, ASTMX02912, ASTMX16677, ASTMX20444	HELIO_07708
OG0000169	ASTMX02738, ASTMX09343, ASTMX15414, ASTMX15415, ASTMX22916, ASTMX23075, ASTMX05645	HELIO_04309, HELIO_11118, HELIO_04365, HELIO_12257
OG0000171	ASTMX13035, ASTMX04406	HELIO_09820
OG0000171	ASTMX01513, ASTMX18079, ASTMX09651	HELIO_01149
OG0000172	ASTMX05345, ASTMX05453, ASTMX00174, ASTMX12723, ASTMX12721, ASTMX12722, ASTMX05451	HELIO_09881
OG0000173	ASTMX06798, ASTMX16925, ASTMX20806, ASTMX11171, ASTMX06509, ASTMX18128, ASTMX05261, ASTMX05260, ASTMX18597, ASTMX12773, ASTMX03201, ASTMX16788, ASTMX16293, ASTMX09049, ASTMX07537, ASTMX04181, ASTMX05259, ASTMX00713, ASTMX01037, ASTMX05223, ASTMX10462, ASTMX03643, ASTMX09920	HELIO_09570, HELIO_09571
OG0000174	ASTMX14035	HELIO_09480, HELIO_04614, HELIO_10809
OG0000174	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671	HELIO_01069
OG0000175	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252	HELIO_11471
OG0000179	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451	HELIO_05015
OG0000179	ASTMX13630, ASTMX02170	HELIO_04929
OG0000179	ASTMX14866	HELIO_08122
OG0000180	ASTMX03181, ASTMX16660	HELIO_10517
OG0000180	ASTMX11798, ASTMX10163, ASTMX17205, ASTMX08229, ASTMX02239, ASTMX17206, ASTMX11819, ASTMX09327	HELIO_01389
OG0000181	ASTMX02628, ASTMX03065	HELIO_03744
OG0000181	ASTMX09488	HELIO_10771
OG0000181	ASTMX00770	HELIO_03461, HELIO_03460
OG0000183	ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109	HELIO_03106, HELIO_07785
OG0000183	ASTMX12358, ASTMX03484	HELIO_12279
OG0000183	ASTMX16504, ASTMX16505	HELIO_02987
