Orthogroup	ASTMX	ORYLA
OG0000031	ASTMX01055	ORYLA13928
OG0000031	ASTMX17701	ORYLA09882
OG0000031	ASTMX18426, ASTMX12571	ORYLA05598
OG0000031	ASTMX22712	ORYLA18563
OG0000031	ASTMX12572	ORYLA01770
OG0000031	ASTMX06525	ORYLA06561
OG0000031	ASTMX05128	ORYLA14932
OG0000031	ASTMX18163	ORYLA17720
OG0000031	ASTMX11402	ORYLA00795
OG0000031	ASTMX09693	ORYLA10394
OG0000031	ASTMX17541	ORYLA11971
OG0000031	ASTMX00710	ORYLA14237
OG0000031	ASTMX00969, ASTMX17640	ORYLA15433
OG0000031	ASTMX03912	ORYLA04591
OG0000031	ASTMX00105	ORYLA04917
OG0000031	ASTMX13865	ORYLA06754
OG0000031	ASTMX02854, ASTMX20534	ORYLA07156
OG0000031	ASTMX14725	ORYLA02513
OG0000031	ASTMX00107	ORYLA09501
OG0000031	ASTMX13001, ASTMX20334	ORYLA09459
OG0000031	ASTMX13774, ASTMX02637	ORYLA06390
OG0000031	ASTMX03166	ORYLA06240
OG0000032	ASTMX08687	ORYLA09076
OG0000032	ASTMX18764	ORYLA06417
OG0000032	ASTMX19317	ORYLA14771, ORYLA03482
OG0000032	ASTMX01990	ORYLA10827
OG0000032	ASTMX08768	ORYLA12826
OG0000032	ASTMX12211	ORYLA04475, ORYLA04474
OG0000032	ASTMX09018	ORYLA14976
OG0000032	ASTMX06705	ORYLA15502
OG0000034	ASTMX19482	ORYLA07927
OG0000034	ASTMX22636	ORYLA16241
OG0000034	ASTMX03521	ORYLA04579
OG0000034	ASTMX05967	ORYLA02286
OG0000034	ASTMX21201	ORYLA17781
OG0000034	ASTMX17020	ORYLA16358
OG0000034	ASTMX02547	ORYLA12476
OG0000034	ASTMX01081	ORYLA15138
OG0000034	ASTMX20715	ORYLA11195
OG0000034	ASTMX17446	ORYLA16147
OG0000034	ASTMX07364	ORYLA17140
OG0000034	ASTMX20522	ORYLA07963
OG0000034	ASTMX22336, ASTMX07448	ORYLA14023, ORYLA15996
OG0000034	ASTMX16123	ORYLA11192
OG0000034	ASTMX02622	ORYLA14993
OG0000034	ASTMX00372	ORYLA14558
OG0000034	ASTMX07013	ORYLA07312
OG0000034	ASTMX12428	ORYLA12339
OG0000034	ASTMX02190	ORYLA14860
OG0000034	ASTMX01548	ORYLA19697
OG0000034	ASTMX02136	ORYLA14655
OG0000035	ASTMX17732	ORYLA16101
OG0000035	ASTMX22713	ORYLA17474
OG0000035	ASTMX21245	ORYLA12588, ORYLA14952
OG0000035	ASTMX07147	ORYLA11104
OG0000035	ASTMX00613	ORYLA14870
OG0000035	ASTMX06338	ORYLA12119
OG0000035	ASTMX07340	ORYLA17191
OG0000035	ASTMX07227	ORYLA15336
OG0000035	ASTMX07114	ORYLA11216
OG0000035	ASTMX00989	ORYLA13992
OG0000035	ASTMX00242	ORYLA12754
OG0000035	ASTMX02614	ORYLA14991, ORYLA14992
OG0000035	ASTMX08545	ORYLA11268
OG0000035	ASTMX15322	ORYLA14782, ORYLA12073, ORYLA12074
OG0000035	ASTMX15321, ASTMX20966	ORYLA14783
OG0000036	ASTMX05584	ORYLA07477
OG0000036	ASTMX00843	ORYLA02184
OG0000036	ASTMX18592	ORYLA15153
OG0000036	ASTMX10059, ASTMX16974	ORYLA07495
OG0000036	ASTMX00596	ORYLA20280
OG0000036	ASTMX03566	ORYLA12724
OG0000036	ASTMX18312	ORYLA20440
OG0000036	ASTMX10284	ORYLA11184
OG0000036	ASTMX03570	ORYLA12571
OG0000037	ASTMX04826	ORYLA10680
OG0000037	ASTMX08066	ORYLA05584
OG0000037	ASTMX04828	ORYLA10681
OG0000037	ASTMX18303	ORYLA11814
OG0000037	ASTMX08083	ORYLA11609
OG0000037	ASTMX01399	ORYLA10251
OG0000037	ASTMX03952	ORYLA04338
OG0000037	ASTMX04639	ORYLA01058
OG0000037	ASTMX01500, ASTMX15266	ORYLA05151
OG0000037	ASTMX10464	ORYLA08136
OG0000037	ASTMX06313	ORYLA03090
OG0000037	ASTMX15913	ORYLA15954
OG0000037	ASTMX19727	ORYLA02209
OG0000037	ASTMX16533	ORYLA10771
OG0000037	ASTMX03275	ORYLA04725
OG0000038	ASTMX12687	ORYLA09756
OG0000038	ASTMX14059	ORYLA06128
OG0000038	ASTMX17623	ORYLA04511
OG0000038	ASTMX12685, ASTMX17002	ORYLA08393, ORYLA09754
OG0000039	ASTMX03851	ORYLA13584
OG0000039	ASTMX16971	ORYLA07496
OG0000039	ASTMX01965	ORYLA15984
OG0000039	ASTMX01011, ASTMX19591, ASTMX19593	ORYLA18454, ORYLA16125
OG0000039	ASTMX10108	ORYLA05812
OG0000039	ASTMX07819	ORYLA00801, ORYLA00802
OG0000040	ASTMX07215	ORYLA15343
OG0000040	ASTMX04964, ASTMX04965	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841
OG0000040	ASTMX19241, ASTMX19242	ORYLA18544, ORYLA18406
OG0000041	ASTMX07372, ASTMX15974	ORYLA07969
OG0000041	ASTMX00243, ASTMX02219	ORYLA14839
OG0000041	ASTMX15919	ORYLA15678, ORYLA15677
OG0000041	ASTMX19739	ORYLA16345
OG0000041	ASTMX18949	ORYLA07970
OG0000041	ASTMX00985	ORYLA13989
OG0000041	ASTMX20382	ORYLA15806
OG0000041	ASTMX00986	ORYLA13990
OG0000041	ASTMX20384	ORYLA15807
OG0000041	ASTMX19436	ORYLA14735
OG0000041	ASTMX00987	ORYLA15808
OG0000041	ASTMX18639	ORYLA19536
OG0000041	ASTMX00232	ORYLA12118
OG0000041	ASTMX00945, ASTMX01024	ORYLA13695
OG0000041	ASTMX08027, ASTMX12746	ORYLA09068
OG0000041	ASTMX04559	ORYLA11484
OG0000041	ASTMX04569	ORYLA11472
OG0000041	ASTMX22600	ORYLA05357
OG0000041	ASTMX18276	ORYLA19350
OG0000042	ASTMX00117	ORYLA12797, ORYLA10877, ORYLA10878
OG0000043	ASTMX12801	ORYLA04209
OG0000043	ASTMX09533	ORYLA03388
OG0000044	ASTMX03900	ORYLA04503
OG0000044	ASTMX14800	ORYLA10718
OG0000044	ASTMX17272	ORYLA17868
OG0000044	ASTMX12948	ORYLA05261
OG0000044	ASTMX08796	ORYLA01028
OG0000044	ASTMX20812	ORYLA01286
OG0000044	ASTMX11109	ORYLA09105, ORYLA12800
OG0000044	ASTMX07618	ORYLA05288
OG0000044	ASTMX17555	ORYLA05174
OG0000045	ASTMX14022	ORYLA09208, ORYLA09207
OG0000045	ASTMX15522, ASTMX03419	ORYLA02935
OG0000045	ASTMX10022, ASTMX03368	ORYLA02913
OG0000046	ASTMX22281	ORYLA00520
OG0000046	ASTMX12308	ORYLA07200, ORYLA07202, ORYLA07201
OG0000046	ASTMX11629	ORYLA01168
OG0000046	ASTMX06852	ORYLA06050
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229	ORYLA18815
OG0000046	ASTMX06773	ORYLA05911
OG0000048	ASTMX04189	ORYLA19472
OG0000048	ASTMX18058	ORYLA03737
OG0000048	ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416	ORYLA03687
OG0000048	ASTMX13714	ORYLA17217
OG0000048	ASTMX03384	ORYLA14101
OG0000048	ASTMX08678	ORYLA09010
OG0000048	ASTMX11739, ASTMX08677, ASTMX05741	ORYLA09283
OG0000048	ASTMX04556	ORYLA10119
OG0000048	ASTMX04258, ASTMX18409	ORYLA19631
OG0000048	ASTMX15600	ORYLA08002
OG0000048	ASTMX04570	ORYLA11420
OG0000048	ASTMX00590	ORYLA15054
OG0000049	ASTMX10248	ORYLA11559
OG0000049	ASTMX08138	ORYLA19044
OG0000049	ASTMX03713	ORYLA04067
OG0000049	ASTMX05857	ORYLA03584
OG0000049	ASTMX00928	ORYLA13704
OG0000049	ASTMX08370	ORYLA13828
OG0000049	ASTMX07196	ORYLA15018
OG0000049	ASTMX04011	ORYLA20256
OG0000049	ASTMX18609	ORYLA14320
OG0000049	ASTMX01014, ASTMX00951	ORYLA15992, ORYLA14028
OG0000049	ASTMX05170	ORYLA14561
OG0000049	ASTMX00786	ORYLA15871
OG0000051	ASTMX02511	ORYLA05117
OG0000053	ASTMX12784	ORYLA12857
OG0000054	ASTMX04679	ORYLA00519
OG0000054	ASTMX05759	ORYLA05953
OG0000055	ASTMX11170, ASTMX19413, ASTMX22616	ORYLA00098, ORYLA00083, ORYLA00100
OG0000056	ASTMX01590	ORYLA07324
OG0000056	ASTMX01617	ORYLA00315
OG0000056	ASTMX02364	ORYLA13076
OG0000056	ASTMX08903	ORYLA07014
OG0000056	ASTMX17902	ORYLA16605
OG0000056	ASTMX14177	ORYLA16604
OG0000056	ASTMX02363	ORYLA13077
OG0000056	ASTMX18310	ORYLA17860
OG0000057	ASTMX16761	ORYLA17686
OG0000057	ASTMX17228	ORYLA14639
OG0000057	ASTMX14491	ORYLA12170
OG0000057	ASTMX18685	ORYLA13554
OG0000057	ASTMX11838	ORYLA12219
