Orthogroup	ASTMX	DANRE
OG0000007	ASTMX14979	DANRE26277
OG0000007	ASTMX11120	DANRE17981
OG0000007	ASTMX02564	DANRE12992, DANRE12991
OG0000007	ASTMX18062	DANRE08320
OG0000007	ASTMX21262	DANRE33659
OG0000007	ASTMX11815	DANRE06830
OG0000007	ASTMX04848	DANRE11124, DANRE11125, DANRE11123
OG0000007	ASTMX08093	DANRE17691, DANRE17692
OG0000007	ASTMX06558	DANRE03760
OG0000007	ASTMX19375	DANRE05908
OG0000007	ASTMX04966	DANRE30028
OG0000007	ASTMX11650	DANRE03038, DANRE28801
OG0000007	ASTMX18779	DANRE30495
OG0000007	ASTMX07711	DANRE03657, DANRE03658
OG0000007	ASTMX15846	DANRE02453
OG0000007	ASTMX10097	DANRE09326, DANRE09325
OG0000007	ASTMX10986	DANRE11519
OG0000007	ASTMX01681	DANRE02905
OG0000007	ASTMX08450	DANRE04393
OG0000008	ASTMX21956	DANRE27059
OG0000008	ASTMX05481	DANRE36385, DANRE36384, DANRE36386, DANRE36383
OG0000008	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136	DANRE17182, DANRE17185, DANRE17179, DANRE17183, DANRE17180, DANRE17181, DANRE17184, DANRE17186, DANRE17168, DANRE17176, DANRE17177, DANRE17187, DANRE17191, DANRE17174, DANRE17196, DANRE17190, DANRE17175, DANRE17194, DANRE17193, DANRE17195, DANRE17189, DANRE17188
OG0000008	ASTMX13345, ASTMX11364	DANRE34310
OG0000008	ASTMX13129	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452
OG0000008	ASTMX09448	DANRE36653
OG0000008	ASTMX03057	DANRE31436
OG0000008	ASTMX05709	DANRE41005, DANRE41006
OG0000008	ASTMX11795	DANRE06800
OG0000008	ASTMX08222	DANRE00802
OG0000008	ASTMX03297, ASTMX08955	DANRE18586
OG0000010	ASTMX18922	DANRE21116, DANRE21115
OG0000010	ASTMX18921	DANRE21124, DANRE21123, DANRE21122, DANRE21119, DANRE21117, DANRE21118, DANRE21127, DANRE21136
OG0000010	ASTMX10678	DANRE33958, DANRE33959
OG0000010	ASTMX08865	DANRE40235, DANRE40234
OG0000010	ASTMX08864	DANRE40232, DANRE40233
OG0000010	ASTMX01945	DANRE21135
OG0000010	ASTMX00210	DANRE38562
OG0000010	ASTMX00597, ASTMX00598	DANRE38564, DANRE38563
OG0000010	ASTMX19981	DANRE08709, DANRE08676, DANRE08677, DANRE08708
OG0000010	ASTMX21265	DANRE28016, DANRE28015, DANRE28014
OG0000010	ASTMX18619	DANRE21309, DANRE21308
OG0000010	ASTMX12532	DANRE34456
OG0000010	ASTMX19555	DANRE07824
OG0000010	ASTMX07329	DANRE29658
OG0000010	ASTMX04471	DANRE03165
OG0000010	ASTMX06049	DANRE25582, DANRE36540, DANRE36542, DANRE36541
OG0000010	ASTMX05524	DANRE01777
OG0000010	ASTMX06728, ASTMX17688, ASTMX18214	DANRE09716, DANRE09718, DANRE09717
OG0000010	ASTMX16219, ASTMX16220	DANRE09779, DANRE09778
OG0000010	ASTMX05525	DANRE01775, DANRE01774, DANRE01776
OG0000010	ASTMX21918	DANRE23481
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522	DANRE22618, DANRE32639, DANRE19908
OG0000011	ASTMX22822	DANRE03442
OG0000012	ASTMX22063	DANRE38177, DANRE38176
OG0000012	ASTMX06265	DANRE12655, DANRE12656, DANRE12659
OG0000013	ASTMX14510	DANRE02564, DANRE02565, DANRE02567, DANRE02566, DANRE02563, DANRE02568
OG0000013	ASTMX15685	DANRE41664, DANRE41663, DANRE41661, DANRE41662, DANRE41659, DANRE41658, DANRE41657
OG0000013	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557	DANRE35359, DANRE35361, DANRE35360, DANRE35367, DANRE35365, DANRE35366, DANRE35364
OG0000013	ASTMX19252	DANRE33461, DANRE33468, DANRE33462, DANRE33466, DANRE33467, DANRE33465, DANRE33464, DANRE33463
OG0000013	ASTMX15992	DANRE24713
OG0000013	ASTMX02064	DANRE39935, DANRE39936
OG0000013	ASTMX06990	DANRE00714, DANRE37989
OG0000013	ASTMX20933	DANRE12210
OG0000013	ASTMX21137	DANRE15499, DANRE15493, DANRE15492, DANRE15491, DANRE15498, DANRE15497, DANRE15495, DANRE15494
OG0000013	ASTMX05203	DANRE25903, DANRE25904, DANRE25905
OG0000013	ASTMX03702	DANRE00838
OG0000014	ASTMX02678	DANRE37898
OG0000014	ASTMX08608	DANRE35206
OG0000014	ASTMX07233	DANRE12526, DANRE12528, DANRE12527
OG0000014	ASTMX17398	DANRE40509
OG0000014	ASTMX00995, ASTMX00994	DANRE36844
OG0000014	ASTMX13292	DANRE43146
OG0000014	ASTMX10769	DANRE22544
OG0000014	ASTMX07733	DANRE03629
OG0000014	ASTMX16405	DANRE29858
OG0000014	ASTMX12634	DANRE04027
OG0000014	ASTMX17340	DANRE30100
OG0000014	ASTMX01557	DANRE03816
OG0000014	ASTMX03213	DANRE11299
OG0000014	ASTMX07656	DANRE03520
OG0000014	ASTMX01801	DANRE40391
OG0000014	ASTMX03251	DANRE11197
OG0000014	ASTMX15832	DANRE03296
OG0000014	ASTMX12908	DANRE17251
OG0000014	ASTMX11632	DANRE43403
OG0000014	ASTMX01423	DANRE03675, DANRE03674, DANRE43177
OG0000014	ASTMX16397	DANRE29871
OG0000015	ASTMX21958	DANRE15829
OG0000015	ASTMX03764	DANRE07077
OG0000015	ASTMX01476	DANRE03906
OG0000015	ASTMX13504	DANRE05961
OG0000015	ASTMX02112	DANRE41277, DANRE41276
OG0000015	ASTMX15417, ASTMX08007	DANRE06610
OG0000015	ASTMX06039	DANRE36519, DANRE36518
OG0000015	ASTMX15203	DANRE20233, DANRE20234
OG0000015	ASTMX18097	DANRE04836, DANRE04835
OG0000015	ASTMX09926, ASTMX15220	DANRE11101, DANRE11100
OG0000015	ASTMX09927	DANRE17304, DANRE17305
OG0000015	ASTMX01377	DANRE12114
OG0000015	ASTMX13993	DANRE01122
OG0000015	ASTMX07947	DANRE24409
OG0000015	ASTMX18335	DANRE20436, DANRE20437, DANRE20438
OG0000015	ASTMX18098	DANRE04834, DANRE04833
OG0000015	ASTMX06037	DANRE36515
OG0000015	ASTMX18099, ASTMX04658	DANRE04832, DANRE04831
OG0000015	ASTMX18334	DANRE20439, DANRE20441, DANRE20440
OG0000015	ASTMX04125	DANRE20520
OG0000015	ASTMX06038	DANRE36517, DANRE36516
OG0000015	ASTMX08008	DANRE06608, DANRE06609
OG0000015	ASTMX04657	DANRE06176
OG0000015	ASTMX18333	DANRE20442
OG0000015	ASTMX00011	DANRE42903, DANRE42902
OG0000015	ASTMX10695	DANRE33766
OG0000015	ASTMX18288	DANRE16271
OG0000015	ASTMX04727	DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	ASTMX03544	DANRE38616
OG0000016	ASTMX11482	DANRE06628, DANRE06627
OG0000016	ASTMX09207	DANRE13366
OG0000016	ASTMX17817	DANRE29900
OG0000016	ASTMX17818	DANRE29903, DANRE29904
OG0000016	ASTMX05407	DANRE35774
OG0000016	ASTMX11675	DANRE03065, DANRE03064
OG0000016	ASTMX17393	DANRE04448
OG0000016	ASTMX00540	DANRE35611
OG0000016	ASTMX02874	DANRE02012
OG0000016	ASTMX17395	DANRE13447
OG0000016	ASTMX13275	DANRE31212, DANRE31213, DANRE31211
OG0000016	ASTMX19540	DANRE25754
OG0000016	ASTMX20114	DANRE13449, DANRE13448
OG0000016	ASTMX00361	DANRE25751, DANRE25753
OG0000018	ASTMX23058	DANRE04209, DANRE28234, DANRE04603, DANRE29058, DANRE05534, DANRE17601, DANRE09239, DANRE24202
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170	DANRE13954
OG0000018	ASTMX13804	DANRE13946
OG0000019	ASTMX14084	DANRE29946
OG0000019	ASTMX03976, ASTMX18923	DANRE21114
OG0000019	ASTMX19662	DANRE24632, DANRE24631
OG0000019	ASTMX20251, ASTMX21077, ASTMX14834	DANRE21112
OG0000019	ASTMX14832	DANRE29948
OG0000019	ASTMX21241, ASTMX14833	DANRE29945, DANRE29947
OG0000019	ASTMX15190	DANRE41682, DANRE41683
OG0000019	ASTMX17156	DANRE35868, DANRE35867, DANRE35869
OG0000020	ASTMX12654	DANRE03458
OG0000020	ASTMX04834	DANRE10827, DANRE10826, DANRE10743
OG0000020	ASTMX12285	DANRE10670
OG0000020	ASTMX14060	DANRE40536
OG0000020	ASTMX00875	DANRE14742
OG0000020	ASTMX06734	DANRE09733
OG0000020	ASTMX14107	DANRE18650
OG0000020	ASTMX08186	DANRE10748
OG0000020	ASTMX17613	DANRE23011
OG0000020	ASTMX12696	DANRE42755
OG0000020	ASTMX07958	DANRE24424, DANRE24423
OG0000020	ASTMX18318	DANRE27995
OG0000020	ASTMX16689	DANRE27624, DANRE27625
OG0000020	ASTMX16028	DANRE30414
OG0000020	ASTMX17320	DANRE27431, DANRE27432, DANRE27433
OG0000020	ASTMX04750	DANRE06741, DANRE06740
OG0000020	ASTMX21042	DANRE15747
OG0000020	ASTMX05243	DANRE22958, DANRE22959
OG0000020	ASTMX04710	DANRE06663, DANRE06664
OG0000020	ASTMX07754	DANRE18984
OG0000020	ASTMX13875	DANRE27379
OG0000021	ASTMX05285	DANRE01661
OG0000021	ASTMX16996	DANRE22424
OG0000021	ASTMX01998	DANRE31606, DANRE31605
OG0000021	ASTMX04046	DANRE39795, DANRE39796
OG0000021	ASTMX15305	DANRE22480
OG0000021	ASTMX00802, ASTMX04036	DANRE39722
OG0000021	ASTMX09468	DANRE36686
OG0000021	ASTMX09467	DANRE36683, DANRE36685
OG0000021	ASTMX09435	DANRE36633
OG0000021	ASTMX07052, ASTMX07051, ASTMX06325	DANRE13240, DANRE13243, DANRE13242, DANRE13246, DANRE13245, DANRE13241
OG0000021	ASTMX15788	DANRE24996
OG0000021	ASTMX05284	DANRE01663, DANRE01662
OG0000021	ASTMX00201	DANRE38577
OG0000021	ASTMX09085	DANRE08977, DANRE08978, DANRE08976
OG0000021	ASTMX02310	DANRE08348
OG0000021	ASTMX16342	DANRE33679
OG0000021	ASTMX09645	DANRE33712, DANRE33711, DANRE33342, DANRE33343
OG0000021	ASTMX21461	DANRE37717
OG0000021	ASTMX05545	DANRE02277
OG0000021	ASTMX13864	DANRE27401, DANRE27403, DANRE27400
OG0000021	ASTMX09336	DANRE20108
OG0000023	ASTMX07788	DANRE19492
OG0000023	ASTMX10048	DANRE27752
OG0000023	ASTMX07031	DANRE38057
OG0000023	ASTMX08985	DANRE39283
OG0000023	ASTMX18700	DANRE36925
OG0000023	ASTMX14127	DANRE26382, DANRE26381
OG0000023	ASTMX07336	DANRE29650, DANRE29649
OG0000023	ASTMX04478	DANRE03181
OG0000023	ASTMX03414	DANRE19476, DANRE19477
OG0000023	ASTMX11687	DANRE07548, DANRE07547
OG0000023	ASTMX14286	DANRE01757
OG0000023	ASTMX02981	DANRE01251
OG0000023	ASTMX04385	DANRE08271, DANRE08272
OG0000023	ASTMX04386	DANRE08270, DANRE08269
OG0000023	ASTMX11217	DANRE08566, DANRE08567
OG0000023	ASTMX00199	DANRE38580
OG0000023	ASTMX01795	DANRE40368
OG0000023	ASTMX02984, ASTMX02983	DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000026	ASTMX06810	DANRE09875
OG0000026	ASTMX12978	DANRE42258
OG0000027	ASTMX01705	DANRE39144
OG0000027	ASTMX01846, ASTMX01847	DANRE10366
OG0000027	ASTMX11673	DANRE03058, DANRE03059, DANRE03061
OG0000027	ASTMX14527, ASTMX14528	DANRE29465
OG0000027	ASTMX17505	DANRE03471
OG0000027	ASTMX05220	DANRE22990, DANRE22989
OG0000027	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	DANRE41021, DANRE41022, DANRE41023, DANRE41020, DANRE41018, DANRE41275, DANRE41019, DANRE41017, DANRE41008, DANRE41009
OG0000027	ASTMX01680	DANRE02909
OG0000028	ASTMX01628	DANRE15903
OG0000028	ASTMX11297	DANRE08736, DANRE08737
OG0000028	ASTMX12202	DANRE20375
OG0000028	ASTMX18482, ASTMX18778	DANRE07178
OG0000028	ASTMX14889	DANRE07176, DANRE07177
OG0000028	ASTMX21200	DANRE15857, DANRE15856
OG0000028	ASTMX09164	DANRE09600, DANRE09601
OG0000028	ASTMX21506	DANRE13468
OG0000028	ASTMX21505	DANRE13469, DANRE13470
OG0000028	ASTMX21832	DANRE15855
OG0000028	ASTMX08169	DANRE10772
OG0000028	ASTMX10814	DANRE17755, DANRE17756
OG0000028	ASTMX02886	DANRE02083
OG0000028	ASTMX14890	DANRE07180, DANRE07179
OG0000028	ASTMX22400	DANRE15853
OG0000028	ASTMX17696, ASTMX05417	DANRE35763
OG0000028	ASTMX01721	DANRE39088, DANRE39089
OG0000028	ASTMX15155	DANRE24974
OG0000028	ASTMX14212	DANRE13964
OG0000029	ASTMX02055	DANRE39912, DANRE39910, DANRE39911, DANRE39909
OG0000029	ASTMX06262	DANRE12668, DANRE12669
OG0000029	ASTMX11166	DANRE22155
OG0000029	ASTMX03267	DANRE11325
OG0000029	ASTMX11576	DANRE16818, DANRE16817
OG0000029	ASTMX22545	DANRE13326
OG0000029	ASTMX19971	DANRE41268, DANRE41269
OG0000029	ASTMX06514	DANRE26531
OG0000029	ASTMX07156	DANRE01944
OG0000029	ASTMX12065	DANRE42782
OG0000029	ASTMX05431	DANRE35736
OG0000029	ASTMX02396	DANRE21814
OG0000029	ASTMX01708	DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	ASTMX06934	DANRE34589, DANRE34588
OG0000030	ASTMX13784	DANRE14546
OG0000030	ASTMX06816	DANRE09884, DANRE09883
OG0000030	ASTMX18369	DANRE34902
OG0000030	ASTMX11357	DANRE34483, DANRE34482
OG0000030	ASTMX13717	DANRE08390, DANRE08389
OG0000030	ASTMX04112, ASTMX02697	DANRE38993
OG0000030	ASTMX07740	DANRE03619
OG0000030	ASTMX22293	DANRE41079, DANRE41078
OG0000030	ASTMX01510	DANRE03978
OG0000031	ASTMX03913	DANRE20274, DANRE20275, DANRE20273
OG0000031	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	DANRE20694
OG0000031	ASTMX08659	DANRE41496
OG0000031	ASTMX04771	DANRE23155
OG0000031	ASTMX01055	DANRE37079
OG0000031	ASTMX17701	DANRE41454
OG0000031	ASTMX18426, ASTMX12571	DANRE13621, DANRE09507, DANRE09506, DANRE09505
OG0000031	ASTMX22712	DANRE17238
OG0000031	ASTMX12572	DANRE13622, DANRE13623
OG0000031	ASTMX06525	DANRE26516
OG0000031	ASTMX05128	DANRE26019
OG0000031	ASTMX18163	DANRE33954
OG0000031	ASTMX11402	DANRE35637
OG0000031	ASTMX09693	DANRE11621
OG0000031	ASTMX00710	DANRE02768
OG0000031	ASTMX00969, ASTMX17640	DANRE23382
OG0000031	ASTMX03912	DANRE20276
OG0000031	ASTMX00105	DANRE16190, DANRE42316
OG0000031	ASTMX13865	DANRE27399
OG0000031	ASTMX02854	DANRE21472
OG0000031	ASTMX20534	DANRE14252
OG0000031	ASTMX00107	DANRE42315
OG0000031	ASTMX13001	DANRE42215
OG0000031	ASTMX20334	DANRE15380
OG0000031	ASTMX13774	DANRE28106
OG0000031	ASTMX02637	DANRE23847, DANRE23848
OG0000032	ASTMX08687	DANRE24196
OG0000032	ASTMX18764	DANRE27892, DANRE27891
OG0000032	ASTMX19317	DANRE30726, DANRE30725
OG0000032	ASTMX01989	DANRE33206, DANRE33207, DANRE33205
OG0000032	ASTMX01990	DANRE33204
OG0000032	ASTMX01991	DANRE33199, DANRE32929, DANRE32926, DANRE32927, DANRE33203, DANRE33202, DANRE32928, DANRE33200, DANRE33201
OG0000032	ASTMX08768	DANRE36261
OG0000032	ASTMX12211	DANRE20344, DANRE20343
OG0000032	ASTMX09018	DANRE12884
OG0000032	ASTMX06705	DANRE22486, DANRE22485, DANRE22487, DANRE22488
OG0000034	ASTMX17089	DANRE28945
OG0000034	ASTMX19482	DANRE28944
OG0000034	ASTMX03521	DANRE35039, DANRE35040
OG0000034	ASTMX02060	DANRE39926
OG0000034	ASTMX05967	DANRE00143
OG0000034	ASTMX21201	DANRE39455
OG0000034	ASTMX03519	DANRE35041
OG0000034	ASTMX17020	DANRE29516, DANRE29515
OG0000034	ASTMX02547	DANRE12957
OG0000034	ASTMX01081	DANRE25460
OG0000034	ASTMX20715	DANRE31029, DANRE31030
OG0000034	ASTMX17446	DANRE23009, DANRE23010, DANRE02357
OG0000034	ASTMX07364	DANRE29602
OG0000034	ASTMX20522	DANRE23932
OG0000034	ASTMX22336	DANRE37022
OG0000034	ASTMX07448	DANRE22465
OG0000034	ASTMX16123	DANRE31461, DANRE31460
OG0000034	ASTMX02622	DANRE12388, DANRE12387
OG0000034	ASTMX00372	DANRE25947
OG0000034	ASTMX09860	DANRE14484
OG0000034	ASTMX06813	DANRE09880
OG0000034	ASTMX07013	DANRE38036
OG0000034	ASTMX12428	DANRE37614, DANRE37615
OG0000034	ASTMX02190	DANRE25091, DANRE25092
OG0000034	ASTMX01548	DANRE04100
OG0000034	ASTMX02136	DANRE25182
