Orthogroup	ASTMX	BRAFL
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	ASTMX02874	bflo_12769
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	bflo_20387
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	bflo_04871
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	bflo_26518, bflo_26519, bflo_04870
OG0000020	ASTMX12654	bflo_12668
OG0000020	ASTMX04834	bflo_19465
OG0000020	ASTMX22432	bflo_19726
OG0000020	ASTMX12285	bflo_17473, bflo_27211
OG0000020	ASTMX15062	bflo_24908
OG0000020	ASTMX14060	bflo_12267
OG0000020	ASTMX00875, ASTMX06734	bflo_11497
OG0000020	ASTMX14107, ASTMX08186	bflo_01316, bflo_26255, bflo_05601
OG0000020	ASTMX17613	bflo_24504, bflo_09206, bflo_24474
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513
OG0000020	ASTMX16030	bflo_23109
OG0000020	ASTMX16028	bflo_01292
OG0000020	ASTMX17320	bflo_16368
OG0000020	ASTMX04750, ASTMX21042	bflo_14118
OG0000020	ASTMX04710, ASTMX22736	bflo_07448
OG0000020	ASTMX07754	bflo_14450
OG0000020	ASTMX13875	bflo_00687
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	bflo_11723
OG0000021	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284	bflo_11166, bflo_11165, bflo_11164
OG0000021	ASTMX00201, ASTMX09085	bflo_12821
OG0000021	ASTMX02310, ASTMX16342	bflo_20935
OG0000021	ASTMX09645	bflo_20505, bflo_09681
OG0000021	ASTMX21461	bflo_27402, bflo_22537
OG0000021	ASTMX05545	bflo_22539, bflo_22305
OG0000021	ASTMX13864	bflo_14957, bflo_14617, bflo_14568
OG0000021	ASTMX09336	bflo_15084, bflo_14963, bflo_15001, bflo_14964, bflo_14616, bflo_14965
OG0000023	ASTMX18896	bflo_10816, bflo_10061
OG0000023	ASTMX07788	bflo_24815, bflo_00728, bflo_26486, bflo_18293, bflo_17225, bflo_17512
OG0000023	ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	bflo_20456
OG0000023	ASTMX11687	bflo_20896
OG0000023	ASTMX14286, ASTMX19623	bflo_10033, bflo_02724, bflo_02807
OG0000026	ASTMX12978	bflo_26853, bflo_07376
OG0000027	ASTMX01680	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	ASTMX11297, ASTMX12202	bflo_23186, bflo_23170, bflo_06699, bflo_04841
OG0000028	ASTMX18482, ASTMX18778	bflo_14636, bflo_15358
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959
OG0000028	ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886	bflo_06498, bflo_18107
OG0000028	ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	bflo_25761, bflo_19766, bflo_19099
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	bflo_06341
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	bflo_00742, bflo_13634, bflo_26557, bflo_21595, bflo_21596, bflo_08663, bflo_08664, bflo_03929, bflo_00132, bflo_10187, bflo_00840, bflo_00865, bflo_12518, bflo_00853, bflo_00841, bflo_00854, bflo_00848, bflo_00836, bflo_11153, bflo_10901, bflo_25901, bflo_24407
OG0000030	ASTMX06934	bflo_05230
OG0000030	ASTMX02378, ASTMX18821	bflo_25955
OG0000030	ASTMX22293	bflo_23730
OG0000031	ASTMX22504	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662
OG0000031	ASTMX08659, ASTMX04771	bflo_02624
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	bflo_02501
OG0000031	ASTMX12572	bflo_02849
OG0000031	ASTMX06525	bflo_06021
OG0000031	ASTMX05128	bflo_25562
OG0000031	ASTMX09693, ASTMX17541	bflo_06369
OG0000031	ASTMX00710, ASTMX00969, ASTMX17640	bflo_11397
OG0000031	ASTMX03912, ASTMX00105	bflo_15458
OG0000031	ASTMX00107, ASTMX04176	bflo_15459
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	bflo_02405
OG0000032	ASTMX08687, ASTMX18764	bflo_12824, bflo_01429
OG0000032	ASTMX06705	bflo_23561, bflo_23038, bflo_01635
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	bflo_20326
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	bflo_03308, bflo_13145
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	bflo_05871
OG0000034	ASTMX12428, ASTMX02190	bflo_03310
OG0000034	ASTMX01548	bflo_07712, bflo_08443
OG0000034	ASTMX02136	bflo_03379
OG0000035	ASTMX17732	bflo_02157
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	bflo_10385
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	bflo_09462
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	bflo_09767, bflo_09277
OG0000035	ASTMX15321, ASTMX20966	bflo_10386
OG0000036	ASTMX05584, ASTMX00843	bflo_13405, bflo_09641, bflo_13747, bflo_13748
OG0000036	ASTMX18592	bflo_13764, bflo_12886
OG0000036	ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	bflo_13765, bflo_13767, bflo_03188
OG0000036	ASTMX18312, ASTMX10284	bflo_08259, bflo_08260, bflo_16423, bflo_16325
OG0000036	ASTMX01338, ASTMX03570	bflo_12806, bflo_12805
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	bflo_18550, bflo_02879
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	bflo_10999
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	bflo_01343, bflo_01342
OG0000037	ASTMX03275	bflo_10180
OG0000038	ASTMX05291	bflo_16788
OG0000038	ASTMX12685, ASTMX17002	bflo_18855
OG0000039	ASTMX16971	bflo_25339, bflo_22047, bflo_13127, bflo_13500, bflo_25066, bflo_24169
OG0000039	ASTMX10108, ASTMX07819	bflo_15832
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	bflo_18120, bflo_22334, bflo_22335, bflo_22336, bflo_18296, bflo_21600, bflo_21601, bflo_19151, bflo_22337, bflo_22516, bflo_10596, bflo_03642, bflo_03265, bflo_03263, bflo_03262, bflo_09253, bflo_09254, bflo_10559, bflo_12515, bflo_12514, bflo_21148, bflo_10618, bflo_07354, bflo_26520, bflo_13862, bflo_03226, bflo_18603, bflo_08965, bflo_03641, bflo_03272
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	bflo_05956
OG0000042	ASTMX00117, ASTMX11615	bflo_10929, bflo_25898, bflo_02971, bflo_02974, bflo_03714, bflo_26102, bflo_03006, bflo_22040, bflo_03610, bflo_26101, bflo_02981, bflo_11796, bflo_02991, bflo_03706, bflo_26342, bflo_25465, bflo_00903
OG0000043	ASTMX09533	bflo_19214
OG0000044	ASTMX07618	bflo_07748
OG0000044	ASTMX17555	bflo_21420, bflo_01236, bflo_12257
OG0000045	ASTMX14022	bflo_20899, bflo_17244
OG0000045	ASTMX10022, ASTMX03368	bflo_03910
OG0000046	ASTMX22281	bflo_09128, bflo_05621
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	bflo_12973, bflo_25564, bflo_11116, bflo_21984
OG0000048	ASTMX04189	bflo_15152
OG0000048	ASTMX03384	bflo_07462
OG0000048	ASTMX04258, ASTMX18409	bflo_13732, bflo_11483, bflo_11417, bflo_05102, bflo_05104, bflo_17693, bflo_18962, bflo_22214, bflo_23171, bflo_19625, bflo_19404, bflo_20902
OG0000048	ASTMX15600	bflo_17669
OG0000048	ASTMX04570	bflo_20353
OG0000048	ASTMX00590	bflo_12849
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	bflo_17665
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	bflo_12099
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	bflo_12470, bflo_11081
OG0000050	ASTMX16561	bflo_08634, bflo_13204, bflo_05159, bflo_06071, bflo_13661, bflo_23087, bflo_25684, bflo_00569, bflo_19319, bflo_19224, bflo_04911, bflo_10993, bflo_19823, bflo_03294, bflo_04702, bflo_13685
OG0000051	ASTMX02511	bflo_18195, bflo_17371
OG0000053	ASTMX12784	bflo_21932, bflo_21926, bflo_18879, bflo_19026
OG0000054	ASTMX21203	bflo_10477
OG0000054	ASTMX04679	bflo_04388
OG0000054	ASTMX05759	bflo_20488, bflo_15707, bflo_15703, bflo_15905, bflo_15752, bflo_23344, bflo_22720, bflo_19106, bflo_09085, bflo_09133, bflo_05501, bflo_06007, bflo_03912, bflo_17229, bflo_17691, bflo_18295, bflo_18294, bflo_26044, bflo_24306, bflo_10355, bflo_13684, bflo_13746, bflo_10411, bflo_13726, bflo_13740, bflo_13675, bflo_13693, bflo_25983, bflo_26141, bflo_25284
OG0000055	ASTMX17485	bflo_23317
OG0000055	ASTMX22616	bflo_23399
OG0000056	ASTMX17742	bflo_12398
OG0000056	ASTMX01590, ASTMX01617	bflo_25516
OG0000056	ASTMX18310	bflo_15952
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	bflo_15406, bflo_07670, bflo_18359, bflo_16293, bflo_17114, bflo_13221
OG0000058	ASTMX10002	bflo_09194
OG0000058	ASTMX01061	bflo_23140
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000058	ASTMX12315	bflo_23048, bflo_23141
OG0000059	ASTMX11234, ASTMX03699	bflo_15172
OG0000059	ASTMX20918	bflo_21855
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	bflo_13996, bflo_14747
OG0000060	ASTMX04292, ASTMX07603	bflo_01659, bflo_06661
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	bflo_01384
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	bflo_18545
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746	bflo_19266, bflo_18688, bflo_18686, bflo_18896
OG0000061	ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	bflo_18999, bflo_19344
OG0000061	ASTMX18729, ASTMX15987	bflo_19609, bflo_18544, bflo_19608, bflo_19290
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	bflo_17250, bflo_01624
OG0000062	ASTMX01260	bflo_13529
OG0000063	ASTMX13777	bflo_25923
OG0000063	ASTMX12583	bflo_11558
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	ASTMX01776	bflo_04761, bflo_11842
OG0000067	ASTMX19815	bflo_06923, bflo_06916, bflo_24559, bflo_02686, bflo_17376, bflo_24606, bflo_18581, bflo_07727, bflo_04022, bflo_03936
OG0000068	ASTMX15456	bflo_12119
OG0000068	ASTMX20702	bflo_12120
OG0000069	ASTMX20491	bflo_05168, bflo_23210
OG0000070	ASTMX03868, ASTMX11850	bflo_17097, bflo_18391, bflo_18274
OG0000070	ASTMX17316, ASTMX02948	bflo_19712, bflo_19610, bflo_18938, bflo_18939, bflo_18680, bflo_18677, bflo_08024, bflo_18676, bflo_06405, bflo_17765, bflo_24928, bflo_03653, bflo_13031, bflo_19530, bflo_18681, bflo_18560, bflo_19218, bflo_19322, bflo_19716, bflo_18678, bflo_18529, bflo_05505, bflo_19611, bflo_01821, bflo_08623, bflo_19607, bflo_03948, bflo_15003, bflo_25235
OG0000071	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408	bflo_24861
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	bflo_14354
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	bflo_14484, bflo_04637
OG0000072	ASTMX11250, ASTMX11618	bflo_14474
OG0000073	ASTMX22931	bflo_13167
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735	bflo_15886
OG0000073	ASTMX19270, ASTMX02619	bflo_10835
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	bflo_10921
OG0000074	ASTMX12476	bflo_14737
OG0000075	ASTMX13833, ASTMX15058	bflo_02192
OG0000075	ASTMX17154	bflo_02500
OG0000075	ASTMX04760	bflo_02607
OG0000075	ASTMX10641, ASTMX00718	bflo_24625
OG0000075	ASTMX12169, ASTMX18152	bflo_21844
OG0000075	ASTMX16716, ASTMX04759	bflo_02487
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	bflo_12189
OG0000075	ASTMX12953, ASTMX02098	bflo_11040
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	bflo_12166
OG0000075	ASTMX07134	bflo_11652
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	bflo_09725
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	bflo_18777, bflo_23174
OG0000078	ASTMX08154, ASTMX03860	bflo_05955
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	bflo_03225, bflo_03224, bflo_03600, bflo_00994, bflo_16269, bflo_01905, bflo_16844, bflo_16039, bflo_09080, bflo_03425, bflo_02138
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	bflo_00523
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	bflo_07371
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	bflo_20026
OG0000079	ASTMX02943	bflo_01658
OG0000081	ASTMX02774	bflo_15913, bflo_15912, bflo_16774, bflo_16578, bflo_25892, bflo_26241
OG0000081	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818	bflo_25900, bflo_13564, bflo_13563
OG0000082	ASTMX06917	bflo_15900
OG0000082	ASTMX17888	bflo_04889
OG0000082	ASTMX10851, ASTMX17248	bflo_00187
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	bflo_14979, bflo_14980, bflo_14849, bflo_14850, bflo_15203, bflo_08533
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980	bflo_10754
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	bflo_08430
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	bflo_00992
OG0000085	ASTMX19538	bflo_12569
OG0000085	ASTMX01137, ASTMX09823, ASTMX11049	bflo_17482
OG0000085	ASTMX09759, ASTMX09890, ASTMX10718	bflo_20149
OG0000085	ASTMX08704, ASTMX02521	bflo_18272, bflo_18210
OG0000086	ASTMX23077	bflo_08397, bflo_26694, bflo_24334, bflo_04403, bflo_02111
OG0000086	ASTMX05962	bflo_14241, bflo_09645, bflo_10623, bflo_12507, bflo_19138
OG0000087	ASTMX06968	bflo_21260
OG0000087	ASTMX17717	bflo_11840
OG0000087	ASTMX06381	bflo_11911
OG0000087	ASTMX19474	bflo_22659
OG0000087	ASTMX17716	bflo_03240
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	bflo_12484, bflo_25913, bflo_26055, bflo_02835, bflo_07337, bflo_02839, bflo_02837, bflo_19718, bflo_03903, bflo_20323, bflo_00738, bflo_20465
OG0000089	ASTMX10521	bflo_02193, bflo_05485, bflo_04536, bflo_25331, bflo_08302, bflo_01704, bflo_02380, bflo_07198, bflo_24284, bflo_27461, bflo_24333, bflo_05569, bflo_17128, bflo_12545, bflo_05487
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	bflo_17962, bflo_17832, bflo_01283, bflo_21188
