Orthogroup	ASTMX	AMPFI_ok
OG0000054	ASTMX05759	AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	AMPFI_10015
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	AMPFI_01580, AMPFI_02256
OG0000057	ASTMX18685, ASTMX11838	AMPFI_22187, AMPFI_02601, AMPFI_04153, AMPFI_22527
OG0000058	ASTMX10002	AMPFI_18481
OG0000058	ASTMX07660	AMPFI_03991
OG0000060	ASTMX04292, ASTMX07603	AMPFI_23758
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193
OG0000062	ASTMX01260	AMPFI_05434
OG0000063	ASTMX11259, ASTMX01032	AMPFI_21664
OG0000063	ASTMX13777	AMPFI_25718, AMPFI_20407, AMPFI_07613
OG0000066	ASTMX01776	AMPFI_09400
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	AMPFI_09466, AMPFI_18191, AMPFI_01682, AMPFI_10236, AMPFI_18458, AMPFI_18044, AMPFI_00280, AMPFI_18852, AMPFI_24558, AMPFI_14845, AMPFI_03396, AMPFI_25574, AMPFI_12403, AMPFI_06999
OG0000068	ASTMX15456	AMPFI_02504
OG0000068	ASTMX20702	AMPFI_11929
OG0000068	ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	AMPFI_04870
OG0000068	ASTMX03045	AMPFI_23184
OG0000068	ASTMX22587	AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888
OG0000068	ASTMX22308	AMPFI_12166
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	AMPFI_26076
OG0000072	ASTMX11250, ASTMX11618	AMPFI_21820
OG0000073	ASTMX22931	AMPFI_17720, AMPFI_09678
OG0000073	ASTMX12734, ASTMX08034, ASTMX18790, ASTMX08033, ASTMX12735, ASTMX19270, ASTMX02619	AMPFI_10119
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	AMPFI_22998, AMPFI_09812, AMPFI_05452
OG0000074	ASTMX12476	AMPFI_19576
OG0000074	ASTMX07079, ASTMX08304	AMPFI_22923, AMPFI_25359, AMPFI_19392, AMPFI_00530, AMPFI_02296
OG0000075	ASTMX13833, ASTMX15058	AMPFI_17345, AMPFI_17344
OG0000075	ASTMX17154	AMPFI_12462
OG0000075	ASTMX04760	AMPFI_03839
OG0000075	ASTMX10641, ASTMX00718	AMPFI_10510
OG0000075	ASTMX16716, ASTMX04759	AMPFI_15829
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	AMPFI_15139
OG0000075	ASTMX12953, ASTMX02098	AMPFI_15917
OG0000075	ASTMX07134	AMPFI_17574
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	AMPFI_10742, AMPFI_19118, AMPFI_00030, AMPFI_21986
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	AMPFI_09380
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	AMPFI_09436, AMPFI_07753, AMPFI_20678, AMPFI_00442
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	AMPFI_24805
OG0000079	ASTMX02943	AMPFI_06359, AMPFI_07521
OG0000080	ASTMX22762	AMPFI_13421
OG0000080	ASTMX03885	AMPFI_21483, AMPFI_06835
OG0000080	ASTMX23043, ASTMX23016	AMPFI_23079
OG0000082	ASTMX06917	AMPFI_21007
OG0000082	ASTMX17888	AMPFI_06890
OG0000082	ASTMX17248	AMPFI_15952, AMPFI_11015
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	AMPFI_20771
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	AMPFI_09379
OG0000085	ASTMX19538	AMPFI_25819
OG0000085	ASTMX08704, ASTMX02521	AMPFI_04349
OG0000086	ASTMX23077	AMPFI_08733
OG0000086	ASTMX05962	AMPFI_16129, AMPFI_08667
OG0000086	ASTMX09811	AMPFI_20576, AMPFI_05842
OG0000087	ASTMX17718	AMPFI_05588
OG0000087	ASTMX17717	AMPFI_13769
OG0000087	ASTMX06381	AMPFI_08649
OG0000087	ASTMX19474	AMPFI_11171
OG0000087	ASTMX17716	AMPFI_19662, AMPFI_19663
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	AMPFI_08023, AMPFI_23228, AMPFI_23443, AMPFI_08159, AMPFI_22112, AMPFI_19709, AMPFI_17224, AMPFI_20465, AMPFI_07330, AMPFI_26016, AMPFI_13620, AMPFI_12147, AMPFI_09459
OG0000089	ASTMX10521	AMPFI_21827
OG0000091	ASTMX03395	AMPFI_04685, AMPFI_24623, AMPFI_10622
OG0000094	ASTMX03425	AMPFI_02587
OG0000094	ASTMX08393	AMPFI_25694, AMPFI_04666
OG0000094	ASTMX08391, ASTMX19353	AMPFI_02648
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671	AMPFI_18905, AMPFI_06525
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	AMPFI_12180
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	AMPFI_22693
OG0000096	ASTMX18278, ASTMX15892	AMPFI_24766
OG0000096	ASTMX09859	AMPFI_09837
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	AMPFI_11230
OG0000096	ASTMX10423, ASTMX12959	AMPFI_25309
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	AMPFI_13259, AMPFI_24967
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	AMPFI_07962, AMPFI_03629
OG0000100	ASTMX18651	AMPFI_19874, AMPFI_01211
OG0000101	ASTMX00206, ASTMX00424	AMPFI_17596, AMPFI_21293
OG0000101	ASTMX01330	AMPFI_24234, AMPFI_14741, AMPFI_20349
OG0000101	ASTMX08413	AMPFI_14310, AMPFI_02729
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	AMPFI_08160
OG0000102	ASTMX10991, ASTMX16111	AMPFI_04172, AMPFI_16803
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	AMPFI_21097
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	AMPFI_14148
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	AMPFI_11040
OG0000104	ASTMX03728, ASTMX07045	AMPFI_02710
OG0000104	ASTMX00149	AMPFI_20370
OG0000104	ASTMX00709, ASTMX16073	AMPFI_08614
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	AMPFI_02407, AMPFI_14321
OG0000106	ASTMX10570, ASTMX00462	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000108	ASTMX16847, ASTMX07881, ASTMX08427, ASTMX08437, ASTMX04339, ASTMX03583	AMPFI_14479, AMPFI_07737
OG0000108	ASTMX06170, ASTMX09882	AMPFI_15531
OG0000108	ASTMX11080, ASTMX08888, ASTMX15990, ASTMX22414, ASTMX14128, ASTMX04779, ASTMX13605	AMPFI_21796, AMPFI_17500, AMPFI_00251, AMPFI_21770, AMPFI_12442, AMPFI_00608, AMPFI_24859, AMPFI_14656, AMPFI_01818, AMPFI_06648, AMPFI_19726, AMPFI_13596, AMPFI_03071
OG0000110	ASTMX08508	AMPFI_17055, AMPFI_21701, AMPFI_03800, AMPFI_04584, AMPFI_16212, AMPFI_03550, AMPFI_18622, AMPFI_10052
OG0000113	ASTMX19383, ASTMX05472	AMPFI_03282
OG0000114	ASTMX06800	AMPFI_10608, AMPFI_15203
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	AMPFI_03529
OG0000114	ASTMX20865	AMPFI_01965, AMPFI_00254
OG0000116	ASTMX01410	AMPFI_12986
OG0000117	ASTMX17355	AMPFI_04775, AMPFI_00066
OG0000117	ASTMX00401, ASTMX12703	AMPFI_05731, AMPFI_15869, AMPFI_04658
OG0000117	ASTMX21002, ASTMX14024	AMPFI_16640
OG0000117	ASTMX17606	AMPFI_16638
OG0000117	ASTMX10401	AMPFI_15296
OG0000117	ASTMX14023	AMPFI_24556, AMPFI_06191, AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845, AMPFI_00125
OG0000118	ASTMX10091, ASTMX22719	AMPFI_15089, AMPFI_19015, AMPFI_23643, AMPFI_14024, AMPFI_18501, AMPFI_00149, AMPFI_22684, AMPFI_18419, AMPFI_02829, AMPFI_12978, AMPFI_02484, AMPFI_11678, AMPFI_22935, AMPFI_14761, AMPFI_15653, AMPFI_15926, AMPFI_07542, AMPFI_17479, AMPFI_04304, AMPFI_21687
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	AMPFI_25431
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	AMPFI_07345, AMPFI_07307
OG0000119	ASTMX00656, ASTMX18233	AMPFI_24152
OG0000120	ASTMX21836, ASTMX22567, ASTMX00463	AMPFI_15831
OG0000121	ASTMX13884, ASTMX13883, ASTMX13882, ASTMX20607	AMPFI_02289, AMPFI_15541
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	AMPFI_13850, AMPFI_04566, AMPFI_20620
OG0000122	ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	AMPFI_09948
OG0000123	ASTMX01522, ASTMX09979, ASTMX12484, ASTMX14953, ASTMX15212	AMPFI_23454
OG0000123	ASTMX14814, ASTMX00304	AMPFI_03553
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	AMPFI_24111
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	AMPFI_02885
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	AMPFI_01689
OG0000125	ASTMX13565, ASTMX10452, ASTMX15866, ASTMX05329	AMPFI_03211
OG0000125	ASTMX19681, ASTMX13832	AMPFI_16776
OG0000125	ASTMX00267	AMPFI_12865
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	AMPFI_13551
OG0000126	ASTMX09154	AMPFI_19122
OG0000126	ASTMX06187, ASTMX17244	AMPFI_06519
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	AMPFI_19042
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	AMPFI_23284
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	AMPFI_11705
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	AMPFI_13476
OG0000127	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260	AMPFI_18794
OG0000128	ASTMX05854	AMPFI_00795
OG0000128	ASTMX15563, ASTMX07961	AMPFI_16622, AMPFI_18803, AMPFI_04850
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539	AMPFI_15379
OG0000129	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614	AMPFI_05870
OG0000130	ASTMX07135, ASTMX08389, ASTMX02101, ASTMX18603, ASTMX21728, ASTMX10754, ASTMX19065, ASTMX02114	AMPFI_19363
OG0000131	ASTMX16327	AMPFI_01527, AMPFI_14039, AMPFI_21381
OG0000132	ASTMX15628	AMPFI_17725, AMPFI_13763, AMPFI_00592, AMPFI_22956, AMPFI_02003
OG0000132	ASTMX09702	AMPFI_25895
OG0000133	ASTMX21190	AMPFI_19656, AMPFI_12857, AMPFI_11696
OG0000133	ASTMX21064, ASTMX18077	AMPFI_00173
OG0000133	ASTMX22246, ASTMX14992, ASTMX14993, ASTMX14996, ASTMX14990, ASTMX01609, ASTMX13181, ASTMX20897, ASTMX19606, ASTMX08507, ASTMX13886, ASTMX13885, ASTMX22857, ASTMX13138, ASTMX13136, ASTMX22464, ASTMX20563, ASTMX21441, ASTMX13135, ASTMX13134, ASTMX13137, ASTMX22484, ASTMX20559, ASTMX20561, ASTMX13217, ASTMX21568, ASTMX15040, ASTMX21948, ASTMX20560, ASTMX19892, ASTMX02156, ASTMX02949, ASTMX07356, ASTMX07357, ASTMX07358, ASTMX15965, ASTMX15966, ASTMX19613, ASTMX22548, ASTMX22646	AMPFI_13361
OG0000133	ASTMX19611, ASTMX19612	AMPFI_19958
OG0000137	ASTMX08942, ASTMX01570, ASTMX22671	AMPFI_02989
OG0000137	ASTMX10792, ASTMX08181	AMPFI_12246
OG0000139	ASTMX09356	AMPFI_23602, AMPFI_03549
OG0000142	ASTMX22061	AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305
OG0000145	ASTMX20083	AMPFI_23149, AMPFI_15127, AMPFI_02414, AMPFI_09656
OG0000146	ASTMX15531	AMPFI_23164, AMPFI_04825
OG0000147	ASTMX22882, ASTMX19061	AMPFI_24113
OG0000147	ASTMX01265, ASTMX04843	AMPFI_01784, AMPFI_00036, AMPFI_00137
OG0000147	ASTMX02385	AMPFI_25058
OG0000147	ASTMX18633	AMPFI_22384
OG0000147	ASTMX08515	AMPFI_01359, AMPFI_18115
OG0000148	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929	AMPFI_23558
