Orthogroup	ASTMX	OWEFU
OG0000007	ASTMX22376, ASTMX11119	OFUSG23111.1.p1
OG0000007	ASTMX14979, ASTMX11120, ASTMX02564	OFUSG04768.1.p1
OG0000007	ASTMX18062, ASTMX21262	OFUSG25429.1.p1
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	ASTMX18779, ASTMX07711	OFUSG10613.1.p1
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	OFUSG25241.1.p1
OG0000008	ASTMX21956, ASTMX05481	OFUSG01560.1.p1
OG0000008	ASTMX13345, ASTMX11364	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	ASTMX13129	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000008	ASTMX09448, ASTMX03057, ASTMX08319	OFUSG05918.1.p1
OG0000008	ASTMX03297, ASTMX08955	OFUSG08842.1.p1, OFUSG26620.1.p1, OFUSG13268.1.p1
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981	OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	ASTMX21265	OFUSG09248.1.p1
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000012	ASTMX22063, ASTMX16492	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	ASTMX06265	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	OFUSG01707.1.p1, OFUSG01708.1.p1, OFUSG22026.1.p1, OFUSG22025.1.p1, OFUSG17332.1.p1, OFUSG12573.1.p1, OFUSG09407.1.p1, OFUSG09404.1.p1, OFUSG09402.1.p1, OFUSG09408.1.p1, OFUSG09406.1.p1, OFUSG09400.1.p1, OFUSG19545.1.p1, OFUSG21789.1.p1, OFUSG21797.1.p1, OFUSG21790.1.p1, OFUSG21798.1.p1, OFUSG19408.1.p1
OG0000014	ASTMX02678, ASTMX08608, ASTMX07233, ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557, ASTMX03213, ASTMX07656, ASTMX01801	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	ASTMX12908, ASTMX11632	OFUSG00805.1.p1
OG0000015	ASTMX21958, ASTMX03764, ASTMX21759	OFUSG02249.1.p1
OG0000015	ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947	OFUSG03121.2.p1, OFUSG03121.1.p1
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	OFUSG16773.1.p1
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	OFUSG10402.1.p1
OG0000016	ASTMX17393	OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1
OG0000016	ASTMX00540	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	ASTMX02874	OFUSG11848.1.p1
OG0000016	ASTMX17395	OFUSG06227.1.p1
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	OFUSG14111.1.p3
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000020	ASTMX12654	OFUSG17234.1.p1
OG0000020	ASTMX04834	OFUSG19131.1.p1
OG0000020	ASTMX00875, ASTMX06734, ASTMX14107, ASTMX08186, ASTMX17613, ASTMX00490, ASTMX12696, ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	OFUSG13406.1.p1
OG0000020	ASTMX16028	OFUSG14744.1.p1, OFUSG12274.1.p1, OFUSG12274.2.p1
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	OFUSG18643.1.p1
OG0000021	ASTMX04046, ASTMX15305	OFUSG19367.2.p1, OFUSG19367.1.p1
OG0000021	ASTMX00802, ASTMX04036, ASTMX09468, ASTMX09467, ASTMX09435, ASTMX07052, ASTMX07051, ASTMX06325, ASTMX15788, ASTMX05284	OFUSG03663.1.p1
OG0000021	ASTMX00201, ASTMX09085	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	ASTMX02310, ASTMX16342	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	ASTMX21461, ASTMX05545	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	ASTMX13864	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	ASTMX09201	OFUSG26468.1.p1
OG0000023	ASTMX18896	OFUSG06069.1.p1
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	ASTMX11687, ASTMX14286, ASTMX19623	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000026	ASTMX06810	OFUSG04596.1.p1, OFUSG10470.1.p1, OFUSG09501.1.p1
OG0000026	ASTMX12978	OFUSG26427.1.p1
OG0000027	ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	OFUSG07714.1.p1, OFUSG07714.2.p1, OFUSG21523.1.p1, OFUSG02454.1.p1, OFUSG18692.1.p1, OFUSG08461.1.p1, OFUSG07492.1.p1, OFUSG07492.3.p1, OFUSG07492.2.p1, OFUSG21969.1.p1, OFUSG21968.1.p1, OFUSG13255.1.p1
OG0000027	ASTMX01680	OFUSG21901.2.p1, OFUSG21901.1.p1
OG0000028	ASTMX01628, ASTMX11626, ASTMX11297, ASTMX12202, ASTMX18482, ASTMX18778	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	OFUSG13583.2.p1, OFUSG13583.4.p1, OFUSG13584.1.p1, OFUSG13583.3.p1, OFUSG13583.1.p1, OFUSG09817.1.p1, OFUSG09817.2.p1, OFUSG09817.4.p1, OFUSG09817.3.p1, OFUSG09817.5.p1
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	OFUSG16858.1.p1
OG0000030	ASTMX06934	OFUSG16143.1.p1
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	OFUSG04213.1.p1
OG0000030	ASTMX02378, ASTMX18821	OFUSG21119.1.p1
OG0000030	ASTMX22293	OFUSG12869.1.p1
OG0000030	ASTMX01510	OFUSG15638.1.p1, OFUSG15630.1.p1, OFUSG05089.1.p1, OFUSG05089.2.p1
OG0000031	ASTMX05563	OFUSG02441.1.p1
OG0000031	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	OFUSG03747.1.p1, OFUSG01964.1.p1
OG0000031	ASTMX08659, ASTMX04771	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	ASTMX12572	OFUSG03938.1.p1
OG0000031	ASTMX06525, ASTMX05128	OFUSG09754.1.p1
OG0000031	ASTMX09693, ASTMX17541	OFUSG12627.1.p1
OG0000031	ASTMX03912, ASTMX00105	OFUSG02210.1.p1
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	OFUSG17671.1.p1
OG0000031	ASTMX13774, ASTMX02637	OFUSG16797.1.p1
OG0000032	ASTMX08687, ASTMX18764	OFUSG07861.1.p1
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	ASTMX06705	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000034	ASTMX03519	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	OFUSG08780.1.p1
OG0000034	ASTMX12428, ASTMX02190	OFUSG00313.1.p1
OG0000034	ASTMX01548	OFUSG10792.1.p1, OFUSG10792.2.p1
OG0000034	ASTMX02136	OFUSG09735.1.p1
OG0000035	ASTMX17732	OFUSG16461.1.p1
OG0000035	ASTMX22713, ASTMX21245	OFUSG09470.1.p1
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	OFUSG07851.1.p1
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	ASTMX15322	OFUSG23601.1.p1
OG0000035	ASTMX15321, ASTMX20966	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000036	ASTMX05584, ASTMX00843	OFUSG05112.1.p1
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	ASTMX19120, ASTMX18312, ASTMX10284	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	ASTMX01338, ASTMX03570	OFUSG05272.1.p1
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	OFUSG13518.1.p1
OG0000037	ASTMX03275	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	ASTMX05291	OFUSG04771.1.p1
OG0000038	ASTMX12685, ASTMX17002	OFUSG26080.1.p1, OFUSG26080.2.p1
OG0000039	ASTMX03851	OFUSG18528.1.p1, OFUSG18528.2.p1
OG0000039	ASTMX16971	OFUSG13129.1.p1, OFUSG05314.1.p1
OG0000039	ASTMX10108, ASTMX07819	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000041	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919	OFUSG19628.1.p1, OFUSG17131.1.p1, OFUSG15513.1.p1, OFUSG15137.1.p1, OFUSG07153.1.p1, OFUSG07153.2.p1
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	OFUSG07896.1.p1
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109, ASTMX06176	OFUSG03166.1.p1
OG0000045	ASTMX16178	OFUSG18977.1.p1
OG0000046	ASTMX22281	OFUSG14160.1.p1
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1
OG0000048	ASTMX04189	OFUSG03456.1.p1
OG0000048	ASTMX13714	OFUSG15705.1.p1
OG0000048	ASTMX03384	OFUSG19541.1.p1
OG0000048	ASTMX04258, ASTMX18409	OFUSG11584.1.p1
OG0000048	ASTMX15600	OFUSG11587.1.p1
OG0000048	ASTMX04570	OFUSG11562.2.p1, OFUSG11562.1.p1
OG0000048	ASTMX00590	OFUSG04756.1.p1
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	OFUSG00390.1.p1
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	OFUSG06038.1.p1
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	OFUSG18823.3.p1, OFUSG18823.1.p1, OFUSG18823.2.p1
OG0000050	ASTMX16561	OFUSG14496.1.p1, OFUSG09384.1.p1, OFUSG00506.1.p1
OG0000054	ASTMX04679	OFUSG09960.1.p1, OFUSG09960.2.p1, OFUSG09960.4.p1, OFUSG09960.5.p1, OFUSG09960.3.p1
OG0000054	ASTMX05759	OFUSG23922.1.p1, OFUSG23922.2.p1, OFUSG23922.3.p1, OFUSG13461.1.p1, OFUSG13461.2.p1, OFUSG22292.2.p1, OFUSG22292.1.p1, OFUSG00951.1.p1, OFUSG00949.1.p1, OFUSG16065.1.p1, OFUSG16065.2.p1, OFUSG16715.1.p1
OG0000055	ASTMX17485	OFUSG10859.2.p1, OFUSG10859.1.p1
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	OFUSG17281.1.p1
OG0000056	ASTMX18310	OFUSG00880.1.p1, OFUSG00880.2.p1
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	OFUSG18495.1.p1
OG0000057	ASTMX18685, ASTMX11838	OFUSG02050.1.p1, OFUSG18016.1.p1, OFUSG01943.1.p1, OFUSG22981.1.p1, OFUSG23264.1.p1, OFUSG15744.1.p1, OFUSG15744.2.p1, OFUSG15743.1.p1, OFUSG15746.1.p1, OFUSG15746.2.p1, OFUSG15747.1.p1, OFUSG12096.1.p1, OFUSG12095.1.p1, OFUSG17581.1.p1
OG0000058	ASTMX10002	OFUSG06504.1.p1
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	OFUSG18325.1.p1
OG0000059	ASTMX21875	OFUSG10738.1.p1
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	OFUSG05392.2.p1, OFUSG05392.1.p1
OG0000059	ASTMX09334, ASTMX11300	OFUSG21274.1.p1
OG0000060	ASTMX04292, ASTMX07603	OFUSG14955.1.p1, OFUSG23392.1.p1
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	OFUSG24472.3.p1, OFUSG24472.1.p1, OFUSG24472.2.p1, OFUSG16519.1.p1, OFUSG16362.1.p1, OFUSG16362.3.p1, OFUSG16362.2.p1
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746	OFUSG04221.4.p1, OFUSG04221.3.p1, OFUSG04221.1.p1, OFUSG04221.2.p1
OG0000061	ASTMX18729, ASTMX15987	OFUSG16682.2.p1, OFUSG16682.1.p1
OG0000062	ASTMX22952	OFUSG19725.1.p1, OFUSG05205.1.p1
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	OFUSG20078.1.p1, OFUSG20078.2.p1
OG0000062	ASTMX01260	OFUSG20834.1.p1, OFUSG20834.2.p1, OFUSG05008.1.p1
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	OFUSG17109.2.p1, OFUSG17109.1.p1
OG0000063	ASTMX11259, ASTMX01032	OFUSG05823.2.p1, OFUSG05823.1.p1
OG0000063	ASTMX13777	OFUSG20081.1.p1
OG0000063	ASTMX12583	OFUSG22244.1.p1
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	OFUSG22574.1.p1, OFUSG23358.1.p1, OFUSG12395.1.p1, OFUSG23801.1.p1, OFUSG23802.1.p1, OFUSG23800.1.p1, OFUSG01605.1.p1, OFUSG15392.1.p1, OFUSG01606.1.p1, OFUSG01817.1.p1, OFUSG16109.1.p1, OFUSG08606.1.p1, OFUSG25251.1.p1, OFUSG10638.1.p1, OFUSG03941.1.p1, OFUSG20646.1.p1, OFUSG26222.1.p1, OFUSG00747.1.p1, OFUSG00365.1.p1, OFUSG20533.1.p1, OFUSG15764.2.p1, OFUSG15764.4.p1, OFUSG15764.3.p1, OFUSG15764.1.p1, OFUSG13353.1.p1, OFUSG22698.1.p1, OFUSG15763.1.p1, OFUSG02049.1.p1, OFUSG22680.1.p1, OFUSG22697.1.p1, OFUSG16096.1.p1, OFUSG15767.1.p1, OFUSG12866.1.p1, OFUSG09226.1.p1, OFUSG09226.2.p1, OFUSG25542.1.p1, OFUSG21873.1.p1, OFUSG21872.1.p1, OFUSG07631.1.p1, OFUSG23384.1.p1, OFUSG15143.1.p1, OFUSG15928.1.p1, OFUSG00649.1.p1, OFUSG25620.1.p1, OFUSG08202.1.p1, OFUSG19583.1.p1, OFUSG13387.1.p1
OG0000066	ASTMX01776	OFUSG23527.1.p1
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	OFUSG07801.1.p1, OFUSG07801.2.p1, OFUSG09800.1.p1
OG0000068	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	OFUSG19455.1.p1
OG0000068	ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308	OFUSG06649.2.p1, OFUSG06649.1.p1
OG0000070	ASTMX03868, ASTMX11850	OFUSG13486.2.p1, OFUSG13486.1.p1, OFUSG01308.1.p1, OFUSG01308.2.p1
OG0000070	ASTMX10727	OFUSG09432.1.p1
OG0000070	ASTMX14684, ASTMX17327, ASTMX15136, ASTMX13592, ASTMX00211	OFUSG12713.1.p1
OG0000071	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408	OFUSG13633.1.p1, OFUSG18328.1.p1
