Orthogroup	ASTMX	APOSJ_ok
OG0000011	ASTMX22966, ASTMX22692	APOSJ_54377, APOSJ_54378, APOSJ_54376, APOSJ_54379, APOSJ_52118, APOSJ_51528, APOSJ_27819, APOSJ_51532, APOSJ_27817, APOSJ_52112, APOSJ_51531, APOSJ_51530, APOSJ_32958, APOSJ_27820, APOSJ_42157, APOSJ_42159, APOSJ_64504
OG0000011	ASTMX07900	APOSJ_35621, APOSJ_35622
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	APOSJ_09282
OG0000011	ASTMX20794	APOSJ_37350
OG0000011	ASTMX01926	APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	APOSJ_25283, APOSJ_25285
OG0000011	ASTMX22970	APOSJ_21982
OG0000011	ASTMX23073, ASTMX20022, ASTMX23051	APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591
OG0000012	ASTMX22063, ASTMX16492	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	ASTMX06265	APOSJ_20422
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	APOSJ_50056, APOSJ_01943
OG0000014	ASTMX12908, ASTMX11632	APOSJ_28331, APOSJ_28332
OG0000014	ASTMX01423, ASTMX16397	APOSJ_23867, APOSJ_22503
OG0000015	ASTMX21958, ASTMX03764, ASTMX21759	APOSJ_33839
OG0000015	ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	APOSJ_09441, APOSJ_10165
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	APOSJ_40020
OG0000016	ASTMX00540	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	ASTMX02874	APOSJ_31207
OG0000016	ASTMX17395	APOSJ_03790
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	APOSJ_11248
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	APOSJ_04828, APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	APOSJ_25021
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	APOSJ_49365
OG0000020	ASTMX04834	APOSJ_03215
OG0000020	ASTMX12285	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	ASTMX15062	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	ASTMX16028	APOSJ_45822, APOSJ_45820, APOSJ_45821
OG0000020	ASTMX17320	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	ASTMX04750, ASTMX21042	APOSJ_51246, APOSJ_35639
OG0000020	ASTMX05243	APOSJ_08125, APOSJ_51104
OG0000020	ASTMX04710	APOSJ_16758
OG0000020	ASTMX07754	APOSJ_64610, APOSJ_31490
OG0000020	ASTMX13875	APOSJ_45120
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	APOSJ_47375, APOSJ_47376
OG0000021	ASTMX04046, ASTMX15305	APOSJ_00267, APOSJ_00268, APOSJ_01716
OG0000021	ASTMX09645	APOSJ_56015, APOSJ_08859
OG0000021	ASTMX21461, ASTMX05545	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	ASTMX13864	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	ASTMX18896	APOSJ_12541
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	APOSJ_61540, APOSJ_61541, APOSJ_41584, APOSJ_02508, APOSJ_02509, APOSJ_01723, APOSJ_49604, APOSJ_49606, APOSJ_49600, APOSJ_49609, APOSJ_01726, APOSJ_10812, APOSJ_01728, APOSJ_49603, APOSJ_01724, APOSJ_01725, APOSJ_49605, APOSJ_49608, APOSJ_49607, APOSJ_49602, APOSJ_01727, APOSJ_64694, APOSJ_36208, APOSJ_60045, APOSJ_60046, APOSJ_60043, APOSJ_60042, APOSJ_60044, APOSJ_60041, APOSJ_50597, APOSJ_50596, APOSJ_59030, APOSJ_52499, APOSJ_21171, APOSJ_52500, APOSJ_52498, APOSJ_22830, APOSJ_21196
OG0000026	ASTMX06810	APOSJ_39679, APOSJ_39682
OG0000026	ASTMX12978	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	APOSJ_13359, APOSJ_13358
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000029	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708	APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949
OG0000030	ASTMX22473	APOSJ_05001, APOSJ_01764, APOSJ_30576
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	ASTMX02378, ASTMX18821	APOSJ_46611, APOSJ_46610
OG0000030	ASTMX22293	APOSJ_24666, APOSJ_08058
OG0000031	ASTMX05563	APOSJ_02555, APOSJ_52808, APOSJ_02551, APOSJ_02552, APOSJ_02553, APOSJ_02550, APOSJ_02554, APOSJ_02549
OG0000031	ASTMX17418, ASTMX22504, ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	APOSJ_37355
OG0000031	ASTMX08659, ASTMX04771	APOSJ_56428
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	APOSJ_58452
OG0000031	ASTMX06525	APOSJ_43290, APOSJ_43294, APOSJ_43291, APOSJ_43293
OG0000031	ASTMX11402, ASTMX09693, ASTMX17541	APOSJ_07842, APOSJ_07841
OG0000031	ASTMX03912, ASTMX00105	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	APOSJ_01762
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	APOSJ_03114, APOSJ_03115
OG0000031	ASTMX03166	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	ASTMX06705	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	ASTMX03519	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	APOSJ_17818, APOSJ_17819
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	APOSJ_60565, APOSJ_21305
OG0000034	ASTMX12428, ASTMX02190	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	ASTMX01548	APOSJ_63084, APOSJ_59127
OG0000034	ASTMX02136	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	ASTMX17732	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	ASTMX22713, ASTMX21245	APOSJ_13857
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	APOSJ_11969, APOSJ_09937
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000035	ASTMX15321, ASTMX20966	APOSJ_14503
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	ASTMX18312, ASTMX10284	APOSJ_56208, APOSJ_19171, APOSJ_64125, APOSJ_37192, APOSJ_32710, APOSJ_16924, APOSJ_44485, APOSJ_44482, APOSJ_49668
OG0000036	ASTMX01338, ASTMX03570	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639	APOSJ_63529, APOSJ_64474, APOSJ_63530
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	APOSJ_40888, APOSJ_40889
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	APOSJ_41930, APOSJ_41929
OG0000037	ASTMX03275	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	ASTMX05291	APOSJ_05677, APOSJ_26230, APOSJ_08121, APOSJ_08120, APOSJ_07933, APOSJ_58733, APOSJ_16433, APOSJ_12115, APOSJ_12110
OG0000038	ASTMX12685, ASTMX17002	APOSJ_30481
OG0000039	ASTMX03851	APOSJ_36538, APOSJ_23775, APOSJ_06567
OG0000039	ASTMX16971	APOSJ_23948
OG0000039	ASTMX10108, ASTMX07819	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535, APOSJ_19644, APOSJ_19642, APOSJ_19643
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	APOSJ_07883
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	APOSJ_00247
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	APOSJ_20279, APOSJ_20278
OG0000044	ASTMX06176	APOSJ_57354, APOSJ_57355
OG0000044	ASTMX17555	APOSJ_55841
OG0000045	ASTMX14022	APOSJ_29368, APOSJ_29369
OG0000046	ASTMX22281	APOSJ_42127, APOSJ_64323, APOSJ_42125
OG0000048	ASTMX13714	APOSJ_59658
OG0000048	ASTMX15600	APOSJ_03221, APOSJ_10764
OG0000048	ASTMX04570	APOSJ_60260, APOSJ_60261, APOSJ_61046, APOSJ_60262, APOSJ_34779
OG0000048	ASTMX00590	APOSJ_12442
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	APOSJ_51843
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	APOSJ_36502
OG0000050	ASTMX16561	APOSJ_57493, APOSJ_36060, APOSJ_36061, APOSJ_36063, APOSJ_36065, APOSJ_36066, APOSJ_04035, APOSJ_00653, APOSJ_36062, APOSJ_25539, APOSJ_36064, APOSJ_00654, APOSJ_08665, APOSJ_29147, APOSJ_51862, APOSJ_51863, APOSJ_20325, APOSJ_20324, APOSJ_58281, APOSJ_34871, APOSJ_13856, APOSJ_13854, APOSJ_45580, APOSJ_13852, APOSJ_13850, APOSJ_13851, APOSJ_13855, APOSJ_13853, APOSJ_12186, APOSJ_40638, APOSJ_42771, APOSJ_13876, APOSJ_42263, APOSJ_42264, APOSJ_54268, APOSJ_54266, APOSJ_02357, APOSJ_54267, APOSJ_54270, APOSJ_54269, APOSJ_28465, APOSJ_31086, APOSJ_01230, APOSJ_46777, APOSJ_57319, APOSJ_15169, APOSJ_15170, APOSJ_29827, APOSJ_10797, APOSJ_15112, APOSJ_62920, APOSJ_15109, APOSJ_15111, APOSJ_15108
OG0000051	ASTMX02511	APOSJ_30249, APOSJ_30251, APOSJ_01654, APOSJ_47098
OG0000054	ASTMX04679	APOSJ_18612, APOSJ_52518, APOSJ_18611, APOSJ_31400, APOSJ_07291, APOSJ_45891, APOSJ_07290, APOSJ_24181, APOSJ_58354, APOSJ_58353, APOSJ_58350, APOSJ_58351, APOSJ_58352
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	APOSJ_39271, APOSJ_39270, APOSJ_48773, APOSJ_45665
OG0000057	ASTMX18685, ASTMX11838	APOSJ_24024, APOSJ_17502, APOSJ_17503, APOSJ_17501, APOSJ_17500, APOSJ_17499
OG0000058	ASTMX10002	APOSJ_27364, APOSJ_40682, APOSJ_27363
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	APOSJ_01990, APOSJ_45171, APOSJ_56047, APOSJ_62157, APOSJ_01986, APOSJ_12231, APOSJ_01994, APOSJ_62154, APOSJ_01988, APOSJ_62155
OG0000059	ASTMX20918	APOSJ_34977, APOSJ_41112, APOSJ_15943, APOSJ_15944
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	APOSJ_00361, APOSJ_32459
OG0000060	ASTMX04292, ASTMX07603	APOSJ_62502, APOSJ_14511, APOSJ_62507, APOSJ_14509, APOSJ_53301, APOSJ_53299, APOSJ_62506, APOSJ_08035, APOSJ_62505
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	APOSJ_24727, APOSJ_46788
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	APOSJ_58339, APOSJ_18222, APOSJ_18226, APOSJ_18220, APOSJ_58336, APOSJ_24082, APOSJ_18227, APOSJ_18225, APOSJ_18223, APOSJ_24083, APOSJ_24098, APOSJ_58337, APOSJ_58338, APOSJ_18224
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	APOSJ_04549, APOSJ_04550
OG0000061	ASTMX18729, ASTMX15987	APOSJ_15713, APOSJ_15716, APOSJ_15714, APOSJ_33562, APOSJ_15715, APOSJ_53824, APOSJ_08464, APOSJ_14395
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	APOSJ_36645, APOSJ_36644, APOSJ_36646, APOSJ_36641, APOSJ_36638, APOSJ_36643, APOSJ_36647, APOSJ_36642, APOSJ_61539, APOSJ_03520, APOSJ_50534, APOSJ_50538, APOSJ_50533, APOSJ_50536, APOSJ_39442
OG0000062	ASTMX01260	APOSJ_42177, APOSJ_42181, APOSJ_42180, APOSJ_42182
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	APOSJ_62799, APOSJ_60703
OG0000063	ASTMX11259, ASTMX01032	APOSJ_45342, APOSJ_45340, APOSJ_35186, APOSJ_45343, APOSJ_45341, APOSJ_16611
OG0000063	ASTMX13777, ASTMX12583	APOSJ_17401, APOSJ_34559, APOSJ_34558, APOSJ_34560, APOSJ_41274, APOSJ_48780
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	APOSJ_58298, APOSJ_58293, APOSJ_19476
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	APOSJ_35430, APOSJ_06253
OG0000066	ASTMX01776	APOSJ_56697, APOSJ_30328
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	APOSJ_18931, APOSJ_56850, APOSJ_56847, APOSJ_06153, APOSJ_13448, APOSJ_19493, APOSJ_58325, APOSJ_58331, APOSJ_58341, APOSJ_48159, APOSJ_48158, APOSJ_48156, APOSJ_19490, APOSJ_19487, APOSJ_13449, APOSJ_13447, APOSJ_13446, APOSJ_13442, APOSJ_13444, APOSJ_13443, APOSJ_13445, APOSJ_07651, APOSJ_07650, APOSJ_07653, APOSJ_07654, APOSJ_13441, APOSJ_11553, APOSJ_07655, APOSJ_07652, APOSJ_12441, APOSJ_12440, APOSJ_22342, APOSJ_56300, APOSJ_56301, APOSJ_56298, APOSJ_56299
OG0000068	ASTMX22587	APOSJ_18613
OG0000070	ASTMX03868, ASTMX11850	APOSJ_54993
OG0000070	ASTMX17316, ASTMX02948	APOSJ_32199, APOSJ_32200, APOSJ_19014, APOSJ_41483, APOSJ_41485, APOSJ_41484, APOSJ_45156, APOSJ_39050, APOSJ_15810, APOSJ_02571, APOSJ_07700, APOSJ_07702, APOSJ_07701
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	APOSJ_38815, APOSJ_48482
OG0000072	ASTMX11250, ASTMX11618	APOSJ_48834, APOSJ_48835, APOSJ_48833
OG0000073	ASTMX01961	APOSJ_38490, APOSJ_38489
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	APOSJ_13143
OG0000074	ASTMX12476	APOSJ_54927, APOSJ_51986, APOSJ_40639, APOSJ_38988, APOSJ_51984, APOSJ_54925
OG0000074	ASTMX07079, ASTMX08304	APOSJ_06601, APOSJ_29080, APOSJ_29087, APOSJ_64653, APOSJ_20688, APOSJ_48776, APOSJ_18171, APOSJ_07443, APOSJ_11506
OG0000075	ASTMX13833, ASTMX15058	APOSJ_20337, APOSJ_34520, APOSJ_34522, APOSJ_34524, APOSJ_34523, APOSJ_34521, APOSJ_34519, APOSJ_20338, APOSJ_34518, APOSJ_17256
OG0000075	ASTMX17154	APOSJ_40363, APOSJ_40364, APOSJ_40365, APOSJ_40366, APOSJ_40367, APOSJ_40368
OG0000075	ASTMX04760	APOSJ_54695, APOSJ_54693
