Orthogroup	ASTMX	CAEEL
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	ASTMX00540	CAEEL18647
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	CAEEL15403
OG0000020	ASTMX17320	CAEEL00627
OG0000020	ASTMX05243, ASTMX04710, ASTMX22736	CAEEL05927
OG0000020	ASTMX07754	CAEEL13362
OG0000020	ASTMX13875	CAEEL09273
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	CAEEL15603
OG0000021	ASTMX02310, ASTMX16342	CAEEL00422
OG0000021	ASTMX21461, ASTMX05545	CAEEL00784, CAEEL15377
OG0000023	ASTMX02982	CAEEL16517, CAEEL15627
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	CAEEL13426
OG0000027	ASTMX01680	CAEEL17825
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	CAEEL20612
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	ASTMX01510	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	ASTMX03913	CAEEL17953
OG0000031	ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712	CAEEL02023
OG0000031	ASTMX06525, ASTMX05128	CAEEL04718
OG0000031	ASTMX03912, ASTMX00105	CAEEL07076
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	CAEEL19615
OG0000032	ASTMX06705	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	CAEEL07900
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	CAEEL13037
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	CAEEL01132
OG0000034	ASTMX12428, ASTMX02190	CAEEL03140, CAEEL03141
OG0000035	ASTMX17732	CAEEL01943
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	ASTMX01338, ASTMX03570	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	CAEEL17629, CAEEL17628
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	CAEEL03654, CAEEL20275
OG0000037	ASTMX03275	CAEEL09012, CAEEL08645
OG0000038	ASTMX12685, ASTMX17002	CAEEL07106
OG0000039	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593	CAEEL01773
OG0000039	ASTMX10108, ASTMX07819	CAEEL18993
OG0000041	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919	CAEEL19747
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	CAEEL05494
OG0000041	ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	ASTMX17555, ASTMX11110	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	CAEEL02028
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	CAEEL19631
OG0000049	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	CAEEL10349
OG0000050	ASTMX16561	CAEEL08906
OG0000051	ASTMX02511	CAEEL09464
OG0000054	ASTMX04679	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	ASTMX11170, ASTMX19413, ASTMX22616	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	CAEEL05273
OG0000058	ASTMX10002	CAEEL06550
OG0000058	ASTMX04977, ASTMX07660	CAEEL09297
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	CAEEL08422
OG0000062	ASTMX01260	CAEEL02955
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	CAEEL05773
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	CAEEL04400
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243
OG0000066	ASTMX01776	CAEEL20109
OG0000068	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	CAEEL09504
OG0000068	ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308	CAEEL06439
OG0000070	ASTMX10727	CAEEL07192
OG0000070	ASTMX14684, ASTMX17327, ASTMX15136, ASTMX13592, ASTMX00211	CAEEL06499
OG0000071	ASTMX03820	CAEEL07848, CAEEL20562, CAEEL18107
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	CAEEL07368
OG0000073	ASTMX22931	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725
OG0000073	ASTMX01961	CAEEL07620
OG0000075	ASTMX10641, ASTMX00718	CAEEL03008
OG0000075	ASTMX12953, ASTMX02098	CAEEL11367
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441, ASTMX07134	CAEEL11291
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112	CAEEL01559
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	CAEEL18883
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	CAEEL06904
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	CAEEL18822
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	CAEEL07248
OG0000082	ASTMX06917	CAEEL18954, CAEEL04897
OG0000082	ASTMX17888	CAEEL13927
OG0000082	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980	CAEEL12687
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	CAEEL10610, CAEEL18185
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	CAEEL08514, CAEEL10452
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	CAEEL06909
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	CAEEL07542
OG0000085	ASTMX19538	CAEEL03085
OG0000085	ASTMX21189, ASTMX20129	CAEEL08077
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	CAEEL18451
OG0000090	ASTMX12258, ASTMX10648	CAEEL10114
OG0000091	ASTMX03395	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359
OG0000094	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	CAEEL10719
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392	CAEEL18425
OG0000095	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008	CAEEL03536
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	CAEEL16555
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	CAEEL11088
OG0000096	ASTMX18278, ASTMX15892	CAEEL08533
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	CAEEL11776
OG0000096	ASTMX19590, ASTMX07352	CAEEL06051
OG0000096	ASTMX10423, ASTMX12959	CAEEL07422
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	CAEEL11671, CAEEL01601, CAEEL11678
OG0000099	ASTMX03763, ASTMX18144, ASTMX01173, ASTMX06084, ASTMX05845, ASTMX03961, ASTMX16578, ASTMX21430	CAEEL07999, CAEEL08340
OG0000099	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	CAEEL05000, CAEEL01295
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	CAEEL01469, CAEEL18445
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	CAEEL04070
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448, ASTMX19420, ASTMX03728, ASTMX07045, ASTMX00149, ASTMX00709, ASTMX16073, ASTMX16718	CAEEL18800
OG0000106	ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462	CAEEL19130, CAEEL20701
OG0000110	ASTMX08508	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689
OG0000111	ASTMX13149, ASTMX20227, ASTMX15405, ASTMX16130, ASTMX21238, ASTMX08100, ASTMX17987, ASTMX03191, ASTMX01125, ASTMX04817, ASTMX06690, ASTMX11733, ASTMX20650, ASTMX07484, ASTMX16738, ASTMX10939, ASTMX06691	CAEEL20845
OG0000113	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	CAEEL18136
OG0000114	ASTMX20865	CAEEL15245, CAEEL11468
OG0000116	ASTMX01410	CAEEL14875
OG0000117	ASTMX02057	CAEEL20521
OG0000117	ASTMX21753	CAEEL15828
OG0000117	ASTMX14023	CAEEL07433
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	CAEEL08480
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	CAEEL08396
OG0000120	ASTMX00463	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000122	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	CAEEL01544
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	CAEEL19897
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	CAEEL04963
OG0000124	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824	CAEEL15384, CAEEL15382
OG0000126	ASTMX18095, ASTMX08006, ASTMX06040	CAEEL08841, CAEEL04611
OG0000126	ASTMX06187, ASTMX17244	CAEEL09101
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	CAEEL10194
OG0000127	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500	CAEEL19207
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	CAEEL20452
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	CAEEL00838
OG0000128	ASTMX05854	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187
OG0000129	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614	CAEEL12325
OG0000129	ASTMX21316, ASTMX21317	CAEEL08188
OG0000131	ASTMX16327	CAEEL08663
OG0000132	ASTMX09702	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	ASTMX04665	CAEEL18416, CAEEL11601
OG0000137	ASTMX10792, ASTMX08181	CAEEL10559
OG0000142	ASTMX02569, ASTMX02645	CAEEL19259
OG0000142	ASTMX21325	CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	ASTMX03135, ASTMX08761, ASTMX04795	CAEEL04811
OG0000147	ASTMX01265, ASTMX04843	CAEEL18488
OG0000148	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929	CAEEL09804
OG0000149	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364	CAEEL02847
OG0000149	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915	CAEEL15543, CAEEL15991, CAEEL08694
OG0000154	ASTMX08823	CAEEL02932
OG0000155	ASTMX08087, ASTMX14831, ASTMX13520, ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957
OG0000157	ASTMX15736, ASTMX02435, ASTMX11937	CAEEL00241
OG0000157	ASTMX10886	CAEEL01390
OG0000158	ASTMX02401, ASTMX13165, ASTMX06541, ASTMX11567, ASTMX11566, ASTMX06538, ASTMX11564, ASTMX11565, ASTMX06921, ASTMX06542, ASTMX02399, ASTMX06540, ASTMX15812, ASTMX02400, ASTMX22944, ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735	CAEEL20117, CAEEL08684
OG0000158	ASTMX12179	CAEEL06141
OG0000159	ASTMX12753	CAEEL19486
OG0000159	ASTMX03645, ASTMX21390	CAEEL02031
OG0000159	ASTMX06913, ASTMX03301, ASTMX16138, ASTMX16710	CAEEL05281
OG0000160	ASTMX12091, ASTMX15798, ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159	CAEEL08313
OG0000163	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308, ASTMX21793	CAEEL20194, CAEEL08850
OG0000165	ASTMX10291, ASTMX01103, ASTMX16431, ASTMX06958, ASTMX01736, ASTMX21744, ASTMX19262, ASTMX02865, ASTMX12138, ASTMX08781, ASTMX06983, ASTMX14824, ASTMX21351, ASTMX04334, ASTMX09529	CAEEL07846
OG0000167	ASTMX20835, ASTMX12921	CAEEL00196
OG0000168	ASTMX02932, ASTMX22163, ASTMX22493, ASTMX15962, ASTMX06474, ASTMX02912, ASTMX16677, ASTMX20444, ASTMX05829, ASTMX22396, ASTMX20795	CAEEL19018
OG0000169	ASTMX22905	CAEEL15798
OG0000173	ASTMX22989, ASTMX16292, ASTMX05262, ASTMX06798, ASTMX16925, ASTMX20806, ASTMX11171, ASTMX06509, ASTMX18128, ASTMX05261, ASTMX05260, ASTMX18597, ASTMX12773, ASTMX03201, ASTMX16788, ASTMX16293, ASTMX09049, ASTMX07537, ASTMX04181, ASTMX05259, ASTMX00713, ASTMX01037, ASTMX05223, ASTMX10462, ASTMX03643, ASTMX09920	CAEEL04156
OG0000174	ASTMX14035	CAEEL12711
OG0000174	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671	CAEEL09479
OG0000175	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451	CAEEL13640
OG0000179	ASTMX13630, ASTMX02170	CAEEL02965, CAEEL06713
OG0000179	ASTMX14866, ASTMX00492, ASTMX06209	CAEEL19466, CAEEL07193
OG0000180	ASTMX05023	CAEEL03002, CAEEL02981, CAEEL03753
OG0000181	ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806	CAEEL07684
OG0000181	ASTMX02628, ASTMX03065	CAEEL10858
OG0000181	ASTMX07281, ASTMX11712, ASTMX06485	CAEEL10772
OG0000181	ASTMX09488	CAEEL12632
OG0000183	ASTMX10680, ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505	CAEEL18435
OG0000184	ASTMX12437, ASTMX12438	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000185	ASTMX03539, ASTMX09726, ASTMX15810, ASTMX01652	CAEEL14200
OG0000186	ASTMX18771	CAEEL04404, CAEEL00795, CAEEL05654
OG0000188	ASTMX17563, ASTMX09974, ASTMX22080	CAEEL20699
OG0000193	ASTMX20971, ASTMX11214, ASTMX09632, ASTMX05862, ASTMX20972, ASTMX06947, ASTMX14897, ASTMX03474, ASTMX13316, ASTMX19987	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079
OG0000194	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000197	ASTMX14222, ASTMX13243, ASTMX19993	CAEEL04387
OG0000197	ASTMX04274, ASTMX00851, ASTMX10141	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	ASTMX21468, ASTMX05049, ASTMX19231, ASTMX14686	CAEEL03057, CAEEL05629, CAEEL09718
OG0000201	ASTMX16364, ASTMX16005, ASTMX04412, ASTMX17973, ASTMX12848	CAEEL07587
OG0000202	ASTMX12677, ASTMX14453, ASTMX09955, ASTMX19428, ASTMX05837, ASTMX07752, ASTMX02721, ASTMX17241, ASTMX18862, ASTMX09691, ASTMX06807	CAEEL20283
OG0000203	ASTMX05697, ASTMX05660, ASTMX08043, ASTMX20187, ASTMX06010, ASTMX05240, ASTMX05701, ASTMX05700, ASTMX19932, ASTMX11805, ASTMX19931, ASTMX05273, ASTMX00753	CAEEL09812
OG0000205	ASTMX13522, ASTMX10816, ASTMX16114, ASTMX14153, ASTMX22625	CAEEL13029
OG0000205	ASTMX20510, ASTMX07381, ASTMX02305, ASTMX10670, ASTMX05423, ASTMX14679	CAEEL07272, CAEEL07274, CAEEL07273
OG0000207	ASTMX11086, ASTMX18027, ASTMX11639, ASTMX13861, ASTMX20482, ASTMX19782, ASTMX06362	CAEEL05874, CAEEL00203
OG0000209	ASTMX21724	CAEEL07432
OG0000210	ASTMX16896	CAEEL19469
OG0000211	ASTMX02506	CAEEL15290
OG0000211	ASTMX08965	CAEEL01111, CAEEL01112
OG0000211	ASTMX00388, ASTMX07887	CAEEL02311
OG0000215	ASTMX09309, ASTMX14457	CAEEL10179, CAEEL11490, CAEEL11487, CAEEL11489, CAEEL10284, CAEEL15289
OG0000218	ASTMX14255, ASTMX06375	CAEEL07824, CAEEL20213
OG0000220	ASTMX14009, ASTMX14010, ASTMX09978, ASTMX02750, ASTMX13093, ASTMX15732	CAEEL07565, CAEEL08758
OG0000221	ASTMX13257, ASTMX12726, ASTMX08699, ASTMX18546, ASTMX17261, ASTMX17047	CAEEL10747
OG0000221	ASTMX00084, ASTMX22683, ASTMX10185	CAEEL06648
OG0000223	ASTMX15854	CAEEL01621, CAEEL00892
OG0000225	ASTMX16084, ASTMX16085, ASTMX16083, ASTMX11790, ASTMX09442, ASTMX17744, ASTMX14393, ASTMX04772, ASTMX20768, ASTMX04717	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	ASTMX03292	CAEEL12318
OG0000226	ASTMX10407	CAEEL10068, CAEEL15041
OG0000227	ASTMX14934, ASTMX14933, ASTMX18558, ASTMX02672, ASTMX19343, ASTMX10190, ASTMX21887, ASTMX17511, ASTMX21030, ASTMX00467, ASTMX17802, ASTMX07384, ASTMX15014, ASTMX15013, ASTMX08655, ASTMX14981, ASTMX11122, ASTMX17731	CAEEL19645
OG0000229	ASTMX14119, ASTMX05743, ASTMX07950	CAEEL06197, CAEEL17603, CAEEL13012, CAEEL06557, CAEEL18948, CAEEL14398, CAEEL00944, CAEEL00539, CAEEL02569, CAEEL04344, CAEEL20487, CAEEL15045, CAEEL08855, CAEEL08478
OG0000230	ASTMX01329	CAEEL14845, CAEEL19792
