Orthogroup	ASTMX	XENTR
OG0000014	ASTMX03213, ASTMX07656	XENTR09521
OG0000014	ASTMX03251, ASTMX15832	XENTR18803, XENTR09297
OG0000014	ASTMX12908	XENTR09147
OG0000014	ASTMX11632	XENTR00681
OG0000014	ASTMX01423, ASTMX16397	XENTR14500
OG0000015	ASTMX21958, ASTMX03764	XENTR05642
OG0000015	ASTMX01476, ASTMX13504	XENTR10336, XENTR08668
OG0000015	ASTMX02112	XENTR08442
OG0000015	ASTMX15417, ASTMX08007	XENTR15573
OG0000015	ASTMX15203	XENTR12597
OG0000015	ASTMX18097	XENTR03461
OG0000015	ASTMX09926, ASTMX15220	XENTR14250
OG0000015	ASTMX09927	XENTR15058
OG0000015	ASTMX13993, ASTMX07947	XENTR02840
OG0000015	ASTMX18335	XENTR16072
OG0000015	ASTMX18099, ASTMX04658	XENTR03462
OG0000015	ASTMX18334	XENTR16073
OG0000015	ASTMX04125	XENTR12596
OG0000015	ASTMX06038	XENTR00414
OG0000015	ASTMX08008, ASTMX04657, ASTMX18333	XENTR17914
OG0000015	ASTMX00011	XENTR13566
OG0000015	ASTMX18288	XENTR03288
OG0000015	ASTMX04727	XENTR15069
OG0000016	ASTMX11482	XENTR10586
OG0000016	ASTMX09207	XENTR06233
OG0000016	ASTMX17817	XENTR01362
OG0000016	ASTMX17818, ASTMX05407	XENTR01363
OG0000016	ASTMX11675	XENTR07382
OG0000016	ASTMX17393	XENTR09539, XENTR00630
OG0000016	ASTMX00540	XENTR12717
OG0000016	ASTMX02874	XENTR17802
OG0000016	ASTMX20114	XENTR18390
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	XENTR19110, XENTR19228, XENTR16288, XENTR15347, XENTR15469
OG0000019	ASTMX14084, ASTMX03976, ASTMX18923	XENTR14707
OG0000019	ASTMX14832	XENTR02749
OG0000019	ASTMX15190, ASTMX17156	XENTR04194
OG0000020	ASTMX12654	XENTR09200
OG0000020	ASTMX04834	XENTR18565
OG0000020	ASTMX12285	XENTR14576
OG0000020	ASTMX15062	XENTR00311
OG0000020	ASTMX14060	XENTR13299
OG0000020	ASTMX00875, ASTMX06734	XENTR15741
OG0000020	ASTMX14107, ASTMX08186	XENTR07596
OG0000020	ASTMX17613	XENTR04090
OG0000020	ASTMX00490, ASTMX12696	XENTR05411
OG0000020	ASTMX03725	XENTR15461
OG0000020	ASTMX07958, ASTMX18318	XENTR03248
OG0000020	ASTMX16689	XENTR03249
OG0000020	ASTMX17320	XENTR04697
OG0000020	ASTMX04750	XENTR07864
OG0000020	ASTMX21042	XENTR11783
OG0000020	ASTMX05243	XENTR08063
OG0000020	ASTMX07754	XENTR15846
OG0000020	ASTMX13875	XENTR15636
OG0000021	ASTMX05285, ASTMX16996	XENTR17791
OG0000021	ASTMX01998	XENTR16377
OG0000021	ASTMX04046	XENTR06809
OG0000021	ASTMX15305	XENTR02794
OG0000021	ASTMX00802, ASTMX04036	XENTR11123
OG0000021	ASTMX15788, ASTMX05284	XENTR16378
OG0000021	ASTMX00201	XENTR12641
OG0000021	ASTMX09085	XENTR02936
OG0000021	ASTMX02310	XENTR18096
OG0000021	ASTMX16342	XENTR01150
OG0000021	ASTMX21461	XENTR13705
OG0000021	ASTMX05545	XENTR13394, XENTR13393
OG0000021	ASTMX13864	XENTR00007
OG0000021	ASTMX09336	XENTR13780, XENTR17333
OG0000023	ASTMX18896	XENTR13173, XENTR18800
OG0000023	ASTMX07788	XENTR00841
OG0000023	ASTMX10048, ASTMX07031	XENTR15918
OG0000023	ASTMX08985	XENTR00481
OG0000023	ASTMX18700	XENTR16829
OG0000023	ASTMX14127, ASTMX07394	XENTR12543
OG0000023	ASTMX07336, ASTMX04478	XENTR17774
OG0000023	ASTMX03414	XENTR00784
OG0000023	ASTMX11687	XENTR04037
OG0000023	ASTMX14286, ASTMX19623	XENTR05209, XENTR05210
OG0000023	ASTMX02981	XENTR05767, XENTR05768
OG0000023	ASTMX04385, ASTMX04386	XENTR05773
OG0000023	ASTMX11217	XENTR05778
OG0000023	ASTMX00199	XENTR12643
OG0000023	ASTMX01795	XENTR01709, XENTR01708
OG0000026	ASTMX12978	XENTR07244
OG0000027	ASTMX01705	XENTR03739
OG0000027	ASTMX01846, ASTMX01847, ASTMX11673	XENTR10928, XENTR05419, XENTR05696, XENTR05695
OG0000027	ASTMX14527, ASTMX14528	XENTR11166, XENTR14623
OG0000027	ASTMX17505, ASTMX05220	XENTR17763, XENTR19186, XENTR19205, XENTR15608, XENTR17760, XENTR17761, XENTR17759, XENTR18667, XENTR19288
OG0000027	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	XENTR11639, XENTR18028, XENTR18027, XENTR18029
OG0000027	ASTMX01680	XENTR00202, XENTR00203, XENTR00210, XENTR00209, XENTR00204, XENTR00208
OG0000028	ASTMX11297, ASTMX12202	XENTR17263
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164	XENTR18279
OG0000028	ASTMX21506	XENTR05325
OG0000028	ASTMX21505	XENTR05326
OG0000028	ASTMX21832	XENTR17548
OG0000028	ASTMX08169, ASTMX10814	XENTR15539
OG0000028	ASTMX02886	XENTR18293
OG0000028	ASTMX14890, ASTMX22400	XENTR17549
OG0000028	ASTMX17696, ASTMX05417	XENTR05379, XENTR05378
OG0000028	ASTMX01721, ASTMX15155	XENTR10277
OG0000029	ASTMX02055	XENTR07438, XENTR16899
OG0000029	ASTMX06262	XENTR09562
OG0000029	ASTMX11166	XENTR09646
OG0000029	ASTMX03267, ASTMX11576	XENTR13058
OG0000029	ASTMX22545	XENTR12335
OG0000029	ASTMX19971	XENTR11755
OG0000029	ASTMX06514, ASTMX07156	XENTR10534
OG0000029	ASTMX12065	XENTR08766
OG0000029	ASTMX02396	XENTR01288
OG0000029	ASTMX13116	XENTR01283
OG0000029	ASTMX01708	XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	ASTMX06934	XENTR08639
OG0000030	ASTMX13784, ASTMX06816	XENTR18219
OG0000030	ASTMX02378, ASTMX18821	XENTR14147
OG0000030	ASTMX13717	XENTR14281
OG0000030	ASTMX04112, ASTMX02697	XENTR00656
OG0000030	ASTMX07740, ASTMX14326	XENTR05598
OG0000030	ASTMX01510	XENTR12816
OG0000031	ASTMX05563	XENTR15116
OG0000031	ASTMX03913	XENTR12583
OG0000031	ASTMX08659	XENTR05405
OG0000031	ASTMX04771	XENTR03766
OG0000031	ASTMX01055	XENTR08553
OG0000031	ASTMX17701	XENTR05384
OG0000031	ASTMX18426, ASTMX12571	XENTR03164
OG0000031	ASTMX22712	XENTR10836
OG0000031	ASTMX12572	XENTR03163
OG0000031	ASTMX05128	XENTR09319
OG0000031	ASTMX18163	XENTR06988
OG0000031	ASTMX09693, ASTMX17541	XENTR00229
OG0000031	ASTMX00710	XENTR02595
OG0000031	ASTMX03912	XENTR12584
OG0000031	ASTMX00105	XENTR00918
OG0000031	ASTMX13865	XENTR00006
OG0000031	ASTMX02854, ASTMX20534	XENTR16792
OG0000031	ASTMX14725	XENTR04300
OG0000031	ASTMX04176	XENTR00917
OG0000031	ASTMX13001, ASTMX20334	XENTR09425
OG0000032	ASTMX08687, ASTMX18764	XENTR06599
OG0000032	ASTMX19317	XENTR18392
OG0000032	ASTMX01991	XENTR18393
OG0000032	ASTMX08768	XENTR06098
OG0000032	ASTMX09018	XENTR03124
OG0000032	ASTMX06705	XENTR17016
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636	XENTR14967
OG0000034	ASTMX05967, ASTMX21201	XENTR08246
OG0000034	ASTMX03519	XENTR04943
OG0000034	ASTMX17020	XENTR11418, XENTR11419
OG0000034	ASTMX02547, ASTMX01081	XENTR10883
OG0000034	ASTMX20715, ASTMX17446	XENTR07417
OG0000034	ASTMX22336, ASTMX07448	XENTR01252
OG0000034	ASTMX16123, ASTMX02622	XENTR11199, XENTR07072
OG0000034	ASTMX00372	XENTR12065
OG0000034	ASTMX07013	XENTR15456
OG0000034	ASTMX12428, ASTMX02190	XENTR10156
OG0000034	ASTMX01548	XENTR16254
OG0000034	ASTMX02136	XENTR08340
OG0000034	ASTMX10911	XENTR11637
OG0000035	ASTMX17732	XENTR05239
OG0000035	ASTMX22713	XENTR05079
OG0000035	ASTMX21245	XENTR05317, XENTR05866, XENTR05867
OG0000035	ASTMX00613, ASTMX06338	XENTR07648
OG0000035	ASTMX07340	XENTR14129
OG0000035	ASTMX07227, ASTMX07114	XENTR11799
OG0000035	ASTMX00989, ASTMX19852	XENTR11381, XENTR11382
OG0000035	ASTMX00242	XENTR12076
OG0000035	ASTMX02614, ASTMX08545	XENTR01605
OG0000035	ASTMX15322	XENTR09858
OG0000035	ASTMX15321, ASTMX20966	XENTR13293, XENTR09857
OG0000036	ASTMX05584	XENTR16945
OG0000036	ASTMX18592	XENTR07761
OG0000036	ASTMX10059, ASTMX16974	XENTR12415
OG0000036	ASTMX00596, ASTMX03566	XENTR07272
OG0000036	ASTMX18312	XENTR01038
OG0000036	ASTMX10284	XENTR15969
OG0000036	ASTMX01338	XENTR05174
OG0000036	ASTMX03570	XENTR07278
OG0000037	ASTMX04826	XENTR16595
OG0000037	ASTMX04827, ASTMX08066, ASTMX04828	XENTR17072
OG0000037	ASTMX18303	XENTR05552
OG0000037	ASTMX08083, ASTMX01399	XENTR03023
OG0000037	ASTMX03952, ASTMX04639	XENTR14114
OG0000037	ASTMX01500, ASTMX15266	XENTR16580
OG0000037	ASTMX06313	XENTR14770
OG0000037	ASTMX15913	XENTR10865
OG0000037	ASTMX19727, ASTMX16533	XENTR10696
OG0000037	ASTMX03275	XENTR18131
OG0000038	ASTMX12552, ASTMX04170	XENTR18690, XENTR00755, XENTR00754
OG0000038	ASTMX14059	XENTR13297
OG0000038	ASTMX05291	XENTR04197, XENTR04200
OG0000038	ASTMX12685, ASTMX17002	XENTR04206
OG0000039	ASTMX03851	XENTR03946
OG0000039	ASTMX16971	XENTR17227
OG0000039	ASTMX14711	XENTR01241, XENTR01240, XENTR01239, XENTR01242
OG0000039	ASTMX10108, ASTMX07819	XENTR17697
OG0000040	ASTMX07215	XENTR14058
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	ASTMX15974	XENTR16713
OG0000041	ASTMX00243, ASTMX02219	XENTR17286
OG0000041	ASTMX19274	XENTR13662
OG0000041	ASTMX15919	XENTR02569
OG0000041	ASTMX19739, ASTMX18949	XENTR12683
OG0000041	ASTMX00985, ASTMX20382	XENTR11379
OG0000041	ASTMX00986, ASTMX20384	XENTR11378
OG0000041	ASTMX19436, ASTMX18640	XENTR01609
OG0000041	ASTMX00987	XENTR11377
OG0000041	ASTMX18639	XENTR01610
OG0000041	ASTMX00232	XENTR10042
OG0000041	ASTMX00945, ASTMX01024	XENTR03001
OG0000041	ASTMX08027, ASTMX12746	XENTR09331
OG0000041	ASTMX04559	XENTR13929
OG0000041	ASTMX04569	XENTR05159
OG0000041	ASTMX18276	XENTR10869
OG0000042	ASTMX00117	XENTR01504
OG0000042	ASTMX11615	XENTR15510, XENTR10643, XENTR01537, XENTR16342, XENTR16340, XENTR16341, XENTR15423, XENTR15424
OG0000043	ASTMX12801	XENTR06023, XENTR06022
OG0000043	ASTMX22617	XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664
OG0000043	ASTMX09533	XENTR13561, XENTR13559
OG0000044	ASTMX03900	XENTR08740
OG0000044	ASTMX14800	XENTR08871
OG0000044	ASTMX17272	XENTR02238
OG0000044	ASTMX12948	XENTR13100
OG0000044	ASTMX20812	XENTR01628
OG0000044	ASTMX22549, ASTMX06174	XENTR04385
OG0000044	ASTMX11109	XENTR00688
OG0000044	ASTMX06176	XENTR04387
OG0000044	ASTMX07618	XENTR04256
OG0000045	ASTMX15522, ASTMX03419	XENTR14513
OG0000045	ASTMX10022, ASTMX03368	XENTR06990
OG0000046	ASTMX22281	XENTR04959
OG0000046	ASTMX12308	XENTR03550, XENTR03551
OG0000046	ASTMX11629	XENTR11781, XENTR11780
OG0000046	ASTMX06852	XENTR17457, XENTR17456, XENTR17458, XENTR16941
OG0000046	ASTMX11904, ASTMX11903, ASTMX12229	XENTR17142
OG0000046	ASTMX06773	XENTR08235, XENTR05674
OG0000046	ASTMX12983, ASTMX09167	XENTR16277
OG0000048	ASTMX04189	XENTR03701
OG0000048	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416	XENTR11111
OG0000048	ASTMX13714	XENTR01169
OG0000048	ASTMX03384	XENTR18412
OG0000048	ASTMX15600	XENTR04117
OG0000048	ASTMX04570	XENTR05160
OG0000049	ASTMX10248, ASTMX08138	XENTR00212
OG0000049	ASTMX03713, ASTMX05857	XENTR08482
OG0000049	ASTMX00928, ASTMX08370	XENTR07031
OG0000049	ASTMX07196	XENTR06401
OG0000049	ASTMX04011, ASTMX18609	XENTR18684
OG0000049	ASTMX00786	XENTR07961
OG0000049	ASTMX20103	XENTR13015
OG0000050	ASTMX16561	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104
OG0000053	ASTMX12784	XENTR00094
OG0000054	ASTMX04679	XENTR04962, XENTR04961
OG0000054	ASTMX05759	XENTR00035, XENTR00034, XENTR00033, XENTR00032
OG0000055	ASTMX11170, ASTMX19413	XENTR18833
OG0000055	ASTMX22616	XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084
OG0000056	ASTMX02364	XENTR00422
OG0000056	ASTMX17902	XENTR06505
OG0000056	ASTMX14177	XENTR06506
OG0000056	ASTMX18310	XENTR00781
OG0000057	ASTMX16761	XENTR04236
OG0000057	ASTMX17228, ASTMX14491	XENTR01413, XENTR01414
OG0000057	ASTMX18685, ASTMX11838	XENTR03679
OG0000058	ASTMX10002	XENTR11839
OG0000058	ASTMX04977, ASTMX07660	XENTR16220
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630	XENTR16040
OG0000058	ASTMX08080	XENTR02416
OG0000058	ASTMX12315	XENTR13842
OG0000059	ASTMX11234	XENTR13190
OG0000059	ASTMX20918	XENTR09381
OG0000059	ASTMX08000	XENTR16370
OG0000059	ASTMX09334, ASTMX11300	XENTR15475
OG0000060	ASTMX04292, ASTMX07603	XENTR09513
OG0000060	ASTMX21094, ASTMX10197	XENTR11489
OG0000060	ASTMX00445	XENTR04114
OG0000060	ASTMX07264	XENTR08957
OG0000061	ASTMX00680, ASTMX05396	XENTR00116
OG0000061	ASTMX12006	XENTR05367
OG0000061	ASTMX10422, ASTMX12960	XENTR09403
OG0000061	ASTMX20513	XENTR06949, XENTR06950
OG0000061	ASTMX13746	XENTR12872
OG0000061	ASTMX21095, ASTMX14165	XENTR09801
OG0000061	ASTMX02316	XENTR02075
OG0000061	ASTMX11665	XENTR09112
OG0000061	ASTMX06207, ASTMX18339	XENTR16336
OG0000061	ASTMX05474, ASTMX04490, ASTMX01934	XENTR06851
OG0000061	ASTMX05473	XENTR10614
OG0000061	ASTMX15449	XENTR06288
OG0000061	ASTMX18729	XENTR10609
OG0000061	ASTMX15987	XENTR10747
OG0000062	ASTMX03300	XENTR06154
OG0000062	ASTMX18474, ASTMX18479	XENTR13824
OG0000062	ASTMX11236, ASTMX20466	XENTR15531
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496
OG0000062	ASTMX01260	XENTR09512
OG0000063	ASTMX13776, ASTMX04927	XENTR10234
OG0000063	ASTMX01608, ASTMX01645	XENTR04709
OG0000063	ASTMX00504, ASTMX10324	XENTR00319
OG0000063	ASTMX11259, ASTMX01032	XENTR11311
OG0000063	ASTMX13777	XENTR04708
OG0000063	ASTMX10350	XENTR08048
OG0000063	ASTMX13375, ASTMX12584	XENTR02007
OG0000065	ASTMX13708, ASTMX15083	XENTR16407
OG0000065	ASTMX08041	XENTR13484
OG0000065	ASTMX15226	XENTR05900
OG0000065	ASTMX12818, ASTMX13454	XENTR10167, XENTR16118, XENTR16117, XENTR10166, XENTR11635, XENTR11636, XENTR11634
OG0000066	ASTMX01776	XENTR18882
OG0000067	ASTMX19815	XENTR14086
OG0000067	ASTMX00316, ASTMX18001	XENTR13783
OG0000067	ASTMX19454	XENTR04874
OG0000068	ASTMX10880	XENTR00752
OG0000068	ASTMX04048	XENTR17205
OG0000068	ASTMX00964, ASTMX17789	XENTR10995
OG0000068	ASTMX09217, ASTMX10879	XENTR11373
OG0000068	ASTMX04017	XENTR06812
OG0000068	ASTMX02175, ASTMX13274	XENTR01321
OG0000068	ASTMX19064	XENTR07981
OG0000068	ASTMX03044	XENTR06611
OG0000069	ASTMX20491	XENTR16269
OG0000070	ASTMX03868	XENTR15503
OG0000070	ASTMX11850	XENTR11143
OG0000070	ASTMX14684	XENTR15175
OG0000070	ASTMX17327	XENTR04776, XENTR13746
OG0000070	ASTMX15136, ASTMX13592	XENTR15542
OG0000070	ASTMX17316	XENTR00314, XENTR18775, XENTR18776
OG0000070	ASTMX02948	XENTR05723, XENTR09834
OG0000071	ASTMX18909, ASTMX18910	XENTR09995, XENTR01851
OG0000071	ASTMX10408	XENTR10875
OG0000072	ASTMX14003	XENTR15041
OG0000072	ASTMX14353	XENTR13953
OG0000072	ASTMX18956, ASTMX00286	XENTR03658
OG0000072	ASTMX19895	XENTR03548
OG0000072	ASTMX03692	XENTR18546
OG0000072	ASTMX11618	XENTR01057
OG0000072	ASTMX02462	XENTR13152
OG0000073	ASTMX12734, ASTMX08034	XENTR09344
OG0000073	ASTMX18790	XENTR05966, XENTR05967
OG0000073	ASTMX12735	XENTR09343
OG0000073	ASTMX19270, ASTMX02619	XENTR13665
