Orthogroup	ASTMX	NEMVE
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	NEMVE11138
OG0000001	ASTMX07755, ASTMX07756	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
OG0000002	ASTMX13878, ASTMX20124, ASTMX02317, ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120, ASTMX19248, ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931, ASTMX12464, ASTMX20125	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	ASTMX16763	NEMVE08017
OG0000003	ASTMX04234	NEMVE03659
OG0000003	ASTMX21256	NEMVE11168, NEMVE03140, NEMVE05604
OG0000004	ASTMX09901	NEMVE02712, NEMVE03345
OG0000004	ASTMX13606	NEMVE08317
OG0000004	ASTMX17274	NEMVE10715, NEMVE21151
OG0000004	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273	NEMVE02378
OG0000005	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164	NEMVE06385, NEMVE09580, NEMVE16844, NEMVE02985, NEMVE19855, NEMVE16295, NEMVE17440, NEMVE24809, NEMVE17904, NEMVE20568, NEMVE20848, NEMVE13610, NEMVE05303, NEMVE08028, NEMVE12304, NEMVE02415, NEMVE05424, NEMVE19605, NEMVE10241, NEMVE10242, NEMVE14096, NEMVE02422, NEMVE09859, NEMVE11129, NEMVE14017, NEMVE08023, NEMVE10546, NEMVE03445
OG0000006	ASTMX20216	NEMVE02889
OG0000006	ASTMX00775	NEMVE10951
OG0000006	ASTMX03985, ASTMX00495, ASTMX16379	NEMVE12700, NEMVE08468
OG0000006	ASTMX12191, ASTMX07931	NEMVE10906
OG0000006	ASTMX15917, ASTMX06292, ASTMX15319	NEMVE21901
OG0000006	ASTMX03256, ASTMX09680	NEMVE02590
OG0000006	ASTMX14682, ASTMX19702	NEMVE03392
OG0000006	ASTMX21126, ASTMX03352	NEMVE16957
OG0000006	ASTMX06644	NEMVE02351
OG0000006	ASTMX04941, ASTMX20531, ASTMX03398	NEMVE14647
OG0000006	ASTMX04477, ASTMX07342	NEMVE02879
OG0000006	ASTMX03759, ASTMX02775, ASTMX15412	NEMVE04712
OG0000006	ASTMX14827	NEMVE13538
OG0000006	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265	NEMVE09477, NEMVE18497, NEMVE09475
OG0000006	ASTMX10604	NEMVE08464
OG0000006	ASTMX08947	NEMVE06164
OG0000007	ASTMX14980	NEMVE15003
OG0000007	ASTMX05134, ASTMX21314, ASTMX12498	NEMVE14764
OG0000007	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102	NEMVE13570
OG0000007	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000	NEMVE06210
OG0000007	ASTMX22657, ASTMX04001	NEMVE02350, NEMVE21807
OG0000007	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582	NEMVE09701, NEMVE03333
OG0000007	ASTMX21073, ASTMX16179	NEMVE03816
OG0000007	ASTMX20070, ASTMX22376, ASTMX11119, ASTMX14979, ASTMX11120, ASTMX02564	NEMVE16064
OG0000007	ASTMX18062, ASTMX21262	NEMVE09467
OG0000007	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375	NEMVE03824
OG0000007	ASTMX04966, ASTMX11650	NEMVE09051
OG0000007	ASTMX18779, ASTMX07711	NEMVE03714
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	NEMVE09289
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	NEMVE05677
OG0000008	ASTMX21956, ASTMX05481	NEMVE06079, NEMVE05558
OG0000008	ASTMX13129	NEMVE12766
OG0000008	ASTMX09448, ASTMX03057, ASTMX08319	NEMVE19301, NEMVE04856, NEMVE05897
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209, ASTMX19981	NEMVE11404, NEMVE16450, NEMVE09797, NEMVE11588, NEMVE01697, NEMVE01738, NEMVE21902, NEMVE17711, NEMVE08397, NEMVE01167, NEMVE15739, NEMVE05529, NEMVE01767, NEMVE07660, NEMVE00202, NEMVE10296, NEMVE05146, NEMVE07596, NEMVE01178, NEMVE01192, NEMVE09791
OG0000010	ASTMX18619	NEMVE08421
OG0000010	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	NEMVE08097, NEMVE05663, NEMVE09594, NEMVE01139, NEMVE10384, NEMVE08328, NEMVE12787, NEMVE21978, NEMVE15512, NEMVE00299, NEMVE10065, NEMVE10064, NEMVE11692, NEMVE10063
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041, ASTMX20794	NEMVE10152
OG0000011	ASTMX21233, ASTMX01926, ASTMX21375, ASTMX22962, ASTMX22920, ASTMX22970, ASTMX23073, ASTMX20022, ASTMX23051	NEMVE11104
OG0000012	ASTMX06265	NEMVE09268, NEMVE05547
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702	NEMVE13893, NEMVE05875, NEMVE01242, NEMVE11444, NEMVE23684, NEMVE09508, NEMVE09506, NEMVE08890, NEMVE08262, NEMVE00977
OG0000014	ASTMX12908, ASTMX11632	NEMVE10548, NEMVE12737, NEMVE10549, NEMVE11550, NEMVE11398, NEMVE01819
OG0000015	ASTMX21958, ASTMX03764, ASTMX21759	NEMVE01032, NEMVE12485, NEMVE00817
OG0000015	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097, ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947	NEMVE09590, NEMVE09832, NEMVE01566
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	NEMVE10959
OG0000016	ASTMX17393	NEMVE18985
OG0000016	ASTMX00540	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763
OG0000016	ASTMX02874	NEMVE05675
OG0000016	ASTMX17395	NEMVE01836
OG0000018	ASTMX23058	NEMVE07261
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	NEMVE12742, NEMVE12416
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	NEMVE10489
OG0000020	ASTMX12285	NEMVE05671
OG0000020	ASTMX15062	NEMVE18721
OG0000020	ASTMX14060	NEMVE14242
OG0000020	ASTMX00875, ASTMX06734, ASTMX14107, ASTMX08186, ASTMX17613, ASTMX00490, ASTMX12696, ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689, ASTMX16030, ASTMX16028	NEMVE13317, NEMVE16589, NEMVE10183, NEMVE17621, NEMVE03465, NEMVE14976, NEMVE21956, NEMVE21862
OG0000020	ASTMX17320	NEMVE05506
OG0000020	ASTMX04750, ASTMX21042	NEMVE08770, NEMVE22771
OG0000020	ASTMX05243	NEMVE13577
OG0000020	ASTMX04710, ASTMX22736	NEMVE13307
OG0000020	ASTMX07754	NEMVE21746
OG0000020	ASTMX13875	NEMVE13092
OG0000021	ASTMX00201, ASTMX09085, ASTMX02310, ASTMX16342	NEMVE17642, NEMVE17644, NEMVE21888
OG0000021	ASTMX09645	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	ASTMX21461, ASTMX05545, ASTMX13864, ASTMX09336	NEMVE04837
OG0000023	ASTMX09201	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449
OG0000023	ASTMX18896	NEMVE01882
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	NEMVE02033, NEMVE05058, NEMVE00878
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426, ASTMX21974	NEMVE05736, NEMVE12848
OG0000026	ASTMX06810	NEMVE05956, NEMVE12539, NEMVE05975, NEMVE07911, NEMVE12540, NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	ASTMX12978	NEMVE24164, NEMVE07469
OG0000027	ASTMX01705, ASTMX01846, ASTMX01847, ASTMX11673, ASTMX14527, ASTMX14528, ASTMX17505, ASTMX05220, ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713, ASTMX01680	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	NEMVE01722, NEMVE08343
OG0000030	ASTMX22293	NEMVE02213, NEMVE02794
OG0000030	ASTMX01510	NEMVE06266, NEMVE00220
OG0000031	ASTMX22504	NEMVE00311, NEMVE00632
OG0000031	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	NEMVE02249
OG0000031	ASTMX08659, ASTMX04771	NEMVE01854
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	NEMVE06981
OG0000031	ASTMX22712	NEMVE07223
OG0000031	ASTMX12572	NEMVE01806
OG0000031	ASTMX06525	NEMVE01412
OG0000031	ASTMX09693, ASTMX17541	NEMVE02343
OG0000031	ASTMX00710, ASTMX00969, ASTMX17640	NEMVE04984
OG0000031	ASTMX03912, ASTMX00105	NEMVE07820
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	NEMVE12067
OG0000031	ASTMX00107, ASTMX04176	NEMVE21885
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	NEMVE22486
OG0000034	ASTMX03519	NEMVE07311, NEMVE07285
OG0000034	ASTMX15312	NEMVE03284
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	NEMVE10927
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	NEMVE10961, NEMVE24294
OG0000034	ASTMX12428, ASTMX02190	NEMVE06675, NEMVE11922, NEMVE10845
OG0000034	ASTMX01548	NEMVE05344
OG0000034	ASTMX02136	NEMVE16104, NEMVE09479, NEMVE10924
OG0000034	ASTMX10911	NEMVE25715, NEMVE08797
OG0000035	ASTMX17732	NEMVE23841
OG0000035	ASTMX22713, ASTMX21245	NEMVE22676
OG0000035	ASTMX07147, ASTMX00613, ASTMX06338	NEMVE22226, NEMVE05357, NEMVE02194
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000036	ASTMX01338, ASTMX03570	NEMVE14673, NEMVE17825, NEMVE21872, NEMVE13905, NEMVE22602, NEMVE13688, NEMVE22372
OG0000037	ASTMX04826, ASTMX04827, ASTMX08066, ASTMX04828, ASTMX18303, ASTMX08083, ASTMX01399, ASTMX03952, ASTMX04639, ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313	NEMVE00865, NEMVE01113
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	NEMVE10401
OG0000038	ASTMX12552, ASTMX04170	NEMVE06149
OG0000039	ASTMX03851	NEMVE01371, NEMVE05995
OG0000039	ASTMX16971	NEMVE09831, NEMVE16411, NEMVE04657
OG0000039	ASTMX14711	NEMVE15743
OG0000039	ASTMX10108, ASTMX07819	NEMVE18297, NEMVE18296
OG0000041	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919	NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033
OG0000041	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232	NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746, ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276	NEMVE05295
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109, ASTMX06176	NEMVE05548, NEMVE05555, NEMVE06435, NEMVE06437, NEMVE08743
OG0000044	ASTMX11110	NEMVE16246, NEMVE14588
OG0000045	ASTMX14022	NEMVE24106
OG0000045	ASTMX10022, ASTMX03368	NEMVE00309, NEMVE15224, NEMVE04686
OG0000045	ASTMX16178	NEMVE11131, NEMVE17534, NEMVE17201, NEMVE15169, NEMVE02656, NEMVE08142, NEMVE20592, NEMVE17847
OG0000046	ASTMX22281, ASTMX12308, ASTMX11629, ASTMX06852, ASTMX11904, ASTMX11903, ASTMX12229, ASTMX06773, ASTMX12983, ASTMX09167	NEMVE08905, NEMVE15252
OG0000048	ASTMX04189	NEMVE05567
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600	NEMVE14912
OG0000048	ASTMX04570	NEMVE14024
OG0000048	ASTMX00590	NEMVE15061
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857, ASTMX00928, ASTMX08370, ASTMX07196, ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786	NEMVE19461, NEMVE02399, NEMVE21864
OG0000049	ASTMX20103	NEMVE07661, NEMVE06992, NEMVE00847
OG0000050	ASTMX16561	NEMVE20299, NEMVE17503, NEMVE02458, NEMVE01136, NEMVE20024, NEMVE15194, NEMVE17974
OG0000051	ASTMX02511	NEMVE18951, NEMVE15008
OG0000054	ASTMX04679	NEMVE15086, NEMVE10916
OG0000054	ASTMX05759	NEMVE05466
OG0000056	ASTMX02386	NEMVE11244
OG0000056	ASTMX17742	NEMVE11933
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	NEMVE01724, NEMVE05835, NEMVE01653
OG0000056	ASTMX18310	NEMVE01503, NEMVE04541
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	NEMVE03498, NEMVE03044, NEMVE05190, NEMVE02467, NEMVE05216, NEMVE05223, NEMVE05204, NEMVE05225, NEMVE12328, NEMVE05177, NEMVE05220, NEMVE03446, NEMVE07617, NEMVE07622, NEMVE25939, NEMVE23329, NEMVE05208, NEMVE02722, NEMVE16190
OG0000057	ASTMX11645	NEMVE00466, NEMVE23304, NEMVE06822, NEMVE16838, NEMVE08358
OG0000057	ASTMX18685, ASTMX11838	NEMVE08590, NEMVE08584, NEMVE02970, NEMVE11676
OG0000058	ASTMX10002	NEMVE13151
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960, ASTMX09334, ASTMX11300	NEMVE15315, NEMVE02009, NEMVE06154
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	NEMVE01006, NEMVE11210, NEMVE00908, NEMVE18881, NEMVE00777
OG0000062	ASTMX05024, ASTMX02340, ASTMX02341, ASTMX02343, ASTMX02342	NEMVE10327
OG0000062	ASTMX01260	NEMVE14126
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	NEMVE05614
OG0000063	ASTMX11259, ASTMX01032	NEMVE00961
OG0000063	ASTMX12583	NEMVE18393
OG0000063	ASTMX10350, ASTMX13375, ASTMX12584	NEMVE09684
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	NEMVE02128, NEMVE02142, NEMVE07842, NEMVE11941, NEMVE09169, NEMVE17235, NEMVE07009, NEMVE07010, NEMVE01667, NEMVE07812, NEMVE11483, NEMVE06777, NEMVE05666, NEMVE09396, NEMVE07281, NEMVE13551
OG0000066	ASTMX01776	NEMVE02094, NEMVE00829
OG0000067	ASTMX12120, ASTMX00316, ASTMX18001, ASTMX19454	NEMVE14139, NEMVE14099
OG0000068	ASTMX15456, ASTMX10880, ASTMX04048, ASTMX00964, ASTMX17789, ASTMX11787, ASTMX09217, ASTMX10879, ASTMX10878, ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044, ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308	NEMVE24661, NEMVE20048
OG0000069	ASTMX20491	NEMVE15092
OG0000070	ASTMX03868, ASTMX11850	NEMVE23951, NEMVE09231, NEMVE05946
OG0000070	ASTMX10727	NEMVE06972, NEMVE04610
OG0000071	ASTMX03580, ASTMX03579, ASTMX03578, ASTMX03576, ASTMX03577, ASTMX01732, ASTMX18909, ASTMX18910, ASTMX10408	NEMVE22171
OG0000071	ASTMX03820	NEMVE08129, NEMVE05963
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	NEMVE01460
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	NEMVE07818
OG0000074	ASTMX12476	NEMVE04681
OG0000075	ASTMX13833, ASTMX15058	NEMVE23844
OG0000075	ASTMX04760	NEMVE13100
OG0000075	ASTMX10641, ASTMX00718	NEMVE15115
OG0000075	ASTMX12169, ASTMX18152	NEMVE21913
OG0000075	ASTMX16716, ASTMX04759	NEMVE18051
OG0000075	ASTMX01001, ASTMX08839, ASTMX10263	NEMVE24197
OG0000075	ASTMX12953, ASTMX02098	NEMVE22411
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	NEMVE17771
OG0000075	ASTMX07134	NEMVE07707
OG0000077	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112, ASTMX06199, ASTMX03488, ASTMX12363, ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594, ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084, ASTMX16324, ASTMX07654, ASTMX03210	NEMVE04990
OG0000078	ASTMX02053, ASTMX00440, ASTMX00992, ASTMX08539	NEMVE17207
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	NEMVE07219, NEMVE03189
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	NEMVE08009
OG0000080	ASTMX22762, ASTMX21534, ASTMX03885, ASTMX23043, ASTMX23016	NEMVE06862
OG0000081	ASTMX05086, ASTMX02861, ASTMX19704, ASTMX02860, ASTMX00638, ASTMX14294, ASTMX06157, ASTMX15416, ASTMX09818	NEMVE06228, NEMVE02734, NEMVE09334, NEMVE12527, NEMVE05056
OG0000082	ASTMX06917	NEMVE19066
OG0000082	ASTMX17888	NEMVE05388
OG0000082	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980	NEMVE14867, NEMVE15134
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	NEMVE12859, NEMVE06053, NEMVE08070, NEMVE09935, NEMVE03051, NEMVE02455, NEMVE08434, NEMVE06040, NEMVE03091
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	NEMVE07901
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	NEMVE09794, NEMVE03205
OG0000085	ASTMX08105	NEMVE09840
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	NEMVE07289
OG0000085	ASTMX19538	NEMVE07695, NEMVE08967, NEMVE08972
OG0000085	ASTMX01137, ASTMX09823, ASTMX11049	NEMVE05696
OG0000085	ASTMX21189, ASTMX20129	NEMVE18682, NEMVE18681
OG0000085	ASTMX09759, ASTMX09890, ASTMX10718	NEMVE13608
OG0000086	ASTMX17706, ASTMX09528	NEMVE23431, NEMVE19351
OG0000086	ASTMX23077	NEMVE00122
OG0000086	ASTMX05962	NEMVE07436, NEMVE11600, NEMVE08104, NEMVE10624, NEMVE01074, NEMVE23816, NEMVE18508, NEMVE19950, NEMVE25808
OG0000087	ASTMX06968	NEMVE14074
OG0000087	ASTMX08354, ASTMX08355, ASTMX08356	NEMVE12577
OG0000087	ASTMX08347	NEMVE03741, NEMVE21845
OG0000087	ASTMX17717	NEMVE04646
OG0000087	ASTMX06381	NEMVE02951
OG0000087	ASTMX19474	NEMVE25319
OG0000087	ASTMX17716	NEMVE20307
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	NEMVE24299, NEMVE07906, NEMVE16345, NEMVE14559, NEMVE09565, NEMVE02110
OG0000089	ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	NEMVE15803
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	NEMVE05578
OG0000091	ASTMX03395	NEMVE05463, NEMVE05476, NEMVE13252
OG0000094	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	NEMVE05621
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392	NEMVE03407, NEMVE03409, NEMVE03406
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	NEMVE15121
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	NEMVE14782
OG0000096	ASTMX08845	NEMVE12518, NEMVE12519
OG0000096	ASTMX18278, ASTMX15892	NEMVE22574
OG0000096	ASTMX09859	NEMVE22432
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	NEMVE25573
OG0000096	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959	NEMVE14773
OG0000098	ASTMX07347, ASTMX04481, ASTMX14487, ASTMX14764	NEMVE25900
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	NEMVE07244, NEMVE05378
OG0000100	ASTMX04209	NEMVE02724
OG0000100	ASTMX18651	NEMVE08709, NEMVE08700
OG0000101	ASTMX00206, ASTMX00424, ASTMX01330, ASTMX08413	NEMVE09668, NEMVE18669, NEMVE09674, NEMVE09673, NEMVE09675, NEMVE09670, NEMVE14294, NEMVE01377, NEMVE13283, NEMVE10270, NEMVE14668, NEMVE10030, NEMVE00231, NEMVE06943, NEMVE05036, NEMVE08533
OG0000101	ASTMX14248, ASTMX12706, ASTMX02894	NEMVE18515
OG0000102	ASTMX10991, ASTMX16111	NEMVE01554, NEMVE04730
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	NEMVE06305
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	NEMVE09043
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	NEMVE07990
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	NEMVE01265
OG0000104	ASTMX19420, ASTMX03728, ASTMX07045	NEMVE01905
OG0000104	ASTMX00149	NEMVE06744
OG0000104	ASTMX00709, ASTMX16073	NEMVE00656, NEMVE11959, NEMVE06478, NEMVE02810, NEMVE06126
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	NEMVE07221, NEMVE07805
OG0000106	ASTMX10570, ASTMX00462	NEMVE16024
OG0000107	ASTMX08032	NEMVE21307
OG0000107	ASTMX19414	NEMVE17314, NEMVE09156, NEMVE01768, NEMVE08712
OG0000110	ASTMX08227, ASTMX03691, ASTMX16247	NEMVE00979, NEMVE07027, NEMVE03143, NEMVE24541, NEMVE22920, NEMVE12064, NEMVE15426, NEMVE10514
