Orthogroup	ASTMX	MOUSE
OG0000006	ASTMX16006	MOUSE04696
OG0000007	ASTMX14980	MOUSE09063
OG0000007	ASTMX05134	MOUSE51845
OG0000007	ASTMX12498	MOUSE20686
OG0000007	ASTMX06316	MOUSE42742
OG0000007	ASTMX09513	MOUSE28113, MOUSE28115, MOUSE28114
OG0000007	ASTMX08102	MOUSE07122
OG0000007	ASTMX05483	MOUSE33185
OG0000007	ASTMX17351, ASTMX12390, ASTMX04000	MOUSE10368, MOUSE33510
OG0000007	ASTMX22657	MOUSE32557
OG0000007	ASTMX04001	MOUSE33511
OG0000007	ASTMX22264, ASTMX09321	MOUSE03187
OG0000007	ASTMX14799	MOUSE40199, MOUSE40198
OG0000007	ASTMX12582	MOUSE46807
OG0000007	ASTMX21073, ASTMX16179	MOUSE52320
OG0000007	ASTMX07688	MOUSE38483
OG0000007	ASTMX20070	MOUSE13954
OG0000007	ASTMX22376, ASTMX11119	MOUSE09061
OG0000007	ASTMX14979	MOUSE09062
OG0000007	ASTMX02564	MOUSE49739
OG0000007	ASTMX18062	MOUSE04689
OG0000007	ASTMX21262	MOUSE37388
OG0000007	ASTMX04848	MOUSE07862, MOUSE07863, MOUSE07860
OG0000007	ASTMX06558, ASTMX19375	MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	ASTMX04966	MOUSE38586
OG0000007	ASTMX11650	MOUSE06525
OG0000007	ASTMX18779	MOUSE06204
OG0000007	ASTMX15846	MOUSE33792, MOUSE33790
OG0000007	ASTMX10097	MOUSE41340, MOUSE41339
OG0000007	ASTMX10986	MOUSE07031, MOUSE07030
OG0000008	ASTMX21956	MOUSE17513, MOUSE17514
OG0000008	ASTMX05481	MOUSE33182
OG0000008	ASTMX19133, ASTMX14439	MOUSE03822, MOUSE03823
OG0000008	ASTMX13345, ASTMX11364	MOUSE25728
OG0000008	ASTMX03057	MOUSE35409
OG0000008	ASTMX05709	MOUSE34799
OG0000010	ASTMX18922, ASTMX18921, ASTMX15088	MOUSE14749
OG0000010	ASTMX10678	MOUSE34626
OG0000010	ASTMX08865, ASTMX08864	MOUSE34625, MOUSE34624
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209	MOUSE49605
OG0000010	ASTMX19981	MOUSE49413
OG0000010	ASTMX21265	MOUSE22876
OG0000010	ASTMX02979	MOUSE36610, MOUSE36609
OG0000010	ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076	MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888
OG0000010	ASTMX11060	MOUSE14717
OG0000010	ASTMX06728, ASTMX17688, ASTMX18214	MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	MOUSE08113
OG0000012	ASTMX16492	MOUSE38315, MOUSE38314
OG0000012	ASTMX06265	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000013	ASTMX14510, ASTMX15685, ASTMX16246	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946
OG0000013	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252	MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627
OG0000014	ASTMX02678	MOUSE04189
OG0000014	ASTMX08608, ASTMX07233	MOUSE04186, MOUSE04184, MOUSE04187
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994	MOUSE31054
OG0000014	ASTMX13292	MOUSE02337
OG0000014	ASTMX07733	MOUSE14097
OG0000014	ASTMX16405, ASTMX12634	MOUSE06495
OG0000014	ASTMX17340, ASTMX01557	MOUSE06101, MOUSE06102, MOUSE06100
OG0000014	ASTMX03213, ASTMX07656	MOUSE20912
OG0000014	ASTMX01801	MOUSE31149, MOUSE31150
OG0000014	ASTMX03251, ASTMX15832	MOUSE22789, MOUSE22790, MOUSE00987
OG0000014	ASTMX12908	MOUSE00504
OG0000014	ASTMX11632	MOUSE54686
OG0000014	ASTMX01423, ASTMX16397	MOUSE04190, MOUSE04192, MOUSE05979, MOUSE05978, MOUSE05977, MOUSE05976
OG0000015	ASTMX21958, ASTMX03764	MOUSE30054, MOUSE30055, MOUSE30056
OG0000015	ASTMX01476, ASTMX13504	MOUSE03176
OG0000015	ASTMX02112	MOUSE35079
OG0000015	ASTMX15417, ASTMX08007	MOUSE03220, MOUSE03221
OG0000015	ASTMX15203, ASTMX18097	MOUSE44502, MOUSE44501, MOUSE44500
OG0000015	ASTMX09926, ASTMX15220	MOUSE32201, MOUSE32200
OG0000015	ASTMX09927	MOUSE32202
OG0000015	ASTMX13993, ASTMX07947	MOUSE16093
OG0000015	ASTMX18335	MOUSE03210, MOUSE03208, MOUSE03209
OG0000015	ASTMX18098	MOUSE36400, MOUSE36401
OG0000015	ASTMX06037	MOUSE44497
OG0000015	ASTMX18099, ASTMX04658	MOUSE36402
OG0000015	ASTMX18334	MOUSE03212, MOUSE03211
OG0000015	ASTMX04125	MOUSE54208, MOUSE54207
OG0000015	ASTMX06038	MOUSE44499
OG0000015	ASTMX04657	MOUSE36407, MOUSE36406
OG0000015	ASTMX18333	MOUSE03217, MOUSE03218, MOUSE03219
OG0000015	ASTMX00011	MOUSE55359
OG0000015	ASTMX18288	MOUSE48246
OG0000015	ASTMX04727	MOUSE03594, MOUSE03595, MOUSE03596
OG0000016	ASTMX03544	MOUSE48959, MOUSE48960
OG0000016	ASTMX09207	MOUSE15414
OG0000016	ASTMX17817	MOUSE15161, MOUSE15160
OG0000016	ASTMX17818, ASTMX05407	MOUSE44326
OG0000016	ASTMX11675	MOUSE05122, MOUSE05123
OG0000016	ASTMX17393	MOUSE21130
OG0000016	ASTMX00540	MOUSE13078, MOUSE13077
OG0000016	ASTMX02874	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196
OG0000016	ASTMX17395	MOUSE44334
OG0000016	ASTMX13275	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938
OG0000016	ASTMX19540	MOUSE44332
OG0000016	ASTMX20114, ASTMX00361	MOUSE44335
OG0000019	ASTMX21077, ASTMX14834	MOUSE35478
OG0000019	ASTMX14832	MOUSE04790
OG0000019	ASTMX21241, ASTMX14833	MOUSE04791
OG0000019	ASTMX15190, ASTMX17156	MOUSE22639, MOUSE22640
OG0000020	ASTMX12654	MOUSE39911
OG0000020	ASTMX04834	MOUSE05499, MOUSE05500
OG0000020	ASTMX22432	MOUSE53015
OG0000020	ASTMX12285	MOUSE07164
OG0000020	ASTMX15062	MOUSE33588
OG0000020	ASTMX14060	MOUSE23587, MOUSE23586
OG0000020	ASTMX00875, ASTMX06734	MOUSE13612
OG0000020	ASTMX14107, ASTMX08186	MOUSE06637, MOUSE06636
OG0000020	ASTMX17613	MOUSE34933
OG0000020	ASTMX00490, ASTMX12696	MOUSE26371
OG0000020	ASTMX03725	MOUSE45175
OG0000020	ASTMX07958, ASTMX18318	MOUSE15405
OG0000020	ASTMX16689	MOUSE15402
OG0000020	ASTMX17320	MOUSE24012
OG0000020	ASTMX04750	MOUSE54806, MOUSE54808, MOUSE54807
OG0000020	ASTMX21042	MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284
OG0000020	ASTMX05243	MOUSE35162
OG0000020	ASTMX04710	MOUSE09601, MOUSE09602
OG0000020	ASTMX07754	MOUSE37001, MOUSE37002
OG0000020	ASTMX13875	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013
OG0000021	ASTMX05285, ASTMX16996	MOUSE41024, MOUSE41023
OG0000021	ASTMX04046	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263
OG0000021	ASTMX00802, ASTMX04036	MOUSE40749
OG0000021	ASTMX15788	MOUSE41281
OG0000021	ASTMX05284	MOUSE41022
OG0000021	ASTMX00201	MOUSE49041
OG0000021	ASTMX09085	MOUSE09998
OG0000021	ASTMX02310	MOUSE04592
OG0000021	ASTMX21461	MOUSE44445
OG0000021	ASTMX05545	MOUSE53773
OG0000021	ASTMX13864	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665
OG0000021	ASTMX09336	MOUSE19587
OG0000023	ASTMX09201	MOUSE22442
OG0000023	ASTMX07788	MOUSE01124
OG0000023	ASTMX10048, ASTMX07031	MOUSE12258, MOUSE12260
OG0000023	ASTMX08985	MOUSE49191
OG0000023	ASTMX18700	MOUSE28391
OG0000023	ASTMX14127, ASTMX07394	MOUSE32112, MOUSE32114
OG0000023	ASTMX03414	MOUSE38000
OG0000023	ASTMX11687	MOUSE04860, MOUSE04861, MOUSE04862, MOUSE04863
OG0000023	ASTMX14286, ASTMX19623	MOUSE02558, MOUSE02557
OG0000023	ASTMX04385, ASTMX04386	MOUSE50078
OG0000023	ASTMX11217	MOUSE50063
OG0000023	ASTMX00199	MOUSE49035
OG0000023	ASTMX01795	MOUSE28744
OG0000026	ASTMX12978	MOUSE12605
OG0000027	ASTMX01705	MOUSE49834, MOUSE49835, MOUSE49837, MOUSE49836
OG0000027	ASTMX01846, ASTMX01847, ASTMX11673	MOUSE44283, MOUSE44284, MOUSE44285
OG0000027	ASTMX14527, ASTMX14528	MOUSE00444, MOUSE00443
OG0000027	ASTMX17505, ASTMX05220	MOUSE18379, MOUSE18380
OG0000027	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	MOUSE36638, MOUSE36637, MOUSE46301, MOUSE46302, MOUSE46300, MOUSE46299, MOUSE36636
OG0000027	ASTMX01680	MOUSE18678, MOUSE18679
OG0000028	ASTMX01628, ASTMX11626	MOUSE36324, MOUSE36325
OG0000028	ASTMX11297, ASTMX12202	MOUSE45380
OG0000028	ASTMX14889, ASTMX21200, ASTMX09164	MOUSE30414, MOUSE30413
OG0000028	ASTMX21506	MOUSE51349
OG0000028	ASTMX21505	MOUSE51347, MOUSE51348
OG0000028	ASTMX21832	MOUSE47957
OG0000028	ASTMX08169, ASTMX10814	MOUSE12712
OG0000028	ASTMX02886	MOUSE29157, MOUSE29159
OG0000028	ASTMX14890, ASTMX22400	MOUSE47956, MOUSE47954, MOUSE47955
OG0000028	ASTMX17696, ASTMX05417	MOUSE26458
OG0000028	ASTMX01721, ASTMX15155	MOUSE44525
OG0000029	ASTMX02055	MOUSE45127, MOUSE48617
OG0000029	ASTMX06262	MOUSE49324, MOUSE49325
OG0000029	ASTMX11166	MOUSE22849, MOUSE22848
OG0000029	ASTMX03267, ASTMX11576	MOUSE02995
OG0000029	ASTMX19971	MOUSE17544
OG0000029	ASTMX06514, ASTMX07156	MOUSE15400
OG0000029	ASTMX12065	MOUSE26337
OG0000029	ASTMX02396	MOUSE23727
OG0000029	ASTMX01708	MOUSE29998, MOUSE16471
OG0000030	ASTMX06934	MOUSE13263, MOUSE13264, MOUSE13265
OG0000030	ASTMX13784, ASTMX06816	MOUSE30488
OG0000030	ASTMX18369	MOUSE32434, MOUSE32431, MOUSE32432
OG0000030	ASTMX04112, ASTMX02697	MOUSE55035
OG0000030	ASTMX07740, ASTMX14326	MOUSE41811, MOUSE41812
OG0000030	ASTMX01510	MOUSE21340
OG0000031	ASTMX05563	MOUSE55186
OG0000031	ASTMX03913	MOUSE55187
OG0000031	ASTMX22504	MOUSE36273, MOUSE08529, MOUSE36272
OG0000031	ASTMX18990, ASTMX06321, ASTMX15039, ASTMX21321, ASTMX15065	MOUSE44530
OG0000031	ASTMX08659	MOUSE26385
OG0000031	ASTMX01055	MOUSE14840
OG0000031	ASTMX17701	MOUSE26448
OG0000031	ASTMX18426, ASTMX12571	MOUSE08530
OG0000031	ASTMX22712	MOUSE05256
OG0000031	ASTMX12572	MOUSE08528, MOUSE08527
OG0000031	ASTMX05128	MOUSE44529
OG0000031	ASTMX18163	MOUSE20731
OG0000031	ASTMX11402, ASTMX09693, ASTMX17541	MOUSE39309, MOUSE01505
OG0000031	ASTMX00969, ASTMX17640	MOUSE40720
OG0000031	ASTMX00105	MOUSE13006, MOUSE13005
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534	MOUSE48656
OG0000031	ASTMX14725	MOUSE48889
OG0000031	ASTMX04176	MOUSE13007
OG0000031	ASTMX13001, ASTMX20334	MOUSE22339, MOUSE22337, MOUSE22338
OG0000031	ASTMX13774, ASTMX02637	MOUSE08579
OG0000031	ASTMX03166	MOUSE13008
OG0000032	ASTMX08687, ASTMX18764	MOUSE21598, MOUSE21599, MOUSE21602, MOUSE21601, MOUSE21600
OG0000032	ASTMX19317	MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903
OG0000032	ASTMX01991	MOUSE41905, MOUSE41904
OG0000032	ASTMX08768	MOUSE52411, MOUSE52410
OG0000032	ASTMX12211	MOUSE45189, MOUSE45190, MOUSE45188
OG0000032	ASTMX09018	MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671
OG0000032	ASTMX06705	MOUSE29123
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636	MOUSE46353, MOUSE46347
OG0000034	ASTMX03521	MOUSE04536
OG0000034	ASTMX02060	MOUSE19996
OG0000034	ASTMX05967, ASTMX21201	MOUSE37608
OG0000034	ASTMX03519	MOUSE04537, MOUSE04538, MOUSE04539
OG0000034	ASTMX17020	MOUSE43921
OG0000034	ASTMX02547, ASTMX01081	MOUSE45737
OG0000034	ASTMX20715	MOUSE14480
OG0000034	ASTMX17446	MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011
OG0000034	ASTMX22336, ASTMX07448	MOUSE23594
OG0000034	ASTMX16123, ASTMX02622	MOUSE02137
OG0000034	ASTMX00372	MOUSE47177, MOUSE47178, MOUSE47176
OG0000034	ASTMX09860, ASTMX06813	MOUSE30287, MOUSE30289, MOUSE30288
OG0000034	ASTMX07013	MOUSE19105
OG0000034	ASTMX12428, ASTMX02190	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480
OG0000034	ASTMX01548	MOUSE11491, MOUSE11490
OG0000034	ASTMX02136	MOUSE20059
OG0000035	ASTMX17732	MOUSE02570, MOUSE02571
OG0000035	ASTMX21245	MOUSE51376, MOUSE51375, MOUSE51377
OG0000035	ASTMX07147	MOUSE41545
OG0000035	ASTMX00613, ASTMX06338	MOUSE47093, MOUSE47094, MOUSE47095, MOUSE47092
OG0000035	ASTMX07227, ASTMX07114	MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546
OG0000035	ASTMX00989, ASTMX19852	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974
OG0000035	ASTMX00242	MOUSE47243, MOUSE47244, MOUSE47242
OG0000035	ASTMX02614, ASTMX08545	MOUSE41507
OG0000035	ASTMX15322	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108
OG0000035	ASTMX15321, ASTMX20966	MOUSE27104
OG0000036	ASTMX05584	MOUSE12248
OG0000036	ASTMX18592	MOUSE49768
OG0000036	ASTMX10059, ASTMX16974	MOUSE12301
OG0000036	ASTMX00596, ASTMX03566	MOUSE43707, MOUSE43706, MOUSE43708
OG0000036	ASTMX19120	MOUSE12250, MOUSE12249, MOUSE12252, MOUSE12251, MOUSE49440, MOUSE49439
OG0000036	ASTMX18312	MOUSE29724, MOUSE29725
OG0000036	ASTMX01338	MOUSE06658, MOUSE06659
OG0000036	ASTMX03570	MOUSE43723
OG0000037	ASTMX04826	MOUSE10993, MOUSE10994
OG0000037	ASTMX04827, ASTMX08066, ASTMX04828	MOUSE10992
OG0000037	ASTMX18303	MOUSE24740, MOUSE24742, MOUSE24741, MOUSE24743, MOUSE24744, MOUSE24745
OG0000037	ASTMX08083, ASTMX01399	MOUSE07837, MOUSE07836, MOUSE07835
OG0000037	ASTMX03952, ASTMX04639	MOUSE20306
OG0000037	ASTMX01500, ASTMX15266	MOUSE49952, MOUSE49951
OG0000037	ASTMX10464	MOUSE20178
OG0000037	ASTMX06313	MOUSE43378
OG0000037	ASTMX15913	MOUSE28645, MOUSE28646
OG0000037	ASTMX19727	MOUSE13720
OG0000037	ASTMX16533	MOUSE35631
OG0000037	ASTMX03275	MOUSE21441
OG0000038	ASTMX12685, ASTMX17002	MOUSE22591, MOUSE22592
OG0000039	ASTMX03851	MOUSE24093
OG0000039	ASTMX16971	MOUSE32704
OG0000039	ASTMX14711	MOUSE23391, MOUSE23392, MOUSE23393, MOUSE23385, MOUSE23384, MOUSE23386, MOUSE24868
OG0000040	ASTMX07215	MOUSE39434, MOUSE39435, MOUSE39433
OG0000040	ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413
OG0000041	ASTMX07372, ASTMX15974	MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964
OG0000041	ASTMX00243, ASTMX02219	MOUSE44347, MOUSE44348
OG0000041	ASTMX19274	MOUSE02172, MOUSE02171, MOUSE02173
OG0000041	ASTMX15919	MOUSE31152
OG0000041	ASTMX19739, ASTMX18949	MOUSE44196
OG0000041	ASTMX00985, ASTMX20382	MOUSE31142
OG0000041	ASTMX18641	MOUSE41517
OG0000041	ASTMX00986, ASTMX20384	MOUSE31141
OG0000041	ASTMX19436, ASTMX18640	MOUSE41518
OG0000041	ASTMX00987	MOUSE31140
OG0000041	ASTMX18639	MOUSE41519
OG0000041	ASTMX00232	MOUSE27266
OG0000041	ASTMX00945, ASTMX01024	MOUSE28829
OG0000041	ASTMX08027, ASTMX12746	MOUSE21621
OG0000041	ASTMX04559	MOUSE06756
OG0000041	ASTMX04569	MOUSE06702
OG0000041	ASTMX22600	MOUSE13395
OG0000041	ASTMX18276	MOUSE28657
OG0000042	ASTMX00117	MOUSE15999
OG0000042	ASTMX11615	MOUSE38450, MOUSE38449, MOUSE38448, MOUSE38451
OG0000043	ASTMX12801	MOUSE50973
OG0000043	ASTMX22617	MOUSE30821
OG0000044	ASTMX03900	MOUSE09513
OG0000044	ASTMX14800	MOUSE35864, MOUSE35858, MOUSE35856, MOUSE35859, MOUSE35857
OG0000044	ASTMX17272	MOUSE47855, MOUSE47856, MOUSE47853, MOUSE47854, MOUSE47857
OG0000044	ASTMX12948	MOUSE46640, MOUSE46637, MOUSE46650, MOUSE46649, MOUSE46652, MOUSE46653, MOUSE46651, MOUSE46654, MOUSE46641, MOUSE46645, MOUSE46644, MOUSE46646, MOUSE46647, MOUSE46648, MOUSE46638, MOUSE46642, MOUSE46643
OG0000044	ASTMX20812	MOUSE03349
OG0000044	ASTMX22549, ASTMX06174	MOUSE38808, MOUSE38809
OG0000044	ASTMX06176	MOUSE38798
OG0000044	ASTMX07618	MOUSE41161, MOUSE41162
OG0000045	ASTMX14022	MOUSE25074
OG0000045	ASTMX15522, ASTMX03419	MOUSE25340, MOUSE25339, MOUSE25341
OG0000045	ASTMX10022, ASTMX03368	MOUSE20735
OG0000045	ASTMX16178	MOUSE17353, MOUSE07193
OG0000046	ASTMX22281	MOUSE48114, MOUSE48113
OG0000046	ASTMX12308	MOUSE30090
OG0000046	ASTMX11629	MOUSE36275, MOUSE36276
OG0000046	ASTMX06773	MOUSE54722
OG0000046	ASTMX12983, ASTMX09167	MOUSE34003
OG0000048	ASTMX04189	MOUSE55730
OG0000048	ASTMX18058, ASTMX03009, ASTMX03008, ASTMX22626, ASTMX04415, ASTMX04416	MOUSE04650, MOUSE04652
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452
OG0000048	ASTMX15600	MOUSE42201, MOUSE42202
OG0000048	ASTMX04570	MOUSE06701
