Orthogroup	ASTMX	DROME
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	DROME15149
OG0000030	ASTMX22293	DROME06898
OG0000031	ASTMX08659, ASTMX04771	DROME19945
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	ASTMX03912, ASTMX00105	DROME09230
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725, ASTMX00107, ASTMX04176	DROME05246
OG0000031	ASTMX03166	DROME16481
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	DROME02386
OG0000032	ASTMX06705	DROME01213
OG0000034	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519	DROME20092, DROME20090, DROME20091
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	DROME13496
OG0000034	ASTMX12428, ASTMX02190	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	ASTMX02136	DROME20524
OG0000035	ASTMX17732	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	ASTMX07340, ASTMX07227, ASTMX07114	DROME19358, DROME19359
OG0000035	ASTMX00989, ASTMX19852, ASTMX00242, ASTMX02614, ASTMX08545	DROME17164, DROME17163
OG0000035	ASTMX15322	DROME10260
OG0000036	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	ASTMX01338, ASTMX03570	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	ASTMX15913, ASTMX19727, ASTMX16533	DROME13887, DROME14759, DROME14760
OG0000037	ASTMX03275	DROME08695, DROME15640, DROME04516
OG0000038	ASTMX12685, ASTMX17002	DROME13993
OG0000039	ASTMX10108, ASTMX07819	DROME03375, DROME03374, DROME03372, DROME03373
OG0000040	ASTMX07215, ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109, ASTMX06176	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	ASTMX07618	DROME03638
OG0000048	ASTMX04189	DROME07309
OG0000048	ASTMX03384	DROME15626, DROME15625
OG0000048	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	ASTMX00590	DROME01500
OG0000054	ASTMX04679	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	ASTMX05759, ASTMX21204	DROME21992
OG0000055	ASTMX17485, ASTMX11170, ASTMX19413, ASTMX22616	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	ASTMX10002	DROME14598
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000059	ASTMX21875	DROME17819, DROME17820
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	DROME05786, DROME05785, DROME05787, DROME20453
OG0000061	ASTMX18729, ASTMX15987	DROME05579, DROME05580, DROME06033
OG0000062	ASTMX01260	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406
OG0000063	ASTMX11259, ASTMX01032	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707
OG0000065	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454	DROME22058
OG0000068	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044	DROME18366, DROME18368, DROME18367
OG0000068	ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308	DROME18209
OG0000069	ASTMX20491	DROME19859, DROME00928
OG0000070	ASTMX03868, ASTMX11850	DROME04028, DROME04029, DROME06783
OG0000071	ASTMX03820	DROME14965
OG0000072	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521	DROME12247, DROME12248
OG0000072	ASTMX19895, ASTMX03692, ASTMX11241	DROME00154
OG0000072	ASTMX11250, ASTMX11618	DROME00750
OG0000074	ASTMX16165, ASTMX17638, ASTMX00966	DROME03014
OG0000075	ASTMX15193, ASTMX17154	DROME01374
OG0000075	ASTMX04760	DROME01373
OG0000075	ASTMX16716, ASTMX04759	DROME01375
OG0000075	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441	DROME04883, DROME04882
OG0000077	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594	DROME15696, DROME15698, DROME15697
OG0000077	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084	DROME07079, DROME07077, DROME07078
OG0000079	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709	DROME14752
OG0000079	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	ASTMX02337, ASTMX02996, ASTMX05046	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810
OG0000079	ASTMX02943	DROME01298
OG0000082	ASTMX06917	DROME20298
OG0000082	ASTMX17888	DROME05998
OG0000082	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980	DROME11174, DROME11173, DROME15008
OG0000083	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864	DROME17112
OG0000084	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	ASTMX22578	DROME10293, DROME10294, DROME10289, DROME10292
OG0000085	ASTMX19538	DROME00999, DROME00998, DROME01000
OG0000085	ASTMX21189, ASTMX20129	DROME19740
OG0000085	ASTMX08704, ASTMX02521, ASTMX05460	DROME10832, DROME10831
OG0000087	ASTMX06968	DROME22088
OG0000087	ASTMX08355	DROME12963
OG0000087	ASTMX08356	DROME09496
OG0000087	ASTMX17718, ASTMX17717	DROME03097
OG0000087	ASTMX06381	DROME08842
OG0000087	ASTMX19474, ASTMX17716	DROME09495
OG0000088	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971	DROME01198, DROME01197
OG0000090	ASTMX15822, ASTMX13800, ASTMX19765	DROME02752
OG0000090	ASTMX12258, ASTMX10648	DROME16241, DROME16240, DROME16239
OG0000091	ASTMX03395	DROME20804
OG0000094	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879
OG0000094	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341
OG0000095	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	ASTMX11824, ASTMX12057, ASTMX18217	DROME08195, DROME08196
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	DROME08870
OG0000096	ASTMX18278, ASTMX15892	DROME13163
OG0000096	ASTMX09859	DROME06400
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	DROME13915
OG0000096	ASTMX19590, ASTMX07352	DROME09341
OG0000098	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214
OG0000099	ASTMX03763, ASTMX18144, ASTMX01173, ASTMX06084, ASTMX05845, ASTMX03961, ASTMX16578, ASTMX21430	DROME10335, DROME10334, DROME09743
OG0000099	ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996
OG0000100	ASTMX18651	DROME10813
OG0000101	ASTMX01330, ASTMX08413	DROME05458
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989
OG0000103	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000104	ASTMX07046, ASTMX03729, ASTMX19421	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670
OG0000104	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448	DROME16895, DROME16894
OG0000104	ASTMX19420, ASTMX03728, ASTMX07045	DROME16546, DROME16548, DROME16547, DROME16549
OG0000104	ASTMX00149	DROME17321, DROME17322
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015	DROME02609
OG0000106	ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	ASTMX08032	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000110	ASTMX08508	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000111	ASTMX13149, ASTMX20227, ASTMX15405, ASTMX16130, ASTMX21238, ASTMX08100, ASTMX17987, ASTMX03191, ASTMX01125, ASTMX04817, ASTMX06690, ASTMX11733, ASTMX20650, ASTMX07484, ASTMX16738, ASTMX10939, ASTMX06691	DROME11971, DROME11972, DROME11973, DROME11975
OG0000113	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762
OG0000113	ASTMX07206	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000114	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249	DROME04013, DROME04512, DROME04513
OG0000116	ASTMX01410	DROME05231
OG0000117	ASTMX14023	DROME17123
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501
OG0000119	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905	DROME21220, DROME21219
OG0000119	ASTMX00656, ASTMX18233	DROME06207, DROME06208, DROME08017, DROME06209
OG0000120	ASTMX22743	DROME00676
OG0000121	ASTMX16272, ASTMX04663, ASTMX01517	DROME17781, DROME08015
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476
OG0000122	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	ASTMX09338, ASTMX18149, ASTMX01149	DROME17463
OG0000124	ASTMX16401, ASTMX07748	DROME08713, DROME09900
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	DROME21734
OG0000125	ASTMX16041, ASTMX22883, ASTMX19680, ASTMX19461, ASTMX05331, ASTMX17627	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933
OG0000125	ASTMX00267	DROME04039, DROME04040, DROME04038
OG0000126	ASTMX18095, ASTMX08006, ASTMX06040	DROME01805, DROME01804
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	DROME21081, DROME21082, DROME21083, DROME21080
OG0000126	ASTMX06187, ASTMX17244	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804
OG0000126	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471
OG0000127	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032	DROME11205, DROME11204
OG0000127	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478	DROME08158
OG0000127	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260	DROME05986
OG0000127	ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860	DROME18062
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055
OG0000130	ASTMX03032, ASTMX13868, ASTMX11078, ASTMX12125	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860
OG0000131	ASTMX16327	DROME18073, DROME18075, DROME18074
OG0000132	ASTMX15628	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	ASTMX02569, ASTMX02645	DROME08254, DROME08253
OG0000142	ASTMX22061	DROME07188
OG0000142	ASTMX21325	DROME17530, DROME17531
OG0000147	ASTMX03135, ASTMX08761, ASTMX04795	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556
OG0000147	ASTMX01265, ASTMX04843	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266
OG0000147	ASTMX02385	DROME03466
OG0000147	ASTMX18633, ASTMX08515	DROME17452, DROME17451
OG0000148	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929	DROME19762, DROME19761, DROME19763
OG0000148	ASTMX22564, ASTMX19926, ASTMX19927, ASTMX14987, ASTMX17016, ASTMX10783, ASTMX14989, ASTMX17279, ASTMX19925, ASTMX14926, ASTMX13485, ASTMX03088, ASTMX00634	DROME12939
OG0000149	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915	DROME17665, DROME17666, DROME17690, DROME17689, DROME17695, DROME17694, DROME07964, DROME16235, DROME16234, DROME16236
OG0000149	ASTMX19335	DROME14698, DROME14702, DROME14703, DROME14701, DROME14700, DROME14699
OG0000154	ASTMX08823	DROME12872, DROME12871
OG0000155	ASTMX12246, ASTMX04195	DROME05911, DROME05917, DROME05907, DROME05916, DROME05914, DROME05908, DROME05904, DROME05910, DROME05918, DROME05912, DROME05898, DROME05915, DROME05902, DROME05905, DROME05913, DROME05909, DROME05900, DROME05901, DROME05906, DROME05903, DROME05899
OG0000157	ASTMX15736, ASTMX02435, ASTMX11937	DROME05618, DROME05617, DROME05616
OG0000157	ASTMX15837, ASTMX21399, ASTMX15330, ASTMX08384, ASTMX08312, ASTMX17465, ASTMX21400	DROME09786
OG0000157	ASTMX10886	DROME05150, DROME05149
OG0000158	ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735	DROME06825, DROME06824
OG0000159	ASTMX03645, ASTMX21390	DROME09571, DROME09570
OG0000160	ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060	DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000163	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159	DROME12520
OG0000163	ASTMX20447, ASTMX17430, ASTMX19882, ASTMX01414	DROME07955
OG0000163	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308	DROME19834, DROME00819
OG0000163	ASTMX21793	DROME16444
OG0000164	ASTMX14344, ASTMX03421	DROME08486
OG0000167	ASTMX20835, ASTMX12921	DROME09457, DROME09458
OG0000168	ASTMX02932, ASTMX22163, ASTMX22493, ASTMX15962, ASTMX06474, ASTMX02912, ASTMX16677, ASTMX20444, ASTMX05829, ASTMX22396, ASTMX20795	DROME01783
OG0000171	ASTMX02030	DROME21195, DROME21196, DROME21202, DROME21201, DROME21198, DROME21197, DROME21200, DROME21199
OG0000171	ASTMX01513, ASTMX18079, ASTMX09651	DROME18491, DROME18493, DROME18496, DROME18497, DROME18494, DROME18492, DROME18495
OG0000172	ASTMX00454	DROME14415
OG0000173	ASTMX06798, ASTMX16925, ASTMX20806, ASTMX11171, ASTMX06509, ASTMX18128, ASTMX05261, ASTMX05260, ASTMX18597, ASTMX12773, ASTMX03201, ASTMX16788, ASTMX16293, ASTMX09049, ASTMX07537, ASTMX04181, ASTMX05259, ASTMX00713, ASTMX01037, ASTMX05223, ASTMX10462, ASTMX03643, ASTMX09920	DROME18317, DROME18316, DROME18314, DROME18318, DROME18315
OG0000175	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252	DROME03593, DROME00840
OG0000179	ASTMX05937, ASTMX14451	DROME11221, DROME21050
OG0000179	ASTMX13630, ASTMX02170	DROME07796
OG0000179	ASTMX14866	DROME10428
