Orthogroup	CAPO3	MOUSE
OG0000041	CAPO308025, CAPO306861	MOUSE19876, MOUSE19875, MOUSE02175, MOUSE43968, MOUSE43967, MOUSE43966, MOUSE43965, MOUSE43964, MOUSE44347, MOUSE44348, MOUSE02172, MOUSE02171, MOUSE02173, MOUSE31152, MOUSE44196, MOUSE31142, MOUSE41517, MOUSE31141, MOUSE41518, MOUSE31140, MOUSE41519, MOUSE27266, MOUSE28829, MOUSE21621, MOUSE06756, MOUSE06702, MOUSE13395, MOUSE28657
OG0000043	CAPO308256	MOUSE50973, MOUSE30821, MOUSE03684, MOUSE08835, MOUSE08851, MOUSE08821, MOUSE08919, MOUSE08930, MOUSE08911, MOUSE08914, MOUSE08826, MOUSE08830, MOUSE08838, MOUSE08904, MOUSE30826, MOUSE30825, MOUSE08848, MOUSE08949, MOUSE30822, MOUSE41815, MOUSE41814
OG0000048	CAPO305301	MOUSE55730
OG0000048	CAPO304823	MOUSE49641, MOUSE49640, MOUSE49639
OG0000049	CAPO304018	MOUSE00124, MOUSE00123, MOUSE44987, MOUSE44986, MOUSE52606, MOUSE52607, MOUSE52608, MOUSE35311, MOUSE03391, MOUSE17233, MOUSE17232, MOUSE39154, MOUSE39153, MOUSE40910, MOUSE40909, MOUSE40908, MOUSE39155, MOUSE39156
OG0000051	CAPO307809, CAPO301249	MOUSE40003, MOUSE52051, MOUSE52052, MOUSE21678, MOUSE21679, MOUSE52055, MOUSE52053, MOUSE52054, MOUSE52063, MOUSE52065, MOUSE52064
OG0000054	CAPO302015	MOUSE48109
OG0000054	CAPO303797	MOUSE33537, MOUSE33539, MOUSE33538, MOUSE33523, MOUSE33524, MOUSE33525, MOUSE33528, MOUSE33529, MOUSE33527, MOUSE33526, MOUSE33530, MOUSE33531, MOUSE33536, MOUSE33533, MOUSE33535, MOUSE33532, MOUSE33534, MOUSE17454, MOUSE17455, MOUSE17434, MOUSE17435, MOUSE17438, MOUSE48638, MOUSE17453, MOUSE17439, MOUSE17441, MOUSE17440, MOUSE17433, MOUSE48639
OG0000056	CAPO305974, CAPO306012, CAPO306941	MOUSE52879, MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842, MOUSE37995, MOUSE37994, MOUSE36570
OG0000058	CAPO305595	MOUSE47313, MOUSE47308, MOUSE29478, MOUSE35031, MOUSE53977, MOUSE17481, MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254
OG0000058	CAPO307225	MOUSE10546
OG0000060	CAPO305373	MOUSE52080, MOUSE52079, MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943, MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902
OG0000062	CAPO300910	MOUSE41293, MOUSE25941, MOUSE25942, MOUSE18495, MOUSE18493, MOUSE17649, MOUSE17650, MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586, MOUSE52081
OG0000063	CAPO300270	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696, MOUSE10885, MOUSE10881, MOUSE33697, MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809
OG0000066	CAPO308057	MOUSE53763, MOUSE13756
OG0000069	CAPO302182	MOUSE30824
OG0000069	CAPO301523, CAPO305173	MOUSE24595, MOUSE06171, MOUSE24596
OG0000079	CAPO302518	MOUSE36929
OG0000082	CAPO304738	MOUSE25920
OG0000082	CAPO306626	MOUSE19184
OG0000082	CAPO300843	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878
OG0000085	CAPO303061	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267, MOUSE30927, MOUSE54745
OG0000085	CAPO303047	MOUSE04941, MOUSE37558, MOUSE37557, MOUSE46323, MOUSE46324, MOUSE50493, MOUSE50494, MOUSE50492, MOUSE54746, MOUSE54748, MOUSE54747, MOUSE30928, MOUSE52166, MOUSE30929, MOUSE15351, MOUSE19993, MOUSE37560, MOUSE37561, MOUSE37559, MOUSE04944, MOUSE04943, MOUSE16592, MOUSE16590, MOUSE24109, MOUSE24108, MOUSE16591
OG0000089	CAPO300386, CAPO300810, CAPO302098	MOUSE16032, MOUSE55269, MOUSE55270, MOUSE55265, MOUSE55267, MOUSE55266, MOUSE55268, MOUSE55272, MOUSE00168, MOUSE00169, MOUSE55271
OG0000090	CAPO304460, CAPO304458, CAPO303991	MOUSE17968
OG0000091	CAPO301134	MOUSE19668, MOUSE19669
OG0000095	CAPO301288, CAPO306046	MOUSE21579
OG0000096	CAPO301431	MOUSE31085, MOUSE31087, MOUSE02247
OG0000096	CAPO303349	MOUSE31088
OG0000096	CAPO307955	MOUSE14640, MOUSE35516
OG0000096	CAPO307522	MOUSE19103, MOUSE30286, MOUSE30282
OG0000096	CAPO300294	MOUSE41983, MOUSE30995, MOUSE30992, MOUSE47007, MOUSE41985, MOUSE30994, MOUSE47010, MOUSE47008, MOUSE30996
OG0000096	CAPO307017	MOUSE45925, MOUSE45926, MOUSE44088, MOUSE52337, MOUSE52338
OG0000101	CAPO306858	MOUSE49370, MOUSE49670, MOUSE02576, MOUSE49671, MOUSE15611, MOUSE15612, MOUSE02574, MOUSE02575, MOUSE02573, MOUSE02572, MOUSE02456, MOUSE02446, MOUSE02447, MOUSE02449, MOUSE02452, MOUSE02454, MOUSE02453, MOUSE02455, MOUSE02457, MOUSE26355
OG0000103	CAPO302453	MOUSE03946, MOUSE03948, MOUSE03949, MOUSE03945, MOUSE03951, MOUSE03944, MOUSE12336, MOUSE12340, MOUSE15975, MOUSE28384, MOUSE43972, MOUSE43973, MOUSE43970, MOUSE43971, MOUSE43974, MOUSE03980, MOUSE03977, MOUSE03979, MOUSE15157, MOUSE14014
OG0000106	CAPO300017	MOUSE49277, MOUSE49278, MOUSE55330, MOUSE49769, MOUSE29352, MOUSE29353, MOUSE29354, MOUSE29357, MOUSE29355, MOUSE32021, MOUSE15287, MOUSE04920, MOUSE04918, MOUSE30798, MOUSE30797, MOUSE51789, MOUSE51787, MOUSE51788
OG0000107	CAPO301524	MOUSE08903
OG0000110	CAPO300387	MOUSE38813, MOUSE04691, MOUSE04692, MOUSE38814
OG0000114	CAPO302440	MOUSE04136
OG0000116	CAPO305622	MOUSE27994
OG0000119	CAPO304642	MOUSE26432, MOUSE26431, MOUSE26430, MOUSE02581, MOUSE02580, MOUSE05168, MOUSE05166, MOUSE05165, MOUSE05167, MOUSE26597, MOUSE26599, MOUSE14908, MOUSE25018, MOUSE25019, MOUSE05713, MOUSE26569, MOUSE53192, MOUSE53193, MOUSE53194
OG0000122	CAPO307824	MOUSE05693, MOUSE35483, MOUSE35485, MOUSE35486, MOUSE22654, MOUSE40424, MOUSE40425, MOUSE40423, MOUSE36694, MOUSE36691, MOUSE36690, MOUSE36692, MOUSE10935, MOUSE10930, MOUSE10934, MOUSE10936, MOUSE10937, MOUSE10939, MOUSE10941, MOUSE10933, MOUSE10927, MOUSE10928, MOUSE10931, MOUSE10929, MOUSE10932, MOUSE10942, MOUSE10938, MOUSE10940, MOUSE10926, MOUSE26270, MOUSE26269, MOUSE26271, MOUSE14751, MOUSE14753
OG0000124	CAPO302553	MOUSE34424, MOUSE34425
OG0000126	CAPO301836	MOUSE36415, MOUSE36417, MOUSE03223, MOUSE44505
OG0000126	CAPO302484	MOUSE47557, MOUSE47555, MOUSE47554, MOUSE54136, MOUSE54135, MOUSE54137, MOUSE29574, MOUSE29573, MOUSE29575, MOUSE47556
OG0000126	CAPO306676	MOUSE30423, MOUSE01500
OG0000126	CAPO300572	MOUSE12568, MOUSE36379, MOUSE36377, MOUSE36378, MOUSE36380, MOUSE19645, MOUSE01498, MOUSE01499, MOUSE32380, MOUSE30420, MOUSE30422, MOUSE30421, MOUSE27727, MOUSE27726, MOUSE27725
OG0000128	CAPO306991, CAPO304956	MOUSE20235, MOUSE44975, MOUSE44976, MOUSE50207, MOUSE50208
OG0000129	CAPO303361	MOUSE24658, MOUSE20204, MOUSE18144, MOUSE24659, MOUSE24660, MOUSE24661, MOUSE43330, MOUSE49914, MOUSE27526, MOUSE27523, MOUSE27524, MOUSE27525, MOUSE27522, MOUSE27521, MOUSE18634, MOUSE45123, MOUSE55058, MOUSE23071, MOUSE23074, MOUSE23073, MOUSE23072, MOUSE49915
OG0000137	CAPO305369	MOUSE13561, MOUSE13559, MOUSE13562, MOUSE13560, MOUSE00324, MOUSE00325, MOUSE00321, MOUSE00323, MOUSE48199, MOUSE48198, MOUSE48197, MOUSE48196, MOUSE06337, MOUSE06338, MOUSE18094, MOUSE18096
OG0000142	CAPO302031, CAPO302030	MOUSE49876, MOUSE19688, MOUSE17834, MOUSE25278, MOUSE18488, MOUSE17833, MOUSE09112, MOUSE09113, MOUSE28967
OG0000147	CAPO305863	MOUSE23086, MOUSE23085
OG0000147	CAPO308132	MOUSE09313, MOUSE09314, MOUSE09315, MOUSE09317, MOUSE12666, MOUSE12667
OG0000147	CAPO304230	MOUSE28041, MOUSE28040, MOUSE27544
OG0000149	CAPO305206, CAPO306214	MOUSE10061, MOUSE10064, MOUSE16718, MOUSE44762, MOUSE19464, MOUSE31508, MOUSE31509
OG0000157	CAPO305956	MOUSE20681, MOUSE01676, MOUSE20682, MOUSE01675
OG0000157	CAPO305824	MOUSE31198, MOUSE31196, MOUSE52693, MOUSE35378, MOUSE01045, MOUSE52683, MOUSE35379, MOUSE31200, MOUSE52684, MOUSE49056, MOUSE49057, MOUSE49058
OG0000158	CAPO305752	MOUSE29248
OG0000158	CAPO302924	MOUSE23741
OG0000160	CAPO301680	MOUSE28371, MOUSE28372, MOUSE28373
OG0000167	CAPO301364, CAPO303476	MOUSE29176, MOUSE29175, MOUSE35789, MOUSE34068, MOUSE28268, MOUSE28270, MOUSE28269, MOUSE31990, MOUSE31991, MOUSE12639, MOUSE34066, MOUSE34067, MOUSE00486, MOUSE00488, MOUSE00485, MOUSE34221, MOUSE28529, MOUSE28530, MOUSE35788, MOUSE00471
OG0000171	CAPO304813	MOUSE02823, MOUSE02822, MOUSE46727, MOUSE27859, MOUSE46726, MOUSE04583, MOUSE02239, MOUSE21136, MOUSE35961, MOUSE35960, MOUSE48309
OG0000174	CAPO304629	MOUSE13944, MOUSE25057, MOUSE25058, MOUSE12800, MOUSE12801, MOUSE31622, MOUSE25059, MOUSE19080, MOUSE19079, MOUSE19078
OG0000175	CAPO303513	MOUSE32004, MOUSE32003
OG0000175	CAPO303920	MOUSE34702, MOUSE34703, MOUSE34704, MOUSE34706, MOUSE34705
OG0000179	CAPO303342	MOUSE19509, MOUSE51773
OG0000181	CAPO301108	MOUSE14627, MOUSE03706, MOUSE05783
OG0000181	CAPO302034	MOUSE39163, MOUSE11210, MOUSE11208
OG0000181	CAPO307692	MOUSE12600, MOUSE29996
OG0000181	CAPO300374	MOUSE07217
OG0000183	CAPO305638	MOUSE20350, MOUSE08188, MOUSE42801, MOUSE08189, MOUSE08186, MOUSE08187, MOUSE08190, MOUSE20337, MOUSE20343, MOUSE20344, MOUSE20338, MOUSE20339, MOUSE20341, MOUSE20340, MOUSE24700, MOUSE24701
OG0000183	CAPO305829	MOUSE51267, MOUSE51268, MOUSE51266, MOUSE17403, MOUSE51137, MOUSE51138, MOUSE51136, MOUSE51139
OG0000184	CAPO307711	MOUSE24058, MOUSE24066
OG0000184	CAPO304928	MOUSE24064, MOUSE24056, MOUSE24057, MOUSE24065, MOUSE24062, MOUSE24061, MOUSE24063, MOUSE24060, MOUSE24059, MOUSE24067, MOUSE24068, MOUSE24181, MOUSE24180, MOUSE24179, MOUSE24178, MOUSE30888
OG0000192	CAPO301980	MOUSE46094, MOUSE46095, MOUSE46092, MOUSE46093, MOUSE46090, MOUSE16913, MOUSE16914, MOUSE16915
OG0000193	CAPO302628	MOUSE51241, MOUSE51240, MOUSE38224, MOUSE38223, MOUSE37517, MOUSE10603, MOUSE43494, MOUSE51242, MOUSE51243, MOUSE17401, MOUSE17402
OG0000194	CAPO305195	MOUSE29883, MOUSE29879, MOUSE29880, MOUSE29881, MOUSE29882, MOUSE29432, MOUSE29433, MOUSE29431, MOUSE34698, MOUSE34700, MOUSE34701, MOUSE34699, MOUSE34696, MOUSE34697, MOUSE34695
OG0000195	CAPO305454	MOUSE52235, MOUSE52236, MOUSE52239, MOUSE52237, MOUSE52242, MOUSE52243, MOUSE52241, MOUSE04098, MOUSE04099, MOUSE52244, MOUSE52238, MOUSE52240
OG0000201	CAPO307729	MOUSE38533, MOUSE38534, MOUSE14083
OG0000201	CAPO300462	MOUSE01054
OG0000203	CAPO302139	MOUSE48169, MOUSE48170, MOUSE29289, MOUSE00419, MOUSE33851, MOUSE15592, MOUSE34963, MOUSE04014, MOUSE35047
OG0000204	CAPO303090	MOUSE23102, MOUSE23101, MOUSE41512, MOUSE47328, MOUSE47326, MOUSE47327, MOUSE44453, MOUSE44451, MOUSE44452, MOUSE14528, MOUSE14529, MOUSE14530, MOUSE14527, MOUSE27284, MOUSE01888, MOUSE01887, MOUSE01886, MOUSE41513, MOUSE41514, MOUSE47329, MOUSE27285, MOUSE46997
OG0000207	CAPO304105, CAPO304106, CAPO304714	MOUSE33677, MOUSE19031, MOUSE28832, MOUSE28833, MOUSE32259, MOUSE32258, MOUSE33675, MOUSE33676, MOUSE33674, MOUSE15842, MOUSE15840, MOUSE15841, MOUSE24286, MOUSE24289, MOUSE24287
OG0000211	CAPO306209	MOUSE51114, MOUSE51115, MOUSE28046, MOUSE10073, MOUSE10072, MOUSE44580, MOUSE44581, MOUSE44579, MOUSE20694, MOUSE20693, MOUSE01466, MOUSE44832, MOUSE44578
OG0000218	CAPO300559	MOUSE10867, MOUSE45082, MOUSE22179
OG0000220	CAPO306780, CAPO307695	MOUSE11020, MOUSE11019, MOUSE11021, MOUSE11022, MOUSE11484, MOUSE11485, MOUSE29601, MOUSE29602, MOUSE40568, MOUSE40569, MOUSE40573, MOUSE40572, MOUSE40571, MOUSE40570, MOUSE11165, MOUSE11164, MOUSE36880
OG0000221	CAPO300247	MOUSE22515, MOUSE22518, MOUSE22513, MOUSE22517, MOUSE22516, MOUSE22514, MOUSE53204, MOUSE53205, MOUSE53203, MOUSE05742, MOUSE05741, MOUSE29915, MOUSE29913, MOUSE29916, MOUSE29920, MOUSE29914, MOUSE29919, MOUSE29918, MOUSE29912, MOUSE29917, MOUSE35058, MOUSE35056, MOUSE35053, MOUSE35051, MOUSE35055, MOUSE35054, MOUSE22156, MOUSE18361
OG0000221	CAPO308272, CAPO301991, CAPO300059	MOUSE41877
OG0000222	CAPO304211	MOUSE34451, MOUSE34452, MOUSE34453, MOUSE34454, MOUSE22872, MOUSE22873, MOUSE22874
OG0000223	CAPO308126	MOUSE13614, MOUSE28432, MOUSE28431, MOUSE35624, MOUSE35625, MOUSE40481, MOUSE40482, MOUSE40480, MOUSE40478, MOUSE40473, MOUSE40474, MOUSE40475, MOUSE40476, MOUSE40477, MOUSE40472, MOUSE40479, MOUSE40483, MOUSE20969, MOUSE20966, MOUSE20968, MOUSE20970, MOUSE20967, MOUSE21829, MOUSE21828, MOUSE21827
OG0000225	CAPO305347	MOUSE06880, MOUSE06881, MOUSE06882, MOUSE06888, MOUSE23452, MOUSE23453, MOUSE23451, MOUSE52882, MOUSE52881, MOUSE52880, MOUSE35428, MOUSE35429, MOUSE35426, MOUSE35427, MOUSE02372, MOUSE02371, MOUSE32095, MOUSE37168, MOUSE37169, MOUSE37170, MOUSE19594, MOUSE19593, MOUSE19595, MOUSE52883
OG0000226	CAPO306934	MOUSE18638
OG0000234	CAPO301359	MOUSE19093, MOUSE19092, MOUSE19095, MOUSE19096, MOUSE19094, MOUSE51563, MOUSE51565, MOUSE51566, MOUSE51567, MOUSE30639, MOUSE30638, MOUSE30635, MOUSE30636, MOUSE30637, MOUSE24948, MOUSE24946, MOUSE24950, MOUSE24944, MOUSE24952, MOUSE24951, MOUSE24954, MOUSE24945, MOUSE24953, MOUSE24947, MOUSE24949, MOUSE24959, MOUSE24956, MOUSE26980, MOUSE26977, MOUSE26979, MOUSE26978
OG0000238	CAPO305428	MOUSE46195, MOUSE46196
OG0000239	CAPO302089	MOUSE05656, MOUSE05655, MOUSE18920, MOUSE22235, MOUSE22234, MOUSE22233, MOUSE22237, MOUSE22236, MOUSE07433, MOUSE05662, MOUSE05661, MOUSE39765, MOUSE39768, MOUSE39766
OG0000240	CAPO303877	MOUSE01107, MOUSE01112
OG0000240	CAPO303214	MOUSE01114, MOUSE01115, MOUSE01113
OG0000242	CAPO304847	MOUSE21780, MOUSE21779, MOUSE35398
OG0000244	CAPO301556	MOUSE17322, MOUSE14484, MOUSE14482, MOUSE17321, MOUSE14483, MOUSE40945, MOUSE12365, MOUSE12363, MOUSE12364, MOUSE49833, MOUSE52466, MOUSE52468, MOUSE52465, MOUSE28443, MOUSE49097, MOUSE49096, MOUSE28439, MOUSE28440, MOUSE28444, MOUSE28445, MOUSE28442, MOUSE28446, MOUSE28447, MOUSE28438, MOUSE28448, MOUSE28449, MOUSE32118
OG0000246	CAPO303496	MOUSE44244, MOUSE44246, MOUSE44245
OG0000248	CAPO307635, CAPO302481, CAPO302487	MOUSE09714, MOUSE09715, MOUSE09716, MOUSE09726, MOUSE09722, MOUSE09717, MOUSE09695, MOUSE09693, MOUSE09694, MOUSE09819, MOUSE09818, MOUSE30742, MOUSE30741, MOUSE30740
OG0000250	CAPO305827	MOUSE06159, MOUSE06158, MOUSE06161, MOUSE06160
OG0000255	CAPO301531	MOUSE55667
OG0000255	CAPO300499	MOUSE27280, MOUSE27279
OG0000256	CAPO307884	MOUSE25569, MOUSE48599
OG0000256	CAPO306483	MOUSE19546, MOUSE27729, MOUSE27728, MOUSE30485, MOUSE30484
OG0000257	CAPO300414	MOUSE33024, MOUSE33022, MOUSE33026, MOUSE33023, MOUSE33025, MOUSE51708, MOUSE27690, MOUSE07914, MOUSE07916, MOUSE07915, MOUSE28077, MOUSE28076
OG0000258	CAPO301106	MOUSE42103
OG0000258	CAPO301746	MOUSE11272, MOUSE11273, MOUSE11274, MOUSE11276, MOUSE11275, MOUSE11271, MOUSE24985, MOUSE24984, MOUSE07336, MOUSE18772
OG0000260	CAPO300399	MOUSE07000, MOUSE06999, MOUSE52627, MOUSE52624, MOUSE52625
OG0000265	CAPO306126	MOUSE50385, MOUSE50384, MOUSE50383, MOUSE50386, MOUSE50379, MOUSE50380, MOUSE50381, MOUSE25766, MOUSE25769, MOUSE25767, MOUSE25771, MOUSE25773, MOUSE25770, MOUSE25768, MOUSE24034, MOUSE24037, MOUSE25772, MOUSE50387, MOUSE24035, MOUSE24036
OG0000265	CAPO306540	MOUSE15187, MOUSE15189, MOUSE15188
OG0000271	CAPO304641	MOUSE15712, MOUSE15711, MOUSE05806, MOUSE26256, MOUSE26257, MOUSE26255, MOUSE08533, MOUSE01191, MOUSE01190, MOUSE01193, MOUSE01189, MOUSE16479, MOUSE16477, MOUSE16478, MOUSE14823, MOUSE14822, MOUSE49985, MOUSE49983
OG0000273	CAPO305109	MOUSE48516
OG0000273	CAPO307666	MOUSE48517
OG0000273	CAPO300804	MOUSE37237, MOUSE37236
OG0000273	CAPO306869	MOUSE35701, MOUSE35704, MOUSE35700, MOUSE35702, MOUSE35699, MOUSE35703
OG0000277	CAPO303621	MOUSE46595, MOUSE46588, MOUSE46593, MOUSE46589, MOUSE46591, MOUSE20616, MOUSE37493, MOUSE37488, MOUSE37489
OG0000277	CAPO301295	MOUSE11509, MOUSE11511, MOUSE11512, MOUSE11510, MOUSE11513, MOUSE31700, MOUSE31698, MOUSE31701, MOUSE31702, MOUSE31699, MOUSE31697, MOUSE31696, MOUSE09541
OG0000278	CAPO300620	MOUSE37959
OG0000278	CAPO305822	MOUSE48469, MOUSE32002, MOUSE19188
OG0000278	CAPO302023	MOUSE03084
OG0000278	CAPO304651	MOUSE29280
OG0000278	CAPO303638	MOUSE12425
OG0000282	CAPO308183	MOUSE37149, MOUSE40386, MOUSE25102, MOUSE25103, MOUSE25101, MOUSE05300, MOUSE05299, MOUSE25104, MOUSE25105, MOUSE40389, MOUSE40390, MOUSE40391, MOUSE40388, MOUSE40387, MOUSE21276, MOUSE37148, MOUSE37147, MOUSE20932, MOUSE20929, MOUSE20933, MOUSE20930, MOUSE20931
OG0000284	CAPO305695	MOUSE31385, MOUSE32647, MOUSE32649, MOUSE32646, MOUSE32648, MOUSE32650
OG0000285	CAPO303377	MOUSE05140
OG0000288	CAPO305142	MOUSE28635, MOUSE28634, MOUSE28637, MOUSE28636, MOUSE32128, MOUSE32126, MOUSE32127, MOUSE32129, MOUSE44721, MOUSE00440, MOUSE00441, MOUSE00442, MOUSE32028
OG0000289	CAPO307835	MOUSE09225, MOUSE09226, MOUSE52041, MOUSE52040, MOUSE52039, MOUSE33710, MOUSE33709, MOUSE10526, MOUSE10525, MOUSE52131, MOUSE52130
OG0000295	CAPO302113, CAPO302799	MOUSE39491, MOUSE39492, MOUSE39490, MOUSE39489, MOUSE39488, MOUSE30005, MOUSE06347, MOUSE06349, MOUSE06351
OG0000299	CAPO306599	MOUSE18580, MOUSE18583, MOUSE18582, MOUSE18581, MOUSE18578, MOUSE18579, MOUSE18576, MOUSE18577, MOUSE28485, MOUSE28484, MOUSE28483, MOUSE28486, MOUSE34165, MOUSE34159, MOUSE34162, MOUSE34163, MOUSE34166, MOUSE34164, MOUSE34161, MOUSE34160, MOUSE00345, MOUSE00351, MOUSE00347, MOUSE00346, MOUSE34156, MOUSE34158, MOUSE34157, MOUSE00354
OG0000305	CAPO307183	MOUSE35196, MOUSE35195, MOUSE35197, MOUSE35194
