Orthogroup	CAPO3	APOSC_ok
OG0000016	CAPO306803	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907, APOSC_26372, APOSC_26868, APOSC_26028
OG0000016	CAPO303259	APOSC_14883
OG0000016	CAPO300936	APOSC_28721, APOSC_09296, APOSC_03753, APOSC_27534, APOSC_05485, APOSC_19884
OG0000023	CAPO307690	APOSC_14757, APOSC_14758, APOSC_18948, APOSC_18947, APOSC_29066, APOSC_12894, APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982, APOSC_03049, APOSC_21557, APOSC_11580, APOSC_03050, APOSC_03048, APOSC_18183, APOSC_27088, APOSC_07209, APOSC_18870, APOSC_12268, APOSC_15754, APOSC_15753, APOSC_23115, APOSC_15512, APOSC_29076
OG0000029	CAPO307131	APOSC_07574, APOSC_20436, APOSC_04700, APOSC_18084, APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971, APOSC_15506
OG0000030	CAPO300110	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	CAPO305356, CAPO301638, CAPO307563	APOSC_23944, APOSC_11647, APOSC_21982, APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867, APOSC_00359, APOSC_18052, APOSC_19478, APOSC_12431, APOSC_12430, APOSC_25084, APOSC_18736, APOSC_12149, APOSC_21747, APOSC_27610
OG0000031	CAPO303729	APOSC_01319
OG0000035	CAPO307346, CAPO308354	APOSC_21179, APOSC_27035, APOSC_25163, APOSC_04822, APOSC_04821, APOSC_22023, APOSC_22024, APOSC_12588, APOSC_03857, APOSC_23863, APOSC_01826, APOSC_25872, APOSC_04998, APOSC_25573, APOSC_08656, APOSC_21135, APOSC_21136, APOSC_16251, APOSC_27270
OG0000039	CAPO306958, CAPO306959	APOSC_12842, APOSC_27514
OG0000041	CAPO308025, CAPO306861	APOSC_19034, APOSC_26184, APOSC_00445, APOSC_29024
OG0000043	CAPO308256	APOSC_10405, APOSC_20159, APOSC_07558, APOSC_12898
OG0000048	CAPO306877	APOSC_20195, APOSC_19960, APOSC_08567, APOSC_07074, APOSC_07656
OG0000048	CAPO303671, CAPO303687, CAPO303495	APOSC_11343
OG0000048	CAPO304823	APOSC_03220
OG0000049	CAPO304018	APOSC_16875, APOSC_03799, APOSC_21344, APOSC_10378, APOSC_00932, APOSC_16928, APOSC_08279, APOSC_26768, APOSC_02986, APOSC_00276, APOSC_12037, APOSC_12038, APOSC_06675, APOSC_16013, APOSC_03058, APOSC_16012, APOSC_13440
OG0000051	CAPO307809, CAPO301249	APOSC_27336, APOSC_26514, APOSC_20666, APOSC_22461, APOSC_22344, APOSC_05956, APOSC_05955, APOSC_12406, APOSC_19227, APOSC_13392, APOSC_24381, APOSC_14991, APOSC_06697, APOSC_26726, APOSC_24540, APOSC_13520, APOSC_16788, APOSC_16789, APOSC_17127, APOSC_08347, APOSC_17477, APOSC_05458, APOSC_29038
OG0000053	CAPO302193	APOSC_10479
OG0000053	CAPO307363	APOSC_02303
OG0000054	CAPO302015	APOSC_11718, APOSC_21385, APOSC_21386, APOSC_08913, APOSC_09151
OG0000056	CAPO305974, CAPO306012, CAPO306941	APOSC_00208, APOSC_00207, APOSC_00209, APOSC_17578, APOSC_21646, APOSC_28851, APOSC_04117, APOSC_04228
OG0000058	CAPO305595	APOSC_09888
OG0000058	CAPO307225	APOSC_06035, APOSC_20919
OG0000060	CAPO305373	APOSC_15645, APOSC_26756, APOSC_09536, APOSC_09537, APOSC_08992
OG0000062	CAPO300910	APOSC_00581, APOSC_20110, APOSC_00579, APOSC_00578, APOSC_25920, APOSC_02209, APOSC_13553, APOSC_13555, APOSC_22259, APOSC_22260, APOSC_26763, APOSC_18486, APOSC_01084, APOSC_04350, APOSC_22669, APOSC_22670, APOSC_00580, APOSC_02213, APOSC_02214, APOSC_02215, APOSC_02211, APOSC_02210, APOSC_02207
OG0000063	CAPO300270	APOSC_16969, APOSC_25041, APOSC_17949, APOSC_04214, APOSC_22074, APOSC_13172, APOSC_22080, APOSC_00283, APOSC_03289, APOSC_03344, APOSC_25427, APOSC_07856, APOSC_00623, APOSC_13886, APOSC_04832
OG0000066	CAPO308057	APOSC_23538, APOSC_05447, APOSC_13619, APOSC_03780, APOSC_14672, APOSC_14673, APOSC_20821, APOSC_10537, APOSC_19939, APOSC_15688, APOSC_00077, APOSC_07080, APOSC_23919, APOSC_19084
OG0000069	CAPO302182	APOSC_25357, APOSC_25356
OG0000069	CAPO301523, CAPO305173	APOSC_27459, APOSC_09914, APOSC_04180, APOSC_28736
OG0000079	CAPO302518	APOSC_18934, APOSC_10580
OG0000082	CAPO304738	APOSC_14161
OG0000082	CAPO306626	APOSC_20096
OG0000082	CAPO300843	APOSC_05443, APOSC_27848, APOSC_13154, APOSC_11148, APOSC_10803, APOSC_18436, APOSC_27594, APOSC_20710, APOSC_10804, APOSC_10807, APOSC_10806, APOSC_23423, APOSC_11149
OG0000082	CAPO306232	APOSC_04906, APOSC_05380, APOSC_05381
OG0000085	CAPO303061	APOSC_13201, APOSC_26270
OG0000085	CAPO303047	APOSC_00722, APOSC_00825, APOSC_21002, APOSC_14889, APOSC_25216
OG0000089	CAPO300386, CAPO300810, CAPO302098	APOSC_18998, APOSC_16361, APOSC_16362, APOSC_16332, APOSC_03222, APOSC_09284, APOSC_18760, APOSC_16196, APOSC_09635, APOSC_22092, APOSC_06490
OG0000090	CAPO304460, CAPO304458, CAPO303991	APOSC_26679
OG0000091	CAPO301134	APOSC_22685, APOSC_22687, APOSC_09354, APOSC_25431, APOSC_27981, APOSC_22686, APOSC_20969, APOSC_00118, APOSC_04431, APOSC_00071, APOSC_26465, APOSC_28469, APOSC_08986, APOSC_19169, APOSC_16352
OG0000095	CAPO301288, CAPO306046	APOSC_15000, APOSC_11760, APOSC_06417, APOSC_17239, APOSC_19404, APOSC_13013, APOSC_05229, APOSC_05033, APOSC_14575, APOSC_16159, APOSC_18748, APOSC_18747
OG0000096	CAPO301431	APOSC_03162
OG0000096	CAPO303349	APOSC_04023
OG0000096	CAPO307955	APOSC_25015
OG0000096	CAPO307522	APOSC_00869
OG0000096	CAPO300294	APOSC_16859
OG0000096	CAPO307017	APOSC_21738, APOSC_21519
OG0000101	CAPO306858	APOSC_08305, APOSC_10387, APOSC_23688, APOSC_25079, APOSC_09250
OG0000103	CAPO302453	APOSC_08194, APOSC_19265
OG0000106	CAPO300017	APOSC_22868, APOSC_21078, APOSC_19922, APOSC_04238, APOSC_13779, APOSC_13776, APOSC_13777, APOSC_13780, APOSC_13778, APOSC_25862, APOSC_25863
OG0000110	CAPO300387	APOSC_20398, APOSC_08788, APOSC_17988, APOSC_15633, APOSC_20613, APOSC_13751
OG0000116	CAPO305622	APOSC_28097, APOSC_09224
OG0000119	CAPO304642	APOSC_11483, APOSC_20728, APOSC_03029, APOSC_22358, APOSC_01445, APOSC_04311, APOSC_04310, APOSC_02102, APOSC_19027, APOSC_11438, APOSC_25237, APOSC_25238
OG0000122	CAPO307824	APOSC_15847, APOSC_25177, APOSC_11178, APOSC_05959
OG0000124	CAPO304324	APOSC_26551
OG0000124	CAPO302553	APOSC_03695
OG0000126	CAPO302484	APOSC_16760
OG0000126	CAPO306676	APOSC_16759
OG0000126	CAPO300572	APOSC_21117, APOSC_28093
OG0000128	CAPO306991, CAPO304956	APOSC_01674, APOSC_22700, APOSC_06337, APOSC_23630, APOSC_23631, APOSC_15987, APOSC_15026, APOSC_22520, APOSC_16380, APOSC_16568, APOSC_16647, APOSC_16648, APOSC_09785
OG0000129	CAPO303361	APOSC_12123, APOSC_24173, APOSC_21068
OG0000132	CAPO305174	APOSC_20151, APOSC_15845, APOSC_15846
OG0000137	CAPO305369	APOSC_04370, APOSC_14845, APOSC_20394, APOSC_26237, APOSC_01998, APOSC_01981, APOSC_01895, APOSC_21797
OG0000142	CAPO302031, CAPO302030	APOSC_24389, APOSC_05931, APOSC_06545, APOSC_21775, APOSC_20241, APOSC_07546, APOSC_00286, APOSC_07201, APOSC_14102, APOSC_15551
OG0000147	CAPO308132	APOSC_16682
OG0000147	CAPO304230	APOSC_20013, APOSC_18428, APOSC_05853
OG0000149	CAPO305206, CAPO306214	APOSC_17921, APOSC_17920, APOSC_17820, APOSC_12513, APOSC_00444, APOSC_02449, APOSC_02196, APOSC_09540, APOSC_20238
OG0000157	CAPO305956	APOSC_02266
OG0000157	CAPO302981	APOSC_27008
OG0000157	CAPO305824	APOSC_25645, APOSC_27261
OG0000160	CAPO301680	APOSC_17800
OG0000167	CAPO301364, CAPO303476	APOSC_04566, APOSC_04565, APOSC_29004, APOSC_28695, APOSC_16551, APOSC_17983, APOSC_26820, APOSC_24407, APOSC_10227
OG0000171	CAPO304813	APOSC_07430, APOSC_07431, APOSC_14851, APOSC_03334, APOSC_09017, APOSC_01598
OG0000174	CAPO304629	APOSC_21578, APOSC_07934, APOSC_01234, APOSC_10955, APOSC_03912, APOSC_03913, APOSC_08266
OG0000175	CAPO303513	APOSC_02663, APOSC_15663, APOSC_16993, APOSC_02106, APOSC_04816
OG0000179	CAPO300694	APOSC_21863, APOSC_17377, APOSC_21864
OG0000179	CAPO303342	APOSC_01350
OG0000181	CAPO302034	APOSC_01446, APOSC_07714
OG0000181	CAPO307692	APOSC_21154, APOSC_23852
OG0000181	CAPO300374	APOSC_04711
OG0000183	CAPO305638	APOSC_14059, APOSC_14061, APOSC_14060
OG0000183	CAPO305829	APOSC_02686, APOSC_08693, APOSC_25503
OG0000184	CAPO307711	APOSC_17807
OG0000184	CAPO304928	APOSC_16994, APOSC_24858, APOSC_05158
OG0000186	CAPO301875	APOSC_17386
OG0000192	CAPO300533	APOSC_22909, APOSC_22908
OG0000192	CAPO301980	APOSC_18847, APOSC_26537, APOSC_16524, APOSC_16523
OG0000193	CAPO302628	APOSC_09839, APOSC_24547, APOSC_08719, APOSC_15391, APOSC_02060, APOSC_04930
OG0000194	CAPO305195	APOSC_08244, APOSC_28959, APOSC_12079, APOSC_02139, APOSC_23179, APOSC_16403, APOSC_17541, APOSC_23977, APOSC_23755
OG0000195	CAPO305454	APOSC_18323, APOSC_17248, APOSC_07635, APOSC_25597, APOSC_05403, APOSC_26673, APOSC_09319, APOSC_28768
OG0000201	CAPO307729	APOSC_29091, APOSC_29090
OG0000203	CAPO302139	APOSC_26461, APOSC_04458, APOSC_04459, APOSC_05921, APOSC_26559
OG0000204	CAPO303090	APOSC_15076, APOSC_25272, APOSC_13121, APOSC_25275, APOSC_25274, APOSC_25273
OG0000207	CAPO304105, CAPO304106, CAPO304714	APOSC_21181, APOSC_21969, APOSC_12332
OG0000211	CAPO306209	APOSC_20059, APOSC_12887, APOSC_15302, APOSC_11394, APOSC_11393
OG0000218	CAPO300559	APOSC_25955, APOSC_07899, APOSC_15398, APOSC_28536, APOSC_15666, APOSC_28102, APOSC_02595, APOSC_03663, APOSC_06119, APOSC_06118
OG0000220	CAPO306780, CAPO307695	APOSC_23437, APOSC_08157, APOSC_17903, APOSC_13363, APOSC_13606, APOSC_11773, APOSC_08941, APOSC_26772, APOSC_26773
OG0000221	CAPO300247	APOSC_16263, APOSC_14357, APOSC_14358, APOSC_14359, APOSC_15397
OG0000222	CAPO304211	APOSC_08995, APOSC_00148, APOSC_21408, APOSC_17306, APOSC_24662, APOSC_18810, APOSC_29111
OG0000223	CAPO308126	APOSC_25707, APOSC_25708, APOSC_05271, APOSC_16511, APOSC_16512, APOSC_13895
OG0000225	CAPO305347	APOSC_17424, APOSC_17423, APOSC_28152, APOSC_13403, APOSC_16327, APOSC_12109
OG0000234	CAPO301359	APOSC_09141, APOSC_09142, APOSC_24843, APOSC_24844
OG0000238	CAPO305428	APOSC_11219, APOSC_20889
OG0000239	CAPO302089	APOSC_21234, APOSC_24359, APOSC_24358, APOSC_04749, APOSC_04748, APOSC_04747
OG0000240	CAPO303214	APOSC_07530
OG0000240	CAPO303372	APOSC_23062
OG0000242	CAPO304847	APOSC_24338
OG0000244	CAPO301556	APOSC_19143, APOSC_10917, APOSC_19144, APOSC_27515
OG0000246	CAPO303496	APOSC_00635, APOSC_17922, APOSC_11583
OG0000248	CAPO307635, CAPO302481, CAPO302487	APOSC_23190, APOSC_23191, APOSC_15009, APOSC_21579, APOSC_22139, APOSC_26499, APOSC_26498
OG0000250	CAPO305827	APOSC_09132
OG0000255	CAPO306632	APOSC_21297, APOSC_00489, APOSC_18233, APOSC_18232, APOSC_19496
OG0000255	CAPO301531	APOSC_00435
OG0000255	CAPO300499	APOSC_25370, APOSC_25369, APOSC_04436, APOSC_05899
OG0000256	CAPO307884	APOSC_10246
OG0000256	CAPO306483	APOSC_16681, APOSC_15086, APOSC_11495, APOSC_27505, APOSC_22638
OG0000257	CAPO300414	APOSC_04351, APOSC_27295, APOSC_28760, APOSC_11827, APOSC_11826, APOSC_18481, APOSC_16995, APOSC_02805
OG0000258	CAPO301106	APOSC_06996
OG0000258	CAPO301746	APOSC_15815, APOSC_03499, APOSC_03498
OG0000260	CAPO300399	APOSC_19872
OG0000265	CAPO306126	APOSC_09241
OG0000265	CAPO306540	APOSC_08586
OG0000271	CAPO304641	APOSC_22134, APOSC_20500, APOSC_20499, APOSC_09034, APOSC_17153, APOSC_17154, APOSC_00586
OG0000272	CAPO304601	APOSC_15206
OG0000273	CAPO305109	APOSC_08345
OG0000273	CAPO300804	APOSC_08532
OG0000273	CAPO306869	APOSC_21319, APOSC_14604
OG0000277	CAPO303621	APOSC_02311
OG0000277	CAPO301295	APOSC_25568, APOSC_09509, APOSC_02219, APOSC_09507, APOSC_28785, APOSC_09508, APOSC_28781, APOSC_28786, APOSC_28782, APOSC_28783
OG0000278	CAPO300620	APOSC_24937
OG0000278	CAPO300274	APOSC_05327, APOSC_27564, APOSC_09085, APOSC_14802, APOSC_14052, APOSC_13967
OG0000278	CAPO305822	APOSC_00087, APOSC_12407
OG0000278	CAPO302023	APOSC_09423
OG0000282	CAPO308183	APOSC_17576, APOSC_17574, APOSC_17573, APOSC_18715, APOSC_17575, APOSC_26306, APOSC_25877, APOSC_02484, APOSC_07889
OG0000284	CAPO305695	APOSC_24065, APOSC_13238, APOSC_13237
OG0000285	CAPO303377	APOSC_13024, APOSC_12091, APOSC_04006, APOSC_04005, APOSC_21541, APOSC_24563
OG0000288	CAPO305142	APOSC_09838
OG0000289	CAPO307835	APOSC_06815, APOSC_19166, APOSC_00919, APOSC_19609
OG0000295	CAPO302113, CAPO302799	APOSC_20995, APOSC_16630, APOSC_16753, APOSC_10930, APOSC_14533, APOSC_03427, APOSC_18908, APOSC_16631, APOSC_02326, APOSC_22548, APOSC_17856
OG0000299	CAPO306599	APOSC_09122, APOSC_09123, APOSC_09121
OG0000305	CAPO307183	APOSC_03005
OG0000306	CAPO308212	APOSC_12440, APOSC_12441, APOSC_12439
OG0000308	CAPO304037	APOSC_12039
OG0000308	CAPO303083	APOSC_05445, APOSC_04644
OG0000310	CAPO305978	APOSC_16775, APOSC_10135, APOSC_16800, APOSC_25840, APOSC_00375
OG0000312	CAPO304557	APOSC_08606
OG0000312	CAPO302691	APOSC_18962
OG0000313	CAPO307072	APOSC_29019, APOSC_14496
OG0000313	CAPO301348	APOSC_05787
OG0000314	CAPO304303	APOSC_06634, APOSC_05854, APOSC_12491, APOSC_21537, APOSC_18008
OG0000315	CAPO307611	APOSC_23860
OG0000315	CAPO308167	APOSC_19230
OG0000316	CAPO307924, CAPO300321	APOSC_03624, APOSC_07155
OG0000317	CAPO306620	APOSC_04469
OG0000319	CAPO303225	APOSC_19574, APOSC_08469, APOSC_22174, APOSC_22173, APOSC_02658
OG0000320	CAPO308077	APOSC_08545, APOSC_05429, APOSC_01585
OG0000322	CAPO306406	APOSC_03031, APOSC_02053, APOSC_27632, APOSC_16922, APOSC_26374, APOSC_18256
OG0000326	CAPO308358, CAPO307947	APOSC_12910
OG0000326	CAPO303322	APOSC_26060
OG0000327	CAPO308120	APOSC_17692, APOSC_09780
OG0000334	CAPO300337	APOSC_21997, APOSC_22742, APOSC_12460, APOSC_12461, APOSC_17465, APOSC_17466, APOSC_15654, APOSC_06862, APOSC_16465, APOSC_00746, APOSC_25390, APOSC_25389, APOSC_00116, APOSC_14183, APOSC_26541, APOSC_09486, APOSC_09488, APOSC_18452, APOSC_09782
OG0000335	CAPO307753	APOSC_21388, APOSC_05830, APOSC_20600, APOSC_20599, APOSC_24834, APOSC_23453
OG0000338	CAPO304735	APOSC_28658, APOSC_13614, APOSC_13615, APOSC_13420, APOSC_13421
OG0000339	CAPO305264	APOSC_26779, APOSC_02256, APOSC_24003, APOSC_07700, APOSC_07699, APOSC_25922, APOSC_18854, APOSC_05940
OG0000343	CAPO306429	APOSC_28356, APOSC_10760, APOSC_10761, APOSC_10758, APOSC_10759, APOSC_28355, APOSC_28357
OG0000345	CAPO300769	APOSC_14110, APOSC_14111
OG0000352	CAPO300356	APOSC_22930, APOSC_22928, APOSC_22929, APOSC_17716, APOSC_00546, APOSC_20597
OG0000357	CAPO301487	APOSC_07835
OG0000359	CAPO305417	APOSC_09932
OG0000359	CAPO301540	APOSC_27927
OG0000359	CAPO306866	APOSC_15516
OG0000360	CAPO300757	APOSC_15593, APOSC_20087, APOSC_13633, APOSC_13959
OG0000364	CAPO301330, CAPO300908	APOSC_25470, APOSC_07012, APOSC_07011, APOSC_21706, APOSC_11625, APOSC_14243
OG0000367	CAPO301272	APOSC_08227, APOSC_15610
OG0000371	CAPO307503	APOSC_28569, APOSC_01199, APOSC_08098, APOSC_04175, APOSC_11261, APOSC_07491, APOSC_07490, APOSC_23168, APOSC_23169
OG0000372	CAPO307553	APOSC_18539, APOSC_25246, APOSC_15484
OG0000373	CAPO301744	APOSC_15950, APOSC_23382, APOSC_21401
OG0000385	CAPO300182, CAPO305781, CAPO305517	APOSC_00509, APOSC_23259
OG0000390	CAPO301433, CAPO301477	APOSC_28058
OG0000390	CAPO307000	APOSC_10442, APOSC_04435, APOSC_14413
OG0000392	CAPO300351	APOSC_15558, APOSC_15557, APOSC_15559, APOSC_15556, APOSC_15555
OG0000393	CAPO307627	APOSC_00406, APOSC_21190, APOSC_09454, APOSC_01755, APOSC_03383, APOSC_19188
OG0000397	CAPO304372	APOSC_08278
OG0000399	CAPO302781	APOSC_04841, APOSC_02547, APOSC_12700, APOSC_12699, APOSC_12371
OG0000402	CAPO300999	APOSC_11815
OG0000405	CAPO300636	APOSC_22532, APOSC_22533
OG0000412	CAPO306116	APOSC_20667
OG0000412	CAPO307159	APOSC_01194, APOSC_01195, APOSC_14273
OG0000413	CAPO302663	APOSC_03087, APOSC_04045
OG0000413	CAPO304678	APOSC_03086
OG0000416	CAPO300647, CAPO303519	APOSC_21493, APOSC_24151, APOSC_10067
OG0000419	CAPO304227	APOSC_08566, APOSC_11016
OG0000420	CAPO307162	APOSC_12771, APOSC_26953, APOSC_23391
OG0000422	CAPO301071	APOSC_02348
OG0000424	CAPO302770, CAPO306814	APOSC_27699, APOSC_11109
OG0000426	CAPO302714	APOSC_23818
OG0000426	CAPO306829	APOSC_28032
OG0000427	CAPO303813	APOSC_26405
OG0000429	CAPO300725	APOSC_08336
OG0000431	CAPO306585	APOSC_21271
OG0000431	CAPO304684	APOSC_09355
OG0000433	CAPO304838, CAPO302573	APOSC_25213, APOSC_25212
OG0000434	CAPO304471	APOSC_23652, APOSC_03817, APOSC_08439, APOSC_02608, APOSC_08391, APOSC_20834, APOSC_03026
OG0000435	CAPO308080	APOSC_05189, APOSC_28530
OG0000436	CAPO305799	APOSC_07601, APOSC_07603, APOSC_07602, APOSC_07600
OG0000437	CAPO300952	APOSC_08659
OG0000442	CAPO302753, CAPO302633	APOSC_25495
OG0000444	CAPO305423	APOSC_22420
OG0000444	CAPO301239	APOSC_27883, APOSC_27884, APOSC_27885
OG0000445	CAPO301584	APOSC_13085, APOSC_27582, APOSC_29169, APOSC_06451, APOSC_22086, APOSC_02475, APOSC_03261, APOSC_24400, APOSC_00457, APOSC_22414, APOSC_04719, APOSC_02253
OG0000447	CAPO300691	APOSC_18957, APOSC_18959, APOSC_00311, APOSC_00312, APOSC_18960, APOSC_18958
OG0000450	CAPO307586, CAPO307446	APOSC_13051
OG0000453	CAPO305025	APOSC_12948, APOSC_06792
OG0000454	CAPO301952	APOSC_04570
OG0000461	CAPO303645, CAPO304085, CAPO303531	APOSC_17795, APOSC_01522
OG0000461	CAPO307456	APOSC_17426
OG0000467	CAPO302815	APOSC_24466
OG0000467	CAPO302214	APOSC_08499, APOSC_08498
OG0000468	CAPO302003, CAPO303185	APOSC_15884, APOSC_04385, APOSC_04384, APOSC_23794, APOSC_02625
OG0000469	CAPO306584, CAPO302277	APOSC_06315
OG0000469	CAPO302982	APOSC_00048
OG0000470	CAPO307521	APOSC_06373, APOSC_13511
OG0000474	CAPO307766	APOSC_06438, APOSC_01743, APOSC_06626
OG0000475	CAPO303779	APOSC_03227
OG0000476	CAPO306104	APOSC_05340
OG0000479	CAPO303549	APOSC_19125
OG0000479	CAPO304267	APOSC_05602, APOSC_05603
OG0000480	CAPO307201	APOSC_23759, APOSC_15162, APOSC_11842
OG0000481	CAPO300053	APOSC_15444
OG0000481	CAPO304800	APOSC_09024
OG0000481	CAPO304355	APOSC_07226
OG0000484	CAPO304750	APOSC_17564
OG0000485	CAPO303224, CAPO303026	APOSC_22490, APOSC_07829, APOSC_29014
OG0000486	CAPO306048, CAPO306972	APOSC_27933, APOSC_23293, APOSC_14127, APOSC_20131, APOSC_06301, APOSC_18885, APOSC_05208
OG0000491	CAPO306985	APOSC_11927
OG0000491	CAPO305506	APOSC_02630
OG0000494	CAPO300277	APOSC_11332, APOSC_16566
OG0000506	CAPO304587	APOSC_08969, APOSC_08968, APOSC_08970
OG0000508	CAPO303408, CAPO307945	APOSC_05722
OG0000508	CAPO302590	APOSC_10035, APOSC_10034, APOSC_01187
OG0000510	CAPO303128, CAPO305095	APOSC_13254, APOSC_09949, APOSC_08521
OG0000511	CAPO301322	APOSC_04210
OG0000514	CAPO307292	APOSC_03985, APOSC_03987, APOSC_03986, APOSC_03988
OG0000519	CAPO300709	APOSC_08070, APOSC_07952, APOSC_07867, APOSC_26169, APOSC_12522, APOSC_03973
OG0000520	CAPO304720	APOSC_24142, APOSC_24141
OG0000522	CAPO306204	APOSC_19448, APOSC_02708, APOSC_02709, APOSC_19474
OG0000528	CAPO300417	APOSC_21072, APOSC_27896, APOSC_27895, APOSC_27894, APOSC_10006
OG0000530	CAPO306919	APOSC_02543, APOSC_02542, APOSC_23277
OG0000532	CAPO301913	APOSC_22447, APOSC_22554, APOSC_21968, APOSC_00030, APOSC_23439, APOSC_03161, APOSC_27092, APOSC_13775, APOSC_10762
OG0000538	CAPO300039	APOSC_00020, APOSC_00021, APOSC_00019
OG0000548	CAPO307253, CAPO307370	APOSC_19082, APOSC_15990, APOSC_28441
OG0000549	CAPO305341	APOSC_08202, APOSC_11264, APOSC_04931, APOSC_21216, APOSC_12322, APOSC_09908, APOSC_27494, APOSC_06706, APOSC_02592, APOSC_02591, APOSC_11384
OG0000551	CAPO305700	APOSC_25334
OG0000552	CAPO302805	APOSC_17802, APOSC_27388, APOSC_24689
OG0000553	CAPO302261	APOSC_24608, APOSC_24201
OG0000554	CAPO300205	APOSC_16563
OG0000561	CAPO307817, CAPO304686, CAPO304296	APOSC_03200, APOSC_16141, APOSC_11810, APOSC_07680
OG0000563	CAPO305151	APOSC_00239, APOSC_04439, APOSC_16157, APOSC_09253
OG0000566	CAPO306820	APOSC_11934, APOSC_11935, APOSC_15450
OG0000567	CAPO300710, CAPO302895	APOSC_14517, APOSC_18883, APOSC_10800, APOSC_03648, APOSC_00240
OG0000569	CAPO302672	APOSC_02396, APOSC_00479, APOSC_17883, APOSC_19992, APOSC_19991, APOSC_15256
OG0000572	CAPO302048	APOSC_00810, APOSC_09082
OG0000573	CAPO301573	APOSC_00916
OG0000573	CAPO300482	APOSC_06381
OG0000574	CAPO303025	APOSC_08284, APOSC_25605, APOSC_12973
OG0000578	CAPO305505	APOSC_19019
OG0000583	CAPO302594	APOSC_07446, APOSC_07447
OG0000585	CAPO302010	APOSC_02435
OG0000586	CAPO304818	APOSC_22177, APOSC_09041, APOSC_22806
OG0000587	CAPO304868	APOSC_07501
OG0000588	CAPO300701	APOSC_23369
OG0000590	CAPO302664	APOSC_14417
OG0000590	CAPO307990	APOSC_05832
OG0000591	CAPO300885	APOSC_29125, APOSC_25553
OG0000591	CAPO301508, CAPO306921	APOSC_18730
OG0000592	CAPO302552	APOSC_07367, APOSC_26247
OG0000593	CAPO303950	APOSC_19192, APOSC_02138
OG0000594	CAPO305185	APOSC_26355, APOSC_27194, APOSC_06591
OG0000597	CAPO305949	APOSC_18654, APOSC_09238
OG0000600	CAPO302133	APOSC_25418, APOSC_09338, APOSC_04542, APOSC_04543
OG0000603	CAPO300286	APOSC_11168
OG0000604	CAPO304248	APOSC_28543, APOSC_28930, APOSC_08014, APOSC_08012
OG0000609	CAPO306415	APOSC_15758
OG0000611	CAPO305139	APOSC_10183
OG0000611	CAPO302505	APOSC_21101
OG0000612	CAPO308174	APOSC_01590
OG0000612	CAPO300901	APOSC_11557
OG0000613	CAPO306741, CAPO303985	APOSC_03778, APOSC_26003
OG0000614	CAPO308097	APOSC_01606, APOSC_01607
OG0000614	CAPO306138, CAPO304207	APOSC_29108, APOSC_13391, APOSC_01420, APOSC_13390
