Orthogroup	CAPO3	CAEEL
OG0000055	CAPO301479, CAPO301432	CAEEL14858
OG0000056	CAPO305974, CAPO306012, CAPO306941	CAEEL05273, CAEEL04117
OG0000058	CAPO305595	CAEEL06550
OG0000060	CAPO305373	CAEEL10777, CAEEL19591, CAEEL14860, CAEEL00284, CAEEL15063, CAEEL20841, CAEEL08516, CAEEL20840, CAEEL08749, CAEEL08751, CAEEL08470
OG0000062	CAPO300910	CAEEL02955
OG0000063	CAPO300270	CAEEL05773, CAEEL11408, CAEEL04400
OG0000066	CAPO308057	CAEEL18679, CAEEL20109, CAEEL18639
OG0000069	CAPO302182	CAEEL14766
OG0000069	CAPO303953	CAEEL07263, CAEEL07262, CAEEL15933
OG0000069	CAPO301523, CAPO305173	CAEEL19293
OG0000082	CAPO304738	CAEEL18954, CAEEL04897
OG0000082	CAPO306626	CAEEL13927
OG0000082	CAPO300843	CAEEL12687
OG0000082	CAPO306232	CAEEL01784, CAEEL05942, CAEEL05941
OG0000085	CAPO303061	CAEEL06909
OG0000085	CAPO303047	CAEEL07759, CAEEL07542, CAEEL03085, CAEEL08077
OG0000091	CAPO301134	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359, CAEEL05045
OG0000095	CAPO301288, CAPO306046	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114
OG0000096	CAPO301431	CAEEL11088
OG0000096	CAPO307955	CAEEL08533
OG0000096	CAPO300294	CAEEL11776
OG0000096	CAPO307017	CAEEL06051, CAEEL07422
OG0000101	CAPO306858	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201
OG0000103	CAPO302453	CAEEL11159, CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258, CAEEL01469, CAEEL18445
OG0000106	CAPO300017	CAEEL00505, CAEEL20256, CAEEL19130, CAEEL20701
OG0000110	CAPO300387	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689
OG0000114	CAPO302440	CAEEL15245, CAEEL11468
OG0000116	CAPO305622	CAEEL14875
OG0000119	CAPO304642	CAEEL08480, CAEEL08396
OG0000122	CAPO307824	CAEEL01544
OG0000126	CAPO301836	CAEEL08841, CAEEL04611
OG0000126	CAPO300572	CAEEL09101, CAEEL10194
OG0000128	CAPO306991, CAPO304956	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	CAPO303361	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187, CAEEL12325, CAEEL08188
OG0000137	CAPO305369	CAEEL18416, CAEEL11601, CAEEL10559
OG0000142	CAPO302031, CAPO302030	CAEEL15831, CAEEL19259, CAEEL19543, CAEEL08844, CAEEL07256, CAEEL07175
OG0000147	CAPO308132	CAEEL18488
OG0000149	CAPO305206, CAPO306214	CAEEL02847, CAEEL15543, CAEEL15991, CAEEL08694
OG0000157	CAPO305956	CAEEL00241
OG0000157	CAPO301137	CAEEL20182
OG0000157	CAPO305824	CAEEL09404, CAEEL00123, CAEEL01390
OG0000158	CAPO305752	CAEEL04589
OG0000158	CAPO302924	CAEEL20117, CAEEL08684
OG0000160	CAPO301680	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000167	CAPO301364, CAPO303476	CAEEL02846, CAEEL00196
OG0000171	CAPO304813	CAEEL00910, CAEEL20651, CAEEL11480
OG0000174	CAPO304629	CAEEL12711, CAEEL09479
OG0000175	CAPO303513	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	CAPO300694	CAEEL13640
OG0000179	CAPO303342	CAEEL02965, CAEEL06713
OG0000181	CAPO301108	CAEEL07684
OG0000181	CAPO302034	CAEEL10858
OG0000181	CAPO307692	CAEEL10772
OG0000181	CAPO300374	CAEEL12632
OG0000183	CAPO305638	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	CAPO305829	CAEEL18435
OG0000184	CAPO304928	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000192	CAPO301980	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365
OG0000193	CAPO302628	CAEEL18944, CAEEL09482, CAEEL14826, CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079, CAEEL08719, CAEEL15014, CAEEL15011, CAEEL13132, CAEEL16410, CAEEL16409, CAEEL08797, CAEEL15012, CAEEL15013, CAEEL13133, CAEEL18985
OG0000194	CAPO305195	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	CAPO305454	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312, CAEEL16482, CAEEL10039, CAEEL10038, CAEEL10040, CAEEL02220, CAEEL16481
OG0000203	CAPO302139	CAEEL09812
OG0000207	CAPO304105, CAPO304106, CAPO304714	CAEEL05874, CAEEL00203
OG0000211	CAPO306209	CAEEL02936, CAEEL15290, CAEEL01111, CAEEL01112, CAEEL02311
OG0000218	CAPO300559	CAEEL07824, CAEEL20213, CAEEL19795
OG0000220	CAPO306780, CAPO307695	CAEEL07565, CAEEL08758
OG0000221	CAPO300247	CAEEL10747, CAEEL06648
OG0000223	CAPO308126	CAEEL01621, CAEEL00892
OG0000225	CAPO305347	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	CAPO306934	CAEEL12318
OG0000226	CAPO303463	CAEEL10068, CAEEL15041
OG0000234	CAPO301359	CAEEL02295, CAEEL03013, CAEEL03014
OG0000238	CAPO305428	CAEEL15430, CAEEL15432, CAEEL15171, CAEEL15387, CAEEL15431
OG0000239	CAPO302089	CAEEL06658, CAEEL14926, CAEEL00570
OG0000242	CAPO304847	CAEEL01149, CAEEL01953, CAEEL01038, CAEEL11304, CAEEL00585, CAEEL01041, CAEEL01477
OG0000244	CAPO301556	CAEEL11789, CAEEL12688
OG0000246	CAPO303496	CAEEL00493, CAEEL00494, CAEEL10694, CAEEL12777, CAEEL15450, CAEEL20225, CAEEL10695, CAEEL16679, CAEEL15404, CAEEL12853, CAEEL12851, CAEEL13386, CAEEL16713, CAEEL17032, CAEEL03988, CAEEL03987, CAEEL13388, CAEEL13387, CAEEL06476, CAEEL15461, CAEEL13389, CAEEL11832
OG0000248	CAPO307635, CAPO302481, CAPO302487	CAEEL17077
OG0000250	CAPO305827	CAEEL07261
OG0000255	CAPO301531	CAEEL05168
OG0000255	CAPO300499	CAEEL05715
OG0000256	CAPO307884	CAEEL11937, CAEEL19468
OG0000257	CAPO300414	CAEEL01910, CAEEL15386
OG0000258	CAPO301106	CAEEL19537
OG0000258	CAPO301746	CAEEL09342, CAEEL15770
OG0000260	CAPO303219, CAPO300399	CAEEL11482
OG0000265	CAPO306126	CAEEL20581
OG0000265	CAPO306540	CAEEL10364
OG0000271	CAPO304641	CAEEL07236
OG0000273	CAPO305109	CAEEL18644
OG0000273	CAPO306869	CAEEL20077
OG0000277	CAPO300750, CAPO306681, CAPO303621	CAEEL07730, CAEEL07729
OG0000277	CAPO301295	CAEEL11066
OG0000277	CAPO307814, CAPO307752	CAEEL07250, CAEEL00092, CAEEL02855
OG0000278	CAPO305822	CAEEL09180
OG0000278	CAPO302023	CAEEL07099
OG0000278	CAPO303638	CAEEL02024
OG0000282	CAPO308183	CAEEL11864, CAEEL04645
OG0000285	CAPO303377	CAEEL00191, CAEEL14297, CAEEL16730
OG0000295	CAPO302113, CAPO302799	CAEEL04248, CAEEL10950
OG0000305	CAPO307183	CAEEL15162, CAEEL10872, CAEEL15163
OG0000306	CAPO308212	CAEEL11447, CAEEL11444, CAEEL11445, CAEEL11448, CAEEL11446
OG0000308	CAPO304037, CAPO303083	CAEEL00748
OG0000312	CAPO304557	CAEEL19323
OG0000312	CAPO302691	CAEEL08464
OG0000312	CAPO307944	CAEEL11599, CAEEL00601, CAEEL11535
OG0000313	CAPO301348	CAEEL12617, CAEEL06343
OG0000314	CAPO304303	CAEEL05241, CAEEL12578, CAEEL14227, CAEEL02951
OG0000315	CAPO307611	CAEEL07409
OG0000315	CAPO308167	CAEEL07292
OG0000317	CAPO306620	CAEEL18155
OG0000319	CAPO303225	CAEEL00889, CAEEL10346
OG0000321	CAPO303657, CAPO307405	CAEEL08916
OG0000322	CAPO306406	CAEEL18855, CAEEL09291, CAEEL09109
OG0000327	CAPO308120	CAEEL05176, CAEEL18527, CAEEL06891
OG0000338	CAPO304735	CAEEL02726
OG0000339	CAPO305264	CAEEL05344
OG0000343	CAPO306429	CAEEL00542
OG0000345	CAPO300769	CAEEL09288
OG0000352	CAPO300356	CAEEL05587
OG0000357	CAPO301487	CAEEL10151, CAEEL05953
OG0000359	CAPO305417	CAEEL02740, CAEEL18786, CAEEL18785
OG0000359	CAPO301540	CAEEL04647
OG0000363	CAPO305594	CAEEL12357, CAEEL16480
OG0000364	CAPO301330, CAPO300908	CAEEL18153, CAEEL18154
OG0000365	CAPO302286	CAEEL02170, CAEEL00591
OG0000367	CAPO301272	CAEEL13915, CAEEL16273, CAEEL20317, CAEEL09650, CAEEL09649, CAEEL19713, CAEEL19711, CAEEL11241
OG0000371	CAPO307503	CAEEL18802
OG0000372	CAPO307553	CAEEL09938, CAEEL06634, CAEEL11042
OG0000373	CAPO301744	CAEEL08053, CAEEL15439
OG0000385	CAPO300182, CAPO305781, CAPO305517	CAEEL20119, CAEEL20120, CAEEL20118, CAEEL05039, CAEEL19866, CAEEL19865, CAEEL19762, CAEEL19761, CAEEL19763, CAEEL19764, CAEEL17379, CAEEL11987, CAEEL00992
OG0000392	CAPO300351	CAEEL03273
OG0000393	CAPO307627	CAEEL14690, CAEEL11594, CAEEL00138
OG0000399	CAPO302781	CAEEL12746, CAEEL18399, CAEEL01136, CAEEL00515
OG0000402	CAPO300999	CAEEL20859, CAEEL09914, CAEEL09915
OG0000405	CAPO300636	CAEEL01740
OG0000412	CAPO306116	CAEEL11655
OG0000412	CAPO307159	CAEEL09909, CAEEL20650
OG0000413	CAPO302663	CAEEL15525
OG0000413	CAPO304678	CAEEL18945
OG0000419	CAPO301169	CAEEL20185
OG0000419	CAPO304227	CAEEL19090
OG0000424	CAPO302770, CAPO306814	CAEEL14391, CAEEL12816, CAEEL12859, CAEEL15190, CAEEL16002, CAEEL14301, CAEEL11422, CAEEL16478
OG0000426	CAPO302714	CAEEL19943
OG0000426	CAPO306829	CAEEL20473
OG0000427	CAPO302870, CAPO303813	CAEEL05100
OG0000429	CAPO300725	CAEEL02588, CAEEL02589, CAEEL02587, CAEEL02586, CAEEL08573, CAEEL20624
OG0000431	CAPO306585, CAPO304684	CAEEL07320
OG0000433	CAPO304838, CAPO302573	CAEEL00915, CAEEL00914
OG0000435	CAPO308080	CAEEL07610
OG0000436	CAPO305799	CAEEL08451, CAEEL08483, CAEEL08086
OG0000442	CAPO301179	CAEEL01105
OG0000444	CAPO305423	CAEEL18555
OG0000444	CAPO301239	CAEEL11270, CAEEL13198, CAEEL07333, CAEEL07332, CAEEL07334, CAEEL18670
OG0000447	CAPO300691	CAEEL07754, CAEEL07753
OG0000450	CAPO307586, CAPO307446	CAEEL10968, CAEEL18844, CAEEL20319, CAEEL09221
OG0000454	CAPO301952	CAEEL02888, CAEEL02886, CAEEL02877, CAEEL02880, CAEEL02881, CAEEL02883, CAEEL02884, CAEEL02885, CAEEL02878, CAEEL02887, CAEEL02879, CAEEL02882
OG0000461	CAPO303645, CAPO304085, CAPO303531	CAEEL06628
OG0000461	CAPO307456	CAEEL08066
OG0000467	CAPO302214	CAEEL10426, CAEEL00823
OG0000468	CAPO302003, CAPO303185	CAEEL05744
OG0000469	CAPO306584, CAPO302277	CAEEL09645
OG0000470	CAPO307521	CAEEL01892, CAEEL15886
OG0000475	CAPO303779	CAEEL00594, CAEEL00593
OG0000476	CAPO306104	CAEEL13996, CAEEL04770
OG0000479	CAPO303549	CAEEL02339
OG0000479	CAPO304267	CAEEL09202
OG0000480	CAPO307201	CAEEL10994, CAEEL19312, CAEEL11292
OG0000481	CAPO300053	CAEEL09089, CAEEL09097
OG0000481	CAPO304800	CAEEL07158
OG0000481	CAPO304355	CAEEL11815
OG0000484	CAPO304750	CAEEL04965, CAEEL04966
OG0000485	CAPO303224, CAPO303026	CAEEL19088, CAEEL15576
OG0000486	CAPO306048, CAPO306972	CAEEL06528, CAEEL08508, CAEEL10686, CAEEL10332, CAEEL10336, CAEEL11227, CAEEL11225, CAEEL12738
OG0000488	CAPO305871	CAEEL05865, CAEEL05866
OG0000490	CAPO302264	CAEEL18080
OG0000491	CAPO305506	CAEEL07820
OG0000506	CAPO304587	CAEEL18864
OG0000508	CAPO303408, CAPO307945	CAEEL07260
OG0000510	CAPO303128, CAPO305095	CAEEL10925, CAEEL11992, CAEEL05859, CAEEL08413
OG0000514	CAPO307292	CAEEL07294, CAEEL18391, CAEEL14359
OG0000519	CAPO300709	CAEEL01270, CAEEL18558, CAEEL05173
OG0000520	CAPO302094, CAPO304720	CAEEL07490
OG0000528	CAPO300417	CAEEL17966
OG0000529	CAPO307357	CAEEL15849
OG0000530	CAPO306919	CAEEL05713, CAEEL05714
OG0000532	CAPO300259	CAEEL05864, CAEEL10521, CAEEL00080, CAEEL20665, CAEEL04618
OG0000538	CAPO300039	CAEEL07439
OG0000548	CAPO307253, CAPO307370	CAEEL10591, CAEEL10590
OG0000549	CAPO305341	CAEEL05133, CAEEL12072, CAEEL18719, CAEEL18720
OG0000551	CAPO305700	CAEEL05226
OG0000552	CAPO302805	CAEEL08432
OG0000553	CAPO302261	CAEEL01952
OG0000554	CAPO300205	CAEEL11339, CAEEL01325, CAEEL09891
OG0000561	CAPO307817, CAPO304686, CAPO304296	CAEEL16454, CAEEL15785
OG0000563	CAPO305151	CAEEL11870, CAEEL10514, CAEEL07864
OG0000566	CAPO306820	CAEEL15091
OG0000567	CAPO300710, CAPO302895	CAEEL02967, CAEEL00946, CAEEL06307, CAEEL10055, CAEEL11553, CAEEL04491
OG0000569	CAPO302672	CAEEL13456, CAEEL13683, CAEEL13676, CAEEL13675
OG0000572	CAPO302048	CAEEL13663, CAEEL04776
OG0000573	CAPO301573	CAEEL05940
OG0000573	CAPO300482	CAEEL01355
OG0000574	CAPO303025	CAEEL19269, CAEEL18789, CAEEL19638, CAEEL19639, CAEEL19209, CAEEL18848
OG0000578	CAPO305505	CAEEL16491, CAEEL16492, CAEEL16490
OG0000579	CAPO304566, CAPO303994, CAPO303635	CAEEL11246, CAEEL09670, CAEEL09822
OG0000583	CAPO302594	CAEEL01762, CAEEL01763
OG0000585	CAPO302010	CAEEL11782, CAEEL11783
OG0000586	CAPO304818	CAEEL05852
OG0000587	CAPO304868	CAEEL14207
OG0000588	CAPO301971, CAPO300701	CAEEL05897
OG0000590	CAPO302664	CAEEL01780
OG0000591	CAPO300885	CAEEL19878
OG0000591	CAPO301508, CAPO306921	CAEEL18367
OG0000592	CAPO302552	CAEEL14862, CAEEL07829, CAEEL16963, CAEEL16245, CAEEL16244
OG0000593	CAPO303950	CAEEL02027
OG0000594	CAPO305185	CAEEL11331
OG0000597	CAPO305949	CAEEL08741
OG0000600	CAPO302133	CAEEL02285, CAEEL02284
OG0000603	CAPO300286	CAEEL15474, CAEEL15475
OG0000604	CAPO304248	CAEEL14390
OG0000609	CAPO302298, CAPO305915, CAPO306415	CAEEL11904
OG0000611	CAPO305139	CAEEL08225
OG0000611	CAPO302505	CAEEL09831
OG0000612	CAPO308174	CAEEL07651
OG0000612	CAPO300901	CAEEL06875
OG0000613	CAPO306741, CAPO303985	CAEEL14429, CAEEL16442
OG0000614	CAPO306138, CAPO304207	CAEEL16724, CAEEL12529, CAEEL12506, CAEEL12516, CAEEL15268, CAEEL15964
OG0000616	CAPO301011	CAEEL19744
OG0000617	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167	CAEEL12168
OG0000619	CAPO303580	CAEEL02635
OG0000623	CAPO306891	CAEEL16178, CAEEL06411
OG0000623	CAPO306678	CAEEL16276
OG0000624	CAPO304034, CAPO304035	CAEEL08547, CAEEL13903, CAEEL13902
OG0000627	CAPO301912	CAEEL01126
OG0000636	CAPO300927, CAPO308236	CAEEL19659
OG0000637	CAPO306492	CAEEL18181
OG0000639	CAPO300322	CAEEL00195
OG0000639	CAPO305269	CAEEL00077
OG0000642	CAPO302938, CAPO302939, CAPO304769, CAPO302566	CAEEL04693
OG0000645	CAPO306925	CAEEL14093
OG0000645	CAPO307784, CAPO304648	CAEEL02916
OG0000648	CAPO306715	CAEEL05737
OG0000650	CAPO302429	CAEEL15107
OG0000651	CAPO301045	CAEEL08479
OG0000652	CAPO307163	CAEEL09392, CAEEL09393
OG0000653	CAPO304384	CAEEL20136
OG0000657	CAPO304461, CAPO304462	CAEEL01693
OG0000660	CAPO304213	CAEEL06994
OG0000662	CAPO308235	CAEEL07265, CAEEL20546
OG0000663	CAPO303713	CAEEL07269
OG0000664	CAPO305353	CAEEL10897, CAEEL10896, CAEEL00118, CAEEL00117
OG0000665	CAPO304505, CAPO304163	CAEEL18458, CAEEL04875, CAEEL05353, CAEEL11596, CAEEL18744
OG0000666	CAPO306172	CAEEL11143
OG0000672	CAPO301072	CAEEL07948, CAEEL07943
OG0000672	CAPO301848	CAEEL00089, CAEEL00988
OG0000674	CAPO303746	CAEEL01995
OG0000676	CAPO304343, CAPO305288	CAEEL18677, CAEEL18678
OG0000683	CAPO304912	CAEEL18608
OG0000683	CAPO305392, CAPO303509	CAEEL02948, CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944
OG0000684	CAPO306227	CAEEL11185
OG0000690	CAPO306653	CAEEL02355, CAEEL16430
OG0000690	CAPO306445	CAEEL05043
OG0000691	CAPO301028	CAEEL06257, CAEEL17188
OG0000692	CAPO306980	CAEEL05111, CAEEL03292
OG0000693	CAPO300633	CAEEL03253, CAEEL03254
OG0000694	CAPO302468	CAEEL05732, CAEEL18784, CAEEL02081, CAEEL02961
OG0000696	CAPO305466, CAPO301422	CAEEL19612
OG0000697	CAPO304466, CAPO306724	CAEEL10883
OG0000699	CAPO306785, CAPO302735	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285
OG0000701	CAPO306727	CAEEL01775, CAEEL09588, CAEEL02242
OG0000703	CAPO308078	CAEEL12761, CAEEL18049, CAEEL09236, CAEEL06037
OG0000708	CAPO302130	CAEEL04786, CAEEL04785
OG0000708	CAPO300640	CAEEL12722
OG0000711	CAPO304713	CAEEL05244, CAEEL04946, CAEEL03027
OG0000713	CAPO302804	CAEEL15727
OG0000715	CAPO305197	CAEEL07311, CAEEL07310, CAEEL07309
OG0000716	CAPO306957	CAEEL00463
OG0000717	CAPO302989	CAEEL20044, CAEEL07958, CAEEL19048
OG0000718	CAPO301597, CAPO306021	CAEEL13965, CAEEL14743, CAEEL16052, CAEEL06479
OG0000721	CAPO305154, CAPO301906	CAEEL07780, CAEEL00853
OG0000724	CAPO300826	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753, CAEEL04537
OG0000726	CAPO302910	CAEEL08988, CAEEL08987
OG0000731	CAPO304569	CAEEL18982
OG0000732	CAPO304867	CAEEL02711
OG0000732	CAPO302445	CAEEL11771
OG0000733	CAPO301695	CAEEL17006, CAEEL15524
OG0000735	CAPO302824	CAEEL14834, CAEEL14835
OG0000736	CAPO306770	CAEEL09174
OG0000737	CAPO304586	CAEEL19663, CAEEL06154, CAEEL04487, CAEEL04486
OG0000747	CAPO303187	CAEEL02279
OG0000751	CAPO302771	CAEEL09020
OG0000752	CAPO300507	CAEEL04370
OG0000753	CAPO301378	CAEEL17415
OG0000755	CAPO300267	CAEEL01302
OG0000757	CAPO307096	CAEEL20030
OG0000757	CAPO300067	CAEEL00176
OG0000759	CAPO300473	CAEEL20475, CAEEL16710
OG0000761	CAPO305655	CAEEL19698
OG0000765	CAPO301853	CAEEL08924, CAEEL20292
OG0000766	CAPO300388	CAEEL01660, CAEEL18773, CAEEL19845, CAEEL20678, CAEEL20679, CAEEL04502
OG0000767	CAPO305367	CAEEL15327, CAEEL15326, CAEEL18584
OG0000774	CAPO306995	CAEEL03062, CAEEL08377, CAEEL12020, CAEEL14163, CAEEL12021
OG0000775	CAPO306201	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550, CAEEL09740
OG0000776	CAPO307356	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206
OG0000779	CAPO305943	CAEEL01706
OG0000788	CAPO304590	CAEEL04328, CAEEL04329, CAEEL04327, CAEEL01175
OG0000791	CAPO304699	CAEEL09121
OG0000792	CAPO305838	CAEEL06858, CAEEL06859
OG0000793	CAPO301604	CAEEL00246
OG0000794	CAPO304031	CAEEL14272, CAEEL13170
OG0000797	CAPO307534	CAEEL11404
OG0000803	CAPO301668	CAEEL18447
OG0000809	CAPO304242	CAEEL06532
OG0000810	CAPO305098, CAPO306601	CAEEL00977
OG0000813	CAPO300040, CAPO308168	CAEEL10975, CAEEL10973, CAEEL01084
OG0000814	CAPO307227	CAEEL07659, CAEEL07658, CAEEL11834, CAEEL05113
OG0000817	CAPO303823, CAPO300023, CAPO308202	CAEEL09272
OG0000818	CAPO307656	CAEEL08212
OG0000820	CAPO303993, CAPO304861, CAPO306914, CAPO301340, CAPO300173, CAPO302332, CAPO305090, CAPO300452	CAEEL08726
OG0000826	CAPO306060	CAEEL04414
OG0000828	CAPO306023	CAEEL01170
OG0000828	CAPO307153	CAEEL14806
OG0000834	CAPO306233	CAEEL00925, CAEEL00924
OG0000836	CAPO306019, CAPO307821	CAEEL01665
OG0000837	CAPO308104, CAPO303511	CAEEL19270, CAEEL07955
OG0000838	CAPO303856	CAEEL12737, CAEEL20556
OG0000841	CAPO300281	CAEEL02360
OG0000844	CAPO306591, CAPO307267	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848
OG0000847	CAPO301759, CAPO307057	CAEEL04304, CAEEL04305, CAEEL19991
OG0000847	CAPO308298	CAEEL07299
OG0000849	CAPO304492	CAEEL04333
OG0000850	CAPO302141, CAPO306299	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935
OG0000851	CAPO304092	CAEEL08745
OG0000852	CAPO307622	CAEEL08255
OG0000857	CAPO302559	CAEEL04547
OG0000860	CAPO306338	CAEEL09321, CAEEL18240
OG0000871	CAPO300407	CAEEL00781, CAEEL13789
OG0000873	CAPO307878	CAEEL01374
OG0000875	CAPO303418, CAPO302903	CAEEL08184, CAEEL12416
OG0000876	CAPO302150	CAEEL00773, CAEEL00774
