Orthogroup	CAPO3	XENTR
OG0000082	CAPO300843	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628
OG0000085	CAPO303061	XENTR01729, XENTR03138
OG0000085	CAPO303047	XENTR04052, XENTR12507, XENTR00852, XENTR15005, XENTR14407, XENTR15163, XENTR04222, XENTR00809, XENTR12508, XENTR04053, XENTR12352, XENTR12351
OG0000089	CAPO300386, CAPO300810, CAPO302098	XENTR04109
OG0000091	CAPO301134	XENTR08624
OG0000096	CAPO301431	XENTR02339, XENTR11518
OG0000096	CAPO307955	XENTR06220, XENTR01880
OG0000096	CAPO307522	XENTR18613
OG0000096	CAPO300294	XENTR18353, XENTR11491, XENTR07413, XENTR11633
OG0000096	CAPO307017	XENTR16018, XENTR14119, XENTR17893
OG0000101	CAPO306858	XENTR09885, XENTR05951, XENTR10544, XENTR10545, XENTR08772, XENTR05240, XENTR13420, XENTR13421, XENTR13418, XENTR13417, XENTR13424, XENTR13419, XENTR13422, XENTR13423, XENTR08771
OG0000103	CAPO302453	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493, XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000106	CAPO300017	XENTR16525, XENTR07760, XENTR12554, XENTR12553, XENTR12551, XENTR12552, XENTR12555, XENTR07802, XENTR00833, XENTR04047, XENTR14694, XENTR05910, XENTR12158, XENTR05297
OG0000110	CAPO300387	XENTR04384, XENTR09458
OG0000116	CAPO305622	XENTR12530
OG0000119	CAPO304642	XENTR05393, XENTR05242, XENTR06871, XENTR00115, XENTR07107, XENTR12433, XENTR15934, XENTR15933, XENTR01125, XENTR14071
OG0000122	CAPO307824	XENTR06907, XENTR17281, XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802
OG0000124	CAPO302553	XENTR09248, XENTR09249
OG0000126	CAPO301836	XENTR03459, XENTR13788, XENTR00416
OG0000126	CAPO302484	XENTR02718, XENTR02062, XENTR09023
OG0000126	CAPO300572	XENTR14632, XENTR03466, XENTR05061, XENTR11942, XENTR13975, XENTR08532
OG0000128	CAPO306991, CAPO304956	XENTR09496, XENTR10668, XENTR08486, XENTR08487
OG0000129	CAPO303361	XENTR14286, XENTR13439, XENTR09476, XENTR13435, XENTR13438, XENTR13437, XENTR12648, XENTR00152, XENTR06673, XENTR11866, XENTR11868, XENTR11869, XENTR14278, XENTR11921, XENTR18992, XENTR15519, XENTR06232
OG0000137	CAPO305369	XENTR10738, XENTR07993, XENTR07994, XENTR04900, XENTR11062, XENTR17418, XENTR10667
OG0000142	CAPO302031, CAPO302030	XENTR10224, XENTR10223, XENTR07681, XENTR14526, XENTR15206, XENTR12932, XENTR08172, XENTR16130
OG0000147	CAPO305863	XENTR12286
OG0000147	CAPO308132	XENTR02156, XENTR12287
OG0000147	CAPO304230	XENTR00602, XENTR15311
OG0000149	CAPO305206, CAPO306214	XENTR03422, XENTR03423, XENTR01442, XENTR00579, XENTR04855
OG0000157	CAPO305956	XENTR09579, XENTR08086, XENTR09581, XENTR09580, XENTR05876
OG0000157	CAPO305824	XENTR02559, XENTR07059, XENTR00873, XENTR07056, XENTR07057, XENTR02846, XENTR02558, XENTR09559
OG0000158	CAPO302924	XENTR11952
OG0000160	CAPO301680	XENTR02472
OG0000167	CAPO301364, CAPO303476	XENTR16865, XENTR16863, XENTR13141, XENTR18214, XENTR04642, XENTR04643, XENTR03633, XENTR12761, XENTR09151, XENTR05471, XENTR02446, XENTR12175, XENTR11177
OG0000171	CAPO304813	XENTR10513, XENTR07909, XENTR12901, XENTR11514, XENTR09537, XENTR13400, XENTR13399, XENTR05662
OG0000174	CAPO304629	XENTR18562, XENTR12376, XENTR02208, XENTR05576, XENTR05232, XENTR06550, XENTR10386
OG0000175	CAPO303513	XENTR04649
OG0000175	CAPO303920	XENTR10033
OG0000179	CAPO300694	XENTR01942
OG0000179	CAPO303342	XENTR00560, XENTR12119
OG0000181	CAPO301108	XENTR06217, XENTR12611, XENTR02755
OG0000181	CAPO302034	XENTR06005
OG0000181	CAPO307692	XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077
OG0000181	CAPO300374	XENTR09033, XENTR12669
OG0000183	CAPO305638	XENTR02086, XENTR13524, XENTR16217
OG0000183	CAPO305829	XENTR02643, XENTR17355, XENTR02630
OG0000184	CAPO304928	XENTR04682, XENTR04685, XENTR04684, XENTR04683, XENTR04680, XENTR04681, XENTR03930, XENTR04679, XENTR03929
OG0000192	CAPO301980	XENTR01771
OG0000193	CAPO302628	XENTR18808, XENTR10186, XENTR10185, XENTR18807, XENTR02648, XENTR04027, XENTR10942, XENTR15293, XENTR14503, XENTR02647, XENTR19116
OG0000194	CAPO305195	XENTR14824, XENTR18660, XENTR00280, XENTR10034
OG0000195	CAPO305454	XENTR11322, XENTR09909, XENTR17326, XENTR19159
OG0000201	CAPO307729	XENTR16600, XENTR16601, XENTR04781
OG0000203	CAPO302139	XENTR04908, XENTR08192, XENTR07634, XENTR03226, XENTR09015, XENTR08065, XENTR04067, XENTR17118, XENTR17119, XENTR04083, XENTR08430, XENTR04082, XENTR08431, XENTR04088
OG0000204	CAPO303090	XENTR01607, XENTR04482, XENTR04113, XENTR02352, XENTR08334, XENTR08954
OG0000207	CAPO304105, CAPO304106, CAPO304714	XENTR04496, XENTR02974, XENTR04340, XENTR04341, XENTR00010, XENTR10649, XENTR07893, XENTR15259, XENTR07892
OG0000211	CAPO306209	XENTR02626, XENTR00605, XENTR03419, XENTR12567, XENTR17201, XENTR17202, XENTR15376, XENTR01456
OG0000218	CAPO300559	XENTR06015
OG0000220	CAPO306780, CAPO307695	XENTR07581, XENTR15742, XENTR12748, XENTR06465, XENTR14440, XENTR06734
OG0000221	CAPO300247	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885
OG0000222	CAPO304211	XENTR18094, XENTR09636, XENTR09635
OG0000223	CAPO308126	XENTR15744, XENTR02504, XENTR10692, XENTR11321, XENTR09534, XENTR11407, XENTR03468, XENTR08925
OG0000225	CAPO305347	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000226	CAPO306934	XENTR11864
OG0000234	CAPO301359	XENTR08092, XENTR06076, XENTR18346, XENTR00774, XENTR10873
OG0000238	CAPO305428	XENTR01828
OG0000239	CAPO302089	XENTR02896, XENTR08392, XENTR09596, XENTR06920, XENTR03351
OG0000242	CAPO304847	XENTR19139, XENTR02853
OG0000244	CAPO301556	XENTR01354, XENTR01248, XENTR01353, XENTR11299, XENTR03738, XENTR10413, XENTR05888, XENTR02505, XENTR12546
OG0000246	CAPO303496	XENTR05669, XENTR12561
OG0000248	CAPO307635, CAPO302481, CAPO302487	XENTR05728, XENTR06749, XENTR18294, XENTR06755, XENTR06750, XENTR06752
OG0000250	CAPO305827	XENTR13730
OG0000255	CAPO301531	XENTR09255
OG0000255	CAPO300499	XENTR12056
OG0000256	CAPO307884	XENTR18908
OG0000256	CAPO306483	XENTR00544, XENTR12133, XENTR13229
OG0000257	CAPO300414	XENTR07148, XENTR11248, XENTR08520, XENTR03052, XENTR13887
OG0000258	CAPO301746	XENTR04830, XENTR00764, XENTR12963, XENTR01640
OG0000260	CAPO300399	XENTR02375, XENTR07041
OG0000265	CAPO306126	XENTR16202, XENTR06790, XENTR04690
OG0000265	CAPO306540	XENTR16783
OG0000271	CAPO304641	XENTR19255, XENTR16932, XENTR03142, XENTR03168, XENTR08424, XENTR08561, XENTR13060
OG0000273	CAPO305109	XENTR05880
OG0000273	CAPO300804	XENTR04558
OG0000277	CAPO303621	XENTR14696, XENTR01190
OG0000277	CAPO301295	XENTR10121, XENTR08844, XENTR08749
OG0000278	CAPO300620	XENTR11159
OG0000278	CAPO305822	XENTR14066
OG0000278	CAPO302023	XENTR09088
OG0000278	CAPO303638	XENTR12427
OG0000282	CAPO308183	XENTR02925, XENTR13973, XENTR08646, XENTR07444, XENTR13582
OG0000284	CAPO305695	XENTR04307
OG0000285	CAPO303377	XENTR13132
OG0000288	CAPO305142	XENTR03004, XENTR07811, XENTR01416, XENTR09626, XENTR07805
OG0000289	CAPO307835	XENTR02120, XENTR05756, XENTR00324, XENTR04766
OG0000295	CAPO302113, CAPO302799	XENTR03072, XENTR01672
OG0000299	CAPO306599	XENTR10892, XENTR10893, XENTR02454, XENTR12999, XENTR07989
OG0000305	CAPO307183	XENTR05359
OG0000306	CAPO308212	XENTR13781, XENTR07294, XENTR01939, XENTR04873
OG0000308	CAPO304037	XENTR05341, XENTR03132, XENTR11682, XENTR17432
OG0000310	CAPO305978	XENTR02307, XENTR02306
OG0000312	CAPO302691	XENTR16372, XENTR10558
OG0000313	CAPO307072	XENTR04895, XENTR02724, XENTR08592
OG0000313	CAPO301348	XENTR05983, XENTR05982
OG0000314	CAPO304303	XENTR09194, XENTR12236, XENTR04774, XENTR10527, XENTR11181
OG0000315	CAPO307611	XENTR03674
OG0000315	CAPO308167	XENTR02373
OG0000319	CAPO303225	XENTR04637, XENTR04638, XENTR08302
OG0000320	CAPO308077	XENTR10555
OG0000320	CAPO304008	XENTR04771
OG0000322	CAPO306406	XENTR06441, XENTR17956, XENTR02845
OG0000326	CAPO308358, CAPO307947	XENTR10133, XENTR03102, XENTR17122
OG0000326	CAPO303322	XENTR16483
OG0000327	CAPO308120	XENTR02532, XENTR02531, XENTR02535
OG0000334	CAPO300337	XENTR16957, XENTR16148, XENTR19078, XENTR14909, XENTR18372, XENTR15849, XENTR18441, XENTR14907, XENTR14908, XENTR18600, XENTR18272, XENTR16517, XENTR14905, XENTR16519, XENTR13463, XENTR13461, XENTR13464, XENTR15850, XENTR16147
OG0000335	CAPO307753	XENTR03289
OG0000338	CAPO304735	XENTR03666, XENTR00810, XENTR00811, XENTR03279, XENTR12945
OG0000339	CAPO305264	XENTR06902, XENTR11218
OG0000343	CAPO306429	XENTR11384, XENTR11385, XENTR00663, XENTR09712
OG0000345	CAPO300769	XENTR04999, XENTR04907, XENTR12817
OG0000352	CAPO300356	XENTR04727, XENTR11543, XENTR14779, XENTR11161, XENTR18553
OG0000357	CAPO301487	XENTR15970, XENTR17586, XENTR08879, XENTR13168
OG0000359	CAPO305417	XENTR05950, XENTR00976
OG0000359	CAPO301540	XENTR15161, XENTR14895, XENTR06527
OG0000359	CAPO306866	XENTR09262
OG0000360	CAPO300757	XENTR08788, XENTR08828, XENTR08830, XENTR08829, XENTR03303, XENTR18235
OG0000364	CAPO301330, CAPO300908	XENTR07477
OG0000367	CAPO301272	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632
OG0000371	CAPO307503	XENTR11137, XENTR10750
OG0000372	CAPO307553	XENTR05569, XENTR05568, XENTR06420, XENTR12969, XENTR16656
OG0000373	CAPO301744	XENTR16184, XENTR10296, XENTR11366
OG0000385	CAPO300182, CAPO305781, CAPO305517	XENTR08770, XENTR08013, XENTR01663, XENTR03165, XENTR03166, XENTR03167, XENTR08909
OG0000392	CAPO300351	XENTR05821, XENTR05820, XENTR16898, XENTR05822, XENTR00373
OG0000393	CAPO307627	XENTR10938, XENTR02214, XENTR11795
OG0000397	CAPO304372	XENTR11555, XENTR13105, XENTR02279, XENTR18769
OG0000399	CAPO302781	XENTR09009, XENTR04487, XENTR16657, XENTR15857, XENTR05296, XENTR05870
OG0000402	CAPO300999	XENTR02381, XENTR02219, XENTR11951, XENTR13580, XENTR12413
OG0000405	CAPO300636	XENTR12151, XENTR12577, XENTR12578, XENTR04243
OG0000412	CAPO306116	XENTR00072
OG0000412	CAPO307159	XENTR04274, XENTR17107, XENTR15524
OG0000413	CAPO302663	XENTR02384, XENTR00587, XENTR14291
OG0000413	CAPO304678	XENTR06107, XENTR11920, XENTR09714
OG0000416	CAPO300647, CAPO303519	XENTR17305, XENTR05440, XENTR12488, XENTR12486, XENTR12487, XENTR05445, XENTR05444, XENTR12485, XENTR05442, XENTR05443, XENTR16637
OG0000419	CAPO304227	XENTR11508, XENTR02542, XENTR02541, XENTR16666, XENTR17941, XENTR16880
OG0000420	CAPO307162	XENTR13191, XENTR04997
OG0000422	CAPO301071	XENTR04080, XENTR07599
OG0000424	CAPO302770, CAPO306814	XENTR06704
OG0000426	CAPO302714	XENTR13177, XENTR13178
OG0000426	CAPO306829	XENTR13136, XENTR11204, XENTR01857
OG0000427	CAPO303813	XENTR16612
OG0000429	CAPO300725	XENTR16139
OG0000431	CAPO306585	XENTR05779
OG0000431	CAPO304684	XENTR09022, XENTR09024, XENTR09055
OG0000433	CAPO304838, CAPO302573	XENTR08150, XENTR16244
OG0000434	CAPO304471	XENTR02153
OG0000435	CAPO308080	XENTR03847, XENTR10898, XENTR12043, XENTR06258, XENTR02452
OG0000436	CAPO305799	XENTR17485, XENTR17484
OG0000442	CAPO302753, CAPO302633	XENTR17716, XENTR12755
OG0000444	CAPO301239	XENTR16001, XENTR05337
OG0000445	CAPO301584	XENTR04223
OG0000447	CAPO300691	XENTR03570, XENTR16310, XENTR06964, XENTR06423
OG0000450	CAPO307586, CAPO307446	XENTR00652, XENTR05100, XENTR18185, XENTR14021, XENTR14020, XENTR14894, XENTR03676
OG0000454	CAPO301952	XENTR17778, XENTR17779, XENTR15860, XENTR05872, XENTR05292, XENTR15861
OG0000461	CAPO303645, CAPO304085, CAPO303531	XENTR16800
OG0000461	CAPO307456	XENTR03673, XENTR10322, XENTR10323
OG0000467	CAPO302214	XENTR13171, XENTR04831, XENTR01243, XENTR00763
OG0000468	CAPO302003, CAPO303185	XENTR14149, XENTR14150, XENTR14148, XENTR14151, XENTR15317
OG0000469	CAPO306584, CAPO302277	XENTR07061, XENTR03510, XENTR16136, XENTR06384, XENTR06808
OG0000470	CAPO307521	XENTR07308, XENTR18456, XENTR08990
OG0000474	CAPO307766	XENTR05228, XENTR06948, XENTR12871, XENTR17592
OG0000475	CAPO303779	XENTR16166, XENTR03765, XENTR00403, XENTR16167
OG0000476	CAPO306104	XENTR09662
OG0000479	CAPO303549	XENTR00167, XENTR14181
OG0000479	CAPO304267	XENTR15349, XENTR00798
OG0000480	CAPO307201	XENTR10551, XENTR10531, XENTR04392, XENTR10532, XENTR01398, XENTR09020, XENTR09018, XENTR09017, XENTR16905
OG0000481	CAPO300053	XENTR18341
OG0000481	CAPO304800	XENTR16095
OG0000481	CAPO304355	XENTR07539, XENTR12694
OG0000484	CAPO304750	XENTR13210, XENTR00371, XENTR11014, XENTR05882
OG0000485	CAPO303224, CAPO303026	XENTR04208, XENTR03378, XENTR10818
OG0000486	CAPO306048, CAPO306972	XENTR07282, XENTR04857
OG0000488	CAPO305871	XENTR02455
OG0000491	CAPO305506	XENTR05260, XENTR04378, XENTR03295
OG0000494	CAPO300277	XENTR11154, XENTR04560, XENTR01512, XENTR10308
OG0000505	CAPO303790, CAPO306121	XENTR09583, XENTR09695
OG0000506	CAPO304587	XENTR17321, XENTR17322, XENTR10543, XENTR09706, XENTR05906
OG0000508	CAPO303408, CAPO307945	XENTR06935
OG0000508	CAPO302590	XENTR13428
OG0000510	CAPO303128, CAPO305095	XENTR16454, XENTR14055, XENTR06353, XENTR15990
OG0000511	CAPO301322	XENTR03618, XENTR16875
OG0000514	CAPO307292	XENTR05611, XENTR01673
OG0000516	CAPO302072	XENTR12542, XENTR10354, XENTR15576, XENTR10452, XENTR08167
OG0000519	CAPO300709	XENTR04553
OG0000520	CAPO304720	XENTR14507, XENTR14506, XENTR02607
OG0000522	CAPO306204	XENTR11563, XENTR01899, XENTR14640
OG0000528	CAPO300417	XENTR08509, XENTR02076, XENTR15793, XENTR01661
OG0000530	CAPO306919	XENTR09841, XENTR08688, XENTR03985
OG0000532	CAPO301913	XENTR11367, XENTR18190
OG0000538	CAPO300039	XENTR12900, XENTR13063
OG0000538	CAPO302001	XENTR02989, XENTR02990
OG0000548	CAPO307253, CAPO307370	XENTR15842, XENTR12691, XENTR12827, XENTR14858, XENTR16215, XENTR09279, XENTR16463, XENTR06806
OG0000552	CAPO302805	XENTR04244, XENTR09263, XENTR15303
OG0000553	CAPO302261	XENTR04835, XENTR02530, XENTR06601, XENTR15181, XENTR02641, XENTR10623, XENTR10625, XENTR10624, XENTR07370
OG0000554	CAPO300205	XENTR18673, XENTR00240, XENTR12469, XENTR01987, XENTR01995, XENTR08716, XENTR16835
OG0000561	CAPO307817, CAPO304686, CAPO304296	XENTR08505, XENTR08504, XENTR11638, XENTR07523
OG0000563	CAPO305151	XENTR13310, XENTR01198
OG0000566	CAPO306820	XENTR08330, XENTR08129, XENTR08128, XENTR02577
OG0000567	CAPO300710, CAPO302895	XENTR01468, XENTR04575, XENTR17225, XENTR15381
OG0000572	CAPO302048	XENTR13098, XENTR15792, XENTR15287, XENTR08060, XENTR08059
OG0000573	CAPO301573	XENTR11849, XENTR00290, XENTR12035, XENTR12034
OG0000573	CAPO300482	XENTR08127
OG0000574	CAPO303025	XENTR07582, XENTR07361, XENTR06500
OG0000578	CAPO305505	XENTR16212, XENTR09090, XENTR03873, XENTR03874, XENTR02080, XENTR02081
OG0000583	CAPO302594	XENTR02539, XENTR02046, XENTR15416, XENTR05897, XENTR15995
OG0000585	CAPO302010	XENTR02848, XENTR12848, XENTR02849, XENTR01232
OG0000586	CAPO304818	XENTR04444, XENTR16297, XENTR11420
OG0000587	CAPO304868	XENTR08579, XENTR15453, XENTR11141, XENTR11142
OG0000588	CAPO300701	XENTR17128
OG0000590	CAPO302664	XENTR14925, XENTR01750, XENTR12267, XENTR05220
OG0000590	CAPO307990	XENTR09959, XENTR09960, XENTR17798, XENTR17799
OG0000591	CAPO300885	XENTR07336
OG0000591	CAPO301508, CAPO306921	XENTR09716, XENTR08586
OG0000592	CAPO302552	XENTR05738, XENTR09881, XENTR09851, XENTR16083
OG0000593	CAPO303950	XENTR16603, XENTR04787, XENTR09811, XENTR16946, XENTR10994, XENTR15779, XENTR02468
OG0000594	CAPO305185	XENTR10947, XENTR07145, XENTR14812, XENTR16939, XENTR07147, XENTR12851, XENTR04133, XENTR12850, XENTR02361
OG0000597	CAPO305949	XENTR17671, XENTR17670, XENTR19170, XENTR01128
OG0000600	CAPO302133	XENTR03978, XENTR05099, XENTR03977, XENTR14383
OG0000603	CAPO300286	XENTR06555, XENTR06631, XENTR12110, XENTR06556
OG0000604	CAPO304248	XENTR12659
OG0000609	CAPO306415	XENTR02746, XENTR02747, XENTR09422, XENTR03782
OG0000611	CAPO305139	XENTR07697, XENTR14370
OG0000611	CAPO302505	XENTR00513
OG0000612	CAPO308174	XENTR15265, XENTR02014, XENTR19287
OG0000612	CAPO300901	XENTR02467
OG0000613	CAPO306741, CAPO303985	XENTR09622, XENTR03003, XENTR12862, XENTR14077, XENTR01460
OG0000614	CAPO306138, CAPO304207	XENTR14290
OG0000616	CAPO301011	XENTR16458, XENTR06048, XENTR12306
OG0000617	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167	XENTR09657
OG0000619	CAPO303580	XENTR13390, XENTR07082, XENTR07081, XENTR09376, XENTR02022
OG0000623	CAPO306891	XENTR07882
OG0000623	CAPO306678	XENTR16677, XENTR03896
OG0000624	CAPO304034, CAPO304035	XENTR10751, XENTR05400
OG0000627	CAPO301912	XENTR10097, XENTR14582
OG0000628	CAPO306878	XENTR12865, XENTR04952, XENTR02456, XENTR13000
OG0000629	CAPO304632	XENTR17454, XENTR14339, XENTR04462, XENTR11794
OG0000634	CAPO305866	XENTR18822, XENTR18823, XENTR19156
OG0000636	CAPO300927, CAPO308236	XENTR11087, XENTR12476
OG0000637	CAPO306492	XENTR17167, XENTR09803
OG0000639	CAPO300322	XENTR14136, XENTR08621
OG0000639	CAPO305269	XENTR10212, XENTR12548, XENTR02478
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430	XENTR11733
OG0000642	CAPO302566	XENTR01651
OG0000643	CAPO301316	XENTR12663, XENTR11361, XENTR10328
OG0000645	CAPO306925	XENTR00518
OG0000645	CAPO307784, CAPO304648	XENTR04338, XENTR04602, XENTR15906
OG0000648	CAPO306715	XENTR08177
OG0000648	CAPO307568	XENTR08178, XENTR10991
OG0000650	CAPO302429	XENTR04168, XENTR03784, XENTR10606, XENTR15613, XENTR12436, XENTR12437, XENTR18300, XENTR00412
OG0000651	CAPO301045	XENTR05217, XENTR03187
OG0000652	CAPO307163	XENTR06008, XENTR00729, XENTR09669
OG0000653	CAPO304384	XENTR05477, XENTR06857, XENTR05370, XENTR15383, XENTR08517, XENTR11621, XENTR02067, XENTR00431
OG0000657	CAPO304462	XENTR09582, XENTR05287
OG0000660	CAPO304213	XENTR01113
OG0000662	CAPO308235	XENTR12483, XENTR01671, XENTR04789
OG0000663	CAPO303713	XENTR00226, XENTR13935, XENTR13936, XENTR13937
OG0000664	CAPO305353	XENTR18935, XENTR10788, XENTR02592, XENTR08222, XENTR08223, XENTR08221, XENTR05344
OG0000665	CAPO304505, CAPO304163	XENTR10286, XENTR14432, XENTR14325, XENTR18084, XENTR14324
OG0000666	CAPO306172	XENTR10727, XENTR01680, XENTR17784, XENTR13165
OG0000667	CAPO305865	XENTR05269
OG0000672	CAPO301072	XENTR10536, XENTR18111
OG0000672	CAPO301848	XENTR14352
OG0000674	CAPO303746	XENTR01435, XENTR06759, XENTR08702
OG0000676	CAPO304343, CAPO305288	XENTR05112, XENTR10868
OG0000676	CAPO300920, CAPO304680	XENTR08597, XENTR02025, XENTR07079
OG0000683	CAPO304912	XENTR15130
OG0000683	CAPO305392, CAPO303509	XENTR06503, XENTR00426
OG0000684	CAPO306227	XENTR16125, XENTR03725, XENTR09968, XENTR03724
OG0000690	CAPO306653	XENTR12763, XENTR09156
OG0000690	CAPO306445	XENTR16042
OG0000690	CAPO304114	XENTR13758
OG0000691	CAPO301028	XENTR12556, XENTR00454, XENTR14240, XENTR02488
OG0000693	CAPO300633	XENTR17235, XENTR06541
OG0000693	CAPO307538	XENTR06151
OG0000694	CAPO302468	XENTR09772
OG0000696	CAPO305456	XENTR00213
OG0000696	CAPO305466, CAPO301422	XENTR05925
