Orthogroup	CAPO3	YEAST
OG0000519	CAPO300709	YEAST04594, YEAST03616
OG0000520	CAPO302094, CAPO304720	YEAST02979
OG0000529	CAPO307357	YEAST05790, YEAST00048
OG0000538	CAPO300039, CAPO302001	YEAST00499
OG0000549	CAPO303878, CAPO305341, CAPO307968	YEAST06280, YEAST02610, YEAST05060
OG0000552	CAPO302805	YEAST05717
OG0000556	CAPO305079	YEAST04616
OG0000561	CAPO302123, CAPO307817, CAPO304686, CAPO304296	YEAST06202, YEAST00331
OG0000563	CAPO305151	YEAST01406
OG0000566	CAPO306820	YEAST05789, YEAST00049
OG0000573	CAPO301573, CAPO300482	YEAST05675
OG0000578	CAPO305505	YEAST01208, YEAST00759
OG0000579	CAPO304566, CAPO303994, CAPO303635	YEAST02484
OG0000587	CAPO304868	YEAST04063
OG0000588	CAPO301971, CAPO300701	YEAST05197
OG0000590	CAPO302664, CAPO307990	YEAST05110, YEAST05552, YEAST03727
OG0000592	CAPO302552	YEAST00388
OG0000597	CAPO305949	YEAST04330
OG0000609	CAPO302298, CAPO305915, CAPO306415	YEAST05180
OG0000612	CAPO308174	YEAST02370
OG0000612	CAPO300901, CAPO304977	YEAST03629
OG0000613	CAPO306741, CAPO303985	YEAST01072
OG0000623	CAPO306891	YEAST02411
OG0000623	CAPO306678	YEAST05090
OG0000627	CAPO301912	YEAST02116, YEAST03957
OG0000639	CAPO300322, CAPO305269	YEAST02015
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430, CAPO302938, CAPO302939, CAPO304769, CAPO302566	YEAST00618
OG0000645	CAPO306925	YEAST05140
OG0000645	CAPO307784, CAPO304648	YEAST04743
OG0000648	CAPO307637, CAPO304025, CAPO306715, CAPO307568	YEAST04178, YEAST05641
OG0000657	CAPO304461, CAPO304462	YEAST03846
OG0000660	CAPO304213, CAPO305761	YEAST05150, YEAST01587
OG0000662	CAPO308235	YEAST05937
OG0000663	CAPO303713	YEAST02675, YEAST03294
OG0000672	CAPO301072	YEAST03771
OG0000672	CAPO301848	YEAST00984
OG0000676	CAPO304343, CAPO305288	YEAST01503
OG0000676	CAPO300920, CAPO304680	YEAST02962
OG0000683	CAPO304912, CAPO305392, CAPO303509	YEAST03152, YEAST03537, YEAST05938
OG0000690	CAPO306653	YEAST04874
OG0000690	CAPO306445	YEAST02296
OG0000692	CAPO301383, CAPO306980	YEAST01969
OG0000692	CAPO306169	YEAST03487
OG0000694	CAPO300050, CAPO302468, CAPO305615	YEAST05978
OG0000699	CAPO306785, CAPO302735	YEAST05706
OG0000701	CAPO306727	YEAST02239, YEAST02223
OG0000703	CAPO308078	YEAST05314
OG0000708	CAPO302130, CAPO300640	YEAST05997
OG0000709	CAPO305451	YEAST00057
OG0000724	CAPO300826, CAPO302469	YEAST02013
OG0000732	CAPO304867, CAPO302445	YEAST04978
OG0000733	CAPO301695	YEAST05474
OG0000735	CAPO302824, CAPO303452	YEAST05945
OG0000737	CAPO304586	YEAST05188
OG0000752	CAPO300507, CAPO305335	YEAST01432, YEAST04483
OG0000753	CAPO301378	YEAST01034, YEAST02037
OG0000757	CAPO307096, CAPO300067	YEAST01489
OG0000758	CAPO300817, CAPO305275	YEAST01504
OG0000759	CAPO300473	YEAST02878, YEAST05681
OG0000765	CAPO301648	YEAST02282, YEAST01897
OG0000768	CAPO301427, CAPO302005, CAPO306612, CAPO302492, CAPO307738, CAPO305672, CAPO305904	YEAST02560, YEAST04269
OG0000772	CAPO304708, CAPO302709	YEAST04929
OG0000776	CAPO307356	YEAST04571, YEAST00195, YEAST00312
OG0000777	CAPO308227, CAPO301548, CAPO307744, CAPO304271	YEAST06297, YEAST02627
OG0000779	CAPO305943, CAPO303136, CAPO300301	YEAST03812
OG0000782	CAPO303574	YEAST01393, YEAST05616
OG0000791	CAPO304699	YEAST02375
OG0000794	CAPO304031, CAPO300402	YEAST04627
OG0000809	CAPO304242	YEAST01998
OG0000817	CAPO303823, CAPO300023, CAPO308202	YEAST06112
OG0000824	CAPO303788	YEAST01319, YEAST02883
OG0000828	CAPO306023	YEAST00945, YEAST05476, YEAST00075
OG0000828	CAPO307153	YEAST02290
OG0000837	CAPO308104, CAPO303511	YEAST06222
OG0000841	CAPO300281, CAPO307470	YEAST02416
OG0000847	CAPO301759, CAPO307057	YEAST02881, YEAST03544, YEAST06198
OG0000847	CAPO308298	YEAST02530, YEAST00209
OG0000849	CAPO304492	YEAST04475
OG0000850	CAPO302141, CAPO306299	YEAST04287
OG0000852	CAPO307622	YEAST01266
OG0000854	CAPO305914	YEAST00248
OG0000857	CAPO302559, CAPO303021, CAPO303022	YEAST00309
OG0000871	CAPO300407	YEAST03857
OG0000872	CAPO308293	YEAST03222, YEAST03741
OG0000875	CAPO303418, CAPO302903	YEAST00077
OG0000876	CAPO302150	YEAST05556
OG0000879	CAPO304627, CAPO301982	YEAST06123
OG0000888	CAPO300320, CAPO301794	YEAST00288
OG0000889	CAPO302257, CAPO304144	YEAST00175
OG0000894	CAPO300968, CAPO300967, CAPO301227	YEAST03763
OG0000896	CAPO301183	YEAST02476
OG0000896	CAPO304049	YEAST04923
OG0000898	CAPO302619	YEAST06255, YEAST03431
OG0000905	CAPO303384	YEAST00599
OG0000913	CAPO300255	YEAST03557, YEAST05101
OG0000914	CAPO302002	YEAST04745
OG0000921	CAPO300272, CAPO306351	YEAST02526
OG0000925	CAPO304563	YEAST05667, YEAST06025
OG0000932	CAPO306783	YEAST03525
OG0000933	CAPO304170	YEAST06306
OG0000934	CAPO306946, CAPO300619	YEAST02582, YEAST06252
OG0000934	CAPO304006	YEAST05040
OG0000935	CAPO307401	YEAST02843
OG0000944	CAPO304090	YEAST04878
OG0000954	CAPO303535, CAPO305800	YEAST05503, YEAST01249
OG0000955	CAPO303429	YEAST00837
OG0000955	CAPO308190	YEAST04295
OG0000963	CAPO303990	YEAST03685, YEAST00482, YEAST01749
OG0000965	CAPO305928	YEAST02552
OG0000965	CAPO302148	YEAST02050
OG0000967	CAPO304786	YEAST05075
OG0000970	CAPO301807	YEAST04028
OG0000982	CAPO301371, CAPO305575	YEAST01182
OG0000984	CAPO307940	YEAST01493, YEAST00575
OG0000986	CAPO305058	YEAST01481, YEAST04073
OG0000987	CAPO306365	YEAST04734, YEAST02734
OG0000994	CAPO306999	YEAST02360
OG0000996	CAPO304603	YEAST00033
OG0001006	CAPO308145	YEAST04513
OG0001016	CAPO300038, CAPO302596	YEAST00830
OG0001018	CAPO303169	YEAST02803, YEAST05933
OG0001018	CAPO306716, CAPO306611, CAPO305382, CAPO301254, CAPO304645, CAPO305732, CAPO300643	YEAST01172
OG0001024	CAPO300862	YEAST01024, YEAST00308
OG0001033	CAPO303016	YEAST01594
OG0001033	CAPO300376	YEAST02124
OG0001064	CAPO304594	YEAST00458
OG0001066	CAPO305156	YEAST06311
OG0001075	CAPO305658	YEAST05636
OG0001076	CAPO306580	YEAST01570
OG0001081	CAPO302911	YEAST04460
OG0001082	CAPO306944	YEAST03919, YEAST02905, YEAST05331
OG0001094	CAPO301309	YEAST03837
OG0001095	CAPO303064	YEAST00773
OG0001096	CAPO308143	YEAST01384
OG0001101	CAPO301529	YEAST03434
OG0001108	CAPO300863	YEAST06309
OG0001113	CAPO302840	YEAST05320
OG0001113	CAPO304589	YEAST00954
OG0001114	CAPO301899, CAPO307418	YEAST00036, YEAST05811
OG0001124	CAPO307326	YEAST02719
OG0001132	CAPO303538	YEAST05421
OG0001133	CAPO302577	YEAST04296
OG0001133	CAPO300360	YEAST03271
OG0001134	CAPO304261	YEAST05015
OG0001135	CAPO300673, CAPO304787	YEAST03641
OG0001136	CAPO301949	YEAST05047, YEAST02997
OG0001140	CAPO308326	YEAST03519
OG0001142	CAPO304790	YEAST04001
OG0001163	CAPO301684, CAPO307755, CAPO304886	YEAST02433
OG0001164	CAPO304142	YEAST03454
OG0001171	CAPO300420, CAPO303195, CAPO305267	YEAST04620, YEAST03578
OG0001175	CAPO304133, CAPO306812	YEAST00534
OG0001179	CAPO303470, CAPO303655, CAPO300184	YEAST00368, YEAST04831, YEAST02287
OG0001181	CAPO301983	YEAST02051
OG0001184	CAPO306392	YEAST01681
OG0001185	CAPO303366	YEAST04969
OG0001186	CAPO302303, CAPO307451	YEAST04605, YEAST01886
OG0001191	CAPO301625	YEAST04707
OG0001197	CAPO306552	YEAST01499
OG0001201	CAPO302220	YEAST05452
OG0001207	CAPO304292	YEAST03225, YEAST00090
OG0001207	CAPO305627, CAPO302093	YEAST04258
OG0001210	CAPO300919	YEAST05511
OG0001210	CAPO302732, CAPO302555	YEAST02318
OG0001212	CAPO305298, CAPO305297	YEAST03971
OG0001214	CAPO304780, CAPO303564	YEAST00577
OG0001216	CAPO307997	YEAST00145
OG0001236	CAPO300962	YEAST03325, YEAST02687, YEAST03269
OG0001241	CAPO303368	YEAST02002
OG0001241	CAPO304888	YEAST03967, YEAST01074
OG0001249	CAPO306922	YEAST01062, YEAST02067
OG0001250	CAPO302323	YEAST02968, YEAST01339
OG0001251	CAPO304205	YEAST00750
OG0001251	CAPO302019	YEAST01707
OG0001253	CAPO306156	YEAST03998
OG0001254	CAPO307546	YEAST04309
OG0001262	CAPO301672	YEAST00911
OG0001263	CAPO301777	YEAST00172
OG0001268	CAPO303692	YEAST03495
OG0001270	CAPO306176	YEAST01703
OG0001270	CAPO304393	YEAST02398
OG0001271	CAPO302779	YEAST05227, YEAST00662
OG0001278	CAPO306229	YEAST01893
OG0001279	CAPO302733, CAPO303292	YEAST03070
OG0001280	CAPO300326	YEAST00846
OG0001282	CAPO305993, CAPO303595	YEAST03744
OG0001284	CAPO300970	YEAST00567, YEAST01498
OG0001286	CAPO303892	YEAST00588, YEAST01486, YEAST03604
OG0001291	CAPO300695	YEAST04453, YEAST04334
OG0001300	CAPO303702, CAPO301019, CAPO300154	YEAST01098
OG0001302	CAPO302654	YEAST02328
OG0001302	CAPO302215	YEAST00299
OG0001310	CAPO305405, CAPO300151	YEAST00887
OG0001318	CAPO306280, CAPO303315	YEAST03712
OG0001319	CAPO304915	YEAST01678
OG0001321	CAPO301358	YEAST02280, YEAST01901
OG0001322	CAPO302022	YEAST06128
OG0001324	CAPO302080	YEAST00078
OG0001325	CAPO304115	YEAST00793
OG0001326	CAPO306149	YEAST05395
OG0001327	CAPO305568	YEAST03176
OG0001332	CAPO305487	YEAST03929, YEAST02705, YEAST00687
OG0001333	CAPO301191, CAPO305523	YEAST00728
OG0001341	CAPO307567, CAPO304661	YEAST06006
OG0001345	CAPO306177, CAPO303460	YEAST03613
OG0001353	CAPO303379, CAPO301816	YEAST00020, YEAST04041
OG0001364	CAPO307249	YEAST06038, YEAST00402
OG0001367	CAPO304628	YEAST04688
OG0001370	CAPO305064, CAPO306956	YEAST04067, YEAST05195, YEAST00897
OG0001372	CAPO301063	YEAST00070
OG0001372	CAPO306529	YEAST02226, YEAST04198, YEAST02307
OG0001375	CAPO300461	YEAST05499, YEAST05567
OG0001378	CAPO302717	YEAST02300
OG0001379	CAPO304865	YEAST04155
OG0001386	CAPO305078	YEAST05114
OG0001397	CAPO306119	YEAST05731
OG0001400	CAPO305841	YEAST02931
OG0001409	CAPO300832	YEAST00885, YEAST04659
OG0001410	CAPO304381, CAPO303461	YEAST05046
OG0001411	CAPO301653	YEAST04834
OG0001412	CAPO304843	YEAST04490
OG0001413	CAPO300375	YEAST04294
OG0001414	CAPO301834, CAPO303273	YEAST06070, YEAST01920
OG0001415	CAPO307087	YEAST04230, YEAST00964
OG0001421	CAPO305364	YEAST05252
OG0001422	CAPO300002, CAPO308345, CAPO303120	YEAST05588, YEAST01363
OG0001424	CAPO304776	YEAST01127
OG0001427	CAPO302723	YEAST01885
OG0001428	CAPO303027	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	CAPO300562	YEAST01712
OG0001434	CAPO304740	YEAST03991
OG0001437	CAPO304955	YEAST01264, YEAST02900
OG0001445	CAPO301958	YEAST01715
OG0001449	CAPO306822	YEAST03188
OG0001449	CAPO307511	YEAST03423
OG0001452	CAPO301933, CAPO304964	YEAST05900
OG0001454	CAPO303806	YEAST01495, YEAST00573
OG0001456	CAPO307965	YEAST00365
OG0001459	CAPO307035	YEAST03073, YEAST03464
OG0001461	CAPO303413, CAPO301012, CAPO307458, CAPO305472	YEAST05255
OG0001468	CAPO306475	YEAST03875, YEAST03904
OG0001469	CAPO306371	YEAST02070
OG0001469	CAPO301724	YEAST02765
OG0001470	CAPO305163	YEAST00369, YEAST05375
OG0001472	CAPO300986, CAPO305311	YEAST03031
OG0001473	CAPO304310	YEAST05711
OG0001474	CAPO306191	YEAST01416, YEAST05312
OG0001478	CAPO303095	YEAST01984
OG0001478	CAPO304965	YEAST02078
OG0001479	CAPO306515	YEAST01132
OG0001503	CAPO305666	YEAST03032
OG0001503	CAPO307598	YEAST02920
OG0001504	CAPO307661	YEAST05406
OG0001505	CAPO301009	YEAST03361
OG0001515	CAPO302117	YEAST03569
OG0001520	CAPO300134	YEAST02474, YEAST02313
OG0001524	CAPO300996, CAPO308304	YEAST03912
OG0001525	CAPO307245, CAPO303907	YEAST00757
OG0001527	CAPO300128, CAPO307636	YEAST01395
OG0001529	CAPO300593	YEAST01143
OG0001530	CAPO302602	YEAST00643
OG0001546	CAPO301865	YEAST03111
OG0001551	CAPO306604	YEAST04817
OG0001553	CAPO308172	YEAST05147, YEAST01586
OG0001557	CAPO304176	YEAST04551
OG0001558	CAPO301132, CAPO303811	YEAST04449
OG0001559	CAPO301785	YEAST00445, YEAST02434
OG0001561	CAPO301999	YEAST06176
OG0001564	CAPO301061	YEAST05390
OG0001570	CAPO303364	YEAST04678
OG0001573	CAPO305125, CAPO303819, CAPO304762	YEAST03285
OG0001578	CAPO300715	YEAST01872
OG0001580	CAPO307900	YEAST06270
OG0001590	CAPO306067, CAPO302386	YEAST03476, YEAST00717, YEAST03955
OG0001594	CAPO307886, CAPO304243	YEAST03418
OG0001597	CAPO302703	YEAST01702
OG0001603	CAPO306228	YEAST02584
OG0001604	CAPO303898	YEAST01428
OG0001605	CAPO307473	YEAST04101
OG0001609	CAPO304683, CAPO302057	YEAST02739
OG0001610	CAPO301483	YEAST02062
OG0001612	CAPO302202	YEAST01109
OG0001628	CAPO300760, CAPO302722	YEAST04790
OG0001635	CAPO300153	YEAST03523, YEAST05394
OG0001635	CAPO303711	YEAST00156, YEAST01988, YEAST02833
OG0001653	CAPO305118	YEAST01151
OG0001655	CAPO302812	YEAST03354
OG0001657	CAPO304165, CAPO303952, CAPO300404	YEAST00101, YEAST00944
OG0001663	CAPO301057	YEAST05642
OG0001676	CAPO300524	YEAST02848
OG0001676	CAPO305992, CAPO305255	YEAST06155
OG0001679	CAPO302155, CAPO305784	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	CAPO304235, CAPO304477	YEAST01119, YEAST04022
OG0001685	CAPO307707	YEAST01147
OG0001687	CAPO302907	YEAST05279
OG0001691	CAPO307420	YEAST01315
OG0001704	CAPO304434	YEAST01293
OG0001706	CAPO301033, CAPO304245, CAPO304012, CAPO300702	YEAST03424
OG0001707	CAPO303836	YEAST06049, YEAST00407, YEAST04739
OG0001708	CAPO303804	YEAST05744, YEAST05745
OG0001709	CAPO304969	YEAST04440
OG0001713	CAPO308041, CAPO302278	YEAST04039
OG0001718	CAPO300964, CAPO301559, CAPO301838	YEAST01537
OG0001721	CAPO302302	YEAST04881, YEAST05253, YEAST00698
OG0001723	CAPO308089	YEAST01435
OG0001727	CAPO301729	YEAST04543
OG0001728	CAPO304086	YEAST03347
OG0001730	CAPO303469	YEAST00177
OG0001736	CAPO300355	YEAST04588
OG0001739	CAPO304154	YEAST03760
OG0001750	CAPO304954	YEAST03628
OG0001756	CAPO301153, CAPO306605	YEAST00620
OG0001769	CAPO300754, CAPO306748	YEAST04726
OG0001770	CAPO304551	YEAST02590
OG0001774	CAPO302411	YEAST05166
OG0001775	CAPO300385, CAPO303998	YEAST05594
OG0001780	CAPO305647	YEAST03768
OG0001781	CAPO304059, CAPO306335	YEAST01882
OG0001782	CAPO302329	YEAST02421
OG0001787	CAPO302384	YEAST03546
OG0001792	CAPO305067	YEAST04331
OG0001792	CAPO302146	YEAST04595
OG0001793	CAPO302934, CAPO300098	YEAST02466
OG0001805	CAPO300912, CAPO301307	YEAST05496, YEAST01242
OG0001807	CAPO305640	YEAST05464
OG0001808	CAPO300354	YEAST01298
OG0001818	CAPO302088	YEAST05902, YEAST04712
OG0001822	CAPO301119	YEAST04378, YEAST01659
OG0001828	CAPO305081	YEAST04676
OG0001831	CAPO306824	YEAST00024
OG0001832	CAPO300612	YEAST05376
OG0001846	CAPO305028	YEAST04351, YEAST04434
OG0001846	CAPO307118	YEAST05067
OG0001850	CAPO301689	YEAST01913
OG0001852	CAPO304588, CAPO303604, CAPO307101	YEAST03121
OG0001857	CAPO306766	YEAST04741
OG0001860	CAPO306960	YEAST00188
OG0001861	CAPO305094, CAPO303333, CAPO306489	YEAST05779, YEAST04773
OG0001863	CAPO300966, CAPO307080	YEAST03017
OG0001865	CAPO301778	YEAST06037, YEAST00399
OG0001865	CAPO302509	YEAST02919
OG0001866	CAPO306683	YEAST05095, YEAST05570
OG0001867	CAPO305885, CAPO302026	YEAST01669
OG0001873	CAPO305494	YEAST00981, YEAST00267
OG0001875	CAPO303129, CAPO300770	YEAST04137
OG0001877	CAPO305419	YEAST04134
OG0001886	CAPO301013	YEAST03260
OG0001888	CAPO307373	YEAST05749, YEAST01573
OG0001894	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462	YEAST00433
OG0001900	CAPO306468, CAPO308362	YEAST05969, YEAST05053, YEAST00581
OG0001903	CAPO301651	YEAST06020
OG0001913	CAPO308270	YEAST05520
OG0001915	CAPO305922	YEAST04791
OG0001917	CAPO303937	YEAST01859
OG0001923	CAPO300364	YEAST05881
OG0001926	CAPO308203	YEAST02948
OG0001932	CAPO304653	YEAST03770, YEAST03179
OG0001935	CAPO301339	YEAST00431
OG0001938	CAPO303883	YEAST03931
OG0001940	CAPO307447	YEAST04188, YEAST05646
OG0001943	CAPO306393, CAPO304272	YEAST02393, YEAST05966
OG0001945	CAPO302125, CAPO302413	YEAST01671
OG0001947	CAPO306182, CAPO302176	YEAST02570
OG0001951	CAPO305792	YEAST00941, YEAST05396
OG0001952	CAPO301278, CAPO304117, CAPO301699	YEAST04673, YEAST01990, YEAST00155
OG0001965	CAPO305377	YEAST04582
OG0001968	CAPO303436	YEAST04910
OG0001969	CAPO301897	YEAST06173
OG0001972	CAPO302726	YEAST01822, YEAST03363
OG0001985	CAPO307425	YEAST04959
OG0001992	CAPO301694	YEAST02679
OG0001998	CAPO304169, CAPO304168	YEAST00890
OG0002001	CAPO301730, CAPO305766	YEAST00502, YEAST03944
OG0002003	CAPO306645	YEAST02826, YEAST03671
OG0002008	CAPO308237	YEAST00768
OG0002010	CAPO303286	YEAST00609
OG0002014	CAPO305309	YEAST02422
OG0002015	CAPO304377	YEAST05525
OG0002025	CAPO301502	YEAST03650
OG0002026	CAPO307889, CAPO306582	YEAST01247
OG0002029	CAPO301097, CAPO303181, CAPO304041	YEAST02646
OG0002031	CAPO300135	YEAST02752
OG0002032	CAPO304689	YEAST01221
OG0002042	CAPO300525	YEAST02880
OG0002043	CAPO306649	YEAST04003
OG0002062	CAPO301382	YEAST05454
OG0002063	CAPO302417	YEAST00838
OG0002067	CAPO302721	YEAST03444
OG0002069	CAPO306402	YEAST05962
OG0002073	CAPO302333	YEAST04552
OG0002076	CAPO303117	YEAST03141, YEAST02206
OG0002078	CAPO302217	YEAST06232
OG0002079	CAPO302876, CAPO301402	YEAST05765, YEAST00483
OG0002080	CAPO307474, CAPO307552	YEAST05220, YEAST04736
OG0002084	CAPO300150	YEAST04529
OG0002087	CAPO306536	YEAST05702
OG0002093	CAPO304254	YEAST02255
OG0002097	CAPO302111	YEAST02697
OG0002101	CAPO307803	YEAST03902
OG0002103	CAPO305235	YEAST05974
OG0002106	CAPO300071	YEAST03654
OG0002107	CAPO302852	YEAST04340
