Orthogroup	CAPO3	AMPFI_ok
OG0000016	CAPO300049	AMPFI_14639
OG0000016	CAPO306803	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939, AMPFI_20923
OG0000016	CAPO303259	AMPFI_06248
OG0000016	CAPO300936	AMPFI_15536, AMPFI_18220, AMPFI_13190, AMPFI_11532, AMPFI_08754, AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144, AMPFI_11545
OG0000023	CAPO307690	AMPFI_10055, AMPFI_24894, AMPFI_23233, AMPFI_05477, AMPFI_11289, AMPFI_18034, AMPFI_12912, AMPFI_20581, AMPFI_05984, AMPFI_22167, AMPFI_14885, AMPFI_23006, AMPFI_10764, AMPFI_08877, AMPFI_08668, AMPFI_05765, AMPFI_01138, AMPFI_10312, AMPFI_05031, AMPFI_02817, AMPFI_19302, AMPFI_11290
OG0000029	CAPO307131	AMPFI_24572, AMPFI_17682, AMPFI_23832, AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753, AMPFI_05500, AMPFI_18884, AMPFI_24440
OG0000030	CAPO300110	AMPFI_04928, AMPFI_02183
OG0000030	CAPO305356, CAPO301638, CAPO307563	AMPFI_03176
OG0000031	CAPO303729	AMPFI_01333
OG0000035	CAPO307346, CAPO308354	AMPFI_17275, AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566, AMPFI_20705, AMPFI_13261, AMPFI_07620, AMPFI_08859, AMPFI_16822, AMPFI_12878, AMPFI_13349, AMPFI_11303, AMPFI_15071, AMPFI_24961
OG0000043	CAPO308256	AMPFI_07177, AMPFI_13817
OG0000048	CAPO306877	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763
OG0000048	CAPO304823	AMPFI_08767
OG0000049	CAPO304018	AMPFI_09959, AMPFI_25468, AMPFI_22815, AMPFI_21732, AMPFI_05869, AMPFI_21057, AMPFI_18773, AMPFI_18737
OG0000051	CAPO307809, CAPO301249	AMPFI_06837, AMPFI_25569, AMPFI_12251, AMPFI_06956, AMPFI_18032, AMPFI_18977, AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000054	CAPO302015	AMPFI_10274
OG0000054	CAPO303797	AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000056	CAPO305974, CAPO306012, CAPO306941	AMPFI_10015, AMPFI_06567, AMPFI_06885, AMPFI_21387, AMPFI_13951, AMPFI_13952, AMPFI_00302
OG0000058	CAPO305595	AMPFI_18481
OG0000060	CAPO305373	AMPFI_23758, AMPFI_20631, AMPFI_19643, AMPFI_25991, AMPFI_02716, AMPFI_19058
OG0000062	CAPO300910	AMPFI_15564, AMPFI_21603, AMPFI_04452, AMPFI_07777, AMPFI_07778, AMPFI_06193, AMPFI_05434, AMPFI_22139, AMPFI_19597, AMPFI_22135, AMPFI_05111, AMPFI_02667, AMPFI_10391
OG0000063	CAPO300270	AMPFI_19149, AMPFI_21664, AMPFI_03875, AMPFI_25718, AMPFI_20407, AMPFI_07613, AMPFI_14740, AMPFI_00674, AMPFI_24629, AMPFI_16608, AMPFI_24341, AMPFI_23675, AMPFI_24747, AMPFI_13584, AMPFI_25335
OG0000066	CAPO308057	AMPFI_16063, AMPFI_02908, AMPFI_19169, AMPFI_13029, AMPFI_09400, AMPFI_25704, AMPFI_24273
OG0000069	CAPO302182	AMPFI_08415
OG0000069	CAPO301523, CAPO305173	AMPFI_07519
OG0000082	CAPO304738	AMPFI_21007
OG0000082	CAPO306626	AMPFI_06890
OG0000082	CAPO300843	AMPFI_15952, AMPFI_11015
OG0000085	CAPO303061	AMPFI_20771, AMPFI_25543
OG0000085	CAPO303047	AMPFI_09379, AMPFI_25819, AMPFI_25579, AMPFI_04349
OG0000089	CAPO300386, CAPO300810, CAPO302098	AMPFI_22175, AMPFI_17226, AMPFI_21389, AMPFI_16243, AMPFI_21827, AMPFI_22710, AMPFI_16100, AMPFI_10395, AMPFI_03220, AMPFI_22774, AMPFI_22571, AMPFI_24059, AMPFI_03609, AMPFI_00096
OG0000090	CAPO304460, CAPO304458, CAPO303991	AMPFI_21032
OG0000091	CAPO301134	AMPFI_09146, AMPFI_00356, AMPFI_09607, AMPFI_02060, AMPFI_17703, AMPFI_05929, AMPFI_04685, AMPFI_24623, AMPFI_10622, AMPFI_23875, AMPFI_17001, AMPFI_16503
OG0000095	CAPO301288, CAPO306046	AMPFI_22619, AMPFI_12414, AMPFI_21103, AMPFI_25777
OG0000096	CAPO301431	AMPFI_22693
OG0000096	CAPO307955	AMPFI_24766
OG0000096	CAPO307522	AMPFI_09837
OG0000096	CAPO300294	AMPFI_11230
OG0000096	CAPO307017	AMPFI_25309
OG0000101	CAPO306858	AMPFI_17596, AMPFI_21293, AMPFI_22964, AMPFI_22686, AMPFI_04246, AMPFI_24234, AMPFI_14741, AMPFI_20349, AMPFI_14310, AMPFI_02729, AMPFI_08160
OG0000103	CAPO302453	AMPFI_21097
OG0000106	CAPO300017	AMPFI_02407, AMPFI_14321, AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989
OG0000110	CAPO300387	AMPFI_17055, AMPFI_21701, AMPFI_03800, AMPFI_04584, AMPFI_16212, AMPFI_03550, AMPFI_18622, AMPFI_10052
OG0000114	CAPO302440	AMPFI_01965, AMPFI_00254
OG0000116	CAPO305622	AMPFI_12986
OG0000119	CAPO304642	AMPFI_25431, AMPFI_07345, AMPFI_07307, AMPFI_24152, AMPFI_09636, AMPFI_09635
OG0000122	CAPO307824	AMPFI_15603, AMPFI_13850, AMPFI_04566, AMPFI_20620, AMPFI_04266, AMPFI_05019, AMPFI_03816, AMPFI_08856, AMPFI_09948, AMPFI_21733
OG0000124	CAPO304324	AMPFI_07499, AMPFI_07500
OG0000124	CAPO302553	AMPFI_02885
OG0000126	CAPO302484	AMPFI_13551
OG0000126	CAPO306676	AMPFI_19122
OG0000126	CAPO300572	AMPFI_06519, AMPFI_19042
OG0000128	CAPO306991, CAPO304956	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784
OG0000129	CAPO303361	AMPFI_25119, AMPFI_15379, AMPFI_05870
OG0000137	CAPO305369	AMPFI_02989, AMPFI_12246
OG0000142	CAPO302031, CAPO302030	AMPFI_12268, AMPFI_25838, AMPFI_20148, AMPFI_19366, AMPFI_20174, AMPFI_19305
OG0000147	CAPO305863	AMPFI_24113
OG0000147	CAPO308132	AMPFI_01784, AMPFI_00036, AMPFI_00137
OG0000147	CAPO304230	AMPFI_22384, AMPFI_01359, AMPFI_18115
OG0000149	CAPO305206, CAPO306214	AMPFI_19578, AMPFI_11805
OG0000157	CAPO305956	AMPFI_07870
OG0000157	CAPO302981	AMPFI_25988
OG0000157	CAPO305824	AMPFI_18508
OG0000160	CAPO301680	AMPFI_10740
OG0000167	CAPO301364, CAPO303476	AMPFI_07356, AMPFI_14278, AMPFI_04280, AMPFI_06385, AMPFI_02849, AMPFI_21928, AMPFI_19727
OG0000171	CAPO304813	AMPFI_21216, AMPFI_04662, AMPFI_21332, AMPFI_03812, AMPFI_02526, AMPFI_16514
OG0000174	CAPO304629	AMPFI_12146, AMPFI_25103, AMPFI_14045, AMPFI_12675
OG0000175	CAPO303513	AMPFI_13786
OG0000179	CAPO300694	AMPFI_12504
OG0000179	CAPO303342	AMPFI_16964
OG0000181	CAPO307692	AMPFI_16526
OG0000181	CAPO300374	AMPFI_12882
OG0000183	CAPO305638	AMPFI_14083
OG0000183	CAPO302591	AMPFI_23760
OG0000183	CAPO305829	AMPFI_03468
OG0000184	CAPO304928	AMPFI_03874, AMPFI_09399, AMPFI_14819
OG0000186	CAPO301875	AMPFI_23623
OG0000192	CAPO304141	AMPFI_19784
OG0000192	CAPO300533	AMPFI_05198
OG0000192	CAPO301980	AMPFI_22080, AMPFI_03281
OG0000193	CAPO302628	AMPFI_04703, AMPFI_20306
OG0000194	CAPO305195	AMPFI_11397, AMPFI_18683, AMPFI_21267, AMPFI_04833, AMPFI_22313, AMPFI_03138, AMPFI_07873, AMPFI_23469, AMPFI_21495, AMPFI_14332, AMPFI_14028
OG0000195	CAPO305454	AMPFI_05326, AMPFI_12345, AMPFI_10206, AMPFI_05107
OG0000201	CAPO307729	AMPFI_03122, AMPFI_19654
OG0000203	CAPO302139	AMPFI_10377, AMPFI_15263, AMPFI_20814, AMPFI_06550, AMPFI_18282
OG0000204	CAPO303090	AMPFI_16667, AMPFI_18110, AMPFI_16653, AMPFI_14128, AMPFI_06859, AMPFI_19770
OG0000207	CAPO304105, CAPO304106, CAPO304714	AMPFI_08635, AMPFI_15520
OG0000211	CAPO306209	AMPFI_10849, AMPFI_05941, AMPFI_12814, AMPFI_16753, AMPFI_21968
OG0000218	CAPO300559	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956, AMPFI_17247, AMPFI_03024, AMPFI_13048
OG0000220	CAPO306780, CAPO307695	AMPFI_11145, AMPFI_09063, AMPFI_16751, AMPFI_20109, AMPFI_11272, AMPFI_05814, AMPFI_12253
OG0000221	CAPO300247	AMPFI_07550, AMPFI_18146, AMPFI_19059
OG0000222	CAPO304211	AMPFI_16387, AMPFI_05918, AMPFI_03073
OG0000223	CAPO308126	AMPFI_12761, AMPFI_09693
OG0000225	CAPO305347	AMPFI_24201, AMPFI_00311
OG0000226	CAPO303463	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354
OG0000234	CAPO301359	AMPFI_09748, AMPFI_05768
OG0000239	CAPO302089	AMPFI_07816, AMPFI_07246, AMPFI_08248, AMPFI_20472
OG0000240	CAPO303214	AMPFI_05219, AMPFI_05218
OG0000242	CAPO304847	AMPFI_05850
OG0000244	CAPO301556	AMPFI_12077, AMPFI_18742
OG0000246	CAPO303496	AMPFI_12737, AMPFI_20200, AMPFI_25049, AMPFI_20225
OG0000248	CAPO307635, CAPO302481, CAPO302487	AMPFI_08134, AMPFI_21352
OG0000250	CAPO305827	AMPFI_05967
OG0000255	CAPO306632	AMPFI_01606
OG0000255	CAPO301531	AMPFI_21142
OG0000255	CAPO300499	AMPFI_03946, AMPFI_14685, AMPFI_21286, AMPFI_16948
OG0000256	CAPO307884	AMPFI_08473
OG0000256	CAPO306483	AMPFI_07025, AMPFI_16869
OG0000257	CAPO300414	AMPFI_24622, AMPFI_01061, AMPFI_17884
OG0000258	CAPO301106	AMPFI_21660
OG0000258	CAPO301746	AMPFI_11627
OG0000260	CAPO303219	AMPFI_00537
OG0000260	CAPO300399	AMPFI_24181
OG0000265	CAPO306540	AMPFI_11224
OG0000271	CAPO304641	AMPFI_00334, AMPFI_02538, AMPFI_02338, AMPFI_17791, AMPFI_22718, AMPFI_16033, AMPFI_22428, AMPFI_00241, AMPFI_16165, AMPFI_13367, AMPFI_21553
OG0000273	CAPO305109	AMPFI_11471
OG0000273	CAPO300804	AMPFI_06629
OG0000273	CAPO306869	AMPFI_05763
OG0000277	CAPO303621	AMPFI_09153
OG0000277	CAPO301295	AMPFI_19405
OG0000277	CAPO307814, CAPO307752	AMPFI_04428
OG0000278	CAPO300620	AMPFI_20031
OG0000278	CAPO305822	AMPFI_23155
OG0000278	CAPO302023	AMPFI_11370
OG0000278	CAPO307140	AMPFI_14249
OG0000278	CAPO305746, CAPO303638, CAPO306850, CAPO305864	AMPFI_25739, AMPFI_15284
OG0000282	CAPO308183	AMPFI_11943, AMPFI_24461, AMPFI_16635, AMPFI_18258, AMPFI_00662, AMPFI_13665
OG0000284	CAPO305695	AMPFI_25872, AMPFI_11998
OG0000285	CAPO303377	AMPFI_21903, AMPFI_16083, AMPFI_21667, AMPFI_04957, AMPFI_19148
OG0000288	CAPO305142	AMPFI_04129
OG0000289	CAPO307835	AMPFI_17606, AMPFI_02929, AMPFI_19548, AMPFI_16478
OG0000295	CAPO302113, CAPO302799	AMPFI_21638, AMPFI_25336, AMPFI_07689, AMPFI_07690
OG0000299	CAPO306599	AMPFI_23716
OG0000305	CAPO307183	AMPFI_02684
OG0000306	CAPO308212	AMPFI_01092, AMPFI_20442
OG0000308	CAPO304037	AMPFI_19983
OG0000308	CAPO303083	AMPFI_01977
OG0000310	CAPO305978	AMPFI_04405, AMPFI_23833, AMPFI_19988, AMPFI_23309, AMPFI_01493, AMPFI_07855, AMPFI_05017
OG0000312	CAPO304557	AMPFI_21427
OG0000312	CAPO302691	AMPFI_21121
OG0000313	CAPO307072	AMPFI_05659, AMPFI_25204
OG0000313	CAPO301348	AMPFI_19009, AMPFI_16147, AMPFI_11114, AMPFI_16761, AMPFI_20279, AMPFI_24408
OG0000314	CAPO304303	AMPFI_01491, AMPFI_21098, AMPFI_21539, AMPFI_12771, AMPFI_19303
OG0000315	CAPO308167	AMPFI_02270
OG0000316	CAPO307924, CAPO300321	AMPFI_12328
OG0000317	CAPO306620	AMPFI_13838
OG0000319	CAPO303225	AMPFI_18016, AMPFI_24803, AMPFI_03261, AMPFI_21510, AMPFI_20972, AMPFI_12866, AMPFI_03298, AMPFI_20408, AMPFI_22898, AMPFI_08728, AMPFI_08933, AMPFI_05900
OG0000320	CAPO304008	AMPFI_22513
OG0000322	CAPO306406	AMPFI_16430, AMPFI_01114, AMPFI_11536, AMPFI_16438, AMPFI_14537, AMPFI_01378, AMPFI_07075, AMPFI_22995, AMPFI_10175, AMPFI_10174, AMPFI_04030, AMPFI_12395
OG0000326	CAPO303322	AMPFI_07142, AMPFI_15155
OG0000327	CAPO308120	AMPFI_02810, AMPFI_10968, AMPFI_07053, AMPFI_01699
OG0000335	CAPO307753	AMPFI_21396, AMPFI_23036, AMPFI_21319, AMPFI_08057, AMPFI_24569, AMPFI_20092
OG0000338	CAPO304735	AMPFI_12428, AMPFI_12247
OG0000339	CAPO305264	AMPFI_15009
OG0000343	CAPO306429	AMPFI_06155, AMPFI_14007
OG0000345	CAPO300769	AMPFI_07208, AMPFI_03618
OG0000352	CAPO300356	AMPFI_09521, AMPFI_09522, AMPFI_24369, AMPFI_20917, AMPFI_16994
OG0000357	CAPO301487	AMPFI_08530
OG0000359	CAPO305417	AMPFI_13496
OG0000359	CAPO301540	AMPFI_18442, AMPFI_25444
OG0000359	CAPO306866	AMPFI_16065
OG0000360	CAPO300757	AMPFI_10587, AMPFI_20755, AMPFI_22680, AMPFI_06174
OG0000363	CAPO300237	AMPFI_12319
OG0000363	CAPO305594	AMPFI_04121
OG0000364	CAPO301330, CAPO300908	AMPFI_18353, AMPFI_21188, AMPFI_18689, AMPFI_01368, AMPFI_19431
OG0000367	CAPO301272	AMPFI_07904, AMPFI_24584, AMPFI_10053
OG0000371	CAPO307503	AMPFI_14641, AMPFI_06561, AMPFI_21182, AMPFI_22207
OG0000372	CAPO307553	AMPFI_17037, AMPFI_10224, AMPFI_09792, AMPFI_13417
OG0000373	CAPO301744	AMPFI_05437, AMPFI_02134
OG0000385	CAPO300182, CAPO305781, CAPO305517	AMPFI_19226, AMPFI_24194, AMPFI_23534, AMPFI_25679
OG0000390	CAPO301433, CAPO301477	AMPFI_17236, AMPFI_18392, AMPFI_00983
OG0000390	CAPO307000	AMPFI_22410, AMPFI_05166, AMPFI_00446, AMPFI_16032
OG0000392	CAPO300351	AMPFI_19824, AMPFI_16078
OG0000393	CAPO307627	AMPFI_11122, AMPFI_20681, AMPFI_17577
OG0000397	CAPO304372	AMPFI_12772
OG0000399	CAPO302781	AMPFI_16098, AMPFI_14231, AMPFI_13302, AMPFI_12451, AMPFI_24563, AMPFI_10126
OG0000402	CAPO300999	AMPFI_10865, AMPFI_21549
OG0000405	CAPO300636	AMPFI_10725
OG0000412	CAPO306116	AMPFI_05733
OG0000412	CAPO307159	AMPFI_20072, AMPFI_23320, AMPFI_24223
OG0000413	CAPO302663	AMPFI_09027, AMPFI_05195
OG0000413	CAPO304678	AMPFI_15394
OG0000416	CAPO300647, CAPO303519, CAPO305980	AMPFI_14943
OG0000419	CAPO304227	AMPFI_16286
OG0000420	CAPO307162	AMPFI_23871
OG0000424	CAPO302770, CAPO306814	AMPFI_18786, AMPFI_06727, AMPFI_03735, AMPFI_21433, AMPFI_02103, AMPFI_06728
OG0000426	CAPO302714	AMPFI_05934
OG0000426	CAPO306829	AMPFI_04676
OG0000427	CAPO303813	AMPFI_05181, AMPFI_05182
OG0000429	CAPO300725	AMPFI_14088
OG0000431	CAPO306585	AMPFI_05479
OG0000431	CAPO304684	AMPFI_02567
OG0000433	CAPO304838, CAPO302573	AMPFI_00102, AMPFI_00584
OG0000434	CAPO304471	AMPFI_19330, AMPFI_12778, AMPFI_07772
OG0000435	CAPO308080	AMPFI_08747, AMPFI_21181
OG0000436	CAPO305799	AMPFI_15525
OG0000437	CAPO300952	AMPFI_19846
OG0000442	CAPO302753, CAPO302633	AMPFI_07999
OG0000444	CAPO305423	AMPFI_10516
OG0000444	CAPO301239	AMPFI_14412
OG0000445	CAPO301584	AMPFI_20874, AMPFI_15224, AMPFI_10421, AMPFI_03557, AMPFI_10139, AMPFI_21234, AMPFI_16884, AMPFI_09913
OG0000447	CAPO300691	AMPFI_12502
OG0000450	CAPO307586, CAPO307446	AMPFI_01260
OG0000453	CAPO305025	AMPFI_04316
OG0000454	CAPO301952	AMPFI_16132
OG0000461	CAPO303645, CAPO304085, CAPO303531	AMPFI_12796
OG0000461	CAPO307456	AMPFI_10757, AMPFI_12933
OG0000467	CAPO302815	AMPFI_12782
OG0000468	CAPO302003, CAPO303185	AMPFI_06635, AMPFI_17864, AMPFI_19454
OG0000469	CAPO306584, CAPO302277	AMPFI_03128
OG0000469	CAPO302982	AMPFI_08317
OG0000474	CAPO307766	AMPFI_11625
OG0000475	CAPO303779	AMPFI_23837, AMPFI_25135, AMPFI_16236, AMPFI_14069, AMPFI_15746
OG0000476	CAPO306104	AMPFI_07783
OG0000479	CAPO303549	AMPFI_03342
OG0000479	CAPO304267	AMPFI_09996
OG0000480	CAPO307201	AMPFI_18780, AMPFI_14622
OG0000481	CAPO300053	AMPFI_04631
OG0000481	CAPO304800	AMPFI_14700
OG0000481	CAPO304355	AMPFI_12417
OG0000485	CAPO303224, CAPO303026	AMPFI_08282, AMPFI_08284, AMPFI_22121, AMPFI_08283
OG0000486	CAPO306048, CAPO306972	AMPFI_16665, AMPFI_16285, AMPFI_12958, AMPFI_19185, AMPFI_24869
OG0000494	CAPO300277	AMPFI_14510
OG0000505	CAPO303790, CAPO306121	AMPFI_01675
OG0000506	CAPO304587	AMPFI_10562
OG0000508	CAPO302590	AMPFI_11279
OG0000510	CAPO303128, CAPO305095	AMPFI_12605, AMPFI_15688, AMPFI_02887
OG0000511	CAPO301322	AMPFI_15642, AMPFI_07565, AMPFI_23457, AMPFI_23137, AMPFI_20450, AMPFI_22040, AMPFI_21585, AMPFI_17645, AMPFI_13653, AMPFI_03100, AMPFI_12562, AMPFI_15007, AMPFI_17557, AMPFI_16096, AMPFI_20749, AMPFI_12352
OG0000514	CAPO307292	AMPFI_19314
OG0000516	CAPO302072	AMPFI_14909, AMPFI_11391
OG0000519	CAPO300709	AMPFI_09807, AMPFI_19851, AMPFI_12315, AMPFI_05130
OG0000520	CAPO304720	AMPFI_14296, AMPFI_19094
OG0000522	CAPO306204	AMPFI_07135, AMPFI_14072, AMPFI_15408, AMPFI_24817, AMPFI_18956
OG0000528	CAPO300417	AMPFI_18972, AMPFI_18973
OG0000530	CAPO306919	AMPFI_05279
OG0000532	CAPO300259	AMPFI_09523
OG0000538	CAPO300039	AMPFI_24088
OG0000548	CAPO307253, CAPO307370	AMPFI_03107, AMPFI_12447, AMPFI_06878
OG0000549	CAPO305341	AMPFI_06020, AMPFI_06765
OG0000551	CAPO305700	AMPFI_12523, AMPFI_16839, AMPFI_19651, AMPFI_24965
OG0000552	CAPO302805	AMPFI_25709, AMPFI_07948
OG0000553	CAPO302261	AMPFI_03292, AMPFI_14139, AMPFI_07441
OG0000554	CAPO300205	AMPFI_16623, AMPFI_06109, AMPFI_24115, AMPFI_06108, AMPFI_04502
OG0000556	CAPO305079	AMPFI_13590, AMPFI_15040, AMPFI_13516, AMPFI_09067, AMPFI_02813, AMPFI_24449, AMPFI_13084, AMPFI_19864, AMPFI_10656, AMPFI_16800
OG0000561	CAPO307817, CAPO304686, CAPO304296	AMPFI_19041, AMPFI_00758
OG0000563	CAPO305151	AMPFI_08659, AMPFI_10297
OG0000566	CAPO306820	AMPFI_03624, AMPFI_03781, AMPFI_20076, AMPFI_24184, AMPFI_05548
OG0000567	CAPO300710, CAPO302895	AMPFI_08270, AMPFI_24073, AMPFI_20193
OG0000569	CAPO302672	AMPFI_16404, AMPFI_20879, AMPFI_03593, AMPFI_00348
OG0000572	CAPO302048	AMPFI_18964, AMPFI_18965, AMPFI_09351
OG0000573	CAPO301573	AMPFI_08544
OG0000573	CAPO300482	AMPFI_03633, AMPFI_21790
OG0000574	CAPO303025	AMPFI_07593, AMPFI_07534, AMPFI_22284
OG0000578	CAPO305505	AMPFI_11337, AMPFI_11336
OG0000583	CAPO302594	AMPFI_03049
OG0000585	CAPO302010	AMPFI_10321, AMPFI_07822
OG0000586	CAPO304818	AMPFI_10379, AMPFI_16028
OG0000587	CAPO304868	AMPFI_16977, AMPFI_16976
OG0000588	CAPO300701	AMPFI_11701
OG0000590	CAPO302664	AMPFI_19054, AMPFI_08431
OG0000590	CAPO307990	AMPFI_13729
OG0000591	CAPO301508, CAPO306921	AMPFI_24421
OG0000592	CAPO302552	AMPFI_12250, AMPFI_00808
OG0000593	CAPO303950	AMPFI_00762, AMPFI_17892
OG0000594	CAPO305185	AMPFI_08265
OG0000595	CAPO303068, CAPO304997	AMPFI_14807, AMPFI_25860
OG0000597	CAPO305949	AMPFI_09305
OG0000600	CAPO302133	AMPFI_05589, AMPFI_23266, AMPFI_09999
OG0000604	CAPO304248	AMPFI_00175, AMPFI_21956, AMPFI_24342
OG0000611	CAPO305139	AMPFI_17154, AMPFI_20669, AMPFI_24211
OG0000611	CAPO302505	AMPFI_03941
OG0000612	CAPO308174	AMPFI_15477, AMPFI_05475
OG0000613	CAPO306741, CAPO303985	AMPFI_20696, AMPFI_01961, AMPFI_04751
OG0000614	CAPO308097	AMPFI_10965
OG0000614	CAPO306138, CAPO304207	AMPFI_11504, AMPFI_07199
OG0000616	CAPO301011	AMPFI_09981
OG0000617	CAPO303200, CAPO307815, CAPO308211, CAPO303926, CAPO303924, CAPO303927, CAPO304126, CAPO307888, CAPO301741, CAPO308289, CAPO303317, CAPO306753, CAPO303212, CAPO302527, CAPO302568, CAPO303584, CAPO303106, CAPO302462, CAPO302437, CAPO308109, CAPO302184, CAPO304957, CAPO303314, CAPO303900, CAPO303931, CAPO306863, CAPO308223, CAPO307383, CAPO303613, CAPO303446, CAPO303410, CAPO308100, CAPO307019, CAPO300335, CAPO305613, CAPO305620, CAPO305570, CAPO308045, CAPO303984, CAPO305289, CAPO307167	AMPFI_08449
OG0000619	CAPO303580	AMPFI_07065
OG0000620	CAPO300569	AMPFI_23274, AMPFI_25337, AMPFI_20298, AMPFI_09259, AMPFI_22189
OG0000623	CAPO306891	AMPFI_18053
OG0000623	CAPO306678	AMPFI_05939, AMPFI_14561
OG0000624	CAPO304034, CAPO304035	AMPFI_19095, AMPFI_09306, AMPFI_13318
OG0000627	CAPO301912	AMPFI_24110, AMPFI_23481, AMPFI_25325
OG0000628	CAPO306878	AMPFI_18712, AMPFI_02816, AMPFI_06881
OG0000629	CAPO304632	AMPFI_02582, AMPFI_03723, AMPFI_05119, AMPFI_09946
OG0000634	CAPO305866	AMPFI_17488, AMPFI_15841, AMPFI_04896, AMPFI_09245, AMPFI_00141, AMPFI_20252
OG0000637	CAPO306492	AMPFI_22000, AMPFI_25950
OG0000639	CAPO300322	AMPFI_02143
OG0000639	CAPO305269	AMPFI_19096, AMPFI_19422
OG0000642	CAPO307461, CAPO301979, CAPO301558, CAPO307468, CAPO303537, CAPO307029, CAPO305272, CAPO302782, CAPO302430	AMPFI_20481, AMPFI_17464, AMPFI_21969, AMPFI_03291, AMPFI_09020, AMPFI_24910
OG0000642	CAPO302938, CAPO302939, CAPO304769, CAPO302566	AMPFI_15462, AMPFI_15774
OG0000643	CAPO301316	AMPFI_13527
OG0000645	CAPO306925	AMPFI_07390
OG0000645	CAPO307784, CAPO304648	AMPFI_07346
OG0000648	CAPO306715	AMPFI_15343
OG0000648	CAPO307568	AMPFI_13232
OG0000650	CAPO302429	AMPFI_07337
OG0000651	CAPO301045	AMPFI_13783, AMPFI_00457
OG0000652	CAPO307163	AMPFI_06940, AMPFI_22582
OG0000653	CAPO304384	AMPFI_07129
OG0000657	CAPO304462	AMPFI_23960
OG0000662	CAPO308235	AMPFI_12334, AMPFI_02313, AMPFI_13450
OG0000663	CAPO303713	AMPFI_11999, AMPFI_12107
